Vol.106 B站“赚钱难”背后
[00:19:23] 那这个对于品牌方来说就很难办了就相当于你没有办法精确的复盘这个项目也没有办法很精确的改进自己的素材那也没有办法做出下次再投这个决策了对的如果你没有复投的话其实对这个品牌和up主来说都是个很大的打击当然啊我们举的这些品牌的例子也不能代表全部比如说他们自己就会觉得产品适不适合B站其实非常的重要
[00:19:46] 你像汽车区或者说是消费电子类的产品在B站其实都有非常好的一些投放的案例他们也是因为看到了一些好的案例之后才想来投的
[00:19:57] 但是大多数的情况下品牌在B站投放的更多的还是非效果类的广告也就是那种不以带货为目的只是来传播这个品牌的那种广告那这种类型其实反而是特别适合B站的因为B站有非常丰富的数据
[00:20:26] 对那其实播客也是这个道理对没错那我们经常说B站的用户反感掐饭但其实现在更准确的说法我觉得是大多数的用户并不反感掐饭但是对于直接的带货呢无感他们可以接受那种内容有趣然后植入特别巧妙的一些广告视频而且弹幕的反响反而会特别热烈对吧让他掐让他掐但是那种明明白白就是让你去下单去买东西的这种种草类的
[00:20:52] 反而就不太感冒了除了非常少数的几个品类有可能还相对好一些感觉这就是症结所在因为在整体消费市场不景气而且广告预算在明显缩减的情况下消费品品牌很愿意把精力放在有实实在在销售效果的这些效果广告上面事实上据我们这段时间了解很多小一些的品牌是直接砍掉了所谓品牌传播这部分预算把钱全部都投在效果上了这个所谓活下去更重要
[00:21:21] 嗯没错那我们前面说到B站的商业化潜力在于整个up主群体对于中国年轻人的影响力但是这两年下来呢广告主也逐渐发现了这种影响力说它很大呢也没有错但是呢这个影响力有点难以量化然后又有一些局限想要把它变成一些实实在在提升销量的引擎呢并不是很容易
[00:21:45] 好 我们先把前面的内容稍微总结一下我们从这次的热点新闻切入先分析了一些所谓的停更潮的存不存在我们觉得它事实上更多是一种焦虑的情绪而这种情绪背后是UP主商业变现它遇到实际的困难
[00:22:01] 这种困难一言以蔽之就是B站的商业化功能整体的基础建设以及社区的用户土壤都不太适合现在最重要的这种带货类的广告更适合品牌类的广告那在现在这个经济背景下呢就很容易受到影响是的但是如果我们要讨论B站的赚钱话题仅仅说广告其实是不够的因为从整体的营收角度来看B站并不是一个靠卖广告生存的公司它还有游戏直播会员和电商这几个收入来源
[00:22:29] 而且除了电商以外另外几个的重要性其实都很高的那么接下来我们就做一个事情就是把这几个业务来梳理一遍然后梳理完之后我们看看约老师能不能找到一些他们这些业务的一个共通点怎么还有任务那就先说游戏吧毕竟这其实才是B站的主业
[00:22:48] 没错游戏一度是B站的整个收入的支柱像2018年B站能够在纳斯达克上市其实靠的就是游戏业务或者说就是靠FGO这一款游戏的收入来支撑起来的当时游戏的营收占整个B站的80%但这两年这个业务的收入占比已经节节的下降降到了25%占比降低本身不一定是坏事因为你这么大个平台总不能只靠这几款游戏来撑着
[00:23:15] 对的但是问题就是降低的同时它这个绝对值的增长也比较乏力18年的时候整个游戏收入是29亿22年是50亿看上去增长了一倍对吧但是这个数字和这个量级和国内那些凭借一两款游戏就能收入数百亿的一些同行相比就不太够看了关键是现在B站的游戏业务它缺乏一个拳头的爆款产品就是B站所谓的游戏业务目前主要是独家代理的
[00:23:43] 也就是说赚发行和渠道的钱这部分代理的这个业务大概占收入的70%而这个里边呢原来是有一些头部的游戏的你像FGO啊碧狼寒线啊公主连接啊都其实量还蛮大的但是他们的这个流水啊在21年和22年都逐步的下降了然后新出来的游戏呢热度又不高另外一方面啊虽然你收入是靠代理的但是B站在游戏的这个投入上面最多的其实是自演的游戏
[00:24:10] 也就是自己研发一个新的游戏然后卖出去这种模式它的收入就可以全部归公司自己而且如果出了爆款之后价值就能最大的化我们根据国胜证券的一个统计B站在过去的三年至少投了36个游戏工作室主要都是做游戏研发的但是没有跑出来一个特别大的爆款这里边一方面肯定是首先有整个游戏行业板号收紧的一个问题
[00:24:36] 另外一方面就是B站这种广撒网的策略现在也证明不是那么的奏效所以我们也看到2022年11月B站的董事长陈瑞叔叔亲自宣布尤其在内部宣布说自己要亲自负责游戏业务而且他要把目标放在自研精品游戏上只聚焦在一两个项目也就是说他一定要磨出一个爆款来对的
[00:24:58] 如果成了的话整个B站的赚钱问题其实就整个迎刃而解了因为一个原创的爆款手游它的利润实在是太高了规模也太大了我甚至觉得手游就是课金有可能是现在最赚钱的一个合法生意之一了但是另一方面研发这样一个爆款的手游它的不确定性也是最大的游戏部分说完了我们就说说前面其实提到一嘴但是没有展开讲的直播吧好
[00:25:25] 直播其实是目前仅次于游戏和广告的B站第三大的收入来源B站也一度非常重视直播这个业务因为它能产生大量的付费用户而且它营收的流水也非常的高我记得我们当时做杂志封面的时候就会提到B站已经在鼓励很多大的up主去开直播间了没错
[00:25:45] 这个在当时也被视为B站up主变现的一个新的方向就是你去本来是做视频的你接了一些粉丝然后我去开直播然后粉丝就可以在直播间给我打扫但是问题是B站的up主并不是谁都适合做直播的你像游戏区舞蹈区音乐区有可能有些up主还比较适合或者是一些表达比较好形象比较好的一些up主他们可以转型但是更多的up他们主打的就是高质量的认真制作的原创视频
[00:26:13] 你也不太能想象这个直播聊柯南这件事情吧
[00:26:39] 对所以真的能够转型的或者说是做直播和视频两例的up主其实是非常少的除此以外呢站在b站的角度就是这个打赏啊直播打赏他虽然流水非常高能够贡献营收但其实呢赚不了钱因为b站的直播他做的比较晚嘛而且相比较于斗鱼啊虎牙快手这些平台他的规模要小很多
[00:27:01] 所以为了发展直播这块业务B站给予主播的分成其实要一笔市场的平均水平也就是70%要高我们看到过一些报道是超过80%的那么再加上带宽等等的一些成本其实整个B站的直播业务站在它公司的角度是不赚钱的等于说钱大部分都分出去的自己还是没赚到多少对好直播就讲到这里其实最后还剩一个就是付费会员对的也就是所谓的大会员
[00:27:29] 这部分在财报上面其实是和直播合并起来计算营收的他们叫增值服务付费会员的他这个权益其实就和爱奇艺和腾讯视频的一些会员本质上差不多的了就是B站上面有一些自由的影视剧还有一些高分辨率的一些服务
[00:27:46] 当然啊B站上它有的自由内容有可能是动漫的东西会多一些确实B站这个大会员属于对二次元用户比较友好的对于我这种只是偶尔上去看一些什么纪录片啊或者是一些自制内容的用户呢这个吸引力就比较一般属于我这个每年付出去钱里面一块可看可不看的预算我还是得承认啊我现在还是B站的电视大会员的连续包年用户就是还多给他赚了一些钱
[00:28:14] 那么这个视频网站的付费会员它其实是商业模式也很简单核心指标一个就是用户的规模一个就是平均的单个用户能够贡献的付费的金额还有一个就是成本测的就是单个用户他要消耗的内容的成本这些数据里面其实比较明确的就是B站的付费会员的规模2022年第四季度最新的更新是2400万人另外还有就是单个的大会员的年费就是对外年费我们也是知道的
[00:28:44] 根据不同的等级不同的折扣有可能有的时候是98元有的时候148元对吧那我们就可以把这些比较明确的数字跟一个我们比较熟悉的公司就是爱奇艺来比较一下爱奇艺的付费会员它的数量大概是b站的4-5倍就超过一个亿的然后它的这个会员价格呢按照年来算的话其实还略高于b站的大会员内容的投入方面其实我们并不知道这个b站的规模到底怎么样
[00:29:09] 反正爱奇艺它是一个投入比较重的一个做自制剧的一个平台那它大家都知道它离真正的盈利一直都还是有比较大的距离的是吧感觉这类网站里面现在应该只有奈飞能够做到勉强盈利吧毕竟它这个用户年均付费的规模还是比较高的大概是100美元以上吧
[00:29:28] 是的你想想看就是100美元的话换算成一年有可能就是七八百甚至八九百的这个人民币比国内这些平台那个年均一百多人民币的话其实要高好多倍了那么讲完这个大会员之后呢最后还有个电商我们就不展开了啊因为b站这个电商主要是一些二次元相关的周边的销售并不是一般意义上的电商而且和up主的关系也不大
[00:29:52] 那么到这里的话我们就大致把B站除了广告以外的另外几个主要的营收业务介绍了一下那么岳老师你来看看有没有发现他们的一些共同点怎么感觉像在上课被老师抽起来回答问题要说共同点的话我觉得好像是也都不太赚钱以我为什么在说也我觉得岳老师可以算是部分正确的答案吧
[00:30:19] 因为的确除了游戏肯定是有利润的另外两项这个业务就是我们讲的直播和这个付费会员他的毛利都很难说有没有更别说净利了其实也看看财报就知道了2022年B站虽然通过减少了盈利成本等方式节流了他这个净亏损收窄了但是亏损还是亏损了十几亿离整体的这个盈利还是有距离的他的目标呢也是到了2024年能够实现整体的盈利
[00:30:45] 不过其实我想说的这几个业务的共通点是另外一个就是游戏直播和大会员他们都和up主这个群体关系没有那么紧密当然他们之间会有一些业务的协同但是这个联系并不是很直接的而且这些业务互相之间也没有那么多的联动那我理解的话就相当于可以把B站各个营收的业务就直接看成不同子公司
[00:31:09] 其中有一个体量不那么大然后也没有什么自研爆款的游戏公司然后有一个直播规模和毛利都跟第一梯队有差距的直播公司还有一个规模更小的爱西这个听上去好像更悲观了一点对啊你这么一分析的话好像非常的悲观当然啊就是我们实事求是的说这里边游戏我觉得还是有潜力的而且游戏的话跟这个B站的整个社区还是有一些关联的嘛
[00:31:36] 毕竟B站上面还是有非常非常多的这个游戏的爱好者这个游戏区也是非常热闹的但另外两项啊在我看来都是属于上限很明确盈利的空间也很有限的一些业务而且相比较于竞争对手B站的业务并没有什么特殊就是都差不多的你直播也是做那些直播然后你这个付费会员的本质也差不多没有独到的优势竞争上也没有优势然后本来天花板也比较小所以我觉得确实是有一些堪忧的业务
[00:32:03] 当然这纯属于个人看法也欢迎大家讨论那么这样绕了一圈回来最后发现真正能够发挥B站优势的业务怎么还是广告对的我们前面那么多篇幅来分析B站广告业务遇到的挑战或者资深的问题但是我们回过头来其实想说的还是B站的广告业务还是最有增长潜力的一个是广告它本身的毛利就非常的可靠而且规模的上限也比较高
[00:32:30] 更关键的是广告能够通过让up主赚钱的方式让B站自己赚到钱这个其实才是最适应B站本质的一种营收方式因为B站的本质就是一个创作者和爱好者结合的一个社区我们也看到B站现在确实花了很多精力在改善广告业务上面比如说它已经推出了更适合这种竖屏内容的story mode这个就是针对我们前面讲的B站不是说它不适合效果类广告这个问题吗然后它就做了一个对症下药的一个方案
[00:32:59] 既然目前的这个横屏的长视频可能不是很好带货那就干脆做一个短视频的模式这个方式呢确实能够大大增加B站的一个广告投放效能而且也直接提升了一些转化的效果对的我们访谈了一位品牌方朋友就说B站的up主啊它的质量真的是很高内容真的是很好就即便是同样的种草类的视频它都比别的平台要讲的清晰有趣然后这个画面也会更精美如果它能做成切片的短视频的话其实肯定是卖的很好的
[00:33:28] 但是我觉得就是把B站和抖音这种广告变现机器比较呢也不是很公平也不是所有的up主都愿意把自己的一个内容做重新的切调做短视频的嘛这还是两个完全不同生态的一个内容平台事实上国内任何其他平台都做不到像抖音这么高效的卖广告然后B站我觉得也没有必要变成抖音
[00:33:49] 非常同意啊那说到这个呢其实我就想说像B站这样的一个平台这样的一个社区其实有一个非常现成也很合适的广告模式就是贴片广告的分层就是像YouTube那样就是头上给你贴五秒钟了没错这个贴片广告的分层其实和激励计划有点类似啊就是站在up主的角度上面来说都是根据你这个视频对于用户产生的影响力来给你算钱的他们都有一些比较复杂的计算公式区别就是
[00:34:18] 这个收入的钱并不是来自于平台自掏腰包来激励你而是一个广告费的分成这种方式只有在创作者最聚集水量最高用户流行最大的一些平台才能够实现而且B站一直有一个说法就是它是中国最像YouTube的网站没错所以我才说这个模式是最适合的
[00:34:39] 当然我们也知道在中国做视频的贴片广告整个市场肯定不会像海外那么好做而且要建立像YouTube这样一个背靠Google的那么一个广告体系也是很困难的但我一直觉得B站应该去尝试这样一个模式因为对他自己来说也是一个增量的一个收入的来源不过我们也都知道当年陈瑞叔叔曾经许诺过B站永远不做贴片广告对就是这个问题
[00:35:04] 这个承诺呢我们现在来看确实为B站带来了很好的一个视频观赏的体验也建立了早期的一个非常强的用户粘性甚至形成了一个标签一个品牌一个名声了嘛但另一方面啊贴片广告的体验其实可以用很多办法来改善的YouTube其实已经给出了一个比较好的范例更重要的是我觉得B站现在早就已经破圈了它的用户群体也早就不是当年的那群用户了反正我自己是个十多年的老B站的用户在B站上面也花了不少的钱
[00:35:33] 但是如果贴片广告能为小破站带来更好的商业收入为up主带来更健康的一个创作环境的话我其实是完全支持的B站一直以重视创作者著称当年公司内部有一个著名的友爱部其实就是专门服务up主的部门B站员工也几乎人人都和up主有联系现在公司的规模大了这个友爱的浓度可能会稀释但是如果能从商业机制上给up主创造一些良好的创作氛围让up主成为更多人的好职业
[00:36:01] 那B站的根据地才算是比较稳固根据地来说创作者能赚钱了平台才能赚长钱商业就是这样
