Vol.209 辣条的“南北战争”
[00:05:34] 这24岁的辣条是怎么来的呢就是当时湖南跟中国的很多地方一样受到了特大洪灾影响这个就导致平江当地的大豆严重的减产了然后有三位平江人一位叫邱平江一位叫李猛能一位叫钟庆元就尝试用面粉来代替大豆然后就生产出了最早那种面制辣条结果就一下子大家都很喜欢对这种就是用一个替代食品就一下子广受欢迎的例子我现在能够想到的就是中华小当家当中
[00:06:03] 用大豆来替代绞肉的魔幻麻婆豆腐感觉你就是这个片子你还是看过很多遍因为就是最早的一个很神奇的一个食物在他们那个里面那面制辣条出现以后呢许多平江人就开始去开公司专门做辣条根据平江县政府官网的说法全国辣条生产企业有将近1000家其中平江人创办的企业就占90%以上
[00:06:26] 并组数据是全国的蜡条总产值是600多亿元然后平江县占到了几乎三分之一哇如果我们上次讲那个县域产业带的城市就是这样的节目里面讲到平江的话它的产业
[00:06:38] 辣条肯定能够算一个不是完全是这样因为在各种做辣条的平江人里面有一个人叫做刘卫平他在1999年就离开了平江然后跑到河南的洛河去做了一个自己的品牌叫卫龙最大的这个反而出走了对现在辣条的产业分布其实主要就是在河南和湖南这也就是所谓辣条南北之争的一个起源所以是有地域的区别带来这个口味的区别如果是面制辣条在河南做其实就很合理因为这个
[00:07:07] 河南毕竟是每年的小麦产量能够占全国四分之一的一个主产区粮食主产区核心原料更易得更便宜肯定是一个重要的原因另外就是河南本地的劳动力价格更低然后竞争对手也更少而且当时整个北方市场吃过辣条的消费者也很少所以这个潜在市场空间就更大了南辣北调对不起好烂的梗反正这些都是刘卫平到河南去做卫龙这个品牌是有考量
[00:07:35] 不过在南方周末2017年发布的一篇报道里面对于当时辣条产业出走平江的现象其实给出了基于另一个视角的分析很有意思就这篇文章里面提到湖南省的监管部门从2001年开始就收紧了对于辣条的食品安全监管这个就导致了一些平江的辣条商人开始转向湖南省外除了河南以外他们还去了安徽湖北这种地方所以他不是单单的朝了河南这一个方向去
[00:08:02] 因为监管收盐了所以我先走出了湖南然后到了别的地方河南市当中一个实际上在辣条丛林发展为一整个产业的这20多年里面食品安全和健康一直是它绕不开的话题辣条监管的主导权和话语权也成为了南北辣条产业冲突一个重要的焦点所以口味之外其实还有一个就是一个产品的标准这个产品标准说实话就是从口味来的怎么讲辣条呢
[00:08:26] 这个东西大家都知道它重油重盐口味非常刺激其实从刺激大家觉得它是好吃的一个东西另外一方面是因为它足够便宜你一块钱甚至五毛钱就可以买到一包这个就在学生群体里面很受欢迎这个就导致了大量制作水平参差不齐的商家开始生产辣条2004年12月央视有一档节目叫做每周质量报告我们每个礼拜都会去看的一个节目
[00:08:51] 这个节目呢报道了平江县一些辣条生产企业为了延长产品的保质期添加了一种其实是禁止使用的防腐剂叫做梅克辛长期使用这种防腐剂呢会伤害肝肾这个就引发了消费者的恐慌还有监管的高度重视这也使得辣条彻底成为了人们心目当中不卫生不健康的垃圾食品到了2007年国家质检总局就把平江列为了
[00:09:15] 全国食品安全重点政治线这就让平江的辣条企业家们赶快行动起来了同年呢湖南省食品质量监督检测所和几家辣条公司一起制定了辣条的湖南省地方标准这个也是全国范围内指导辣条生产的第一份就是所谓的标准文件那这几家公司里面就有我们今天提到这个麻辣王子所以这个时候它的一个重要的需求实际上就是合规确保食品安全或者是先把这个规范定出来
[00:09:43] 同样作为辣条生产大省河南呢其实也紧随其后在2007年的晚些时候也出台了一份地方标准针对的是调味面制食品但是他们没有完全照搬就是湖南先前制定的这个地方标准
[00:09:57] 简单的说这两份标准的差别是什么呢就是河南标准里面把辣条定义为了调味面制品而湖南标准定义为一种挤压糕点是辣条到底是糕点还是调味面制品这个争论其实是延续了十多年最后是国家标准里面一锤定音才把辣条正式定义为调味面制品
[00:10:18] 说到这边我觉得有很多听友可能跟我一样有点糊涂了首先这两个类型到底指的是什么比如说辣条是个糕点听上去就有点怪怪的第二个就是这个定义很重要吗具体的定义我们就不展开了我觉得定义的差别确实是有点重要的因为这两种定义之下食品添加剂的使用范围会有差别这个就跟前面的味道相关了是的具体而言湖南标准是参考了糕点的制作标准
[00:10:46] 它可以使用的添加剂实际上是超过了30种而河南标准对于调味面制品的添加剂要求规定是参照糕点和膨化食品允许添加添加剂的规范OK就多了膨化食品这样一个调味机的这个可选的这个袋子对就是所以就导致它实际上能用的添加剂就更多了就如果具体来看的话就是当时的辣条里面可以添加的
[00:11:14] 不仅包括多种抗氧化剂稳定剂增稠剂增味剂着色剂还有两种争议比较大的甜味剂一种叫做糖筋辣一种叫做扭甜所以其实这个标准之争和口味的关系实际上就是这些添加剂湖南的标准比较严格然后河南的标准比较松是的那辣条有这两套行业标准导致另外一个问题就是南方的各省基本上是参照湖南标准来监管辣条的
[00:11:39] 北方各省基本上依据河南标准来监管辣条所以说辣条的异地销售和食品安全监督就会出现很多的难度这也是后来辣条的地方标准逐渐被国家标准所取代的一个主要原因而哪一方能够决定国标的制定又成为他们新的矛盾焦点就是商战的比较高阶的标准的战争2015年的5月原国家食药监总局就发布了一份通知叫做
[00:12:06] 关于严格加强调味面制品等休闲食品监督工作的通知那它规定的就是调味面制品也就是我们今天说的这个辣条是纳入方便食品实施许可里的就跟方便面的差不多类似的对那之后开出了相关生产许可证的类别叫方便食品括号调味面制品这个其实就要求厂家不得超范围超剂量使用防腐剂甜味剂和啄色剂等等的食品添加剂
[00:12:33] 这个通知也针对辣条企业给出了一到两年的过渡期就要求这些企业说过渡期以后如果你没有取得新的生产许可的话你就不能再生产辣条了等于这个通知还是表明了就是南派辣条的那个高点论在最后国家标准这个层面没有得到认可
[00:12:50] 最后这个辣条还是被定义为了这个北派辣条这个所谓的调味面制品这样一个概念那其实它这个添加剂的这个范围还是扩大了的但是国家是把它剂量收紧就是你可以加东西的类型比较多但是剂量还是收紧了其实对北方的辣条来说也是一种更严格的要求那在这个通知以后呢就是辣条的国标方案就是在制定当中它其实也是按照调味面制品这个方向在走的不过这个国标诞生也是
[00:13:17] 一波三折啊就是他原本预计就是通知出了以后一年就可以出这个国标实际上用了三年到了2018年的5月国家卫健委才正式公布了这个辣条国标的征求意见稿而这个征求意见稿呢征求意见征求也比较久到了2022年才正式推行这个国标哇比我的法律法规的这个酝酿的时间还要长哎这是在国标酝酿阶段的整个辣条行业其实也不是很太平我们举一个例子就是
[00:13:44] 2018年湖北省的食药监局发现魏龙的辣条有多款产品添加了山梨酸及其甲盐脱氢乙酸及其钠盐好复杂两种添加剂其实前面那个就是山梨酸甲后面那个我不知道是什么那依照2015年的通知的话这些添加剂是不符合规定的但是魏龙却回应称因为辣条的国标尚在征求意见阶段企业执行的是现行有效的河南省标准我们的产品是完全合法合规的
[00:14:12] 反正就是国标一天不正式推行这个添加剂的辣条就能再多卖一天对就反正钻这个空子吧那到了2019年央视在3月5晚会上面曝光了位于河南湖南两地辣条公司的恶劣生产环境还指出一些比如说包装宣传和实际成分不符的问题那试图摆脱垃圾食品这个标签的辣条行业呢一下子又变成了危险的辣条当年年底国家市场监督管理总局就发文再次明确要求辣条类食品统一按照
[00:14:41] 方便食品括号调味面制品的生产许可类别进行管理辣条监督这个漏洞才基本上算是堵上了简单小结一下刚才那一段非常漫长有很多波折的这个国标的诞生之路啊就辣条作为一种新兴的食品它的早期竞争力很大程度上就是基于口味建立起来的这口味呢其实往往就是指哪个小作坊下料更猛添加自己家的更凶
[00:15:06] 它就有可能赢得更大的市场而行业内部呢很快就把这个口味的比拼变成了不同地方标准当中的添加剂限制的这个比拼那看似有序发展实际上仍然是一种有些恶性的竞争那随着国家标准的强制统一辣条行业终于从野蛮的发展逐渐进入到了一个健康有序的状态在魏龙和麻辣王子这类大公司的努力之下呢辣条现在已经不是什么品质可疑的小卖部零食了而是变成了一些工业化的车间商品
[00:15:33] 它开始有了更现代的包装设计有了更高的价格也开始在一些更大的商场和超市里面销售刚才岳老师给我们介绍了辣条这个国标是花了差不多15年的时间才终于实现统一的但是我们前面讲到国标其实是为了Q到那个口味之争的那个问题这个问题国标确定了但它应该还没有也不能解决这个口味的问题是正好是因为此前这个长期的地方标准影响
[00:16:00] 南北方关于辣条口味的喜好其实是出现了一些分化的口味上面目前确实没有能就是开始互相争这个阵统的地位了是那在魏龙官网的介绍里面魏龙这个创始人刘卫平说自己是到了这个河南洛河以后呢从河南的传统面食牛筋面当中汲取的灵感在魏龙辣条的研发过程当中加入了焦糖就推出了最早的就是带点甜味的这个魏龙辣条叫鳝鱼条这个卖点就是有鲜甜的口感的
[00:16:28] 那麻辣王子反击的也就是这一点他们一直强调说辣条在我们平江最初出现的时候更多结合的是四川花椒的风味只有麻辣味才是正宗地道的辣条行吧就是每个人都有一个就是创始故事对吧就像一个总是要说一些这种你总是要把自己的开创的历史跟一个传统连上的至于那个传统在哪里
[00:16:51] 大家有不同的说法反正我们现在从产品角度来看味龙和麻辣王子在他们辣的部分确实有一点差异麻辣王子除了辣条的大小重量这个区别以外它的规格上面的或者说口味上面区别其实非常的少它只有两种口味可以选一种叫微麻微辣一种叫很麻很辣不是它这个名字就叫很麻很辣吗它的口味叫很麻很辣
[00:17:13] 行可以厉害好的继续那卫龙的产品性就相对来说复杂一点它的口味就比较多不仅有香辣味烤肉味还推出跟麻辣王子类似的这种偏麻辣的风味比如说小麻小辣很麻很辣还有爆辣他们起这个口味的名字真的非常生活化非常口语化就是感觉像发小红书一样就感觉更多的话就可以出这种什么
[00:17:38] 中档重庆辣变态辣这种各种各样的名字第一呢你可以试一下广东辣是这样什么叫广东辣就是没有辣吗就是你拿那个加辣的那个勺子在你的东西上面挥一挥你说空气上面弥漫了一点点辣差不多是这个意思不要破坏我们广东辣的定义对不起广东朋友那我们再说回甜的部分实际上呢辣条都需要靠糖来调味所以说哪怕是麻辣的辣条也有一点甜的
[00:18:06] 如果说我们去看这个主打麻辣的麻辣王子它的产品配料表里面其实也有结晶果糖和白砂糖这种成分我们还可以看一个比较定性的细节就是我找了两包辣条一包是味龙的香辣味大面筋那它的配料表里面白砂糖出现在第七位而麻辣王子这个微麻微辣版的这个辣条里面结晶果糖出现在它配料表的第九位我觉得这个差距并不是很明显吧
[00:18:32] 所以说对于消费者来说除非你把两个品牌的所有口味都试过一遍否则你可能不太容易感受出什么甜辣和麻辣有什么特别明显的区别
[00:18:59] 真的存在北方人现在爱吃甜辣的辣条南方人更爱吃麻辣的辣条这种地域的口味差别吗怎么说呢我们就是看一下卫龙还有些第三方机构的调研数据来尝试给一下结论吧就先看卫龙因为卫龙目前的业务范畴已经超出了面积辣条本身还包括一些蔬菜制品和豆制品所以我们主要是看它辣味食品这个总的概念的地域分布如果说看卫龙的分地区的销售数据可以发现
[00:19:27] 从2021年到2024年华北地区的腊味食品的销售额占比是一直在下降的它已经从16.3%跌到了13.7%那河南所在这个华中地区也是下降的那反过来华东和华南的销售占比是一直在上升的到2024年合计已经占到销售总额的43.3%了
[00:19:49] 反正就是没有办法从这个数据上面直接证明
[00:20:16] 不过就像我们之前说的就是要对数据做归因其实很复杂就是口味很可能只是其中原因之一有可能就跟它这个销量的情况这种渠道有关系对其实这跟销售本身是有关系的那魏龙自己的观点是这个销售的分布总体上是跟不同地方的经济发展水平以及人口的分布匹配的另外我们还可以再考虑一下各类销售渠道的在不同地区的发达程度比如说电商渗透率便利店还有像量贩零食店这种新兴渠道发展状况
[00:20:44] 可能在华东和华南情况也更好接下来我们再看一下第三方报告数据引用的是First Sullivan今年新出的一个报告叫做辣条行业发展趋势报告不过是有上市公司的这样行业他们都要出报告了对 很细分的一个领域的报告可以看到线上渠道当中最爱吃麻辣味辣条的消费者主要来自于广东 江苏 浙江 河南和四川五个省份广东 江苏 浙江
[00:21:13] 排在前三名这还麻辣这还麻辣所以就是这个我觉得行吧我觉得你应该收回刚刚对广东辣的嗤之以鼻好吧对广东朋友们有一些尊重就是这三个省份确实不是以就是大家普遍都能吃辣而闻名的一些省份对吧但是他们的他可能是买的多对他的整体购买力和临时消费习惯可能更强不是比例高对
[00:21:36] 还有一种可能是比如说人口的省纪流动所带来的口味的影响吸引的就是能吃辣的比如像广东有很多湖南的朋友是但是就是总而言之我觉得这些数据都不能支持南北口味就是在辣条这个领域里面有特别明显的差异的那个结论总之就是因为大家没有这么大的差异所以说就像前面讲的大家还可以通过广告来喊一喊
[00:21:57] 另外我们还可以再看一下哪些人在买辣条魏龙是在自己的招股书里面给出过一种数据就是魏龙的消费者有一半以上是25岁及以下的年轻人而在三线以下的低线市场2021年是占到了中国整个辣味休闲食品市场的63.3%那这两者的交集呢其实就是我们俗称的那个小镇青年嘛所以说麻辣王咋打这个广告所谓的这个正统
[00:22:24] 核心不是在南北的差异而是说我是正宗的你来买我然后这个广告有可能对他的这个核心目标受众群来说更加有吸引力点反而是正宗而不是具体的口味虽然我们前面一直在拿麻辣王子和味龙作为南北辣条公司的对比但是中国人吃辣条口味其实更多的毫无疑问是受到味龙的影响从整体销售额来看麻辣王子和味龙其实是有着明显差距的去年麻辣王子辣条的销售额也超过了15亿元
[00:22:51] 但是魏龙的调味面制品业务的营收是26.7亿元这个其实比麻辣王子多了80%的这也是比较典型的一个行业第一和行业第二的这样一个就是力量的这个分布所以说麻辣王子在这个里面更多是一个市场挑战的策略他希望在辣条这个核心的就是比如说华东和华南市场形成足够的品牌的差异化但是对于魏龙来说呢辣条行业竞争早已经不只是辣条的口味这么简单的一个问题了
[00:23:17] 在南北销售的过程里面魏龙是通过增加新品类已经走上了一条更开阔的道路接下来我们就来仔细研究一下现在的魏龙到底是一家卖什么的公司
[00:23:30] 因为魏龙是一个上市公司所以说我们可以直接看财报了到这里再说一下不作为任何投资建议打个补丁打个补丁那从营收占比来看魏龙已经从狭义的辣条公司转型为一个广义的辣味零食公司了这个其实是它跟其他辣条公司最大的区别之一目前魏龙的辣味零食业务可以分成三块一块叫调味面制品也就是辣条
[00:23:53] 还有一类叫做蔬菜制品这里包括了大家都可能吃过的魔芋爽酥毛肚还有一种叫做风吃海带的新产品还有就是豆制品和其他产品蔬菜制品是卫龙的第二增长曲线它在很短的时间里面就变成了目前卫龙主要的收入来源2024年卫龙的营收是62.7亿元左右其中蔬菜制品带来的收入是第一次超过了辣条它的占比达到了53.8%其实占了一半以上了
[00:24:21] 那要知道在2019年的时候呢蔬菜制品还是一个营收占比不到20%的次要业务目前呢在这个领域呢就是像我们前面讲的魔芋爽海带还有就是素毛肚这些都是卫龙的明星产品了光魔芋爽就有五种口味分别是香辣麻辣酸辣麻酱和爆辣那相比辣条呢魔芋爽主打的都是一些新的卖点比如说它的热量更低非常的健康你说打拳击吃魔芋然后就是因为前面有味道然后吃个魔芋爽
[00:24:49] 对不起这是什么梗魔芋就是打拳击的人吃就是因为它没有热量相比辣条魔芋爽主打的就是一些新的卖点比如说它的热量更低就是更健康相当于同时满足了消费者对于口味和健康的需求然后它同时还能提升味龙产品的售价对这2023年的年报我们可以算出来一些数字比如说味龙的蔬菜制品平均每公斤的售价是
[00:25:13] 29.6元这个是辣条的1.7倍但是它平均每公斤的销售成本其实是比辣条再低一点的那就是单纯从增收增力的角度来看蔬菜制品其实也是一个比辣条更好的就是业务上的选择相比来看辣条的业务这两年的表现就不是很出色了它业绩一直在缓慢的下滑2023年辣条部分的营收是25.5亿元几乎回到了2019年的水平
[00:25:41] 这个业绩下滑除了疫情的因素影响以外呢主要原因还是我们前面说那个辣条国标出台了然后在这个背景下呢它做了一轮涨价OK所以国标出台了不能卖那种添加剂更多的辣条了那工艺改良啊成本上涨这种影响最后都要谈谈价格上面了确实是这样子2022年的上半年辣条的国标正式出台了到国标正式实施的下半年呢魏龙就做了一大轮的产品升级采用了新包装新的生产工艺新的配方规格这就导致了价格的上涨
[00:26:09] 这个涨价其实就导致一个问题就是消费者减少了购买这两者相乘最终的收入就开始下滑而到了2023年卫龙的销售渠道问题是进一步暴露出来了卫龙是把当年蜡条营收下降的原因解释为线下传统渠道流量的下降怎么叫线下传统渠道简单来说就是小卖部或者一些非连锁的那种便利店或者是批发市场以及夫妻店大商超市不在里面的不在里面的对
[00:26:34] 所以就是到小卖部买辣条的消费者更少了学生更少了过去卖辣条是一门非常依赖线下渠道或者说传统线下渠道的生意直到2024年卫荣的线下渠道收入依然占到他总收入的88.8%所以这里就有个问题就是线下传统渠道流失掉的消费者到底去哪里呢这里有两种可能性首先就是我们传统意义上那种学校门口开的普通小卖部正在逐渐变成一些连锁的便利店或者一些临时的量贩店
[00:27:03] 卫龙在2024年财报的主席报告里面强调说公司正在拓展和优化销售渠道进一步加强与传统连锁商超便利店渠道的合作还积极拓展了临时量饭店仓储会员店这些新兴的渠道以更加贴近消费者的需求另一种可能就是这种线下流量可能正在转移到线上根据媒体披露的消息麻辣王子在线上渠道的营收占比已经超过了20%这个其实比卫龙的速度是快了不少的
[00:27:30] 这我比较好奇就是像辣条这样一个产品它的这个线上渠道指的是哪些电商其实就是你想象的传统的那些当然也有一些比如说相对新兴像内容电商或社交电商这种渠道这也是魏龙和麻辣王子竞争非常激烈的领域像其他快消品一样辣条行业这两年也是不断推出新的产品新的口味去吸引消费者甚至搞一些IP和跨界联名来增加关注度比如说我们前面不是提到魏龙有一个用魔芋做的素毛肚的产品吗
[00:27:59] 他这个产品其实有个专门的品牌系列的叫做小魔女这个是公司自己开发出来一个IP就是你说这还是有个形象的就是说他还有延伸的是吗是还有就是我们前面讲的这个辣条公司去讲故事的这个部分嘛前面我们讲他可能更多去讲那个品牌的故事就是所谓正宗的那个部分还有一类故事其实是创始人的故事比如说麻辣王子这个创始人张靖东他有个儿子叫做张子龙
[00:28:26] 张子龙这个人呢跟B站有一个比较大的up主叫做翔翔大作战合拍过一个视频然后呢搞出了一个热搜话题叫做麻辣王子创始人隐瞒儿子亿万家产20年是什么抓娃娃是吧具体我没有看过但是反正据说是这样就是说麻辣王子是通过这个故事其实核心是为了讲述公司的转型的故事比如说他为了推进辣条的健康化生机砍掉了就是
[00:28:53] 价值三亿元的低端生产线然后通过强的重资产的投入就导致公司长期处于一个负债经营的状态一种很新的企业品牌传播的方式反正就是讲了一个比较有意思的新的故事但是话说回来这么多营销推广都是要花钱的
[00:29:13] 可以看到卫龙在去年的经销和销售费用首次突破了10亿元同比增长是27.2%这个里面光是推广和广告费用就有2.8亿很显然这是那条行业在广告领域的激烈竞争显然还没有结束
[00:29:29] 刚才于老师是通过这个卫龙的财报也好包括一些公开的这个信息也好给我们大致分析了一下现在辣条行业的这个竞争的状态还有两家的一些主要的策略啊那既然讲到了最后一个问题就是这个辣条行业激烈竞争还没有结束那么讲一下你觉得接下来的这个发展会怎么样根据2022年的国标球这个辣条显然是会走向一个更健康的方向因为它所使用的食品添加剂品种的数量呢相比以前要减少七成以上
[00:29:57] 盐的含量也被控制了就下降了17.7%油的含量下降了10%可以说谁能让辣条变得更健康同时还能确保好吃这个就是未来的一个决胜的关键随着国家和消费者都越来越重视食品健康辣条市场的天花板也变得更加明显味龙是及时找到了蔬菜制品作为它新的增长点但是像麻辣王子这样更传统的辣条公司它目前产品线还是比较单一很难适应这种市场的新需求
[00:30:24] 以及相比其他少油少盐低糖低脂的零食来说辣条无论如何都很难说得上是一种健康的零食就是啊你前面讲的那个魔鱼我觉得就算是魔鱼它加了那么多调味料还能怎么健康就像你说的辣条本质上还是一种非必需的小零食消费者往往是一种冲动消费才会去购买的东西就比如说他在短视频里面刷到会去买一点或者路过的特卖店看今天打折了买一包
[00:30:50] 对于辣条企业来说销售渠道更新升级尤其是线下渠道的更新换代可能还是有很多需要适应的地方比如说我在临时很忙可能需要什么规格的辣条产品我怎么去通过抖音小红书去种草怎么在拼多多和淘宝上面卖的更多这些都成为他们应该要学的功课的确还有一个问题我觉得也非常重要就是口味回到我们最初讲的口味因为年轻人的口味潮流是非常多变的
[00:31:16] 吃辣已经算是一个维持时间很久的一个风潮甚至是传统了但是这种传统或者这种潮流能够持续下去吗会不会有一段时间你们就不要吃辣条了大家都成为你是吗我觉得可能不会就是因为吃辣不单单是一种口味上面的讨论就比如说有一本书叫中国食辣史他的作者曹宇就认为中国人建立社会联系的关键点之一就在于吃辣所以吃辣是一种社交
[00:31:45] 对它是一种共同受苦的体验OK当下城市餐饮消费当中辣的普及呢其实已经变成了年轻一代的身份认同但是随着人口老龄化和社会发展吃辣也有可能会慢慢地走下坡路而到了那个时候魏龙和麻辣王子这些辣条公司可能都需要找一些新的出路商业就是这样
