Vol.69 魔球：数据如何改变职业体育
[00:11:39] 它有一个软性的限制就是奢侈税线那是一个上限就是说如果你的工资超过了一个数值之后那你再多付一点钱的话你就额外要征收一部分的奢侈税扩大你的这个编辑成本那么即使是特别有钱的球队你也不能乱花钱但是有的球队真的是特别特别有钱他们还是宁愿去缴奢侈税去买球星的那他的这个支出就非常高
[00:12:00] 那另一方面没钱的球队他理论上可以全都签最便宜的底薪的球员而底薪和顶薪之间有可能这个差距是数十倍的那叠加在一起呢就整个这个球队的支出就会有比较大的一个差别那这个有钱和没钱的球队之间就会产生完全不同的经营策略对于像奥克兰运动家这样资金不是那么雄厚的球队来说他们是必须要精打细算低买高卖球员才能在省钱的同时呢尽量的维持竞争力
[00:12:27] 就是一个手里钱不是很多但是又很想炒股的股民的一个心态了等于说奥克莱运动家就是找到了一条很稳定有效而且比较省钱的路径了对的不过你从道理上面就可以发现魔球理论它其实并不仅适用于小球式的球队因为它的本质就是用数据取代直觉用更科学的一种方法去理解一项运动或者说一个game所以就算是有钱的球队它也可以是更加聪明的更加科学的去花那么多的钱
[00:12:54] 但就在2002年奥克兰运动家队获得成功之后呢陆续就有球队开始效仿比利比因的做法然后在这本书出版之后呢有可能这个效仿的球队就越来越多了很快这个魔球啊它就变成了MLB的一个主流的叙事甚至有了一个专业的名词就叫棒球统计学而且有意思的是啊就是媒体和球迷也非常喜欢魔球这个风潮因为这一方面刷新了他们对棒球的理解嘛
[00:13:17] 另一方面呢在他们看来魔球就使得以弱胜强变得更加可能了那这种戏码呢也是大家更加喜闻乐见的嘛那经过这样一个过程发展到现在数据收集和分析已经成为了MLB球队的一个经营的重点我们就看一个数字就能说明问题了就是2004年整个MLB大联盟一共30支球队全职的数据分析师还不到5人而在2022年就是今年这个数字在500到600之间
[00:13:44] 平均下来就是一个球队有17到18人是专门来做数据分析的你要知道就一支大联盟球队的正式球员名单也就25人就是前台和后台差别已经不是很大了相当于整个数据分析团队已经成为这个球队公司里面规模第二的一个核心部门了我觉得前台后台这个比喻还蛮对的就是相当于从公司角度来说后台这个东西被他们越来越重视了而且还有一个点就是数据分析师的地位也越来越高有不少人是成为了球队的高管
[00:14:13] 比方说我们前面提到的那个花钱最大手大脚的巴尔蒂摩精英队他现在队里面的副总裁就是一名数据分析师出身而他在加入桥队之前呢是一名NASA的科学家
[00:14:26] 讲到这里啊肖老师我还是有个问题我还想知道从商业角度来看魔球这个事情到底能带来什么好处因为你前面讲的魔球的作用主要是用小钱赢更多的比赛嘛那么赢更多的比赛就能为球队带来更大的商业价值吗呃约老师你这个问题看起来比较傻瓜但是你竟然这么问呢说明其实你是有一点了解的呃因为我们直觉确实会认为职业体育嘛就是你成绩越好球队的收入就越高但实际上往往不是那么简单
[00:14:54] 我们可以举出很多的反例比如说你去看一些咨询机构
[00:15:23] 这个就属于所谓的先天优势了就是你在一个大的球市里面你本身的价值就会高对吧没错另外就是大多数的顶级联赛顶级赛事它最核心的收入来源肯定就是电视转播的版权收入而这部分钱呢在很多联盟就是我这个联盟收了之后呢评分给各个球队的或者呢会有一些系数上的差别但是差别没有那么的大
[00:15:46] 所以还是回到之前那个问题就是球队的收入里面就是还是有一些跟成绩没有关系的部分对吧在很多情况下成绩还是会对球队的收入带来一些很大的影响的这个影响呢我简单的分为直接和间接两种先说直接啊比如说你在NBA打篮球常规赛成绩最好的球队那你就有资格去打季后赛如果你季后赛一直打打打打赢了打到总决赛的话那你大概会多出大约十几场的主场比赛
[00:16:13] 每场主彩比赛都有球票的收入还有转播的提成这个加在一起的话可能也有几千万美元了在足球上就更加明显一支欧洲足球的俱乐部如果你的成绩够好的话你就能参加欧冠比赛这也是全球水平最高的一个足球赛事那么按照2022年的数据你如果能够参加欧冠保底就能够获得1564万欧元的奖金如果你一路夺冠的话这个奖金加上一些转播的收入的分成总收入可以达到上亿欧元
[00:16:41] 熟悉足球商业的朋友们都知道就算是顶级的豪门啊这个上亿欧元对他们来说也是一笔巨款了小老师刚一顿输出啊把直接部分好像都说完了那么有没有间接的部分呢间接的部分呢确实会虚一点就是说如果你能长期保持好成绩的话那么你就更有可能吸引更多的支持者成为一个豪门球队那么会带来许多长期的收益比如说我们前面提到的曼联
[00:17:04] 为什么他现在的商业价值这么高啊一大原因就是他在上世纪90年代非常优异的成绩使他获得了全球的影响力比如在亚洲对吧那这个也是他现在即使成绩不太好也能有很大商业价值的一个基础嘛那换句话说如果你既是一个大球士同时又能取得很好的成绩的话商业上肯定会更加成功就像棒球里面的纽约洋基或者是篮球里面现在的荆州勇士队一样的而用正确的数据来分析运营球队那就是属于是后天努力的部分了
[00:17:34] 刚才我们主要是讲了魔球如何改变MRB的运动的经营生态在此之后魔球的理念就在职业体育界越来越普及了接下来我们就简单的介绍一下它在别的运动当中的一些普及的情况但是还是要插一个问题其实我前面就有点想提的就是为什么是2002年这个时间节点魔球能够在棒球球队里面获得成功这个理念到底是怎么来的好问题而且这个问题其实也跟魔球普及到别的运动是有一定关系的
[00:18:03] 简单的回答就是魔球这个理念肯定不是2002年才出现的它很早就有一群业余的爱好者把它给孕育出来的因为过去职业体育的核心一直是这个项目的运动员参与者不管是教练还是总经理很多人也都是运动员出身然后他们这个圈子就会觉得打球的才懂球你们那些书呆子还是外人是不懂的这个理念背后就是比较浓厚的所谓圈子文化或者兄弟文化
[00:18:28] 但是这些体育赛事它在电视转播之后真的影响力变得非常的大球迷也非常非常多这里面不可能只有参与这项运动的人也有只单纯喜欢看的人然后这么多的球迷就会组成很多的球迷论坛所以你的意思是美国也有虎扑吗差不多差不多但是是更加古早的BBS那种形式
[00:18:49] 那这些球迷的论坛里面干什么呢最主要就是天天来争谁强谁弱这个大家都知道这跟琥珀还是一样的对对对那这个当中就有一批人啊就是那个前面我们提到的被职业体育的这些运动员排斥的所谓书袋子们你可以把他们看作是一群体育数据宅他们也很喜欢看球但自己不会打
[00:19:09] 然后他们有很多人是会计师啊工程师啊程序员他们在论坛上面争这个谁强谁弱的时候就把科研的精神带到了这个带到讨论里面来了然后逐渐的就产生了一些专门钻研体育数据的一些爱好者其实他们就是魔球理论的一个源头这个源头其实从1980年代就开始了只不过到了2002年才在奥克兰开花结果包括比恩之所以会采用这个数据的思维来进行球队
[00:19:36] 主要也是来自于他的一位助手叫保罗·德普斯塔而这位保罗呢是哈佛大学经济学毕业的一位硕士
[00:19:44] 这个典型的会被老派球台鄙夷的人这个人一看就根本跟球没有任何关系没错这些人有的时候在球队里面会被称为制服组嘛这么这个叫法的时候一开始也会有一些略带贬义的但其实像玄猫团队他们也是一样的也都是业余自己开始来钻研的而美国的这群这个业余的爱好者书呆子们到了21世纪的时候已经形成了一个不小的圈子包括像MIT这样的大学都有人专门去研究体育的数据分析
[00:20:13] 在2006年这个群体就有一个标志性的事件发生了就是他们成立一个非常重要的会议名字叫MIT就是MIT麻省理工学院他们成立了一个MIT丝绒体育分析会议简称丝绒会议最早呢这个就是一个体育数据分析爱好者的学术交流的一个小会一开始就在一个教室里面举行的但现在它已经变成了全球体育界最重要的会议之一
[00:20:38] 而随着魔球在棒球领域就是开花结果有了发展之后呢四龙会议的不少活跃者也开始被一些球队关注到进入了职业体育的圈子里面很多人都成为了NBA就是篮球这些联盟的一些球队的高管这个制服组上位了对等于登堂入室了嘛比如说四龙会议的创办者现在就是NBA一支球队的总经理当然因为一些运动以外的原因我们在节目里面就不提他的名字了好吧要不然肖老师还是给大家简单介绍一下魔球给NBA带来什么改变吧
[00:21:08] 在比赛层面的改变呢大家可以去看玄猫团队的微博上面有一个连载叫纸上篮球以及另外一个公众号叫篮圈上的坐标系它在微博上面是叫篮圈计时原点它所写的一个数据科普的系列的专栏这个我都会列在show notes里边他们其实已经对于这个篮球里边的魔球改革说得非常清楚了在这里啊我就为了方便大家理解我就讲一些结论简单来说就是魔球理论发现啊在篮球场上
[00:21:37] 投篮得分效率最高的地方第一是靠近篮筐的篮下出手就是那种上篮这个大家很好理解另外就是三分线外的出手而在此之前呢篮球场上绝大多数的出手其实是集中在效率最低的中距离的投篮上面比如说中锋的那种低位的背身单打就是扛啊扛啊扛啊然后勾个手啊跳个跳投一下这种的结果数据分析就发现除了像奥尼尔或者姚明这种极其少数的球星以外
[00:22:03] 大多数人被深单打的这个效率其实是远低于头三分的射手的那感觉是在暗催我们的姚主席一个超越数据的男人但姚明巅峰期真的是很强啊话说回来因为毕竟不是所有人都是姚明那这个数据分析的结论就引发了NBA球队的打法和经营上面的一个重大的变化最显著的一个改变呢就是三分球的比重越来越高了
[00:22:27] 像2002年NBA马刺队的全队的三分球比重大概是28%就是他们每投100个球里面28个是三分球这个数据是排在全联盟第一的而到了2020年这个数据28%的话就只能排在全联盟铁定的倒数第一位了
[00:22:44] 等于是一个非常明确的大趋势所有的球队都在练三分我今年看了一场这个凯尔特人逆转获胜的比赛我感觉他们第四节一直在投三分而且每个都进了对对对那这个呢就是魔球对于场上比赛的一个显著的影响而在商业经营层面呢魔球也对篮球产生了很直接同时又很深远的影响
[00:23:08] 直接的部分其实和奥克兰运动家队有点类似啊就是有的球队他践行了魔球的理念或者说吃透了魔球的这个理念然后获得了成功这里边有一个代表呢就是米尔沃基雄路队他具体这个比赛的打法什么的解释起来比较复杂我解述一下就是他们引进了一位非常重要的球员叫洛佩斯这个球员擅长两件事情一个是投三分另一个呢就是在篮下阻止对方在篮下这个高效的地方出手
[00:23:36] 这个影员之后呢雄鹿队他就变成了一个怎样的球队就是他既擅长在篮下和三分这两个高效的地方出手同时呢他又最擅长阻止别人在篮下这个最高效的地方出手等于是攻防两端他都理解了魔球这个概念然后进行了一些魔球的理念而且感觉上会蛮好看的对因为这个就涉及到魔球的另一个概念就是当你的球队
[00:24:00] 你的队友都会投三分之后防守者也要跟到三分线外去防守那使得篮下的空间就更加空了就适合你一些球星比如说熊路队的那个字母哥他们就能够更方便的突到篮下这个高效的地方去得分等于是三分和篮下它有个互相的联动的关系
[00:24:18] 总之在这样的一个经营策略带动了球队打法的改变之后
[00:24:48] NBA里面现在投三分投的比较好的球员会更值钱呢于老师已经get到这个经营的点了感觉你可以去当NBA的经理了这个呢确实大大的改变了球员的经营策略和棒球的这个MLB不一样啊NBA呢它对于球队的薪资总额是有上限和下限的规定的当然也都是软性的所以大多数的球员的薪资支出呢差别没有那个MLB棒球那么大
[00:25:14] 而且一个球队一共就15名正式的球员他们每份合同的金额也是有比较明确的规定的所以本质上NBA的各个球队他们比的是什么就是比谁能够在同等的条件下面签的这15份合同能够更超值加在一起盈余更大那么他们就更有可能拿到冠军
[00:25:35] 这个就更加能展现所谓数据分析的一个价值了毕竟大家手上的钱都差不多谁能够获得更好的投资回报率这个还是很看功力的没错那当然呢这些部分都是球队层面的一些改变更大的改变还是整个篮球运动的也就是我说的声援这个部分因为投三分这件事情变得更加重要了所以像库里这样非常擅长投三分的球员成为了新一代的篮球偶像
[00:26:01] 这个大家应该都可能感受得到啊这就大大的影响了一批年轻的NBA的爱好者那这个差别在哪里呢就是相比于扣篮啊这个投三分是一个对先天身体素质要求没有那么高的技术所以本质上讲啊如果这些新的球迷他们都更加欣赏投三分的话他们自己也去练投三分这个是更加有利于篮球这个运动的普及的
[00:26:22] 而球迷的基数呢是一项运动的这个商业价值的一个基础了所以最近肖老师去练三分了吗没有没有但我最近看到一个视频啊就是有一群国内的小学生他们在打这个校队之间的比赛的时候最后就上演了两队互标三分非常厉害的一个场景这就体现出这个新一代的这个NBA的球迷已经跟之前有大大的不一样了这期节目呢我们主要还是把魔球的兴起
[00:26:46] 介绍了一下不过不知道大家注意到没有我们现在讲的所有的故事都集中在北美对而且集中在一些比较久远的时间段十几年前之类的案例比较多他们的发端都是在200几年这个21世纪初的时候实际上呢魔球风潮呢已经是飘扬过海而且有了很多新的变化
[00:27:07] 所以在下一期节目里面我们会继续介绍魔球在足球领域的普及以及进化后的魔球3.0版本到底现在是一个什么样的程度了那么商业就是这样
[00:27:24] 感谢收听这一期的商业就是这样你可以在苹果播客小宇宙喜马拉雅网易云音乐QQ音乐荔枝等平台收听我们的节目微信公众号第一财经emagazine也会推送每期节目的内容如果喜欢我们欢迎你在苹果播客给我们五星好评并期待你在各个平台与我们交流尤其欢迎分享你感兴趣的话题下期见
