Vol.98 串台《边角聊》：吉列如何把剃须变成全球大生意
[00:12:18] 为了应对这种毒气呢就必须要戴防毒面具但是后来很多国家的军人就发现有个问题就是说戴防毒面具的话如果你的胡须过于浓密的话会影响那个防毒面具的这种密封效果等于是你那个防毒面具白戴了就像我们现在戴口罩如果有胡子的话应该能感觉得到对的这可以讲句题外话实际上面在这两年疫情期间呢就很多欧美的公司也出台一些相关的一些防疫的要求可能要求他的员工必须把胡子剃掉
[00:12:46] 不然的话你无法有效的佩戴口罩其实道理是一样的如果你需要让你的士兵们就是在嵌毫里面及时处理你的胡子其实是一件非常有难度的事情就跟我前面提到的一点就是说如果你使用直踢刀的传统直踢刀的话要么你就是自己很笨拙的自己在那刮效率极低或者是你必须有战友帮你刮在那个枪林弹雨的情况之下这是一个很难想象的这样一个场景感觉还会造成一些非战斗简约
[00:13:12] 而且还有一个问题大家可以考虑一下因为你还要面临一个荡刀和磨刀的这样一个过程那不是更复杂了吗就是你子弹还来不及装呢你还装个磨刀石在身上面这是一个很不现实的操作在此情况之下吉利的这种安全的双刃剃须刀非常好地适应了战争的需求所以说在1918年就是美国开始参战的时候就是说是它吉利的双刃剃须刀就成为了一种标配成为了每个美国大兵
[00:13:39] 背包里必备的一个东西就是跟步枪子弹是一样的地位不是还有可口可乐吗没想到还有剃须刀然后美国大兵就背着剃须刀就赶赴了欧洲战场然后同时他们这种比较时髦的剃须方式也引发了他们一些邪恶国同行的这种关注大家就觉得很方便我也想要你的胡子是怎么剃掉的有这个东西所以说当然另外一方面的话大家都知道整个西线又是一个欠豪战在欠豪战的环境当中整个公共卫生就非常差
[00:14:08] 如果你留着胡子的话就很容易让狮子养跳蚤嘛你把你自己的胡子刮刮干净至少可以生上少几个跳蚤所以说我觉得这个也是一个很重要的因素吧所以说在这个几个因素之下
[00:14:20] 吉列的这种双刃提取刀就成为了一种战略商品以至于被美国当局投入相当大的资源进行采购也成为了美国陆军最主要的供应商之一就是跟那个枪弹是一样的等于是个军需品军需品了我们也用数字来说一下吉列当时的成功就是前面我们说截至1917年吉列一共累计卖出了110万把刀
[00:14:43] 整个一战期间就短短几年吉列就卖了350万把刀然后卖了3200万片的这个刀片等于是比他前面17年都要多几倍了一下子这个公司就上了个台阶了那这是一战的部分那相当于到二战的话这个事情应该更厉害了是的但是当中间隔的二十年代三十年代其实也是一种这种吉列的双刃剃须刀普及的这样一个过程因为一战之后呢就很多士兵卸甲归田复原了但是他们养成了在军中剃须的习惯
[00:15:12] 就是回到城市里面也养成了我也要踢我也要踢就是每天也要挖胡子这样一种习惯然后大家可以关注一下就是20世纪20年代的时候是一个男性外部特征的一个重大的转折时代在此之前就是你会发现留胡子的男生还是蛮多的他要么留山羊胡洛塞胡或者留个小胡子但20年代以后整个风系一新大家都以干净的脸庞和下巴成为了一种新的时尚
[00:15:36] 其中最典型的一个例子就是意大利的法西斯领导人莫索里尼这样的吗莫索里尼同志就是说他自己就是以自己有个干净的下巴为荣所以你去看莫索里尼的照片基本上你是找不到他留胡子的照片的然后他本人是极力的拥懂莫索里尼本人也是一个极力的消费者也是个爱好者有一个这个政界的一个很大的KOL给他做广告对而且虽然是法西斯阵营的当时他还喊出个口号意思就是说我们意大利要成为一个反叙叙的国家
[00:16:04] 然后就是干净的男性下巴是这个国家文明开化的象征然后还有一点比较比较离谱的事就是他为了要吹嘘自己的男性气概他意思就是说我的胡子特别硬即便我用吉利的刀片用来一次就要坏心的但实际上面当时吉利公司测算过他那个刀片的更换的速度他说一般的话至少要刮六次以上你才需要更换
[00:16:31] 但是那个握索里面为吹嘘自己的胡子的印以及以此来象征自己的男性气概就说吉利的刀片我用一次我就要换新的了就是我刮要么要刮干净的但是呢我的胡子可不好刮对然后到了二战时期的话就是说是跟一战一样就是说是那个剃须刀也成为了一种军需商品被投入了战场而且当时出现一个非常诡异的情况也是应和两位前面提到的那个吉利的全球化战略因为当时的吉利其实已经把他的工厂和他的仓库开遍全世界
[00:17:01] 从欧洲到南美到亚洲甚至亚洲到日本都有但是开战之后就会发现一个情况他的很多这种在法西斯阵营的这种工厂被征用了但会出现一个情况是什么呢虽然双方在战场上枪对枪炮对炮但大家都用极力的刮虎刀
[00:17:18] 虽然他可能被征用之后他不叫吉列了但实际上面他的一些工业基础和大家产品研发的基础全部是原来吉列留下来的所以说双方的阵营的人就是互相开着枪打着炮但彼此都用的一样的刮胡的这种设备就是在囚囤存异这一点之上他们只要找到一个桶就是都用吉列的刮胡刀对对对OK
[00:17:37] 我还在那个就是网上看到一段视频啊就是说有人去修复二战时期吉列就是攻击美军的那种剃须刀啊它是一个小的铁盒就像那个润和糖的铁盒一样的然后那个剃须刀就是那个剃自己的这个刀架可以拆开来对那个饼是一段段可以拆开来的然后刀片放在里面非常精巧然后那个人修复完了之后现在还可以剃就是每个人就是一个一小盒就是这样一个军需的产品大家到时候可以看那个视频就可以感受一下吉列当时那个产品是个什么样的状态
[00:18:04] 然后我们还是用数字来说明就整个二战期间吉列是一共供应了1250万把剃须刀和超过15亿片刀片差一句这还是合法授权供应OK还没有就是真用的那个部分还有些平行进口说明平行进口可还行所以后来有个说法就是说一战交会的士兵自己刮胡子二战交会的士兵每天刮胡子就是一个市场的数量一个大的变化
[00:18:32] 所以说可以想象到到战后以后吉列这个品牌就已经完全树立起来所以说它的业绩上面也是马力全开除了当时美国和加拿大工厂以外它在欧洲的瑞士法国像南美的墨西哥阿根廷还有巴西都已经开了工厂这个产能就迅速的提升了它就很快奠定在全球的一个体育道的领导地位了虽然这么说不太好但客观上我们刚才讲的那段就说明什么就是战争是吉列一个最重要的一个营销
[00:19:01] 他把剃须和吉列绑定在了一起然后再把剃须和男人的生活方式绑定在一起然后把这个生活方式就是怎么说拨向全世界了当然啊这个部分其实主要的解决的是一个市场普及的问题就是要更多广泛的人能够意识到剃须这件事情但还有一个问题要解决就是渗透率就是你普及了之后到底这个市场有多少人都去剃须了呢那提到这个部分呢就是要提到吉列的这个营销里面另一个很重要的特色就是体育营销
[00:19:30] 然后体育营销的起点其实就是在两次的世界大赛的一个期间沙老师要不介绍一下好呀实际上面吉列开始从事体育营销最早始于1939年因为那时候美国还没有参战对对对那时候他选择的项目是美国当时的国球就是棒球这是沙老师的守备范围是是是然后当时的话是在美国职业棒球大联盟的世界大赛这样一个期间当时吉列开始了自己的一个体育的一个营销
[00:19:58] 首先可以话说那一年积累公司其实上就把他当年的广告预算提升了50%
[00:20:05] 然后是达到了天价的150万美金当时的150万是1939年的150万美金然后其中呢极乐公司花了10万美金赤字10万美金买下了1939年美国职业棒球大联盟世界大赛的独家广播圈广播那时候还是听广播因为那时候还没有电视是听广播而且世界大赛的概念其实就跟现在NBA的世界大赛是一个概念对就是总决赛这是总决赛
[00:20:30] 然后在这一年世界大赛开打前一个月呢就激烈开始了自己的一个配套的销售工作因为当时他要宣传他自己的一个新的产品就是一个叫蓝极烈的一个刀片现在其实还有有蓝极烈的刀片然后当时就推出了就是说是标价每份49美分的世界大赛套装买周边买周边就是49美分然后这一年的活动呢实际上面就是说是引发了非常大的关注但是大家也可以想象嘛10万美金买下一个
[00:20:59] 世界大赛的广播群还是很有争议的当时大家也觉得这个项目到底会不会赚钱嗯
[00:21:06] 而且实际上面有一个对吉利很不利的因素是什么呢因为90的世界大赛呢是一边倒纽约洋鸡队490很少来进行纳提红人就换句话说你的播放时间变少了嘛本来最多可以打7场对现在只能打4场了然后就是广播时间少了一半但是即便如此啊就是说是他的销售还是大获成功我们前面提过他每一份的那个售价是那个49美分嘛然后这样一个配套的刀片套装前后一共卖出了250万份
[00:21:35] 远远超出了吉列的预估就几乎比吉列预估的多卖了一倍多如果是250万份的话乘以49每份就相当于要100多万美元的销售额回本的非常回本所以说这一点的话也是增强了吉列投身体育营销的一个信心和决心他觉得这个事情实在是太赚了我们一定要做大做强在此之后他就开始大量的把资源投到MLB美国直播大联盟的相关的一些广播营销
[00:22:04] 也会找来当时的一些球星做一些细虚的演示
[00:22:08] 说一句题外话就是现在的话纽约洋基队我们都知道是美国最著名的体育球队之一他在39年之后就养成了一个规矩什么规矩呢他的球员必须把胡子刮干净就是所有留胡子的球员去了纽约洋基队转会之后也要把胡子刮掉他认为这是绅士的象征说我们是绅士的球队所以这个源头有可能就在这次39年这个比赛里面对 然后还间接的影响了日本日本有一支也是一个老牌球队就是东京独卖巨人队
[00:22:36] 他也是说我们是绅士军团我们也要把胡子刮干净独卖军人不愧是日本的牛人感觉都很像所以说这一点的话都可以把它回溯到1939年这一次吉列的非常成功的体育营销然后在此之后吉列把他的视角也拓展出了棒球的范围就比如说拳击赛美式橄榄球都成为了他的投放广告的这样一个范围和领域基本上都是聚焦于体育
[00:23:02] 那么总结一下就是把顶级的体育赛事和大众媒体结合起来然后做大量的营销这其实是目前做品牌营销人都会的这套公式但是实际上吉列算是一个很早的而且很用力的实践者没错而且还有一个特点就是因为它的核心的受众还是男性这些受众全都是看比赛看球的这是一个完美的契合
[00:23:25] 所以吉列其实到现在为止也把这个体育营销作为他非常重要的一个策略除了像世界杯他也是长期的一个赞助商以外吉列还非常喜欢签约各个项目的顶尖的明星然后过去踢足球的亨利费德勒然后老虎武姿还有卡卡等等的反正都是当时最最一线的一些明星
[00:23:47] 我记得那个亨利和费德勒还有五字还是同时签约的当时就是说吉利一下子大手笔签了三个那个超级巨星是一个满轰动业界和轰动广告界的一个事件直到现在我们看到有很多这个吉利的一些高管写的这个书和文章里面都会强调说我们这个广告营销占他整个收入的这个占比一定不能低一定要很高对这也是快消品行业一个惯例嘛非常对当然了吉利这么做的目的呢还是要做一些绑定不仅是吉利和T恤这件事情的绑定
[00:24:17] 他其实做的更深一层他开始跟像男性气概或者说什么优秀的男性的这种感觉绑定我看到一个例子就是吉列早期做的一个广告就他说胡子刮得比较干净的人在职场上面更容易当高管什么呀这是不是也是一种刻板印象就是我感觉都能够想象摸了下巴的对成功人是剃完胡子的时候摸摸下巴那个画面了就像你们汽车广告一定要在山路上面甩一下尾的感觉对对对
[00:24:45] 好小结一下吉列呢就是在20世纪的上半叶吧他通过两次世界大战的一个特殊的机遇以及自身这个营销的强项再加上他真的发现了一个非常重要的一个大众的市场然后他就建立起了剃须这样一个非常大的一个商业的王国吧而且在政歌这个市场里面是有一个不可撼动的领导地位
[00:25:10] 那讲到这里我们要回过头来说一个话题刚才我们一直在说所谓的全球大市场还有它的普及
[00:25:30] 而在剃须刀这个生意里面其实核心的量产能力不是那个刀架吧应该是那个刀片吧因为刀片的需求量是明显更大的而且它生产难度看上去也比刀架更高一些没错高岳老师讲的这个量产这个概念其实非常重要我们举个例子比如说在1928年就是吉列早期的时候其实有另外一个刀片的生产商叫盖斯曼他发明了一种新的这个刀片的生产技术可以使这个刀片韧性更好同时更关键的是它是一个连续生产的
[00:25:59] 就是它可以加工一长条的一个这个钢带然后每个上面就是一个一个刀片然后把它再分开来就是一下子就可以加工完了这样的话等于这个效率大大提高而吉列那个时候用的呢就是还是一个传统的他自己发明的那种压刀片的机器就是要一片一片压的那就相当于一下出现了一个完全不同的新的方法对一个产能的大的跃升了
[00:26:19] 然后盖斯曼就很精明有了新的武器之后他也没有一开始打算就和吉列去正面的竞争而是找到了吉列公司总裁然后说我已经把专利和品牌都已经注册了你要不要高价买下我的专利呢结果吉列的高管断然拒绝然后盖斯曼说这样的话我就没办法了我只能全力生产我的新刀片和新刀架顺便说一句我这个刀片可以装在你吉列的刀架上面
[00:26:46] 但你吉列的刀片是装不在我这个刀架上面的感觉我们在利乐的时候讨论过这个话题对对对就是跟利乐一个概念然后后来吉列就发现了这个威胁不是一个虚的是一个真的对他生意产生一个很大的威胁的一个新的一个生产力后来他就没办法就是回到谈判桌上面花了几百万美元的一个高价把这个专利买下来了其实回过头来看吉列这家公司虽然说他开创了个人剃须这个生意但是剃须刀这个产品
[00:27:13] 历史上有很多重大的技术革新
[00:27:38] 还有现在已经更流行的像电动T渠道也不是吉列自己研发的吉列现在下面那个电动T渠道品牌博朗其实是靠收购来的没错其实也很正常就是这么一个有利可图的一个大市场大家都会想通过自己的努力去挑战吉列那么当中一个很重要的办法就是我自己来做技术研发来革新
[00:27:58] 当然啊吉列我们不是说他就是一点研发能力都没有他还是蛮注重研发的不然也不可能每次都跟得上这个技术的革新而且他的确自己还是研发了一些新的很重要的技术的就比如说现在大家流行的那种合适的TG刀就是那种什么三层刀片五层刀片的那个是吉列在1972年的时候发明的
[00:28:18] 当然随着剃须刀这个技术不断提升它就变成一个所谓技术门口很高的产业链尤其是在钢材的领域我们前面提到剃须刀片其实是有一些特种工艺的要求它现在的厚度可以做到头发丝的十分之一然后这个刀刃部分更是可以做到纳米级别的而且它还要做到防腐蚀还要耐用还有一点柔韧性在钢材行业里面你如果能做剃须刀片你意味着你就有最高水平的技术和工艺你可以生产任何的钢材
[00:28:47] 虽然有点夸张但真的有点这个意思因为我们查到一篇这个2022年新华社的报道他就说这个我国甘肃啊有一家这个钢铁的国企叫酒钢就是喝酒的酒钢铁的钢然后他们通过长年的技术研发填补了国内剃须刀片钢材的这个国产的空白他们说这个里面一个核心的难点啊就是要把这个不锈钢的含碳量从0.5%提升到0.6%就让它这个硬度可以变得更高
[00:29:12] 但就是0.1%的这样一个很小的这个数字的改变就是他们搞了好几年的研发而在此之前呢中国虽然每年可以生产3000多万吨的不锈钢但是这个剃须刀片的这个钢材每年有2000吨的这个需求量全都是要靠国外的进口的这个故事我们在原著笔间也听过一遍大家注意一下这个2000吨和3000万吨这个两个数字的比较就相当于这个比例是非常小的在总体里面
[00:29:39] 但是这个就是像剃须刀片这种钢材的一个特点就是它是一个典型的利基市场Niche Market它有利润但是门槛非常非常高一般来说都是少数几家公司才能掌握这个技术的确但目前的几大剃须刀的这个巨头它们使用的钢材几乎都是来自于日本德国瑞典的几家公司就一个手术的过来的
[00:29:59] 这里面呢我举个比较典型的例子就是一家来自日本的一个影线冠军就叫日立金属就是那个Hitachi那个日立
[00:30:07] 他最初呢就是在1960年代的时候他们自己的这个创始人啊就研发出了剃须刀片的这个材料他们就跑到美国去毛髓自建然后后来就成为了吉列的一个供应商然后这家公司呢他就钻在这个特种钢材的这个研发里面了不停地搞一些新的技术然后等他们研发研发然后抬起头来一看发现自己手里掌握的技术啊用武之地早就不限于剃胡子了他可以用来做手术刀做半导体的原材料然后在各种电子的高级电的设备里面做一些很小的一个部件
[00:30:35] 所以像如今的这个日立金属我就看到它这个产品的这个序列在电器啊各种那个工业的设备啊还在车里边啊都有每个你用到东西里面都会有一些日立金属的这个东西它的用量呢不是很大但是呢你就得用它家的别人有可能做不到那个水平嗯的确是一个典型的隐形冠军而且能往许多产业延伸所以说怪不得我们中国的公司也很想突破这个技术壁垒对怪不得这个新华社也要报道一下对吧
[00:31:02] 当然另一方面这些刚才能达到这么高的水平的品质其实也和像吉列这样的这种客户他们这个互相提高是有关系的我在网上看到有不少这种探访这个剃须刀工厂像吉列工厂这些视频它就会告诉你那块刀片是怎么做出来的关键是如何大批量的做出来这个里面其实有非常多有意思的know-how我们也在shownotes里面放了个链接大家有兴趣可以去看一下小老师其实从剃须刀开始讲一些特种钢材的内容想说明其实就是
[00:31:28] 正是因为整个产业链的能力能跟上来研发水平跟上来了极力才有可能说一度垄断全球男人这个体系需求
[00:31:39] 刚才讲了这么多吉利是如何一步步走向成功的好像这个所谓的百年企业一直处在增长道路上事实肯定不是这样的这家公司在成长中其实遭遇过非常多的挑战先不讲到早期盖斯曼用专利来威胁的这个故事还有1960年代做不锈膏刀片的这个事情其实都一度影响到了吉利当时的市场地位但是好在吉利都是及时的止损而且经历了这些考验
[00:32:06] 其实说起来的话这个凡是百年企业啊都是经历过一些大波大浪这个大的坎坷的就算他自己没什么问题会遇到大环境的一个变故嘛所以说自我纠错或者说是自我的止损是一个非常重要的能力没错所以最后呢我们就来简单讲一讲吉列在1980年代遇到的一次危机这个其实是公司经营管理层面的问题而且对于现在的大公司来说可能更有参考意义其实这个话题呢对我们比较熟悉的听友有可能不会陌生啊
[00:32:34] 关键词就是恶意收购就是在1986年到1988年这个两年期间呢极烈是遭遇了四次的恶意收购的这样一个冲击我们在第62期讲读完计划和第90期讲这个大酒店保卫战的时候呢都讲过这种恶意收购和反收购的这个故事啊
[00:32:53] 那在上世纪80年代其实美国是兴起过一阵并购潮的嘛其中很多都是这个所谓的恶意收购就是一些金融业的这个投资者他们利用杠杆拿了很多的钱之后呢来买下一些上市公司的控制权改造一通或者是整顿一下全都卖出去获利那这个过程当中呢原来公司的管理层往往会被扫地出门的所谓的恶意收的这个恶意啊就是针对管理层的恶意
[00:33:17] 而且那个时候包括现在的并购厂里面被瞄准的公司一般都是那种老牌的生产型企业就是它的基础很好市场可能大家认知度也很高但是因为种种问题它的业绩不一定那么好股价一般都很低迷股权呢又相对比较分散这就很容易被盯上对那那个时候的吉利啊就是刚刚这几条全部击中第一它的这个剃须刀的这个核心业务虽然很好但是呢它还收购了不少这个周边的一些业务
[00:33:44] 主要是在个人护理还有日用品还有一些产业链上的一些相关的公司但是这一些多元化的经营除了像欧勒币口腔护理牙刷以外其他增长都不是很好没有给它一些新的增长的空间所以说华尔街的一些机构大股东其实早就对吉列的管理层不满了华尔街野蛮人开始出现了对
[00:34:05] 那这个想要恶意收购吉列这个野蛮人呢一开始还有点神秘就在1987年的10月到11月啊原本平淡的这个吉列的股价开始逐步的攀升了在10月7日的时候呢还是37美元一股然后到了11月初的时候就变成52美元了当时市场上都在传肯定是有人盯上吉列了而且呢吉列自己也知道自己肯定是被这个欧易收购者要这个瞄住了但是他们不知道是谁直到11月13日呢这个买家现身了
[00:34:33] 这位这个门口的野蛮人呢叫罗纳德·佩雷尔曼这个佩雷尔曼他父亲也是一位企业家然后他自己呢是各大金融学毕业的然后沃顿商学院MBA读书期间呢就通过买下一个啤酒厂的股份又卖出去就赚了200多万美元的
