Vol.49 瑞幸如何“死里逃生”
[00:03:41] 到去美国IPO总共只用了18个月时间这个创了当时国内公司的一个记录但这个事情其实也可以反过来看就是有一个老板叫陆正耀他为了挑战能在多短的时间内做出一家上市公司来他就用现有的高管和投资人的关系传了一个局只不过他们做的事情恰好是在做一家连锁咖啡品牌极限挑战了我们后来确实也从其他的一些品牌那里听说过因为他挖了一些瑞幸的人就说早期的瑞幸不管是投广告还是
[00:04:11] 这些预算都是以在多少个月内要上市为目标然后倒推着来定出来的
[00:04:17] 这个公司每个月要花多少钱能花多少钱然后要达到什么效果其实都是定死的指标这个其实也是瑞幸你说与众不同的一点也好或者说是商业模式里边比较激情的一点我们之前一直强调就是上市在我们看来更加接近于一种融资的手段或者说是公司发展当中的一个工具本身并没有什么高贵的也不应该是一个终极的目标但实际上机构投资者和一般的普通人都会天然的对上市公司高看一眼因为他能上市就说明能够达到一定的目标
[00:04:46] 而且财务数据都是定期空开的然后又经过审计理论上也是可信的把上市作为一个营销卖点其实也是非常有价值的但是就像前面说的瑞幸在财务数据可信上这一点显然是不成立的不成立不成立对财务造假确实是瑞幸上市之后的一个重要的转折点上市前后这段时间我们作为媒体然后包括投资者能够讨论的就是从数据角度来看这个公司的商业模式是不是成立然后到底什么时候才能开始赚钱但是那些做空的报告和营收造假
[00:05:15] 新闻一旦爆出来之后呢这些就没有办法直接讨论了然后退市其实就是一个必然的情况了不过我曾经也觉得就是说退市加上破产重整之后这个公司就应该消停了结果实际上瑞幸的这个退市就没有那么简单它目前在美股市场还是可以交易的只不过不是在纳斯达克市场了而是在场外交易的所谓粉单市场一个关键词出来了月老师来解释一下吧
[00:05:40] 肖老师你看过《华尔街之狼》吗看过对看过这部电影的朋友可能就对粉单市场稍微有点印象它其实也是美国证券市场里面的一个交易场所粉单市场里面的那些公司就叫未上市证券顾名思义就是有些公司它满足不了在证券交易所的上市条件但是也有人想要交易这些公司的股份于是就有了这些市场
[00:06:04] 粉蛋市场的一个好处就是门槛很低它对于信息披露没有任何强制的要求那坏处就是流动性会稍微差一点交易的大多数也是那种股价不到一块钱的那种仙股叫penny stock能不能交易起来呢全凭你自己努力靠有些做事商来做事这就是所谓华尔街之狼的一个背景
[00:06:23] 理论上做得好的话粉单市场的股票也可以说以后转版到纳斯达克或者纽交所但这个就像是一个理论上的话题了所以实际发生的情况很少对的就是交易所之间流动性呢不管是在美国还是中国目前都还没有那么好但是大家也在努力的改善这个问题
[00:06:41] 打一个相对易懂的比方吧就我的理解啊就纳斯达克是一个正规的菜市场那么粉丹市场呢就是菜市场周围的流动菜饭那如果菜饭的这个菜卖的好的呢它有可能就达到了这个菜市场里面摊位的准入门槛就可以放到这个菜市场里面去卖了
[00:06:58] 是这个意思吗差不多瑞幸呢就相当于死死的抓住了菜饭的这个小推车赖在这个菜场附近我就不走了然后这个公司呢一边在做破产重整然后一边在赔偿一些投资者然后一边在做管理层重组他其实就是在等待刑满释放的机会等到这个风头过去了然后我就杀回菜市场里面了
[00:07:17] 其实我们看了一下2021年的7月份瑞幸就已经开始重新披露经过审计的2019年年报当时重新审计过的然后到当年的9月10月和12月他其实又把2020年的一些年报然后还有2021年的中报和季报都补好了这个相当于就等着投资人和股民重新认可他然后有一些消息人士也跟我们表示说瑞幸回到纳斯达克计划就是在今年也是2022年的上半年
[00:07:46] 而且它的估值呢还是参考星巴克中国的大概是140亿美元等于是强烈地表达了一个改过自新重新做人的一个态度是吧差不多我们也在那个录节目之前查了一下瑞幸现在在粉单市场上的一个报价是1.38美元每股等于市值是3.46亿美元但是我们刚才讲的那个估值是多少是140亿美元如果真的能够达到这个水平的话那是真的很了不得了
[00:08:12] 刚才我们讲的是瑞幸在这个菜市场周围徘徊的这个过程看得出他真的是对上市很有执念但是如果真的要实现这种所谓理论上的可能性的话其实归根结底靠的只能是实际的业绩对这个其实就引出到我们前面说的第二个问题就是瑞幸是怎么在丑闻期间稳住自己手上这么多门店不垮的据我所知瑞幸造假刚爆出来的时候有一些咖啡的连锁品牌是非常非常兴奋的
[00:08:39] 因为他们觉得说我能趁机接手很多瑞幸的门店但是实际上这种情况基本上就没有发生对当时其实不只是咖啡的品牌有一些别的一些零售的品牌也动了这个心思那么问题又来了现在瑞幸有多少店
[00:08:52] 蛮厉害的我看一下它的第三季度财报说目前有5671家店其中有超过4200家是直营店如果按照总店数来说它已经超过了星巴克中国在最新一季财报里面披露的数据那个是5360家这两家公司真的都很在意在中国5000家的这样一个整数的规模当然他们也很在意对方的那些商业上的动作对吧对
[00:09:17] 星巴克在中国发展门店的关键一步就是他原来的特许精英权是放出去的然后后来就收回来了开始以全职营的模式来拓展自己的门店拓展速度也非常快瑞幸一开始就做了是所谓全职营的模式每个店都是他自己的但是现在反而开始做一些加盟店这个是很有意思的一个变化
[00:09:36] 如果看瑞幸的财报我会发现他在丑闻最严重的2020年3到9月之间实际上砍掉了大概有600家直营店然后到2021年的第三季度也就是去年的9月份才把直营店的数量又拉回到4200家左右如果从门店形态来看2020年砍店的这个阶段主要砍的就是外卖厨房和那种座位比较少的自体店这可能也有很多运营效率上考量关掉一些不太好的店
[00:10:05] 但是从2020年初到现在瑞幸加盟店的数量其实一直在涨目前他们对于整个公司的营收贡献率已经超过了17%我另外又估算了一下在最近的两个季度里面瑞幸单个加盟店的营收可能增长了有60%同期瑞幸直营店的单店营收只涨了大概35%
[00:10:25] 这么听下来的话就是不论从这个开店的店数还是从他们的营收上面来说瑞幸的这个业务的重心已经开始向加盟店这个来倾斜了是吧因为直营店的这个规模放在那里4000多家瑞幸很难说一下子就转成所谓的加盟模式但是他在这个部分确实赚到了更多钱我们有一位同事诗歌他最近也是地了解了一下目前瑞幸在加盟模式之下是怎么去收钱的
[00:10:51] 首先瑞幸是不收加盟费的但是他要收这些加盟上一些设备费和材料费其次是加盟店如果这个店月收入超过2万元瑞幸就要开始从你的业绩里面抽成了然后这个抽成比例是阶梯制的最少也要抽10%如果你这个店的月收入超过8万块就要抽到40%听上去是一个入门门槛较低以抽成为主的一个模式我觉得8万以上可能不是任何门店都能做到的
[00:11:17] 但也不是够不到至于2万的话我觉得还是大多数门店处处有余没错另一个方面对于加盟店瑞幸的管理也是很严格的目前瑞幸的高管层里面有一个管门店运营的高级副总裁这个人叫曹文宝他来瑞幸之前在麦当劳中国做了超过23年然后最高当到过中国区副总裁这个意味着什么呢就是说瑞幸目前在接受一种类似于麦当劳级别的门店管理这个就很重要了我们也了解了一下目前瑞幸的加盟店
[00:11:46] 里面基本上都会安装一套视频监控系统相当于总部每天都可以看着你然后加上大须经理每天都会在外面群店抽查对于管理的要求员工的培训其实加盟店和直营店都是完全一致的再加上大家都知道瑞幸本身会用很多全自动的设备这个就能保证说不管哪种瑞幸门店出品质量都是稳定一致的这个例子的话其实体现就是他现在管理一个5000家的门店级别的一个连锁品牌具体有哪些做法对吧
[00:12:15] 但是说回这个加盟模式我其实有个问题就是理论上一个加盟的模式能不能做起来然后对品牌来说能不能赚钱首先还是要看有多少人愿意加盟这个品牌对吧对有多少人愿意付这个钱瑞幸都已经造假成这样了为什么加盟还能做得起来呢
[00:12:32] 这个我们想了一下其实还是要回到瑞幸上市之前那一波疯狂的开店和营销那个阶段的话不管这个公司的商业模式是否是可持续的或者这个玩法大家看不看得懂这个效果至少是已经拉满了可能连三线四线城市的人也开始知道有一个叫瑞幸的连锁咖啡品牌它的咖啡很便宜随便花几块钱可能就买一杯了他们对于这个品牌的了解到这里就结束了
[00:12:56] 也不会特别关心后面这个公司造假之类的事情
[00:13:25] 这个有可能就是做一个大型的连锁品牌的一个好处当然前提就是你真的规模够大能达到像5000加这样的水平而且你的产品还不能太糟糕
[00:13:37] 讲到产品了我们就要来聊一聊瑞幸2021年起死回生的过程当中一个最重要的单品就是深椰拿铁月老师你喝过吗没有啊包括后面出来那些什么丝绒拿铁之类的我其实都没有喝过所以今天就是一种硬聊的模式我之前看到过一个说法也不知道对不对你说有的人估算了一下瑞幸的业绩之后发现瑞幸的主要利润可能都来自于深椰拿铁这么夸张的吗这个怎么能算得出来
[00:14:04] 对不管这个说法对不对啊可能至少说明了深夜拿铁这个单品对于瑞幸来说是极其重要帮助他闲欲翻身的一个东西
[00:14:12] 而且在瑞幸之后呢会看到很多的奶茶品牌包括其他咖啡品牌也开始强势的跟进生椰这个原材料这个强势到什么程度呢就是2021年年中我去海南出了一趟差结果当地人在饭桌上跟我说现在连我们海南人都喝不上椰子了原来五块钱一个路边随便就能买得到结果因为供应商大量扫货都去做生椰拿铁了然后导致我们海南人都喝不上了
[00:14:34] 海南人喝不上椰子堪比阳城户人吃不上大夹蟹南京人吃不上烤鸭好吧说回来就是讲到这个水果的原材料扯开来一句其实就是从2021年的整个奶茶市场的竞争就可以看出来大家都有一点所谓节则而愚的意思像油干黄皮像香水柠檬这种小众的水果都有可能被快速做到所谓供应链上面都断货了椰子相对来说是一种比较大众的水果
[00:15:01] 像椰树牌椰汁做了那么多年然后这两年市场上也出现过一些小店的牌子像飞诺它被用到咖啡里面也不是瑞幸首创的包括植物机的概念这两年也很火相当于其实这个产品的一些前期的原材料的市场基础都已经打好了就等着像瑞幸的这样一个连锁品牌把这个概念推一把只不过推的这一把的不是星巴克中国也不是什么卖咖啡这样的一些品牌而是瑞幸
[00:15:26] 关于生椰拿铁这个产品是怎么来的呢我们看到过一个报道来自明亮公司对于这个前因后果介绍的比较清楚然后我们大致跟大家概述一下其实瑞幸在2019年就意识到生椰这个方向有机会或者说整个椰子这个事情有机会2019年夏天如果大家对于另一个连锁咖啡品牌叫里安咖啡还有印象的话它一度跟瑞幸是齐名的一个所谓新的咖啡连锁品牌
[00:15:54] 对如果大家对这个公司有印象的话可能会想起来说当时夏天他们有个很热门的单品就叫粉红椰子水这跟咖啡还有关系吗其实没什么关系椰子水就是你把一个椰子打开来就能get到的透明的液体的部分它其实就是有点像水直接喝起来口感比较好但是加了咖啡就正如像你说的就怪怪的更好的办法还是要把椰子水椰肉和椰油一起处理然后变成像椰树排椰汁那样有点像牛奶的感觉配咖啡才会好
[00:16:23] 2019年有一个叫耶翠的公司实际上就拿了自己研制的这种类似于椰浆一样的制品去找瑞幸去说我们能不能谈一个合作机会但是当时瑞幸因为种种原因就没有用这个原材料但是进到了他们的供应商库里面
[00:16:38] 到2021年瑞幸正式推出了深夜拿铁又请了当年很火的一个人叫利路修去做这个单品的代言人然后一下就把这个市场打开了但是正式推的时候呢出了一点小问题因为椰脆当时给他们提供这个产品是冷鲜品大家都知道冷链运输到各个门店这个成本都很高所以瑞幸最后换用了一个常温的产品这个常温产品就是由我们前面提到另一个做椰子的品牌叫飞诺提供的
[00:17:02] 等于这个烟翠起了个大早赶来个晚集就是没有抓住机会不过总结一下的话就是瑞幸研发的这个深烟拿铁这个产品其实主要就是靠供应商来推动的对吧产品是他们推动的最早这个概念是由他们来告诉瑞幸的那些技术难题也是由供应商来解决的最后瑞幸就是拿来用了其实餐饮行业的研发呢很多时候靠品牌自己确实不太够
[00:17:25] 门店能够做的只是一些细节的调整研发到大头还是基本上放在供应商那个环节了但供应商是有动力的因为他们一旦解决了技术问题就可以一下子吸引到很多大客户然后你如果做得早可能还有一点垄断的价值所以他们也会比较愿意做研发这种研发一般需要很深的那种消费者洞察以及对于市场流行趋势的把握但是我觉得要说生意或者私用拿铁这种东西洞察了什么流行趋势我觉得一点也没有他们都是在利用人性的弱点
[00:17:54] 那就是爱吃甜的对啊生意可能不太典型啊丝绒拿铁会更典型一点丝绒拿铁里面用的那个奶是由一家叫赛尚乳液的公司研发出来的
[00:18:05] 三上乳业这家公司本身挺厉害的他拿过雀巢的战略投资甚至接管过呼伦贝尔的雀巢工厂这是个奶吧严格意义上来说就不算是奶了我们看一下他的配料表第一名还是生牛乳就是正常的奶但是后面跟着的是什么呢有稀奶油炼乳无水奶油乳粉白砂糖糖浆增稠剂这个感觉消费者一口喝下去的是食品工业的吉大臣
[00:18:32] 这个其实就牵扯到一个问题前两年元气森林火的时候大家可能都在讨论说无糖是不是一个所谓行业趋势但是你说元气森林它是无糖吗它其实是用了代糖这个甜味是非常非常足的包括洗茶的奶盖和茶叶颜色的奶油顶我们可以说
[00:18:50] 国内饮料研发的一个大趋势还是在盐糖纸这三个人类口味的弱点上面来竞争和卡位对的我们在姐妹节目现在进行时之前也聊过一期代糖的算计讲的就是盐糖纸这个话题最早验证了盐糖纸这个策略非常有效的其实就是我们前面说的这些奶茶公司然后咖啡公司其实是一个跟进的状态咖啡在中国目前已经变得越来越像奶茶如果大家去观察一下
[00:19:17] 哪怕你现在去卖呢你也会发现很多是甜的那种特调咖啡然后这个吧台里面这个糖浆的品质多到可以开会感觉到你这个吐槽的心情对当然还有另一个问题就是连锁品牌它会考虑到所谓操作要简单稳定它不会要求你要像奶茶店一样慢悠悠的一个一个原料在你家搅来搅去搅半天它最好是希望你能够把多个原料和操作环节简化成一个一体化的物料
[00:19:44] 如果大家真的比较在乎自己的健康的话可能还是少喝为妙
[00:20:13] 到这里的话其实我们前面讲了三个问题就是瑞幸他稳住了资本市场然后把家门的模式走通了然后又顺势的运气比较好的推出了一个明星的单品这个时候作为一家公司他基本上苟住了最后的话要不我们讲一讲瑞幸最近的一些营销的动作因为毕竟营销是他最擅长的东西
[00:20:34] 我跟他们前阵子又搞了一个新的花样就是一口气买了90吨埃塞俄比亚的花魁咖啡豆而且号称是只用了10天这些豆就在门店里面被用掉了将近一半了田老师你知道花魁是什么吗我最近看到这个词还是在动画鬼灭之刃的第二季这个花魁是指这个花街里面的头牌的游女
[00:20:56] 完全串上串错了但我确实不知道在咖啡里边它是什么意思我对埃塞俄比亚咖啡的认知可能仅限于另一个很漂亮的名字耶加雪菲挺好的知道耶加雪菲的那些咖啡消费者基本上已经在通往精品咖啡的道路上走了不敢不敢说实话花魁我也是一直听到但是没有深究过的一个咖啡的概念
[00:21:18] 在这个节目之前我还查了一下才知道这个花魁这个概念其实在2017年就有了它是由一个埃塞庄园出品的日晒咖啡豆然后拿到了当年埃塞俄比亚生豆竞赛的一个冠军之后呢这个花魁豆又被一个中国的贸易商引入国内的名字花魁这个名字其实在中国市场才有的
[00:21:37] 后面几年呢只有这个庄园和这个贸易商合作引进的这类咖啡豆才能叫花魁然后每一年呢还给它标一个不同的代号然后瑞幸这次采购就是花魁5.08
[00:21:49] 你们精品咖啡界真的是越来越追求细致目前上的一些差异了这个消费者真的能够喝得出这种区别吗我其实很同意你这个说法就是很多情况下消费者其实喝不太出来不同咖啡之间口味上有什么区别这个其实就是精品咖啡很难像大众渗透的
[00:22:08] 一个问题瑞幸是怎么解决这个问题呢他其实是换了个方法我不强调这个口味上面有什么明显的区别我只猛进的强调这个豆子好是国际上认可的然后价格呢只是贵几块钱你最后喝到这个咖啡觉得味道比较好里面可能或多或少是有一些心理因素的也就是说对于精品咖啡这件事情瑞幸是完全把它当做一个营销的卖点来看的
[00:22:29] 其实刚刚创立的时候瑞幸就在做类似的营销买点比如说他们有一些所谓咖啡冠军来给他做认证然后有一些拼灰豆在国际上拿到金奖等等现在包括Noah在内的一些新的联手咖啡品牌其实都在做类似的事情但到了2021年瑞幸又在这个好豆子的概念上面增加了一些东西就是所谓原产地和规模效应这个相比起模糊的风味和模糊的好对于消费者来说冲击力就更大了你仔细想一想雀巢和星巴克在埃塞尔
[00:22:58] 对于优质咖啡豆的采购量怎么可能会比瑞幸低呢更大概率是会更高的对吧但是你不说的话其实我们不知道嘛对吧然后有可能只知道瑞幸因为他抓住了这个心理狂打这个方面的广告包括云南咖啡其实也在遇到类似的问题因为云南是目前中国最大也是最重要的咖啡产区然后因为新冠疫情波及到了海外很多市场加上本土的消费者热情就比较高所以大大小小的咖啡品牌几乎都在竞争云南的咖啡豆
[00:23:28] 传统的云南咖啡豆其实品质就没有那么好而且被某些大公司培育的以做商业豆为主很多年了等到精品浪潮起来之后呢有一些小庄园开始做精品豆也是为了做出更高的销售溢价但是到了2021年之后发生了什么事情就是所有的品牌都进到云南了然后云南豆内部就是在品种啊品质风味价格供应量等等各个方面都出现了全面的竞争这个市场变化的太快了以至于卡农是对这个市场完全反应不过来的
[00:23:57] 一方面他们做品牌或者说做品质的意识可能还是刚刚起步另外一方面呢他们又是对价格和需求量非常敏感的所以这个事情到底最后会变成一场所谓价格炒作战还是真正能带动云南豆的一些品质提升我们目前还看不出来刚才这段分析的话其实是站在这个云南的咖啡产业的基础上面来讨论的但对瑞幸来说的话他至少是在这个尘埃落定之前或者一个新的风潮兴起的初端抓住了这个营销的卖点
[00:24:25] 搞得好像我们收购了所有最优质的原材料抓住了这个点来打营销对 就是对于不了解全局是什么样的普通卡农来说这其实就是一个所谓比较明确的信号这个市场上面不缺所谓的大买主只要你品质够好你早晚都能搭上我瑞幸这班车感觉瑞幸的话有可能也是希望这些咖啡农能够这么想也是在对着他们来做一些营销当然我也想告诉卡农们这个市场上还有些别的车不一定要搭这一班
[00:24:54] 刚才我们讲完了四个问题到这边就是总结的时间我们看到瑞幸能够在这么严重的一个危机当中苟活住甚至是复苏过来还是因为他们做了很多个重要的补救措施
[00:25:07] 首先他虽然从纳斯达克退市了但是还是牢牢的抓住粉单市场保持这个交易不完全中断同时一边处理一些破产的赔偿管理层的重要的调整等于是保留了重新上市的一个机会第二在门店层面他怎么去做好这个业务他是调整了结构开放了家门并且在管理的具体措施上面没有放松再加上他在上市之前就已经把连锁品牌这个牌子基本竖起来了所以虽然出了这么大的一个财务的丑闻但他还能继续保持这个连锁品牌的过程
[00:25:36] 第三是瑞幸拿出了几个明星的单品比如深夜拿铁丝绒拿铁这些单品虽然看起来是市场上已经准备好的了只不过由瑞幸来踢了这个临门一脚但更深层次的原因是这些单品都能够抓住我们这个人类口腹之欲的一些基本的弱点它是一个食品工业的一个集大成的一个成果那瑞幸是抓住了这样一个机会
[00:25:57] 最后一点的话就是瑞幸最擅长的营销它目前做了一些基于供应链的一些营销的卖点想给自己加上一点精品咖啡的一个属性然后说法上又比精品咖啡的品牌更有冲击力或者说是更加直接对消费者来说也更易懂那么这种大规模采购的策略未来还有可能是影响到上游的一些生产的但这个现在还不太确定瑞幸这个公司能够起死回生确实是非常值得研究的一个商业案例一方面它做错了很多事情
[00:26:23] 尤其是之前的那些管理层它的整个发展策略非常畸形但是另一方面它确实抓了一个还不错的赛道就是咖啡然后又设计出来一个不错的商业模式也就是评价连锁店这是因为它踩在一个好赛道上而且之前跑得还不错才没有因为这么大的品牌危机被直接罚出场当然前段时间我也听说有人觉得说瑞幸的门店目前还在虚报流水新的这些财务报告依然是不可行的
[00:26:47] 这个说法呢我们没有办法证实就像当年洪水做那篇非常扎实的报告一样花很多时间和人力去做排摸我们目前是做不到的但是可以预见一个什么问题呢就是作为一家有前科的公司瑞幸如果想再次上市针对他的财务数据审查一定会特别的严格和全面没错这个也是我们最后想要重新强调的一点就是很多时候市场是不容许你犯大错的不管是账面上的还是运营上的商业就是这样
[00:27:15] 感谢收听这一期的商业就是这样
