Vol.123 成为“更适合中国宝宝体质”的奶粉公司
[00:03:49] 那我们先从起飞开始啊月老师你前面说飞鹤的前身是一家东北牛奶厂对的准确来说是黑龙江省齐西哈尔市的宏光乳品厂当时隶属于黑龙江农肯局飞鹤这个品牌是这个乳品厂在1984年推出的因为齐西哈尔管辖着中国最大的丹顶鹤国家级自然保护区然后齐西哈尔也被叫做鹤城那搞个飞鹤牌也是顺理成章了目前飞鹤这个老板叫冷有冰
[00:04:17] 他原来是鸿光乳品厂的上级单位叫赵光农场的一个负责人1990年代整个农场开始做股份制改革农业兵就和当时这个乳品厂的总工程师刘胜慧集资开始购买当时的农场股份准备把它变成一个民营企业那这个策略呢后来跟黑龙江农肯局的计划出现了一些冲突因为农肯局的计划是把它旗下所有的乳制品企业都整合在一起形成后来的玩大山集团
[00:04:44] 那经过协商呢在2001年冷友兵就放弃了他当时已经快要拿到手的这个设备和厂房这些实物资产但是他最后拿走了飞鹤这个品牌之后呢他又带着一百多位老员工去附近的客山县集资买了一个如品厂把这个厂房改造一下产线做一做然后开始做起了自己的飞鹤排南粉大的框架是一个比较典型的东北国企改制的这个故事
[00:05:09] 但是这个结果比就是漫长的季节这个电视剧里面要展示的好啊按照我们同事许世宇也是这个偏飞鹤的言报的编辑的这个说法啊飞鹤属于一个结果还不错的一个画纲另外就是也比较特殊的就是飞鹤他没有选择去国企改制的过程当中拿下那些这个硬的资产而是保留了品牌和团队反正是有一些自己的想法吧
[00:05:33] 但是在这个过程里面呢钱始终是个大问题罗友斌在做飞鹤的过程中说是集资干了各种事情其实还是有一部分是所谓的借债嘛那飞鹤刚刚成立他造血的能力还没有办法这么快提升上来那之后如果要扩产期又需要钱所以说融资始终是这个新公司的压力
[00:05:50] 那在这个过程里面罗优宾尝试去银行申请贷款然后被拒了他也尝试过说国内能不能上市来融资结果一看这个前面排队等着上市的有一千来号企业所以他也放弃了最后飞鹤想到一个办法就是尝试去海外上市融资而且在2003年就实现了纳斯达克上市哇成立也就一两年怎么就纳斯达克上市公司了呢其实这里面这个说法上面有些玄机这个飞鹤当年首先是一个所谓即合上市的案例
[00:06:18] 他给自己先搭了一个美国的母公司然后把他的这个股份收购了然后这个美国母公司呢再去收购一个当时股价只有几美分的纳斯达克上市公司他不就上市了吗其次呢他的上市地点也不是纳斯达克的主板就是我们现在常说的纳斯达克而是一个很边缘的市场叫OTCBB这个我个人感觉这个跟国内的可能新三板或者新四板都差不多了
[00:06:42] 当然后来飞鹤一有机会就是他业绩一往上走呢就开始转板先是转去了纽交所的中小板然后2009年又转回了纳斯达克的主板股价也慢慢涨到40美元左右所以一开始其实是所谓的被逼无奈赴美上市啊那么这个折腾了一圈之后他在美国到底融到钱了吗其实他后来就是说往上走了以后还行啊但是一开始这个所谓的上市拿到钱其实非常少最早上市的时候飞鹤一共才卖出去150万美元的股票
[00:07:10] 其中有37万美元是用来支付各种手续费的另外还给操作这个借壳过程的中间商给了42万美元的现金和股票那等于他最后拿到手的只有一半了按照当时的汇率之后人民币的话还不到600万元这个非常微小的上市非常微小的上市
[00:07:28] 但是这美国上市呢其实给当时的飞鹤买了一些额外的好处因为美国市场对于食品的安全监管会比较严当地的投资者也很注重各种资质和产品品质的水平所以呢飞鹤和当时的很多如平企业不同它会花比较多的钱在就是源头的问题也就是牧场和奶园上面2020年飞鹤还把自己常年合作的这个第一大奶园供应商原生态牧业直接收购了它其实就是进一步想要强化上下游协同
[00:07:57] 而这一系列做法的好处是到2008年才突然凸显出来的2008年发生的大事很多啊那其中和乳品行业高度相关的就是臭名昭著的三居前安事件一年之内啊这个著名的三路集团就倒闭了
[00:08:13] 是的三聚氰胺事件基本上波及到当时国内乳品行业的所有大公司但是飞鹤不再起列因为它的品质确实没有减除任何东西所以说这个事件之后呢它反而一下就鹤立鸡群了那事件之后呢这个飞鹤的业务就是井喷式的增长据说单月的增长率可以达到600%它迅速成为了黄河以北地区的第一大奶粉品牌飞鹤原本以为说自己借着这个东风呢可以长驱之助拿下更多市场
[00:08:41] 但是实际情况是这个三聚情案事件之后呢一方面像某牛伊利这些大厂并没有完全的被打倒另外一方面呢外资品牌又借着这个机会开始加速渗透中国市场人民日报在2014年引用过一个统计数据它说2009年之后有超过100个新的羊奶粉品牌进入了中国市场那这些羊品牌不仅信任度更高那提价也更容易
[00:09:05] 我记得当时其实很多这个报道都在讨论的是中国的乳业或者是奶粉行业会不会就就此摊他的一个问题了而飞鹤虽然当时他这个品牌形象比较优质但其实仍然处于成长期规模也不算最大的那个级别那这个时候突然多了很多的竞争者而且个个都很强实际上是一个非常危险的局面而且当时还有个危险的问题就是飞鹤身上背了一个和红杉资本的对赌协议
[00:09:29] 此前飞鹤为了抓紧扩张他缺钱就引入了红杉的6300万美元投资但是呢他要保证2009年的销售业绩达到一个很高的目标结果自然是没有达到啊到2011年飞鹤就连本带戏分四次归还了红杉的投资回购了自己的股票还出售了旗下的两个自营牧场相当于有点折损了
[00:09:51] 那如果从2009年到2016年这个阶段的业绩来看飞鹤当时的收入只是从18亿缓慢爬升到了37亿如果算年复合增长率的话只有9.1%反正不算是一个很好的水平
[00:10:04] 所以就是说在这个三聚前安事件之后它长期的一个发展的态势其实没有当下那个事件之后那么紧绷的那种状态对反正是当时有一些乐观的估计了那直到2016年下半年这个市场才又给飞河送来了一个利好当时有一个叫因诱而配方如粉产品配方注册管理办法的一个行业规定开始实施后面我们就简单把它叫做注册制了
[00:10:29] 注册制当时主要卡是两方面一方面是奶粉的产品品质基本上把奶粉的监管提升到了跟药品一样的监管水准另外一方面是准入门槛每个乳制品企业的工厂最多可以注册三个品牌共计九种产品配方每次走注册流程就要一到两年这个注册制的规定就大大的打击了一批靠贴牌代工生产的小品牌因为他们这个厂
[00:10:55] 只有这么少量的一个量级可以注册的话其实是轮不到他们的反过来也有利于自营奶源而且产品集中度比较高的一些品牌当然还有一些反向操作的办法就是如果你钱比较多这个企业可以直接去买一些工厂看到这个稿子里面引用了一个乳品专家的说法说那几年澳洲奶粉工厂的价格是在成倍的上涨
[00:11:16] 也属于是充钱也能解决一部分的这样一个问题但是飞鹤的话它其实本来就是先天对这个注册制比较友好对反正是有一些优势其实在2016年飞鹤也在充钱但是这个方法不太一样当时飞鹤出钱是做了一轮非常大的品牌定位和产品线的调整这个基本上塑造了我们现阶段比较熟悉的飞鹤形象
[00:11:40] 可以说之前的改制上市融资包括三进前安的事件和这个注册制的实施啊都可以视为飞鹤在起飞阶段的一些助跑和借力吧但是真正它起飞的那一瞪啊是这次品牌和产品层面的调整让它变成了一个更适合中国宝宝体制的一个东西
[00:12:01] 刚才我们一直在cue他这句蛮著名的slogan现在更适合中国宝宝体制这个说法已经成为了社交网络上面一个经常用的一个梗反过来说作为一个公司的slogan的话就能体现出他相当的成功了相当成功这是品牌定位调整里面一个经典案例了飞鹤原先的slogan叫一罐好奶粉罐是罐车的罐
[00:12:23] 这个一方面这个slogan比较简单另外一方面它既有点像书面语又像一个不太好笑的谐音梗要扣钱那更适合中国宝宝体制这个slogan呢是找当时的一家品牌咨询公司重新起的那内涵就比较丰富那这个slogan对于消费者来说呢就能体现出这个产品首先营养价值还可以其次呢它对中国小朋友的适应性可能会更高一些那对于外资品牌来说呢就能展现所谓内外有别的一个心理区隔
[00:12:50] 但是有个问题啊其实这个slogan能够匹配的是所有的这个中国的奶粉品牌嘛而且你像这种内则大品牌伊利猛牛这些它也可以这么叫那你到底怎么来体现或者说是强化出它这个slogan的含义呢其实光靠slogan是不行的所以实际在线下的销售过程中呢飞鹤的推销今年会主打另外一个卖点叫新鲜
[00:13:11] 前面我们提到飞鹤是所谓的自营奶源它可以用自家牧场里面的新鲜牛奶直接来生产奶粉据说从挤奶到加工两个小时内就能完成而大部分品牌的配方奶粉是要直接用进口的奶粉作为基础调配的这种进口奶粉也叫大包粉顾名思义就是一个规格很大就是原料级别的很大规格的奶粉那通过国际贸易流进来呢本身在新鲜度和营养成本上面是不如飞鹤这种模式的
[00:13:40] 而这种新鲜的特点在门店的倒购时候里面会用比较直观的方式来对比呈现出来有些飞鹤的股民自己在门店调研时候就发现说倒购会强调飞鹤的奶粉冲完以后颜色更自然然后闻起来喝起来都更有奶味然后溶解过程也更快更好如果小朋友的父母很讲究眼见为实的话这种线下的推销过程当中被飞鹤说服的可能性就蛮大了
[00:14:05] 是的这里稍微有点扯远了因为线下渠道部分等会我们还会再提那回到品牌调整当时飞鹤不仅有了新的slogan还做了几件事情一个就是砍掉了所有价格在200元以下的传统产品开始走一些高端高价路线强推的就是它的核心品牌叫新飞帆另外呢就是做了一轮铺天盖地的品牌推广
[00:14:26] 包括线下的门店的物料更新以及请张子怡代言全线产品还有做了一大轮相应的广告投放等等等等根据飞鹤总裁蔡芳良此前接受媒体采访时候的披露2017年上半年飞鹤总共投放的电视广告就有23700多档这是万啊后来有做空报告质疑说飞鹤这个广告投放量和他的投放费用有不匹配的地方可见这方面投入无论效果如何都还是很受外界关注的
[00:14:54] 另外还有一组数据就是2016年飞鹤整个公司的净利润只有4.1亿元但是当年公司在广告上面的预算就是5.5亿元之后很多年里面包括广告费宣传费线下活动会在内从成为销售和经销开支这一项都可以稳定的花掉飞鹤30%以上的年收入
[00:15:16] 我忘了之前从哪个地方看到有朋友想请我们聊一聊为什么奶企这么喜欢投电视广告并且砸很多钱去外面那些顶级综艺其实这个题目不是很好聊因为缺少比较准确的一些投放效果的数据但是从飞鹤的这个案例里面可以看得出所谓高举高打的这样的一种营销的思路基本上是大的奶企的一个标配
[00:15:38] 其实我觉得这里面好像也有一点点消费升级的理念因为牛奶是日常生活中
[00:16:07] 这边有个很关键的点就是飞鹤其实在面对很多外资的或者说是本地的这些大的品牌的竞争过程当中他主打的这个铺开的面是在所谓的这个一二线以外的一些低线城市的对的他从一开始就没有想到说要跟这种大品牌也好或者外资品牌也好做一些特别正面的竞争他所打的就是他最熟悉的那个低线品牌的市场
[00:16:31] 在这个市场里面再做一个相对的品牌升级或者说所谓的消费升级是的就是不要小看中国这个广袤的腹地
[00:16:41] 那要想触及这些低线城市的消费者除了靠张子怡和吴京不断地在电视上出现这个飞鹤也要主动出击不停地直接出现在大家眼前出现在地面上这个也要提到飞鹤另外两个能力一个是叫消费者教育能力另外一个是渠道能力消费者教育又出现了我们前面提到飞鹤这个所谓销售和经销开支里面线下活动费也是比较大的一块这些活动其实主要是针对家长的
[00:17:07] 因为婴儿产品是属于典型那种消费者和使用者分离的模式小孩吃奶粉但是付钱的是爸爸妈妈所以说服爸爸妈妈是重点而在飞鹤体系里面设计了三个等级的消费者教育活动规模最大叫嘉年华就每场有300到500人可以参与就是一边玩一边给你讲解其次是叫妈妈的爱研讨会还有各种各样的中小型研讨会主要是给就是说士林的妈妈做一些育儿的知识普及
[00:17:35] 最后呢是在线下门店做一些几十人规模边玩边讲解的叫迷你秀反正就是有各种各样不同的教育活动从2020年开始呢还有60%左右的这类活动因为疫情的原因被放到线上举行那如果我们看一些数据2021年公司所举办的这三类活动合计起来超过了100万场那当年是累计吸引到了227万新客户100万场这个活动虽然里面有很多应该是很小类型的活动都算进去了
[00:18:03] 但是100万这个数字还是一个非常夸张的一个量字这里面其实涉及到婴儿产品的另一个问题就是它是一种阶段性消费比如你这个小朋友即使你再喜欢吃奶粉你其实也就吃三年左右绝对不会再吃了而且逐渐的这个量都会减少的是的那就相当于说每年都会有大量的喜欢吃飞鹤的老客户流失走他没有老客他没什么老客所以说所有的母婴品牌都会面临这个问题所以他每年都要去拉新的客户
[00:18:33] 而且你还要整体销售额还要提升这个压力就会比较大结果我们前面说的说飞鹤把新鲜作为卖点就更需要这种粘性很强互动很及时的活动来活客了那跟这个消费者教育能力相关的就是渠道能力的建设
[00:18:50] 其实疫情这几年飞鹤把很多活动转为线上对于它在活动方面影响好的方面可能是节省了一些场地费坏的方面就是不够贴近消费者这个说服力不足实际上飞鹤是非常注重线下渠道的建设的尤其是一种东亚特色渠道叫母鹰店怎么还从中国宝宝直接上升到东亚特色
[00:19:12] 这个确实有道理因为母婴店只在中国以及它的发源地日本这两个国家才是比较受重视的消费渠道就是我们看一下欧瑞的统计就是中国目前的奶粉市场渠道分配比例来看有50%比例是落在母婴店的33%左右落在线上就是传统的商超渠道只占16%那反过来说欧美市场其实没有母婴店的他们那个奶粉都是放在大型商超里面卖的
[00:19:38] 所以说为什么外资男方品牌就是很喜欢中国的一线市场呢因为在一线城市的话就是商超比较发达就是跟他们在本地市场的经验会比较符合适应度会比较高我相信我们很多听友都没有逛母营店的这个经验所以于老师要不要简单介绍一下这个母营店是什么样的
[00:19:57] 我觉得可以理解为一个专门卖母婴产品的小型百货商店感觉这种业态在中日都比较流行的一个重要原因就是说这两个国家的母婴市场集中度都非常低
[00:20:10] 产品和品牌是很多元的消费者想要从这么多的产品和品牌里面挑选出自己想要的东西就很困难因为选择太多了他其实需要一个一战式解决的目的里把他东西都放在一起做很好的比较而像飞鹤这样的品牌正好就是头起所好他把销售和推广中心也都压在母营店里相当于所有的活动都是跟母营店或者说一些大的渠道有强的绑定
[00:20:35] 目前在销售模式上面飞鹤不是完全靠自己它主要是靠经销商来管理这些渠道的截至2022年末公司有2700多名线下经销商覆盖了全国约94000个零售销售点所以经销商和飞鹤之间都是所谓的直线联系的它没有所谓总代或者二级代理之间的这种中间层级那这个结构还是属于比较特殊的那怎么管就是比较考验它吧那飞鹤为了维护这种经销商关系也提出说
[00:21:02] 经销商产生了各种活动费用就可以在费用发生的第15天内完成结算这样经销商不用为这些活动垫丝太久资金也可以用来招聘更好的导购办更大规模的活动源源不断地拉来新客户最终带来更高的收入这就是一个很好的正向循环不用垫款一个能让众多经销商和乙方公司感激涕零的一个做法不过这个模式里面还是有一些问题首先就是你前面提到飞鹤跟经销商这个关系它很扁平嘛
[00:21:30] 那经销商数量有很多那对于飞鹤这家公司自己来说就管理的难度就比较高另外一个就是说这个消费者他前期在母婴店里面玩了很多听了很多完成了很多前期的教育但是呢他后来的很多母婴一号品就可以转向电商平台了那除非你这个母婴店能始终去捕获到很多的新客户否则他的效率是不是特别高的第一财经杂志这一期的这个封面专题里面呢就提到一个例子就是一个母婴用品公司的老板他就说
[00:21:58] 海淘比较盛行的那几年啊他公司附近的保税仓里边基本只有三类产品就是红酒奶粉和纸尿裤中国电商这么发达确实是更利于这个线上渠道发展的那么如何平衡好各类渠道之间的关系其实也是像飞鹤这样的品牌方必须重视的问题
[00:22:18] 到这里呢我们基本上把飞鹤发展过程当中一些重要的节点以及它自己的一些重要的差异化的能力都讲了一下那从品牌产品渠道和资金情况来看呢飞鹤的确没有什么明显的短板如果机遇把握得当的话呢确实是可以实现业绩的年年增长事实上呢它也的确是目前中国这个婴幼儿奶粉当中市占率排名第一的一个品牌对所以说2002年飞鹤的这个flop大家还是比较吃惊的对到底发生了什么呢
[00:22:47] 首先就是我们前面已经提到财报里面可以明显看出来就是这个公司的收入和利润正同时在下降这也在公司的历史上其实算是首次了因为2021年也出现过这种情况但是大家仔细看一下可以发现当年利润侧的下降主要是因为它
[00:23:05] 这就是他
[00:23:33] 为什么被叫做奶粉毛的一个重要原因结果到了2022年这个毛利率是直接掉了65.5%就掉了一个很大的数字公司当时的说法是当年的液态奶和其他乳制品销售变多了导致整个公司的成本结构出现了变化这个说法怎么说呢反正至少可以说明的是它原本最赚钱的毛利率最高的奶粉卖的少了对的其实就是话两别说的一个方法
[00:23:59] 还有一个比较危险的信号就是飞鹤的存货周转天数出现了上升我们前面提到飞鹤的卖点之一不就是新鲜吗然后它又是走经销商模式理论上它这个货不应该在仓库里面压太久此前在存货周转上面飞鹤也一直比同行要好比如说看一下像奥优啊或者奔英美亚实力他们的存货周转天数一般都在120天以上最多其实可以存到200天那飞鹤一般是控制在60到80天
[00:24:25] 但是2022年的中报里面飞鹤披露说自己的存货周软天数已经上升到了100天左右这个其实已经不太合理了所以2022年下半年飞鹤花了很多精力去库存最后这个变化体现在了全年的财报里面但是也造成了经销商端压了比以往更多的货这里边有一个猜想啊我们的猜想就是为什么这个存货激增的问题出现在2022年上半年呢我们感觉主要原因还是因为当年上半年全国的这个物流形势都不太乐观
[00:24:53] 的确会出现很多产品运不到门店的这种情况同时门店和线上的客流量
[00:25:22] 这个其实是要非常警惕的尤其是飞鹤这种比较扁平但是规模又非常大的电商商体系很怕这个价格出现动作变形的对的最后我们还是要提到没有办法回避的宏观因素就是新生儿数量的下降
[00:25:37] 如果我们拿2022年的新生儿规模和飞鹤前面说开始起飞那个2016年下比会发现这个新生儿规模基本上跌了50%是一个很猛烈的下跌那在这样的局面下如果公司要保证业绩未来还能再上升基本上只有两条路要不然就是进一步扩大自己的市场占有率这个飞鹤已经是第一名了还要再扩大要么就是选择直接提价飞鹤的产品已经蛮贵了还要再提价
[00:26:03] 所以说这个两点对于飞鹤或者说处于整个经济下行期的乳制品行业来说都不是很容易做到的还有一个点就是新生儿的规模它的变化不仅直接影响奶粉企业的销售收入其实也影响生产因为在新生儿的规模攀升的几年里面飞鹤已经逐步把自己的产能扩充到一个比较高的水平了如果市场的需求量没有跟上甚至是萎缩的话产能的利用率首先就会下降
[00:26:29] 其次就是此前的产能的投资的回本速度也会变慢如果他没有找到一些更好的办法比如说出口的话他确实很难消化这种产能了回过头看其实很容易发现飞鹤在启动阶段和它的成长阶段都很依赖当时的人口红利加上一些政策因素和黑天鹅事件多做营销多扑渠道这种高举高打的战略其实就很容易收获很高的收入但是现在人口红利相当于一下子就消失了
[00:26:56] 消费者规模断崖式下跌而且这个状况可能要维持好几年那对于飞鹤来说能不能在这股逆风当中挺下来那就是它之后能否再次起飞的一个基础了
[00:27:06] 如果看近几年的数字的话的确这几年新生儿的数量的下降是比较突然或者幅度比较大的但是如果我们长期的看或者说是看历史上一些其他地区的情况的话人口红利总是要消失的新生儿的下降我们完全可以把它看作是一种长期的趋势或者说是奶粉行业在中国的一个长期的基本盘来看的其实对于飞鹤这样的公司来说的话它就必须要抓紧时间寻找新的业务机会
[00:27:34] 这个说法听起来有点悲观不过就像我们前面说的其实其他那些发达国家的一些奶粉或者是乳制品的公司都已经走过这个阶段了是的拥有理想商业模式的公司其实是可以实现穿越周期的而且这个公司有可能比它的创始团队或者说它的消费者活得更长久如果飞鹤这次能够成功地穿越这个人口周期也许它未来没有办法飞得更高但是它有可能飞得更远或者更持久商业就是这样
[00:28:09] 感谢收听这一期的商业就是这样你可以在各大播客平台收听我们的节目如果喜欢我们
