Vol.51 “宁王”滤镜背后真实的宁德时代
[00:05:10] 曾益群去了香港星科以后如鱼得水他凭借很好的一个技术功底到了1999年曾益群就已经是香港星科唯一的中国内地级的技术总监了然后曾益群就迎来了一个重要的转折点是什么呢当时就1999年的时候各种小的那种消费电子的产品是在市场上越来越多的而且有一个变化是离电池主要成为这些产品的一个主流的电池方向就不再用那种传统的干电池了
[00:05:38] 对对对香港星科呢当时是看到了这么一个小的趋势这个公司的执行总裁梁绍康想要投资这个领域但是他们的母公司TDK是个日本公司而且是个日本大公司他们对于做这种新的业务兴趣不是很大所以梁绍康就带着曾玉群还有另外一个骨干出来做了一个新的公司叫ATL专门做锂电池这个生意但是母公司TDK呢觉得这个公司还可以就作为股东也投资了他们对的
[00:06:05] 后来这个故事其实就相对有名一些了ATR其实在消费电子产品的离电池的领域发展的是非常好的了从2001年开始就是苹果的供应商刚开始的时候是做苹果的备胎然后到2004年的时候靠着iPod这个电池然后就变成了一个Ager07年的时候还为iPhone供应过电池但这段故事如果听过我们之前讲苹果供应链的节目的话就会比较熟悉
[00:06:31] 到了2008年的时候呢曾云群就在ATL内部又做了一个新的业务就是动力电池的部门他开始研发和生产那种用在汽车身上的电池到2011年曾云群就带领这个部门独立又成为了一家ATL的子公司叫CATL也就是现在的宁德时代讲到这边啊就是我想跟大家介绍一下2011年是一个怎样的年份是个什么样的年份呢那一年的时候特斯拉是已经买下了通用和丰田的那个过去和子公司的那个老工厂
[00:07:00] 准备把那边改造一新用来生产后面就是震惊世界的那个Model S然后2011年的时候日产的纯电动车Leaf就是凌峰啊已经在日本和美国畅销了在这一年的时候中国的政府也已经开始补贴电动车的生产包括电池也会有补贴还有就是在这一年宝马在中国的合资企业华晨宝马他已经立项了然后准备在中国推出一个生产小型电动车的品牌叫芝诺
[00:07:29] 然后他们的一个首要的一个工作的任务就是要为这个品牌寻找一个本土的电池供应商这个其实就是曾玉群乃至整个宁德时代的第二个重要转折点就是他们成为了宝马的供应商这个在汽车业里面是一段佳话因为从各个层面看都是一个非常冒险的合作确实啊就是首先从宝马的角度他选择了一个新手因为宁德时代的团队虽然有生产锂电池的经验
[00:07:54] 但是消费电子产品对离电池的这个性能啊质量啊工艺的要求是完全不能跟汽车同日而语的反过来也是就宁德时代如果在创始之初就去挑战宝马这样一个硬骨头很有可能是你投入了非常多的资源但是最终达不到这个要求失败了那你这个公司就可能就完蛋了当然福建人都很信一点叫富贵险中求如果成功的话宝马就相当于扶持起了一个新的本土供应商
[00:08:21] 能够摆脱当时对于松下三星之类的电子大厂的依赖对宁德时代来说就更不用说了他可以借这个项目一举进入到潜力无限的汽车行业当时宝马方面主导这个合作的是他董事会的成员叫魏兰德他是负责整个宝马的供应链的后来魏兰德又成为了华晨宝马的一个总裁前两年我采访他的时候他就跟我聊起过这段过程他说一开始宁德时代这边多少还是对这个合作有一些犹豫的
[00:08:49] 就是要不要all in这个项目就是我们前面讲到那个风险嘛但是最后按照欧莱娜的说法就是她和曾玉群喝了一个漫长的下午茶然后曾就下定决心了这个漫长下午茶有可能是那种古州功夫茶什么的不知道他们喝了什么也不知道他们聊了什么对聊了点什么呢你有问他吗其实问过的但是呢就是这种高管嘛就跟我打了一个哈哈反正就没有正面回答但他也说
[00:09:15] 反正经过这次谈话之后魏兰德和曾玉琴这两个人个人之间也是建立起了友谊算是惺惺相惜了之后的故事呢其实有很多报道了大家也可以找过来看看一个比较著名的细节呢就是宝马这边他提供给了宁德时代一份长达800页的动力电池的产品生产工艺的一个标准相当于是这个行业里面的一个武林秘籍可惜呢这个秘籍是个德文的然后宁德时代一开始就不太能够完全消化
[00:09:43] 然后为了让这个新的供应商能够吃透这份标准把它落实宝马是派了一个专家团队去驻场的和宁德的时代的工程师等于一起上班然后这个团队里面呢就还包括德国的一些退休的工程师出现了德国的退休老师傅没错啊就这个梗我们在39期讲那个桑塔纳进入中国的时候也提到过没有听过的朋友可以回听一下那一期啊
[00:10:06] 说到这个800亿的标准呢岔开一句就是宝马在汽车业确实有一个名声就是他对于零部件的一个技术的要求是非常的严格非常细致的前两年的时候有一次拜访过一个为宝马生产那个汽车的轮毂的那个供应商他的那个老板就聊到信头上面就给我们看了一个内部的PPT就是各个品牌对于轮毂的技术细节的要求
[00:10:29] 且不论每一项指标当中宝马有可能会比有些品牌更严格一些就是它还会多出很多的自己的指标就别人的要求有可能表格上面是十几行但宝马有可能有几十行就这种概念所以也难怪宁德时代一开始看不懂800页的东西总之经过两年的艰苦努力宁德时代把800页全部都啃下来了它就相当于建立起了动力电池从研发到生产测试的整个流程的技术能力顺理成章成为了所谓宝马的供应商
[00:10:58] 后来宝马还把它引到了全球的供应体系里面给欧洲北美等市场的产品提供电池包括华晨宝马最后也入股了宁德时代这相当于建立了一个很紧密的关系后面我们也会提到说宁德时代在崛起之后它的电池一直很抢手但是宝马就一直不用担心这个问题对就是因为他们早期的这个等于是孵化或者说是良师益友的这个关系吧对
[00:11:22] 给宝马供货以后宁德时代就相当于成了国内一线的汽车动力电池供应商等到了2015年其实政府又给了它一个很强力的助推对当时就其实从技术实力和经营规模上宁德时代虽然是国内一流了但和像三星LG松下这些跨国的巨头相比还是有一定差距的在国内的竞争里边也可以看得出来很多的一些汽车厂其实选择的供应商还是这些国际的大牌
[00:11:49] 但是2015年的时候国内是出台了一个动力电池行业规范条件也就是业界著名的白名单什么意思呢就是国内的电动车的厂家只有使用了这个名单上面的企业生产的电池他才能拿到国家的新能源汽车的补贴然后在当时呢补贴非常重要就是因为电动车还没有普及嘛成本也很高市场竞争力不足你有没有补贴就直接决定了你是赚钱还是亏本
[00:12:18] 而在这个白名单上面呢清一色的都是本土企业前面提到那些跨国的巨头都不在其中但是宁德时代不知道怎么递的啊就是在这个白名单出台之前就完成了股权的转让我们之前不是提到宁德时代有一个之前的母公司ATL也是他最早的股东之一吗在这个白名单出台之前宁德时代的这个母公司ATL就从宁德时代里面退出去了
[00:12:42] 他把手上15%的股权以8900万美元的价格卖给了一家宁波的本土企业ATL和CATL从此在股权关系上面彻底脱钩宁德时代就变成了一家本土公司他就顺理成章进入了白名单这份白名单其实到2019年才终止相当于宁德时代是获得了四年的行业保护期他也是这个保护期里面行业里面最大的受益者
[00:13:06] 对这四年正好是国内电动车行业快速发展的阶段就宁德时代不断是承接了大量传统车企的一些订单也成为了造车新势力的一个合作的首选2015年的时候它的电池出货量是2.19亿瓦时四年之后2019年这个数字就变成了40亿瓦时它就排到了全球第一了刚刚这段曾玉群和宁德时代故事比较长简单总结一下
[00:13:32] 在个人奋斗的层面宁德时代的崛起一方面是曾益勋本人大胆果断所谓笃性坚强在几次转型以后他就进入到了动力电池这个潜力很大的市场同时在机会降临的时候宁德时代能够啃下宝马的技术标准一跃而起而在历史进程的方面呢电动车这个百年一遇的重要行业机遇也是决定性的宝马就是宁德时代绝对的贵人
[00:13:57] 最后还有就是中国市场的补贴政策对于本土企业有了一些保护政策也给宁德时代留出了一个很宝贵的成长期
[00:14:07] 刚刚我们相当于把历史的部分讲完了现在我们进入现状开头我们就提到宁德时代在这个行业里面有领先的地位那我们目前到底该怎么评价这个公司的实力呢因为现在这家公司已经非常大了嘛其实如果要完整的来描述的话还是挺困难挺复杂的要不我们就举三个关键词帮助大家对这个公司有一个大概的轮廓那第一个关键词是啥呢第一个的话就是规模这一点的话其实经常被人在某个角度上是忽略的
[00:14:34] 我们一开头就讲到了就是宁德时代它在市场份额上面遥遥领先这一点经常是被人视为是一个成绩就我做的好市场份额大但其实能够达到这样一个生产和销售的规模本身也是一种企业的能力这一点在电池行业尤其的突出刚刚过去的2021年宁德时代的整个的电池的销量其实是达到了80亿瓦时刚才也提到过这个单位
[00:15:00] 这个数字什么概念呢我们按照粗暴一点的算法假设每一辆电动车上的电池包的容量是50度电相当于宁德时代过去一年为160万辆纯电动车提供了电池当然这肯定是个刚才讲的粗暴的一个算法因为这些电池不都是装在车上的宁德时代还有一些别的业务但是汽车业务也占了宁德时代整个销售额的80%以上了
[00:15:24] 另外我们前面不是提到说车对于电池技术的要求非常严格吗它尤其要求所谓的稳定安全一致性这种严格的要求在城上这么大规模产能的话这个难度是不是就很高了对的具体的电池的生产工艺非常的精深复杂就我举一个小的例子来上面方便理解一下
[00:15:43] 现在大家不都是在讲下一代的电池技术比如说什么固态电池吗因为它理论上的话可以大幅的提升电池的性能彻底解决我们现在所谓的里程焦虑的问题但前一阵我采访一个电池初创公司的创始人他就跟我说他大学里的导师1990年代的时候就开始研发所谓的固态的锂金属的电池了当时的业界乐观的估计是还有8年到10年可以量产了
[00:16:09] 后来过了十年他自己也开始做这个方面的研究了然后当时业界又说再过个八年到十年可以量产了现在已经2021年了整个业界的预测还是八到十年这个八年之后又八年了没错呀那这里边其实最大的要害是什么呢就是没有办法找到一个大规模量产固态电池的一个生产工艺那反过来就是在现在比较成熟的现有的这个锂电池的这个技术里边也是一样的道理就是
[00:16:35] 大规模的生产本身就是一种重要的能力但是一旦突破了
[00:17:00] 就是综合各个方面目前宁德时代的技术实力确实是属于同行业里边全球的第一梯队这个第一梯队怎么理解呢就是不能说是绝对的第一名但是也没有和头牌的拉开很大的差距而且跟后面还是有一定的优势的要说我们外人能够看到一些技术优势最明显的一个指标可能是所谓电池的能量密度也就是单位重量的电池能够存多少度电
[00:17:26] 这个指标很大程度上决定了这个车续航的里程能开多远对吧宁德时代在过去一段时间确实是在这个指标上面是有一定竞争优势的对就是在同等的情况下面有可能它的这样一个产品会相对的在能量密度上面会高一些另外一个方面就是宁德时代是国内行业里面少有的
[00:17:54] 还对上游的电池的材料比如说正极啊电解质啊等等的都有比较深的研究然后在下游呢它还有电池包的开发能力这里稍微解释一下不管是电动车上那个很大的电池还是我们手上用的那种充电宝里面的电池它其实都是由很多小小的电池组合成的
[00:18:12] 行业里面把这种小小的电池叫电芯如何把电芯紧密的组合成一个大的电池包然后再提升这个电池包的容量和效率还要确保安全这就涉及到很多软硬件的技术没错那您的实在就是在整个这个上下游的技术的完整性上面会好一些相当于我们就把第二个关键词技术也讲完第三个关键词我都已经猜到了不就是钱吗对虽然我们的节目不涉及着股票投资但是您的实在在股票市场上面吸引了这么多钱
[00:18:39] 确实是让他有了扩大前面这些领先优势的一个充足的弹药比如说他能够做到快速的扩大产能还有就是他能够有充足的资金去做上下游的投资举个例子2021年4月底的时候宁德时代就提出要拿190亿元来做境内外的投资主要就是产业链上面的后来也确实披露了很多项目包括上游的一些矿产然后一些材料的公司
[00:19:06] 再到下游的整车乃至电池回收的项目都有涉及这点其实很重要也很有意思它说明了我们前面提到锂电池这个行业它产业链非常长专业性也非常强的问题有一些稀缺的技术和资源其实是关系到所谓供应链安全以及未来的竞争格局的所以说必须要做投资
[00:19:24] 举个小的例子你甚至可以发现宁德时代直接或者间接的去投了很多芯片的公司它们表面上跟电池一点关系也没有但是其实在电池里面可能就会用到对或者是在生产的工艺当中会用到还有一点就是这些被宁德时代投资的公司也获得了一些产业的背书它们形成了一个围绕着宁德时代的产业联盟某种程度上来说宁德时代就有点像锂电池行业的华为哈勃对那关于钱的第二个方面就是财务的数字上面
[00:19:53] 可以这么说吧就是从目前的财报上看宁德时代还是一个比较健康的也很能赚钱的一家公司
[00:19:59] 它的动力电池的这个主营业务毛利率是始终能够保持在23%以上的然后它还有一块快速增长的储能业务其实毛利率能做到36%了还有个点是我在中信证券的演报里面看到的就是宁德时代相比于上市公司的同行它的会计口径是比较保守这个保守是什么意思
[00:20:18] 简单来说就是宁德时代把所有的研发支出都计成了费用而且它各类设备的折旧年限也更短比如说一般的企业可能折旧要折10年它可能5年就折完了而且它提前记提了一些存货跌价包括电池的质保费用等等简而言之就是在会计口径上宁德时代少算了一部分的净利润也就是有意的没有把这个财报做得更漂亮一些对而在这种情况下根据它此前公布的一个2021年度的业绩预告
[00:20:48] 宁德时代过去一年归属母公司的净利润还能达到140亿至165亿元而且同比增长是150%到195%都是创造了一个上市以来的新高了还是一个比较亮眼的成绩总结一下现阶段我们该怎么描述宁德时代呢它还是电视行业的龙头企业它的重要优势包括规模技术资金以及产业链的投资布局都做得非常好这些优势反映到业绩上就造就了一家非常能赚钱的公司
[00:21:19] 最后我们来聊一下宁德时代的未来一个问题还是忍不住很好奇就是宁德时代还能不能维持现在这么强势的地位尤其是国内超高的市场占有率因为前一段时间有不少报道说部分主机厂正在试图摆脱对宁德时代的依赖甚至有投资者认为这就是宁德时代股价下跌的一个导火索这个还是逃不掉这个热点话题股价下跌的原因我们不讨论不过关于和汽车公司的客户的关系可以简单的分析一下
[00:21:48] 其实关于宁德时代和主机厂的这个合作过程中比较强势的这个说法很早就有了其实也没有那么复杂就是宁德时代他会用各种方式要求主机厂和他绑定建立长期的一个供应关系比如说你要么出钱和我成立一个合资的工厂然后我们在这工厂里面产生电池都归你要么就是你除了给我订单以外呢还要给我一笔保证金以确保一个长期的跟我有一个供应的关系总的来说这还是因为目前的市场供应关系来决定的一个问题
[00:22:17] 相当于宁德时代的产品长期是供不应求的所以它能在谈判桌上拿到更好的条件没错这个其实都是一些商务谈判上的问题宁德时代的强势为什么会这么显眼呢一方面是因为电池这个产品价值太高了他前面讲到的占整车的成本现在是40%左右过去一度是超过一半的你一辆车上一半的价值都是由电池的厂商来提供的你说是不是很要害
[00:22:42] 另外一方面呢这个强势也是和过去汽车业的格局对比得来的过去我们一直说汽车的产业链是一个金字塔的结构嘛就汽车公司我们业内叫主机厂它是站在塔间的拥有绝对的话语权然后下面是一级供应商二级供应商三级四级的都要听上面的话的那现在情况变了潮南做的未必是这个主机厂了可能是电池厂商也有可能是一些芯片的厂商
[00:23:07] 这个是不是就是所谓汽车行业的技术变革未来最有价值的核心技术未必掌握在主机厂这里的对过去汽车厂上有这么大的话语权就是因为它掌握了像类似于发动机然后整车的调教底盘等等一些非常核心的技术所以说它能够去掌控整个的供应关系现在就未必了具体到电池的问题上因为当初我们有4年的保护期所以国内的主机厂其实能选择的电池的供应商非常的少
[00:23:34] 那像宁德时代呢也在这个当中技术能力非常的出跳所以它这个稀缺性又会在电池的技术上面又增加一层这个都是造成它现在相对在和客户的谈判当中有比较强的话语权的一个历史的原因那我觉得在这个过程当中出现一些摩擦交锋啊都属于比较理性的商业范畴也不用特别的放大其实还是回到前面那句话就是一个供需关系调整的问题了
[00:23:58] 没错我觉得这点确实要再次强调因为到了现在啊中国的电池的这个竞争已经是比较开放的了也没有这个白名单了嘛那供需的关系自然会通过一些市场的手段来调节比如说会有更多的这个离电池的公司和您的是带来真客户也会有一些汽车公司去扶持一些新的供应商那我们过去的节目里面不是提到过供应链的韧性吗在电池这种关键的产品上面
[00:24:22] 汽车公司肯定不会把鸡蛋都放在宁德时代一个篮子里面肯定会要几个篮子话说回来当年宝马去扶持宁德时代也是为了在老牌公司以外找一个新的选项现在宁德时代其实是在遇到一种类似的挑战对吧非常对此消彼长在这种情况下其实更加合理或者更有可能性的一个预测是只要电动车整个的市场维持一个快速的增长就是这个蛋糕一直在变大
[00:24:48] 那么宁德时代的市场份额有可能会往下掉一些但它的业务规模还是会持续的增长的那等电动车行业达到了一定的规模比如说占全部新车销量的25%甚至50%了我们再去看电池的市占率的划分有可能会更有参考价值一些其实关于强势这个话题我听说宁德时代内部是有一些认识的比如他们已经开始要求商务谈判上面要更重视所谓客户的细节需求不要只看一些毛利成本和订单规模
[00:25:16] 对还有一个点就是宁德时代其实内部都不太喜欢宁王这个绰号因为觉得太出跳了嘛对吧太显眼了会让证券市场上的话题掩盖掉公司本身的一些进展而且他们还说就是查了一下历史上这个称号是宁王的一些人下场都不是太好所以最好的还是人们生大发财对对对其实如果要聊宁德时代未来的发展的话
[00:25:39] 除了这个股价包括现在我们讨论的这个所谓跟主机厂的一个关系以外还有更多值得关注的话题这边就简单举三个第一个是全球的市场因为目前国内能够大量进入全球主流车级供应链的还是宁德时代宁德时代现在的目光肯定是要放得比较长远不是在国内什么从50做到80而是要去拿全球的市场份额要去和LG去竞争我看LG新能源这个业务刚刚上市就创了韩国市场的一个IPO记录
[00:26:08] 感觉他拿了这么多钱这一两年的话动作可能会更多对其实你可以看到他们有很多扩产的计划包括欧洲的一些车企也在扶持一些像欧洲的宁德时代一样的一些创业公司从主机厂的角度来看现在全球市场都已经是非常明确了电动车的发展方向尤其是欧洲虽然步伐慢于中国但是现在开始认真了宁德时代是非常重视这些所谓的新的市场的
[00:26:33] 2019年的时候他在德国图林根的一个工厂就破土动工了2022年是要投产的而且原本的产能规划只有14亿瓦时但是在2021年的时候他把这个计划大幅的扩大准备到2026年达到100亿瓦时的这样一个产能这也体现出他对欧洲市场的一个决心至于能不能成功的话就非常关键了接下来几年
[00:26:55] 还有什么点呢还有一个就是上游产业链的布局
[00:27:21] 或者说是一个排他性的一个稀缺资源另外就是一些技术的研发就哪怕是大公司这个也是一刻都不敢放松的第三个话其实是我们在前面埋下了一个非常快的伏笔就是动力电池是宁德时代总收入80%的贡献者那剩下20%的业务里面最大的也是增长最快就是你前面提到所谓储能市场对吧对这个也是我们觉得未来可以关注宁德时代的一个方向简单的介绍一下储能就是
[00:27:49] 在发电站和电网他们都会需要建一些大型的储能设施你可以理解为一个巨大的电池站然后储能它是用来调节电网的负荷所谓的削弱波峰填平波谷对吧使整个电网更加稳定一些也能更节能另外就现在在海外市场就是一些个人家庭小微企业也都开始买一些比较小的储能设备他们是用来应对突发的情况的比如说什么自然灾害什么的
[00:28:16] 另外就是他们和光伏设备来配合还能够减少电费的支出这个市场其实随着节能减排的这样一个潮流是在快速增长的我们看到一个浙商证券的预测是2025年全球储能市场可以达到2612亿元的一个规模其实也是很大的市场了那么如果说您的时代在这一块已经成了国内的领跑者而且这一块的利润率要比动力电池更高的话那么未来的情况应该会更好一些
[00:28:43] 我们看到预测说这部分业务可能在五年内贡献宁德时代20%的营收对那想想看五年之后宁德时代这个规模就20%可不少了所以如果只从公司基本面的角度来看宁德时代该做的其实都做了包括拓展新兴的欧洲市场通过投资布局产业链以及强化储能的新业务方向他做了很多事情只不过大家对于他能不能持续成功可能缺乏信心这个嘴上喊着宁王宁王心里还是泛嘀咕这个到底是什么
[00:29:12] 这可能就导致说市场上亦有一些新的动向宁德时代这个股价就震荡的非常厉害我们一直开玩笑说在中国这个投资股票很多时候不用看基本面的那宁德时代过去一两年的这个股价的疯狂和近一段时间的这个萎靡其实也是很脱离基本面的一个表现所以最后我们还是唠叨一句就是少研究一点股票多研究一点业务这样做可能不会帮助你赚多少钱但是肯定有助于你理解商业就是这样
[00:29:46] 也会推送每期节目的内容
[00:30:01] 如果喜欢我们欢迎你在苹果播客给我们五星好评并期待你在各个平台与我们交流尤其欢迎分享你感兴趣的话题下期见
