Vol.27 被嫌弃的吸管的一生
[00:15:04] 我来跟大家描述一下就是2015年一个德克萨斯农工大学的学生他为了去做自己的博士论文跑到哥斯达利加去研究海龟结果呢他在跟同事在海滩上面走的时候呢找到了一只鼻孔里面卡了一根吸管的海龟然后他们把这个海龟解救出来并且把他那个吸管给抽出来了这个过程被拍成了一个视频
[00:15:25] 结果呢在YouTube上面成了当年的爆款就是这个吸管紧紧的贴在海归鼻孔内壁的镜头唤醒了很多人的环保意识所以说不要随便把吸管插到身体里面的洞里面对吧海归的洞里面也不可以啊海洋
[00:15:43] 当中的塑料垃圾的话其实是塑料污染问题当中矛盾非常突出的一个角度我们前面讲了很多
[00:16:12] 另外的话就是说除了一些被回收的塑料以外有14%的塑料会被送去焚烧然后把里面的热质回收40%的塑料会被填埋另外有32%其实很大的一个比例会直接流向自然系统这个对于海归和整个生态系统来说是有直接危害的对吧也就是被扔掉这些其实占了大多数
[00:16:34] 塑料的回收率为什么这么低呢其实背后原因就是说塑料本身在回收之后的价值就不是很大以包材塑料为例啊就是说使用一次以后这些塑料的话平均会损失95%的价值那基本上就没剩什么了对吧而回收塑料的这个花费啊能耗的话一般都会高于直接生产塑料的这个成本这就是为什么我们日常生活中会出现那么多一次性塑料
[00:16:57] 这个也很好理解我们去看那些现在做可回收物生意的这些人他们主要也都是收一些纸板或者金属等等有时候你给他们一些塑料袋他们肯定不要当然问题的另一面也是我们自己造成的就是说塑料包材本身为了追求质感或者是达到一些特殊的功能的话他开始大量的使用多层材料或者说一些复合的材料这就很像我们衣服当中现在普遍使用一些复杂的混纺材料
[00:17:24] 或者说涂了一个塑料层的一个纸杯它这个东西本身越复杂它就越难以进入到一个简单的循环系统里面我们再举个例子就是说生活中很常见的一个饮料瓶这个饮料瓶的回收率的话其实在整个塑料行业里面相当于是最高的原因就在于它整个瓶子都是用PE塑料来做的就是瓶子和瓶子之间没有大的本质区别
[00:17:47] 但是别的一些塑料制品有可能就很复杂它会掺在别的一些材质放在一起你就很难把它提出来然后再统一的回收掺起来就不太好说了这个我们后面再解释我们还是回到塑料吸管这件事情就大家还再想一下这个海归鼻孔里插了一根吸管这个画面真不好意思但是具体到塑料吸管这个小的产品上面就是2017年我们看到了一个海洋保护组织的调查数据显示
[00:18:13] 在海洋的塑料垃圾里面吸管占的比例大概只有5%到7.5%并不是特别多但可能是因为这个海归的故事冲击力过强了就是塑料吸管和塑料袋一样很快就是变成了一个几乎同等罪恶的案例开始被全世界各个地方去抵制或者说限制使用一开始大家是因为各种各样的原因开始要限制塑料了
[00:18:37] 然后在塑料当中塑料吸管和塑料袋又被我们各种各样的情况选中了变成一个我们要限制的一个目标对吧
[00:18:46] 说到限制塑料吸管或者是禁用塑料吸管这个话题其实限塑令这个事情不是单单只有在中国有最近十来年欧洲美洲很多发达国家都在提这个概念我们国家属于是比较激情很高的对这个方面很重视中国的限塑令的话其实比其他很多国家都来的要早是吧它在最早一半其实是在2008年提出的当时中国还在办奥运
[00:19:11] 当时强调的是就是各个地方不能免费提供塑料购物袋以及不得销售不符合国家标准的塑料购物袋也就是那种超保型的塑料袋因为这种塑料袋的话在环境里面很容易变成碎片就是对于环境的危害确实是比较大然后从免费到收费的这个变化的话其实还是用一个市场的机制来希望说我们来
[00:19:34] 就是通过收费的方式来降低整个塑料袋的使用量那个时候主要的印象就是超市现在超市都比较少了还有便利店里边你要用塑料袋的话都得收几毛钱了具体到限制塑料吸管的这一轮限塑令的话其实是在2020年1月份发布的这一轮限塑令的管制主体的话除了吸管的话还有些别的方向我们大致归一下就是四个大的方向
[00:19:59] 一是塑料袋还是塑料袋二是塑料餐具三是酒店行业的一次性用品四是快递的塑料包装袋其中的话除了说酒店行业的所谓的六小件以外的话剩下的三个方向的话要求都不再是免费和收费的问题了而是要求你要改材质你要用可降解的原材料可降解塑料这个词现在也是经常听到了这个词概念也很复杂我们一会再展开
[00:20:24] 我们还是去研究了一下限塑令本身这几句话的文本但是在研究了限塑令这个文本以后我们会发现就是针对塑料吸管的话他这句话是这么说的全国范围餐饮企业禁止使用不可降解一次性塑料吸管而且的话这句话其实是放在针对一次性塑料餐具限制的最前面的那句话就是所谓的首当其冲先要冲你对吧而且说
[00:20:49] 这个限速令我们前面提到是在2020年1月份发布的而且它就是说禁止使用的这个期限规定是到2020年年底相当于说留给你整个餐饮行业去转轨的时间只有一年然后我们到2021年的时候就已经可以发现就是说有些企业因为我没有用可降解的吸管就被罚了也就是说我们之所以在
[00:21:11] 今年就是切身的感受到大量的吸管变成了那个可降解的材料就是因为它有这个非常明文规定而且现实比较严格的这样一个措辞的法规使得那些餐饮公司就是很快就要把它改掉对不对对这里还有个小小的漏洞就是在研究整个吸管产业规模的时候我们发现了这个漏洞就是说餐饮渠道用掉的这些吸管它其实只占整个吸管行业生产量的四成
[00:21:36] 剩下六成在哪里这个大头的部分的话其实是就是附在那种盒装的冰空茶之类的利乐包上面的那种吸管短短的对吧这种吸管叫所谓的工业配套产品针对这个部分的话我们其实没有找到非常具体的监管细则也没有要求他们也去用什么可降解材料对吧所以说先去抓那些零星的餐饮渠道而不管大企业这个事情的话我们也有点费解
[00:22:02] 这么来看的话餐饮企业这个压力还是蛮大的因为短短这一年的时间还是蛮紧张的他们一下子要把这么多产品换掉对吧还是有点压力当然说现在我们中国的品牌营销水平普遍都比较高大家都把就是说短时间内改用信息馆这么一个有压力的事情变成了说我要去追求环保或者说我要在短时间内达到限速率要求的这么一个广告这个事情的话其实是很有意思的一个现象
[00:22:28] 当然就是说在消费者看不到的地方就是这些品牌为了真的用上这种符合可降解要求的吸管其实去找了很多的厂家去做了很多的调研在新的一期第一财经杂志里面我们的同事王一月就去采访了几家真的去生产这种所谓可降解吸管的厂家最常见的一种材质叫PLA也就是聚乳酸PLA本身也是一种塑料
[00:22:52] 但是它的原材料不是罪恶的石油化工了它的原材料是植物淀粉和蔗糖这些产品的话可以在特定的条件下通过微生物作用被降解PLA也是目前市面上少数符合可降解要求的塑料材料因为它跟石油没有关系它在概念上就天生更受欢迎传统的塑料吸管材料前面肖老师也提到了有PPC的部分还有一种材质是PP这两种本身都是塑料
[00:23:19] 然后它们在80度以下的温度下面都能保证说整个性质上面比较稳定而且它们生产工艺都非常成熟成本是非常低的大概是一分钱可以买一根但是纯的PLA材质就是我们前面提到聚乳酸这个材质的话是一个很糟糕的材质在塑料行业看起来比如说它在50度左右就会开始变形而且纯的PLA材质它的韧性不够然后很脆弱如果擦到奶茶里你的奶茶下面小料比较多的话它可能就弯掉了
[00:23:47] 弯掉了就可能这个小料就吸不上来了所以说目前茶饮品牌去提供的那些看上去还挺不错的PL吸管的话普遍是改良过材质的它在里面增加了一些可以增强韧性提升耐热度的一些可见的材质然后这些材质的话就变成了又是石油机材质的所以它就变成了一个很复杂的混合材质
[00:24:07] 就是像那种什么纯棉的衬衫里面稍微插进了一点这个混纺的材料让他这个衣服穿起来更舒服但是他就不纯洁了对吧不是纯洁的可降洁而是稍微掺到了一点那个石油的东西这个真的回说的话其实难度还是有点大是吧讲到这一点的话就会引出一个更加显著的问题就是说我作为一个普通消费者我在扔垃圾的时候我怎么去判断说我这根可降洁的吸管应该被扔到哪一类垃圾里面呢
[00:24:33] 就是说处在跟湿垃圾一样的一种堆肥的状态底下的话PLA塑料的降解其实是相对很容易的但是说中国的大城市这几年推行的垃圾分类的话各地的分法都不同如果你把一根PLA吸管扔到湿垃圾里面的话你很有可能会被你们居委会的大妈骂从这个直觉上的话消费者也会认为PLA看上去跟塑料一模一样而塑料就是干垃圾或者是可回收垃圾
[00:24:59] 这就是我们后端处理流程上面很难去通过细化来解决的问题我们也可以看到就是在美国洛杉矶和波特兰的限速令里面他们就是说限吸管是很严格的他们限吸管不仅限普通的塑料吸管也限这种可降解吸管一起禁掉因为本地根本没有处理这种可降解材质的机器也就是说做可降解吸管的本意是为了让它能够
[00:25:25] 堆肥或者一起降解掉但是实际在最后回收的过程当中这个回收的系统没有把它当做一个可降解的东西而是把它当做一个还是一种塑料对应该要焚烧或者填满的一个东西对吧还有一点就是我们前面提到就是PL这个材料的话它是一种很新的材料它相对于整个成熟的石油工业副产品来说是一个非常小众的市场
[00:25:46] 目前生产PLA这个材料的最主要的原材料是玉米淀粉玉米淀粉大家如果了解一点大宗商品的话就知道就是说它在饲料或者说制糖这些方向上面的消耗量都已经很大了如果说我们去大规模的推广PLA这个材质的话不仅是吸管连塑料袋都要用上这个材质的话很有可能影响到源头的玉米
[00:26:08] 如果大规模的去推广PLA这个材料不仅是吸管连塑料袋也要用上的话就是说它会对于源头的这个玉米这个市场造成一个很重要的影响可能变成一个非常紧俏的大宗商品不要说以后了就最近几年这个改吸管材料这个需求就已经让这个原材料的市场价格产生蛮大的波动了我们之前讲到的我们那篇关于吸管的报道里面就提到2018年的时候PLA的这个成本价还是1.8万元一吨
[00:26:35] 到2019年就涨到3万元了2020年一度冲到5万元感觉是一个非常厉害的股票现在3万元一吨的原材料成本能做出来的一根吸管大概就要5分钱这什么概念呢就相当于传统塑料吸管的5倍了对就是从吸管改用PLA材质的这个例子的话我们其实就可以看出来说一个本意是向善的政策如果采用了一个很激进的落地策略它对于一个没有准备好的市场而言的话会带来非常大的影响
[00:27:04] 当然我们也相信这个波动和价格的变化的话是一个暂时的这个问题肯定是可以被解决的
[00:27:11] 刚才我们讲到这个塑料吸管被嫌弃之后取代它的主要是那种新型的可降解的塑料对吧那其实除了这个方案以外呢这个餐饮行业也想了一些别的办法把这个塑料吸管给解决掉比如说这个麦当劳还有像星巴克他们都在推一种新的设计主要就是杯盖的设计然后这种设计呢就可以让人不用吸管就能喝到饮料是这样对吧对如果大家最近去麦当劳和星巴克消费过的话可能就见过这种杯盖拿星巴克举个例子
[00:27:39] 如果你去星巴克最近喝过咖啡的话可能就会见到那种就是在杯口的部分稍微有一点凸起的这种新型的杯盖星巴克的话是在2019年开始小范围测试这个新的设计方案的然后到2020年他觉得差不多了开始向全球举行推广星巴克自己说的话就是说这个杯盖除了说你不用吸管的话还有两个好处第一个是它采用了一种完全可以回收的PP塑料材质第二种的话就是它减少了塑料的用量
[00:28:08] 每个新的杯盖的话比原来比如说你用一个杯盖加一根吸管的组合的话可以少用9%的塑料不过说针对这个第二点这个少用塑料这件事情的话很多环保机构和塑料行业的从业者都表示过怀疑我看到过两个说法第一个说法就是说这个用上了新杯盖的这些星巴克饮料的话平均每杯的话实际上是增加了0.93克的塑料的
[00:28:30] 另外一个说法就是说这个杯盖不是有一个凸起的部分吗这个凸起的部分用的塑料的话就其实可以生产五根吸管了当然还有一个特殊情况就是说星巴克有一些饮料的话它顶上是带奶油的比如说一些星冰乐对吧星巴克其实还是会给你一根吸管的不是说你真的嘴对上去喝也就是说它也不能完全的取消吸管对吧而且大家应该都知道这个星冰乐对于星巴克整个销售是多么的重要对吧它这个地位是不可撼动的对对对就是说
[00:28:59] 干掉吸管这件事情的话虽然说星巴克和麦当劳的话他们已经迈出来第一步而且目前看起来做的还行但是其实是有很长的路要走的本质上呢还是因为吸管这个产品过于优秀它很难被其他更节节的方案取代最后的话我们再去探讨一个问题就是我们前面介绍塑料的时候提到说全世界很大比例的塑料其命运就是被一次性使用这个其实是整个塑料行业非常受诟病的一个问题
[00:29:26] 但是在新冠疫情期间的话这是一个很特殊的情况大家又开始重新要接受塑料了就是我们去看了一个PBS的报道团队在2020年7月也就是整个美国疫情开始大爆发的时候勇敢出门做的一个调查他们发现就是说一个是原本在超市里面大家都很少用塑料袋但是因为防疫的原因的话超市又开始重新提供塑料袋了
[00:29:49] 还有一个问题就是咖啡馆咖啡馆的话原来可以用消费者自己带的杯子来帮他们打咖啡结果现在因为防疫的原因的话又只能开始大量的使用纸杯和吸管了那我们也很容易想到就是说中国在疫情最严重的时候呢实际上也产生了大量的废弃的一次性口罩对吧
[00:30:05] 而且作为医疗产品的话这些口罩的话理论上必须被一次性使用它没有办法再重复利用说回吸管就是刚才其实袁老师讲了很多这个故事包括它在被限制之后取代它的方案到底是怎么做的以及这些方案有哪些的缺点或者是有些哪些的挑战总结一下的话就是其实吸管这个小小的发明在过去一百年的时间里面还是经历了很大的这个命运的起伏的是吧
[00:30:29] 一开始是快速的能够在全球的推广然后在最近的这段时间里面又变成了一个被嫌弃的一个重视之地我们当然可以去探讨或者去指责吸管所代表的一次性塑料一次性的问题这可以说是整个塑料行业的原罪之一但是如果只是为了朴素的环保的理念或者态度就把大量的政策压力和新材料在短时间里面用在这么小的一个场景上的话似乎也不是最好的做法对吧
[00:30:58] 就是吸管虽然是一个很小的东西但是我们发现它是一个很好的入口可以帮我们去观察材料科学的变革以及公共政策是如何影响到商业社会的在反对吸管或者说我们去反对任何的其他的大众化的商品的时候如果我们能再多了解一些可能就会知道说我们反对的到底是一个怎么样复杂的系统化的成果商业就是这样
[00:31:26] 下期见
