Vol.224 被中国富豪和造车新势力选中的迈巴赫
[00:05:56] 这家公司的名字叫做道伊茨燃气发动机制造厂它的创始人之一名叫奥托如果你熟悉汽车发动机的朋友应该知道这个奥托其实也是个鼎鼎大名的名字现在发动机里面有个很重要的术语叫做奥托循环这个奥托就是它它是现在的发动机的一个基本原理的一个重要的改进者吧
[00:06:17] 戴姆勒和奥托呢其实都是那个时代很厉害的发明家和企业的管理者但是这两个人的理念不是很合后来呢戴姆勒就从这个道伊茨这个什么公司就出走了到了斯图加特附近建立了一家自己的公司麦巴赫呢肯定就很自然跟着他的这个导师一起去创业了这家公司建成的时候呢名字叫做DMG那就是日后戴姆勒集团的前身那所以说自己创业以后他们干的还是那套东西吗是的
[00:06:46] 当时戴姆勒和麦巴赫其实有个共同的志向就是开发轻便的能够安装在各种机械上的高转速发动机这个概念当中有个背景就是我们都知道虽然我们前面提到1886年第一台汽车已经发明了但那个时候的汽车其实距离一个可靠的交通工具还是有比较大的距离的它更像是一台三轮马车上面安了一个发动机而且这个发动机还没法稳定可靠长时间的运转
[00:07:15] 所以当时汽车是更加接近一个大玩具的而戴姆勒和麦巴赫都确信这个内燃发动机其实潜力是巨大的它一定能够成为驱动绝大多数交通工具的一个核心的零部件
[00:07:27] 那在DMG呢他们就想把这件事情做成而麦巴赫呢确实在这里把自己的这个机械设计的天赋发挥出来了他发明了一系列的发动机包括很著名的就是历史上第一台四缸发动机我们知道现在大多数这个汽车上面如果你是发动机的话还是四缸的为主的那有一个对威廉的才华的评价是非常准确的就是他总能用最优雅最根本的工程方案去解决那些棘手的问题比如说他就发明了喷嘴式化油器
[00:07:56] 这个部件就让发动机能够运转的非常的平顺高效然后呢为了解决发动机的散热问题它就设计了这个蜂窝式的散热器还有齿轮传动系统等等非常重要的部件如果你熟悉发动机的朋友们都知道传动啊散热啊包括化油器等等其实如今都仍然是发动机的一些必须的部件
[00:08:15] 简单而言就是威廉·麦巴赫他定义了很多发动机上的一些结构和构造使得这个发动机的确成为了他前面说到的就是一个稳定可靠能够驱动大多数交通工具的这样一个部件我看到过有个记载就是当时在法国的一些汽车业同行已经说麦巴赫是设计师之王了其实19世纪末当时法国汽车业也是非常发达的对
[00:08:38] 他们那个时候其实才是汽车行业的一个中心那这个中心的这些工程师和设计师都这么来评价威廉曼巴赫就看得出这个分量了
[00:08:46] 威廉这一系列突破呢基本上都是在戴姆勒的指引和资助之下的他们两个的这个搭档配合还是非常的互补的一个呢负责制定战略一个呢就把这个创想能够实现就我想到一个类比啊我不知道准不准确就他们有点类似于瓜迪奥拉和美器的关系而且他们两个人私人关系也非常好他们的友谊实际上是维持到了最后一刻的这个最后一刻呢其实就指的是1900年那一年的戴姆勒去世了因为他年纪会稍微长一倍啊此时呢
[00:09:14] 麦巴赫本人已经是DMG公司绝对的一个技术核心了他自己呢也已经能够独当一面了但在这个时期公司呢获得了一个很重要的订单需求也是建立了这家公司的名声这个订单呢来自一位叫埃米尔耶里内克的奥地利的富商这个富商有两个身份一个呢他是一名法国地区重要的汽车经销商所以他在这个行业里面举足轻重第二个身份呢就是他是一名赛车手
[00:09:42] 还是那句话当时的汽车很大程度上还是富人的玩具而法国的贵族呢是这个玩具最主要的消费者他们消费的主要场景呢或者玩的主要场景就是赛车等于是那个时候在做F1的感觉了是的那耶利内克给DMG的这个brief这个offer非常的简单就是你给我重新的造一辆新的赛车要比别的赛车都好很多
[00:10:04] 好宽泛的要求另外还有一个很重要的offer就是这辆车要以他的女儿的名字命名的确是那种有钱人才会提出来的想法而且这是甲方铁这个要求你也很难拒绝是吧对呀麦巴赫就负责来完成这个订单造了这辆车过了一年1901年这台车造出来了他采用了许多当时从未见过的设计比如说他有一个冲压的钢制底盘然后很新的发动机整个车它的重心是很低的就不像马车那么高
[00:10:33] 操控性就变得非常的好这样它的确在赛场上面取得了压倒性的胜利最关键的事就是整个这一台车它不再是一个马车然后安装一个发动机而是一台从零开始就是为赛车设计的汽车
[00:10:47] 种种这一些革新呢就使得后世现在称它为第一辆真正意义上的现代汽车而这台车的名字呢就叫梅赛德斯35HP终于出现了绕了这么大一圈解决你这个问题了所以梅赛德斯就是这个大客户的女儿的名字没错由于这台车太轰动了进而呢梅赛德斯这个产品的名字就产生了很大的影响力DMG就顺势把这个客户的女儿的名字变成了他们的一个品牌
[00:11:15] 所以梅塞德斯就一直留到现在另外值得一提的是我第一次读到这段故事其实并不是在麦巴赫的历史当中而是在我们这个节目的第201期就是讲述博士的那个故事里面就做准备的时候我看到这个材料事实上就是博士这个公司他在汽车业打响名声的第一个产品就是他的一个发动机的点火装置而这个点火装置最重要的一次运用的就是在这台梅塞德斯35HP上面
[00:11:42] 刚刚讲斯图加特的时候我就想问了好像是不是跟博士又有点关系所以确实是也是一个时代的是吗对所以他们都是一个时代的人而且他们很早就开始深度的合作了不得不说就上世纪初的德国真的是汽车群星闪耀石梅赛德斯这个名字由来说清楚了他跟麦巴赫的关系也比较明确那么奔驰又是什么时候进来的呢其实很长时间奔驰和戴姆勒之间都是各自发展的然后交集也比较少
[00:12:09] 是直到1926年的时候这两家公司合并了成为戴姆勒奔驰公司而这个公司的产品的品牌名就确认为如今无人不晓的梅塞德斯奔驰所以是这么来的
[00:12:21] 那顺便说一句啊就我们习惯于说奔驰奔驰这个品牌名对我们中国人来说很朗朗上口嘛但其实在德国在欧洲大多数人简称这个品牌的时候更多的说的是这个梅赛德斯就是Mercedes这个是他们简称这个品牌的说法其实也充分的说明这个车当时历史地位还是很高的没错这个时候麦巴赫在干什么呢这个也比较唏嘘啊就是在戴姆勒和奔驰合并的时候就1926年那个时候呢其实麦巴赫本人已经脱离了戴姆勒了
[00:12:49] 这个分道扬镳呢是发生在1907年十几年前了原因呢是威廉和当时的管理层有一些分歧具体的其实如今已经没有很明确的素材了但大概而言啊就我们看一些侧面的材料就是从公司的角度来说呢他们希望往一个更加规模化的方向发展他们不是有一些比较成功的车吗那我多造一些而迈巴赫呢他本人还是追求那种极致的发动机的性能还要追求造最好的车
[00:13:14] 就是所谓的the best of nothing那其实就理念很不合了就只能自立门户了是的所以到了1909年的时候呢就是威廉就和他的儿子叫卡尔麦巴赫一起创办了自己的一个发动机公司他们也的确践行自己的理念啊就是一直在造一些很极致的发动机我举一个例子啊他们的发动机曾经被用在木船上面然后改造了一艘船这个其实就是日后摩托艇的一个很重要的原型就我们现在看到的那种很快的摩托艇的快艇其实当时就有了
[00:13:44] 当然啊他们自己建的这个发动机公司最著名的一个客户呢其实就是当时德意志的一个最著名的贵族就是费迪南冯齐柏林伯爵齐柏林就是那个齐柏林飞艇那个齐柏林没错就事实上所有齐柏林飞艇的发动机就是麦巴赫父子设计制造的所以他们的发动机又能上天又能在地上跑还能下水嗯而且都是开创者都是第一个做这件事情的人工业设计天赋已经点满了我觉得没错
[00:14:12] 当然我们知道到了一战之后其实德国就不被允许制造飞机和飞艇的发动机飞艇那个时代很快就过去了所以麦巴赫父子就转而开始利用他们顶尖的发动机的技术去生产完整的汽车了真正造车实际上在一战之后了这个时期也是麦巴赫作为一个顶级的汽车品牌建立名声的这个时期
[00:14:34] 它第一款车叫迈巴赫W3是在1921年的时候推出来的在那一年就能实现110公里的时速而且它当时的广告叫做让女士可以轻松驾驶就是说它的操控性因为大家知道很原始的汽车实际上是很难开的方向盘都转不动的当时它其实在这个方面做了很多易操控的这些改进
[00:14:56] 由于当时迈巴赫的这个体验和性能超出其他汽车实在是太多了并且他很坚持就是要为客户手工定制这个车身所以他很快虽然很年轻的一个品牌但很快就成为了欧洲上层人士首选的汽车的品牌也是当时德国的一个国式的专用车特意选了一些图放在show notes里面大家其实可以看一下当时的迈巴赫长什么样子基本上就定义了我们目前心目当中豪华老爷车的一个形象没错其实这里我有一个疑问
[00:15:23] 麦巴赫在追求机械性能极致这方面的天才我们觉得已经了解差不多了但这其实是一回事嘛就是造一台完整的豪华的奢侈品级别的汽车是另一回事这里面有很多感性的就是所谓体验的部分嘛没错这个部分麦巴赫是自己吸得的吗我看了一个历史的资料很大程度上其实要归功于威廉的儿子就是考尔麦巴赫就是在这个豪华层面尤其车的这个完整产品的层面
[00:15:50] 它是注入了很多基本的基因的卡尔白巴和这个人呢一个是我们前面提到的像把发动机发到木船上面其实就是他的创想所以他设计能力也是很强的还有呢他就很擅长把车啊作为一个完整的这样一个产品或者说是一个艺术品吧来思考它如何变得更加好所以像我们前面提到一些关键词像手工定制还有追求驾乘体验还有舒适性还有所谓的豪华感这些其实跟发动机不是那么相关的
[00:16:18] 这些很大程度上是来自于卡尔的功劳所以说他们父子之间还是有一些互补的关系没错
[00:16:26] 第一部分我们是花了比较长篇幅讲了麦巴赫初代和二代的创业史简单小结一下这其实是一个非常经典的天才设计师投身于一个巨大的产业浪潮以后的创业成果在戴姆勒的带领下威廉·麦巴赫和他的儿子卡尔·麦巴赫是充分发挥了自己的才华和追求极致特性也让麦巴赫在1921到1940年就成为了当时欧洲豪华车的一个代名词没错
[00:16:52] 这个阶段我们如今很熟悉的迈巴赫的车标其实也确立下来了但就是如我们开头所说这段高光之后其实迈巴赫作为一个汽车品牌它的历史就迎来了很长一段时间的沉寂
[00:17:04] 这当中最大的原因当然是战争因为在二战之后其实迈巴赫作为一个公司就一直没有生产汽车了直到1966年当时已经是全球领先的一个汽车制造商的就是戴姆勒奔驰公司又重新把迈巴赫公司收购下来了让他负责制作一些限量版的手工车型但是迈巴赫这个品牌的名字就此就引申了这段沉寂期其实一直延续到了2002年才结束
[00:17:32] 是不是中间有一点太久了我觉得这个世界应该已经快把这个牌子忘记了吧是的所以其实当时迈巴赫重出江湖的时候还是引发了非常多的关注的这个是怎么样的一个背景呢就是戴姆勒是在1997年的时候他在东京车展展示了一款全新的概念车他的这个定位和目标呢就是说我要比奔驰S级的那个旗舰轿车更高级的一个豪华的轿车那五年之后就是2002年
[00:17:59] 基于这款概念车的量产车型推出来了就是现在大名鼎鼎的迈巴赫57和迈巴赫62迈巴赫这个经典的车标也是时隔半个多世纪就重新才问世的那我问题就来了就是为什么过了这么多年奔驰突然想起来自己仓库里还有一个这么老的品牌而且要把它重新拿出来用呢这个背景还是要讲回到1997年那一年英国一个老牌的工业企业叫维克斯工程公司要出售旗下两个非常著名的品牌分别叫做
[00:18:27] 劳斯莱斯和宾利这两个品牌我们如今很熟悉啊是超豪华车的一个品牌但是在1990年代这一些品牌其实出现了一个疲态因为他们纯手工作坊的这个形式难以独立的维系那你要生存下去呢最好就是有个大的汽车公司来接盘最后呢是宝马和大众我们现在知道了就分别购得了劳斯莱斯和宾利对于他们这个集团来说呢他们的品牌举重就更加完善了我们不是在问戴姆勒奔驰在干什么吗
[00:18:54] 他没有买最后他一开始其实也参与了竞购但是后来退出了主要的背景就是当时公司的一个心思主要是放在一个更大的交易上面就是和美国底特律的汽车巨头克莱斯勒的合并这个合并是在1998年完成的然后在97年的时候就在谈整个合并的估值是在380亿美元左右是当时全球最大的一宗跨国的合并的交易不过这个不是我们今天的故事的主线回过头来说
[00:19:21] 因为有这样一个背景现在劳斯莱斯和宾利分别在这个名花有主之后其实是迅速的回血了奔驰就面临一个问题就是我没有跟他们同地位同价位的这个竞争的产品了对吧我手下没有一个这样的品牌所以呢他们决定重新拿出麦巴赫把它作为一个超豪华品牌来塑造当时他的这个目标也非常的简单而且很熟悉啊叫做不计代价造最好的车这个不是威廉麦巴赫自己说的话吗是的那么他们有没有做到呢客观来说
[00:19:50] 麦巴赫57和62的确达到了这个标准即便我们这期是一个合作的节目但我们也很少直接的描述产品允许我在这边简单的描述一下麦巴赫62的一些配置
[00:20:00] 所谓的62就是它的车身达到了6.2米是个超长的车身发动机呢12缸双涡轮发动机12缸还有可调节亮度的全景天窗后排电动推托定制行李箱纯银香槟杯移动电话太阳能电池不是前面还算是汽车配置的范畴后面是不是有一点过了对有点超出预示了跟车不太相关了对吧这个属于豪华车里面才会有的东西
[00:20:28] 还有一些实际上非常超前的其实在车里面也非常超前比如说我提到的可调节的全景天窗大家应该熟悉现在有很多新能源车都会把这个拿作为一个新的一个配置来当卖点来说的但是麦巴赫在20多年前就实现了当时呢劳斯莱斯的幻影在英国的起售价是21.45万英镑麦巴赫57呢是24万英镑
[00:20:50] 可以想见爱巴赫当时的客群是什么样的比007更牛逼的人而且当时奔驰对这个车是有一个销量的预期或者目标的就希望它每年能够达到2000台的销量当中的预估大约50%是面向北美的客户的其实就是想要给它最顶尖的一些客户一个全新的豪车的选择
[00:21:10] 全北美最富的一千个人先坐上麦巴赫是这样吗是这种感觉我读到过有一段对于他整个麦巴赫首发仪式的描述我感觉也很符合这个目标当时首发的麦巴赫62是被运到英国南安普顿的港口装到一个特制的玻璃展柜里面搬上一艘邮轮的甲板这艘邮轮是横穿大西洋历时六天半最后停号在纽约曼哈顿的码头
[00:21:36] 再有一架直升飞机把这个玻璃展柜整个吊起来再停到华尔街的豪华酒店上就是不能更奢了是吧
[00:21:44] 那这种不计成本的风格呢的确是为麦巴赫迎来了很多的粉丝比较有代表性的我们可以说两类人啊一类呢就是美国的演艺圈的一些名人比如像JZ啊Drake这些说唱的明星是非常喜欢麦巴赫的除了任何特别的车型他们都是第一时间购入确实看得出来很喜欢就是很多歌里面都会cue到麦巴赫据说麦巴赫是在这些说唱的歌曲里面被cue到最多的一个汽车品牌之一
[00:22:09] 第二批呢就是一些新兴市场的富豪尤其是中国其实是非常典型的就是在那个时代就是21世纪初的这个时候迈巴赫是在中国奠定了一个我们开头提到的超豪华车代表的那个地位最经典的一个细节的例子呢就是迈巴赫62因为所谓的62就他的车身吧
[00:22:29] 6.2米的车身当时在中国这个长度是不能挂小汽车的蓝色牌照的所以他必须挂客车的那个黄色牌照还得有个客车的那个驾照对这个本身就有点尴尬的一个bug呢反而变成了身份的象征就像你说他必须要有一个专职的一个司机来开同时他挂的牌照颜色还不一样那这个挂着黄牌的麦巴赫呢就形成了一个经典的豪车的形象
[00:22:53] 不过我比较好奇就是当时像老4S啊宾利法拉利这种也很有名也很有名就是为什么中国市场迈巴赫变成了一个最经典的形象呢我觉得有这么几个原因啊第一就是奔驰本身在中国的知名度是很高的大奔大奔嘛本来就是一个旗舰轿车的尤其是后座舒适性的那种代表而迈巴赫呢其实把这个特点是推向极致的更加符合大家这个需求第二呢就是迈巴赫在中国的官方的布局是比较早的他很早就在中国开设展厅
[00:23:22] 开始销售了香港啊包括内地很多
[00:23:25] 第三个呢我觉得还是timing非常的重要就是麦巴赫他本身这两款新的产品就横空出世名声大噪的时候正好是中国入世之后经济开始腾飞然后有一批新的商业精英冒出来的时候就是本土企业家很多嘛麦巴赫就正好切中了他们的一个心理的需求在他们的圈子里面形成了一个共同的认知了所以说他就能够形成这样一个地位这个方面其实有非常多的豪车啊这种车主的故事译文都很多我们这里就不八卦了大家自己可以去搜一下
[00:23:54] 我讲我自己一个印象比较深的点就不单单在中国其实在亚洲很多地区艾巴赫的地位也是类似的像日本也是一样我印象很深的就是2010年其实有一部日剧名叫Gold金牌女王主演呢是天海佑西她在剧中呢就扮演一位事业有成的企业家然后教育自己的三个孩子成为运动员啊这样一个故事她还有一个小秘书是长测亚美没错那部剧里面呢天海佑西的座驾就是麦巴赫
[00:24:21] 剧中还着重描述了这辆车的一个专职司机的一段故事也很感人因为天海又熄的在国内的这个绰号就叫女王嘛当时印象就是没有比这款车更适合女王这个名号了等于说就是麦巴赫这个品牌重新推出以后它就直接迎来了它历史上第二段高光没错但是这段高光维持的时间同样很短也就是更短因为2007年的时候麦巴赫的销售就出现了一些停滞美国一半的经销商就关闭了到了2011年
[00:24:49] 戴姆勒集团就彻底停止了迈巴赫的生产此时距离迈巴赫62的推出其实只过了10年其实10年时间对于品牌来说就非常短嘛所以说这个过程中到底又发生了什么呢主要其实还是商业的压力因为你所谓不计成本造最好的车你后面还是跟着那个销售预期的嘛那我们前面提到过每年2000辆这个数字其实迈巴赫最后的年销量一直没有达到这个预期
[00:25:14] 当然我们可以说你超豪华品牌刚推出来这个实际的复兴还是需要一段时间的或许有可能你过了一代车型就会更加好一些但不巧的是2007年的时候金融危机就来了我们知道汽车还是很受宏观经济的影响的对于一整个汽车集团来说如果你整个集团经营状况很好的话那我其实是能够承担像麦巴赫这样一些产品品牌的前期投入的多少点没问题但如果我整个汽车行业我整个公司的经营是面临一些困境的话
[00:25:42] 那你在这个上面烧钱就有点难得说过去了这样的例子其实在汽车业是很常见的就是原本一个雄心勃勃的长期的计划然后在现实的财务数字面前的提早就终结了你像大众集团也是一样当年他的化石人皮耶西力推了那个灰腾也是那个豪华的轿车但后来也是在财务的压力下面终止了
[00:26:04] 再简单小结一下我们前面讨论的是麦巴赫这个品牌的第二次高光也就是它在21世纪初的品牌复兴一到刚刚其实只有10年时间在这10年里面戴莫勒集团是倾尽全力把麦巴赫变成了一个当时最极致的豪华轿车赢得了很高的声誉和很忠实的佣等最终是在金融危机的大潮下宣布停产的没错但比较幸运的是这麦巴赫的故事没有就此的完结
[00:26:30] 仅仅两年以后呢它的这个车标啊就以另一种方式复活了2014年梅赛德斯麦巴赫就作为奔驰旗下的一个全新的系列产生了它是基于奔驰的旗舰车型S级轿车推出了梅赛德斯麦巴赫S级轿车大家应该在路上看到过这个车型啊就是车头的标志是奔驰的那个三叉星辉很典型的车头上呢还有一个麦巴赫的那个英文的文字标识的然后在这个车的C柱啊就是二排的后面
[00:26:59] 还有一个麦巴赫的车标所以你是看得出跟S级是不一样的大家应该有印象那所以说相当于在这个时候才出现了我们今天所讨论的梅赛德斯麦巴赫这个称呼对其实就在这个时候这两名字才连在一起作为一个新的一个品牌的这个转变呢其实从商业上来看还是比较巧妙的因为它呢搬掉了原来麦巴赫这个品牌最大的一个负担但是呢也保留了它最大的价值这个怎么说
[00:27:26] 就之前迈巴赫在商业上不成功的原因我们前面讲到了就是他不计成本造车嘛为什么不计成本呢很大原因是因为当时奔驰啊就造这个车的时候是深度的改造他已有的那个S级车型的平台但是呢这个改造真的很深啊就是他的车身的尺寸也好啊内饰的配置等等也好啊都是独立开发而且还用了非常稀缺的手工定制的产能这个是迈巴赫的传统异能啊所以整车制造的成本就非常非常的高
[00:27:51] 梅赛德斯麦巴赫这一次奔驰是在S级轿车的基础之上尺寸豪华感舒适动力这些都做提升总之是满足了麦巴赫客群的要求还是做到的但在开发流程上面呢更加可以说有效率更加高效了我觉得这里还有个逻辑就是虽然麦巴赫当时作为一个独立车型已经停产了一段时间了但之前十年的底子还在的就是这个品牌的地位其实已经确立起来就把它重新复兴起来是更容易一些的是的
[00:28:18] 它这个间隔其实没有那么长很短尤其是在中国我们提一个很重要的事实就是梅赛德斯麦巴赫这个品牌是在中国广州首发的这个指向就很明确了事实证明这个策略也是很正确的就中国一直是梅赛德斯麦巴赫最重要的市场之一有的年份它甚至能够贡献一半以上的销量
[00:28:38] 你想看迈巴赫S级的这个销量这样的一个很贵的车年销量能够在1万台以上对于一个百万以上的豪车其实是很夸张的成绩了而且它依然保持了当时就是在企业当中的那个地位你像马云啊雷军其实都是公开的很著名的它一些车主其实也充分说明之前10年它其实对于中国消费者品牌行促力是很强很强的但我觉得很关键的就是啊梅赛德斯迈巴赫在最近的10年是14年到最近这个10多年它这个成绩不可能只是吃老本的结果
[00:29:07] 如果你只是吃前面21世纪初前十年的脑本的话那你早就吃完了对你贴车标这个行为如果你做的不好的话其实很容易就被认为是一个滥用品牌对很容易消耗品牌的所以在这段时间里边你还是要做很多品牌建设的工作的包括产品包括品牌本身
[00:29:24] 我们这边可以简单的介绍一下其实因为很多的做法都是非常经典的一些奢侈品的做法大致可以总结为两种第一种呢我总结为叫做维持稀缺其实迈巴赫在21世纪初除了57和62那两款车型以外呢还会推出很多限量款的车型比如说我自己印象最深的呢就是2007年推出的一个叫迈巴赫兰杜雷我这个法文不知道念的对不对啊就这个词的意思就是那种敞篷的马车
[00:29:52] 它其实致敬的就是1930年代迈巴赫的那种车身风格的那种车型前排是个固定的车架就是车顶的后排是一个敞篷的软顶可以做敞篷的
[00:30:04] 这款车呢全球限量20辆在顶级艺人当中就是大受的欢迎前面提到的JZ就是车主之一等于说他2014年就延续了这个策略是的2014年这个策略呢我觉得还可以细分一下就是这个维持稀缺啊两个层面一个呢就是继续地致敬一些经典比如说在迈巴赫极极越野车上面他就出了一个限量99台的这个Landry的版本
[00:30:29] 还有呢这麦巴赫在2022年的时候还推出过一个限量150台的高定车型叫AutoVolta我不晓得念的准不准其实这个词就是来自于法文当中的高级定制时装那所谓车里面的高定的话就是指那些特别的外饰内饰还有人机交互界面都是重新做的甚至呢他还出了一个利用这款车的内饰材料做的限量版的皮包这个又是限量款又是特别周边的包
[00:30:56] 味道就很正了呀对这奢侈品的味道就很对了是吧第二个层面的维持席缺呢其实也是奢侈品非常经典的一个做法就是和艺术家合作比如说呢麦巴赫曾经和著名的设计师前LV的设计总监Virgil Abloh合作过一个概念车虽然呢这款车其实没有亮相之前Virgil就英年早逝了但是麦巴赫还是在一座博物馆里面展示了这辆车之后呢也发布了以此概念车为灵感的一个限量版的车型
[00:31:24] 对其实在某种意义上是更稀缺的一个产品了是的那除了维持稀缺之外呢迈巴赫在当下就是2014年之后建设品牌的另一个做法就是拓展边界听上去好像跟前面讲的这个艺术合作这种跨界好像有点接近啊但在迈巴赫这个语言上面实际上是有更具体的含义的就是如今的梅赛德斯迈巴赫其实不再局限于旗舰的轿车这一种车型类型了而是拓展到了像我们前面提到过的G级的越野车还有大型的SUV
[00:31:52] 甚至是纯电车以及SAR敞篷车等等不同的车型了等于说现在迈巴赫已经不再和某种单一的那种车型的形象绑定在一起而是变成了一个更复杂或者说更鲜明的品牌定位的感觉对对对我觉得这一点是非常重要的其实上一段5762那段时间的高光就这点上面其实没有做到因为它还没有出更多延伸的车型可以说这一整套奢侈品的策略还是很奏效的
[00:32:17] 那除了我们前面举的中国市场的一些销售数字之外呢我还可以举一个细节的例子来说明迈巴赫这个品牌如今还是在中国的地位很高啊我们知道奔驰下面是有一款商务车在国内销售的就是那个V级车这款车呢其实和迈巴赫是没有关系的就是他没有推出什么迈巴赫的版本但是你可能在路上看到过挂着迈巴赫标的奔驰V级商务车里面的内饰也非常豪华但这些车其实是自己做的改装
[00:32:45] 所以他们那个迈巴赫标是自己贴上去的对这也回到了我们开头所说的为什么中国这么多的品牌在推出自己的豪华车的时候要cue迈巴赫呢其实就是因为消费者也是有这样一个认知所以你这样cue了对消费者来说就是个最直观明了的一个标杆
[00:33:01] 那讲到这里呢我们关于麦巴赫的品牌故事就讲的差不多了那现在呢我们可以试着讨论节目开头留下的一些问题第一个呢就是麦巴赫的品牌历史为什么是这种高光然后沉寂又高光的非线性的模式第二呢就是在当下汽车这个产品本身激烈变化的背景之下麦巴赫还能代表豪华车吗或者说豪华车到底意味着什么
[00:33:24] 第一个问题我今天讨论下来的感受是曼巴赫这个品牌的高光主要还是源自于他创始人注入的基因因为像威廉曼巴赫和卡尔曼巴赫这两个人的风格和志向就是追求极致那么一旦成功了肯定是很辉煌的但某种程度来说这种辉煌也是很脆弱的它其实很需要时代的土壤作为基础如果说时代出现了巨大的变化其实也很容易归于沉寂了是的
