Vol.257 为什么上证是“综指”、深证用“成指”？
[00:02:36] 一个是上证宗旨和深圳城址到底是怎么来的第二呢就是那个股民们比较关心的问题是为什么大盘好像超级来都涨得很慢这到底是指数的问题呢还是市场的问题那今天虽然不涉及任何具体的个股啊但是因为最近市场比较火热还是有情提醒一句股市有风险入市需谨慎这里是商业就是这样
[00:03:07] 那我们就先从起点说起就是1990年12月上海证券交易所正式开业然后在次年7月呢推出了上证综合指数然后这个指数的基日就是开业那天1990年12月19号起点定为100点这100点其实就是一个起始的参考值也没有什么特别的这个含义的我们之前不是讲过道琼斯指数吗那个时候实际上就讲过
[00:03:32] 指数本质上就是一个追踪市场整体涨跌的一个数字它就是一个数字的概念对就你有一个基础然后我们看基于这个基础的这个涨跌比例对关于大盘和指数其实推荐大家去B站找一位叫通俗解释他一期节目这个里面解释的很好原片也很短就很推荐大家去看这里我就简单复述一下他的说法就是你把交易所想象成一个菜市场
[00:03:55] 你想知道这个菜市场今天的菜价整体是涨还是跌呢你就是要把所有的菜的总价放在一起看这个综合指数其实就是这么算的就是说你把开业那天所有菜的总价作为一个参考然后再把每天的总菜价算出来对比就知道了当然了这个菜市场因为卖的东西多了这个总菜价的总数也会很大很难直观的去对比那怎么办呢就做一些就是数学的处理比如说把开业那天定为100点那之后如果是102点其实就涨了2%
[00:04:24] 那在具体到上证综合指数呢就是编制的方法也非常简单就是把上交所所有的上市股票都放在里面以总股本为全数做加权平均最早的时候上交所的上市公司只有八家嘛就是所谓老八股那全部纳入呢基本上就是唯一合理选择你没有什么成分你干嘛要踢掉某一个呢为什么把他要踢出群里呢对吧那深圳这边呢其实是类似的深交所是在1991年4月份
[00:04:53] 也发布了自己的指数叫深圳综合指数基点也是100点边这逻辑也是完全一样就是全部的股票都放进去然后用总股本做加权就两个市场的起跑姿势是一模一样的所以一开始深圳也是综合指数不是成分指数对最早深圳也是综指成指是后来才有的我们后面会讲为什么改这种全部股票一锅端的做法在早期公司很少的时候是非常合理的对吧问题是
[00:05:21] 交易规模大了以后公司数量越来越多然后质量也是参差不齐比如说有些记差股或者壳公司全部都被算进去的话理论上会拖累整个指数的表现这个隐患在深圳的后来其实暴露的特别惨烈的这个就是所谓还是宗旨的这个概念它隐含了一些问题那讲完宗旨的基本概念我们其实就是可以回答一个问题就是为什么大家说看大盘默认看的是上证宗旨呢对还有这个问题那是为什么呢因为上证宗旨更大
[00:05:50] 对其实就是这个问题就准确来说是因为中国市值规模最大的那些公司几乎都在上交所比如说什么中石油中石化工商银行贵州茅台中国移动之雄都是宇宙都是宇宙大陆反正是很大很大的公司就它撑起了上证的整个市值的体量上证的体量过去长期是深市的大概两倍以上就是上证等于大盘并不是因为它叫综合指数因为综合指数就是大盘
[00:06:17] 还是因为大盘股都在上海所以说我们看上证宗旨可能说对于理解整个大盘长期来说是更有价值的OK那至于说为什么大公司都选上海呢因为两个市场从诞生那天开始就是在互相抢资源而上海的资源呢就是比较好一点因为它背靠是国务院体系而也有当时浦东开发的一个国家级的背景
[00:06:38] 那央企和大型国企早期的IPO都是天然倾向于在上海的那深圳呢一直以来都抢不过然后被迫走了一些差异化路线它是主打这个中小民营企业这就是深交所的一个背景OK我们之前讲过纳斯达克这个交易所它是怎么发家的也提到过因为之前有纽交所嘛或者说一个国家有很多个交易所的话那你后面的这个交易所必然要做一些差异化的竞争是的不过怎么说呢就是中国两大证券交易所在起步阶段都
[00:07:07] 比较业如果对这段历史有特别兴趣的朋友可以去听有台半拿铁的一期相关节目我们接下来就只简单讲一下深交所开业初期的几个故事因为这直接决定了深圳城市的诞生
[00:07:22] 那深交所故事要从1990年说起就是当时的深圳市委书记听说了上交所准备在12月19号开业他就下了一个死命令说不管有没有准身证10天以后我们深交所必须开业于是深交所在没有正式批文的情况下12月1号就开业了比他想象还要早就比上交所早了18天生出来所以就是深交所一开始开的时候他还没有一个就是官方的正式的允许的批文
[00:07:50] 没有就是一个先转后走就来了就是深圳股的这么一个概念不过那个时候就是这个氛围很多事情很多个行业的这个竞争都是这个类型的当然就是深交所这个早些以来的代价也很惨烈就是它开业第一年这个股市连跌10个月深圳宗旨我们早期说这个深交所是用深圳宗旨来衡量自己的这个表现吧就是从100点的基点跌到了45点然后呢这个深圳市委书记没有办法就亲自找了两议员去救市
[00:08:19] 这个也是改革开放以后中国资本市场第一次的政府救市行为啊好快啊刚起步就开始救市了啊那到了1992年深交所又爆发了所谓的810风暴这个挺有名的这个很有名就是当时有一个所谓的这个大家觉得打心就能赚到钱当时呢是深交所已经开始采取了这个限量发行认购证的一个方案
[00:08:42] 他是确定是500万张认购证里面抽50万张就中心率10%嘛其实还可以但是呢他有一个特点就是允许每个人拿10张身份证去买这个认购证当时那个证啊票啊都是实体的就是确实是要现场去买的据说呢就是在8月9号到8月10号这两天就是可以去认购的阶段就是在整个深圳300多个网点门口总共堆了120万个人而且就是外地的身份证据说是成麻袋的往深圳去寄
[00:09:10] 就算是有300多个点120万人这个排队也很夸张了堪比迪士尼最火热的项目是吧而且当时就是后来查出来有很严重的内部的隐私舞弊的问题就是有内部人员去截留抽签表然后导致了就是大家其实实际上是买不到的这个后来又引发了
[00:09:28] 群众就是聚集到深圳市政府门口去抗议变成群体事件了对最后政府是紧急把认购额度又翻了一倍才把这个风波压下去就当时深交所就生育严重受损甚至把上交所也给一度拖累了到后来上交所的恢复就好了一点但是到了1995年就深交所这个交易量还是不到上海的三分之一然后当年有20家升级上市公司里面有19家选了上海就深交所一度已经是一个生死存亡的一个边缘化的交易所了
[00:09:58] 监管层后来也开始推动两市的差异化定位就是上交所服务大型的蓝筹股深交所服务中小企业深圳的所谓中小企业的服务定位真的落地其实要到2004年做中小版和2009年做创业版但定位思路是一直延续的所以你刚刚讲两市有定位的差异其实也有一部分是高层规划出来的
[00:10:21] 对反正就是高层的规划和实际的市场竞争就是相结合顺势而为也是有点造成这个生态位的差异这其实也就直接影响两市对于指数的需求那深圳这个上市公司以中小盘为主它数量很多但是质量就是参差不齐那如果再做中指的话很容易就是被这种比较小的一些公司去拖累那上海这边大盘蓝筹居多这中指还算可以看所以改动力就小得多总体来说就是深圳比上海更迫切需要一个
[00:10:50] 好看的指数就是上阵它有很多的压仓式深圳如果你出了现有一些异常的一些股票的话就很容易被波动的很厉害对可以看到这个需求是在1994年彻底被引爆的1994年是一个当时的中国股市刚经历了一轮剧烈的过山车就是1993年投机热潮退去了然后市场急转直下这个时候深交所的总经理叫夏斌夏斌这个人简单介绍一下他是央行的第一届的研究生
[00:11:20] 央行还五道口央行是有自己的研究生可以读的他毕业以后是在人行的金融研究所和吴晓琳一起搞金融市场研究的他后来又公派去日本的野村证券留过学然后后来又到证监会当过交易部主任他就是从深交所退下来以后搞学术也搞得很好是个很有意思的人他1993年7月份的时候受命南下深圳去搞深交所改革
[00:11:46] OK所以等于是派了一个非常懂当时最懂证券市场的人之一过来来管一下这个深交所对他其实对深交所的这个信心还是比较好的他觉得说深圳比上海开放的更早其实还是有机会就是把交易所做得更大的所以他早期一心的目标就是要超过上交所做中国最大的交易所OK所以结果是什么样的结果就现实很残酷就是据说当时这个股民一天到晚亏钱就一天到晚给他写恐吓信
[00:12:13] 股民给交易所写恐吓信给交易所总经理写恐吓信然后据说他出门的时候还是有点紧张的要有保安陪着他而且深圳综合指数很快又跌破几点了就是跌到97点意味着这个指数从发布以来市场整体又进入一个crisis阶段夏彬后来回忆过一个细节原话是这么说的深圳的综合指数跌到了97点我女儿是在北京念小学的我猛然间回来她跟我说
[00:12:41] 爸爸指数都快跌没了这句话让我很受刺激就是小朋友说的恰好还是家长心里边的大实话不敢说的很怕的大实话而且就是什么小学阶段你没考100分你不就是不行吗好残酷好残酷对然后夏冰就大受刺激开始主持研究一种新的指数编制这里再次引用她的原话就是说我们就研究参照国际惯例要选出好的一些东西来编成分股的指数
[00:13:10] 编成份股潜在的这个出发点也很清楚就是这个指数编出来一定要涨围绕着涨呢我要模拟那模拟呢我要有各种各样的权数这很讲究啊选什么股可流通市值是多少大股小股行业代表这里有很多组合就是这个指数编出来一定要涨当然是件很好的事情就是道理是这么个道理啊其实对很多交易所来说它也是这个目标但是是不是这个话也太糙了一点对而且就不光是选股这个过程要涨这个技术也要涨
[00:13:39] 可以讲一个很细的细节可能从来没有人关心过就是深圳城市的基点是多少多少呢1000点就是这个筹码看上去翻了十倍是吧对出现了一些通货膨胀OK当时就是深圳宗旨是不是基点100点然后跌到97点那我们这个新指数直接从1000点起跳是不是感觉很好就是为了感觉好一点是吗对因为夏彬自己也很坦诚说过就是他说
[00:14:04] 编制成份股指数基数定为1000点就是为了让投资者感觉好一点因为当时的市场很不成熟OK所以就是一个心理安慰就是他在有意的管理这个投资者心理预期就是你97点开始就是
[00:14:17] 其实也挺有道理的对就1000点听上去像一个正常的市场而且有足够的空间让你涨涨跌跌不会轻易跌到一个就是让你更快感到恐慌的数字而且更公平的说这个1000点这个选择也不是完全的拍脑袋就是当时国际上新一代的成分指数的确都开始选1000点这个基点比如说当时的那个英国-1100指数或者说德国的DX指数其实都开始用这种更高的基点起步就是一个
[00:14:46] 所谓的1980到90年代国际指数设计的新趋势等于既是心理安慰也有国际惯例可循只不过是夏宾的这个很老实的大实话让我们知道主要还是为了心理安慰对国际惯例是给他背书的一个理由了
[00:15:02] 那到了深圳城址阶段呢就是确实起步阶段有心理安慰的部分但是我们还是回到编制方法上来看这个所谓的成分值呢还是要比宗旨先进一些就深圳城址是在1995年正式启用的最初是选了40只成分股那相比宗旨呢有两个关键的改进第一个就是
[00:15:21] 很明确的成分股怎么筛不是所有的股票都放进去了而是按照市值成交量行业代表性之类的选出一些样本像GX股科公司就是天然的就被筛出去了其实像全球的主流指数基本上都是按照这种思路做成分股的指数第二点就是做了一些权重上面设计原本是宗旨里面会用总股本来做一个权重在城址的部分里面就做了一个流通股的权重等一下余老师你这边要解释一下流通股和总股本
[00:15:50] 到底各个字是指什么它们有什么区别简单来说就是比如说
[00:15:55] 那这两个改进一个是那个成分股的筛选一个是那个用流通股来算权重
[00:16:23] 这样改进在现在看来已经是常识了但是在1990年代的中国还是相当超前的其实如果比较熟悉的听众也会知道就后面我们不是有股改吗股改里面很重要的就是把之前你说的那些被锁定的比如说国家还有法人锁定的那些股份变成流通股对吧那其实不就解决这个问题了吗对就是所谓的2005年启动这个股权分支改革股改期间可以看到沪深两市其实各自推出过
[00:16:49] 新综合指数上海叫上证新综指是在2006年初开始发布的就是最初就是只纳入一些已经完成股改的股票那深圳也搞自己的深圳新指数也只是选这些完成了股改的公司然后用自由流通市值做加权做了这种新指数思路很清楚就是借股改的机会可以搞一个干净版的综合指数maybe大家也会看这个东西OK所以结果呢结果就是大家怎么看对啊
[00:17:18] 就存在感非常的低大家还是定这个老的宗旨或者老的城市来看这个也提前说了一个我们后面会聊到的问题就是编一个技术上更好的指数并不是很难
[00:17:29] 但是很难其实是取代这个公众心里面已经有概念的那个数字所以深圳在1994年要搞那个城址做这个指数的转型反而是比较提前的选择一个更加现代的或者说是更加成熟的一个道路了确实可以看到就是深圳城址推出以后很快就取代了这个老的宗旨变成深市的这个旗舰指标深宗旨虽然还在但是已经是退居非常二线的二线了
[00:17:53] 当然深圳城市也不是完全一成不变的最早不是说它的成分股是40只吗在早期深市只有100多家上市公司的时候其实还是够用的比较成分的那到了2015年深市其实已经有超过1640家上市公司那如果说这个时候成分股还只有40家的话其实就已经失去代表性了所以说当时启动了那个针对深圳城市的一个改革当时深交所官方有一些答记者问的数字就是说如果还做
[00:18:22] 40只成分股的话那就只覆盖深市2.4%的上市公司市值的覆盖率只有18%而当时比如说全球的一些
[00:18:50] 中小板只有11家进入到城市里面创业板才三家等于你深圳好不容易打出了一个中小成长股的这样一个定位结果你这个旗舰的大家最关心的成分指数里面是一个金融地产的指数反而代表性完全偏差了确实是所以说到2015年的5月深交所就正式把成分股从40只扩容到了500只然后彻底重新定义了整个指数的覆盖面
[00:19:15] 扩容以后像科技类的股票权重就大幅的提升金融地产权重也降到了20%左右已经更加接近于绅士的真实结构这改革也说明一件事情就是即使是成分指数也不是编完就万事大行的它必须跟着整个市场一起进化这个思路就跟我们前面说的这个上证宗旨形成了有点鲜明的对比就是一个是在主动在改一个有点改不动的意思
[00:19:39] 那关于一个指数好不好有没有代表性其实还有一个很直观的数字可以看就是有多少基金愿意基于你这个指数去做像ETF这样的投资产品这个我们就是很明显的一个代表就是比如说直接跟踪上证综合指数的ETF我查了一下全市场只有四只那跟踪深圳城市的更少只有两只
[00:20:03] 如果我们看美国市场跟踪标普500的ETF只在美国市场就有16只欧洲还有33只其实全球加起来就是超过50只接下来说光VOO这一只ETF的规模就超过9000亿美元所以说如果你真正看就是说基金公司愿意做指数产品的
[00:20:23] 指数的话现在中国市场最有代表性其实是沪深三百对就上证宗旨因为它太不动了是吧所以就是你作为一个基金公司来说的话它这个价值就会少很多对就是没有人会拿一个变化不大的指数来做产品所以就是产品层面天生的劣势简单的说就是上证宗旨更多是一个用来看的指标而不是一个用来投的指标那么这其实就引出一个更大的问题既然成分指数更科学上证宗旨为什么不换成成分指数呢
[00:20:53] 其实我觉得这个问题还可以再往深一层下就是指数到底应不应该以交易所为核心来编制我们都很熟悉美国的三大股指分别是道琼斯公益指数标普500指数和纳斯达克综合指数那这三个指数里面只有纳斯达克是以交易所为核心的所谓道琼斯和标普都是独立于这个交易所第三方指数自己决定规则自己筛成分股就是不受单一交易所这个边界限制
[00:21:18] 对就是其实照道理来说的话任何人都可以编一个针对某个交易所的一个指数比如道琼斯就是这么乱编出来的对是而且我们之前讲过的道琼斯其实他这个指数产生的时间比这个交易所自己做这个指数都要早当然现在因为像那个Magnificent 7出来以后呢大家普遍觉得这个道指已经是老黄历当中的老黄历甚至标普500都觉得已经是黄历了
[00:21:42] ETF的部分我觉得至少还没有退潮那么厉害它规模还是很大我觉得也不能说它是已经过时了因为它的所谓编制方案包括权重的调整还是能反映市场的变化的但我们还是可以说另一个
[00:21:55] 例子就是如果一个国家只有一个交易所的情况下比如说韩国对吧那交易所的综合指数就基本上等于全市场指数然后你怎么选成分也没有什么办法是这个韩国这个指数正好因为现在很重要很有意思的例子嘛因为这个三星电子和SK海力士这两家公司的权重特别大这个他们涨指数就涨他们跌指数就跌就是在这个美国的Magnificent 7起来之前让韩国早就是
[00:22:21] 这个类型的市场了对就是这两家公司长得特别好把韩国股市直接带成了全球第七大股市所以就是大盘股对于指数的带动作用还是很强的不过这个还是有一个基础的问题就是要看这个大盘股是做什么的韩国这个大盘股这两家公司是做半导体的等于说赶上了这一轮AI的风口指数就跟着起飞了那中国我们回过来看就是他的大盘股又回到这个银行能源电信这些就是股价很稳但是
[00:22:50] 不太涨的东西所以说同样是由大盘股来主导指数结果就是完全不一样我觉得中国还有一个额外问题其实我们在讲护身300时候已经提到了就是两个交易所各自编各自的指数然后每个指数呢都只能反映市场的一部分这个其实解释了就是说股民们一直说什么上证终止十年不涨这我觉得这个未必能代表这个中国市场的全貌对所以说才会有护身300这种跨两市的指数就是崛起嘛
[00:23:18] 本质上就是在走这个道琼斯和标普的路所以很多我们看到一些基本的投资的科普都会说到你不能看上证宗旨说这个十年不涨就认为中国的股市十年没有任何的这个变化或者没有任何增长这个其实不是科学的不过还是说回到上证宗旨就他其实回过头来看他犯了一个双重问题就是他既是交易所指数又是综合指数就他其实就是一个不是太先进的一个东西
[00:23:43] 就是大家都看它有可能是一种习惯但是呢确实投你从这些实际的投资行为里面也已经不仰仗它了那为什么它不换成一个跟投资的行为更加挂钩的一个指数对就是这个问题我觉得其实解释起来没有什么特别理由主要就是一个历史遗留问题就习惯了对就是因为它的历史太过悠久了而且跟这个中国最重要的公司们绑地也太深了就它的点位基本上等于中国股市的脸面否则我们天天打三天天宝贝仗打的是什么东西呢
[00:24:12] 但如果说你贸然间要把它换掉这个点位一变大家其实需要花很长时间去适应也没有办法去回溯过往的投资了就等于还是你前面讲到那个深圳这个指数的那个问题就是你一下子把一个全民都在看的就不管它是不是真的科学会有代表性它已经是一个全民都认的一个指数换成一个更加科学的成分指数其实技术上并不难
[00:24:35] 但是在这个心理和政治上面其实是有很大的挑战的对就是所以说上阵宗旨一直保持了1991年开始一个基本架构只做一些微调它最近最大的一轮修订是2020年提出了ST和新ST股票然后新股上市是满一年才纳入的之前是第11个交易日就纳入了其实正好是这个连续涨停板打开的时候对就是市场波动会比较大所以我觉得这个想法还是蛮好的另外呢也纳入了科创板
[00:25:04] 当时就是跟着这个上升宗旨的修订同时做的就是科创50这个指数不过说实话我觉得上升宗旨当年这一轮技术层面的修订对于整个宗旨的影响其实没有大家想象的那么大就是回到这个核心问题就是这个指数还是市值为王对新股和ST股对于这么大的市值而言能拖累多少呢还是因为那些权重股
[00:25:29] 它是相对来说股价不太变动的是的压仓时过于稳定了稳是很稳但也意味着整个指数很难被拉动所以比如说为什么最近可以这两年可以从3000多到4200你从幅度上面来说还是蛮大的对这一轮还是比较大家说比较惊喜的一个点这一轮主要是靠一些成长性板块比如说硬科技半导体AI这些东西相当于出现了一些全新的高增长的概念
[00:25:56] 那大盘股本身依旧很稳定就能源啊银行都没有怎么动这个其实说明了就是说大盘要涨光靠修订指数规则肯定是不够的你要有足够强的心力量去拉动它或者也可以参考美国办法就是不指望一个指数反映所有东西嘛像中国现在大家比较关注的其实像是科创武林和创业板纸这个也是想扮演中国纳斯达克的一个角色不过就还在成长期吧
[00:26:21] 所以简单小结一下目前的这个局面就是上证宗旨是被大盘的蓝筹压着就是涨的这个幅度是非常有限的然后两市呢又缺乏一个真正有说服力的一个成长股的指数来反映市场里面最有活力的那个部分所以大盘十年不涨这个说法呢与其说是指数编织的这个问题不如说是市场结构本身的一个问题的一部分的体现可以这么做一个类比吧就是指数有点像温度计
[00:26:46] 如果你的体温因为有些原因就是只是局部有点过热但是整体很安稳的话你一直去换不同牌子或者不同方式的温度计是不会有太大的变化的真正出了也不是换温度计也就是你得动起来让各个部分的体温都能高一点它才能真正显示出来嘛而深圳城市其实在1994年就迈出了第一步只不过那个契机是一次危机所以回到最开始的问题为什么上阵看宗旨深圳看城市
[00:27:11] 其实答案就是这不是什么顶层的设计而是两个交易所在不同的阶段不同的压力下面各自做出的一个选择那上阵呢在1991年定了规矩后来就是传大难掉头了那么深圳呢是在1994年被逼到了墙角反而走向了一个在指数上面更加现代的一条道路这个指数的差异实际上是竞争危机和制度惯性的一个产物
[00:27:33] 不过我们现在说两市这个格局本身也还是在猛烈的变化当中根据两大交易所现在自己也披露目前上交所的股票总市值大概是70万亿深交所也没有那么小现在已经快速地穿升到50万亿了就是所谓的大盘小盘或者大小之分两市的区分已经变得越来越模糊深圳在创业板里面跑出了万一市值的宁德时代还有新的千元股终极创序
[00:27:56] 然后上海也有主打成长型公司科创板再加上北交所逐步升温我觉得很多事情都在变但是目前为止衡量中国股市最重要的两个指数还没有完全跟着变上升增值还是1991年的框架升值还是1994年的单身逻辑这两个数字还带着30年前的台积之前跟Austin讨论这个节目的时候他给我来了一句禅宗的名言叫做一手指月指并非月意思就是说月亮是目标
[00:28:25] 手指是手段不要把手段当成目标其实指数与市场之间也是这样的关系与其关注将市场抽象一边而形成的工具不如关注具象的市场机会商业就是这样
