Vol.78 萨莉亚的“抠门致富经”
[00:12:10] 讲到中央厨房的话其实是这几年国内餐饮创业的一个热点它基本上就是连锁餐厅背后的一个标配了简单来说就是品牌先建一个很大很大的厨房然后把它门店里面要用的菜都烧到差不多然后直接送到门店里面门店只需要简单的操作比如说热一下就可以把这个菜送出去中央厨房的好处还是蛮明显的就是菜品的口味可以非常稳定然后每个门店配的厨师也可以少很多上菜速度也提升了进而就是可以把翻台率提起来
[00:12:39] 我感觉约老师这短短几句话已经把中央厨房给总结完了啊萨利亚的话其实可以说是中央厨房的一个先行者了就你去看所有分析他的文章里面都会把这个作为他整个商业模式的核心不过其实萨利亚的中央厨房这个真的要发挥作用的话还是有蛮多细节可以注意一下的那你再展开讲讲我们举两个点吧第一个就是目前萨利亚采用的其实已经不是原始的这个中央厨房了而是食品加工厂这个模式
[00:13:08] 英文叫commissary这个其实最早是一种军事设施啊直译的话其实应该是后勤时评补给站这种感觉就是你外出打仗的时候你需要有个快速的然后稳定生产那种便于战时使用的餐食的基地反正是个工厂对所以他会用流水线的方式来大规模生产加工这种可及时的餐食那其实升到
[00:13:31] 工厂的话就是比原来的中央厨房可以提升空间就是原来中央厨房可能还是用人工的部分会多一点但是加工厂的话它基本上就是机械化的程度非常高了没错那从中央厨房到这个食品加工厂的话其实就和萨利亚的这个连锁规模的不断扩大很有关系了从第一家店到第一百家店的话萨利亚是用了21年但从100家店到1000家店只用了17年
[00:13:57] 这个当中食品加工厂的这个效率就是一个很大的一个贡献了不过食品加工厂虽然解决了这个量的问题啊但同时还要保证质不然你这么快的生产出来但是就算很便宜东西不好吃就没人买了所以一方面萨利亚要做很多研发的工作尽量要保证他这个加工厂里面每道菜的这个制作流程要足够的细分要足够的定量另外一方面呢他还有一件很重要的事情就是要尽量的缩短整个供应链的长度
[00:14:22] 它不都已经源头直踩了吗这个供应链长度还能怎么做的这个长度是非常物理意义上的因为郑元太厌在早期做中央厨房的时候他就发现最影响餐食口味的其实不是说你集中或者是不是中央厨房而是说整个物流过程中它的时间温度甚至是运输当中的颠簸这些是很破坏食材的一个风味的所以萨利亚它有很多重要的加工厂它就直接建在了原材料基地的旁边
[00:14:50] 比如说我们前面提到的福岛的蔬菜基地的旁边就是萨利亚的一个蔬菜色拉的加工厂你这个蔬菜当天采摘下来就直接送到工厂里边加工做成色拉然后封在塑料袋里边一袋一袋运到门店里边门店的员工只要开封倒在盘子上面撒上酱料就可以一个色拉上菜了那这个过程里面就是物流运输也变得很重要了没错就萨利亚刚刚开始连锁的时候日本的冷链物流在餐饮链里边还不是特别的发达
[00:15:18] 但是随着这类的餐厅就是我们刚讲的家庭餐厅连锁的餐厅越来越多了之后日本市场的冷链物流已经非常非常成熟了量非常的大你去看现在它这个冷链的规模如果是按人均来算的话其实还是非常高的那萨利亚呢也已经找到了非常成熟的供应商它可以做到全流程保证四度的一个保鲜这么做的目的呢就是保证整个菜品的出品能够稳定
[00:15:41] 每一天每一家店吃到的萨利亚的意面都是一个味道稍微总结一下刚才肖老师基本上把萨利亚的供应链体系介绍清楚了这是从源头开始做大规模的集中采购然后再到田间地头就有的食品加工厂然后再到一个完善的一个冷链设施然后再到最后一个很大的食品加工厂这个其实是支撑萨利亚能够开这么多门店的一个基础没错
[00:16:05] 刚才我们好像已经把中央厨房这个模式的一些细节都讲了啊但是还有一个重要的点没有讲就是他这套供应链体系的背后的一个出发点其实就是四个字节省人工而节省人工呢也是萨利亚在前端门店经营上面的一个核心逻辑这个还蛮细节一般来说门店都是想着我怎么样多赚钱怎么样开源对吧但是这个公司在考虑怎么节流还蛮有意思对这个也是萨利亚整个管理体系里面有点反直觉的一个部分啊
[00:16:35] 就是他萨利亚的每家的店的这个店长啊是不被营业额指标的因为郑元太爷他认为营业额是由自家的产品然后门店所在的商圈以及门店的规模这些前期的硬性因素来决定的而日常的运营要考虑的是如何在保证服务的同时尽量的节约人工所以萨利亚给店长他设的一个核心的KPI就是门店的工时生产效率什么叫工时生产效率
[00:17:03] 比如说啊就是萨利亚一天的这个店的营业额是1万元然后它的毛利率我们前面讲的按照60%来算也就是说去掉原材料萨利亚一天的这个毛利润是6000块钱然后当天呢整个这个店里面的员工全职的加上兼职的所有员工的工时他把它加在一起是30个小时那么每个员工的工时生产效率就是200元根据正元探验所说呢在日本
[00:17:28] 公食生产效率这个数字要做到大约人民币120到150元这个餐厅才差不多可以谈盈利了而萨利亚对内部的一个目标是这个数字要做到人民币300元等于萨利亚在公食效率这个指标上面要做到一般餐厅的两倍甚至更高了没错那这个其实才是他赚钱的一个核心就是让尽量少的人就能完成店里面所有的这些事情而且在菜品低价的前提下能够创造出足够的收入
[00:17:57] 那这个怎么做到呢这个就是一些比较细节的诺号了我们可以举一些他在书里面讲的例子前面我们提到的减少厨师其实很自然也是一个很重要的部分减少厨师这个当中呢还有一个点就是要让门店的前台和后厨他这个工种啊尽量的模糊化不用特别的规定好岗位这个怎么理解呢就是如果你门店的后厨啊只需要执行一些最简单的操作就是我们刚才讲的什么把这个
[00:18:24] 将来往上一撒将来往上一撒的话那么其实你负责点菜的服务员也可以学会去怎么后裁去那个做菜所谓有手就能做对那么反过来也是一样的如果你后厨的厨师能够掌握前面点菜的一些技巧的话你其实也可以在需要的时候到前台来帮助那个前面的服务员来点菜或者来端一些食物啊等等的
[00:18:47] 所以就是复合型人才嘛你什么都会做就能把整个效率提升起来也不用配这么多专门的人没错其实这个点我原本在看资料的时候没有太get到就是我没有太理解这个东西真的能带来很大的帮助吗但是我最近自己有一次用餐的时候呢就有了一点实感就我最近就去一家居酒屋啊然后想点他们的一个招牌的关东煮结果服务员就说没有了而且不是因为原料的问题是因为关东煮他必须要配一个专门的师傅来做
[00:19:13] 而这个师傅呢也不能去烧别的菜就在那个关东煮的那个锅前面等着这个原理成本就非常的高而且呢还有一定的技术门槛所以在这个上海的封控之后呢门店就不太好招这样的员工了大家就知道了为什么全家的关东煮就是普通服务员也可以做对专门配一个人做关东煮我觉得就是这件事情肯定不可能发生在萨利亚查克来问一句啊就是这种傻瓜模式底下这个招进来员工拿的不会是最低工资吧
[00:19:41] 倒不会啊就是正元探验他自己在书里面会说萨利亚提供的薪水是我一直在同行业较高的水准的因为不能让员工都和他自己刚创业那个时候一样什么吃剩菜剩饭什么的当然这个是创始人自己的一个就是自我夸奖的说法我们来看看数字啊就是我只搜到日本那边的一个信息萨利亚的这个打工的兼职的时薪大概是在900到1100日元之间比便利店的稍微高一些
[00:20:09] 跟一些G955相比差不多,等于是不太低的一个水平了
[00:20:13] 那么在这个不低的薪水基础之上呢他就要想办法提高员工的工作效率才有可能把这个所谓的工时生产效率能够提上去这个呢我们再举一些具体的例子比如说萨利亚他会定制一些专门的厨房用具比如他有一种专门的烤箱他分上下两层上下两层可以设定不同的时长和温度这样呢这个员工就可以同时的加热披萨和意面就效率就更高了
[00:20:38] 又比如他有一个专门的舀披萨酱的容器他这个一勺啊就是一个披萨的量你就往这个披萨上面一抹就可以了这员工都不需要培训的嗯这个就跟麦当劳差不多了反正就是让一些操作傻瓜话没错就麦当劳很重要再举一个例子啊比如说很多人会注意到萨利亚的服务员上菜是不用托盘的都是靠手拿听上去是有点危险但是这个方法呢他节省了把菜放上托盘然后再把它从托盘上拿下来这一两秒钟
[00:21:06] 而且这个托盘的空间也是有限的这些时间和空间他都把它节省下来了但是你要说的话训练有素的服务人员两只手能够拿下托盘其实也是有限的总之就是萨利亚他这个低价就是因为他在保证了基本的服务品质和薪水的情况之下在各种细节上面像挤海绵里面的水一样来挤时间然后提升这个人生效但是我有个问题就是人不是机器
[00:21:31] 你这个操作就像一套精密仪器一样环环相扣每一项都要做到很快很敏捷很准确这个事情真的能推广下来吗好问题啊这毕竟它是一个一千多家门店的一个连锁啊怎么说呢知易行难吧就萨利亚这套节约大法现在我们说一说好像也就那么回事对吧但是关键还是如何执行这个方面呢郑元太爷自己他也承认就是很多事情就是像约老师刚才说的是偷师卖当劳的
[00:21:56] 最主要的一点呢就是他们有一个清晰明确的员工手册就麦当劳也有那个东西你要把每一个工作步骤就像我们前面讲到的那些工作步骤都用最最简单明了的话来写出来比如说餐桌的清洁规范你就不能写什么桌子要擦到什么样的程度才算干净而就明确的写到用抹布在桌子上从左到右来回擦四遍这样才是OK的那正元探院还说过一句话他说
[00:22:23] 人类还没有聪明到能够同时兼顾几个目标所以他的意思就是萨利亚在任何工作要求上面都只设定一个kpi比如说你有时候要发个用户调查问卷来回收下用户的这个反馈那我也不考核别的东西我只考核你发了多少份问卷
[00:22:39] 这个听起来就是非常麦当劳的一套做法讲到这里我其实有个感觉就是正元太阳像在开一个工厂一样做一个连锁餐饮品牌从集中的供应链到前端的这些精细化管理都是有类似的感觉的像丰田汽车的管理方法里面就特别讲究两个词叫持续改善和消除浪费然后萨利亚给我的感觉是一样的非常同意就是我自己读下来也是感觉它跟丰田的那种风格有点像
[00:23:07] 这个持续改善其实不单单是门店层面的还有整个公司层面的前面那个政员他也不是说店长不考核营业额吗营业额是由产品商圈和门店决定的那么萨利亚就设置了一个区域经理的职位来确保他的这个选址和产品能够提供足够的一个营业额
[00:23:25] 选址确实是萨利亚比较有特色一个点就是他老是选在市中心不太黄金的地段比如说什么以及写字楼底下的地下室里面开一个店对对对就是那种你说他这个地段吧也是满月的一个商圈但是那个地方吧显然是这个商圈里面最冷的一个地方他这么做的话就是为了减少前期的投入嘛就我们刚刚讲到他开手电的时候就是因为开始的房租和这个装修都很省所以他能够尽力能够保持
[00:23:54] 他现在在开店前后的话区域经理都要对所在商圈的情况来实时的跟踪的正因为他也给他的下面的人要求是每周要整个商圈要逛一遍逛哪些东西呢比如说你哪些竞争对手然后商圈的人流有没有一些变化甚至当地的天气因为天气会很影响一些门店的顾客数比如说下雨的话购物中心里面室内的店人就会变多但是街边的店人就会变少等等的
[00:24:21] 只有把这些细节实时的都掌握了才能够判断这个商圈的变化也能够帮助店长更好的规划他接下来一个礼拜的工时感觉这个岗位设置还是蛮重要的因为直营连锁嘛就是有利于品牌自己根据市场变化灵活做调整那显然你这个区域经理就要有这个能力没错这个当中其实有一个最经典的案例啊就是萨利亚到中国开店的这个故事萨利亚是2003年到上海开了海外的首店的
[00:24:49] 据说也是第一批外资独资的直营的餐饮品牌目前呢它在海外有400多家店主要就是在中国的几个大城市萨利亚一开始进入中国的时候它的商品的定价和日本的这个差不多就是这个汇率转换一下其实已经很便宜了但结果就是生意不够好这个时候另外一家日本公司就是做家具的尼达利尼多利的老板就叫四鸟招熊这是那个尼多利本利啊他就跟正元太爷说
[00:25:18] 你这个萨利亚的价格对于中国的消费者来说还是太高了然后呢萨利亚就让当地的这个中国的当地的团队重新来判断一下看要不要调价当地的团队就去了解了这个他们所处的一些商圈的居民的消费水平啊甚至去看他们买一份报纸买一份早点是要多少钱接下来就开始决定降价先是降了五折结果没有用降到三折把一份一面的价格打到了九元然后萨利亚的生意才开始好起来了
[00:25:45] 这个先五折再三折就感觉像这个公司的规定动作不过我确实印象很深刻这个九块钱一面是非常能够引流的一个产品对它其实是打到了你一个心理价格锚点的一个下面了
[00:25:59] 讲这么多我们就再给大家看看数字吧就是萨利亚这个生意目前到底能赚多少钱呢对我们刚才讲了很多好像他非常精细管理的优点我们来看看结果我们取疫情之前就是2018年9月到2019年8月他就一个财年的一个年报来看看萨利亚的这个业绩我们还是按照我们前面讲的一个餐饮门店的几个重要的支出来看当年萨利亚的这个食材的成本占的是35%
[00:26:27] 人工的费用率呢是23.5%房租水电等管理费用率呢是34.5%还有一些税费扣掉之后呢当年整个财年的净利润率是5%整个这个绝对值兑换成人民币大概是4亿元不到4亿元对于一个餐饮品牌来说其实是相当不错的对尤其是它其中我们前面重点讲的像那个人工费用率啊
[00:26:51] 包括是那个食材的这个成本啊其实比他原先预想的一些数字还要再更低一些那我们就跟国内另外一家餐饮连锁的这个公司对比一下来看看是个怎样的水平啊这家公司就是泰尔酸菜鱼它的母公司叫九毛九这公司是在那个港股上市的
[00:27:09] 那我们这边呢是取2021年的这个财报的数据因为泰二三菜鱼在这两年还是发展比较快的嘛最新的数据能够比较好的反映它现在的一个规模整个九毛九这个集团旗下所有的品牌它门店的总数大概是500家左右然后我们来看看这个各项的成本啊食材的成本呢其实九毛九要更高大概是37%左右人工的费用率呢和萨利亚差不多是25%就略高一些
[00:27:36] 它的房租水电费用率啊我一看的时候我发觉低特别多这几个加在一起只有18%但是它还会有一项其他成本比如说什么运输啊开新店的费用啊还是融资啊这些的这些呢只有6%再加上所得税这些扣掉之后整个九毛九它的净利润率是在8%左右它的绝对值呢和萨里亚差不多是3.7亿元那听起来九毛九好像更好一点毕竟净利润率会稍微高一点嘛
[00:28:05] 对因为九毛九现在它这个核心品牌就是泰尔酸菜鱼它属于是一个快速增长期嘛开的店非常的多大家也经常在商场里面看到整个利润率肯定还是比较高的但是如果你看趋势的话整个2021年这一年泰尔的客单价实际上没有提升的翻台率还从它前面非常高的什么4.9然后一步步降到三点几了其实你未来的发展是如何是不太好说的但对于九毛九这整个集团来说呢
[00:28:31] 其实你还是要靠多品牌的发展才能够维持一个长期的一个稳定的一个业绩的水平的而萨利亚呢它只有萨利亚这一个品牌就单就这一个品牌它可以做到常年毛利率在65%左右净利润率在3.5到5之间当中其实也有过像那个接近10%这样非常高的年份但是更厉害的我其实还觉得它能够在它上市到现在20多年的时间里边维持在一个非常稳定的
[00:28:59] 一个净利润的水平这个其实还是比较难的刚才我们这些描述就给人感觉塞利亚就是像一个很精密的机器它对于细节就是追求到了一种精精细细的地步然后一步一步可以把这个机器本身规模化复制那么发展到现在难道这个公司的发展就没有出现一些风险或者波折之类的问题吗
[00:29:20] 没错就前面表扬那么多还是要说些问题的嘛这个波折肯定有毕竟萨利亚它是整个供应链从头到尾都是自己做的那么出了问题的话自己也要整个负责任比如说有些食品安全的问题像2011年的这个东日本大地震那个福岛的核电站的危机对它那个蔬菜基地就会有一些影响
[00:29:42] 然后又比如说他2008年还自己检测过一些有三剧情案的一些原材料他也是主动的要去公布然后去解决这个食品安全的一些公共的危机这都是比较大的除了这些以外呢有一个例子倒是可以稍微展开说一下他跟餐饮关系不大但是是一个跨国公司容易遇到的一个投资问题萨利亚他从1999年上市以来几乎是没有亏损的年份了除了2020年是亏损的
[00:30:10] 还有一年就是2008年他当年啊其实营收是创了新高的但是呢这个利润上面却既得了一个大幅的亏损
[00:30:19] 原因就是他和法国巴黎银行签订了一个金融衍生品的一个合同这个合同呢发生了一个巨额的亏损这个呢具体解释起来其实够说一集了我们简单的说一下
[00:30:30] 就是这个萨利亚他常年不是要从澳大利亚那边的那个子公司来进口肉和奶类的产品吗那他为了避免澳元的一个汇率的波动啊他就通过一个叫货币互换的一个金融衍生品来做这个交易简单来说他就是能够锁定一个澳元和日元的汇率然后我就去按照这个汇率去进口那边的产品然后我这边来卖的话这个餐单上面都是日元嘛这样的话我其实就是可以做一个怎么说呢套利保值吧是这样一个那个一个一个作用
[00:30:59] 没想到金融危机来了导致日元是大幅的升值再加上一个衍生品他自己身上有一些杠杆结果就是他原本想的这个套利是能够保值甚至能够赚点钱的变成了一个大幅的亏损最后产生的亏损总额是在150多亿日元相当于1.5亿美元的一个巨亏
[00:31:19] 郑元太燕她本人也是因为这件事情在2009年她就辞去了社长的职位改任会长了相当于是CEO的这个职位不当了然后就退到董事长了其实我们不是说2019年萨利亚一整年的利润率才不是很高折合成日元也就是相当于100多亿日元那就相当于她2008年这一波亏的就是把一整年的
[00:31:43] 利润全亏完了坑吃坑吃一年的卖这个意面然后这一个衍生品全都亏光了这也说明就是一个连锁的直营品牌一旦要跨国经营的话还会增加很多很多的不确定性当年萨利亚在这个方面显然是不够成熟的没错任元太阳他自己他就说企业在不同时期需要不同的领导者来带领当我意识到公司在下一个阶段需要新的领导者的时候我就离开了
[00:32:10] 今天的话我们大概把整个萨利亚他为什么这么便宜以及他便宜背后的一个商业模式的一些细节都讲得蛮清楚了其实回过头来看啊萨利亚他确实是选择了一个怎么说风险比较大的经营模式吧因为他只做一个品牌这个品牌只做一个菜系而且他是直营的上期节目我们也讲到有的特许经营商他为了分散风险
[00:32:37] 还会去接不同类型的餐饮品牌的一些单品牌方其实也是一样的我要去做一些多品牌来抵消风险嘛我们了解的很多国内外的一些餐饮品牌背后都是一家公司比如说萨利亚在日本有一个同行也是一个很有名的竞争对手吧另一个平价的餐饮连锁叫石奇家在中国也有店的啊他的母公司就叫全盛集团全水的全盛大的盛
[00:33:03] 这个全盛集团它就是走收购的路线它旗下有7个品牌而且覆盖不同的菜式的类型我觉得现在中国的消费者包括说食品行业餐饮行业创业者肯定很能理解这个思路因为餐饮的这个口味风潮是一阵一阵的一种菜火个几年可能就过气了然后你这个时候转做别的类型的餐厅其实也更合理没错就有可能这段时间你是一个做云南菜的然后过段时间你就去做火锅等等都是有可能的
[00:33:32] 而萨利亚等于是把许多许多的鸡蛋都放在一个篮子里面对吧然后你这种情况下他要想长青的话就会要求他在各个方面都要做到最最好才有可能增加一个抵御风险的能力就像2008年还有这两年的疫情他虽然亏损了但是因为他有更多年份的稳定的盈利的一个积累他还是有一个本钱来承受这些突发状况的
[00:33:53] 这两年其实餐饮业不管是中国还是全球其他地方都受够了这种突发的打击有时候像这种不可靠力真的是很难抵御的不是说人人都能照搬萨利亚这套方法但是像萨利亚这样把某种模式推到极致的能力却是值得学习的商业就是这样
[00:34:18] 感谢收听这一期的商业就是这样你可以在苹果播客小宇宙喜马拉雅网易云音乐QQ音乐荔枝等平台收听我们的节目微信公众号第一财经eMagazine也会推送每期节目的内容如果喜欢我们欢迎你在苹果播客给我们五星好评并期待你在各个平台与我们交流
