Vol.191 2024年度话题公司：胖东来
[00:05:53] 它比较偏仓储型所以它的层高都很高SKU也没有那么多那胖东来呢它看上去它的体量和它的这种模式可能就是真的是跟常规的永辉或者大润发的那种门店差不多比一般的社区超市要大然后它的生鲜区和熟食烘焙区也都比较大那有没有什么确实觉得很厉害的点呢这个我也可以分做两层来讲首先是我前面讲到它是一个上海中高档超市的品项
[00:06:21] 那它能够出现在许昌这个低线城市本身就属于比较厉害了那胖东来在许昌最新的一家门店就是叫天使城它在天使城的副一层这个超市
[00:06:33] 也就是现在去许昌打卡帮同来的人都要去的一个网红店你走进去有一种恍然进入早几年那个上海的那个比较贵的那个超市City Super的感觉它整个卖场的视觉是深色系的灯光的亮度很适中够亮但又不是明晃晃就显得比较高级然后它的各种商品的指示啊动线的规划都蛮好的而且你仔细看吧东西也都不便宜确实还真是上海的消费水平
[00:06:58] 其他还有一些细节比如说它有储物柜有购物车购物车分很多种适合你不同的这种购物的需求然后它的生鲜区还配备了手套和洗手池这类连在上海我觉得都很少见到的这些我觉得是蛮便捷和人性化的这些设计吧
[00:07:15] 看得出这个超市应该是非常注重管理日常的工作做得很细致
[00:07:34] 我觉得这一点还是蛮难得的现在我们遇到很多消费场景都是投诉无门我觉得这一点也是大家讨论到胖东来的时候经常会Q到一个点但你刚才说有两层比较好的地方第二层是什么
[00:07:46] 第二个就是他生意真好啊这非常厉害尤其在今年这种消费环境下我可以说胖东来超市那个客流量可以是令全中国做零售的人都感到羡慕他每一天开门就是看着大家排队送钱我自己有在上海和成都生活的经历我觉得那种阵仗大概也就是只能在除夕前两天在卖场里面能见到我们第一天上午在天使城那个网红超市的入口
[00:08:10] 随便问了十二三组购物的消费者吧其中只有两个是本地人其余全部是外地游客
[00:08:36] 等一下就是葛老师刚才讲了有个细节我比较好奇你说那个胖冻来下来最网红的新店里边都是外地的顾客对我们在许昌你知道这个记者去到一个地方采访一般很爱跟网约车司机聊天对吧
[00:08:50] 我们也这么做了然后我们聊了好几个网约车司机其中有一个就跟我提到说因为胖东来的这个于东来他很提倡说员工要有幸福感然后要让别的超市有生意可做他所以他每周二胖东来有几家门店是闭店的就不做把这个市场留给同行对吧那这个网约司机就告诉我们说但凡每周二闭店他的生意就会明显变差网约车的生意会变差对然后另外两三个司机就提到说他们有一种感觉就是从外地专
[00:09:19] 我们可以看一组官方数据2024年五一假期期间许昌全市接待的游客总量是480万人次
[00:09:46] 同比是创下历史新高增长了115%其中胖东来天使城时代广场和生活广场这三个门店的日均客流量就达到了31万人次
[00:09:59] 这个是什么量级呢它超过了当地的三个传统景区分别是曹魏古城神后古镇和明清古街这三个传统景区的游客日均接待量呢加在一起都没有这三个门店多对那当地甚至流传过一个说法就是许昌的酒旅业给于东来立个杯都不为过所以公众印象当中所谓胖东来很红然后现场的生意非常非常好其实就是最近才发生的一个事情
[00:10:26] 或者说某种程度上这种走红与公众的关注度也是互相作用的吧就你讨论的越多他就越红然后越受讨论这样一个滚动的过程没错当然公众层面的话题度也并不是凭空就来的所以说我们想解决的核心问题就是胖东来到底是怎么一步步破圈的我做完这个稿子有一个基本判断就是我感觉并不是谁发现了胖东来而是所有人大家一起制造了胖东来走红也就是这个被制造的过程的确是非常有必要把它理清楚的
[00:10:55] 好那开始吧胖学专家胖东来的这个走红历程我感觉是可以拆分为两个阶段然后当中有三个关键的节点两个阶段三个关键节点大家记住后面都会一一提到首先是2014年到2022年这个大概可以算作一个前转就等于是有一个长期的发酵的过程但这个时候它的影响力还只是限制在一个特定的圈子的内部
[00:11:18] 然后2022年至今呢就是我们前面提到那个快速破圈的过程这两个阶段它都有各自的一个关键的角色我们先看第一个阶段啊就是14到22年这是跟一个企业经营学习组织有关这个组织叫做圣和署不晓得听友里面有没有了解的
[00:11:35] 圣和两个字取自道圣和夫我这里非常想吐槽哪有起人家中间两个字的不知道比较吉祥吧这两个字我猜测对比较顺口可能那这个圣和署呢它原本是日本京都的企业家他们自发起来想要学习道圣和夫的这样一个小组织1983年就成立了后来就开始扩展壮大到中国也有了分支机构
[00:12:00] 那中国圣和署呢它主要的学习内容跟日本也差不多但是它因为毕竟在中国嘛它不能只学道圣和服对吧所以它也会定期组织经验交流国内外的企业本土的企业它都要去游学
[00:12:12] 其实游学已经变成了胖东来在零售和服务行业里面影响力扩散的很重要的一环盗胜和服务他的经营理念叫做企业家的使命就是提高自己的心性为实现员工的幸福提升公司业绩而胖东来的创始人于东来的经营理念正好跟这个也很相似他会说什么爱员工爱顾客结果反而成就了自己这样的话所以胖东来也就成为了一个胜和树游学的一个对象对对对
[00:12:42] 我们这次采访了一个很早就参与过圣河鼠游学这个业务的一个业内人士他2014年就带那个马克华菲的高管团去学习胖冬来了也就是说马克华菲是那个做衣服的品牌对
[00:12:56] 也就是说早在十年前那个胖东来他服务好员工工资高这件事情在民营企业家的圈子里面就已经是有一些传说当时的很多老板就就是想不通这件事情是怎么做到的就很想去看一看那这么下来呢圣和署的这一批署生他就构成了早年去胖东来游学的种子用户这群种子用户的能量是很强的强到
[00:13:20] 胖农来的游学直接可以做成一门生意那这个生意的一个头部公司是郑州的一家公司叫做泰和文旅这个泰和文旅的老板他就是河南圣河署的发起人之一这家泰和文旅他其实从2016年就开始组织胖农来游学公开资料显示他们在8年间已经组织了6700家企业超过5万人次到胖农来去游学
[00:13:46] 这当中显然有相当一部分其实就是在去年和今年发生的据说这个公司本来经过三年疫情都快撑不下去了就2023年这么一弄完全就活过来了光是10月份就切了90个团对很夸张很夸张其实你去到胖冻来的现场一看就知道这个游学有多么的火热在那个商场里超市里甚至厕所外面仓库外面
[00:14:10] 四处都有散落一些人数不等的游学团这些游学团的整个团队他要么穿着统一的团服要么挂着统一的胸牌
[00:14:20] 然后前面讲课的那个人一般还会举着一个旗子带着一个麦你就跟你在景点看到的那种讲解一模一样你要说这种场景对真的是纯粹来消费的人的购物体验没有影响那也是不可能的因为你这个购物体验已经很诡异了在景点里边购物是吧这种感觉对我记得在这个胖东来的垃圾房门口因为他垃圾房垃圾房吗对因为他以干净著称所以说这也是一个
[00:14:47] 气氛的景点对一个游学的一个课件等于是遇到一个游学团那我就冲上去问结果对方正好是泡泡马特的一个员工后来我在商场的扶梯上又遇见一堆我一看前面他们全体挂着练家的胸盘我还以为他们在穿
[00:15:03] 带着绿颜色的领带真的就你能感觉到这种商业的氛围很浓厚然后在商场外面的广场上拉着这种横幅要来拍集体照的这个游学团也很多很多到处都在拍照就很壮观
[00:15:17] 然后就是在超市里面你在工作时间也能看到很多商务着装的中年男子他们结伴购物然后推的那个购物车里面堆满了各种网红大单品这是所谓的来都来了是是是而且我感觉这个对于我们这个商业记者来说这个所谓的胖都来这个超市就像一个这个鱼塘里面全都是
[00:15:38] 如鱼翘嘴一样就是一捞就是一对采访对象商业记者还是什么钓鱼爱好者对不起对不起讲了这么多这个非常火热的超市现场的游学团的这个氛围那胖东来这个超市房他官方对于这个游学是什么态度应该是没有任何证据表明官方有参与吧至少是我们采访的情况来看就是所有的这些讲课里面没有
[00:16:04] 胖东来在职的员工讲课的都是前员工但是呢我因为打过那个他们这个游学团的电话我谎称我想去报名参加然后对方为了向我展示他们的这个讲解很专业他们的课件很专业就跟我说他说我们的课件是胖东来的高管也帮我们过过的就是会以这个作为一个卖点
[00:16:26] 那反正现场既然到处都是
[00:16:55] 对 很快就有一个新角色登场了决定性的第二阶段开始了在2022年3月一个叫做联商东莱商业研究院的这样一个机构成立了这是由联商网的董事长庞小伟任院长胖东莱的创始人于东莱任首席导师这样一个研究院他随后就启动了第一届种子班
[00:17:15] 班里面就有好多超市比如说江西的加百乐超市安徽的绿兰子超市成都的邻里生活等等是12家区域性的商超这些人的老板去参加这个总值班他的学费是50万元所以你说的这个第二个阶段的关键角色就是联商网它到底是一个什么样的机构
[00:17:34] 联商网我估计国内是不是做零售尤其是超市百货这种业态的人多少就会有点了解它是一个2000年就成立的公司它以行业媒体为基础但是它本质上还是做资源对接或者说前科的生意庞小伟是联商网的创始人所以说准确来说是庞小伟本人是这个关键角色没错
[00:17:56] 这个人在零售界的资源还是相当深厚的他曾经是那个德国折扣超市奥勒奇商业模式的信徒他也给自己取名叫做阿迪他还引进翻译了就是目前国内专门写奥勒奇模式的有一本书叫做大道至简是中信出版社出的前一阵还在我们桌上放的对我桌上就有但是后来很快他又变成了于东来的信徒
[00:18:18] 我看到这样一篇媒体报道忘了具体的这个媒体的名字啊但是他对庞小伟做了一个专访这个庞小伟呢他是在2021年认识于东来的那很近对没多久但是他就爱上了答应后的爱上了答应后答应后他自己这么说的啊第一次见面敬畏天人我从来没有遇到过这样的企业家看到他就觉得饱了因为有价值的东西非常多我不知道是媒体的描述还是庞小伟自己的表述他说
[00:18:48] 他认为自己的收音机频道终于调对频率接受到了于东来对外界发出的信号然后有一句直接英语啊东来哥是普遇我所做的呢就是扶去尘土让更多人看到这块玉有多么晶莹剔透
[00:19:03] 这么说不知道合不合适但我突然有一种尊者的既视感差不多的我当时看到也觉得是那种感觉要不然我们还是刨掉这种非常厉害的话感性的东西我们还是看看他们具体怎么做的吧这个联商网它的确倾注了很多媒体资源给胖东来
[00:19:21] 在前面提到那个联商东来研究院成立的同时东来商业就成为一个固定的一级入口出现在了联商网首页的banner上后面呢一级入口下面又设了东来讲堂东来动态东来实务和东来解读四个子栏目等于是全面追踪报道胖东来的相关的资讯到了2024年3月商学院其实已经举办了两三届种子班和其他的这个学员班
[00:19:48] 联商网就根据于东来在这些学院班上的分享的内容出了一本书叫做《美好之路》这本书现在在庞东来的超市里面也有卖
[00:19:57] 然后差不多在这个时候呢,另一个重要的节点又出现了,这就是2023年1月份,胖东来的天使城广场开业了,天使城就是我们前面提到现在胖东来的这个网红店。
[00:20:09] 这个天使城它是一个商业中心的模式总投资达到3.5亿建筑面积有7万房体量跟2009年开业的胖东来时代广场差不多但是它的硬件设施和入住的品牌的层级就高很多算得上是许昌目前最高端的一个购物中心类似于许昌的恒隆或者许昌的SKP非常高端就是你走进去能感觉到吧
[00:20:35] 然后他这个商场呢就比如说他的卫生间用的是戴森的烘干一体水龙头然后他还专门设置了很多母婴室啊亲子卫生间啊这些就是在内地市场来讲比较少见的这些比较好的商场的设计都成了每个游学团的必修课
[00:20:53] 对你说是让胖东来走红的时候直接拥有了一个实体的打卡点对的于东来自己是好像是说过自己从不做广告的但我们了解得到信息是天使城开业初期于东来的儿子是目前负责胖东来影城业务的于伯文他就为新店开业做了很多的设媒的投放花费是不菲的天使城开业是刚刚讲到是在2023年年初这个投放包括营销需要一段时间的发酵
[00:21:20] 到了2023年的下半年这个效果就开始显现出来了其实在抖音平台上面除了于东来本人的账号叫胖东来于东来之外还有一个账号叫做东来说他其实是从2023年5月份开始发布一些相关的短视频其中点赞量最多一条是于东来会说自己把一半的利润分给员工这条是获得了14.2万的点赞和1.6万的转发
[00:21:46] 东来说这个账号呢目前有31.1万粉丝他的企业认证为杭州联商东来文化发展有限公司那这个公司的法定代本人呢就是庞小伟那在这些账号上面呢于东来本人就有一系列不同于传统资本家的形象的那种大胆的发言就是爱员工有良心那这些话题点呢在当下的社交网络上面就非常的有杀伤力了
[00:22:09] 那另一边这个商学院的种子班它的帮扶计划就同步的展开了在22年到23年间种子班的12家超市胖东来都去调改了当时联商网对这一轮调改有一系列的报道但是比较主要的关键词主要是说无偿胖东来无偿甚至是自费的调改其实在那个阶段我的理解是这种帮扶它可能更像是他们这个商学院种子班设计的一种课程形式
[00:22:36] 就是你每次调一个超市调改一个超市然后另外11个都会去现场大家一起学习讨论当做一种实践课所以说是在永辉之前碰到来就已经在帮别的零售商做调改了对 是的但是真正的帮扶调改变成热搜事件其实还是在2024年2024年先是有一个长沙的步步高超市
[00:22:57] 再呢就是五月份永辉宣布要接受胖冬来的调改这两个超市的规模和知名度那真的都是远超胖冬来而且到永辉这里的时候基本上就炸掉了上市公司对到这里呢我其实还关注到一个很有意思的细节就是永辉超市当时是发了一个调改声明嘛然后就讲说这个调改的副总指挥是由一个叫青海一家青的超市的董事长叫贾建权担任的这个贾建权呢也是联商东来研究院总班的12名成员
[00:23:26] 然后这个青海一加星的超市也接受过庞东来的帮扶调改所以意思就是说贾健全他从被帮扶的对象然后变成了
[00:23:35] 帮扶永辉的或者调改永辉的副总指挥这当中只用时不到两年
[00:24:04] 去年计划挣2000万没有想到年底挣了1.4亿联商网立刻就将其解读为13家门店的单店盈利能力已经超过了业界所有的商超上市公司然后胖东来的净利润碾压了不少头部的同行这篇稿子被其他媒体转之后就直接上了热搜我相信很多的听友对这个事件也是有所耳闻的胖东来走红之路葛老师已经基本上帮我们捋完了简单小结一下
[00:24:30] 胖农来的破圈有两个阶段第一个阶段是从2014年开始它主要是在民营企业家的圈子里面成为一个游学的目的地这里面的关键角色是圣和署第二个阶段是从2022年开始胖农来开始在全社会层面引发一些关注这当中的核心推手是联商网
[00:24:48] 经过这两个阶段胖东来就被制造成为当下中国最具话题度的公司之一在这边稍微打断一下前面葛老师说除了两个阶段以外还有三个胖东来走红的关键节点但前面只提到了两个第一个是天使城新店的开业第二个是前面讲到中国连锁经营协会发布的超市top100的榜单那么还有一个节点是什么
[00:25:10] 那就是叶国富了那个2024年9月底对这个永辉的收购完成之后他对媒体表现出来的对胖东来模式的那种认可我感觉是最后一次为胖东来的热度添专家吧就涉及到我们第二部分内容就是胖东来到底是一家怎样的公司他到底值不值得学呢
[00:25:30] 终于进入第二个部分了没想到第一部分讲这个走红的过程就长这么久啊今天这期时长是加量了啊那么葛老师来聊聊第二部分吧胖东来值得学吗讨论这个问题我觉得可以先反过来看看胖东来目前开的这些课他都是怎么教的
[00:25:46] 公开报道很多总结起来我感觉大致是可以分成三个层面首先呢第一个就是他调整卖场动线提升卖场品相然后要做大生鲜区域第二个呢就是调整产品结构要增加自由品牌尤其是胖东来的这个DL大写的啊叫东来牌
[00:26:06] 同时呢他在要求这些超市要取消后台费用所谓后台费用就是传统超市都有的一个进场费包括什么扫码费货架费之类的最后一点就是他要求这些超市要提升员工的福利提高服务的质量这三条听上去都还好啊不过有一个比较肺炎的问题就是说
[00:26:25] 不管是青海一家新超市这个超市只有六个门店还是湖南本地这个中等规模连锁的步步高超市还是永辉在郑州北京成都这些地方的门店胖东来给出的调改方案都是同一套这个三板斧这个三板斧对于超市经营的确都很重要但是如果你不考虑地域规模和既有的品牌基础你全部都用同一个方式来做调改
[00:26:51] 这个是不是能行呢我还是蛮怀疑的那我们就具体来看一下那其实为什么会先讲他这个调改的这三个层面也是因为这三个策略本身就是庞东来自己的一个经营的核心的怎么说经验或者说是他认为自己的核心的竞争力吧那仔细看的话呢其实前两点在本质上就是做大生鲜然后大的单品还有做自由品牌这个其实是最近几年来中国商超零售行业
[00:27:17] 比较主流的一个经营策略算得上是显学那我们之前在讲山姆的时候其实都讲到过这些点包括我们这两年看到很多商超或者所谓的一些新零售他们在做自己的一个改进的时候都是往这个方向去的
[00:27:30] 第三点对于企业经营者来说也并非是一个会不会的问题而是一个愿不愿意的问题就是你愿意投入多少的成本以及能够坚持多长时间的这样一个问题我也是这个感受我当时采完然后又看完一些资料之后我的结论就是说在胖东来的这一套方法论里面至少目前我们能看到了这部分这一套方法论里面不存在非常独家的know-how也就是说这些如果你叫他好的这部分的东西它本来就是行业共识
[00:27:59] 尤其是第三点就是你要给员工加工资你要提升你的商场的服务质量就是你要提升人力成本对吧提升人力成本的目的本质上还是为了保证那个员工有更好的工作状态提升你的服务质量吧但是这就好像你跟一个人说你要少吃多动才能减肥哦对吧有点类似吧但是我根本做不到是啊真的所以回过头来说胖多来的这些经验之所以可以被形成一些
[00:28:27] 课程来教它核心逻辑还是因为就是我胖东来做的很好我业绩好因为好所以我要学你这一套是因为有这个结果所以我来看它到底是哪些原因造成的对那么接下来的问题就是那胖东来的业绩到底好不好呢这其实也应该是公众
[00:28:44] 一直比较模糊的一个问题因为胖东来它不是上市公司所以你也没有非常公开的可信的财务数据有的就是一些公开的报道你比如说超市的总经理关娜她对媒体表示过2023年胖东来公司整体的销售额是107亿然后超市部分的业务是营收是46亿单店的营收就秒杀所有国内同行上市公司这个的
[00:29:12] 论断的根据就是我们前面提到连锁经营协会那个top100的榜
[00:29:17] 但是大家要注意那个榜单里面除了上市公司你是有公开可查的经营数据之外其他非上市公司的数据都是你每家公司自己提供的所以其实从刚刚讲的那些公开数据的话其实它的出口还主要是胖东来这边来提供的我们单从媒体的角度上面来说的话你就很难完全的采信这个问题怎么讨论呢我们这次去采访就另外拿到了一些数据
[00:29:43] 这个东西是一个胖东来核心部门高管的2023年的数值报告抱歉我在这里也只能比较模糊的描述这个东西这个报告是一个巨大的PPT有200多页它就详细的呈现了2023年胖东来超市的经营状况当然这个PPT的真实性其实也很难交叉验证
[00:30:04] 我们这里就介绍一些大致的数据仅供大家参考也不做真的也算是另外一个角度给大家提供一个角度是那这份报告就显示胖东来许昌的十家超市因为他还有另外两家店在新乡加上他的线上商城在2023年这十家店的销售总额是23.72亿元这里面含租赁为什么含租赁因为
[00:30:31] 超市里面也并非所有的柜台都是对都是他自营的你比如说有一些美妆的可能就是品牌自己去做的这部分23.72亿元的销售额里面自营的毛利率是18.6%净利率呢是2.7%在进入烟柜的销售收入之后他的总营收差不多是28亿元为什么要特别提到烟柜呢因为胖东来的这个起家的业务是做香烟
[00:30:58] 卖烟和卖酒其实一直是胖东来非常非常核心和挣钱的业务
[00:31:04] 它的茅台和香烟以及茶叶你在现场去看都能看出算是它的支柱产品然后进入烟柜的销售之后它总收入28亿所有的这些数据我们前面提到这些数据它在2023年的同比增幅都超过了50%确实是业绩非常好这其中有9家超市的销售额都超过了1亿销售额最好的就确实是网红店了就天使城的超市2023年做到了4亿
[00:31:32] 我反正只guess到一个重点就是哪怕进入烟柜的这个销售收入以后就是28亿元就跟他们当时报给连锁经营协会那个46亿这个差距还是很大的做得很好但是跟他就是我们公开看到那个数据是有差距的对也很难说哪个是对哪个是错我觉得我们就是两种视角吧就是提供给大家看一看
[00:31:50] 然后我们假如以这个2.7%的净利率来看2023年它的超市部门就等于是挣了6400多万单店的盈利呢平均盈利就是600多万这个其实与我们在当地采访的时候了解到的情况是基本符合的一位接近胖东来的人士告诉我们
[00:32:09] 他的判断是过去几年胖东来整体的年营收差不多是稳定在50到60亿这个水平那他其中呢超市业务的占比一般是一半不到一点也就是30亿左右吧感觉反正就是口径非常的繁多每个人有每个人的说法对那这个报告里面还有什么值得一提的东西吗胖东来他在这个内部报告当中非常明确的将Costco和山姆列为自己的对标对象
[00:32:33] 那后两者就是网红单品是非常著名的嘛所以这个也是胖东来后面也有了这个网红单品大单品的这个策略但是大家要注意啊他的这些网红单品其实都是刚刚才上线的就是自由品牌里面那些比较红的产品对是举个例子啊这个精酿啤酒据说是卖得非常非常好北京的人士都要赶热闹要去喝一喝的他这个精酿啤酒是上线自2023年然后我这一次特别带回来给大家尝的这个
[00:33:02] 大单品网红大月饼2022年才上架这个月饼真的很大其实不能叫月饼就是一个甜品一个糕然后它的产业物流园和它的中央厨房都是2022年才投入运营的这是什么概念我当时做完这些资料研究我真的就是很想说
[00:33:22] 你们如果不买他们也不能成为网红大单品因为他们还都是新品不过说明这个于东来本人还是非常敏锐的就是在这个破天的流量涌来的时候他也同时或者是提前已经准备好了接住这个流量的货品
[00:33:36] 对好我们再来看这个胖东来一个非常著名的大生鲜战略这份报告确实也证明了这一点生鲜品类在胖东来超市的销售额里面占比超过一半的但是生鲜在胖东来的这个超市里面的毛利率也是最低的是处于一个净亏损的状态那胖东来在这个品类我感觉它是不计成本你比如说
[00:33:57] 蔬菜它应该是胖东来超市里面口碑最好的几个品类之一大家都觉得它进场检验的标准很高许昌人民甚至会把这个胖东来是不是在卖某一个蔬菜视为在当地在当前这个阶段它的这个农药检验是否合格的一个标准但是在这个品类胖东来并不挣钱这个报告显示2023年蔬菜部门的净利率是-17.6%也就是它在所有超市品类里面表现最差的
[00:34:24] 不过这也可以理解因为像这种肉蛋菜奶它属于民生的消费然后经常也是超市的一个引流的一个
[00:34:32] 它并不是为了要赚很多的这个毛利的它甚至就是故意亏钱的这一块而且就像你刚刚讲的它通过这些产品它在食品安全还有品质这块能够建立一个很好的口碑的话它其实是有点这个亏本来打广告的这样一个策略不过除了这些部分就是吃的其他的领域的话它是不是就是能赚回来一点我感觉是有这个趋势你比如说我们特别对比过它的熟食水产烘焙
[00:34:57] 客单价在当地就已经显得比较高了它的这个熟食的和虾卖65块钱一斤那但是和许昌另外一家
[00:35:05] 也算是有点规模的连锁超市叫做9D超市这个里面的河虾其实只要35块钱一斤然后胖东来的酱牛肉呢也是卖60多块钱9D超市呢就不超过50我们再对比一下这个许昌政府公报显示的2023年当地人均可支配收入当地人均可支配收入是31685块钱我觉得确实胖东来我觉得从消费上面来说属于是一个当地高端的一个消费场所
[00:35:33] 我们在许昌也随机采访了一些本地人他们都同时提到胖东来确实是贵但是胖东来真的是可靠所以假如是一些非常基础的日常的生鲜的采买他们真的会选择胖东来因为就算贵也贵不了太多这个我感觉应该是胖东来在许昌当地它形成的这个品牌价值的一个基本盘算是许昌人的日常了
[00:35:54] 当然这里我觉得更需要强调的就是说这种消费者对你的信赖感胖东来他是用了差不多快20年的时间才得以建立的他毕竟是从1999年就已经有开始承诺他有7家连锁店不满意就退火
[00:36:10] 在这个角度来说呢余东来确实是走在了时代的前面如果说超市部分的口碑服务和业绩能够实现正循环的话胖东来就可以逐渐扩大他的优势因为现在除了超市以外呢胖东来还做电器服饰珠宝餐饮医药电影
[00:36:27] 眼镜茶叶图书等很多很多业态对刚才我们讲到过他集团的这个不管是哪个统计口径啊他集团的整个的营收实际上是他商超部分营收的两倍左右那多出来那个另一半的话其实就是刚才叶老师报的这另外的这一些我们说商业地产这个部分嗯就是租赁的部分嘛因为很多超市他本来会拿一个很大的一个物业那他会把一部分外围的空间租赁出去就形成一个类似于百货商场的这个感觉对那胖冻来的这个部分其实租的东西是很多很多的这个面积很大的
[00:36:56] 我们前面讲到就是品牌信赖感建立我觉得可能只有在许昌胖东来才有足够的利润空间来支撑比如说他向员工承诺这种高薪的福利还有向消费者承诺的无条件售后许昌这么一个内陆城市可能反倒比一线的大城市更适合一些来培育这种模式是因为他本身的比如说社会资讯没有那么丰富电商渗透也没有那么强那竞品的相对来说也比较少那胖东来
[00:37:24] 比如说他拿出一些颠覆行业的做法就很快就能抓住这个市场的机会他属于小而美的那种模式的确然后大家其实都会提到胖东来一直是没有走出河南的然后他只去过新乡连郑州也没有去他尝试过一次但是后来马上就收回来了那于东来本人他对此的说法是郑州的开店成本包括人力的成本实在是太高了其实就算是在许昌胖东来他也做不到每个店都好
[00:37:49] 在2019年之前他已经有很多年没有在许昌开新店了然后他当年的4月份就开了一家云顶店那业绩还可以所以他就紧接着又在许昌市区开了一个金三角店和北海店到了2022年又开了金惠店但是这三家店的业绩都不如预期因为他们都开在许昌市区里面相对新近开发的东部和北部那份内部报告里面就有一个比较明确的数据的统计
[00:38:18] 截至2023年的年底12月31号云顶店是属于2019年之后开业的新店里面投资回报率最高的超过了60%北海店呢差不多是12%然后金三角店的投资回报率不足5%另外一家金汇店就一直处于亏损状态不过这也是很正常的就是因为我们讲那个
[00:38:39] 连锁品牌或者说零售门店的时候都会讲到就是有养电器对小横龙的那期里面讲到过这个概念是这个概念那刚才呢其实葛老师给我们讲了很多经营的数据啊但我想插问一句啊就前面讲到胖东来有一个非常重要的这个调改的点就是要提升员工的薪酬嘛那在这个报告里边他到底给员工开多少工资啊确实很高相比较啊就是他2023年超市
