Vol.24 什么是滴滴真正的问题？
[00:04:16] 不太重要的比如说像代驾共享单车共享电瓶车之类的这个都是其他出行业务剩下的五分之四的话就是滴滴营收的一个主力贡献金就是我们在滴滴出行这个APP上经常用到的比如说拼车快车优享专车这些服务的话我们现在给他们一个统一的说法我们后面就不拆开来说就是网约车在整个行业里面的话滴滴的网约车服务的话是处在一个绝对的领先地位的
[00:04:44] 它在全国的市场占有率的话始终是在90%以上的那么滴滴是怎么来靠这个些网约车的业务赚钱的呢其实还是最基本的一个模式就是抽成我们其实经常已经能听到一些新闻了比如说什么滴滴一单要抽20% 30%这些其实是从我们消费者的角度或者说是从司机的角度能看到的但其实从滴滴这一个公司的角度这些抽成到最后也不是都变成他自己的利润对吧里面还有很多的开销
[00:05:10] 滴滴这次在自己的招购书里面非常清楚地拆分了2020年它平台上的交易额也就是用户付出去的钱最后是怎么分配的要注意一下这个数字的话是把整个平台运营的各种成本都分拆进去了来拆分的那我们就按照这个数据来给大家看一下就是我们在打滴滴付出一笔钱之后到底这些钱最后多少能够给滴滴赚过去我们按照一单100块钱的打车来算其中大概不到5毛钱是各种的税费
[00:05:38] 然后还有9块多是平台的补贴这样扣掉之后剩下来大约就是90块钱这90块钱当中司机大概会拿掉75到80块钱这是一个区间因为根据不同的订单的类型这个数字还是有不少的差别的我们接下来也会提到这一点扣掉这些之后剩下来大概是10块钱左右这其中还要扣掉7块钱左右是各种各样的运营成本比如说滴滴的人力然后它很多的设备包括它后台要维护系统等等的
[00:06:06] 最后剩下两三块钱是滴滴的净利润也就是说滴滴在2020年之前做的都是一个净利润在3%左右的一个生意听上去不是很乐观这个我们谈的是利润的层面然后从规模层面的话我们前面已经提到就是滴滴在整个网约车市场的话它是占90%以上的一个统治地位大家想想90%以上的统治地位再往上走这个市占率再提高的话有没有可能性其实也是很难的
[00:06:33] 而且滴滴的整体订单量的规模的话现在似乎也走到了一个平台期就是这个公司2018、19和20年的整体的订单量呢有增有减但是基本上是维持不变的虽然它在四五线城市的渗透率还很低理论上还是有很大的空间但是其实大家都知道就是说这个市场的国内潜力在过去的这个89年里面已经被挖掘的差不多了
[00:06:57] 想想也是对吧就是在一二线城市基本上那个网约车都已经普及了你真要到四五线城市去普及那些地方有的交通出行本来就是不靠出租车的对吧你也不可能无限的提高它那个渗透率我们还是回到刚才讲的那几个核心的信息第一个90%左右的市场占有率第二个它主要集中在中国市场第三个净利润在3%左右如果基于这些信息我们应该怎么来判断滴滴它做的这个主要的生意呢它是一个规模极大
[00:07:25] 利润不高而且上升空间不是很大的一个生意听上去就是不是不是那么fancy了好像也没有什么增长潜力了是吧我们再看一些数字这些数字也能体现出来滴滴这个网约车业务的天花板到底有多低2016年滴滴合并Uber的时候它当时的估值就已经超过了800亿美元很大的一个数字对吧到2017年软银花了80个亿来投资给滴滴当时的滴滴估值是超过1000亿美元
[00:07:53] 然后到18、19、20年的时候滴滴可能一直听到它要上市的消息然后那个时候的估值传为也就是800个亿你看还缩水了对吧那我们现在根据滴滴的股价再来看它的市值的话它的整个公司的价值也就是800亿美元左右了这都过去五年了这个公司的估值一直在原地踏步顺便说一下就是滴滴从创业到上市的这个整个过程里面它总共融了21轮的钱
[00:08:18] 大概有250亿的美元投到这个公司里面然后最后几轮的人基本上都是亏钱进去的主要就是软银是吧这个其实让我想到最早的时候就是说起滴滴还有他最大的竞争对手Uber
[00:08:31] 人们说的都是他们是一个非常新的一个颠覆性的创业模式是依靠一个新的技术颠覆一个传统的行业我们都说他在做什么科技驱动型的这种公司我们不能以传统的方式或者传统的估值的方法来看待这样的一些创业公司结果呢做到最后滴滴做的还是一个靠规模取胜商业模式也称不上多大创新和颠覆的一个公司
[00:08:53] 就是滴滴当然也没有说我一定要一直在做薄利或者说威力多销的这样一个事情他肯定是想让自己尽量再能多赚一点那么他想赚钱的思路呢大概分成三种一种的话是在现有的经营模式下他要提升一些利润率很高的业务他在整个业务里面的比重第二个的话他就是去做一些衍生的跟车相关的上下游服务
[00:09:18] 第三个的话就是他要想办法彻底改变网约车的业务结构顺便改变他的整个盈利结构不过这三件事呢其中大多数还是属于市场的层面有一些呢已经开始实行了所以我们仅仅就是从逻辑的上面来介绍一下首先是第一条就是在现有的情况下来提升利润率这个其实滴滴已经做到了一部分他2021年的第一季度的他财务数据就显示
[00:09:42] 滴滴在中国的这个出行业务当中他这个未计利息税项折旧贪销的这个利润这是ABIT对吧对他的这个利润率已经提升到了10%左右我们之前讲的是3%那现在他已经提到10%
[00:09:55] 当然这是一个季度的而且又在上市之前大家对这个数字获得稍微有一些保留对吧但这个部分的业务主要是靠什么来提升的呢主要靠的就是拼车业务的大幅增加这个我上个礼拜去北京的时候深有体会就是如果你一个人叫快车的话你在高峰期要排非常久的队你前面大概是100号200号人但是如果你叫一个拼车的话可能说五分钟就能叫到了虽然拼车的有时候会绕远路但是你总归坐上了这个车对吧它一定会把你送到目的地
[00:10:23] 司机端也会有这种感受我们的同事的话最近打车的时候都问过一些司机这个司机就告诉我们说拼车的单子现在变多了因为平台会很主动去给他们推这类单子为什么呢就是因为拼车的利润率会高这个大家可以去看很多其实有些报道已经在说了就是关于滴滴做拼车的成本的测算简而言之的话就是如果两个人你去拼车平台能拿到的毛利就是抽成大概是在25%以上
[00:10:51] 如果单独的一个人去叫一个快车或者什么悠想啊什么的大概是15%左右这是一个非常大的差别有时候就直接决定了这一摊到底是赚钱还是不赚钱当然了拼车这个事情肯定也是有天花板的因为拼车的比例不可能一直提高不可能所有人都是靠拼车出行的对吧在不同的城市根据需求的不一样的话拼车比例肯定会有一些差别当然滴滴肯定可以通过推广这个业务来改善自己的利润率但是这个改善的空间是很有限的
[00:11:19] 当然具体做怎么样这个其实也是要看接下来滴滴自己的一个发展还有市场的一个反馈的这方面现在其实没有更多的信息但是大家可以注意到这一点前面我们提的第一个点就是去做一些利润率更高的生意比如说拼车对吧然后我们现在讲第二点第二点是滴滴想到了一些中期可以拓展的新业务这个部分主要有两块第一块是除了网约车之外的一些出行服务
[00:11:44] 另外一个就是滴滴有一个重要子公司叫小局车服这个我们分开来讲首先先提我们就是说一些新的出行业务比如说像货运或者电动两轮车这类的业务这部分业务的话当然有很大的潜力尤其是同城货运现在市场上都出现像货啦啦这么大的公司但是问题也就是说滴滴在这个方面没有那么强的先发优势怎么去打一个已经上市的很厉害的公司呢对吧
[00:12:09] 当然我们从这个技术角度来说还是很可以理解的就是我都能够做那个人的网约车了我做这个货运的网约车从技术上面来说是比较容易转移的但其实跟那个你做人的网约车一样你要在那个每个地方去推你的这个服务对吧让那些司机在他的小的那个面包车上面贴上滴滴货运而不是货拉拉这个还是要靠很多的运营的成本再投入在里面的而且好像有一个问题就是人其实是一个有点标准化的东西因为一个人就占一个位置但是货的话其实是可以拼的那个东西的
[00:12:38] 规则性好像更高一些对当然了就是货运这个平台是一门有潜力的生意但它也有一定的天花板对吧你这个同车里面要运的货还是保持在一个水平的那跟这个网约车的这个市场规模还是差一个数量值然后就是我们前面提到滴滴那个很重要的子公司叫小局车服这个部分的想象空间也很大小局车服做一些什么事情呢比如说它可以帮你的汽车做保养加油充电然后还有一些金融的服务
[00:13:06] 比如说加油 加电
[00:13:32] 这些业务的话对于滴滴来说可能现阶段都是亏钱的但是能够增加滴滴这个产品的使用频率司机每天可以多打开几次对吧现在的话小局家电这个业务它已经成了全国最大的充电桩网络不是特斯拉好厉害小局加油这块业务的话每天的交易量也超过一个亿了这个就是滴滴很想要做的一部分新的业务
[00:13:56] 这个地方其实平时大家不太关注但是滴滴已经闷声的把这个规模扩得很大了未来它这个潜力还是比较可信的也是比较可期的
[00:14:05] 最后一个部分的话是一个非常长期的一个事情就是我们前面提到就是滴滴有没有可能彻底改变网约车这个事情的成本结构这个里面就是有两件事情第一件事情就是比如说可不可以通过生产专门的电动车来做第二个部分就是靠自动驾驶能不能有什么改变专门的电动车的话滴滴已经实践过了
[00:14:30] 不知道大家有没有在一些比如说部分的市场看到过它是一个绿色的有点像面包车一样的车虽然看上去很廉价但是还配了一个电动横拉门还挺有意思的它是电动的横拉门吗我都记得好像是手动的没有是电动的我们亲眼看到有个人就是从机场出来然后有一个门就打开了OK那这一个电动车的核心价值就是大幅的降低这个网约车的成本它这个车我们也了解过说实话这个成本是很低的
[00:14:56] 但是它能够满足网约车的一些特定的需求你自己开车是不会去买的但是你乘这个车的话体验还可以所以不管是买车的成本还是运营的成本对于滴滴这个运营方来说它都可以大幅的下降这个既能降低司机的日常的开销很多滴滴的司机他是每天要付这个车的租金的另一方面呢也让滴滴有了提高这个分成的一个空间当然这一部分的改变其实是有限的它更重要的是为后面一个事情来铺垫也就是自动驾驶
[00:15:21] 自动驾驶的话就是回到我们前面算那个账就是网约车里面100块钱的单子的话80块钱是给司机的钱如果把司机去掉了那么网约车的利润率可能就不是3%了就是变成30%甚至更高了有没有这种可能性对这个其实就是一个很核心的事情了我们现在市面上看到那么多的公司都在做自动驾驶对吧有那种微墨这种大的公司还有很多的创业公司中国的美国的都好其实大多数的公司它的核心的目标跟滴滴做自动驾驶是一样的
[00:15:50] 就是要做无人出租车也就是所谓的robotaxi滴滴在招股书里面也很强调自动驾驶这个事情的前景如果能够实现的话这个当然是一个非常诱人的可能是万亿美元级别的市场但是第一这个事情还非常远第二这个事情刚刚夏老师也说竞争者非常的多滴滴在技术上面并没有什么特别的优势
[00:16:11] 第三个就是说这个事情前期要花非常多的钱去研发比如像UberUber在上市的时候其实是把自动驾驶的这个研发部门给卖掉了因为太少钱了滴滴的话是想了个办法就是把它独立成一个公司然后可以再去接受外部的投资当然了做这个无人出租车自动驾驶这件事情滴滴也是有一个比较独特的优势的就是场景
[00:16:34] 就现在我们人们打车对吧就是通过滴滴来叫那如果你这个滴滴上面哪天增加了一个模块可以叫无人的出租车其实是非常自然的有的时候甚至不需要增加个模块你只管叫就可以了对于消费者端来说我就不用去专门注册一个新的应用去认识一个新的品牌我就可以体验到这样的一个服务那对滴滴来说它在后台的运营也完全有能力去融合有司机的出租车和无人的出租车这样一个混合的车队这个事情呢其实滴滴也已经给一些人来尝试过了
[00:17:01] 像我就在去年的时候在上海的嘉定试乘过滴滴的一个测试的无人出租车当然它那个是一个非常初级的阶段就是车首先是一个改装的后面改装的车你在头底上还能看到那个Valentine那个很大的花盆的激光雷达其次它那个路线都是给你规定好的出发点和终点都是规定好的而且这个驾驶座上也不是真的无人还有一个安全员甚至副驾驶上面还有一个讲解员其实这个人工比一般的车还要多一点对吧
[00:17:28] 不过你可以看到那个优势就是我在乘这辆车的时候这个下单我是在自己滴滴的APP上就可以实现的这不是一个测试版的事情是吧就是你真的打开你的滴滴就可以做的事情对那还是蛮有前进力的感觉当然了还是那句话就是说自动驾驶是一个任重道远的事情最终能不能做成是不是由滴滴来主导这个市场都说不定而且是非常说不定目前的话滴滴是一家上市公司如果他想要一个好的财务表现比如说把自己的市值做高一点的话
[00:17:57] 首先还是要提升它现有的那些主流的业务所以话还是回到了我们前面讲的那个不太fancy那个部分对吧讲到这里的话我们就可以开始去聊滴滴和监管之间的关系了
[00:18:10] 其实我们还是来跳出来先看一下网约车这个行业本身我们就可以理解说为什么滴滴现在会面临这么多监管的风险回复一下历史Uber是2009年创立的滴滴是2012年开始推出服务的以他们为代表这些打车的应用他们从最开始到现在打的旗号都是一致的就是所谓的共享出行
[00:18:31] 滴滴以及其他的打车软件它们的核心功能其实就是基于地图定位和移动互联网来自动的匹配打车的订单这个目的就是可以提升整个叫车的效率减少浪费就讲一个段子就好像滴滴最开始的时候它是类似于顾客要发一段语音告诉司机我要去哪里然后司机手工来抢单的对这个跟以前的比如说平台调度是没有本质区别的
[00:18:59] 然后好像这个中间还发现了比如说有的人说我好像更礼貌一点司机会更愿意接我的单就会说很多客气的话然后这个话就变得越来越长然后这个司机就没有耐心听完然后又不愿意接你的单就是出过很多很奇怪的事情但是后来就是还是把这个东西变成了一个自动化匹配的东西你只要发一个需求上去然后平台自动帮你去对接这个可能的服务
[00:19:21] 这个主要其实是Uber当时来带动的一个潮流在2013、14年的时候就是整个手机打车这件事情开始盛行的时候人们都在讨论说这个是一个所谓共享经济的模式我可以用技术来匹配存量的私家车资源和人的出行需求然后这个城市的交通状况可能因此就发生改变了如果落到商业上的话通过这个技术能够颠覆打车这件事情的体验来说的话就能帮助这个公司来获得市场
[00:19:48] 但这个美好的图景主要是基于一个基本的条件就是打车出行的供给侧这个方面是能够自由的来供给的也就是说如果所有路上的开的这些私家车不管是不是运营车辆都可以接单的话那有可能可以实现它设想当中那种非常自由的然后能够减少浪费的提高效率的那种出行的方式不知道大家还记不记得就是手机打车刚开始兴起的时候就有很多的私家车跑到路上去开滴滴或者开
[00:20:16] Uber异道之类异道好像是一个非常古老的一个名字对那个时候的话这些APP做的事情的话确实是有这个共享的味道的但是很快中国的大多数城市其实不单单是中国了就是全球的大多数城市的管理者都开始严格的限制滴滴或者Uber这些平台上面的车和人的这个资质就是不允许你随便一个私家车都来开你必须要像出租车一样要有资质这其实是一个非常重要的事情有这样一个监管的原因
[00:20:45] 第一个当然是原来的出租车公司出租车行业他们跳出来反对这些出租车在中国有很多都是当地的国企有的即便是一些民营的公司也是受当地的交通部门直接领导的第二个原因就是安全大家现在其实都已经意识到了因为滴滴发生过这样一些安全的事情如果你随便的让人在路上载人收费其实是一个很有风险的事情
[00:21:08] 第三个就是稳定这个你都不用看国内的例子你就要看看当年Uber横冲直撞跑到了什么美国什么欧洲伦敦每个城市去拓展业务的时候当地的出租车司机组织起来的罢工对城市的影响有多大你就知道了反正各种原因造成的结果就是说根据现在各地的法规和规定的话滴滴平台上面的各类网约车本质上它其实跟出租车是一模一样的它要求是所谓的双合规
[00:21:35] 所谓双合规的话就是车辆和司机的话都要拥有做营运业务的资质不能是一个普通的私家车我出来借单那就还是黑车对吧你还是要挂靠一个车队或者挂靠一个租车公司甚至你要是一个自营的业务然后司机的话必须是一个全职的工作者然后他每天早上一睁眼的话你就要背着一个租车的一个租金还有公司的订单任务跟出租车司机其实没有任何的区别
[00:22:01] 当然目前来说在实际上这个所谓的双合规肯定不是100%实现的而且比如说在滴滴还有一些它的主要竞争对手比如说美团打车上面很多的订单还是都没有做到双合规的至少是司机和车当中有一个部分有可能并不是所说的有完整的一个资质但是我们也可以看到在很多的城市里面执法部门已经开始抓这个事情了对吧在路上去检查那些网约车来看他们的司机和人是不是合规的这当然是一个非常动态监管的一个过程
[00:22:29] 但整体的趋势还是朝着合规的方向去的而合规的本质就是滴滴的司机要员工化而且车辆和司机的供给被你控制住了这个就意味着什么就是说就像我们前面说的滴滴所运营的本质上还是一个出租车车队只不过这个车队要比传统的城市里面车队要大非常多倍而且它的车的形态可能复杂一点但是本质上没有什么差别但这个时候的话其实跟所谓的共享出行已经没有什么特别大关系了
[00:22:57] 那么这个时候的话我们原本说的能够颠覆整个行业的比如说基于移动互联网的这种线上的订单匹配技术是不是就没有价值了呢当然不是了只不过它的价值不是通过颠覆打车的体验来赢得市场来获得的这个话怎么来说呢就是说对于消费者来说我能够线上来实时的预约叫车这个体验肯定是比原来的洋招要好了嘛但是这个事情没有办法帮滴滴来赢得整个市场为什么呢首先这不是滴滴一个独有的技术对吧
[00:23:25] 出租车公司也能有自己的轿车平台而且实际上确实有很多地方性的一些打车的应用其次呢这件事情也没有彻底的颠覆体验因为你打车的供给还是被限制住了所以说你整个供需的关系还是没有什么特别大的变化所以我们会看到一个什么现象呢首先就是说你换成了DD以后你的打车价格没有特别明显的一个变化会变得更便宜第二个就是不同地区和不同时间段的供需不平衡的话还是存在的
[00:23:51] 比如说早晚高峰或者有些地区的深夜的集中需求的话依然是遇在那里的该打不到车的时候你还是打不到对吧这个短时间的供需失衡的关系的话是解决不了的在一个城市里面你去选择坐公共交通还是坐私家车还是你去骑车甚至你去步行这个选择逻辑的话在过去十几年里面并没有因为滴滴出现就产生非常本质性的变化没错就简单总结来说的话就是两点第一点
[00:24:19] 就是滴滴的出现并没有改变整个这个城市的出租车这个行业的本质它还是一个受到很强的监管然后严格控制着供给的一个有很强公共服务属性的一个事情第二个的话就是它这个线上自动匹配订单这个技术也没有改变我们整个城市居民出行的一个根本的选择逻辑就是这两点那么是不是就是说移动互联网对于打车这个行业是一无是处的一个东西呢那当然肯定不是
[00:24:47] 它的一个很大的帮助就是让滴滴能够长成一个这么大规模体量的公司滴滴利用这个打车平台带来的其实是一个整个行业工作方式的变革而且它能够让自己突破一个过去城市化的一个限制它变成了一个能够跨越几百个城市一个全国性的出租车运营公司过去其实大多数的出租车公司都是在一个城市内运营的对吧因为它还需要很多的大量的地方的资源你要有很多车对吧还有很多人
[00:25:16] 所以你其实很难看到一个跨省市的出租车的一个公司根本没有听说过跨省市的出租车都是跨省市的大巴车没错说的直白点出租车是一个城内的公共交通的一部分对吧它是一个有区域性的一个公共服务
[00:25:31] 但是滴滴的话就是成功地让自己变成了一个全国范围内的出租车公司它甚至是跨越了国界比如说你在日本你也可以交滴滴的车对吧还有拉美这个拉美只是现在海外业务滴滴一个主要的部分因为依靠移动互联网的平台司机的注册管理接单不管他在哪个国家哪个区域他都可以在线上完成这个交易也可以在一个统一的后台里面完成总之的话就是技术帮助滴滴打破了这个公共服务的区域性
[00:25:59] 那么技术给滴滴提供这样一个可能性它是怎么把它变成现实的呢其实也没有什么特别的地方对吧它主要就是靠投资方获得的这个资金的优势然后在每个城市发放补贴来抢占市场份额然后呢暂时靠投资方获得的这个资金优势来并购竞争对手对吧
[00:26:16] 如果大家还记得的话就是2016年的话滴滴收购了Uber中国的业务其实在那个时候它在中国的整个网约车平台里面的市场占有率就是在90%以上了相当于之后这个市场没有什么大的变化了然后更早之前的话滴滴为了扩大自己的市场占有率的话它是靠收购竞争对手快递打车来实现的那时候滴滴滴还不是三点水的滴还是一个口字旁的滴这样听上去好像这个滴滴的声音被我们说的更加不fancy了
[00:26:44] 当然也不是这么说啊就是我们不是说滴滴现在能够实现的这样一个成就它没有什么了不起的地方当然还是很厉害的因为你能够现在实现这么大一个规模而且还能够持续的运营它对吧保证稳定每天做个几千万单的这个生意其实还是很难的嘛这个方面滴滴作为公司来说还是有很多值得学习的地方
[00:27:05] 但是我们前面提到的这个公共属性的判断的话其实还是很重要的一个事情因为我们前面提到就是出租车在绝大多数城市的话都被视作是公共交通的一部分所以它天生就跟整个城市的治理很有关系它跟政府和监管的关系非常近所以说滴滴这家公司目前遇到的所有监管层面的麻烦都是跟这种公共服务的属性密切相关的没错我们简单看一看
[00:27:29] 之前滴滴最大的问题其实是什么呢是安全因为出现了顺风车乘客遇害被杀这个事情之后使得滴滴意识到自己必须要担当起一个类似出租车公司的职责我要审核我自己平台上这个司机对吧而且要为这个乘客可能产生的安全风险来担责即便这些司机的社保有可能是由那些租车公司或者是自己来承担的但是滴滴其实要承担一个管理者的责任就是有一个兜底责任对吧没错
[00:27:57] 我们前面也讲的就是说对于第一这些平台上面司机和车辆的合规审查的话会是一个长期来看越来越严格的过程那么现在落地的这个网络安全审查也是类似的因为它跟人们的日常生活太相关了然后又可能说涉及到地图这类你可能平时没有感觉但是后来发现其实是非常敏感的信息再加上它是去海外上市的这个合规的风险的话其实是说大也是很大的
[00:28:22] 这个就是我们前面提到就是
[00:28:49] 中国人出行的习惯比如说你到底是坐地铁还是坐车还是你骑车还是你走路去上班不是说有了地以后就产生了非常明显的变化所以从这个角度来说确实不是特别是一个垄断的一个案例但是因为事情总是在起变化的就是说去年年底的时候中国出租汽车产业联盟的话就发了一个函给国家市场监管总局和交通运输部
[00:29:13] 他们是有一个呼吁是要继续对于滴滴和优步的这个河滨案做反垄断审查而且要查处平台上面存在的其他垄断行为这个就是事情变化那个部分了当然这个靴子到现在还没有落地我们也会继续关注当然这个又涉及到非常复杂的垄断的界定的这些具体的问题而且有很多历史的因素
[00:29:35] 其实这个部分我们来讨论滴滴的监管风险我们想最后说明的就是我们并不是说被监管了就是你这个大公司不好或者很坏也不是说你被监管了就是你自己吃亏了
[00:29:45] 这是一个客观存在的一个风险一个事实是和它这个生意本质是相关的清楚这一点就可以了至于说具体监管的具体操作是怎么样的以及它的合理性是怎么样的这个其实是需要很多具体的信息我们才能做判断的这边我们是不做任何的讨论我们前面讲了太多的东西了我们所以最后要再总结一下首先目前滴滴的现状它是一个你可以把它视作是一个全国性的出租车营运商它做的是一个规模很大很大但是利润率很薄很薄的生意
[00:30:14] 其次的话是DD这门生意有很多的风险它是天生和公共服务绑定的所以它天生有大量的监管和合规上面的风险最后就是说DD也在开拓很多未来的业务来试图改变它现在的商业模式和盈利状况但是这些根本性的改变还很远它现在目前最要做的事情就是要处理好上述那些合规的问题
[00:30:37] 其实滴滴现在面临的这个问题如果从大的角度来说的话和国内很多的所谓互联网巨头面对的问题其实是一样的因为你提供的是一个覆盖全面的公共服务所以能够长成现在这样大的规模但也因为是公共服务滴滴也必须承担更多赚钱以外的工作而不是把自己当做一个单纯的盈利机构过去的话这样的商业世界的争议的话离我们还是比较遥远的但是现在在中国的话商业可能就是这样
[00:31:09] 感谢收听这一期的
