Vol.256 职业电竞，“职业”在哪儿？
[00:03:01] 这个就让我想到就是明珍塔克的早期朱棣老师高光的一集就是一个街机游戏比赛如何把对手在不知不觉中杀死的一个故事对 我想到的是那个怪奇物语里面的Max然后他最早出场的时候就是以电竞里面就是超越其他这个主角的一个高排分的然后出现他的名字Max来登场的那这个是第一个阶段到了第二个阶段是我们比较熟悉的就到了1990年代
[00:03:26] 主要是PC和互联网开始普及了那么电竞才慢慢就是有了一些我们现在比较熟悉的经典的游戏出来你像星际争霸雷神之锤反恐精英CS这些都是比较经典的他们可以让玩家在电脑上面远程的对战然后这些比赛也有更加稳定的竞技的规则在欧美包括像韩国就开始出现不少专门的电竞赛事的这些组织的机构了
[00:03:48] 在这个阶段我们前面提到韩国是一个主导者尤其是星际争霸它在韩国爆发了之后就让电竞第一次出现了非常接近职业体育的状态电竞的比赛可以直接上电视台转播或者登上大众的这些传媒然后它有了非常庞大的观众粉丝群有了稳定的赞助商然后这些选手电竞的选手成为了全职的工作拿到很高的收入可以说在这个阶段
[00:04:15] 电竞证明了这个电子游戏它不只是一个娱乐而是一个真正的职业的TV赛事但是范围还是在韩国而不是在中国就它那个时候韩国还是一直独秀不管是成绩还是市场的这个发展的成熟度当时中国其实只是跟进吧就是还是比较积极但没有到那么顶尖的一个水平接下来我们就进入第三个阶段就是以中国市场为代表的一个更成熟的厂商时代
[00:04:41] 那这个当中最最重要的一款游戏呢好一问就是英雄联盟超级经典的大型多人在线对战游戏对对是我们所说的魔法这个类型的游戏刚才我们不是说它这个叫做厂商时代吗为什么这么说呢就是这要提到英雄联盟的这个开发商叫做拳头游戏这家公司呢和之前大多数的游戏公司不同啊它就是把电竞作为自己的核心业务来对待的对就是之前大多数游戏公司只做游戏但是它也做电竞是这个意思吗
[00:05:10] 甚至他都不做电竞之前那些公司可以这么说就过去像我们前面讲的第二个阶段那些游戏的开发商他们对于电竞的赛事本身是不那么感冒的很简单就是这些公司的商业模式那个时候还是买断制的软件公司的模式花一点钱直接把这个游戏买下来我就自己玩就可以了对那对于那些公司来说我这个游戏卖出去我的生意就结束了这是一个单机活动是你之后你这些玩家组织些电竞游戏我能够算到什么钱呢
[00:05:35] 而且就算你去搞了电竞比赛其实也不会为我提升多少烧量因为这些玩电竞的人已经买了我游戏了甚至还有些就是花了很少一点点钱甚至没有花钱的人但是比如说看电竞的人多理论上是可以吸引到一些原来不玩这个游戏的人你说的非常对但是之前的这些游戏公司它其实没有盖到这个逻辑这个逻辑是现在的核心逻辑之一为什么它之前没有盖到呢是因为之前那么做它不划算因为绝大多数的游戏其实是有寿命的
[00:06:03] 就它的这个核心的这个黄金的销售期有可能就是头一两年然后整个的这个周期可能就五年过了五年之后没人再去买这个新的游戏就要出续作这样子才能再吸引人对那你搞一个比赛对吧这个比赛培育一个一两年然后稍微有些明星了刚开始起来了这游戏已经不流行了那你干嘛去搞这个电竞的比赛呢所以在那个之前其实大多数的这个电竞的赛事我们说第二阶段的赛事都是第三方的这些机构来主办的就是不是这个厂商来玩的
[00:06:31] 但是英雄联盟和拳头游戏就证明了就是电竞的这个赛事还有它这个游戏持续的可以更新根据这个赛事持续的更新那这游戏的寿命就可以变得很长有了一个很长的寿命之后呢电竞这件事情就像你刚刚说的它其实对这个游戏本身就有很强的一个拉动和传播的这个作用了那2009年拳头游戏是首发了英雄联盟这个游戏到了2011年它就主导在瑞典办了第一届的全球总赛事就是俗称的S1那到了今年已经是
[00:06:58] 即将要迎来S16了也就是说这个游戏已经长青了16年是而且规模和热度我们了解是不断的提升的就S1的时候还是非常的简陋的就甚至观众就是坐在那种折叠椅上面看那个就是非常简陋然后台上的队伍也就8支总的奖金池就10万美元现在的话到了2025年就是总的奖金池就是S1的总决赛这个部分的总奖金池已经到了500万美元了总决赛的决赛日的关赛巅峰人数是能够超过5000万的
[00:07:27] 而且举办地也是登堂入室你像最经典的例子是2017年在中国办的总决赛是在鸟巢办的鸟巢我还是有点印象的包括后面一年中国队伍在S赛上是夺冠了当时也是上过主流媒体的新闻那个其实是在中国电竞非常破圈的一次了是我感觉是应该最破圈的一次大家都会把它当做个里程碑来看
[00:07:51] 回到我们刚刚讲的厂商时代关键词在这个阶段其实以英雄联盟为代表的职业电竞赛事在中国的核心的厂商主导方就是腾讯这样一个角色2011年也就是S赛创办的第一年腾讯它就收购了拳头游戏大部分的股份当然按照腾讯就是一贯的风格的话就是背头的公司还是保持比较独立的运营的
[00:08:14] 但是这个投资就能看得出腾讯对于电竞这件事情的重视因为在之后腾讯就开始在中国来搭建英雄联盟在中国这个区域里面的职业的体育赛事也就是国内玩家最熟悉的LPL经过十几年的发展其实LPL也肯定就是中国电竞最有代表性的一个赛事之一了
[00:08:32] 那这个时候我们来看一下英雄联盟构建的这个电竞的赛事的体系的话它有各个地区的职业联赛你像中国的LPL对不对然后还有全球性的锦标赛然后有职业俱乐部然后有职业选手有赞助商奖金还有播出的平台然后比赛的能卖版权还能卖门票周边等等的到这个时候就跟所谓的传统的职业的体育赛事已经没有任何区别了对但这个里边最大的一个跟传统的区别就是还是厂商这件事情就是你想想看足球和篮球
[00:09:02] 他没有厂商对他不属于任何人或者公司他属于所有人对吧所有人都可以我拿个球就可以过来搞这个比赛了但是电竞项目是有明确的版权归属的然后背后总归是有一个把这个游戏做出来的公司或者拥有这个游戏版权的公司那么如果你要办电竞的比赛的话肯定是要他来授权的
[00:09:20] 现在实际上就是他来主动来做这件事情的他这个角色其实就是让电竞和之前的赛事完全不一样的这样一个角色等于说电竞是一个先有游戏IP然后再围绕着游戏IP长出来的赛事然后再长出来战队和观众的这么一个逻辑对就这个顺序或者说先后的顺序其实还是对他的商业模式有很大的影响我觉得来解释这个问题的话我们可以用这样一个方式就是看一下电竞
[00:09:46] 职业体育赛事生态当中各个角色他是怎么赚钱的你就可以理解厂商主导为什么那么重要
[00:09:54] 我们可以按照主要有四个角色来聊这个话题吧就是选手 俱乐部 赛事的组织方和游戏厂商这四个部分那就先从选手开始说选手的话他们还是跟传统的体育运动员比较类似的他肯定是整个比赛的核心他们赚钱主要就是靠薪水 奖金 还有代言这些部分但电竞选手有个特点就是他们不止在赛场上出现他们还要长期的出现在直播间和社交平台上面对 就是既是运动员也是网红
[00:10:21] 必须的甚至可以这么说就一个电竞选手的商业价值不只是来自于比赛的成绩还要看他的这个直播间的人气还有这个效果互动啊等等的对于其他运动来说其实你退役了之后这件事情挺重要的但是对于电竞的选手来说就是他们在没有退的时候这也是他日常工作一部分已经很重要了因为大多数的电竞的这个赛事的受众他们是习惯在直播的平台上面来看他们比赛的
[00:10:47] 就是你及早培养一批观众他们未来就是可以长期的看你的比赛是的那接下来第二个部分呢就是战队就是俱乐部俱乐部就负责牵选手啊做训练等等这些跟传统的这些比赛都是差不多的啊但是这个当中有一个非常独特的决策的环节就是这些俱乐部要选择自己参加什么项目就是他们可以自己决定我去就是踢足球还是打篮球这种感觉吧就是因为自己如果就是比如说你选择了一个项目但是这个项目就是
[00:11:15] 这个游戏本身它受不受欢迎其实非常大的影响了你整个参加这个比赛的商业的收入或者长期的这个发展因为你一旦决定投入这个项目了对吧你就要
[00:11:25] 养队伍你要就是花钱来雇选手然后你要养运营的团队对吧日常的这个运营要什么的这实际上是一个很重的决策那如果你一开始就选择了一个不火的游戏就像你一开始投资了一个不是很火味的政权市场那样sorry你讲的还是运动就你肯定就会就是整个的上限就会很低嘛或者是一开始就决定了你失败那一般的其实国内比较成熟的大型的电竞俱乐部他们这个出资方啊都会有很多个游戏的战队就他不是单个游戏你把钱投在不同的
[00:11:54] 股票里面就比如说我们就是这次我们同事Molly他就采访了第二季这个俱乐部这应该还是国内比较著名的一个俱乐部那他总经理王卓就提到他们选这个项目核心就是不能只看一两年的短期热度就是要看这个项目有没有8到10年的长线的这个运营的价值就是这个是他时间的一个标准这个其实蛮考验这个俱乐部对于游戏的判断能力
[00:12:17] 话说回来啊一个俱乐部运营很多的项目其实倒是职业体育的常态就传统体育也是这样比如说像你比较熟悉的一些欧洲的这个俱乐部像巴塞罗那他不是只踢足球啊他还有篮球呢是吗而且他的就是篮球也有欧冠而且我这次查了一下他除了足球和篮球以外还有手球冰上曲棍球滚轴冰球和棒球俱乐部
[00:12:40] 倒是没有想到还有什么滚轴冰球又是什么东西第一次听说这个运动我也是的所以这个实际上是一个职业体育俱乐部的一个常态只不过在对那些运动来说他们有可能不一定是完全商业考虑有很多历史传统的严格但对于电竞的俱乐部来说这件事情是一个最重要的商业决策了就选赛道接下来我们就来讲第三个部分第三个角色就是赛事的组织方它其实有点像传统体育里边的这种联盟
[00:13:08] 或者说是这个赛事的公司你像NBA联盟这个公司或者什么CBA公司啊就是中超公司啊这种类型的公司那么他主要做的事情就是设计赛制安排赛程组织比赛招商啊做内容的包装啊卖版权啊还有线下的这个举行比赛等等活动等等的这个当中电竞的赛事组织方有一个很难的这个任务就是他要让这个游戏变得好看就是有些游戏很好玩但是比赛并不一定很好看对就是你对你不能只是对战的人玩的爽
[00:13:38] 你要让其他看的人也爽起来是就是这件事情实际上对于很多体育来说都是这样的你看到现在很多职业体育都在往这个方向去包括这两个什么乒乓啊等等的都在往这个方向在发展F1啊等等的电竞的这个方面更加的这个重要尤其是对于电竞比赛就是游戏来说它有很多的这个项目它竞技性很强就它确实很适合对战但是有可能门槛很高外行很难进入的话其实也是很大的一个挑战
[00:14:02] 还有一种就是说有些游戏短期的话你吸引很多人很火但是你这个赛事的故事不够稳定或者说你这个赛事本身不太利于长期的有比较吸引人的竞争的这个故事的主线能够延伸下去那你其实也很难长期就这个东西其实蛮靠赛事的运营的就不是一个这个游戏拿出来就结束了其实当中有很多的微调的部分包括你就是这个游戏要根据这个赛事情况怎么来做一些就是更新等等的这个其实都很靠赛事的组织方来做这些事情当然这个部分其实是
[00:14:31] 就是弄花非常的多啊就我们后面还可以展开再来讲那最后剩下一类就是这个游戏的IP的所有方对就是我们前面反复强调这个主导的这个这一方在电竞的世界里面呢其实游戏公司还是有非常强的话语权的最强的话语权就是他可以决定规则对就是我游戏更新了你就按照更新以后的新的规则来打了是另外一方面就像我们讲的在厂商时代其实第三方和第四方往往是绑定的或者说他实际上是一体的有可能就委托了个第三方来做
[00:14:58] 但实际上还是由游戏的厂商来主导的就是一个公司发明了足球又组织了世界杯是这个意思对于电竞来说其实这么做商业上面如果你不考虑什么传统等等的从商业上来说这样是有一定的好处的它多了一个传统体育没有的收入来源就是游戏内消费比如说观众看完比赛之后他就会回到游戏里面去玩然后他会去买他喜欢的选手或者战队的皮肤买通行证还有买相关的道具等等的
[00:15:26] 这个就是比如说你玩那些电竞游戏里面这是非常常见的东西这个是不是可以类比就是你看球的时候会去买球衣这件事逻辑上有点类似好像是周边对吗但是你仔细想想其实如果是那些游戏内的消费的话它这个链条更加直接就是效率会更高一点你看了一个电竞的比赛然后有一支战队夺冠了你马上去买它的皮肤然后马上就在游戏里面用这件事情你坐在这个电脑坐在那个电竞椅前面就直接完成了
[00:15:53] 整个的这个消费是非常迅速的但是你弄球衣啊什么你想想看这个链条是吧这个当中听上去好像没有什么本质的区别但是还是区别蛮大的这部分的分成的其实也是电竞的俱乐部非常重要的包括选手啊非常重要的收入之一其实像NBA之类的像就北美的体育联盟它的电视转播费都是分给各个球队的这个电竞分成是不是也有点类似于这个思路还有刚才我们讲到这个规则这个部分它持续的更新版本
[00:16:19] 或者是这个加强或者削弱某个角色啊调整地图啊等等的这个都对游戏的这个电竞的生态就他们这个竞技的生态会产生很大影响所谓一代版本一代神就是这个说法现在在企业企业里面都会用到了最早就是来自于电竞的那对于选手和俱乐部来说呢就是要不断的寻找新版本之下的优势那这个事情实际上非常考验你这个开发商的就是把握平衡的这个能力
[00:16:42] 就过去你不是玩像我们玩那个什么星际啊或者魔兽不都是讲什么要游戏的平衡性要非常好吗那对于电竞来说这个事情就是重中之重了那这个度的把握其实是比传统的体育项目要难很多的对你不管是足球还是篮球其实那些对比赛形态有巨大影响的规则基本上在几十年前都已经固定下来了
[00:17:01] 现在只是一些微调但是电竞的这些调整的话其实还是经常会牵一发而动全身的感觉我们前面已经把这个电竞为什么是一个体育赛事这个事情大概讲清楚了那我们其实后面可以讨论下一个话题就是电竞它不同的比赛之间其实也是有竞争的对吧那就是对于游戏开发商而言要让自己的电竞项目比别的电竞项目更受欢迎这点是怎么做到的
[00:17:30] 我觉得这个话题的话我们可以这么来讨论就分两个层面第一个层面比较简单就是不同类型游戏之间的竞争就我们知道游戏的种类非常多对吧只要是可以两人以上玩的游戏理论上都可以电竞都可以比赛都可以比一比你像格斗卡牌包括那种体育模拟还有什么甚至是俄罗斯方块都有很精彩的电竞游戏对吧但是目前你比较公认的如果我们从商业上面来说影响力最大最适合职业
[00:17:59] 搞职业这个电竞的游戏类型的话就是两种一个是MOBA一个是FPSMOBA就是我们前面说的这个多人在线对战游戏FPS就是打枪那个是吗是但是第一人称射击FPS就是第一人称射击就是CS最早的是这种那MOBA其实像我们前面讲的英雄联盟就是现在一个代表性的一个游戏多台也算还有王者荣耀等等的
[00:18:22] 那FPS呢就是最早最熟悉的这个开箱的肯定是CS那我们接下来重点举例的这个五位契约其实是现在比较流行的一个FPS的一个游戏现在在电竞的世界里面商业价值最高的其实就这两类就魔法和FPS是最适合电竞的就类似于足球和篮球的就类似是的其他的这个游戏呢就是在电竞领域相对小众一点
[00:18:45] 但这个其实比较简单就是为什么这两个类型它比较容易适合电竞其实跟它这个天生的这个游戏的类型啊等等相关这还比较直观比较好理解的对吧就是多人的五对五的比赛看上去很刺激对吧打枪看上去也很刺激这还比较好理解的但接下来一个问题就还是更重要的其实第二层就是你同样一个类型里边的不同的游戏凭什么你这个比较受欢迎那个就没有那么受欢迎或者你这个电竞的价值就更高那个没有那么高这个实际上是
[00:19:10] 比较复杂一个部分也是我们前面在讲四个角色里边没有展开讲的部分接下来我们大致会以五位契约作为一个案例来简单的聊一聊这个五位契约首先它的出品方还是拳头游戏就是英雄联盟做出心得了然后就换了一个品类我继续做然后这个游戏在中国的电竞赛事的运营是由腾镜体育这家公司来
[00:19:33] 这个主办的这个腾镜体育呢就是腾讯和拳头游戏合资的这个公司它专门是来运营这个就是拳头旗下在中国的一些这个游戏的电竞的赛事的就像这个五位契约在中国的这个赛事它的英文简称叫VCTCN这个就是一个母公司和它控股的子公司出了一个合资公司是的我觉得这点也能体现出就是电竞的赛事这个业务本身的重要性
[00:19:59] 就是他本来只是大公司里面的一个部门就是然后业务来合作一下他现在单独要成立一个公司来做这件事情这本身就可以看出电竞这件事情还挺重要的啊那腾进体育的这个团队呢在这个五位契约之前最主要的业务就是LPL那这个就是他们做的这个五位契约的这个中国的这个赛事呢实际上是他比较新的一个项目那回到我们前面讲的那个问题就是这FPS啊就第一人称设计实际上是个非常拥挤的市场对吧没那么多非常经典的这个游戏其实还是非常考验人的
[00:20:28] 就是要从老的游戏里面争夺老的玩家对 你像什么CS包括CS现在也有在线的对吗比较早的还有穿越火线还有什么守望先锋等等都属于这种类型的游戏我觉得同类游戏的竞争的话题我们可以分为游戏和赛事两块来聊一个是游戏本身之间的品质的对决另一个就是赛事运营的方面怎么样赛事本身更加吸引人其实有这两个层面的
[00:20:54] 游戏这个层面其实无畏契约还是有蛮多比较鲜明的特点最主要一个就是它在传统的射击打枪之外就增加了英雄和技能就是比传统的FPS多一些角色的感觉我觉得就是这样网上叠加的游戏已经越来越多了
[00:21:10] 我觉得主要是增加了一些复杂度对我来说所以这个有好处我们看到有很多对他好处的说法我们还是引用第二季俱乐部总经理王卓的说法他觉得有一个很重要的点他认为最重要的一个点就是相比于传统的FPS有这个技能还有角色之后他降低了战术的复杂度同时也是有那些枪法和策略这个部分还是保留下来了就使得他更加容易破圈相当于你可以手动打也可以半自动打是这个意思
[00:21:38] 你这个稍微有点粗糙但它其实就可以稍微吸引一些过去不玩原来不是很擅长玩这个游戏的对如果你过去就是单纯的打架拼手速或者准度玩那种你不是很擅长的人有可能你会对传统的FPS会有点望而却步就很挫败嘛对但是五味七味的话其实给这样的一些人也能够就是你玩的很爽也能够玩的很尽兴水平也很高这点还是很重要的
[00:21:59] 然后另外一个点其实是直播的平台我们这次也采访了虎牙直播的一个副总经理他从直播或者是传播的角度给我们另外一个解释射击这一类游戏我们前面讲了它为什么适合做电竞是因为它的节奏非常的快一般来说一个5对5的一个小局的话通常一两分钟就决出顺负了就很刺激这个一到两分钟的节奏对于游戏的传播其实就非常的合适或者有利
[00:22:25] 你觉得为什么可以做短视频都不用切片是的那五位契约呢就是在这个层面上它本身这个游戏的视觉也好或者说它的玩法也好就更加的适合社交媒体的传播就很多传统的这个FPS它这个就是画风或者气质更加偏军事那种感觉对那五位契约是走那种就它UIV啊如果你看了就知道就是花里胡哨多巴胺然后再加上英雄有角色
[00:22:51] 有了这个角色或者说你有了主角之后的话其实就更加的适合你做一些切片的传播这个就很容易能够带来一些就是被这种氛围感吸引的这种玩家那讲的直白一点就是这个游戏要时髦才行是吧对的就我想起之前毛利跟我们讲一个梗就是说有短视频的博主然后他拍的内容就是采访别人玩什么游戏
[00:23:11] 然后如果你打的是魔兽啊星际啊这些老的游戏呢就会被打上老古董那个特效按照乔乔的说法就是上古神的对对对 是的但如果你打无谓契约就是safe就是你过关了那种感觉没有任何歧视老游戏的意思就是我们也是玩这些游戏过来的那么在腾镜团的规划里面呢其实VCTCN的这个电竞的赛事它也应该和这个游戏的气质是要类似的就是要有这种潮牌的这种感觉这样的话才能连在这个游戏真的能够破圈
[00:23:41] 那这个就要涉及到下一个层面就是赛事运营本身怎么能让一个电竞赛事脱颖而出那这个部分呢其实也是我们这一次采访下来感觉比较反直觉的一个东西就是五位区在做这个赛事运营的时候他特别强调一个点是线下的体验就是传统电竞赛事理论上大家看直播还是更多一点理论上没有所谓的线上线下这个概念但是线下的意思就是要
[00:24:07] 在某个城市去办比赛是这个意思吗对其实就是办实体的比赛这个事情已经是很成熟了大家都会去看对吧就是甚至像鸟巢这种就是一年的时候都已经有了但是你当一个就是长期的一个职业联赛你非常强调线下这件事情其实当初还是给我们感觉还是蛮新的就我们我们之前没有这个概念然后这个呢就涉及到五位契约这个VC天心啊他在今年是出了一个新的赛事的模式或者是个赛制吧就是叫这个
[00:24:34] 全赛事环节的巡回就是一个无位巡回这个方式就巡回赛具体而言就是他今年这个赛事会在国内的七座城市来搞巡回就一个巡回战区一个站点然后在这边搞一段时间的比赛然后下一个阶段的赛事到下一个城市去搞是这样一个形式过去的这个电竞赛事要么就是聚集在一两个城市搞
[00:24:54] 比较多的就是有点像早期的LPL我们知道就是在一个主会场就是有一个固定的场馆来做对或者的是有的比赛有可能在有一些部分的主客场但主客场其实还比较难的像他这种就是在不同的城市来定期的举办的其实有点类似于像F1那种就是分战赛或者像那个乒乓球现在也是有WTT对对就是这种形式的那这个就跟什么音乐会
[00:25:16] 漫展演唱会不是很像吗我觉得你点还是相对比较准确的就是它的目的就是希望能够让自己的这个电竞赛事成为城市的这个文旅行业的重要的一个亮点的一部分这是它的一个核心的目的不过有个问题就是比如说演唱会现在大家已经知道演唱会对于比如说本地的经济拉动的效应是比较明显的但是这还是说回来这个电竞它除了比赛以外这个用户的消费能力到底有多少
[00:25:45] 就对于这个比赛所在这个城市到底有没有所谓的拉动效应我觉得可以先回答这么一个问题就是电竞的观众很多人甚至会怀疑他对于线下的活动是不是感兴趣对他就是不是就是直接去场馆里面待着了这个点其实就跟你这个赛事的这个运营或者这个比赛线下的体验到底怎么样很关系很有关系了如果你像最早期的就是比如是S赛大家坐在一个折叠椅上面看这个比赛看一个就是很普通的屏幕看完了就结束大学里面看两个班打篮球有什么区别对
[00:26:14] 它就确实是你这个体验没有那么的新鲜你看了几次之后有可能还是回归到直播的平台上面了但是如果你这个线下的比赛办的就跟一些传统的就是顶尖的职业赛事一样是很吸引人的很有刺激感的话那你其实是可以吸引很多人到对于线下来感兴趣的那五位契约核心就是在强化这个点就前一阵我们跟那个毛利观摩了一下这个五位巡回的广州战啊就是整个的比赛的感觉就是比较像电音的派对
[00:26:40] 他是在一个室内的一个体育场一个大的场馆里面搞的首先第一点就是电竞选手给你的感觉不是闷闷的就是很沉静的宅男而是那种他跟职业的运动员和明星是非常接近的比如说因为他一局很快一两分钟打完了之后他们首先会起立欢呼击掌互动然后观众跟他一起嗨起来然后他们跟观众也能互动就跟你就是什么射门进了个球或者是投篮进了个三分跟场边的观众互动的感觉是非常接近的
[00:27:07] 这个点我觉得首先是他从这个实际的体验上面是跟传统体育赛事在靠拢的这个点是他比较强的一个部分感觉就是从沉默的宅男变成了活跃的宅男是这样吗已经不宅了他们甚至很多人是就是外体型的管理比之前的那个电竞选手要好很多
[00:27:26] OK当然就是这个比赛节奏因为确实很快我也没有非常看得懂就大家反正在嗨我就跟着嗨的那种状态这就是你进了club就是这个感觉是是是但你可以想象就这种场面的话一方面就是你在线下真的观赛的人会很爽另一方面就是他如果借制作成了很多传播的物料的话也很容易来吸引一些频道对得上的人嗯就是同类型的电竞里面这个比赛的氛围是最好的嗯对就这个实际上是他相对目前能够脱颖而出的一个非常重要的点
[00:27:55] 其实我们可以类比一下比如说同样是职业的这个足球联赛对吧顶尖的欧洲的五大赛事为什么现在英超明显商业价值是更大的就是因为英超氛围最好对如果你去看一些很简单的一些比如说集锦啊切片你就能感觉到他这个赛场比如说观众和球场的距离啊然后整个现场的氛围啊甚至是灯光音响啊等等的和其他联盟之间实际上是有很大的区别的这里我还看到有一个数据是五位区线下赛事用户里面有84%都是
[00:28:21] 24岁以下年轻就是很夸张而且这个比例对就同样是年轻人就是28岁年轻人和24岁年轻人和20岁的年轻人其实就是不一样的对可以说仅论年龄段的话这篇其实就是现在会被音乐节演唱会去吸引到别的城市去做短途旅行这种核心客群就是这是一些愿意为了爱好说走就走的年轻人我觉得这个其实就是巡回的赛制
[00:28:48] 希望自己能够实现的对于城市的价值就是大家去看了一场比赛之后呢很容易的能够转化成一次短途旅行然后你看完比赛然后打卡然后吃饭逛买周边然后再把这些体验很顺畅的发到社交平台上面这个是他们比较希望的一个链路但我觉得还是那个问题就是比如说单纯看一个这么短的比赛它对于比如说在本地消费真的有多大这个不是苏超吧
[00:29:16] 这里面就有很重要一个点就是五位巡回他一次个巡回站的时间并不是很短他不是一个周末就是比赛单纯单纯一场比赛是很短但是他整个这个赛事很长他会搞三周有的时候直径四周短的也有两周多他是个很长的一个时间一方面就是他用他赛事这个规模包括他这个战队的这个数量啊然后等等这个赛事的赛制是能够支撑一个巡回站有这么多比赛的啊首先他可以这么搞其次呢就是这个时长其实就给了他很充分的就是跟
[00:29:43] 当地文旅来结合的这个纵深的机会你这周没机会下周还可以来是是是这个点还是比较重要的对于赞助商来说也很好就是我买一个城市的一个曝光它其实曝光时间也会更长像这次五味巡回就今年这个五味巡回我看他们赛事的一个战略的合作伙伴叫首屈科技
[00:30:01] 就是驱动的驱首都的首它是一个主打智能出行的两轮电动车的一个品牌我知道现在有些年轻人听还是蛮多会买这个新的牌子的它这个投放我觉得还蛮有意思的我看过它也会投向春晚这样的一些大型的节目和活动但是又投向五位企业这样线下的这些活动你可以看到它这个风格明显就是我都要对都要那种状态
[00:30:25] 比如说他为什么喜欢投这个线下的这个巡回赛呢就很方便他和每个城市的这些门店来做联动然后他本来就有门店而且就两轮电动车嘛就是本来就很适合在城市里面骑来骑去对你不是在一个就是比赛的这个运动场馆的这个现场你可以试骑然后可以发优惠的礼包然后直接就可以引人到当地门店了然后呢这个两轮电动车你跟现在你像你讲的就是在对于城市的短途旅行来说就是很方便的一个工具啊就他这个可以联系在一起
[00:30:52] 这个听起来就是地方政府会愿意承接那种赛事对的就按照腾进体育的说法就是他们在和政府沟通的时候就是现在政府也很直接就他会很明确的说我能给出哪些支持场馆政策啊宣传的哪些物料啊这些位置啊等等的同时也会提很多具体的联动的一些方案就是不是很虚的就是我欢迎啊支持啊等等就是我能给到什么然后你能够就是带来什么大会都会录得非常的明确
[00:31:17] 简单小结一下一个电竞比赛要有生命力除了游戏本身要能吸引人以外赛事也要吸引人而当一个线下的电竞赛事变得足够有吸引力他就可以跟整个城市的文旅去做深度绑定从而获得更大的扩散能量一群原本只在直播间里面游戏上面和社交平台上面聚集年轻人
[00:31:37] 有了一个可以真实的见面真实的消费真实参与的城市空间这个就是为什么一个赛事能够被城市品牌平台和俱乐部同时看见的原因这个赛事本身它能够受欢迎再加上这个游戏本身更加容易破圈结合在一起就是一个电竞的项目相比于同类的项目能够相对脱颖而出的一个核心的逻辑当然我们刚才讲了那么多还是近人式的部分还有天命对于一个电竞赛事来说
[00:32:04] 要破圈尤其在中国这个市场里面很多时候还是看时运的就像我们前面讲到2018年就是中国的战队在S3夺冠是一个破圈的一个时机一样的五位契约也是一样就他运气比较好吧就是在2024年就是他这个VCTN这个赛区刚刚成立第一年中国的战队就EDG啊他就在全球的这个五位契约全球的总决赛里面获得冠军了嗯搞了个大新闻就是就类比我们之前讲张雪汽车那一期嘛就是
[00:32:32] 他又提升了一步有了所谓的本土荣誉感的部分就这个点我们这次了解一下就在电竞里面是个非常重要的一个逻辑就是你这个战队或者是你这个队伍在国际的比赛当中获得了冠军这件事情对于这个项目本身在中国的这个发展是有很强烈的带动作用的当然这个属于是意外之喜就当初大家都很能预料到就是无畏去早早往往中国的战队可以拿
