Vol.214 芬太尼究竟是什么问题？
[00:03:16] 什么是芬太尼以及什么是阿片的药物那为什么这个药物又会成为一个危机的导火索芬太尼呢是一种纯人工合成的物质就在自然的界当中是不存在的那芬太尼是属于阿片类药物当中的一种那么所谓的阿片类药物是什么呢它指的是一系列天然或合成的化合物它们都作用于人类中枢神经当中的一个叫做阿片受体的这样一个部分那在医学上呢这一类药物最主要的作用就是缓解疼痛
[00:03:44] 对 都属于我们日常认知当中毒品的范畴
[00:04:09] 因为阿片类药物其实它们还有一个特性就是往往具有成瘾性还有非常多的副作用甚至会致死那么它的滥用就很容易产生问题那在很多情况下它其实就是毒品而所谓阿片类药物危机的这个核心呢其实就是这些药物被大量的滥用了然后导致数以千万计的人成瘾那么问题就变成了那为什么一些应该被严格限制使用的这种容易成瘾的药物会被大量的滥用呢那这个故事的由头就要讲到塞克勒家族的生意了
[00:04:38] 在这个家族阴暗面被曝光之前塞克勒家族是以慈善捐赠古董和艺术品收藏文明的在很多大学博物馆这个画廊都有这个塞克勒家族命名的一些机构但是呢他们做这些善举的资金来源其实就是这一个家族的制药生意
[00:04:57] 这里所说的制药其实很大程度上指的就是一款药就是我们上面提到的阿偏的药物之一奥斯康定或者我们可以这么说正是因为塞克的家族治下这个普渡制药公司对于奥斯康定这个药物非常激进至于不择手段去做推广才为这个家族积累了大量财富也引发了美国的阿偏的危机当然在这个记录这一家族事迹的作品当中有很多关于家族内部的这个纷争和狗血的环节
[00:05:23] 大家感兴趣的话也可以自己去看书看剧啊那我们今天不讲那些部分我们就单单的截取一部分的故事就来看一看赛克勒家族究竟是怎么卖奥斯康定的这故事呢可以说是起于1950年代终于2020年代大致可以分为两段第一段的主角是家族生意的一个创始者叫亚瑟他也是当时那个赛克勒家族三兄弟里面的大哥他是一手建立了日后使得这个奥斯康定获得商业成功的一整套的商业模式
[00:05:51] 而第二段的主节呢是家族的二代继承人他们是在普渡制药的这个公司实体里边可以说把长辈亚瑟的这个商业模式打引号的发扬光大推向极致最终走向一个难以挽回的局面那你先给大家讲讲就是亚瑟赛克勒这个人是发明了一个怎么样的商业模式吧
[00:06:09] 他是生于纽约布鲁克林的然后因为大萧条的原因他的家境是一般的那么当时大多数犹太家族他们改善家境的一个常见的办法就是用功读书然后当医生那么亚瑟和他的两个弟弟确实都做到了他们是经过完整训练的精神科医生但是亚瑟这个人他本人最大的天赋不是行医而是营销在大学期间他就在纽约的一家广告公司兼职
[00:06:36] 而这个兼职呢也让他发挥出了自己的营销天赋当时这个广告公司他有一个最大的客户就是制药公司辉瑞哦巨头嗯当时辉瑞可能还不算最大的那种巨头啊那个时候二战刚刚结束然后经过战争的洗礼呢抗生素这种药的这个研发的热潮还在持续因为我们知道战争当中抗生素是大放光彩的那么亚森呢就接到了辉瑞的一个需求来宣传辉瑞一款新的抗生素叫土酶素就是土地的土
[00:07:04] 亚瑟就制定了一个核心的营销策略就是大规模的医药销售团队简单说就现在常见这种药袋地推这种模式就是这个这种方式其实在当时的广告界已经不新奇了推销员很多行业都会有但在医药界之前没有人搞过亚瑟对此有个洞察就是买药实际上是一个很特别的消费过程因为做决策的不是买药花钱的那个人而是医生这件事在我们当下的语境里面其实大家不会陌生对吧
[00:07:32] 但是在1950年的美国是个新鲜事或者是个新的洞察那凭借他建立的这个医药代表的这个销售团队呢那土酶素这款抗生素虽然它没有什么特别大的药效上的一些优势但它的销售业绩就非常的好辉瑞的营收是从6000万美元提升到了1亿美元就短短的几年当中而这当中40%都是土酶素贡献的也因此亚瑟就在医药营销行业声名鹊起
[00:07:58] 我们可以看到腾通帝国这本书里面记载了一个当时广告同行对亚瑟的评价说在医药营销方面亚瑟就是那个发明了轮子的人就是说明他的作用非常的重大那在此之后呢亚瑟就从兼职变成了这个小广告公司的总裁了这当中很多故事啊那他又接了一个新的大客户就是罗氏制药也是个巨头他的任务呢是帮罗氏推销两款镇定剂
[00:08:25] 一个叫做安定一个叫做利绵宁现在都是很著名的药物他们都属于叫D-C-PAN类的药物亚瑟除了延续之前的销售策略以外还做了两个升级第一个就是通过广告扩大了这两个药的一些应用场景因为他们最初就是镇定剂但是罗氏就会宣传说这些药对于像抑郁紧张月经不调失眠等等的状况
[00:08:51] 都可以有效果甚至一个大例外对就是当时已经有人吐槽了说还有什么事情是这个安定和利美宁做不到的那第二个改进呢就是这个达影豪的改进啊就是他和罗氏签订的这个广告合作不是一个固定的广告费而是销售提成这个提成呢就是给各个这个医药代表的所以说医药代表们的销售动力就更强了最终的效果就是让亚瑟和罗氏都赚到了更多的钱那除了这两个所谓商业模式的改进之外呢这次的合作
[00:09:19] 还有一个对亚瑟来说的成果就是让他意识到了成瘾类药物的价值以及如何规避这个成瘾的风险因为罗氏在研发这两款药的过程当中其实已经被一些专家提醒说这两个药实际上是有成瘾性的风险的但是这个事情在药的说明包括广告上面都没有提到
[00:09:38] 直到1965年就是这个药上市了一段时间之后越来越多的一些成瘾乃至死亡案例出现那美国的药监局才开始介入要求管制这两个药的使用范围让它严格的受限那到了1970年代它才真的被列入了硕管制的精神类药物
[00:09:54] 在这个过程当中已经有大约2000万美国人使用了这两种药它已经成为了美国当时最被滥用的药物当然这个后起咨询很快就出现了其实从商业的角度来看我们知道有一个大家的共识就是能让人上瘾的消费品是最好的一个商业模式因为每个消费者能为这个产品提供的所谓全生命周期的营收是非常非常高的
[00:10:20] 亚瑟有一句话说的很精准大致的意思就是说我一次推销或者一次使用就能让它成为我的终身客户但也正因此其实我们知道大多数的成瘾性的产品或服务都是受到不同程度的管制的你像毒品不用说了是禁止的违法的你在烟酒在很多的市场都是受到严格的管制或者说是国家来统一管理的还要刻意重税所以在所谓的合法的正常流通的消费品里面
[00:10:46] 咖啡往往是被人非常看好的一个品位因为它不受管制但是成语性又比较明显是的那简单小结一下那通过辉瑞和罗氏这么两个大客户呢塞克勒家族的核心商业模式就已经成型了它大致可以被总结为五个要素首先呢就是把医生作为核心营销对象其次要建立大规模的医药代表作为执行团队
[00:11:08] 第三就是要把广告包装成专业的内容第四就是要研制一些让人上瘾的产品最后就是可以规避风险扩大功效的一些传播方式那凭借这套打法塞克尔家族这个族长亚瑟是实现了整个家族的财富积累而他的后辈们则在普度之要把他的模式发扬广大
[00:11:28] 那接下来我们就进入第二段的这个故事在1952年的时候亚瑟就为受到麦卡锡主义影响的两位弟弟他们买了一个小型的制药公司给他安顿下来因为他们不能做医生了后来那两位弟弟的下一代就执掌了这个小型的制药公司这个普渡制药呢当时有一款不错的产品叫做美施康定它是一种针对癌症晚期患者的止疼药
[00:11:51] 那主要的那个成分呢其实就是马肥马肥其实一直是磷霜上面比较重要的一个止疼剂了我自己印象比较深的就是看那个美剧兄弟联的时候军医啊Doc就一直在算自己手里面有多少只马肥因为有多少只就能救多少个伤员的命嘛不然的话他们一下子剧烈的疼痛很有可能就死掉了我自己印象比较深是看HouseHouse就平时是科Vacodin的但是他比较严重的时候他也会科马肥是但是这个美食康定和此前的一些
[00:12:19] 马菲类的止疼药它有个很大的不同就是它采用了一个所谓的缓式的技术就在这个药的外面包了一层这个附膜然后可以让它在初期发挥一定的药力之后呢接下来12个小时里面慢慢的释放它那个药力这就避免了它这个止疼的效果像过山车一样就一下子不疼了然后过了一会儿又一下子非常疼那这个效果会相对比较好一些这个技术其实在现在止疼药里面是普遍使用的对大家看一些止疼药里面都会说它是一个缓式的一个科技嘛
[00:12:46] 那在美食康定的销售过程当中呢当时塞克勒的二代他们就有了一个重要的发现或者说洞察吧就是相比于他们此前亚瑟做的像抗生素啊镇定剂止疼药可能是一个前景广阔的多的一个药物的市场因为除了像这个癌症晚期的这个癌痛的这些患者以外还有很多普通人他们日常也受到了慢性疼痛的折磨那如果有一个药可以
[00:13:12] 覆盖这些市场的话那它的这个客户群或者是销售额就会比美式康定高一个甚至两个数量级这个其实很好验证因为阿斯匹林一般来说被认为是过去人类发明的最重要的药品之一对它就是一个指腾的一个重要的一个药那随着美式康定的专利到期呢就是他们内部推动也确实把这个设想变成了一个具体的药物它就是奥斯康定奥斯康定的主要成分呢叫强烤酮
[00:13:39] 它其实也不是一个新的东西就此前已经有相关的这些药物了也是用来做阵痛的但它毕竟是属于阿片类的药物所以医生开起来是很谨慎的但是奥斯康定它还是延续了美式康定那个缓释的技术它用这样一个缓释的新招牌就成功的让整个美国上至监管机构下到
[00:13:57] 具体的乡村医生和普通人都相信奥尔士康尼这款药是不会让人成瘾的所以它实现这个目标路径还是老子从亚瑟创造出来的商业模式对 但是在推行这套商业模式之前它有一个重要的关卡要过因为它毕竟是个药物所以它要通过美国药监局就是FDA的认可就同意它能够用于这些刚刚讲到一些日常的慢性的疼痛而不是只能像之前那些阿佩雷药物一样受限于像癌症晚期等等非常狭小的场景里边
[00:14:27] 那这个关卡照道来说是很难过的对吧但普通治疗他这个明面上的这个理由就是说我们是缓释的就缓释就是就不会让这种瘾君子有那种很他的爽感所以说应该就不会成瘾他是这样一个逻辑但是这个缓释只是个理由如果你要证明他不成瘾的话其实你还需要拿出数据来说话那在1995年的一场评审会上面呢其实就有评审员来质疑说你说用药间隔是12个小时那么如果这个患者提前补药了那多次使用之后会不会成瘾呢
[00:14:56] 因为你这方面没有数据所以我要质疑一下你但是这些疑问被当时负责主审的一个官员叫莱特怎么样就糊弄过去了反正这个问题最后就不了了之了就通过了FDA认可了他这样一个声明说我们要因为缓释所以说他不会成瘾之后奥斯康尼在传播的时候就把这个声明变成了最关键的广告或者最大的一个宣传的卖点
[00:15:16] 那之后普渡制药东窗事发了接受诉讼了调查了人们才知道这位叫莱特的官员他在两年之后呢其实已经跳槽到普渡制药工作了什么内鬼那其实把FDA这一关过了以后呢普渡制药其实它这个产品就可以上市销售那上市了又是那老一套对那关键就是呢就是奥斯康定把自己是塑造成了这种疼痛管理的一个非常好的解决方案他们的这种传播这个奥斯康定的这个销售它是站在一个比较高的高度吧
[00:15:45] 他是希望医生都先接受一种理念就是慢性疼痛是一种病他得治这个也跟美国的一些医保的制度有关就是如果你去做那些物理的治疗什么推拿针灸什么就很贵你可以开个药片很方便处方就很容易开所以说大环境的土壤的倾向有然后这个普渡制药剂的推动也非常的重要最后他就变成了一个止痛市场的一个王牌甚至可以说是后来阿平药物整个发展一个土壤了其实就是说
[00:16:14] 美国做疼痛管理这件事情就我当时听说了以后还是觉得蛮有意思因为这个其实跟文化差别还是蛮大的对不同文化之间比如说像我看那个DopeSick就是成瘾计量那个节目里面他就讲到说他们当时想过德国的医药审核就没有过就因为德国人认为就是疼痛不是一种病就是我们可以忍耐就是有的部分疼痛就是应该人要接受的那比如说像亚裔我们应该也更加清楚就是
[00:16:42] 忍耐疼痛有可能是更多人的一种习惯他不会觉得什么时候都要吃止痛药但是在美国很多的环境里边大家就会形成这样一个等式疼了就要吃止疼药这样的药物就有很大的空间我们看最后的结果就是1996年奥斯康定是上市了到了2017年就整整21年当中这款药的累积销量达到了350亿美元
[00:17:06] 那从1991年到2011年这个20年之间呢美国的止痛药的这个处方的总量从每年的7600万张增加到了2.19亿张是原来的三倍相当于平均每三个人当中就有两个人在当年是开过止痛药的处方的这个覆盖的范围非常的可怕啊那到2017年一年美国滥用阿片类处方药的人数就已经超过了1000万人
[00:17:33] 就我们先不从就是道德层面来判断就单从数字层面来看就是当时美国最成功的上瘾类药物应该就是奥斯康尼但现在我们知道这个成功当中最重要的一点就是奥斯康尼宣称他没有的那个特质就是上瘾实际上很多患者就是对奥斯康尼成瘾之后呢就是他不断的缩短那个服药的周期就他这个药上面说你应该12个小时来一次因为他是缓逝的但实际上他们就是越缩越短越缩越短最后他们发展到有的人已经成为瘾君子了嘛
[00:18:01] 他就会把这个药的这个缓释膜弄破把这个药磨成粉然后吸食这样才能抵御那个痛苦的阶段反应那其实这个就是吸食毒品了那这个问题越来越发酵你不可能瞒得住嘛这么多人都上瘾了那到了2001年的时候就是很早的时候其实当时政府就已经开始了针对奥斯康甸的调查还有针对普渡制药的诉讼
[00:18:21] 最后结果是什么呢到了2007年的时候这个官司收尾了结论就是普渡主要是涉嫌虚假销售的然后对他的惩罚是罚款6亿美元另外三位高管在被罚3.5亿美元然后被判有罪然后做一些几百小时的社区服务等于加起来不到10亿美元就把这么大一个事情就包住了你这个质疑非常的对你看10亿美元跟前面的350亿不是一个数量级的
[00:18:46] 而且这个结果对于赛科的家族来说是非常的轻轻放下因为他们家族的成员不是那个被罚的高管他们这个家族跟这个公司撇得一干二净了而且据说这些高管之后就是因为他们被罚了之后还拿到了家族的几百万美元的一个我们说补偿吧那同时呢普渡制药也回应了那个陈寅的问题你不是说我们这个有很多瘾君子把我们这个药膜成粉来当毒品吸吗
[00:19:08] 他就把自己这个药片的这个缓释膜做成了那种很难破坏很难碾碎的材质意思就是你这样不能碾碎了那你就不能把它当毒品稀释了问题解决了这是什么逻辑确实就是很匪夷所思因为结果上是什么呢就是那些上瘾的人他确实没有办法把这个奥斯康蒂碾碎当毒品稀释了他就只能去找别的替代品比如说很多人就走向了海洛因所以是从一种成瘾药物带出了
[00:19:35] 另外一大串同样成瘾甚至更成瘾的替代品是的总之呢就是2007年这次诉讼根本就没有让塞克勒家族伤筋动骨那直到2019年又过了十几年这个问题愈发严重了并且在媒体上引发了大量的深度报道美国的政府才重启了对于普渡制药的调查那经过了艰苦的拉锯最终到了2025年一个新的和解协议现在是达成了就最新的消息啊
[00:19:59] 塞克勒家族和司法部是达成了一个74亿美元的和解协议然后这些钱将用于应对当下的阿偏雷危机当时普渡制药是申请了破产重组它之后就跟塞克勒家族没有任何关系等于塞克勒家族还是逃过了很多东西是包括他们在经济上面其实也没有受到很大的一个损失你可以去看书里面讲到他们是如何把这个钱提前从普渡制药当中转到这个家族这边来的又切分开了
[00:20:24] 关于这个诉讼还有很多细节其实也很触目惊心的就大家可以去看一下我举这边只举一个例子了就是塞克拉家族其实还间接控股了一个医药数据公司那这个公司呢会做一个业务就是从奥斯康定开始销售之后啊他就监测各个地方的医生开的止痛药的这个处方有多少
[00:20:43] 而且普渡制药对于成瘾这件事情一直有一个
[00:21:10] 比较抗拒或者说辩护的态度就他觉得我这个药本身设计的没有错错的是那些上瘾的人他们本来就是瘾君子就是他们怎么样都会去找到就是让自己爽的那些方法的那有一句经典话就是我给你的是一根芹菜但是你把它碾成粉末注射到静脉里的就我这个逻辑真的是非常的强盗啊就是你把一个毒品当芹菜卖这个问题难道不是这个卖的这个人吗对吧对你卖的不是芹菜你卖的还是毒品啊
[00:21:37] 那随着目前对于普渡制药和塞克勒家族的一系列清算呢他们这个家族的那些慈善的名声已经都扫地了而且奥斯康定现在已经被严格的限制了就不可能像过去那样随便开了美国的整个的止痛片的处方数量已经稳定下来了所以说这个所谓的第一波阿片的危机可以说是已经过去了但现在我们知道它有第二波第三波因为潘多拉的盒子已经被打开了
[00:22:01] 那在简单讲完美国阿佩雷药物危机的前半段就是奥斯康定和赛克的家族故事以后呢我们就进入当下的部分来聊聊这次节目的由头芬太尼芬太尼我们前面说了就他跟奥斯康定一样也是一种阿佩雷药物在奥斯康定受限以后呢这个芬太尼啊很快就和海洛因一起在市面上快速的流通了
[00:22:24] 回到我们这个节目的由头为什么会有所谓芬太尼关税这一说呢那简单可以总结成这样就是美国的政府认为他们国内的这个芬太尼这个泛滥的问题很严重而中国呢是一个重要的芬太尼原料的出口国就是我们这边流行的东西源头上是你这边生产的所以美国就觉得中国的政府在管控芬太尼相关原料非法出口这个问题上面做的不好
[00:22:49] 那就希望通过关税这种形式来施压就要求中国帮美国一起来管控这个问题那其实这里面我们把这个大的话拆开来其实有三层问题就第一是芬太尼这个东西为什么那么难管第二呢就是有这么多阿培内药物为什么芬太尼变成现在这些药物的核心问题第三就是我们中国是不是故意不管芬太尼的出口对我觉得这三个问题实际上都是互相关联着的我们先说第一个问题为什么这么难管
[00:23:16] 我觉得可以这么来总结吧就如果从一个做毒品生意人的角度来看的话芬太尼可说是一种完美的产品这个完美的当然要答应好我自己总结了四个更容易就是它更容易上瘾更容易致死更容易生产也更容易逃避管制那这些把我们两个问题都覆盖到了先讲前两个更容易就是更容易上瘾和更容易致死这个是有
[00:23:40] 研究的这个数据的芬太尼的它这个效率要效是同质量的海洛因的50倍
[00:23:46] 而且这只是基础的就是芬太尼本尼它还有一些变种比如什么卡芬太尼它的效率是芬太尼的100倍这海多因在它面前就是个地理了是那更近一层就是这个芬太尼的致死剂量极低就它非常容易致死比如像我们这个说的卡芬太尼它仅需0.02毫克就相当于几粒盐它就能够致人死亡了所以这么多的东西最早研发出来是干嘛用的你像我们说这个
[00:24:12] 芬太尼的话它最早其实也是用于止疼药当中一种就稍微加一点点那像卡芬太尼这么强的药类它一般现在用于什么地方呢受药就是它的质量要足够大才能把它这个就是小小致死量这个问题给解决掉对那问题就是这些只能用一点点一点点的这个药物却现在就是泛滥到在整个毒品市场那这个就跟我们我前面总结的这个后面两个更容易就是相关的首先就是更容易生产
[00:24:39] 就芬太尼它其实不是一个新的物质它是1950年代就生成的一个合成药物是由当时的杨森制药合成的当时这个合成的方法叫杨森法它是步骤蛮多的而且也比较复杂就是你没法在一个小作坊里面就做成功后来又产生出了一种更简便的制法叫做齐格弗里德法这个方法就使得芬太尼变成了一个你没有医药背景的人在一个小的化工作坊里面就能做出来的产品
[00:25:07] 并不需要化学老师才能做出来是吗对对对你只需要一个pinkman就能做出来而这一点如果叠加上第四个更容易的话就更麻烦了就是为什么说它更容易逃避监管呢就是合成芬太尼的这些原料就是专业名字上面叫做前体芬太尼前体还有我们前面叠加了很多那些变种是不是那些变种的前体它们实在是太多了有一些化学基础的人随随便便就可以搞出几十种上百种就等于说我去搞一个比如说正面的这种静止清单其实很难包括里面所有的这种前体
[00:25:36] 对而且就是有心之人可以故意的绕开所谓的策划药就是绕开这些名单上的东西设计一个新的类似的东西就可以了是另外一个问题就是这些原料它不是那种专门用来做毒品的原料就是它在别的领域都是有应用的而且这些领域不是制药领域因为制药还是相对监管比较严格的是不是这些原料它很多的应用场景是染料工业品的原料
[00:26:00] 而且它们体积又很小再加上像芬太尼它是无色无味的种种这些特性就使得你要禁止芬太尼的流通遍的很难它的生产你也很难禁止因为它的原材料有很多的来源产生的东西呢又无色无味很容易被发现还有很多很多的变种所以我觉得如果排除了政治的各种考量吧就就事论事的说你要中美两国在这个问题上面就是合作真的把这个问题完全的压下来确实是有很大的挑战的
[00:26:26] 等于说我现在已经理解了芬太尼确实是一个很难管的东西我也可以理解就很难管就是他成为阿培内药物核心问题一个重要原因那他现在这个问题到底有多大其实美国政府对于芬太尼问题当下的这个严重程度它是有一个就是一个报告的就是总括的描述下这个问题到底有多严重危害有多大我们可以大致的引用这里面的一些数据但首先要说明的是
[00:26:51] 这一篇报告有很强的倾向性就是因为他这个报告的最终的弱点是要把锅甩到中国身上的那这个我们肯定是要质疑的嘛但我们就只看他对于这个芬太尼现在严重程度的这个描述啊看这些信息量
[00:27:04] 这个报道中做了一个估算就是芬太尼一年他以2023年为例2023年一年就能让美国损失2.7万亿美元2.7万亿什么概念相当于美国一年GDP的9.7%1%或者相当于一个苹果公司的市值数字本身很庞大就这么大数字就是跟国家安全挂钩确实是不为过了加点关税就是从这个逻辑上好像顺的是吧对但是
[00:27:30] 这个这么大的数字是怎么算出来它有没有往里面冲水我觉得这个有必要跟大家介绍一下在这份报告里面其实他给出了一个估算这个数字的具体方法这个2.7万亿美元来自于五个方向叫做生命损失生活质量损失医疗系统支出劳动生产力损失和犯罪相关后面三个我觉得是比较好理解的
[00:27:54] 就是比如说医疗系统的支出就是指为了治疗那些阿片类药物成瘾的患者我这个保险公司也好或者是这些医药补助或者医院的免费治疗要多花多少钱这个是可以理解的那劳动力生产损失还有犯罪相关我觉得都比较好理解就大致这个概念但这三个部分呢其实加在一起也就是2700多亿美元很多啊但是连零头都不算对是那个总数的十分之一
[00:28:20] 所以大头是前面两项就是生命损失和生活质量损失但这两个就怎么算很虚对吧这个估算它是根据美国联邦政府卫生部的一个叫做生命价值预估的一个调查的这个调查结果就是反正根据当时的汇率吧就一条美国人民的价值是1300万美元生命质量损失这个原理是类似的它有个估算的基础就是一个美国人健康生活一年的价值是62万美元
[00:28:48] 然后如果你得了这个阿片类药物障碍这样一个疾病的话那你的生活质量只能要打个六折那么打六折打多少呢它成在一起之后就算出了这样一个数字听说朋友们我现在脸已经完全皱在一起了就是人命和健康这个东西的价值竟然是可以算的这个到底是怎么算的它估算的基本方法是通过调查调查问题是什么呢就是一个美国人愿意花多少钱来改变
[00:29:16] 自己当年死亡的概率比如说我愿意花1万美元来改变我今年死亡概率的1%那么你这条命再乘以100的话就多少钱就这样的概念
[00:29:27] 所以是做问卷调查做出来的是我一开始也很迷惑就是这个算法感觉就是乍一听直觉上面觉得很怪但我后来看了一下其实很多政府都会这么做我觉得它只是一种估算的方法就是对于政府机构来说或者对于一些决策者来说它需要一些完全数字化的结论来把握一些重大问题比如说我一页的一个brief我要知道芬太尼问题有多严重那你给我一个数字
[00:29:52] 这个估算的方式其实就是这样一个方式我们可以理解为统计上的一个方法
[00:29:58] 毕竟生命是无价的对吧但是他用这些估算的方法就会换成一个数字目的还是为了让你重视这个问题我觉得理解这个点就可以了总之2.7万亿美元最后算出来这个数字是很大很震撼那也就足够推动这些决策者取下决心来管芬太尼问题了是
[00:30:17] 那就回到刚才提出的最后一层问题就是美国对于中国的相关指控到底有没有道理就是他很严重你要管已经很可以理解但是为什么会管到中国的头上这个问题我觉得我们可以用举个例子的方式来说明一下这个问题就是在2023年的时候其实美国的司法部是起诉了一个中国公司的几个负责人的起诉原因就是他们涉嫌生产和走私芬太尼的前提
[00:30:44] 这个案例其实能够把我们的疑问解释的比较清楚就是中国在美国芬太尼问题当中到底是怎样一个角色或者说他的责任有多少
[00:30:53] 这个公司的名字叫做湖北奥维凯斯生物科技有限公司首先它就不是一个制药公司因为它的这个业务里面有很多化工生产主要是生产一些家装和建筑领域的化工品我们前面说的阿猫阿狗都可以做芬太尼的前提对 这一点就已经证明了它很好生产其次这些公司被起诉的那些嫌疑人他们售卖这些芬太尼前提主要是通过Facebook和海外的社交媒体
[00:31:21] 然后他们就直接大冠王说我们能出口这些东西然后海关还查不了你来买吧有谁来买就来联系我就这样一个方式根据美国司法部公布的一些信息他们是具体而言是把这些潜体混在一些我们前面讲到建筑和家装的用品当中出口出去的走私出去的这个过程当中除非你海关正好查到这个产品并且有专业的检测设备毒品的检测设备不然你的确很难检测出来第三个案子的点就是他的买家不是美国
[00:31:49] 的什么毒品的这个贩子而是墨西哥的毒枭墨西哥的毒枭拿到这些前提之后呢再在自己的作坊里面把它很容易的合成成芬太尼再把这些芬太尼通过美墨漫长的边境线走私到美国里面去等于这个美国海关任务很重啊这不仅要抽查包裹还要去抓毒贩子是大家要知道特朗普在第一个任期里面其实有一个就是贸易上的一个对中国的措施就是
[00:32:13] 一度要求查验所有中国出口到美国的小包裹小包裹我们还讲过这个事情他查了这个理由说要看里面有没有芬太尼但是大家后来也知道中国往美国发小包裹实在是太多了美国海关已经完全瘫痪了在这个事情上是而且就像我们刚刚讲的就是这些毒品不是直接从中国过去的小包裹里面进去的他为什么当时不查从墨西哥流向美国的小包裹我们仅从禁毒的工作的角度来说的话那你这个做法显然是成效有限的
[00:32:40] 第四个点就是这种非法的交易他们是通过加密货币完成的这也是非常普遍了所以说你也很难在金融市场上打击到这种犯罪甚至你去追踪可能也比较困难那么回到前面我们讲的那个报告就是美国政府对中国政府的一个指责它那个核心就是说你们中国政府想要禁止这些非法的勾当的话完全可以做到你们一天都可以做到这是它的原话一天就可以做到但现在禁止不了就是你在放任它就是这个逻辑
[00:33:07] 但是我们刚刚讲完了具体的这个案例之后
[00:33:33] 具体在比如说国内的对于芬太尼相关物质的管控上面到底是现在是做到什么程度呢从法律法规的层面上说中国对于芬太尼类物质的管控的这个要求是非常严格的有可能是全球最严格的之一它现在实行的是所谓的整类列管就是把这一整类跟芬太尼化学成分比较类似的物质
[00:33:56] 都列入管制就叫整类列管那所谓列入管制的意思就是说它的生产销售流通还有使用都要受到严格的限制就像我们知道有的时候高中的化学实验室里面有些物质你是不能随便弄的你要买一点都要打报告的就这个意思就是把它当毒品来管就这个意思
[00:34:14] 这个限制实际上是非常苛刻的因为它的这个逻辑就是是按照这个化学结构上的相似程度也就意味着有一些其实跟毒品不太相关的一些东西就是芬太尼的前提本来它有的合法的用途其实也要被限制了就是它是一个不是开白名单了而是像负面清单然后负面清单是零的那种概念我们就这么说吧就是在美国也没有整类的列管芬太尼类物质大多数的国家都没有这么做就中国实际上是这个规定是规定的很严格的但另外一方面在实操的层面就像我们刚刚举的例子可以看到
[00:34:43] 监管的或者是执法的技术能力和投入的资源客观上的确很难跟得上这种门槛非常低的像游击战一样的生产和销售对吧就它不是那种需要一个大公司然后高晶晶的设备那你查起来还比较容易一点那这种非常小的几个做法就能做的事情你要真的一网打尽实际上是很困难的而且不单是中国很困难其实现在我们可以看到全球都有这个问题因为它门槛低又不一定一定要在中国为什么一定要在中国生产我也可以换个国家事实上确实现在就不单单是中国在生产了
[00:35:11] 除了这些以外还有一个归根结底的问题为什么难以限制这些非法的生意因为合成分摊的这些材料成本就相较于它的售价不论是前提的中间售价还是最后在美国街头贩卖的售价相比都低太多了就可以忽略不计毛利你可以认为是99%甚至100%这样一个概念这么大的利润的诱惑之下还有这么低的进入的门槛技术的门槛你就很难堵住所有的铤而走险者
