Vol.161 元宇宙虚火？在工业界它是真火
[00:03:15] 但从概念上其实也能看出它和我们前面讲的这个元宇宙这个理念是密不可分的那通过这个数字孪生呢人们就可以模拟物理世界里面这些事物的运行方式而这个模拟呢就可以在很多方面提升效率或者是改善这些产品的性能讲到模拟我就有个问题了就如果单从这个概念来看的话它跟传统的一些所谓仿真软件
[00:03:37] 或者说模拟软件有什么区别吗都是模拟我感觉我们这期节目会涉及到蛮多相对比较硬核的一些技术或者概念的厘清我们稍微讲的慢一点但是我们也尽量也深入浅书的讲我觉得刚才老师那个问题还是蛮好的首先我觉得要明确就是数字孪生它不是一个单一的技术而是许多技术的融合它是一个比较前沿的一个理念第二点就是它不是一个凭空跳出来的一个概念
[00:04:04] 而是在前人的基础上面逐渐发展起来的那像过去许多领域的于老师刚刚提到的像建模啊仿真啊它们就是数字孪生这个技术理念的一个基础那从应用的角度来说呢数字孪生和前面这些概念有什么区别呢就是它是基于这个物理当中的这个实体啊它的一些详细的数据和精准的这个模型来构造出一个怎么说呢高度逼真的一个虚拟世界进而我们能够实现准确的验证预测和优化
[00:04:33] 相比较于之前的比较基础的仿真建模等技术数字孪生有个很重要的特征就是它能够实现事物或者系统它整个生命周期的精准的模拟和实时的交互简单来说它不仅是长得像的仿真而是它的实际运转起来的行为跟实际的东西也很像其实后面的部分对于技术要求是复杂的多的
[00:04:59] 是的比如说你可以做一个简单的飞机模型或者是用CAD软件来画一个建筑的模拟图这些都可以相对来说也没有那么的复杂但你要模拟一个建筑实际运转起来的细节比如说人在里面是怎么活动的或者是一个飞机实际运转起来的情况那这个就要复杂的多了OK那其实这个也就是数字软身的价值的体现因为你这些产品的设计研发制造和使用的过程当中有很多的不确定性
[00:05:26] 那你如果真的能够模拟它运行过程当中的一些细节的话你就可以大幅的减少这种不确定性讲到这里那么肖老师给我们举一些具体的例子来帮助我们理解一下吧对 刚刚那个概念虽然我觉得这个点其实已经抓得比较准了但是还是需要一些例子来说明比如说西门子的这个数字软身它和谁合作过呢它和F1的红牛车队合作过
[00:05:46] 就是用这个技术来帮助F1车队来研发赛车的我们在第92期节目里面讲过红牛的体育帝国熟悉的朋友可能都知道红牛车队是现在F1里面最领先的车队遥遥领先是吧如果大家听过那期节目的话就有可能会记得一个小的细节不过我觉得那个细节还是蛮小的不定记得就是F1其实像很多的竞技体育一样它对于车队的财政投入它有很多的限制
[00:06:11] 因为这样的话就可以缩小大车队和小车队之间的差距能够尽量的保证竞争的公平对于车队来说它就是要想办法在一个有上限的一个比较低的预算之下来研发出比别人都好的赛车此外还有一个背景就是F1每年它对于赛车各方面的技术指标都会有限制的
[00:06:31] 这个余老师应该也比较熟悉比如说车尾什么空气动力学等等它会有一些要求甚至它在赛季当中都有可能会出些新的规定这个其实对每年赛车竞争力会影响很大那么车队就对于赛车的合规就有很多的要求也就是说你要用更低的成本更灵活的方式保证自己在一个合规的前提下以尽可能快的速度造出尽可能快的赛车对你看这要求很多既要又要
[00:06:59] 不可能对就是在这种既要又要的情况下面数字孪生就可以发挥作用了比如说这赛车的研发当中涉及到重要的一块就是设计和制造碳纤维的部件因为我们知道赛车上面很多都是碳纤维的过去碳纤维部件的设计制造是一个非常耗时的一个手工活就是手工活我以为这是什么3D打印就可以做到的东西结果还是手工吗就是要求很高因为它不是一个量产的东西有的时候过去都是要什么一层一层往上这边来操作的
[00:07:27] 既然是手工它这个操作必然就会有误差数字孪生的技术还有一些数字化的工具就是能让碳纤维的设计制造更加的标准化就是尽量的减少它手工当中的误差然后再加上它会有一些别的技术的辅助比如像激光投影设备等等的它就可以大大的降低造你一块碳纤维部件最后的误差值就是你实体和设计的误差值
[00:07:49] 这个准确度有可能过去是达不到的你现在以一个比较短的一个比较方便的方式就可以达到一个很高的准确度让你这个部件就一次研发一次生产就过了一遍过听上去是一个非常诱人的概念对这点非常重要其实这也是数字软身听上去非常大的一个价值后面我们是不是还会提到对还会提到的刚刚我们讲的这个价值其实就是提高精准度还有一个数字软身很重要的价值就是节约时间因为你可以在数字世界里面模拟一遍你就有很多现实当中你要测试的东西就减少了
[00:08:19] 比如说F1赛车当中有个部件它是从尾翼延伸到车头附近的一个大型的一个地板的一块造型的部件通过数字软身它的制造时间就能缩短四分之一比如说它有四个那种预固化的一个就是悬挂系统悬挂很重要用数字软身的技术可以让他们整个的时间节省24个小时等等等等的这些时间节省下来就可以返回给赛车的设计团队让他们有更多的时间去根据数据还有各方的反馈来改进设计
[00:08:47] 不然它大多时间都是用来试制对吧用来测试了那它现在可以更快的验证测试的话它就更多时间去迭代来升级设计这个赛车等于说是准确度更高了反攻也更少了那自然也就减少了很多不必要的中间的这个材料的浪费对那你减少了材料的浪费的话你也能满足财政的限制是这个其实也是为什么数字孪生现在在F1的赛车的研发当中非常的普及那另外一个比较类似的这个产品的例子就是
[00:09:14] 我没有讲到船那船呢它比赛车大得多但同样是一个超级复杂的机器那今年三月的话其实西门子就和英伟达他们宣布了一个合作项目然后共同的为一个著名的造船企业就是HD现代提供这个服务用数字孪生的方式来研发一个非常复杂的一个船型叫安动力和轻动力的船舶这个船本身是什么结构或者动力我不太了解但我看到一个数据说
[00:09:42] 这艘船有700万个零散的零部件对这个数字就是我们过去讲什么一辆车上有几万个部件什么感觉已经很多了700万个对于这样一个巨型的复杂的机器来说你有一个直观的逼真的实时的一个数字孪生的话就可以帮助工程师同样节约很多试错的时间过去有可能要花几天的一个连发流程的话现在有可能就要几个小时
[00:10:06] 那在刚才这两个例子里面时间听上去都是一个关键词但是我们仅仅说这些数字的话可能听友未必能理解为什么一定要这么强调时间和效率对就是你节省这些时间又怎么样呢又怎么样so what那我们再举一个国内例子大家可能就能get了这个例子的主角叫中信代卡他是一个全球领先的旅车轮制造商就是旅的车轮那过去几年呢他非常大胆进入了一个现在在汽车行业很火热的新领域
[00:10:33] 在这个过程当中数字孪生也发挥了很大的作用小老师给大家展开讲讲吧我觉得这个例子的话不仅能够帮大家理解数字孪生更加能够理解为什么这个时间或者是这个研发的周期在工业领域有可能是那么的重要那这个例子呢其实要说的话还是要先说起特斯拉因为这个确实目前来说特斯拉在很多方面都引领了汽车行业的技术创新那我们产品层面的话了解的比较多的像什么电动啊什么自动驾驶啊等等的
[00:11:00] 那在制造领域有一个很重要的部分就是它率先在汽车业力当中引入了大型的一体式压住技术就是说原本车上有很多这种比较精细的这个车身的部件它是一个个小的部件好了之后再把它比如说焊在一起组装起来对组装起来的那个大型的这个压住的话就是它把这一整块一次成型就一次压成一个大的部件就好了就不用拼在一起了那这个其实是会大大的降低汽车的研发周期还有制造的成本
[00:11:28] 因为你只要比如说一块铝进去了或者一块铝钢的合金进去了你啪一下一压结束了好了其实我们经常看到特斯拉经常能够降价或者它造车成本非常的能够压得下去这个制造的工艺其实帮助它还是蛮大的车厂如果要引入这个技术的话它就要引入一个叫做大型压住机的新的设备不然你怎么压这么大的东西压不出来对所以其实这几年国内很多车企都在迅速的跟进特斯拉潮流
[00:11:53] 那大型的高压压住机呢就一下子成为了新的一个汽车产业链里面的热点我们前面说中兴大卡本来是做旅车轮的嘛对他也做很多压制的那他现在就其实是想要做的就是汽车生产线上面这个大型的压住机这个东西没错那当时有一个背景的就是其实他的一些这个友商一些行业里边的同行都已经开始行动了那中兴大卡为了要抢占市场的话他就需要尽可能快的拿出产品为什么呢就是因为
[00:12:22] 这个大型压住机虽然只是一个产品但它这个需求量还是有限的对吧一般来说你想一条这个新生产线上面如果我选择了这个品牌这个压住机的话我不太可能就是过几年就换一个别人的大型设备一般来说以修为主不太可能就是直接换掉对吧就一个萝卜进去了它就站住了这个坑对而且就算这几年新能源车的这个发展是如火如荼的这个工厂也就这么几个对吧你不可能新建什么几百个几千个工厂的所以这个需求量也是
[00:12:49] 很有限的所以你一定要敢在这个热潮当中你要挤入这个市场不然的话你过了这一轮之后你有可能就是这个占有量就比较小了你这个事情就做不起来但是大型的压住机呢我们刚才讲到其实是一个非常复杂的一个机器就是它运行起来就是像就是如果你看过的话它就像一个封闭的一个铁盒铁皮盒子但是它不是铁的啊就是你这个原材料进去然后吧一压出来就是一个部件了就是你这个过程你很难从外面直观的看得到
[00:13:14] 那么在研发和运行的过程当中如果出现了问题其实你要测试和修正也会因为这个条件会变得相对比较困难一些就是我只能压一个看一个然后再压一个再看一下当然不是说你这个研发是这个盲人摸象你肯定还是有一些这个规律可循的有很多的这个测试的方式但是就是相对会比较复杂它里边的东西很复杂但是你外面看到的是一个很干净的一个盒子所以据我们了解就一些企业研发第一台这个设备的话有可能就要花两到三年的时间其实很长的
[00:13:42] 如果对中心代卡这样的公司来说如果别人都已经进来了他还再花两三年时间就可能有点慢了赶不上了对所以他当时定了一个目标就是要比两到三年这个数字短一半甚至是短更多所以说这个时候就是数字软身发挥作用的时刻了对其实他发挥作用的方式我们刚才已经讲到了就是让研发第一次就能够做对因为他所有的试错环节都在虚拟的环境当中模拟完成了也正因为此中心代卡就能够按照他的规划以非常快的速度
[00:14:10] 推出它的第一台大型的高压压柱机而且这个数字软身的价值其实不止于此因为压柱机就像刚才岳老讲的它不是造完了就好了它大量的价值是在后期这个长期的运营当中发挥出来的那数字软身还有一个很重要的点就是它可以实现远程的维修保养监测就比如说它可以提前的预估到你这个东西有可能有一些故障你要去维修了就不是它真的出了故障之后你再过去修就大大的降低了设备的使用成本因为对这些车厂这个生产线来说
[00:14:39] 我不是买了这个东西是它最主要的成本运行当中的成本也很重要这个其实都是能够大幅提升你自己这个产品面对客户的竞争力的另外在采访过程当中负责这个项目的西门子同事还告诉我们说面对大型高压压注机这么复杂的一个机械数字来说还有一个很神奇的功能就是营销对的就是过去如果你是一个造大型压注机的设备厂商你和汽车厂来推荐的话你只能做个PPT对吧然后在上面放个参数
[00:15:07] 说我们这个设备有哪些哪些好处成本怎么样怎么样好对的免费再给你压一次就差不多了这个可是免费不了免费不了是吗对对对但现在你可以直接的展现一个数字孪生给它看客户就能够非常直观的感受到它的效果然后对于你给的那些参数又有一个直观的理念这个其实对于B端的这个客户的推广有很大的作用现在我们看到数字孪生还有一些所谓增强现实技术在销售展示场景当中反而显得价值很大
[00:15:32] 比如说在兽楼处给你放个VR眼镜其实有点类似感觉对对对就是这个逻辑
[00:15:39] 刚才我们其实一口气举了三个产品的例子分别是F1赛车大型的船舶和大型的高压压驻机数字软身在他们的研发生产和运营过程中都发挥了作用其实数字软身当下在工业界还有一个实际的应用就是工厂这个厂本身的设计和建设毕竟工厂你本身可以理解为一个超级复杂的软硬件结合的一个系统这个其实是数字软身现在就真正比较流行的一个领域
[00:16:08] 而且工厂还有一个特点就是它不是建完就完的它长期运转的时间是最最长的而且它还要不断的更新它不是造完了就结束的也就是说工厂是一个有很长生命周期的一个大型的复杂系统这个就非常的匹配数字孪生能够产生的价值因为我们刚才讲到的数字孪生它不是一个静态的模型它能够模拟实时运行的状况所以就非常的适合我们这里就举一个工厂的例子来说明一下数字孪生能创造怎样的商业价值
[00:16:37] 这工厂是西门子自己的就是它的西门子数控南京有限公司这工厂在西门子集团内部有一个说法它是第一座原生数字化工厂什么意思就是它在破土动工之前就已经在虚拟的世界里面用西门子自己的软件完全的建造好了一个虚拟的工厂并且在真实世界的工厂完工运行之后数字软身还可以实时的和它交互管理
[00:17:01] 而且整套软件系统核心就是都是用西门子自己的所以是叫做原生的数字化工厂西门子既他甲方又当乙方对的对他自己给自己建了一个工业元宇宙的样板房对他就是这个目的那么这个从零开始数字软身工厂除了听上去很酷炫以外有什么实际的价值呢简而言之它就可以解决过去很多工厂设计和运营当中的一些痛点举一个最简单的例子
[00:17:26] 就是工厂设计当中有一个重点就是物流的动线就你厂里面有很多东西物料对吧你这些原料还有产品如何在各个区域之间移动其实是非常关乎到一个工厂的生产效率的过去的做法就是在软件上面它可以预先的设计好这个动线大家有些经验对吧工程师有些经验设计好的
[00:17:44] 但是就算你再有经验在实际运转当中总会有预想不到的一些堵点对这肯定会有堵点对或者一些效率不高的一些设计是那有了数字软身之后呢就很简单你就可以先让它在虚拟的工厂里面先跑起来嘛你跑起来之后再发现堵点你再修改就很简单但你最后造出来的时候实际开始造的时候你这个物流动线绝对已经是比较OK的了嗯这听起来还是一个所谓工业设计范畴的一个东西对我觉得这个还属于是比较直观好理解的那运营期间其实能做的更多
[00:18:13] 我们就举一个小小的例子就是柔性生产这个概念我相信如果对工业力了解的朋友的话对这个名词也不是很陌生简单而言就是说你最好现在一条生产线你能够生产不同款的一个产品今天能够造一个轿车明天能够造个SUV今天你能造一个西装明天造个衬衫这个其实过去几年是非常流行的一个概念那么做最显著的一个优势就是大大节省成本像西门子南京工厂它就是生产各种电机驱动器等等的工业产品
[00:18:42] 但是柔性生产你想想看就会知道它很考验
[00:19:10] 一小时甚至半小时这样一个精度但是这些事情如果没有数字孪生就做不到吗难道不可能靠伟大的人力提前都安排好吗这是大家精细的排产是吧理论上当然可以了对吧但是实际上如果你跑过一些工厂就知道了就算是你觉得很先进的一些工厂你纯靠人力来预测和计算的话还是蛮难的就是大多数工厂的运营管理真的做不到那么细我们说的都是一些就是已经很大的很规范的一些工厂了
[00:19:39] 如果是一些比较小型的工厂的话那你去看好了那个现场的管理就是更加比较随性的那它必然就会造成很多的产能浪费所以说数字软身其实是让这种精细化的生产或者精益生产更容易实现的一个工具对的那像西门子南京工厂它用了这个数字软身之后能体现出哪些效果呢我们直接看一些数字它相比于同类的普通工厂它的产能能够提升近两倍产品上市的时间能够缩短20%
[00:20:04] 物流周转的效率能够提升50%然后柔性生产的能力能够提升30%如果说有这些就是数据上的提升的话我觉得就不难理解西门子为什么会把自己的这个工厂作为一个数字软身样板的就是这类技术先在自己身上产生了效果了才能说服客户向来推广对其实他这个现在西门子的数字软身技术在很多他这个有名的一些工厂的客户当中都有广泛的应用其实我们采访当中了解到很多有名的名字我们不太能说
[00:20:33] 但可以透露一些比如说现在很火热的汽车动力电池的行业数字软身的介入就非常的深度其实很好理解就电池它这个产品首先是一个内部就非常复杂的一个产品因为里面有不停的就会有一些化学反应在其次它又是一个很讲究全生命周期管理的一个产品除了研发制造完了之后它还要使用使用完了之后还要回收对吧使用的过程当中还有安全的监测等等的这个其实就跟数字软身很对口
[00:20:58] 感觉上能把数字完成做得比较好公司一般而言都有两个特点第一个就是它得拥有完整的软硬件能力然后传感器软件都要有一些涉猎其次就是它本身要抖工业最好就是做工业的这个也能够解释为什么西门子会在这个领域里面生根
[00:21:16] 因为刚才这么多例子大家可能有一个感觉就是数字软身有一点像玩即时战略游戏你把一大堆新技术用在工厂上面然后去管理它模拟建造那实际上数字软身不是一个一劳永逸的事情要把这个技术用好还是非常需要人的力量比如说在南京工厂他们就建立了从上到下的一个数字软身相关的管理架构和激励机制
[00:21:41] 比如说工厂会设立一些工程师社区然后让不同部门的专业工程师都来学习这个数字软身工具把它用好对就是它不是一个系统或者一个游戏弄完了之后就结束的这点我觉得实际上是我采访当中非常重要的一个收获我们采访西门子南京工厂的相关负责人的时候他就讲了一句我印象很深的话他说数字软身它提供了大量的数据和能力这是一个富矿但是如果这些数字只是放在那里没有用来提升业务的话那就是暴殄天物
[00:22:10] 所以你一定要锻炼了工厂里边各个层级各个部门的工程师也好一线员工的使用数字软身的能力之后或者是有数字化的思维之后它才能够真正发挥它数字软身的作用也就是说数字的思维其实它的重要性一点都不比建造一套数字软身本身的系统这个价值要低对
[00:22:31] 前面我花了大量的精力讲数字孪生这一个概念它是目前工业元宇宙领域里面最显性也最为人所知的一套应用而在海量数据为基础的元宇宙里面还有一个重要的技术支持就是人工智能它也在工业界产生了很实际和很深远的影响现在大家比较关注多的用户端的AI产品给人感觉就是很有意思很好玩相较而言工业端的AI应用一般来说都是更脚踏实地目标明确的
[00:22:59] 对我们这边想举一个例子来就是给大家描述一下就是AI在工业界领域的那种画风例子的主角是食品工业里面的一个巨头就是一海嘉里这名字大家有可能不是那么的熟悉但是大家肯定知道金龙鱼没错就金龙鱼的母公司就是一海嘉里没有想到我们又一下子从复杂的机器领域进入了农广天地环节还是到了农广天地所以还是给大家展开讲讲说西门子的这个所谓的AI技术是怎么帮助到食品工业的
[00:23:28] 这个例子具体的一个领域是一海家里旗下的玉米淀粉生产线玉米淀粉家里还是蛮常用的对还是蛮常用的一个调味料对吧也是其实是很多别的一些食品的一个重要的加工的原料那这个行业我们一句话来说它目前国内的竞争现状就是产能过剩利润很薄竞争激烈就是很卷对就是很卷那这种行业里面的竞争者大家共同的一个追求其实很好理解就是他要寻找到
[00:23:57] 成本和品质中间的最优解在玉米淀粉的生产当中其实成本和品质有一个重要的核心的关键点就是控制玉米淀粉的水分这个水分不是一个比喻就是literary就是玉米淀粉里面的含水量是这个水分一包玉米淀粉里面其实多多少少你想它是粉它会吸入一点水的对吧国家对此其实有一个标准就是水分的重量的占比要低于14%才算达标
[00:24:26] 感觉比较好理解这不然你这个淀粉都变潮结块甚至变成糊糊了这个没法用了对吧这很好理解那这个标准呢其实是经过严格的测试和这个验证的那你含水量太高的话就像刚刚月老师说的你会变质你会这个结块保质剂会变短的而含水量太低了呢其实也不好含水量太低也不好吗对因为如果玉米淀粉的含水量太低的话
[00:24:49] 一方面它会影响产品的延展性还有发酵性等等它的品质和口感会下降的另外一方面从工业生产角度它还会影响产能这个怎么影响呢这边就有个概念就叫出粉率就是你同样的一吨的原材料进去了之后最终能生产出多少公斤的玉米淀粉这个概念就叫出粉率我们知道淀粉的产量或者它最后卖出去的计价单位是按照重量来计算的
[00:25:17] 但如果你想想看如果这个玉米淀粉里面的水分被你过分的蒸发降低的话但其实最后这个淀粉的重量也相应的减少了它的猪粉量就降低了过高和过低都不是很好的状态没错而且另外还有一点刚刚没讲就是这个含水量就比如你要把这个玉米淀粉里面的含水量降低的话你要怎么办呢你要烘干它你要用热能把这个水分带走你要消耗热能这个其实也在生产过程当中是一个要消耗能量要消耗成本的一个部分
[00:25:44] 所以说最理想的状态就是我生出来出来这个玉米淀粉的含水量是略略低于这个标准值而且要保证它是一个稳定的略略低于的这个标准没错稳定这个点也非常的重要就是如果你今天这个产品今天很高明天很低的话你对你下游的这个你的客户来说也是很不满意的那所以说这个厂家到底要怎么控制这个水分呢说来就是过去在这个产线里边这件事情主要就是靠老师傅的手感
[00:26:11] 啊没错就是玉米淀粉的这个生产线后端它是有一个自动的一个水分监测仪的那么老师会呢就会根据这个数值还有他的经验来微调这个产线前端的一些参数比如说你净料要不要多一点少一点啊等等的这样就可以控制这个水分但是它具体比如说你看到那个数值然后看到现在这个情况你在前端到底要调多少呢这个know how就很难写在纸上也很难变成一个自动化的程序就是他的一个经验
[00:26:38] 为什么就是他已经知道怎么做为什么这个东西还是没有办法自动化的对就是如果照道理来说的话就是应该你这个参数变了我这个参数应该变多少应该写这个程序应该写成一个SOP就直接让他去改就好了对就是因为玉米淀粉这个产线它有一些特点第一个就是它的实质很大再说哪两个字时间的实质后的质OK就是这个水分监测以上的数值是在这个产线的后端的但你调控那些净料量等等这些参数的位置是在产生的前端的
[00:27:06] 当中是有一段这个时间差的所以你就没有办法做到实时的调控就你看到的这个数字并不是现在下的那些料里面那个水分的数字上一批料造成的一个问题等于说你现在去再根据后端的数值去调前端的东西是有点刻舟求舰那个效果对如果你直接根据它那个现在高了你就把它比如说前面参数调低一点的话你就是刻舟求舰你要倒推回去自己有一个就是推论就是你前面应该会变成怎么样好复杂对很复杂第二个点就是说
[00:27:34] 在这个产线里面它影响最终这个含水量的变量呢其实非常非常多第三点的话就是这些变量啊它互相交产在一起它不是一个线性的过程就是这个玉米淀粉比如说一些料进去它有很多的工序同时在进行不像是一个车起就比如说一个车的一个产线对吧我现在这个零部件我装个轮胎一会儿我装个玻璃一会儿我装个这个方向盘等等的反正是玻璃有问题是你玻璃那个工序对我一步步来的我很清楚它是
[00:27:59] 一堆流程一起在搞的就是意味着你就很难得出一个很准确的公式比如说你改某个参数就能让水分有多少的变化所以它有可能是好几十地方要同时做一点点微调对甚至是这些参数会互相影响的这也是为什么它没有办法用传统的自动化或者写成一个标准的SOP来把这个know-how固定下来
[00:28:18] 当然啊就是理论上其实有个办法可以解决就是你在产线的每个环节上面都有一个水分的监测仪测这个水分那你不是可以实时调了吗对啊听上去是可以这样来说但是一个水分监测仪这个有可能就要二三十万元这么贵吗对所以你就是成本上面你为了这一件事情你装这么多仪器实际上也是不太可能的还是三十万雇一个人是吧就是还需要一个就是
[00:28:41] 有那种说不清道不明但是经验很丰富的一个老师傅对没错感觉是一种真正的人工智能真人工智能对吧但这个问题就在于这边就是这种智能
[00:29:10] 某某总你人脉多能不能帮忙介绍一个合适的人选所以说不是问他要方案的是问他要人的希望他推荐一点你开始要推荐人的但这位客户经理他的思路就非常的灵活他就想到说之前西门子的AI团队他曾经在光伏行业里边解决过一个类似的问题
[00:29:26] 光伏行业和玉米淀粉听上去扒杆子打不着甚至不是一类东西一个是硅基一个是碳基笑死了但是光伏行业它就有一个环节就是单金硅的培育这个过程其实有点像农业种植的这个过程当中也有很多不确定的因素互相交织的参数然后它也不是一个线性的流水线它其实蛮像的跟玉米淀粉但它最后的效果也要是稳定的可预测的在那个项目里面AI团队其实就帮他用模型来做了一些最后效果的预测
[00:29:55] 和稳定最后使得它培育出了单晶硅的品质是能够比较一致的这个客户经理就想到了这件事情好像跟玉米淀粉逻辑上有点类似的他就大胆的建议了一海家里说你也别找人了
[00:30:07] 你要么试试人工智能放弃探机人工智能试试真正的归基人工智能没想到这个一海家里这个高管我感觉他们也是非常敢于尝新的就要我你想的这个跳的也太远了吧但他真的就是支持了这个设想然后他们就达成了合作然后西门子的AI团队呢他就花了几个月时间真的有效的解决这个问题现在大家对于AI大模型应该都蛮了解了嘛就他们其实做的这个逻辑是很简单的就通过采集产线上的数据然后训练这个模型让他给喂给他然后能够使得他抹平那个时间差
[00:30:36] 最后就可以预测就比如说我投入原材料之后最后的水分大致是多少那么通过这个反过来这个能够倒推当下我应该投多少的这个原材料的量来控制这个水分等于说AI是一定程度上把这个很复杂的一个函数给解出来对就是本来在老师傅脑中的混沌的东西现在反正在AI里边也是混沌的那它也能够稳定的复制解决掉那另外从商业上来讲这样一个方案还有很好的一个特点就是它不需要很多的硬件投入这产线还是个产线
[00:31:03] 因为我前面硬件操作的东西只是来调一两个参数的嘛那个控制的单元本来就是有的所以呢成本上面也非常可控所以西门子其实这一次是一共改造了四条玉米淀粉的生产线最后达到效果是什么呢就一年就为这个工厂让他能够多生产数百吨的玉米淀粉然后再加上节省的能源呢一年的这个增值收益只能够达到百万级哦这个效果还是蛮明显的就恐怕一凯家里在一开始去让他帮忙找车间主任的时候肯定没想过有这么大的一个改善
[00:31:32] 顺着这个案例一个非常容易想到的一个思路就是什么呢这个AI模型其实是可以在很多的产线里面附用的对吧简单来说如果是变量比较多比较复杂比较混沌的那种非线性系统其实都可以用AI的学习和预测能力来做这些事情我们就举食品行业的一些例子比如说牛奶行业里面你要控制蛋白质的含量对吧对还有比如说饲料行业里面有个重要的动物饲料叫彭化大豆粉
[00:31:57] 当中它有一些蛋白质还有氨基酸等等的这些指标它其实都是非常影响最后饲料的喂养的效果的你要调控它的话其实也有很多的讲究这些过去其实都是要靠经验它生产的过程当中都要靠那些类似于老师傅经验来保持它出品的稳定的现在AI都可以派上用场让整个流程更加标准化
[00:32:18] 按照这个逻辑的话其实不单单是食品行业了凡是符合我们刚才讲的一种非线性的混沌的生产流程其实AI都可以应用进来因为它本质上就是能够建立起过去那种很难描述或者很难建立因果关系那个函数的一个工作因为工业生产它有一个永恒的目标就是精益生产精确控制就是让它更加能够可预知那么AI在这个方面的应用场景只会越来越多其实你再想想这件事情其实不单单是在工厂了
[00:32:45] 在很多领域这个思路都是能够附用用来提升效率的比如说西门子这两年还和国家电网旗下的一个叫环球供电中心来合作他们一起来建造了一个新的供电中心的营业厅营业厅也要再建一遍吗这个营业厅我觉得也比较像一个样板工程就是比较像一个样板间的那它是什么样板间的它是新一代能源体系的一个小的样板
[00:33:10] 这个营业厅它有自己的光伏发电的设备这很好理解还有自己的储能设备然后它还有现在很重要的就是像新能源车的充电桩等等的它等于是一个微电网的概念对的它这个目的就是一定程度上能够实现自己自足甚至能够通过充放电然后与电网互联能够降低自己用电的成本这个当中到底最后能够降低多少的成本能够提升多少的用电效率呢
[00:33:34] 就看你自己微电网里面光伏的发电还有你自己的储能它调动是怎么样的你什么时候储到储能的系统里面来什么时候放给那些充电的设备等等的因为你不同时期的电价等等的这些其实都有变化的这个时候就AI也可以出场它就可以通过学习天气的数据因为天气跟光伏发电的效率是有关系的然后还有可以学习电网的数据电网的架构等等的然后能够优化整个营业厅的一个充放电的效率
[00:34:03] 本来就用来节电的系统能够更加高效真正能够发挥它的作用等于还是预测诊断优化逻辑而且这套系统你处理的规模越大比如说你光伏发电的规模越大储能的规模越大用电的规模也越大的话它能发挥的空间就越多等于说它未来有可能不是为了这一个营业厅来设计的它有可能是可以覆盖一个区域性甚至更大范围一个电网博销老师你刚才讲的这些都好像是属于单独的那种AI模型对于工业界提升
[00:34:30] 但是它跟我们前面讲的数字孪生是就是割裂的两个概念吗还是说它还能有些结合对就是我们之前提了工业元宇宙这个大的概念然后把这两个技术放在里边的话它们互相还是会有一些关联的首先就是数字孪生里面必然会用到广义的人工智能技术不然你怎么来做所谓的实际运营的模拟呢这个其实很好理解的就实际上我们前面举的传播的例子里面就是西门子和英伟达的合作里面
