Vol.04 各种“破产”到底有什么区别
[00:18:58] 很多这样的公司都是通过破产重整来获得新生的比如说克莱斯勒或者漫威达美航空科达这些都是很成功的案例甚至有很多公司其实是在经历这个大破大立的过程之后找到了新的发展方向比如说漫威如果他不是因为破产他有可能就不会下定决心从一个卖漫画书赚钱的公司变成了一个以拍电影为主的公司
[00:19:25] 科达也不会从一个已经快被遗忘的一个很小的胶卷厂变成了一个高附加值的医药公司开始卖新的概念刚才我们讨论很多公司破产那实际上在美国或者是在全世界范围内的话还有一些别的破产比如说个人破产个人破产我们可能最近听到的最著名的案例就是贾跃亭先生
[00:19:51] 贾跃亭他其实生意分成两个部分一部分是他在中国办的乐视公司另一部分是在美国的法拉第蔚来也就是FF是一个做电动车的创业公司他在中国的时候为乐视旗下的很多公司都担保了债务然后他不是出了问题吗出了问题以后为了还贷款他的存款房产股权之类的东西都已经被冻结了
[00:20:17] 甚至有些已经被拍卖处置掉了就是为了还债但是他现在逃去美国了嘛逃去美国以后大家发现他还是欠了很多人很多债他目前的话欠超过150个债权人超过20亿美元的债务他手上有什么呢他手上只有FF的股权和收益权了最后呢贾跃亭他是在美国经过法院的同意他宣布了个人破产
[00:20:42] 具体而言就是他把他手上比较值钱的那些FF的股权还有收益权转到了一个信托来管理这就意味着他已经不是FF的股东了未来这部分股权如果能赚到钱的话都是用来支付他的债务让他来还钱的就是在个人破产的过程中其实就解决了FF独立去融资或者说后来的借客上市的一些痛点
[00:21:09] 简单的来说就是让这个欠债的这个老赖个人和这家创业公司割离开来然后那家公司还能想办法去做大赚钱然后也能让他有机会还更多人的钱所以说我们现在去讨论FF到底怎么样的时候其实我们应该适当的把它和贾跃亭切割开来
[00:21:32] 贾跃亭实施的个人破产的这个思路呢目前在中国的话是没有正式的在法律上面得到许可的但是中国在很多城市或者地区都在做类似的试点这本质上是因为中国过去有很多替公司背了债务的企业家因为他们理不清楚自己个人的债务和公司债务之间的关系然后目前也没有很好的制度能够救济到这些企业家
[00:21:59] 中国的企业家很容易出现跑路或者逃避甚至说一死了之的处置手段这个实际上不太好说穿了就是这个市场经济的法律
[00:22:26] 除了公司和个人的破产以外国家也能破产比如金融危机之后很依赖金融的冰岛还有欧债危机的时候的希腊都宣布过国家破产冰岛可能大家还有印象就是这个国家本来只是打鱼的但是打着打着鱼就觉得打鱼不是很赚钱于是就去搞金融然后把这个国家的杠杆率搞得非常高在金融危机当中就一下就破产了
[00:22:55] 不过国家破产的话实际上它更接近一种信誉的惩罚毕竟一个主权国的领土和资产都是受保护的你不能随便的跑到这个国家说你把你的土地割一块给我就还债了这个事情是不可能的放在什么战国时期有可能我们还听到过这种类似的操作但是在现代的国家体系里面好像不太能这么做但是宣告破产之后这些国家的信誉评级可能会降低那就会影响到他发国债对吧
[00:23:22] 也可能引发外商的撤资这个国家也许有一段时间它的通货膨胀率会到一个非常高的阶段相关的国民的生活也会受到影响而且最重要的是这些国家破产以后他们的债一点也不会被免除只是外面会允许他们一边复苏经济一边慢慢地把这些债都还上
[00:23:43] 讲了这么多给大家总结一下简单的来说就是破产这个词它不等于失败所以申请破产也不是一个公司个人或者国家的终点
[00:23:54] 有时候一个业务状况挺好的公司只是暂时的陷入了一些财务的危机它通过这个破产重整也许就能够获得新生那我们看到各个市场的一些法律其实也是规定了这样的一个机制给这些公司一个机会但是另一方面呢我们也要考虑一下就是破产制度的保护范围的话其实它不是一个万能的保护罩
[00:24:20] 它从根本上面其实很难解决公司自身的问题比如说公司的老化或者管理层的决策失误或者是劳资矛盾这些都是经营方面的深层问题简单来说法律上的各种破产程序能够防止事情朝着更坏的方向去发展但是并不能解决这个公司最根本的问题但是于市场的问题很多时候还是要在市场中才能被最好的解决商业就是这样
[00:24:53] 下期见
