Vol.57 人类如何消灭传染病？
[00:03:06] 没错而且不止如此啊就是消灭天花整个项目的推进其实也包含了很多经济层面的因素和考量所以我们这一期就以这篇论文为基础再找了一些资料来给大家讲一讲人类是怎么消灭传染病的
[00:03:20] 首先肖老师要么还是从医学的角度简单科普一下天花这个病以及根治天花这个事情吧毕竟大家可能现在对天花都不是很熟悉的呀好呀其实像我们这个年龄的朋友的话其实应该从小都没有接触过天花这件事情如果一句话总结的话天花就是人类历史上最古老然后危害最大的一个传染病
[00:03:42] 先说古老这个点啊就是三千多年前的古埃及法老就得过天花然后历史上许多著名的人物都是天花的患者就这个病是不分这个高低贵贱就所有人都会得可以说整个人类的这个文明史都是笼罩在天花的阴影下面然后再说危险我们前面不是说他被列入这个甲类传染病吗就不是没有道理的就是他的这个传染性和毒性都非常的强
[00:04:05] 这个天花是这个天花的病毒通过空气传播让人得的病而且它很容易人传人致死率也非常的高像各类天花的这个平均的致死率大概是30%而恶性的天花病毒它这个致死率是超过95%了
[00:04:19] 有一个成语叫九死一生这个恶性天花就是十九死一生了有道理啊真的是十九死一生而且关键这个病啊他很讨厌的就是他很容易感染婴幼儿所以这个始终是人类社会的一个重大的威胁你想有很多小孩刚出生就夭折嘛是很讨厌的一件事情但是人类呢也很早就有了一些对付天花的办法最早的然后也最常见的就是接种这个人痘天花的一个一大症状就是全身长那种红色的泡疹嘛就是那种
[00:04:46] 后来人们就发现啊把这个豆结成的夹把它取下来磨成粉然后涂在健康人的身上或者是搓进健康人的皮肤里边这样呢这个健康的人也会得天花但是如果他挺过去了就有了这个终身的免疫力
[00:05:00] 不过这个方法很危险啊就是有不小的概率是这个人接受了这个人动之后没有顶住然后就死亡了这个是把人生生在死亡边缘上面按来按去对真的是死亡边缘试探但是有的时候你有可能某个地区天花传得非常厉害的时候人家没办法采用这种方式但是后来在1796年的时候有一位英国的医生叫爱德华詹纳他就发明了一个新办法就是种牛豆
[00:05:23] 其实整个方法和人痘差不多但是呢这个素材改成了牛身上长的这个炮症或者说痘这个牛痘这个病是发在牛身上的它类似于天花但是呢人如果感染上了的话不会致死之后它也会对天花产生免疫力等于是解决了那个在危险边缘摩擦的问题那相当于有了一个更加好用就是对人的杀伤力更低更有效的一个新的武器了
[00:05:47] 对的就是等于像疫苗一样可以实现预防了那有了这个武器之后呢当时的人们就觉得消灭天花是指日可待了那像1806年的时候时任的美国总统这个托马斯杰夫逊也是很有名的他就给詹娜写了一封信里面就信心大半的说未来各国只有从历史中才会知道天花这种可怕的顽疾曾经存在过
[00:06:09] 但是实际上就是人类真正实现这个JF信这个目标要等到1980年其实离我们很近对吧就当年世界卫生组织才正式的宣布天花根治计划这个计划在英文简称是SEP这个计划正式的完成了然后天花被消灭了刚刚出现了一个全新的名词SEP感觉是个重点没错正是因为这个SEP这个计划的成功实施才实现了100多年前占据了这个目标
[00:06:37] 这个计划呢就是由苏联的卫生部副部长他叫日丹诺夫他在1958年的世界卫生大会上提出来的这世界卫生大会是世卫组织就是WHO每年的一个最高的决策会议然后到了第二年的时候就1959年世卫组织就正式成立了一个SEP的项目组那就有意思为什么当时是苏联要提这个计划呢这个我们就分几个方面来展开讲讲啊
[00:07:02] 就首先是当时的这个冷战的背景就二战之后大家都知道美苏冷战嘛就在1949年的时候因为各种各样的原因苏联啊还有统一阵营的一些尤其是东欧国家就退出了世界卫生组织
[00:07:14] 但是其实整个冷战的期间两大阵营也不是一天到晚就是剑拔弩撞针锋相对的也有相对缓和的时候所以说1958年的时候就是苏联想要缓和缓和了对的所以他就推了这么一个计划那为什么他要提的是根治天花这个目标呢第一个就是可行性比较高因为当时很多国家已经消灭或者说是接近消灭天花了包括新中国最后一例天花的病例也就是在1959年发现的
[00:07:43] 那个时候天花的大规模的疫苗接种已经在很多地方普及了而且人类有了很多的技术能够让疫苗很方便的大规模生产大规模运输大规模的接种这个也很重要我们后面还会提到而当时还有一些国家或者一些地区没有控制住天花的主要是一些缺乏疫苗接种的亚非地区
[00:08:02] 那这些地区只要有人能够帮助他们完成一个高水平的接种的话其实也能一样能够消灭天花所以这个目标还是比较能实现的也就是说从当时的人类的状况上面来说已经消灭天花已经进入到了一个所谓收尾阶段只要你能接种天花疫苗就能把天花消灭对吧对的但是这个行白理者半九十嘛就其实整个二十世纪天花仍然是至少杀死了三亿人就算是这个收尾阶段也往往都是最难的一个阶段
[00:08:30] 说回来苏联提出这个想法的第二个原因就是它自己有能力来挑逗做这个事情苏联那个时候一直在疫苗生产和接种上面投入很多疫苗的工业很发达而且天花的疫苗尤其是一个重点苏联是在1930年代就已经彻底消灭了这个疾病
[00:08:46] 你前面不是说很多历史上的著名人物都得过天花吗我觉得这个里面是不是也包含斯大林对这斯大林也是个很著名的天花的一个感染者而且确实看到过一些说法就他本人的这个经历确实与苏联在这个疫苗防治上面的这个大力的投入是有关的
[00:09:02] 当然1958年的时候已经是赫鲁晓夫的时代了当时刚才我们提到这位卫生部的副部长日丹诺夫就说我们苏联这边是有充足的疫苗产能每年可以生产2500万剂次的天花疫苗如果不够的话我们的产量也可以提升到一亿剂次也没问题反正只要投入努力我相信三年就可以消灭天花的
[00:09:22] 到底是计划经济力量大那么如果说苏联内部的话可以解决这个问题那他为什么要挑头在全世界做这个事情呢全世界别的地方跟他的制度又不一样呀好问题啊就一个肯定是为了展现自己这个所谓超级大国的影响力啊或者是这个国际的这个责任感要帮助第三世界人民嘛而且确实许多天花流行的地区也很欢迎这样一个计划其实也不难理解就是对一个想要正常的发展一个社会来说提升
[00:09:51] 所谓新生儿的存活率或者婴儿的存活率是一个很重要的基础前面我们也提到就是天花对于婴儿的这个危害是很大的而如果没有这个基础的话整个社会的教育水平包括人口水平都很难提升那经济发展其实也很难稳定下来
[00:10:06] 有道理的就另外一个呢就是提这个消灭天花这件事情对苏联自己也是有好处的虽然是冷战时期啊但其实那个时候全球化的程度还是越来越高的或者说国与国的这个交流还是很频繁的那这个对于防疫来说总归不是个很好的消息因为你在传染病的这个威胁之下就很难以独善其身嘛你旁边的国家天花还在一直在传那你自己这边就算消灭了也没用还得每年保持那么多新生儿的一个天花疫苗的接种
[00:10:34] 那你每年要生产那么多疫苗还要有整个卫生体系来确保接种还有一些隐形的一些成本比如说海关的检查医疗的救治等等还是很花钱也很花人力物力的像世卫组织就做过一个很保守的估计在消灭天花之前全球每年花在预防天花上的钱是超过一亿美元的这个是在上世纪八十年代之前的事情这个一亿美元
[00:10:57] 那时候美元还是很值钱的所以真的是很大一笔钱对很大一笔钱所以简单总结一下苏联当时提出根治天花这个目标第一个还是因为这个事情可行性很高第二是因为苏联有疫苗的大规模生产的基础第二是他挑头做这个事情能够提高整个国家的威望第四就是说消灭了天花这个疾病的话
[00:11:18] 苏联在经济上面也可以节省很多人才物力因为全球化背景下的疫情防控呢确实很难独善其身岳老师的总结很到位了总之这个SEP计划看上去还是挺共赢的而且属于那种立刻马上就应该开始的计划毕竟能够拯救那么多生命嘛但实际上情况是这个项目在初期啊是很不受世卫组织的重视的每年的经费呢就十来万美元
[00:11:42] 而且在世界卫生组织这个总部瑞内瓦只有一名全职员工然后呢在全球还有一些观察员啊之类的一共就五个人而苏联呢只能自己管自己就单方面的给一些国家来去捐赠一些疫苗那这个效果就肯定达不到他最初设想的那个根治的目标那这种情况其实是一直持续到了1966年
[00:12:03] 这来说是个很好的事情1966年之前为什么这个所谓的消灭天花的计划这么不受重视呢很简单一句话就是美国对这个事情不感兴趣大家都知道就世卫组织成立以来美国长期是一个出资最多的国家就一方面世卫组织有一笔固定的汇费就根据各国的财富状况和人口计算得来的那这部分本来美国就是最多同时呢更多的部分是各个国家地区和组织的一些资源的捐款
[00:12:31] 这个部分美国也是最多的像2019年美国仍然提供了世卫组织22.5%的经费在1950年代的时候这个比例就更高了那作为世卫组织这个大股东就打引号大股东啊如果美国不感兴趣的项目世卫组织是很难予以重视的
[00:12:48] 那就继续问了美国为什么对于根治天花这个这么重要的事情不感兴趣呢因为当时美国有一个自己的传染病根除计划只不过对象不是天花是瘧疾合着根除的不是他想根除那个东西了瘧疾我们也很熟悉的呀就是土悠悠当时获诺贝尔森理获医学奖的时候就是因为他研制了一种能够治疗瘧疾的氢酵素对的对的就美国在1950年的时候就主推了一个根除瘧疾的项目
[00:13:16] 它的一些主观的原因和苏联比较类似就是这个病危害很大尤其是在第三世界流行如果能够根除的话于人于己都是好事等等的就我们前面都提到过那些但那个时候呢社会组织的主要资源也都在这个项目上面根除了天花的这个计划呢就相对靠边站了那我就有个问题了那为什么苏联不能自己单干呢你前面也说了就是他到1966年之前好像一直是自顾自在退这个事情的那他反正疫苗也供应得不上那他干脆单干呗
[00:13:43] 这个点还是蛮重要的就是在全球各国接种疫苗是一个很复杂的工程生产疫苗只是其中的一环之后你还有很多事情要做你需要一个国际组织来和各国政府去打交道协调各种事务因为公共卫生也是各国内政的一个重要部分你一个单格的国家去跟别人去谈肯定没有办法协调那么多事情
[00:14:04] 感觉这个事情有点类似于所谓的国际贸易因为许多生产商都需要代理商或者说运输的环节来帮你把产品在全球落地我想疫苗接种也是差不多的吧的确是有点这种感觉这个比喻我感觉还是蛮贴切的说回这个天花这件事情
[00:14:20] 他到了1960年的时候呢情况就出现了一些变化就是这个根除瘧疾的项目就是美国主推这个项目基本上失败了为什么是不是因为美国发现没有办法根除蚊子所以没办法根除瘧疾说的非常到位啊就是这个原因大家都知道就是瘧疾这个病啊是通过蚊子携带这个瘧疾的一些病毒来传播的所以美国这个根除疾的话原本的思路就是把这些蚊子消灭就可以了
[00:14:47] 然后它主要的武器就是DDTDDT大家可能也都听说过是一种臭名昭著的杀虫剂不光杀蚊子也杀人对对对在1950年代的时候DDT还被认为是一种很高效的杀虫剂而且危害也不是很大危害不大对对对最后事实证明完全相反首先在杀虫方面它一开始是挺高效的但是传播瘧疾的这种蚊子它逐渐适应了DDT它耐药了你杀不完它
[00:15:15] 另外一方面呢这沙虫剂本身的危害也被逐渐发现了就是它会迫害生态的环境然后让很多动植物灭亡像鸟类啊等等的1962年的时候Rachel Carson就写了一本名著就是寂静的春天吧就是来揭发和批判这个DDT滥用导致的各种环境问题引发了美国乃至全球对于这个沙虫剂的这个关注DDT呢就被逐渐限制使用了那你用这个东西来消灭瘧疾就更加谈不上了相当于他们当时找到的唯一
[00:15:43] 可以用的武器就突然也不能用了对吧对就是武器没有了说到这里边还涉及到一个人类想要根除传染病的先决条件就是你这个传染病必须是单纯的人传人的病就只有这样你才能够通过打疫苗管住人这个渠道然后把这个病扼杀住天花就是这样一个特征它是人类特有的病而只在人当中传播而且它的疫苗是终身有效的反过来如果一个病它的这个病原体也在别的动植物这边传播那就很难控制了嘛
[00:16:12] 其实瘧疾就属于这种嘛因为它主要是通过蚊子传播的大家想一下蚊子的数量级要比人类多好几个数量级是吧这个怎么消灭呢是啊其实像现在每年还有上亿人要感染瘧疾嘛就虽然现在大家会做很多事情还是来控制瘧疾但是要根除它是非常困难的另外一方面就说回1960年代啊这美国这个计划推行不下去呢还有一个原因就是它开始打越战了大家也知道这个越战呢使得美国在第三世界的这个威望是大大的受损了
[00:16:39] 所以他当时转头去支持苏联这个计划可能也是想修复一下自己的威望了对的就是他自己的计划推行不下去之后呢他就想跟苏联一起根治天花也挺不错的所以到了1965年的时候时任的美国总统约翰逊他就发表了一个著名的演讲他就说根除天花这个目标非常好我们很支持然后愿意和所有的国家一起合作那就是意思上就是包括苏联了嘛然后到了1966年的时候
[00:17:07] 世卫组织就成立了一个更正式的专门的组织来领导这个SEP计划并且聘请了美国的一位传染病的专家叫亨特森来担任这个负责人这个世卫组织到底是美国主导下的世卫组织这个苏联人提出的项目最后还是由美国的科学家领导的就是说呀而且苏联人确实一开始对这个点很不爽
[00:17:29] 亨特森本人呢也觉得这个位置不太好做所以他在项目刚刚开始的时候就正好又要开这个世界卫生大会了嘛他就坠坠不安的去和苏联人搭话那到苏联的代表就说亨特森啊你不要怕就我们已经审查过你了我们相信你是一个诚实的品质良好的科学家你的目的就是为了消灭天花所以我们会全力支持你的这个亨特森应该心情非常复杂这个一方面对方支持了你你应该高兴但是
[00:17:56] 人家在支持你之前先把你从头到尾审查了一遍也是有点怕怕的是啊但是总之一个根治天花的实际的行动框架
[00:18:25] 就过了三年经过各种的验证确认就到1980年的时候世卫组织就宣布天花被消灭全球仅有美国和苏联就现在是俄罗斯的两个实验室里面还保留着天花病毒
[00:18:38] 薛老师等一等啊你怎么一下子就快进到结尾了这个中间十年里面就没有过什么波折吗确实整体来说是比较顺利的就当然啊就像跨国公司的业务要本地化需要做很多具体的工作一样的就跟除天花的目标能够在各国顺利的实施除了我们前面讲到这个超级大国合作框架以外还是需要很多具体的努力的要么我们还是简单说一两个吧
[00:19:02] 第一个是技术我们前面讲过就大范围的这个疫苗的接种不是你疫苗造出来就好了的它的生产储存运输和接种就一定要能够满足这个大规模的这个要求天花这个疫苗之所以能够做到这一点就是因为它经过多年的这个发展啊在这方面有完整的一个技术储备首先它的这个疫苗已经进步了很多代在苏联那个时期它已经造的是一种冷冻干燥疫苗就是冻干疫苗它的好处呢就是便于储藏便于运输
[00:19:30] 而且很重要一点就是耐高温耐高温也非常重要因为我们前面也提到当时世界上可能还有流行天花的地方就是亚非地区可能都是一些比较炎热的地区这个都是所谓天花消灭的重点地区了对对对另外一个很重要的技术是接种方面的技术就他们采用了一个叫做双头针或者分叉针的这样一个东西
[00:19:52] 它就像一个很小的一个叉子啊这叉子当中有一个空隙嘛这个空隙正好可以加注一个剂量的冷冻干燥的这天花疫苗然后你把这个双头针戳进人的皮肤里边就完成接种了关键是这个小叉子啊制造起来也很方便还能够重复的利用你只要火烤烧消毒然后就可以了
[00:20:10] 这个冷冻干燥的疫苗加上双头针就使得天花的接种计划能够在一些农村甚至野外能够顺利的开展下来变得非常可行了不然你每次接种一下天花疫苗还要像我们现在做核酸检测一样带这么多设备这个肯定是不行的对对对而且你想在需要接种的地方客观条件还会艰苦很多真的是很困难这个就是我们讲的第一个点就是技术
[00:20:34] 第二个点就是本地化或者说和当地人打交调的艺术这个也是非常重要的因为很多地区的居民或者说当地传统文化是非常排斥疫苗这个事情的这一点相信前段时间大家也都有感受这个时候就需要具体的操作人员有很多的技巧要刚柔相济才能达到目标刚柔相济
[00:20:57] 真的真的就我看到这个论文里面就写到有哪些办法有的是反复的劝说有的是直接发钱就发报酬让你打疫苗还有不行的那就他就会动用一些强制的力量甚至军队强迫你去接种柔的办法呢也是有的就是这个一些工作人员他会反过来和当地的一些传统的力量包括一些宗教的力量来合作我这边引用一段论文里面的话就很有意思
[00:21:20] 他说,在西非的一些地区,SEP的项目人员要同古老的天花神灵的巫师们合作,而在印度,项目组则需与印度天花女神及与之相关的一系列仪式打交道。在阿富汗乡间,SEP的疫苗工作者得绕开门在女子与孩童脸上的薄纱,小心翼翼地接种。
[00:21:44] 这些都属于非常细致的本地化knowhow了接种之前还要做个法是吧对对对接种前做个法真的是这样总之是在这样的具体的努力下面到了1980年这个天花这件事情就被解决了而且呢世卫组织也发布了一份详细的报告我在里面看到就是从1967年开始到1980年整个项目总共是花费了3.13亿美元其中美国苏联和瑞典是出资最多的三个国家
[00:22:13] 美国肯定是最大头了然后整个项目一共接种了1.79亿次的疫苗苏联就提供了其中的1.5亿剂次十几年当中这个消耗或者这个耗费还是很巨大的但是这个收益我们仅算这个钱的收益也是很大的就根据世卫组织的一个估计在根除天花之后每年全球可以节省10亿美元的开支
[00:22:35] 总结一下这个项目就是两个超级大国完成了资源互补然后专家领导团队具体做一些推进的工作在全世界挽救了很多生命然后最后也有一些经济效益提下来确实是一个很难得的成功案例是的然后这个项目也提升了世卫组织的威望在此之后他也乘胜追击就推出了一个叫GPEI的一个项目就是全球根除脊髓灰质炎的一个计划
[00:23:03] 脊髓灰之炎就是俗称的小儿麻痹症对吧这其实也是一个非常严重而且对于婴儿来说非常危险的疾病了是的所以也很好理解为什么大家想要接下来根除这个病因为它客观条件上面和根除天花的一些条件就比较类似当然这个项目其实实际操作下来发觉难度更加大过程当中也有一些波折
[00:23:23] 比如说一些地区的这个疫情死灰复燃了然后研究者也花了很多的时间才确定它其实是和极少数的一些疫苗是相关的但是整个GPEI这个项目还是进展非常显著的到目前为止啊全球只有两个国家还有脊髓灰之炎在流行所以GPEI这个项目依然是有某些大国牵头的吗可以说是毕竟WHO还是大国主导的嘛但是也有一些变化因为这个项目
[00:23:49] 其实持续至今一直还是一个非常重要的项目即便在新冠疫情爆发之后它也是世卫组织每年经费投入最多的一项之一我看了一下这个项目从1985年到2020年的一个经费来源的统计在2007年之前绝大多数的钱都是由G7也就是七个发达国家它来提供的当成美国为主了在这个之后呢另一个资金来源就成为了一个主体就是NGO非政府组织
[00:24:18] 这个当中最主要的一个金主其实大家就很熟悉了是盖茨基金会仅2020年盖茨基金会就提供了超过3.73亿美元在GPI项目上面接近整个项目经费的一半确实在很多公共卫生议题上面盖茨基金会都算是很积极的一个主体了而且它某种程度上也算得上是富可敌国的一个NGO组织了
[00:24:42] 对我觉得在这种事情上面它确实字面以上的富可敌国而且这也体现出了全球这个抗击传染病或者说防疫的这个工作和冷战时期的一个不同就是这个国际合作的框架就不一定是要在超级大国之间来完成的而是由更多元的一些力量在推动
[00:25:01] 现在呢我们都还处在新冠的阴影之下所以看像天花这些议题的话对我们来说感触还是蛮多的我先说一点啊就是人类的进步是一点点累积起来的防疫这件事情也是一样的现在我们很多应对新冠的经验比如说排查密接隔离观察信息公开在根治天花时候其实都用过的还有一个最基本的就是传染病有许许多多种而不是只有一个每一种传染病都会对人类有很大的危害
[00:25:30] 非常同意啊另外我还觉得虽然我们这两年都在说全球化的退潮但实际上世界还是紧密相连的在传染病这件事情上面更加是如此没有一个地区或者国家可以置身事外所以合作资源共享为共同利益考量采用务实的方法才有可能取得真正的进展让人们免于传染病的危害商业是这样防疫也是这样
[00:26:00] 感谢收听这一期的商业就是这样你可以在苹果播客小宇宙喜马拉雅网易云音乐QQ音乐荔枝等平台收听我们的节目微信公众号第一财经emagazine也会推送每期节目的内容如果喜欢我们欢迎你在苹果播客给我们五星好评并期待你在各个平台与我们交流尤其欢迎分享你感兴趣的话题下期见
