Vol.198 农副产品和金融市场有什么关系？
[00:03:42] 首先我们还是要介绍一下被当作期货的农产品具体大概包括哪些第二我们会通过具体的案例来介绍一下期货的两大核心价值一个叫套期保值一个叫价格发现第三我们再深究一下为什么有的农产品有期货市场有的就没有最后普通消费者又能从期货市场中学到什么这里是商业就是这样
[00:04:14] 那我们先进入第一部分来讲讲期货市场交易的到底都是些什么东西不过在此之前呢我们要先理解一下期货的核心是合约交易这件事情就这句话到底是什么意思期货之所以被划到金融产品的范畴里内呢就是因为它是一种抽象化的商品越来越抽象简单说就我们前面说的什么石油黄金指数外汇股物糖油这些商品
[00:04:40] 都可以作为期货的底层资产而市场上面实际在买卖的呢是建立在这些商品上的期货合约我觉得这边我想提的第一个问题就是有可能需要帮大家理解一下为什么合约这个东西可以一直买来卖去的简单来说呢期货合约和我们传统当中认知的那个合约就是合同对那种甲乙方各自签字然后约定权利义务那种合约是不太一样的东西期货合约的巧妙之处呢就在于它直接把甲乙方这个部分留空了
[00:05:08] 那在大部分交易当中呢实际上你看这个期货会只用关心几个要素首先你在交易的具体是什么东西那个底层资产是什么对你到底是在卖黄金还是在卖牛肉
[00:05:19] 其次就是商品的交易量是多少比如说举个例子一份标准的咖啡C型期货合约的规格就是37500磅咖啡豆这都是规定好的对 规定好的具体在什么时间什么地点交割也要关心一下比如说到底是3月6月12月的哪一天你是在纽约还是在巴塞罗那的指定仓库交割这个也是个问题最重要的其实就是价格到底是以多少价格成交的其实是5WH但是除掉了户这个部分至于为什么可以考虑户呢
[00:05:48] 还是打个比方你可以把这个交易过程想象成有两拨人然后他们在来回抛一个沙包沙包很怀念的一个玩具大概是这个东西我想了想太适合讲抛秀球这个沙包抛的过程当中一直有音乐然后这个音乐声一停那你最后抛出这个沙包的人就得对接住这个沙包人唱一首歌击鼓传花但也沙包版OK沙包版对那只要说
[00:06:14] 音乐声不停呢你就可以看到这个沙包应该就是在两拨人当中飞来飞去对吧那最后到底是谁对着谁唱歌你其实在这个过程当中是无法预测的那对应到期货市场上面呢那在合约到期之前所有的买方和卖方都可以通过不断的交易同一份合约来参与或者说退出这个交易因为参与者对于商品的远期价值认知不一样那他对于这份合约的心理价格也会不同就产生不同价格这个价格就开始波动了
[00:06:42] 那直到这个合约生效的那一刻实际上才会决定说谁向谁实际交割这个商品的实物大致有个感觉了但至少明确一点就是期货合约是把很多交易的具体细节都给定死了比如说时间地点数量产品到底是什么等等的它就变成了一个比较标准化的一个格式的东西那所有的参与者呢他对于这个格式的确定东西都是有同一的认知的唯一的差别就是价格大家就是对它的价格到底应该是多少有一个不同的判断然后你在那边买来买去
[00:07:11] 当讲到这个边呢我就有一个关于农产品的问题了就是你刚刚讲的合约上的时间地点数量我觉得还是很明确可以标准化的但是农产品这个产品本身就是个底层资产它本身不是一个非常难标准化的东西吗这个怎么办解决方案就是强行标准化确实就像你说的农产品乍看之下是很难大规模标准化去做交付的
[00:07:34] 但是因为期货合约的要求就是你这个商品本身也得是一个标准化的产品嘛所以说你就只能在农产品的范围里面去选一些非常平庸缺乏特色但是供给量特别大的品种另外呢在产品设计过程当中呢交易所会为这些农产品设立各种各样的检验标准就在实物交割商品的时候呢买方在仓库里面也是按照标准去验售的那你如果不达标的话就叫折价
[00:07:59] 这里我们就可以举一个经典的农产品期货商品的例子叫做黄大豆二号黄大豆二号这里我们引用的是中国大连商品交易所所披露的交割质量标准它关注具体指标很多包括几个项目是粗脂肪含量粗蛋白含量水分含量杂质比例破损力比例损伤力比例以及色泽气味具体的合格线数字就不报了它是依照两份国标和一份出入境检疫行业标准确定的
[00:08:27] 那如果说一批货的其他指标是OK的但是在这个最重要的粗蛋白含量上面差了一点点呢那每吨呢要折价50块钱所以这个几号几号其实就是对应的不同的标准不是是对应的具体的产品黄大豆一号我们后面会提到一点点它就是这个产品名字就像某个就是理财产品的名字一样的OK所以在这个黄大豆二号这个期货商品的
[00:08:49] 语境之下交割的时候买家是完全不会管你的黄豆到底是在哪里生产的或者具体什么品种等等那些非标的因素他只管那些标准的那些指标能不能确定对那对于说非标准化的同类商品比如说我是卖咖啡豆的但是我卖的是品质比较好一点的咖啡豆那我的交易还是大宗交易的话我可以依照咖啡期获得一个基准价然后再加上我自己一个
[00:09:15] 部分的溢价来做一个定价其实期货是有这个功能的另外要稍微修正一点点就是品种还是要关注一下的就是黄大到二号这个例子里面它其实不限制说你交割的是不是转基因大豆但是黄大到一号就是明确说不允许交割转基因大豆就不能混进来那在美国最大的期货交易所就是芝加哥期货交易所里面它的大豆期货呢其实是允许转基因的
[00:09:41] 讲完了这两部分我觉得科普的部分可以稍微停一停岳老师给我们来讲一些农产品期货的比较有意思的品种终于进入轻松愉快部分如果从农产品期货交易的历史来看不管是在亚洲欧洲还是美国股物市场其实都是最早出现的
[00:09:59] 比如说芝加哥期货交易所它最古老的交易品种就是小麦那后来还引入像玉米啊燕麦之类的谷之后呢大豆黄油鸡蛋洋葱各种各样的农副产品都逐渐被引入到这个市场过再进一步就是肉类比如说我们前面提到那个冷冻猪肚腩还有牛OK所以这个期货市场这个交易所本身啊就是它要它交易的是合约不是这些食物
[00:10:22] 不然这个菜市场还是很热闹的还没有完啊那之后的话期货市场在农广天际范畴下呢又逐渐覆盖了像咖啡可可糖类棉花冷冻橙汁棕榈油豆粕脱脂奶粉等等等等那如果说我们把肉类和肉类的副产品就是狭义的一些畜牧业的产品排除在外的话可以发现大部分在这里交易的农产品都需要一段时间来生长种植和培育请问什么农产品不需要生长种植
[00:10:50] 和培育这个事情我想了很久怎么讲这个话暂时就这样说吧大家可以理解这些农产品其实都是比较看天吃饭或者说它需要严格管理一些病虫害的影响或者就是时间的馈赠或者它产生很多的影响是这个意思很多关注农产品期货人他们会很认真去看主产地当地的天气预报还有什么病虫害预警
[00:11:14] 反过来说畜牧业其实对于气候的要求就宽松很多另外很多肉类的西货产品它的价格波动实际上是跟它的饲料价格紧密相关的我又要讲一遍Ray Dalio那个很经典的麦乐鸡公式因为我觉得确实很好例子它就是把麦乐鸡还原到源头的三个东西小鸡 玉米和豆粕你如果说麦当劳想要保证麦乐鸡的成本稳定那你基本上只要通过期货市场保证玉米和豆粕的价格稳定就好了
[00:11:42] 讲到这里我觉得就可以进入下一个环节就是具体展开来讲讲期货市场对于农产品到底有什么样的帮助第一部分其实我们主要是讲了期货合约本身它是设计成一个什么样的东西然后以及它为什么可以代替商品本身来做交易还有就是举了一些例子就是到底有哪些农产品它是可以作为期货来交易的接下来还是从菜市场再回到金融市场
[00:12:08] 来具体展开一下吧就是为什么期货市场一开始就和农产品绑定这么近它到底对于农产品来说有什么重要的价值这里我们举一个非常简化的案例就是农民他种叶脉和卖叶脉假设我是个农民地里面的叶脉产量已经常年比较稳定了所以我现在就可以开始安排六个月以后我要怎么卖我的叶脉你说这个现在就是三月初这个时候但是我不太确定叶脉到底是什么时候种的所以这是一个非常假设的东西
[00:12:36] 好现在呢我把我即将产出的燕麦分成了两部分60%的燕麦呢我准备放到期货市场上去卖然后我的定价是挂到每公斤两块钱这个两块钱是怎么定的它就是略略高于我的种植成本我种植成本是每公斤一块八所以就是这一个60%我就是规定好一个赚多少钱的这样一个
[00:12:56] 规模了我就定死它定死了每公斤两块钱那剩下的40%的燕麦呢我不放弃货市场我完全就是等收割完了以后直接作为现货卖掉到市场上再去拿出去卖对当然呢我这个过程当中呢就这六个月里面我需要严格的密切的关注燕麦的价格波动因为这个会最终影响到我到底能赚多少钱怎么来说呢六个月之后呢可能出现两种现象那好的情况是市场是供不应求导致说我燕麦的现货价格
[00:13:24] 就出现了上涨我最后交购可能能卖到五块钱那对于已经走期货市场交易到那60%那个不是我每公斤只挂两块钱吗少赚了每公斤少赚了三块钱对吧对但是对于我手上剩下的那40%现货呢我还是可以以五块钱一公斤卖掉那平均算下来的话这个等于是每公斤的业卖多少能够赚多少省略若干中间计算过程一块四那反过来坏的情况就是说假设今年突然
[00:13:52] 跑出来好多同行一起中业卖然后这个市场供过于求了就导致现货价格就跌了它跌到了每公斤一块六那如果说我没有交易期货而是全部交易现货的话那我钱就是会赔但是我之前期货部分已经锁定了两块钱一公斤这个交易价省略中间若干计算过程最后我每公斤的实际利润是四分钱OK但是还是赚的
[00:14:14] 也就是说在好的时节里边你虽然会少赚点但是在不好的时节里边你可以少亏很多对于农民来说对于这个种植方来说是这样一个情况的确是比直接交易现货让人安心的多对吧因为六个月之后到底是怎么样的情况你自己很难把握对的那兼顾期货和现货呢实际上只是我可以选择的另一种方案还有一种是100%利用期货的方案还是这个假设假设我今年预计有100吨叶脉吧好我们还是六个月以后交易
[00:14:43] 那我现在就在期货市场之间卖出一份100吨叶脉6个月以后交割的期货合约那价钱还是我之前说的略高于成本价这个2块钱那还是在这个6个月里面我去观察期货市场价格变化因为还是有两种可能嘛一种就是叶脉的价格往下走了最后跌到每公斤1块5那这个时候呢我之前的期货价格不是已经锁定了2块钱吗那这个时候我可以怎么办呢就是合约到期以后我可以选择以实物交割
[00:15:11] 那处理这份合约我直接把这100吨燕麦就给他了就兑现这个两块钱的这个合约现货市场涨到什么价格或者期货市场涨到什么价格都跟我无关了还有一种可能就是燕麦的价格在往上走最后涨到了前面说的每公斤五块钱如果我观测到这个涨势我觉得这个涨势比较明确呢那我可以在交易日到来之前做一个动作叫对冲
[00:15:32] 对冲具体操作就是我不之前是卖出一份合约吗那我现在在期货市场再买入一份100吨同期截止的期货合约那假设说我买入时间点相对比较早价格是三块钱期货市场要求是这样的就是说你买入和卖出这两份合约的交易量一致但交易方向是相反的那你就会在期货市场上销户抵销
[00:15:55] 那这样在交易日到来之前呢就是我就离开了汽火市场我的汽火市场没有任何的就是要处理的东西了我的汽火市场已经造成了每公斤一块钱的亏损嘛因为你最早卖出的那个100吨的合约是两块钱买给人家但是你又买了别人一个合约是三块钱的价格是的那我就想到每公斤亏了一块钱那亏了吗不是但是
[00:16:14] 但是我现在要开始我要去卖现货了因为你抵销了所以说你其实你的这些现货不用再交割到期货市场上去了是的我就完成走现货市场把我手里这100吨业卖15块钱一公斤价格去卖掉了这个时候我们还是把期货市场的亏损和现货市场盈利结合在一起看虽然我的利润空间不是最大那也赚了不少所以不管是我们前面说的60%的期货加40%的现货还是你后面说的100%的期货的方案实际上就是你所说的套期保值
[00:16:43] 期就是期货嘛你利用期货来套住一部分风险那保值也顾名思义就是保住预期的收益尤其是在价格下降的时候这个保值的效果是更明显的所以这个套期保值这个功能其实主要是对于生产方来说的尤其是对于农产品而言因为说农产品的生产方他大概是他的本来的抗风险能力是要偏弱的其实你是更需要尽快锁定你自己的利润空间的
[00:17:08] 而对于加工厂或者品牌方也就是买方来说期货的主要价格其实还是在于稳定或者说尽可能降低你原材料的价格这个是有利于你的成本管理我这边要稍稍插播一个小的问题如果你要做到锁定这点的话为什么不就是直接找一个
[00:17:25] 买家把200分就这样定下来就当做一个纯纯的合同而不是一个期货就这样卖掉而是要选择在期货市场上面去是不是因为一般来说你这个规模太大了找不到一个单一的买家一个是因为这个原因还有一个是你可能谈的价格不一定是最好的你在期货市场有可能你能找到更低的价格所以也是给自己保留了一些灵活性不是那种完全的只考虑保值的部分
[00:17:48] 当然在期货交易的这个市场上面不只是有这么纯粹的投为两方其实还有一些位于中间的比如说一些纯粹做投机的交易者还有就是平台性质的这个交易所和清算所
[00:18:01] 投机者这个工作就很好解释嘛就是我们每个人买股票的时候都想是低买高买所以说这些投机者也是一样的他们其实是在所有可以交易的商品里面找一些自己比较熟悉的能够摸清楚这个价格走势的品类他们也是通过频繁的买卖然后从每笔交易当中那个差价里面去赚钱的职业上呢大家会觉得纯纯的投机倒把投机倒把很糟糕对吧但是呢活跃的市场交易以及这些专业交易者的介入呢其实最终是有利于
[00:18:27] 一个商品形成一个公正的现货价格的这个也是期货市场的另一个大的价值就是价格发现所以最后的这个现货价格和这个期货市场是紧密相关的对的至于说交易所和清算所他们主要工作是创造市场以及保证这个市场自身是稳定运行的具体来说交易所就是决定到底哪些商品可以交易以及怎么交易而每笔交易又是通过清算所在买卖双方之间达成的
[00:18:54] 请别忘记说了就是期货市场的一个特点就是它天生有杠杆就是因为你在合约到期之前所有的交易都不需要付全款你只需要交一个比较小的比例的保证金给清算所就可以了如果说你想在某一类期货产品上面买更多的合约清算所就会提示你追加保证金
[00:19:13] 如果说一个投机者在期货市场上赚了他的收益加上保证金也是由清算所返还到他交易账户里面如果说一份期货合同出现了违约就是没有人交割给你真实的东西其实清算所也会用保证金来弥补买方的损失所以它是一个杠杆比较高的所以风险比较大的一个产品所以简单总结一下就是在期货市场上面
[00:19:36] 常见的活人的角色就包括生产方然后终端的需求者人买方然后当中的投机者还有一些机构就主要包括交易所和清算所这样一些角色对于生产者来说他主要是利用期货的套期保值的功能保证自己在价格波动的时候获得远期的比较合理的收益不一定是最好但是相对比较合理的这也是对于农家或者是农业的生产者来说最主要的一个点
[00:20:01] 那对于需求者来说呢他也可以反过来利用期货的这个价格锁定的功能来降低他的这个采购的生产的成本那投机者在当中呢主要就是通过这个流动性和价格的波动来吃这个差价当然也能够参与这个商品价格发现这个过程那交易所和清算所的主要是能够保证这个市场能够存在然后能够完整的顺利的运行
[00:20:25] 这个金融市场确实不是很好做啊就刚才我们只是从这个生产方这一段算了很多账就已经很辛苦了要不还是回到农广天地来回到我们最初的这个起点吧讲讲这个期货里面为什么有这样一些农产品但是没有那样一些农产品先提一个就是你刚才报了一堆菜面里面我注意到有一些就是我想当然会觉得会有的一些农产品好像没有提到比如说东楚大白菜这个就是
[00:20:50] 听上去就应该有期货它有没有期货产品我们前面列举的主要还是一些欧美市场的主流农产品期货品种大白菜这个东西即使有期货它是不是也得在中国市场但是我查了一下中国目前没有交易大白菜期货这个其实就回到对于期货商品讨论就是为什么有些农产品有期货有些没有呢有几条原因首先就是我们前面已经提到了
[00:21:14] 能成为期货交易品种的农产品他得想尽办法来把这个商品本身做标准化然后你可以通过相对单一的品种就能实现大规模交易这是一个前提那谷物就是一个很好的正面例子因为每粒米之间的差距是很小的然后小麦玉米大米其实都有种植很广泛的单一品种举个例子比如说美国的芝加哥期货交易所它针对小麦会具体交易三个品种分别是印红冬小麦
[00:21:42] 软红冬小麦以及硬红春小麦那中国呢也有特色交易品种比如说中国主产的精米就是大连商品交易所的一个特色品种另外呢我们还可以看一下苹果和前面讲的那个冷冻浓缩橙汁的这个出现了出现了啊美国是仅次于中国的世界第二大苹果产地但是呢在几个比较大的期货交易所比如说智商所周期交易所其实都没有苹果的期货交易
[00:22:06] 目前全世界唯一一个交易苹果鲜货期货的地方就在郑州商品交易所具体的标准就不说了它的核心要求其实就一句话就是国标一等红富士没有阿克苏冰淘也没有我喜欢吃的黄芫荽但是只能交易红富士品种是限定的
[00:22:24] 但是呢美国市场就会交易冷冻浓缩橙汁期货FCOJFCOJ这个产品1966年就在当时的纽约棉花交易所上市了对就是从名字也看出来这个交易所本来是卖棉花的那冷冻浓缩橙汁期货是他当时开发出的一个新品种
[00:22:43] 所以到底为什么会有冷冻浓缩橙汁这样一个农产品就是这个东西本身是一个二战时期的发明啊就当时是为了往前线运送维生素C然后呢由美智园公司在1945年开发出了这个技术相比于鲜果呢橙汁的形态呢其实是解决了
[00:23:03] 橙子本身容易腐烂和保质期有限的问题然后还把它冷冻起来了又浓缩了这其实让运输也变得很方便了美职员现在还是做橙汁的吧但现在就是所谓的浓缩还原这个模式已经不是我们在便利店里面看到的果汁产品的主流了现在主流是NFC和HPP这个都跟冷冻浓缩橙汁没有关系但是不妨碍这个东西作为各种各样的
[00:23:26] 饮料的基底继续在使用所以说也不妨碍大家继续在做期货的交易原本呢FCOJ这个产品针对橙子有一个原产的要求就是仅限于美国佛罗里达州的橙子这个也是美国最大的柑橘种植州比洪福士还要更加聚焦一下就很集中的一个地方对但是呢因为受到了柑橘黄花病和飓风的影响佛州这些年的橙子产量本来也有点下降
[00:23:51] 所以说现在再去看FCOJ的合约呢它已经进一步扩大了巴西墨西哥和哥斯达黎加这些外部产区的城市都可以参与这个交易那还是回到你前面的问题没有回答就是为什么会有这样的一个产品它作为期货为什么不是大白菜就没有呢这当中的这个区别到底是在哪里对我觉得还有一个很重要的问题就是这个农产品可能还有一个问题就是它本身的流通量和流通的形式到底能不能支撑起来一个成规模市场
[00:24:17] 再举两个美国市场的例子一个是番茄糕起火还有一个是黄油起火番茄糕就是类似冷冻橙汁番茄酱的base然后它就是一个类似就像你说类似冷冻橙汁一个工业品但是它有个问题就是它是一个调味品调味品其实相对于就是你真的日常吃的那种大量消耗的农产品来说它的需求量原本就没有那么大番茄糕还有一个问题就是番茄的生产商和就是后面的加工厂
[00:24:44] 它的销售合作非常的紧密就像你说的为什么我们一定要用期货呢我们签个大额的这个长期合约不行吗他们就觉得好像也可以所以说这部分期货交易就一直不是很活跃所以它存在十年就大概就结束了那黄油期货呢是另一个例子它1919年就开始在芝加哥交易了然后在1960年代呢这个基本上就没有人去交易这个产品了
[00:25:06] 当时有几个原因一个是开始出现了人造黄油这个其实影响非常大还有一个就是美国乳制品行业出现了一些集中化和大公司化的现象这个也是让现货交易和长期委托加工合同变成了一个新的主流所以期货在里面的作用就不大了所以如果一个行业内部的集中度相对比较高或者垂直的整合程度很高的话就有可能期货这样的工具就不如一份长期的大额的合作协议来的有效了
[00:25:32] 不过刚才大白菜那个例子我就一直在纠结但我觉得那个有可能主要还是因为标准化的问题就是大白菜不像这个谷物那么好标准化有可能有这个原因还有就是它的这个流通的市场有可能还是太有限了那最后还有一种可能就是某种农产品没有期货是因为之前在这个领域出现过一些非常重大的市场操作事件以至于直接把这个品种就给扼杀掉了就是一些
[00:25:57] 特殊的情况对这个特殊情况基本上只有一两个吧就是比如美国有一个特殊情况就是洋葱没有期货但洋葱听上去最近很应该有期货啊这个事情发生在1955年当时是这样有一个洋葱种植大户叫Wings他和他的朋友一起呢自己囤积了大量的洋葱
[00:26:16] 然后向农民采购了很多低价的期货合约以至于他当时垄断了全美大概98%的洋葱的供应然后他就可以做事把这个价格炒高是的这就实际上就导致当时市场上因为缺洋葱所以洋葱价格大幅上涨他就趁火打劫先把自己囤积的洋葱就高价卖出去一部分这个部分他就已经赚了一笔了结果他还不满足然后他在1956年这两个人又大量压住了这个洋葱价格会下跌的期货合约
[00:26:44] 然后呢把自己囤积的剩下的这部洋葱直接推到市场上去那他这个吸货的这个价格就确实按他这个合约上面写的肯定会下跌嘛对当时跌到就是一袋洋葱只有10美分然后当时装洋葱袋子都要25美分已经是出现一个负价格的一个状况了这个大跌呢其实对于种植洋葱的农民影响是非常大他们有可能是现货他们就卖出去10美分就完蛋了就根本完全是血本无归了然后呢还因为WINS坚持
[00:27:12] 要做了很多食物交割这就导致芝加哥市内到处都是洋葱然后这个整个城市就瘫痪了就这个他为了赚这个一涨一跌的这个差价吃相间太难看了使得整个这个产品还有他的这个整个上下的这些人别人都没有饭吃了他把别人活路都给断掉了嘛
[00:27:32] 这个事件呢就最后导致了美国在1958年通过了一部叫做洋葱期货法案的东西专门有这样一个法案这个法案内容基本上只有一句话就是禁止在美国交易洋葱期货就是因为太恶劣了然后呢就是也没想到什么很好办法来遏制你你就不去买这个东西就直接把你禁了其实啊我们还是查了一下就是这个洋葱期货法案在2010年还有过一次修订当时是把电影票房的期货也纳入了这个禁止的范畴我们刚刚讲过电影票房
[00:28:00] 且不说把这个电影票房和洋葱放在一起太怪了电影票房期货我稍许还是有点没有办法直接的理解美国的金融衍生品市场就是对所有产品都可以产生衍生品这个事情我也觉得非常的诡异就是他什么都先把它做成一个产品先拿上去卖一卖看大家能不能跑通是吧对所以说我们在节目开头就说了这期货交易有点像一个打赌我觉得电影票房有点太蠢赌了吧蠢赌对
[00:28:26] 而且尤其是这个市场当中投机者比例就很大而且这个市场又有可能会被操控的时候这个赌约其实非常的不合理而且对于真正赌徒来说什么都可以拿来打赌所以说你绝对不可以在正规市场上给他们创造这种机会你讲到这个洋葱期货其实也会让我们想到另一个经典的商战
[00:28:47] 发明冷冻薯条的美国土豆大王叫辛普劳然后呢他在一个土豆期货大战当中吃憋的这个故事不过呢就是关于洋葱和土豆期货这两个故事呢在NPR旗下的Planet Money都有非常精彩的这个节目来讲述我们也会把这两期节目的这个链接贴在shownotes里面欢迎大家就是补充来使用
[00:29:11] OK再讲了这么多神奇的农产品的期货然后以及期货这个市场本身的一些逻辑之后呢我们稍微关注一下当下的市场因为这个还是跟一些最近比较热门的新闻相关啊就是作为一个农产品的日常消费者其实平时你是不太会关注这个期货价格的波动的
[00:29:29] 但是有一些价格如果涨得特别厉害或跌得特别厉害的你会关注到比如说最近的咖啡豆还有就是连续涨了很多年的可可豆因为就会涉及到所谓的巧克力吃不起或者咖啡喝不起的问题所以我们有可能通过观测期货市场的长期价格的走势来预判终端零售价格的变化这个逻辑链路是通的吗这其实是一个有点复杂的问题它主要涉及到两个方面
[00:29:54] 一个就是期货市场的价格波动本身是不是可以监测可以预判的以及期货价格的
[00:30:01] 价格波动要花多长时间才会传达到零售的市场另外一个就是零售商品本身是怎么构成的品牌方有没有什么其他的方案来对冲这种成本的价格上涨我觉得可可豆是一个很好的例子我们就用它和巧克力的关系来说明这一点如果我们看2024年一整年纽约可可豆的期货价格会发现它基本上就是单向冲高
[00:30:23] 2023年底是大概4000美元一吨然后之后呢先冲到了接近12000美元然后中年小幅回调到大概8000美元到2024年底就是最后冲到了大概13000美元每吨这个小幅的回调小回调也挺厉害但是冲的更厉害啊等于是年初价格的三倍就一年里面
[00:30:41] 结论上面就是这样的那这一轮的价格上涨呢其实跟此前原因也差不多每年都会说这几个话就是极端气候变化的影响啊西非没有足够地去产可可豆啦而且像科特迪瓦这些猪产国已经放弃了任何的努力我们就躺平了你不想再想什么办法了所以说整体的供应量肯定是比较紧张的对于这个产品的期货市场而言呢如果你想预判它的价格如何变化呢其实肯定有一些可以密切监测指标比如说前面说的看天气预报
[00:31:10] 当然天气预报有很多就是细节的指标可以关注嘛就一些专业的可口豆交易商甚至会考虑说自己在非洲西海岸建一些气象观测站来获得更准确的即时数据这样就方便他去炒这个货嘛另外还有一个行业里面专业指标叫库存研磨比它指的是什么就是一年下来这个仓库里剩余的库存的可口豆数量和已经被送到加工厂研磨成半成品的可口豆数量的比值是多少
[00:31:38] 这个指标的紧接线是40%那如果说这个比例高于40%而且高不少的话就说明库存还很多你其实不用再担心未来一年产量可能对这个东西有很大的影响但是如果这个比值比较低那这就意味着仓库里没什么东西了那之后的市场需求呢其实很依靠新一季的收成来支撑那这样子来说呢市场对这个东西担心就会变多那价格波动就会变大那国际科学组织预估库存研磨比
[00:32:07] 单单这一个数值实际上就解释了83%的可可期货的价格变动所以与其说看可可豆的这个期货的价格你主要看一下西非天气和库存业摸比也能对这个可可豆的价格趋势有个大致的判断就预先的一个判断是这个意思
[00:32:22] 讲一些食品知识啊
[00:32:50] 基础食品知识就是对于巧克力来说这个可可豆生产出来这个可可脂只占了它原料当中的20%那剩下还有80%很大的空间呢留给谁呢留给糖 乳粉也就是奶粉和其他的添加物比如说你做坚果巧克力你还要放坚果嘛从这个角度来看呢巧克力就可以被看成是一个多种期货商品的组合糖也有期货对 乳粉也有期货乳粉也有期货对 他们各自都有期货市场
[00:33:17] 可口豆这个边上比如说它价格涨得很厉害但是如果说一个厂商他能够在糖和乳粉的期货价格里面找一个好的价格或者你多生产些牛奶巧克力是不是还是有能力去控制这个成本的对于我这种喜欢吃可口比例比较高的那种黑巧的人来说这个有可能相对不那么好控制对你可能看到黑巧的上涨会相对明显一点另外我们还讨论是使用纯可口纸的情况
[00:33:41] 如果说这个价格实在涨得很厉害就有些低端产品现在可能会考虑使用一定比的代可可纸拒绝代可可纸是一种人造硬化脂肪它的源头的核心产品是棕榈油棕榈油也是一种期货产品它在东南亚市场交易以上我们讨论的还是针对原料配比的调节其实更简单的调节方法就是在产品规格上面去讨论我们在第153期讲菜单成本那期节目里面其实讨论过这个问题
[00:34:10] 缩水式通胀就是把你把每份产品的实际重量减少就是所谓的减量不加价是吧是就是什么瑞士三角巧克力少弄两个尺那巧克力行业除了这种方案其实就是可以直接生产这种更小规格的巧克力块反正他们发现了北美现在比较流行的是减肥而不是吃更多巧克力直接就把规格做小说不定更符合市场需求
[00:34:32] 好吧那简单的小接下来就是对于品牌商来说成本控制固然是一方面但是最终是否要转化为零售价的直接上涨也还是不一定就这个跟期货市场就没有特别大关系了它完全可以通过改变配方规格或者是利用原料里面其他的一些原料的期货市场的波动可以把单一的可口豆原料的上涨消化掉或者说是抵消掉很大一部分所以说所谓的可口豆涨价会不会导致我们吃不起巧克力
