Vol.112 三四线城市的居民，买电动车吗？
[00:04:10] 叶老师调研的话先介绍一下大致的一个框架比如说你们去了哪些地方然后是怎么来做调研的主要看了哪些方面我们到目前为止现在先去了两站我们后面还会去更多的地方一站是典型的中国沿海发达地区的一个地级市叫长洲它是在江苏省我们知道江苏广东和浙江是中国经济发达度最高的三个大省
[00:04:36] 所以江苏长州我们把它当为三四线的时候其实有的人就会有点错愕是不是经济太好了但我们就要去看这样的地级市因为你不就500万人口吗你也是地级市你不是1500万人口的这种超级大都市我们去到实验的话实验有大概三百五六十万人口人口是完全可比的实验正好是我家乡湖北这样一个在中国的中部地区
[00:05:02] 稍微偏西部山区一点点的地方然后呢实验又有一个特点啊它跟很多地级市不一样非常多地级市到自己的省会距离不会超过300公里
[00:05:12] 实验是一个到他的省会直线距离400公里开车距离接近500公里的这样一个地区市他离武汉的距离是相当的遥远的然后他又在一个湖北大部分地区是平原但是往西到了实验的时候就已经进入山区了他的地理环境其实更加接近陕西省而不是这个湖北省所以可以说他的交通也会相对的闭塞和不发达一些那我们选了
[00:05:40] 这样两个一个内陆一个沿海的这种地级市就确实看到非常多的这种差异当然了长洲跟上海跟杭州也有巨大的差异所以我们去当地具体怎么做呢我们做调研的方式是尽可能的去发动我们在当地的一些熟人资源再通过人传人的方式去找人比如说在实验是我的老家所以我可以找到当年的这些发小
[00:06:08] 我们当年在同一个小学同一个中学读书少数的人像我这样最后定居到了其他城市但大部分人他们典型的生活路径是毕业于实验的中学读一个武汉的大学然后回到实验去发展自己的职业生涯在实验结婚生子他们是最典型的80后的这种实验的市民也是今天汽车市场的消费的中坚力量年纪大概都在36岁上下所以这群我当年的同学和发小
[00:06:37] 是我观察的第一样本但我也认识到80后某种程度上已经有点像社会中的一些接近后浪了他们这些人很多都在当地已经是中层干部在企业里很多时候是部门总监高级经理在这种体制内的单位也已经有一定的职级那么他们的一些年轻的下属他们认识的一些熟人网络中的这种90后也是我们重点采访的对象
[00:07:05] 然后此外第三种人是我可能依托互联网的一个社交身份我比较容易接触很多的这种同行所以在实验很容易的去找到了当地的电动车的包括比亚迪 哪吒包括爱安包括长安等等的一些4S店的投资人和门店的总经理
[00:07:28] 这也是我们采访的对象然后第四类是陌生采访我们直接走到一些店头去采访一些新能源的这个前台啊销售顾问啊然后一些店里边正在看车的这种市民朋友啊正在充电的市民朋友他们也在我们的覆盖范围然后我们在长洲做的手法跟实验差不多我不是长洲人但是我认识一个长洲的一个电动车大V叫羽毛哥
[00:07:54] 通过羽毛哥见了很多在长洲当地的一些电动车产业链的相关的人士有的是搞售后的有的是搞贴膜的有的是做这个修车的有的是卖车的那这些人每一个经营者他其实面对都是成百上千的用户他们相对来讲会比较理解这个市场这两年的这个变化这是我们
[00:08:15] 不同的这种手法当然其实我们也会做一些案头分析我们会在出发之前就把这个城市的这些可以统计到的一些数据资料包括地理包括经济包括电动车的这些年的生土率和品牌分布包括你去到那个城市以后你去看一下它典型的住宅它典型的商场和它典型的这个城市街道充电的网络所以我们差不多是用这种我称之为田野调查的方式去对这个市场做了扫描
[00:08:42] 这个框架的话大家基本了解的话我们就直接切入正题说个大概的结论两句话第一句话叫做其实中国发达地区的三四线某种程度上它更像是超级大都市的超远郊你可以认为长洲其实是苏州或者是南京的超级远郊如果我们去看无锡去看昆山它是上海的超级远郊实验就很不一样
[00:09:09] 实验这种典型的内陆的一些三四线城市我认为它就真的是一个三四线城市因为在内陆相对来讲这个人口密度没有那么大城市的分布会更加的离散人员的往来商业的繁荣物流的这种频率其实都远远不如沿海我在广东省和上海都久居过你开高速走广州到深圳这个广深高速从0点到24点它都繁忙
[00:09:38] 你开高速从上海到杭州到苏州24小时它都烦嘛它是不眠不休的这个高速公路但是你在湖北你在湖南你到陕西你去开高速试一试很多时候即使是五亿十亿它也不烦嘛
[00:09:53] 所以某种程度上在内地的三四线它是我们心中真正典型的三四线它就是小城市这里的市民拥有跟大城市完全不同的消费心理他们在过自己的日子拥有自己独特的生活方式具体到新能源车的消费上面差别是什么什么人在买电动车什么人在买混动车什么人在买油车我先给大家一个数据中国整体现在新能源在一季度二三年是30%的渗透率
[00:10:21] 这里有必要理清新能源的定义就在我国有一个比较有中国特色的新能源定义我们这边纯电动车叫电动车我们这边可以插电的插混或者增程实际上它又有电池又有油箱又有内燃机这种车我们国家也把它称之为新能源车只要它的电池不要太小有插头不要太小有插头且电池不要太小
[00:10:48] 对续航里程是有要求的要达到多少以上然后其他的两类车一类是纯烧油的一类是像丰田本田比较擅长的普通的这种混合动力但它不能够用插头充电这种都通称为油车在这个定义下上海为代表的一线城市现在在国内的渗透率大概在50%加到60%加然后我认为以长洲这种沿海强三线城市
[00:11:17] 包括一些南京武汉这种典型的二线城市这类城市的话它的渗透率大概是上海的一半可能再多一点点可能再少一点点然后到了实验这种典型的内地三四线地级市渗透率是一半的一半上海比如说60%可能武汉是30%那么实验可能只有15%而且还要指出这15%到60%不等里边其实纯电动车过去是占大多数
[00:11:46] 但是现在这个大多数的比例岌岌可危就是那部分又有电池又烧油又有内燃机的电动车现在正在蚕食纯电动车的市场份额这个区别能不能再按照城市来给我们大致讲一下比如说当然上海也比较特殊它有一个牌照的一个政策比如像深圳包括是北京是个什么样的情况
[00:12:07] 到了你刚刚讲的长洲和实验这种地方又是怎么样的区别在混动和纯电上面我觉得混动和纯电上全国的情况差不多除了上海北京这两个例外因为这两个地方的牌照的昂贵免费的牌照从今年开始就都只给纯电了已经不给另外一种打引号的电动车了但除此之外我看到的情况就是在全国范围内其实纯电现在的势头就比较弱然后另外一种
[00:12:35] 打引号的电动车就是有可能会烧油的电动车现在起来的比较快燃油车虽然在媒体上不会获得任何的青睐但是实际上它在全国的生命力我看还是挺强的它不会那么快的去消失然后我想总体的讲一下实验跟常州的一个差异性一个巨大的差异就是我认为在实验市民朋友们对于电动车这件事情还把它当做一个新生事物陌生事物
[00:13:03] 有风险的事物同时对他的认知也相对比较少但是在长洲就像我说的他们跟像大城市的超远交所以我感觉在长洲你跟市民们去聊电动车和你在上海的郊区跟市民聊电动车没有区别而且你从数据上来讲也没有多大区别他们那边已经非常的习惯去销售和购买电动车而且又由于经济的差异性经济也扮演了一个重要的底层因素
[00:13:31] 长洲我们都知道这个GDP现在是非常的疯狂在往上涨已经大几千亿的这个水平了虽然只有500万人口对吧然后它的这个房价也很强势现在房价都2万多3万多一平实验的主流房价还不过1万的都是几千一平所以当你在一个经济更好的城市显然老百姓拥有更强的试错的勇气和意愿因为他有钱其次很多人的家庭标配两台车
[00:13:58] 这是重大的这点非常关键对当你家庭标配两台车的时候你有一台油车帕萨特我第二台车买台领跑买台哪吒买台比亚迪买台特斯拉这都不叫冒险这叫做一种生活方式的更新体验新事物以及在市区省电省钱以及享受电动车带来的诸多过去油车没有的那些魅力但是当你在实验你试想主流的家庭家里只有一台车的时候然后他买台纯电动车
[00:14:27] 尤其是假如要买台纯电动车不是打引号烧油的电动车我觉得这个决策的成本将是非常巨大的首先他们不是那么有钱相对来讲其次的话我刚也说了地理的原因对吧你在长洲你进次省会开个100多200公里纯电动车轻松搞定你在实验开趟车到武汉400多公里现在有几个纯电动车开高速
[00:14:53] 尤其是自己能够开400的对尤其是部分的高速是山区高速高低起伏各种弯道它的能耗会高于日常我们实测下来能耗是正常在城里开要加30%所以在这种情况下如果你的这种充电技术设施不能够让用户完全打消顾虑如果你的纯电动车的单车续航不能让用户完全打消顾虑我并不认为
[00:15:19] 我可以说几乎没有任何实验人家里只有一台车的情况下会买纯电动车我们此行一个也没有见到过包括在长州
[00:15:27] 总体来讲我们并不在中国见到这样一种人就是他家里只有一台车家里好几口人都有可能用到或者坐到这台车然后这个人在今天买一台纯电动车那么这个人不是搞电动车的年轻自媒体对吧就是一个汽车公司的人这点非常关键就是虽然我们今天都在讲这个电动车取代燃油车但是仅论纯电这一个概念里边它只能是一个第二辆车的需求或者是第二辆车的一个改善需求
[00:15:56] 而且这种改善需求其实主要就是集中在大的城市里面对 但肖老师我要澄清一下我觉得第二台车是没错的但是不一定是第二台的改善需求因为很多的用户他第一台车可能是一个帕特可能是一个吉利的博越他第二台车有可能出于省钱他买一个50宏光的迷你买一个零跑的T03这也是非常有可能的在这种情况下他是一个经济代步他对自己的行驶半径有非常充足的预估就这台车
[00:16:25] 他非常清楚他干嘛这个无论在欧洲还是在中国其实都是一样的这里我想补充谈一个观点就是对于同样的事物在不同的年份人们就有不同的看法怎么讲你现在要是十年前2013年我们看到丰田本田的那种普瑞斯混合动力卡罗拉混合动力我们会称之为新能源车而且我提醒大家的是就在十年前我们国家最早的新能源车的官方利益就包括这种车但是几年之后它就悄悄的被抹去了
[00:16:54] 所以今天我们把插混和增程当做新能源车但是三年后的中国人还会继续把它当做新能源车吗当做电动车吗我打一个很大的问号比如在上海的交通管理的部门在看它已经不是了你说的太对了这就已经是先兆了最早干这事的是北京现在轮到了上海再往后你会看到很多的发达城市慢慢的都不把这类车当做新能源车再往后的话就是所有人都把它当油车所以
[00:17:23] 我觉得我们谈论任何新能源车的普及的问题既要分好类又要看好时间维度下不同概念的不断替换所以我们有可能长期处于新能源车的渗透率30%到50%
[00:17:36] 取决于我们把新能源车定义成什么样的东西但这个我觉得从定义上面来看是一个就是有一个数字能够帮助我们看这个框架但是刚刚讲的一个很重要的点就是这个纯电和这个不管是油车也好或者是混动车也好很大的一个区别就是说它没法依靠加油站它必须要依靠新的基础设施使得它在目前的这个中国城市的基础设施的条件之下很难成为家庭唯一一辆车的这个选择
[00:18:03] 对不对这个其实是我觉得刚才我们聊的里面一个非常重要的一个知识点需要强调一下对这里边其实现在看下来我们真实调研以后觉得就是两个关键点第一你的单次的续航你够不够
[00:18:17] 第二你的这个补能方不方便充电的地方多不多然后充电的时候效率高不高硬要加第三的话其实就是价格我们现在就看这三个点你就会发现啊油车它在价格上是OK的现在很多油车市场上也都折让的很大那么油车的补能全国几万个加油站它也特别强加油站价格有五分钟的事然后第三点就是看它的这个单次的续航距离它也特别特别长
[00:18:44] 所以油车现在其实没有大问题油车唯一的问题就是在价格这个事情上它虽然车价合理但是油费相对高但是你把它中和在一起看它也不差因为至少你买的时候它的价格是很合理的但是就是现在油车在中国面对的根本性的问题是什么你去三四线城市问问老张他对他油车满意吗他会告诉你他挺满意的你们小王小王也挺满意的
[00:19:06] 现在是一线城市的新媒体KOL以及对吧行业从业者以及在推动电动车发展的投资人在集体的劝告三四线城市的老王你们赶快把你们的油车扔了换电动车吧但老王其实内心深处觉得油车挺好这个事情没给他生活造成任何的明显的困扰然后呢我们再说第二类车就是这个可以烧油的这些电动车这些车呢你看它既拥有几万个加油站
[00:19:35] 又拥有50万个公共的中国的充电桩然后它的价格呢其实本质上是比油车高的因为你毕竟多了电池电机成本一下子就加了2万到4、5万不等可惜不是可惜吧就是这里边出现了一个重大的重大的重大的政策差异就是政府给到这类打引号的电动车两个支持第一你可以挂绿牌
[00:19:59] 其次在物质上它给到你免除购置税购置税相当于车价的8个百分点对吧第三点这类车它的消费税的税率也相对比起油车低可能平均比如说低个两个百分点三个百分点你把这些东西全算上以后你可以认为政府给每台打引号的烧油的电动车贴你两三万块钱平均如果是理想L8 L9可能是贴了你四五万块钱
[00:20:26] 它就弥补了它本来应该有的价格劣势所以为什么这类产品崛起这类产品崛起在我看来是技术组合叠加明显的政策偏好我们说第三种车纯电动车为什么今天有点困难第一你成本高几百公斤的电池你确实贵其次的话你充电的网络单跟加油的网络比
[00:20:52] 你肯定体验是没有那么好的充电的速度啊网络的全面性啊你在实验你开到底下的线里你加油绝对没有问题线里村里有没有充电桩呢有可能有
[00:21:03] 但是它是否足够靠谱是否足够好用是否足够多可不好说老乡们的观念是不好说然后单次的充完电的续航确实现在电动车只有油车一半的水平平均在这种情况下虽然政策也给到纯电动车很多的鼓励但是似乎如果我是一个非常典型的对我是一个非常典型的中国内地的普通市民的话我买第一个叫稳妥买第二个好像也挺不错的
[00:21:33] 而且一只脚也踏进了新世界然后实际上没有什么太大的损失然后你买第三个事情就是你确实需要巨大的勇气要付出更多的金钱承担更多的不确定性
[00:21:44] 所以第三个纯电动车现在客观上来讲它并不适合所有的中国人它适合部分市场正如我们刚才所说的简单的说它适合第二台车市场第三台车市场第四台车市场它唯独不太适合多人家庭的第一台车市场除非这个人他对电车特别的懂特别了解他对自己的生活方式特别的可控
[00:22:07] 他对自己的出行半径特别的有明确的需求那么他在上海深圳居住他买台特斯拉我觉得也没有问题但是问题是这样的人有多少中国不是一个很成熟的汽车消费市场我们大多数的国民迄今为止买车就是人生第一次第二次真的在人生中第三次第四次第五次买过车的人不多讲到这个的话我觉得就是要再往深一步了我们聚焦在混动烧油的电车的领域
[00:22:34] 在你这次调研的实验和长周你看到他们这些消费者哪些人对这些品牌这些混动的车型是比较认可的然后哪些人是还不太能接受的这当中的原因是什么我现在看下来觉得就是用户从纯油车转向这种可以烧油的打引号的电动车没有明显的心理障碍就几乎是可以兼容的现在唯一的障碍就是油车的选择面积大比如说你去买油车
[00:23:03] 30个品牌200个车型供你挑选但是如果你现在去买第二种类型你的选择面积至少是收窄了的收窄了很多有可能你还是能挑到你喜欢的对吧但是我比如说我现在想买一个来自奔驰的要插电混动然后插电混动的纯电续航还得长然后我还得要个SUV奔驰现在没有这样的车奥迪也没有这样的车
[00:23:27] 它实际上产品的供给阻碍了部分的这种市场的选择所以它只能去买理想去买蓝图去买问街去买这类产品我也觉得今天消费者去买第二类车我觉得要买就今年买你挣脱到明年后年我认为政府随时有可能对这类产品的政策支持下降
[00:23:49] 因为它本来就是一个一年一定的一个政策它就是会一年一变的这个东西其实对消费的撬动的或者说是不同类型的产品之间的撬动的影响力是非常之大的这个东西大家会忽悦但是实际人买车的时候他就是看这个
[00:24:07] 几个点一两万的差别是很重要的所以说其实很多时候大家会低估政策对市场的影响这个影响是巨大的政策在中国历史上曾经因为消费税按排量分级征收把3.0G以上的内燃机基本在中国干绝机了干掉了基本就干掉了在这之前其实15年前中国有挺多3.0V6的为什么后来灭绝了很简单你买2.0T比如说收你五个点的税
[00:24:34] 3.0V6收你15个点的税你一台车动不动多交几万动力体验其实总体也差不太多你当然就不要了还有一个在往下面追问的问题就你刚才讲到从燃油车到混动这个切换在三线城市这边的消费者来说考虑之后你看到的情况是他们没有任何的障碍那在品牌上面呢他们对于老品牌和新品牌有怎么样的区别这个其实就是我很想分清楚的一个东西有区别这次我们非常明确的在实验看到的这种区别
[00:25:03] 就是在大城市首先国际大品牌大家都认识对于其中的一些德国高端品牌大家也特别的认可这一点全国一致第二点国内的大品牌吉利长城比亚迪该认识也都认识认可度呢全国我认为也没有明显的这种差异
[00:25:23] 现在电动车大家当然都比较认比亚迪但是吉利至少大家都认识长城哈佛大家也都听说过都有一定的这种感知这点全国也没有差异最大的差异就是对于新创的公司的认知很明显无论是特斯拉还是中国的这些新势力魏小李 哪吒林跑高和在偏一二线城市拥有更强的影响力在三四线城市他们的影响力的分隔
[00:25:51] 我看都没有那么高你今天在上海随便采访一个市民你跟他说电动车他会说出这五个名字他可能就会说比亚迪特斯拉然后未来小鹏理想但是在实验的话去问用户的话用户会说电动车第一就是比亚迪如果要有个第二的话那特斯拉特别有名都听说过然后第三名他们现在暂时就不太报得出来了
[00:26:16] 所以在三线城市某种程度上就是你会发现认知是更加收敛的但是在这种情况下你会发现哪吒在当地卖的也不错靠的是什么呢性价比就是他可能在品牌上也不太熟悉你他也不是很喜欢你但他可能兜里就只有十万块钱便宜他要买个十万的电动车十万电动车现在有几个选择但他只能选择这些品牌
[00:26:39] 特萨在当地啊虽然认知不如一线城市认知度总体还是很高的因为这个寿司骆驼比马大但特萨在当地这个寿司骆驼遇到一个巨大的问题就是我们采访的所有实验室的这些市民不管油车用户电车用户他们都知道特斯拉他们提到电动车的时候心里也绝对会给特萨留一席之地但你问他买没买呢阻碍他们的原因就是不知道该去哪试驾渠道的问题没有门店如果要试驾
[00:27:06] 要快500公里去武汉我认为这是困扰着特斯拉在中国的实际的问题就是它的网络非常的保守它到现在的开店还只覆盖一二线和少数经济非常发达的这种三线对吧它的销量比微小里都多它的店铺呢先比微小里都少
[00:27:23] 当然了你也可以说这个企业这能说明它评效高或者它效率很高也可以说你也可以说它经营稳健它对经营有很高的要求单店要是一年卖不了比如说1000台车它就不开店它如果要开店就得有七八百但可能很多的新势力品牌单店能有个一年200台150台我就觉得可以考虑开了指望两年以后变成300台400台500台大家有不同的测算标准
[00:27:48] 后面会发生的一个可能的事情是这样走向的就是虽然在一线二线大家觉得微小李特斯拉的影响力非常强至少心智影响力认知影响力是非常强的但是三四线如果他们不抓紧的话最后的结果就是会给到无论是大众别克宝瓦奔驰这些国际品牌老的品牌大规模的品牌或者是给到吉利亚长城系的
[00:28:17] 长安系的上汽系的这些老的传统企业给到他们机会为什么呢人家在当地的门店是现成的是的人家的门店已经打进了中国的广大三四线城市人家有渠道的覆盖有触角只是人家电动车业务来的比你晚宣传的比你晚产品比较少对产品形成竞争力的节奏比你晚但终究这些事情都会一步一步的做到
[00:28:39] 如果在那个之前你不能够把你的棋子和心智和渠道市价服务能力销售维修能力渗透下去很麻烦因为这个东西我就是觉得要厘清一个大家对于所谓一二线城市尤其是一线城市的消费引领力的一个误解就很多人都会说就是说我们在一线城市占据了这么大的份额然后在中国这些城市对于消费的这个习惯或者是品牌认知的引领能力是非常强的
[00:29:08] 这在有些新的产品里面是这样的或者是有些相对比较总价比较低的一些产品里面是这样的但是汽车是相对比较特殊的它的渠道的影响力非常的强你说是一个新的品牌进入一个新的城市它这个辐射的速度更快还是一个已有的品牌它推出一个新的产品这个辐射的速度更快这个是非常大大区别的对就你在上海你去大众ID的门店ID门店的销售会有点愁眉苦脸为什么呢
[00:29:35] 大众电动车在心智上在一线城市现在确实不好使我们得承认这个事实但是在实验差距就没那么明显了老乡可能会觉得大众还是大众当他最近两年才刚刚开始接触电动车的时候已经有大众ID了已经有魏晓李就特斯拉了似乎在公平竞争一线城市的市民的心理路径是这样子的
[00:29:57] 就是我前些年先只看到特斯拉和比亚迪然后我只看到魏小李然后过了好多年你们大众宝马才搞个像样的电动车感觉你们就是后来者感觉你们就已经落后了那是因为一线城市人的生活方式中更早接触到电动车上海十年前就有人买私人电动车了但是在实验的实验市民们最近一两年才两三年才开始买电动车新势力的那种所谓的先发优势实际上在实验这种市场
[00:30:23] 时光机不是这么玩的这个道理跟我们的新消费一样不是说汽车消费有多特殊你看咖啡上海你能找出10个中国新创咖啡品牌对吧我们在实验整整待了5天我就没看到什么中国新创咖啡在实验我们在实验的市中心的商场每次去采访人的时候先去一楼买星巴克
[00:30:43] 然后附近有个瑞幸感觉就是像星巴克和瑞幸就像特斯拉和比亚迪一样Exactly就是为什么我们会说这点在车里面竞争非常重要就是传统的这些合资品牌强势的合资品牌他们大量的铺混动也好或者是纯电也好的产品周期就在这两年他们马上就要来了就是之前很多包括像未来的礼宾什么等等的他们讲窗口气窗口气讲的就是这个窗口气
[00:31:13] 当然如果去看上海车展的话看到很多电动车的产品同时你要看到那些强势的品牌他们发了哪些产品这些产品是不是过去它主流的市场如果是的话这个就是非常重要的点比如说你看到了一些过去卖最好的比如说宝马5系3系X3然后奥迪A6 A4对吧奔驰C级这些车型这些定位如果他们出现了混动的纯电的一些主流的产品开始出来了
[00:31:40] 那就意味着真正的竞争要开始大众别克其实都是一个道理对我给大家说几个数据虽然这些车在媒体上真的不是媒体和传播的宠儿但是大众ID系列在全网负面很多的情况下默默的去年就干了14万台还有一个数据就是你看宝马宝马两款电车也经常在网上被嘲笑一个是i3三系的电动版一个是X3的电动版很多人嘲笑他们有改变
[00:32:08] 很多人查了他们技术不行说他们是杂花电动车但这俩车现在每个月的月销量都在单车3000以上30万左右的高端纯电车单车月销量3000的中国有几款大家去查一查然后还有一个就是你看新的别克他们出的义务别克如果有个4米8 4米9的这种油车SUV它基本上也21万起它这次搞了个4米9的电车SUV它也21万起这车就开了个上海车展的发布会
[00:32:37] 然后即使在实验中偏远的地方我们去那边问了他们的销售他们在当地都订出去了两台用户都没有试驾车就已经先下订了实际上这就是老品牌的影响力特别是当这个用户可能是一个40岁的一个中年他历史上也开过不少丰田别克大众的车他可能对这种产品就是有信赖感的对吧我觉得讲这个之后我们要延伸下去一点其实刚才已经讲到了就是渠道的重要性
[00:33:05] 尤其是比如像你刚刚讲的相对比较保守渠道像网络还没有那么强大的一些特斯拉也好或者是一些新创的电动车品牌也好你觉得他们现在在这些城市该怎么办如果你最后志在中国成为一个主流电动车品牌你必须在这里有电我们在实验走访了理想的门店销售顾问告诉我们一个店在当地的一个万达广场商场店一个月能卖40台L789对这很不错了作为一个三线城市只开了一年的店
[00:33:33] 小鹏在当地已经开了快两年了可能一个月呢店员告诉我们是20多台的水平因为他是只卖纯电实验也不是很大城市就是任何市民可以很方便的找到一个门店看到你见得看得见摸得着试驾你的车跟你的人交流他到底是愿意在这种情况下去完成一个可能的购买还是在对吧门店都看不到APP能扫一眼然后我就把一个20万30万的东西给买了这怎么可能呢比亚迪在当地有四家店
[00:34:02] 这个里边我还想再细问一个问题就是有很多的品牌他们也会说他之所以不那么扩大开这个店的话一个是他们很多都是直营的他们开店这个成本比较大即使是他们现在开始有一些和经销商来合作的话开到这些城市里面他也就要考虑投资回报的问题我能不能用一些更加便宜的方式去开店或者是更加一种比较经济高效的一些方式把自己的车渗透到那些地方去是他们考虑比较多的你觉得这个方面他们能够做哪些事情
[00:34:29] 我们这次去采访因为找的很多都是我的发小同学以及通过他们转介绍的二次人脉其实我们见到的人没有一个人是开15万以内的车的他们在当地已经是中等偏上的经济水准了有A6的有哈佛大狗的当然这是一个用户他家既有A6又有大狗又开这种可能30万左右的福特的七座SUV的
[00:34:54] 有问界M5的凯迪拉克ATSL的凯迪拉克SX的这是我们沟通的很多车主包括奔驰C的特斯拉的这是我们沟通的这些车主它其实不是当地最主流最主流的人群
[00:35:07] 他们都尚且对电动车对吧就像我刚才说的那个态度你想当地更下沉的市场对吧所以说不仅是开店还有就是你能不能有一个迎合全国不同阶层消费能力的产品组合这非常重要那具体到开店上我的看法我觉得直营是少数企业最终的选择对于多数企业来讲最终要么全经销代理模式就是不管你商务合同怎么签是
[00:35:34] 典型的交商模式还是代理制模式一定是有供应商合作伙伴商帮你完成这件事情这是主流其次我认为还可能出现一种混合式就是一线和二线省会及经济发达城市我全部指引这些城市之外下面的地基市我通通交给代理商我认为这也是有可能探索出来的一个路径因为在后者这个情况下你能够兼顾大城市的体验
[00:35:58] 和管理一致性还有就是获得真实订户反馈增强车企自己2C的能力但同时又不会背上一个过重的财务包袱你能够把更多的社会资本给利用起来你刚讲那个混合其实已经是很多车子已经在考虑甚至是已经在实践的一件事情了是的他们会玩的更加的灵活一点比如说到三四线城市的时候当地万达广场总是有的对吧让我在那边先租个6个月或者是开个popup这种的展厅车先摆过去然后逐步的扩大
[00:36:26] 这个实际上是一个比较合理的方式而且我觉得是即便这个市场不够大你也要去做的一件事情因为就像你说的这个品牌的心智如果你现在再不去有一个存在感的话你后面会很困难除非你就是要做一个小众的品牌要做个利基的市场那也是OK的对就是车企现在搞电动车显然在中国最残酷最激烈这个难度不用重复了但是如果我有有限的10个亿资金
[00:36:53] 我到底往哪投我个人觉得现在效率上非常迫切的是开店我个人认为出太多的车型和在补能设施上的投资我认为都是必要性不太强的补能这个东西我还是那个观点它靠社会社会中有政府支持的补能设施会有民营资本支持的比如特来电新兴充电这一类补能设施
[00:37:19] 如果这些专业的补能设施供应商都做不好靠车企来把这件事情做好我觉得是非常难以想象的而且很多时候就算你做好了你也是替别的品牌的车主做到了服务不是自己那为什么呢我们算一个非常简单的数学账这个话我跟不同的品牌都交流过虽然他们可能在内部做补能我当着他们做补能的领导的面我也会这么说
[00:37:43] 就是你站在用户体验角度我自己没人比我更清楚这个事情作为一个用户我有集星我有特斯拉我有这个大众我有这个蔚来对吧我开台特斯拉和蔚来出门的时候他们俩都有自建充电桩大众也在中国建了开麦斯也上万根但我开这三个车出门的时候我的真实的用户体验是当我没电了我会拿出一个搜索工具查一下附近哪有充电桩
[00:38:06] 我不会优先选择说我既然开蔚来我对号入座我得去个蔚来的庄我开特仨得去特仨超级充电站开大众得去开麦斯我不可能这样干的我肯定是就近好当你就近的时候就发现一个问题中国有几十万甚至上百万具体数据我可能记不太清楚了应该是500万应该是500万中国应该有500万根公共充电庄
