Vol.74 大众集团罢免CEO的前因与后果
[00:03:44] 对没错就是这个意思所以实际上这次还是归根到底是一些大股东决定把迪斯罢免的吧没错就根据彭博社的报道这个过程还是很戏剧性的就迪斯那一周是在美国视察大众在那边的SUV的工厂然后7月16日的时候几方大众的大股东就开始讨论说我们要不要趁着迪斯在美国的时候就把它给换了然后到了7月20日大股东们讨论达成一致了
[00:04:10] 背后捅你一刀我对大众的股权结构不是很了解肖老师要不要先介绍一下哪些人可以决定大集团CEO的去留确实可以讲一讲因为搞清楚这个问题的话是我们了解迪斯为什么离开的一个信息的基础我们先看一看大众集团最表面的股权结构它最主要的股东有这么几方排名第一的叫保时捷控股它占31.4%
[00:04:37] 注意这里的保时捷控股不是我们熟悉的保时捷汽车公司而是保时捷皮耶西家族的一个代言机构至于什么是皮耶西什么的我们这次就不讨论了而我们熟悉的保时捷汽车则是大众集团的下面的一个子公司好绕对这种很绕的局面就是我前面讲到一些历史的部分它是数十年之间保时捷然后他自己家族内部以及和大众汽车之间错综复杂的纠葛造成的
[00:05:04] 你是不是给自己挖过一个坑说要把这个故事讲清楚的好像是有这么回事但是今天我们先放一放反正大家今天先知道保时捷皮耶西家子不是大众集团的第一大股东就这个家子不是大股东就可以了
[00:05:20] 那么第二大股东呢名字叫夏萨克森州政府它有11.8%的股份这个夏萨克森州呢就是大众的总部沃尔福斯堡所在的一个州是德国第二大的联邦州所以说大众里面是有政府股份的没错而且这个股东十分重要到我还没讲到
[00:05:40] 第三大是卡塔尔主权基金它是2009年投资大众集团的它占10.5%的股份剩下的都是德国或者说是德国以外海外的一些投资者了这么看起来这三大股东各有各的厉害哪个也惹不起但是总体来说这个公司的股权还是相对分散一些的这个就是比较奥妙的地方虽然刚才我们看这个股权的占比好像是比较分散的但这个股权占比它只是
[00:06:07] 所以说为什么这个投票权和股权不是一比一对应的呢
[00:06:32] 这个就具体说很复杂简单来说的话就是大众的股票分成优先股和普通股这个两类其实蛮多公司都会有这样的一个设置听上去优先股比较厉害是吧但其实优先股它是没有投票权或者是对公司的一些重大运营的一个决策权的它优先的是优先分红等权益的而普通股才是那些有投票权的那些股份这一套其实在中概股公司里面已经非常熟悉了就是所谓同股不同权的操作只不过就是每家做法不一样
[00:07:01] 早些年我记得阿里因为这个问题很受海外的投资者杯葛但是现在在港交所已经变成一个很常规的操作没错那么在这种设置下面这种我们看到的结果就是上面所说的真正的投票权其实是掌握在上述的三大股东的手里而且另外还有一条非常重要就是根据大众集团的一个规则投票权占20%包括20%以上的一些股东是对于重大事宜有一票否决权的
[00:07:28] 所以说就是皮耶西家族和政府的这个股东是都是有一票否决权的对你看政府那个投票权正好这是20%而且这个权益呢就是规定好的他最早的时候还是由德国的一个法律来保障的就是当时他们有一个著名的叫做大众法那是二战之后德国政府为了确保大众他不被国外的一些投资者来控制就专门制定了一个保护性的法律其中有一条就是规定这个州政府他必须要确保在大众集团里面有这样一个一票否决权
[00:07:57] 到后面的话就是变成这个20%的投票权虽然后面在欧盟这个体系里面其实大众法已经被废止了但是这个权益还是保留了下来也是经过一番斗争的所以总结一下就是现在大众集团里面最主要的两个化石人一个就是创始人家族另外一个就是政府的股东对就最粗略的概括就是这样
[00:08:17] 刚才我们花了一点时间给大家铺垫了一下大众的股权结构和一个管理架构其实就是为了搞清楚在CEO职位这种很重要的事情上面到底是谁说了算那么我们就要进入实际上的为什么这个部分了就是为什么迪斯会在一年前刚刚续任的这个情况下被董事会抛弃呢要讨论这个问题的话我们先要放一放就是讨论他的离任之前先要了解一下他为什么上任要扯到这么早的时间其实也没有那么早
[00:08:45] 迪斯其实在2015年的时候才离开另一家德国的汽车巨头宝马然后再加入大众的到现在也不过就七年嘛那他当时加门大众的时候担任的是旗下大众品牌的CEO这个是不是就跟保时捷家族和保时捷的关系啊这个两个大众又是什么来又要概念辨析一下了是吧这个大公司就是这样名词非常的复杂大众呢是一个庞大的汽车集团我们叫大众集团在下面呢有很多的汽车品牌
[00:09:13] 最有名的就是大众品牌也就是我们国内也很熟悉那个VW那个标志像里面那个高尔夫阿帕萨特这种车型都是的那此外呢它还有像奥迪品牌保时捷斯科达宾利兰博基尼什么杜卡迪啊等等等等有好多个子公司那么第一次一开始呢就是加门这个担任大众VW品牌这个子公司的一个CEO
[00:09:35] 那说回2015年迪斯加门这个时间节点的话就要涉及到一个重大的乃至是改变汽车业道路的一个事件就是大众的排放门丑闻那个也是一个很著名的事情了对这是在迪斯大概履行半年之后就爆发了这样一个危机当时是美国的这个监管机构发现大众啊他在他生产的一部分柴油车上面装了一个作弊软件
[00:10:00] 这个软件可以自动监测到我这辆车正在接受监管机构的排放测试这个时候它那些减排的部件就会全力的运行保证它能够通过排放的测试但是平时正常驾驶的时候就不会这样就使得它这个车实际排放的一个污染物名叫氮氧化物也是一个很主要的污染物它这个数量会比美国政府规定的指标要高非常多
[00:10:24] 而且大众一直隐瞒这个事情这是比较关键的事情所以最后就变成了大丑闻我记得那个时候我还在周刊里面写过一篇文章就叫世界第一魔咒来探讨一下背后的一些深层次的原因所以我们这次就贴在shownotes里面这里就不展开了那篇其实写的还可以大家可以看一下肖老师怎么自卖自夸起来了对反正大家可以去看一下说回来
[00:10:50] 就是在排放门爆发了之后大众大概要花快三年的时间才把整个危机在表面上平息了下来但是真的是元气大伤这个丑闻是导致大众有数千万辆车召回数百亿欧元的直接的损失比如说赔偿然后公司的高管换了个便甚至有人是坐牢的然后品牌的信誉也是一塌糊涂更关键是啊就大众以及很多的燃油车的巨头引以为豪的一个柴油车的产品
[00:11:17] 甚至整个燃油车的这个产品路线都被否定了就是人家开始谈论这个东西是污染很大的我们要走电动这个道路所以说那么多品牌都会去搞电动化了那么在当时接下来这个大众的公司要怎么走就急需有一个新的领导者来明确一下方向了底斯就是这个时候上任的了没错他是2018年的时候升任了整个集团的CEO
[00:11:38] 现在大家分析的时候会说它被选中大概有三个原因第一个就是它2015年才加入大众那么就没有之前的一些包袱这个排放门跟它不相关的它的背景比较干净第二个是它在危机当中的一些处理得到了一些好评就是在2015年到2018年这个阶段它在负责大众品牌的时候做了一些果断的裁员业务调整的一些动作给大众品牌节约了很多的成本同时还保证了销量的增长稳定
[00:12:04] 第三就是最关键的就是他是一个坚定的改革派他对于大众接下来的方向有一个明确的思路就是改革两个字改革这个听起来很空洞但是能在这个时间点明确提出来也是作为高管的话是蛮有勇气的一个事情而且第一次这个改革的话说实话也没有那么空洞就是我自己总结一下就是十个字
[00:12:25] 学习特斯拉敢超特斯拉啊跟特斯拉有什么关系就是迪斯呢他确实是一个比较新派的这个德国的高管啊他还蛮喜欢使用社交网络的他尤其喜欢在linkin上面发文章他在linkin上面发过一篇很赚的文章就叫做how we transfer volkswagen就是我们如何让大众转型
[00:12:46] 感觉是一个施政纲领不是一个随便在社交媒体上就发的东西吧对啊我感觉真的就是施政纲领这个性质但是是一个公开的施政纲领在这篇文章里面迪斯是提到了五次特斯拉总结来说他就是认为大众已经在很多方面远远落后特斯拉了体现在产品上面就是它的电气化和智能化的水平不够体现在公司的治理上面就是大众现在是一个臃肿的比较僵化的大公司的架构
[00:13:12] 和这个特斯拉这种比较快速高效的这个系统之间有很大的差距小老师你这个是自己发挥的还是他本来的原话这个你说他是一个新派的领导者这个是不是也太新派太不留情面了对就但是这个真的是他自己说的而且我觉得我总结的已经是比较简练了他有的话说的我觉得还更加厉害一些这个其实也是迪斯的一大问题就是你在公开场合这么喊话虽然这个改革的方向当然是比较好的然后呢
[00:13:41] 能够正视问题体现出这些弊病也体现了一个改革的决心还是不错的但是另一个方面呢就会体现出你刚刚提到的那个问题就是有点不顾公司上下的一个情面和面子了就是你把大众现在情况说的好像特别的差包括他经常在社交网络上去赞扬特斯拉这个其实让大众的很多德国的工程师们是蛮不舒服的但是迪斯自己认为这就是他一个管理的方式或者说是推行改革的一种方式就是要公开的把问题说出来
[00:14:08] 反正他这个改革的态度我是感受到了但是更关键还是到底怎么做他具体要怎么改来对但他核心的话其实就是两点智能化和电动化这个其实也不新鲜当时所有的传统汽车巨头都是在往这两个方向走
[00:14:22] 听过我们戴森那两期节目的听众可能会记得原来戴森也是很认真在做电动车的但后来把这个项目终止了一个重要的背景就是当时欧洲的车企们在大众排放门以后都开始认真严肃的大项转身all in电动车了一个比一个all in没错 这个也是为什么我说大众的排放门是一个改变汽车行业道路的一个事件大众它自己本身就是一个转身比较迅猛的一家公司
[00:14:47] 迪斯是制定了一个非常可以说是庞大且雄心勃勃的一个计划他要花很多的钱让大众造更多的电动车还要花更多的钱来研发软件和自动驾驶的技术具体而言的话他把这个改革起了一个名字叫2023愿景英文叫2030 New Auto你知道这个大众的本来那个slogan是名字叫Das Auto就是The Car他现在就是叫New Car对吧很厉害的一个名字具体而言他就是要到2030年
[00:15:17] 要投入730亿欧元在未来技术上面这就是一个改革的主要目标我记得我们节目早期有一期节目就是你引用过著名汽车设计师这个叫克里斯班格的一句话他说auto是用来解决问题的工具car才是艺术结果这个大众说是说要花这么多钱做未来技术结果做的还是auto
[00:15:39] 那你只有这个工具才是能够更加普及能够做成个大生意的嘛对吧卡那个是比较艺术的一个方面不过这个话说回来这个改革的使用心呢其实对迪斯还是有一定帮助的因为我们刚才提到他能够被推到这个位置上面就是因为他要推行改革那么改革的这个方向呢其实也是获得了监视会当中投票权最大的也就是我们前面提到的保时捷皮耶西家族的一个支持
[00:16:05] 因为作为这个大股东他肯定是希望能够通过公司的发展获得更大的利益那么他们也比较认同说这个改革能够帮助大众持续保持在汽车行业的一个领先的地位所以他愿意支持这样一个改革派但是改革改革就是要动一部分既有利益的你花这么多的钱来投入所谓的新技术未来技术那么这个钱从哪里来呢除了大众已有的一些家底以外其实有两个比较瞩目的方向就是他也要筹一些钱的一个是保时捷的IPO另一个就是裁员
[00:16:34] 进入重点了没错那保时捷的IPO呢其实是这个当中比较OK的就大家相对比较赞成的一个方向简单而言就是现在的保时捷汽车是大众的全资子公司但是大众是计划让它在2022年独立IPO然后保时捷PSC家族呢可以从中提升在保时捷当中的一个化学权各个大股东也可以获得一大笔的这个特别的派息也是一大笔钱
[00:16:57] 那么IPO获得的另一些这个现金呢主要就是归大众自己大概有几十亿欧元左右那这些钱就可以用来改革了等于是用市场的钱让大家都满意了没错但是另一个方向呢就是很难让大家满意了就是裁员这个问题在2021年7月迪斯是刚刚经过了一系列高层的这个斗争之后获得了他的一个续约合同就是我们前面讲到的续的2025年的那个合同
[00:17:22] 但是没过几个月德国媒体就开始爆出来说迪斯向监事会陈述说我要在大众裁员3万人而且就是在沃尔福斯堡这个总部这边就要裁3万人来宣解整个集团的成本而且据说迪斯在这个陈述里面还拿特斯拉做比较说特斯拉生产50万辆车只要1万人但是在沃尔福斯堡你要生产70万辆车就得花2.5万人这个效率差好多结果这件事情愈演愈烈
[00:17:48] 到了11月的时候迪斯是不得不在一个员工大会上面承诺说大众不会大规模的裁员而且承诺说大众是一个社会企业这个承诺听上去很有中国特色我们看到一些德国媒体的报道真的非常有戏剧性他就说11月4日当天迪斯本来是要去美国见投资人的但是因为这个事情当得很大了他被迫改了行程然后去参加员工的会议而且他在会上被工会的代表是怒怼
[00:18:16] 公会代表说你这么喜欢特斯拉是不是下一步就要买一辆特斯拉来开一开了然后迪斯赶紧回应说我开的是大众而且我开过很多大众大众是最好的车在汽车行业里面如果你一个公司高管买别家的车的话确实听起来犯大忌就像你在Nike公司你穿了椰子鞋去上班一样没错就是这种感觉总之这个事情就激化了迪斯和公司内部尤其是公会的矛盾而刚才我们讲到大众有个大股东是政府而且是有一票否决权的
[00:18:45] 而在裁员这个问题上面政府是绝对站在工会这一边的就是不会同意裁员的这个其实也很好理解其实早在2020年的时候迪斯和监事会要求续约的情况下就有很多的阻碍其中重要的一点就是工会担心迪斯接下来会大规模的削减成本包括就是裁员
[00:19:02] 但是那个时候话语权最大这个家族股东还是站在迪斯这一边的然后反复的沟通和各个监视会里面成员沟通了之后终于迪斯是获得了他想要的那个续约的协议也就是说监视会给了他时间让他继续推进改革了所以说一年以后这个家族股东就想法改变了对为什么呢家族股东毕竟也不是这个公司的一言堂大众是一个社会企业它还是个公开的上市公司
[00:19:28] 他也要考虑各方面的压力你让迪斯接着干本来就是一个承受着压力你要兑现出成果的一个决策但问题就是迪斯的改革进展不是很顺利成果不是很显著除了你前面说的裁员没有裁下去还有什么其他的问题吗就讲最核心的两个部分第一个就是智能化迪斯在2021年续约之后其实他的权力就发生了一些变化他不再直接管理大众品牌了而是主管大众旗下新成立的一个软件公司
[00:19:57] 这个公司呢也是迪斯利主来成立的就是他把大众旗下各个品牌已有的一些软件部门啊这些软件工程师们都整合起来成为一个独立的软件公司来负责整个公司的软件开发他的核心的一个目标是什么呢就是说我要开发一套能够适合各个品牌电动车的一个软件的基础架构就像特斯拉还有中国的一些创业公司一样他们都有一个独立的软件部门对吧一切的软件都是自己来搞的所以说是他的软件部门进展不是很好了
[00:20:24] 没错就根据路透社的一个报道因为这个软件公司的研发进度缓慢都已经导致了一些新车的发布受影响了就你这个车硬件已经准备好了软件一直拖着另外我也看到报道就是这个软件公司有个很大规模的招聘计划但是招入人也没有想象中那么顺利等于是你一个核心的改革的政绩就没有成效第二个部分的话就是电动化大众现在其实已经推出了一批新的电动车了就是ID3 ID6等等大家看到的
[00:20:52] 它在欧洲的这个市场占有率还是不错的还超过特斯拉但是在中国和美国这两个新能源比较重要的市场它的表现就没有那么好了你别说和特斯拉打了就跟本土的一些创业公司相比也没有什么销量上的优势这个也使得大众整体的这个销量的数字在2021年和2022年上半年都不太好看再加上更加倒霉的是因为全球的这个经济环境不好所以保时捷的这个IPO也遇到一些阻碍它的估值可能会下滑
[00:21:20] 那这个也会影响到大众整体的一个改革计划我们讲的所谓天时地利人和嘛结果底司什么也不占其实真的是有点这个感觉其实要分析原因的话也很难说这是他一个人的责任比如说什么销量下滑之类的可能还是很多跟全球性的一个芯片短缺有关系嘛没错但是没办法嘛很多事情都是为结果论的而且你就是CEO改革又是你主推的你在公司本身有那么多反对者
[00:21:45] 如果你这个改革见不到成效的话那么原本支持你的这个大股东他失去耐心也是在情理中的一个事情了
[00:21:53] 前面我们算是从头捋了一下迪斯离职背后的直接和间接的原因那么接下来的问题就是迪斯坚定的改革派离职以后大众会怎么样还会继续改革吗我们毕竟人不在沃尔福斯堡对吧也不是汽车行业里面的专业人士所以这个部分纯粹是谈一些自己的想法大家听听看看也欢迎批评和讨论的我想是从短期到长期这样来说
[00:22:20] 首先在短期内我的一个判断是大众的一些当下的主要任务是不会改变的比如说保时捷的IPO肯定还是会朝着四季度上市这个既定目标去走的这个呢也从迪斯的接任者是奥伯穆能看出来因为他原本是保时捷的CEO而且此前他也是保时捷上市计划的一个大力的推动者所以这肯定是他首先要搞定的一件事情第二个呢就是中期
[00:22:42] 第一次在2030年愿景当中提到一些具体的目标我觉得有可能就会打点折扣了在它离职之后这个2030年的愿景我们前面提到了什么731种很大的数字但它其实里面还是有一些具体的目标的比如说它希望大众能够实现各个品牌全平台都能采用标准的电芯那这样呢全集团的这个电动车就能够在核心零部件上面达到一个很大的规模效应
[00:23:09] 第二个就是它要统一所有的软件架构包括一些自动驾驶的研发第三就是它要有一个全集团的电动车的统一的平台反正就是统一这个还是蛮难的因为毕竟这么多品牌确实是很困难的比如说我觉得保时捷有可能就接下来不太会参与在其中了因为IPO了所以就不参与了吗有一部分这个的原因它肯定会独立性更加大一点另外一个的话就是保时捷虽然是大众的全资子公司但是历来都在各个方面比较独特是独特的一个
[00:23:38] 就像在燃油车时代其实大众也推行过全集团的一个统一的车型平台像奥迪和大众都是参与其中的我们在中国市面上开过的很多这两品牌的车都是还属于这个平台里面的但是保时捷是不参与在其中的电动车时代也是一样保时捷有自己的电动车平台然后他自己的电池呢也自己找了合作伙伴并没有和大众的集团用一个说到底就是我们不一样对不一样不一样
[00:24:03] 但是这个整体的目标肯定还是会推进下去的因为即使在电动车时代你这个规模效应依然是存在的对吧所以你这些核心的零部件你要去统一也是很正常的只不过推动起来这个可能就会有些慢了或者说不一定那么彻底了这个短期中期都讲完那长期问题就是2030年以后大众是什么问题呢
[00:24:22] 长期的话就更加是我们单纯的主观的评论的范畴了我觉得这个问题就是所谓的大众是不是能够在我们讲新技术的浪潮里边真的能够实现所谓大象转身然后赶超特斯拉对吧然后保持它在燃油车时代那种全球数一数二的领先地位你有判断吗这个真的很难下判断尤其是我不太喜欢有那种比较绝对的乐观或者悲观的一个预计
[00:24:49] 我觉得你这个判断真的很稳妥你要么再展开讲讲
[00:25:17] 这么说吧就是我们经常用大象转身这个词来形容大公司转型但是所谓的这个大象转身是什么样的场景呢我觉得有可能很多人会觉得更像是那种比如说一个静态的大家伙对吧慢悠的掉个头然后这个掉头的动作很慢很难是这个概念但其实不是的真实的状态有可能更像是什么呢就是一头大象他正在全力的奔跑一直在全力的奔跑然后蹦一下掉在一个坑里边
[00:25:43] 然后好不容易晕晕乎乎的爬起来之后发现自己已经站在一片新的大陆上面了方向也搞不清楚然后环境也搞不清楚他得想办法重新跑起来这个有可能才是更加贴近实际情况的一个大众的转型的过程大象到底是掉到坑里还是掉到虫洞里了会在一片新大陆上不过大家如果看过去年那个西双版的那个象群散布那个故事就知道这个大象光是要让他重新找到方向这个都已经很难了还让他跑起来这个就更难了
[00:26:11] 我们讲这么多这个动物世界其实核心就是讲这个里边有个区别就是说惯性因为大众在排放门之前是沿着燃油车时代的这个规模效应这条道路是在全速奔跑的就他不是墨守成贵然后就这样每一年一年一幅一幅的做就这样做下去了他一直是在往前推进这个规模效应的当时他就是想要冲到世界第一但是一下子遭遇了这个排放门这个很大的事件
[00:26:36] 大人世界变了对真的是世界变了然后后面整个世界市场的环境发生很大的改变之后你对于汽车的要求完全变化了对吧但你原来去追求哪个世界第一的这个路径已经是不可持续的了那其实全球的汽车巨头们都是这种感觉就他们原本太熟悉原来的一套了把原来的一套玩得过于精致后呢你当这个规则发生变化之后反而很难适应
[00:26:58] 这种时候你当然是要改革但是你要完全的在内部去模仿那些新公司的体系是非常困难的举个例子你像特斯拉没错它确实是有一个独立的高话语权的一个软件部门但那是人家公司一开始创业的时候就想好的我要这么做而在传统的汽车业你这个软件部门或者软件的研发在整个汽车的研发当中的位置早就已经规定好了有一套定式了你现在要重新打破它然后重新整合
[00:27:27] 就等于要改变这些已有的汽车研发的工作方式这个当中部门和部门之间人和人之间的矛盾和摩擦很难避免所以说大众的软件公司的业务拖延其实一点都不意外这个就是所谓的历史包袱从零开始还是比较容易的到了一半你再做内部改革就很难你除非重新开始一个新公司没错这种软性的公司机制上的包袱其实和裁员这样的现实挑战是紧密相关而且更难扭转的
[00:27:55] 所以大公司的改革真的是非常考验领导者的一个记忆不只是大众啊我们在很多的大公司上面也看到过这种领导者因为改革的步子太急然后被踢出局的一个情况像2014年前这个福特的CEO菲尔茨也是一样的然后像当年索尼这个本世纪初的时候遇到困境的时候他拼起的那个美国CEO也遇到过一样的困境
[00:28:17] 所以说就像前面说的反而是在大公司外面建立一个相对独立的新组织可能包袱会稍微轻一点比如说Google变成Alphabet然后它就可以把其他的一些不赚钱的东西变成Otherbets非常同意当然我们最后还是要说即便是传统的汽车巨头里面最保守的工程师我相信在这个时候也肯定会承认改革是必须的即便改革未必成功商业就是这样
[00:28:46] 感谢收听这一期的商业就是这样你可以在苹果播客小宇宙喜马拉雅网易云音乐QQ音乐荔枝等平台收听我们的节目微信公众号第一财经emagazine也会推送每期节目的内容如果喜欢我们欢迎你在苹果播客给我们五星好评并期待你在各个平台与我们交流尤其欢迎分享你感兴趣的话题下期见
