Vol.20 iPhone的隐私保护功能真管用吗？
[00:12:23] 你看这些公司为了维持它过去侵犯你隐私的这种行为已经变得多么荒唐了说起来就是Facebook和苹果这两年真的是各种吵架他们两个除了吵这个数据隐私保护的问题以外还吵过APP内付费的抽成比例问题就是我们前面提过的所谓的苹果税苹果税这个事情上苹果其实最后多少是有点让步的至少它针对小的应用开发者的话降低了自己的抽成比例对吧
[00:12:50] 但是在IDFA和个人信息保护这件事情上面Facebook是只能认的他前一段时间就发了一封邮件其实是一个公开的一个声明了大意就是说没办法我们只能遵守你苹果的规定但是我们心里是不服气的另一个特别巨大的广告平台Google的话面对苹果的这一波攻击的话它的身段就相对来说更灵活一点它的反应是我接受苹果的新规定但是我会另外找一个识别的办法来追踪用户的信息
[00:13:18] 当然这个方法一定是合法的但是我现在不告诉你是什么刚才讲的其实主要是一些国外的大公司的一些反应在国内的话其实苹果的更新引发的一些公开的反响或者说是舆论当中的讨论没有那么多所以他才要去做广告来宣传这个功能是吗有可能是这样的但其实在大公司内部这个反应是非常迅速也是非常紧张的因为苹果除了关闭IDFA的追踪识别这个一招以外还上线了很多别的隐私保护功能
[00:13:47] 比如说APP不能随意的调取相册里的照片了而是用户可以选择哪些照片给哪些APP来读取另外就是剪切板凡是APP扫描或者说是识别了你的剪切板苹果手机上面都会出现一个小的服装提醒你刚才某个APP读取了你的剪切板这些事情的本质就是让APP获取你个人信息的这个过程变得更透明更可见也更容易被用户拒绝了
[00:14:11] 对于国内那些很依赖定向广告赚钱的公司来说生意一下子就很难做了我们举一个例子最典型的例子是阿里巴巴据我们采访了解去年苹果的iOS14它推送了demo版之后那些开发者他们已经发现了苹果这个新的功能了阿里内部其实是非常紧张的他们是连夜召集了好多个部门跨部门之间开会要商量对策他们梳理了一圈就发现这个事情最后会对自己这个公司产生两个很大的影响
[00:14:39] 一个确实是会让自己获得的一些用户的数据变少了影响一些业务的开展主要就是广告推送有可能不那么精准了不那么有效了另一个就是会有舆情的威胁就是消费者还有用户可能会发现你这个APP原来一直在拿我那么多数据它会给你产生一个不良的感受我们举个例子就是前面提到剪切板这个功能过去我们很习惯就是说我们在微信里面没有办法直接打开一个淘宝链接要去复制一段淘口令对吧
[00:15:07] 然后打开淘宝然后淘宝会给你一个弹窗把这个商品弹出来这个功能的话肯定要复制到你的剪切板大家都是默认说这个是阿里和腾讯之间的事情但是实际上的话淘宝的操作是无论你之前是否复制了淘口铃只要你打开淘宝它都要先扫描一下你的剪切板如果你知道这一点以后你是不是很不爽其实你试了这个功能之后就会发觉很多APP都是开头就直接会来扫描一下你的剪切板它是一个标准的动作
[00:15:35] 我这样更不爽了但阿里最后是决定先下手为强或者说是赶紧内部调整了一番他把那些非必要的获取用户的信息的一些行为或者说是功能都取消了比如说在支付宝的有些页面里边他本来打开的时候也会去扫描剪切板还有相册但其实是对他这个功能没什么必要的他就把这些功能都取消掉了还是做了点好事的
[00:15:59] 就是讲完国内和国外的这些大公司对于苹果这类隐私保护更新的反应的话我们的听众可能会觉得说这个事情好像真的打到这些大公司的痛处了这个就能保证我们的隐私之后不会被这些品牌商随意地拿去用这些功能肯定是有实际的帮助的但是效果的话可能没有你想象的这么好这里边有几个原因首先就是我们刚才提到的这些隐私保护的功能
[00:16:22] 尤其是比如说提醒你这个什么剪切板啊然后要你确认啊这些并不是iOS系统独家的一些隐私保护的功能举个例子比如说在小米的这个MIUI的那个12里边吧它里边有一个类似的叫做照明弹的功能就是比如说你这个有的APP它打开了你的这个什么录音功能或者说是获取你的相册啊之类的它也会有个弹窗的提醒但是这个功能那时候推起来的时候就没有获得那么大的一个响动
[00:16:47] 另外一方面就是说目前我们主要限制的还是像IDFA这样的广告识别服务它限制的是公司和公司之间共享同一个设备的数据限制了联盟之间产生一个完整的用户画像但是问题是现在有些公司的业务规模实在是太大了它根本不需要跟别人联盟仅仅是通过它自己内部的一个账号系统就可以掌握非常多的个人信息了这个我们很容易理解又要说到阿里了
[00:17:14] 比如说一个支付宝的账号或者一个淘宝账号能够登录很多阿里系的服务你的衣食住行吃喝玩乐都能在这个大的系统里面满足它相当于在一定范围内就已经实现了数据互通又比如说字节跳动字节跳动的应用非常多仅靠自己内部的数据和算法就能给你推荐足够有效的广告了这个其实核心就是说这些大公司的账户系统是多少能够取代这个IDFA的功能的
[00:17:40] 那么在国外的情况又有些不一样也有些类似的地方就是说在国外大公司与大公司之间这个数据是基本不互通的比如说Facebook它是不可能跟你Twitter共享这个数据的Google也不会和你Twitter共享数据但是Google和YouTube之间就可以共享数据那人家是一家人对吧所以其实在美国市场这个定向广告本来就不是那么精准的
[00:18:04] 就是说它不可能监测到你每次的行为然后画出特别完整的用户画像它是有一些偏差的所以说苹果这个功能它确实是削弱这方面的效果但是它也不可能因为这个新的功能出现它就活不下去现在国外也有类似于像阿里字节腾讯这样覆盖很多业务的大公司也有很多账号系统内部的搜索比如说亚马逊对吧所以说大公司受这件事情的影响也不会那么大但是他们还是数据是够用的可以画出一个够用的用户画像
[00:18:34] 这个其实就涉及到下一个我们很想谈论的话题就是大公司对于保护用户数据
[00:18:58] 之前不是经常有个比喻吗说数据是这个时代的石油甚至有的比喻更加夸张对吧说数据是这个时代的核燃料但这些比喻其实都有两层意思首先就是说数据很重要很值钱但另一层意思就是说如果这个数据泄露了也很危险很糟糕正是因为像数据泄露或者说隐私保护的丑闻都是对于大公司来说非常糟糕的事情所以大公司会特别注意用户个人数据的使用合规
[00:19:25] 这个合规的话有收集合规保存合规使用合规和分享合规分成四个层面就是说谁有这个权限通过什么方式能接触和处理这些数据都是有严格的要求的因为一旦出了问题造成的威胁就会非常大假设说一个部门内的数据任意流通的话就很有可能造成一些核心的敏感信息流传出去比如说用户的生物识别信息比如指纹红魔这些数据包括一些金融的数据比如说你这个人到底有没有钱
[00:19:54] 这流出去的话就不是舆情的问题了就会变成形式问题
[00:19:58] 对吧但反过来说在这个合规的范围之内你是真的很难压抑这些公司去获取数据的一个冲动或者一个习惯举一个最基本的例子比如在一个公司里边对于写APP的一些基层的工程师来说他的一个本能的反应就是我一次性先拿出所有的数据嘛对吧既然这个操作系统可以开放给我这么多权限我就把这些权限都要过来我再研究这些东西怎么用肯定是最方便的
[00:20:20] 而不是说我现在我只是少量的获取我需要的数据但到时候我还想要一些新的数据我还要再开放一些权限那就很麻烦你到时候还不给我了对对一个工程师来说他的想法可能就是这个样子那么对于一个部门或者说一个公司来说的话其实也是这样子的法律和行规的话其实就是为了防止这种偷懒的做法来伤害到用户法规必须要给出一个明确的可以执行的规范来对于获取个人数据的行为进行限制
[00:20:48] 比如说最基本的就是个人的敏感信息比如说指纹啊人脸就是要保证它只能是最低限度去获取而且获取的时候必须明确地告知用户要给用户一些选择的权利还要严格地限制分享严格地有保存的规范有了这些明确的规定和处罚的规则之后呢公司才能有动力去改正自己的行为如果涉及到外部性的事情的话不管是隐私还是环保的话都一定要通过这种外部的法规来推动改进
[00:21:16] 那除了法规这个事情本身很重要以外呢像苹果这样的公司它能够在公开的宣传上面强调隐私保护这件事情至少说明它已经成为了一个行业或者整个社会的共识而且通过它的这个带头自我来修正或者自我来进步至少也能对整个行业有一个盈利的作用从当个消费者的角度的话肯定有自己的办法来推动保护自己的个人信息
[00:21:39] 比如说遇到那些对于个人信息获取很不注意的APP的话你可以通过官方的渠道去投诉你也可以选择直接不用它的服务用脚投票对吧去选择那些注重个人信息保护的APP的话这也是一种方法在一个商业社会里消费者权益的保护从来不是单方面施舍而来的而是要从上到下各个方面努力争取得来的商业就是这样
[00:22:06] 下期见
