Vol.50 冰雪南下的生意
[00:06:21] 它主要是打了两张牌就一个是所谓的高收入人群另一个就是所谓的生活方式都是已经听烂的词对吧先说第一个就是消费人群像斯诺51的话它办一个30次的半年卡价格是12888元相当于是每次400元如果是包全年的无限次的这个年卡是31888元其实不小的消费了对吧
[00:06:46] 这就可以理解就是能消费得起这种爱好的一般收入都不会很低但是问题是有足够多收入不是很低的消费者吗说到这个我们就稍微扯开一句来讲一下滑雪的人群其实滑雪一直以来都是一个挺贵的爱好国际上有个比较通用的一个看法就是人均GDP超过800美元之后像滑雪潜水这样一些运动才会逐渐流行起来
[00:07:11] 因为这些项目都有一定的环境和装备的门槛还需要你专门去学其实都是挺费钱的你像我们的邻国日本是著名的一个滑雪大国那里流行滑雪也是从上世纪的六七十年代开始那时候日本的经济腾飞中产阶级开始追求所谓的休闲的消费所以就在很多地方建立了滑雪场
[00:07:39] 日本的滑雪人数是1961年首次突破100万人的到了1991年就是30年之后就达到了一个巅峰是1700万人你想想看日本一共才一亿多人相当于十分之一还超过的人是喜欢滑雪的而且他们的主要的客群就是家庭用户大人带着孩子一起去滑一般都是假期去度假所以也就形成了一个比较经典的雪场加度假村的这样一个形式
[00:08:01] 如果从最近公布的一些统计数据来看现在中国的消费能力确实有些城市也达到了这个阶段尤其是北上广深这些一线城市所以可以理解Snow51可以在这些城市起家而去做得很好对因为你像中国是2016年达到了人均GDP8000然后像一线城市这些地方也已经比较早的超过了人均1万美元的这样一个GDP的数字所以说有了这样一个基础
[00:08:26] 那说到这个呢还有另外一个重要的事实就是目前中国其实滑雪的主力消费人群就是在没有雪的那些地方没有雪的那些城市主要就是像长三角啊珠三角啊包括西南啊等等的一些城市群我有个朋友叫柯文浩他做了一个叫60秒度假直北的一个自媒体他就给了我一个数字是说2020年冰雪旅游客源城市的前10名里面
[00:08:52] 北方的城市只有北京和郑州其他八个都是南方城市当然这个是旅游的概念不单单是滑雪了这个就是所谓得不到的所以才特别感兴趣的那个逻辑就是我们朋友圈里面南方的朋友还是比较多的一看到下雪就兴奋的不行对然后就会被北方的同事吐槽没见过世面没有见过世面所以说像雪坛这种适合没有雪的地方的设备就有了所谓的消费基础
[00:09:17] Snow51的客群的话其实还有一个和日本类似的就是刚才提到的就是大半的客人都是家庭其实就是孩子来学然后家长就跟着一起来这个学堂上面来学了那这个家庭里边对孩子身上的消费就会更加不计较所以能承受的这个金额就会更大那这些用户呢都是购物中心最喜欢的那这大家就很好理解我再举个例子就可以明白了就是Snow51在上海它除了进商场以外还有一个选址就是在山姆会员店
[00:09:45] 你想想看大人在山姆店里边采购然后孩子在滑雪机上面学滑雪一个周末就过去了这个用户话题上真的是做得非常吻合了
[00:09:54] 那么就要说到斯诺51之前说的第二个卖点所谓生活方式了这个词已经完全被说烂了对的呀那这个就要提到斯诺51的一个创始人叶凯他呢是做过连锁餐饮的所以本身就和购物中心非常的熟悉有很多这方面的资源所以他天然的就想要去购物中心吧而且他也就非常懂购物中心喜欢什么样的话术所以他在起初推荐斯诺51这个业态的时候就特别强调说
[00:10:21] 我们是一个生活方式而不是运动培训据说这个话术是很奏效的我们同事江瑞杰和许世宇去采访他的时候他就说我一说生活方式他们这些购物中心就听懂了呵呵我不懂我可以理解你这种感觉不过他强调的生活方式确实是和之前的那种血坛的培训有所不同的刚才我也提到其实Snow51之前血坛在南方的城市已经出现了就像我也去学的但是那个时候他们的主要
[00:10:50] 是一个引导的作用就是所谓的学坛引进门你滑雪还是要去户外去真的雪场的所以学坛卖的主要也是教学的课程比如说八次或者十几次的一个课程让你学到一个程度你可以去初级雪道中级雪道去滑了但是Snow50它就搞了年卡这样一个模式就无限次的滑而且在实际运营的时候他们也特别会向顾客去推荐这样一个产品据Snow50自己说它一共有5000名会员其中80%是年卡
[00:11:19] 而年卡用户的典型特征就是住的比较近然后经常来滑天天来滑把这个作为日常的一个生活了就是非常像健身别人在跑步机上跑步我在雪毯上滑假雪一模一样没错就健身这个类比是非常精准的你想如果你只是一个培训的话那你的客户是会一直流失的因为我学了几次课之后我就去滑真雪了我不用再到你这边来学了这样的话每个客户能创造的这个产值其实上限是很有限的就是一个课程培训的这样费用
[00:11:48] 这也是为什么像雪库雪乐山这些品牌他们都很强调和雪场合作他就是要承接你接下来去户外滑真水的时候的消费否则他做这个生意就很有限但如果你是个年款会员了你就等于是在持续的复购每个会员能产生的这样一个产值就会大大的提高这个就是所谓健身房的逻辑这样子说的很美好但是健身房大家也经常质疑办了卡不会去真的去健身像Snow51这样的公司实际运营下来能行得通吗
[00:12:17] 在运营层面的话肯定是有挑战的因为都是创业公司我们目前没有明确的数字这边就是引用斯诺伍希的创始人叶凯他自己的说法说是目前的门店能够保持的是运营层面的基本的盈亏但是要回本要盈利其实还是比较困难的另外真的要让他们的客户把滑甲雪变成一个健身一样的生活方式只是还要做非常多运营上的尝试的
[00:12:43] 不是说他们来了天然的就会把它认为是一种生活方式你是要做很多事情的都能做哪些事情的都只有花甲学这个事情听上去有点意思有一些其实你可能可以想象比如说他们会跟购物中心里面的一些其他品牌搞搞联名店或者联名的一些区域买衣服了还有就是餐饮他们会请这些购物中心里面的一些比较好的餐厅的所谓米其林的大厨跑过来搞一个餐饮区做做菜
[00:13:08] 他们还会做一些儿童的游戏区然后经常搞一些周末的活动简单而言就是另外一个现在大家都说烂的词就是要努力营造一个社群从一个说烂的词到了另一个说烂的词对的不过呢就是对他那些已经白印这种方式的一些消费者来说呢他确实是会有一定效果的我举一个有点相关的例子吧就据说过去滑雪都是有鄙视链的嘛比如说在国内最好的是去新疆的一些雪场
[00:13:35] 然后是去东北然后是一些别的一些区域的一些户外的雪场再往后就是鄙视链比较底端的是室内滑雪场然后最下面的就是滑雪毯这种假雪的是属于鄙视链尾端的但现在在斯诺51的重度用户那边他们这个鄙视链自己已经反过来了因为他们觉得自己在雪毯上面才能学到最标准的动作形成最好的一个肌肉记忆然后你在外面滑的话都是用来看风景玩没有他们那么专业
[00:14:01] 所以他们在学产上面也能够获得一种运动的愉悦这个非常中产的味道强行自我感动对这个当然是个人有个人的看法当然啊这个森特五十一其实也是会做一些很实际的开源的获取客户的一些工作这个就涉及到冬奥会的效应了为了让三一人上冰雪嘛所以政府就会在校园里面推广冰雪运动那你北方的学生可以中天就直接去滑冰滑雪那南方的学校怎么办呢
[00:14:27] 这个斯诺571就在教委的这个牵头下面在上海他就和16所学校已经合作了去开展滑雪的课程还在自己的场馆里面做滑雪的一些竞赛那你想想看这些上过课的这些学生天然的就是他一个潜在的课员嘛那这个指向性其实就非常明确了把肖老师前面讲的这些内容简单总结一下就是模拟滑雪机或者叫雪毯这个部分原本它是给专业运动员训练用的一个设备但是随着国内收入水平提升
[00:14:54] 滑雪的热情其实是越来越高的所以这个设备就被引入到了一些没有雪的城市里面变成了普通人学滑雪的一个入门方式而Snow51这样的创业公司就是更进一步把雪毯放到了商场里面让它变成一部分中产家庭的一种新的生活方式没错
[00:15:11] 那我们就讲第二个案例就是室内滑雪场吧好呀因为前面斯诺伍基讲了这么多但他毕竟还是一个创业公司然后这个液态还是比较新的他所覆盖的人群只有那么一丁点我查了一下数据就是2020年全国滑雪的人数已经超过千万了那雪潭在这个当中其实真的只是零头的零头大多数人还是喜欢去滑真雪的
[00:15:34] 那对于南方的城市来说呢你没有天然雪那一个最主流的解决方案就是做人工的室内滑雪场那这里的一个主角呢就是融创雪世界为什么融创一下就变成主角了呢我们看数字啊就截至2020年融创一共在中国开了六个融创雪世界这每个雪世界就是指室内滑雪场那全球一共其实才有90家左右的室内滑雪场
[00:16:00] 而且全球前十大规模的室内滑雪场里面荣创的雪世界就占了三个就是荣创这个公司我对它理解它本质上来说还是一个住宅开发商但规模还蛮大的有段时间很有钱接盘了很多万达的项目更著名它还接了一个公司叫乐视就是有一段时间它是一个著名的所谓白马骑士的这种接盘侠当然最近荣创日子也不算很好过它在武汉昆明卖了很多项目来回血
[00:16:29] 但是他为什么当年会想到做冰雪这个事情呢这个就要从融创雪世界这个来头说起了就其实袁老师你前面也提到了就最早的时候啊这个应该叫万达雪世界当初万达还在这个所谓重资产模式的时候就在全国搞了很多文旅程嘛很大规模的一个超大的综合体又有shopping mall又有写字楼还有酒店住宅最重要的就是有很多文娱的设施比如说游乐园啊水上公园啊影视基地啊等等的
[00:16:57] 都是十几万平方米的项目那这些文旅城里面呢有一些就已经规划了室内滑雪场的项目甚至还有一个已经建成了就是在哈尔滨的雪世界后来呢就像你说的万达甩卖资产融创呢就接盘了2017年7月份的时候融创中国是以438.44亿元的价格收购了万达商业下面的13个文旅城的项目91%的股权
[00:17:22] 过了一年之后他又花了60多亿买下了这些项目的管理设计公司等于总共花了差不多500亿元把整个万达网旅程都买下来了其中就包括了带滑雪城的万达雪世界的部分其实几年前有一个阶段我觉得地产开发商对于做冰雪生意都挺有兴趣的除了万达花了这么多钱以外万科包括复兴其实对这个事情也都很有兴趣像融创赶在这么一个小的方向上面
[00:17:48] 花这么多钱来买生意的确实不是很多那像万达当初为什么要在文旅城里面搞室内滑雪场呢以及这个规划和冬奥会有没有关系其实我们是没有找到一个明确答案了因为这个相对比较早一些但是可以确定的是就是从规划到实际运营的过程当中室内滑雪场这个业态都是这个文旅城里面一个非常能吸引客流的项目就是是一个它比较显眼的一个招牌吧
[00:18:15] 那融创在收购整个这样一个项目之后因为它包括把项目的团队都收购了嘛所以说其实是继承了这样一个规划而这当中最出名的运营的最好的就是2019年开业的广州融创雪世界就是我们开头提到的它把广州变成了一个滑雪热门城市这个雪世界呢它占地是7.5万平方米这个雪区就有5.57万平方米是全球第二大的这个室内滑雪场而它开业两年多来呢已经累积接待了
[00:18:43] 190万人次的这个顾客平均上下来是每天2000人每天2000人什么概念呢就是和著名的这个东北的亚布利的滑雪场周末的滑雪人数是相当的每天2000人这个确实是相当厉害的而且雪场经常是一呆呆一天的就像这个2000人就是一天到晚都挤在这个雪场里面对的如果你去看过照片或者现场亲身去体验的话其实人还是蛮密的还是蛮热闹的
[00:19:08] 这滑着滑着说不定会撞到人是吧对的所以广州这个市内滑雪场为什么会这么火呢对就是这个问题我觉得也很自然就是因为广州这个气候和滑雪这件事情就是从直觉上面来说好像真的是非常不搭但是这个火爆呢其实还是有基本原因的主要就是我们前面讲斯诺五十一的时候也提到了两点就一个是中国大城市的这个消费力已经到了这个阶段另外一个就是南方人真的是对雪很有热情就是我们在整个这个专题采访当中
[00:19:37] 不同类型的受访者都跟我们反复强调到这一点我再举个例子就我们同事任思远他还采访了迪卡农的一位负责人这位负责人就告诉我们说
[00:19:48] 从迪卡侬的销售数据来看广州人对滑雪消费的热情是在中国大城市里面最高的别的地方啊比如说他去买滑雪的装备一般来说是一点一点的买比如说今天买个雪板明天买个衣服后天买个眼镜帽子之类的但广州人是直接到店里面就说滑雪装备来一套对吧要一次性买齐的这个就很像之前所谓露营的那个风潮这个你不管会不会先把装备买齐了再出门
[00:20:16] 没错啊就那段露营热的时候我跑到迪卡侬去逛一逛然后就经常看到他们拖了一个拖车里面然后塞满了各种锅碗瓢盆另外还有一个点就是前面也带到一些的就是滑雪这个事情啊真的很容易上瘾就是难怪它俗称白色鸦片
[00:20:32] 就是滑雪这种速度感再加上户外的风景啊等等的真的是很促进多巴胺的分泌我怎么感觉你在说这个时候在回味一些什么被你发现了就我刚才在回味疫情之前去北海道旭川那个滑雪场里面滑雪就它离城区很近嘛然后又是晚上滑夜雪就山脚下就是城市的星光反正扯远了扯远了
[00:20:53] 讲到商业逻辑的话你前面提到滑雪是个上瘾的生意吧上瘾的生意都是最好的生意因为它可以产生很高的客单价和很高的复购率然后南方呢对雪又这么好奇这就又加剧了这个东西的上瘾性然后说到滑雪场南下这个事情呢其实还有个故事可以跟大家分享一下就是融创对于雪世界的规划其实是做过一些调整的
[00:21:16] 他在买下万达13个文旅程项目的时候呢其中有三个已经规划了雪世界的这样一个业态另外还有一个就是哈尔滨是已经开业的而且哈尔滨至今都还是全球最大的一个室内的滑雪场但是荣创呢在充分的调研然后一些市场的实际反馈之后他是选择先在广州把这个室内的滑雪场开出来然后效果非常好然后在这个激励下面呢荣创接下来几个雪世界全都是开在南方的
[00:21:43] 包括无锡 昆明 成都 重庆而且在广州开业半年之后它就马上立向了一个深圳的雪世界据说是规模更大的一个反倒是最早开的哈尔滨这个室内滑雪场生意是最差的确实哈尔滨人民冬天一出门就能滑冰和滑雪户外纯天然怎么会花钱来你这里再滑一个假雪呢
[00:22:05] 对的就你这个室内的滑雪场对于习惯滑雪的东北人民来说只是一个代餐而且就是一个短短几个月的代餐因为它有很长的一个雪季其实是没有必要去室内去滑雪的那华尔滨的运营不佳其实也是间接的促使了融创暂停了在北方的一些城市去布局室内滑雪场的这样一个步伐然后整个的把重心调整成了南下这样一个战略
[00:22:30] 我看我们的报道里就是文创文旅集团的总裁叫陆鹏这个人说国内的滑雪产业其实有一个很严重的地域错配北方滑雪资源很丰富但是消费需求很弱南方的消费需求很旺盛但是滑不到雪所以室内滑雪场的作用就是让南方人把滑雪从一个一年一两次的度假低频的消费变成一个运动也就是一个日常的所谓高频消费
[00:22:55] 从度假到运动这个我觉得说的还是很到位了其实不论是斯诺51还是融创雪世界都是这样一个道理当然要撬动这些需求还是要靠运营的尤其是室内滑雪场的运营其实是非常有讲究的这个当中有一些其实和斯诺51类似的比如说去中小学做推广来扩大客源但是还有一些是室内滑雪场要特别关注的比如说要因地制宜的设置项目
[00:23:23] 毕竟这个南方城市里面虽然需求很高但是这个地都是很贵的说的很对啊就你在一个城市里边到底你这个市内的滑雪场是要建7万平方这种超大型的还是像无锡那边的那个雪世界这样1.5万平方米的一个小型的市内滑雪场这个其实是要根据城市的人群啊消费力啊等等数据去做一个测算的另外呢你在雪场里面布置怎样的设施也是要根据人群做一些调整的
[00:23:52] 比如说广州的雪世界里面有一个很受欢迎的区域就是公园park它不是一个雪道啊而是像滑板公园那样的有一些坡道啊有些小的游行池还有障碍的这个呢就特别受到一些玩单板的顾客的喜爱讲到这个是不是现在滑雪里面有个大的趋势就是雪单板的人变得特别多了没错这其实是一个全球的趋势而且原因的话好像也就很直观
[00:24:17] 滑单板比较帅气就这么简单吗其实单板入门比双板要难多了就是双板有可能你学个三四次就可以上雪道了但单板有可能你要学个七八次课程但是还是有很多人上手就要去学单板尤其是现在的年轻人因为感觉很帅嘛然后拍照也很好看学会了之后也更有成就感据说是滑起来也会更有感觉啊那在雪世界里面呢他们就应合了这样的一个需求专门的设立了这样一些区域
[00:24:46] 另外一点就是你要针对不同类型的顾客比如他不同的滑雪的水平以及他是滑单板的或者滑双板的你要设置不同的一些服务和课程尽量的让他们能够成为你这个雪世界的一个会员
[00:25:00] 比如说针对一些高水平的会员你要能够定期的组织一些比赛或者说组织他们去一些更加好的户外雪场去滑这样的话才能形成他们长期的一个复购或者长期的来参与这样的话才能保证这个雪场的日常客流能够比较稳定一直都比较热门嘛那像广州的雪世界
[00:25:21] 就是在这些细节地方做的相对比较好一些然后再加上前面讲到的一些大环境的一些消费力的优势所以说它能够做到一个比较好的运营效果我们现在讲到它平均每天2000人这样一个倒电数可以使得广州的融创雪世界做到大约50%左右的运营利润率就是不包括前期的投资还包括一些设备的只是它日常的运营可以达到50%这样的一个利润率
[00:25:45] 那讲到这个我就有个问题前面讲到它的商业模式其实是蛮清楚的但是这么好一个生意为什么全球才不到100座所谓室内滑雪场呢这个事情为什么普及不起来呢像中东和中南美洲的人就不想试一试滑雪吗你说的很好就因为如果你都能做到50%的运营利润率的话其实还是蛮诱人的吧但问题主要的一个门槛就是贵造一个室内滑雪场和运营一个室内滑雪场真的都是挺费钱的
[00:26:13] 我们先来讲运营啊这个比较好理解一些整个的这个室内滑雪场你想象一下就是一个大冰箱嘛然后呢这个冰箱它要保证里面的温度一直在零下五度左右问题就是这个冰箱里面还有上百号人啊你所以肯定要通风然后这一通风你温度的保持就很难对于这整个的这个温度的系统要求很高再加上现在有很多环保然后减碳的标准对吧你这个压力就更大了所以真的是非常耗电
[00:26:39] 有一个最基本的数字就是广州的这个融创的这个滑雪乐园一年的运营成本大约是4000万元这其中电费就超过2500万元大家听一听啊好烧钱的一个冰箱呀对的这个这个概念有可能我们自己感觉不到啊这还只是运营的部分而且就像我们前面说的只要你的顾客达到一个比较高的水平其实他能维持一个比较好的运营的利润率的更费钱的一个地方呢还是在前期的投入我们举一个比较直观的例子你想象一下
[00:27:08] 一个室外的滑雪场其实大多数的基础建设大自然都帮你做好了它有个天然的山坡然后上面有天然的雪你要运营的或者说投入的主要是这个索道你要建一个轨道大家爬到山顶上去然后你要维护好这个雪道至于度假休息的那些建筑这个是另说了但如果你要造一个室内的滑雪场的话你等于在造雪之前你首先要造一个山坡
[00:27:34] 而且这个山坡的骨架都要是钢筋的其实是一个非常大的工程举一个最直观的数字就是一般我们一个居民楼或者写字楼的一个楼面它的合载的要求是每平方米200公斤如果像图书馆这样的因为它要堆满很多书嘛很重所以说它的这个合载的要求大约是在每平方米500公斤但是融创的雪世界它要达到每平方米1000公斤就是一吨
[00:28:02] 这个确实是有钱的地产商
[00:28:27] 如果长期来看的话其实室内滑雪场这个业态还是有很多发展的隐忧的这个怎么讲这个又要回到日本这个成熟市场的案例了就刚才讲到1991年的时候日本的滑雪人数达到了一个巅峰但之后日本的经济泡沫就破灭了滑雪的人数是逐年的减少
[00:28:46] 而且有一个比较麻烦的事情就是年轻人的比例开始降低像新一代的年轻人他们消费欲望很低嘛平时一时住行都没什么讲究不愿意花钱就更不用说去滑雪去度假了像东京附近的千叶县呢曾经也建过一个市内滑雪场也是特别大规模的造价呢大约是人民币25亿元后来就是因为客人太少了在2013年的时候就拆除了关门了
[00:29:10] 我觉得我们到时未必会像日本怎么样很快就进入一个所谓低消费欲望的阶段但是疫情也实实在在对大家的消费产生了一些影响对于开发商来说七年半回本和十年回本这个差距还是挺大的有可能你在这两年中间你就死了呢没错另外一个小小的冷水就是从历史上来看就是奥运会对于滑雪这个产业的带动本身其实是没有那么显著的
[00:29:37] 以前2018年的平昌冬奥会之后韩国的滑雪人数其实并没有增加反而是减少的
[00:29:42] 1998年的长野冬奥会也是一样的就是开完了之后人数还是继续往下降这个问题我们先放在一边在中国的话其实还有一个隐患就是你像广州的融创写实界做这么好那就会有更多的投资者都看到这个机会大家都来往里面来投现在中国已经是有36块的室内学场了到了2025年呢可能达到60块左右你可想而知这个竞争一激烈相对一些小的设施老一点的设施或者是一些小城市的这个室内滑雪场
[00:30:11] 它的运营的压力就会比较大了讲到这里肖老师前面提到两个冰雪南下的案例一个是室内滑雪场一个像斯诺51这样的创业公司这两个案例就基本上介绍完了我觉得一个基本的逻辑还是比较明确的就是经济发展和消费升级加上南方人对雪的热爱就带动了滑雪这件事情在中国的普及没错这个其实也是我们特别想要强调的一点
[00:30:35] 为什么这么说呢就是之前我们看到很多的报道啊都会提到一个很明确的宏大叙事就是冬奥会的这个带动的效应然后政策的鼓励使得冰雪产业发展起来了这个当然是一个没有错的一个逻辑啊而且也非常重要但是呢我们想把这个宏大的叙事讲的稍微细一点把这个当中的过程能够稍微拆解开来一些
[00:30:56] 政策的领导当然会让中小学生有更大的动力去参与冰雪运动也会让斯诺51这样的创业公司更容易拿到融资也会让融创的这个雪世界项目更容易落地这个都是很好理解的但是真正把这些事情做成的肯定还是提供服务的商家以及购买服务的消费者还是他们让滑雪变成了一门越滚越大的生意商业就是这样
[00:31:23] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
