Vol.102 欧佩克的成功，“锂佩克”很难复制
[00:10:25] 维护了这个OPEC的团体那从这个角度看的话其实OPEC能够长期存续下去本身也是蛮不容易的但其实现在这个OPEC模式大家一般来说说它是一个卡特尔模式垄断但我觉得它离卡特尔模式已经越来越远了
[00:10:42] 刚才于老师又讲了一个重要的新名词卡特尔式的垄断那么于老师介绍一下吧什么意思好呀我们在提到公司垄断的时候大致很大致的可以分为比如说单一公司的垄断和公司组织垄断两种情况对吧单一公司垄断非常容易理解那公司组织垄断呢就可以按照不同的情况大致的分成四种模式这垄断就垄断了还要分这么多这个细分的模式吗稍微有一点点差别我先就整体都说一下
[00:11:11] 第一种就是我们前面提过卡特尔它是指一批经营同类商品的企业为了提高这个商品的售价或者是保证他们最终利润最大化通过结盟的方式来控制价格和产量除了我们前面提到欧佩克以外一个典型的卡特尔案例就是在钻石行业有一家大公司叫DeBeers
[00:11:32] 它在20世纪和其他的钻石生产商达成了一系列协议它们核心火来通过限制钻石的年产量来影响全球的钻石价格它们影响得非常成功第二种模式叫托拉斯托拉斯也是蛮有名的一个名词托拉斯在目的和手段上面都跟卡特尔很像唯一的区别就是
[00:11:53] 在这个同盟里面的企业最终会被归拢在一个控股公司的名下就相当于他们会失去自己的独立性就是石油头拉丝那种感觉其实拢在一起其实是从我们所说的组织垄断又变成了所谓的单一公司垄断就形式上面这两种还比较好理解第三种就稍微难理解一点点它叫康采恩这个词我查一下是从德语来的
[00:12:17] 如果说卡特是一个所谓的横向垄断也就是同类的企业结盟的话康采安的垄断就是一个纵向的垄断就是产业链上下游的企业结盟那最终其实也能达到影响市场的效果
[00:12:30] 我们前面讲的石油七子妹他们除了横向垄断其实也有所谓产业链上下游的整合所以比较像是一个卡特加康采的结果OK第四种就更奇怪一点这个词是法语来的叫新迪加它的原意是公会如果你加入一个新迪加这个组织就会帮你协调一些采购的关系或者说最终销售渠道比较像是你加盟了一个连锁品牌
[00:12:56] 但是问题就在于呢辛迪迦本身如果他在这个市场上已经有很强的影响力你不加入你自己去拓展渠道的话就会被挤压的比较厉害前面的三种的话还能够想象有些例子这个辛迪迦有什么例子吗我说一个例子你肯定知道就是日本的农协啊OKOK对因为日本农协是基本上垄断了这个日本农业的大部分的生产资料比如说种子和化肥基本上要从他那里买然后终端的产品销售基本上也要通过农协
[00:13:24] 你农民确实也可以选择不加入农协但是你的peer pressure就会非常的大OK那刚才岳老师是非常严谨一概的讲了四种垄断的模式那从这个当中就可以看出来其实欧佩克确实不太是像托拉斯康残或者是辛迪迦更像是我们提的第一种就是卡特尔对吧但是为什么你又说欧佩克离标准的卡特尔的模式越来越远了呢其实你要维持一个成功的卡特尔意外的还挺困难的因为你要满足很多条件
[00:13:54] 第一条就是你必须按照整体利益来确定整个组织对外的一个最优定价和生产水平就是价格和产量要统一的协调就是你要保证你的收益最大化第二就是你这个产量要在成员国之间合理的分配前面已经提到过一点了不是很合理第三个就是你对成员国要有一个监督机制和惩罚机制你如果做的不好我要把你踢出去我要给你一点惩罚最后也是最重要的就是这个卡特必须要保持一个
[00:14:21] 较大的市场占有率而且一直要保持下去最后一条感觉挺重要的我们要不对照着这几个标准特征来看看欧佩克到底存在些什么问题其实有很多问题我们前面已经讲到了比如说定价目前欧佩克基本上已经放弃了直接主导国际石油价格这件事情也就是说它的现在的整体利益一半是受外界的油价波动的影响的
[00:14:45] 一半才是受自己决定的那个产量的影响的那在这种情况下你肯定是没有办法实现所谓的利益最大化的产量分配其实前面也提到了这是一个国家一个想法然后最后沙特为大家的想法斗一下底那另外就是呢有些国家表面上看着规规矩矩的其实呢他可以通过像大众商品交易商这些帮助然后私下达成一些超额的生产然后赚取超额的利益嘛关于这个话题推荐大家去读一本书啊叫交易的世界这本书非常非常好看
[00:15:14] 它里面详细介绍了全球几个老牌的
[00:15:42] 稍有不慎就很有可能上升成外交事件其实也进一步导致了产能分配的问题越来越恶化就是没有人遵守这个规定理解了最后最重要的问题就是市场占有率欧佩克的13个核心成员国确实占据了全球比较重要的一块石油资源但是它的总占比就是绝对占比并不是特别高在产量顶峰的1973年它其实也只占到当时全球石油市场份额的55.8%
[00:16:11] 刚刚超过一半多一点最近20年来更是频频出现一些非欧佩克国家比如说俄罗斯美国去抢占市场份额的情况感觉市场占有率是最最重要的只有你卡特尔里面这些公司或者是国家你真的对资源是占大头的你才有资格去说后面那些什么定价定产量这些事情对所以说有的研究是认为说你只有说合计市场占有率达到75%以上才是一个比较成功的卡特尔
[00:16:39] 从这个角度来说欧佩克就不太行好吧所以说欧佩克现在也会去想一些办法比如说它发展成了欧佩克加就是把一些其他的有一定石油储备的国家都拉进来来把这个基础稳稳住
[00:16:51] 看了一个2019年的数据当年欧佩克的全球市场份额其实已经掉到了37.5%是很小的一个量了但是当时俄罗斯加美国这两个国家的合计份额就有29.5%他们加进来了虽然这两个国家可能不太会在一起但是就其实是有点分庭抗礼的感觉了但是变成欧佩克加以后欧佩克加的实际市场份额就接近66%这个事情就比较稳了
[00:17:18] 好吧所以他这个卡特尔确实是有一点那个根基不是那么稳健嗯
[00:17:25] 我们花了非常多的时间来讲欧佩克那要不还是切入主题来讲讲李佩克吧其实从前面对于欧佩克分析我们就能看出来哪怕是在石油这种工业时代的命脉领域一个卡特尔组织想要长期维系都是非常非常困难的它的外部市场竞争非常的激烈然后内部也很难摆平各家的利益关系对于李来说其实就更不容易实现了那我们就从两个方面一个是供需关系
[00:17:53] 一个是产量控制来展开讲讲这个问题好那先讲讲供需关系吧供需关系我们先看供给方面
[00:18:00] 供给方面呢阿根廷 玻利维亚和智利之所以会提出要搞理配客原因就是这个三个国家边界上面的安提斯山脉的西南角是所谓的理三角理三角呢就是一个这个世界上面已经大家公认的探明的理资源非常丰富的地方但是现在问题就是矿放在那里他们不采或者说开采能力没有那么强就导致他们这个储量优势没有办法转化成产量优势
[00:18:26] 就是那个市场占有率这个问题一开始这个根基就不太对对那在我们录节目之前正好有一个新的消息就是伊朗看它出了一片巨型的锂矿如果这个数据无误的话那伊朗它的锂矿储量就直接从一个不知道哪里的位置跃升到了世界第二所以像这种矿产的话它这个市场占有率和你心态里面这个有些矿之间这个关系是非常密切的有可能会一下子发生一个重大的变化就是瞬息万变嘛
[00:18:54] 你看现在不管是李三角和新探明伊朗现在还都是守着矿也没有说过多开发的一个状态节目开头我们也提过了目前最大的矿生产国反而是澳大利亚澳大利亚的储量并没有那么多如果全球市场未来几年都是急需用力的话产量其实要比储量更关键虽然你是很富有但是你现在在市场里的地位其实反而没有那么重要对的
[00:19:20] 那从需求端来看呢锂和石油就真的是差远了首先石油的用途非常非常广泛所有的国家都得用但是锂的需求呢其实目前还是高度集中在几个电动车大国比如说中国和美国嘛这样的话就变成你需求端的这个集中度要高于供给端远远高于供给端OK所以这个溢价权的话就会在需求端嘛这是很自然的一个道理所以这个卡特尔模式的话它就转不起来
[00:19:48] 你这个收益定价也很难保证完全没法保证
[00:19:51] 需求当然另一个问题就是很多行业是离不开石油也很难去找一些替代产品的举个例子比如说大型客机你现在就没有办法电动化你还是得烧油而在动力电池领域虽然短期来看锂电池还会是主流但是长期来看肯定会有很多其他的金属电池来争夺这个市场比如说这两年讨论比较多的钠离子电池大家都翘首以盼了总而言之能够替代锂的东西肯定是非常多的
[00:20:18] 我们在节目开头不是提过1967年南美有些国家想搞的那个同配客吗这个组织全称的也不要同配客它叫同出口国政府兼理事会CPACCPAC的这个初始的四个成员国是智利、秘鲁、赞比亚和扎伊尔然后后来扩大到八个国家它们合计拥有当时全球30%的精炼铜传量和已经探明的铜储量的50%以上
[00:20:43] 从这个量上来看就不是很成功吧然后还有个问题就是当时同已经出现了很多的替代品然后再加上这个CPAC内部很难协调自己的监察协议所以说他们试图控制价格这个努力基本上就没有实现大概运转了十几年就崩溃了那其实是制造了一种合作的幻觉OK就是刚才岳老师讲的一个是你这个矿产本身它这些这个合作方
[00:21:10] 它的市场占有率就会因为这个新的矿产的这个探明而瞬息万变第二个的话就是探明的矿和你能够市场上卖出去的矿又是两回事情第三上这个矿本身重不重要也两说对的总觉得很对啊而且锂和石油还有一个很大的不同就是石油是一种近乎不可逆的消耗品那比如说从石油变成其他的化工产品以后你再回收再利用的这个效率是很低的
[00:21:36] 但是现在动力电池完全不一样很多企业都很重视锂电池的回收和再利用这一环可以说是需求端自己预见到了供给端可能的瓶颈就不想受制于人马斯克不是在特斯拉投资者日里面就说了他们未来里的一个主要战略就是回收的精炼而不是一个不停的开采锂矿这还是一个蛮先进的一个想法供需关系我们就分析到这里其实已经非常悲观了我们接下来再看另一个小的因素就是所谓的产量控制
[00:22:05] 前面提到了这个锂三角国家目前的产量和储量属于一个很不匹配的水平这里有一个原因的背景就是这三个国家的锂矿所有权的情况差别很大
[00:22:17] 目前玻利维亚的理矿是国有的然后由这个国家的国有企业来全权的开发然后生产然后私人资本和外资都不得介入这里的情况是理矿是国有的但是开采权是可以放给私人资本和外资的阿根廷的情况又不一样了阿根廷是矿产的所有权和开采权基本上都在外资手里跟他国家没什么关系那这样的这种情况下的话按照欧佩克那个模式你首先应该做的就是
[00:22:45] 这几个国家他们先要把理矿的所有权开采权和收益权理顺或者说的直白点就最好你要输给国有这样你国家现在才能去谈所谓的理配客否则的话你就不可能以后去什么步调一致的去增产或者减产没错你这个国家都说了不算那怎么能运转起来呢那我看现在除了李三角自己在理顺这个问题像墨西哥也已经开始提出类似的方案了墨西哥总统洛佩斯就明确说了
[00:23:11] 李是国家财产是所有墨西哥人的财产看来他也非常想向欧佩克学识学识对的所以说从供需关系和产量控制这两个因素来看李佩克其实都处于一个发展很初期但是竞争压力已经很大的市场格局里面现在建同盟呢其实是有点起个大早赶个晚集的意思其实很难达到卡特尔摩斯想要那个控制市场和收益最大化的目的
[00:23:36] 那我们简单的总结一下就是虽然李这个矿产最近的这个价格的高企给了这几个主要的李矿的所有国一个美好的幻想但是他们设厂中的李佩克从方方面面都和欧佩克相比有很大的这个差别差远了对而欧佩克自己都有些这个风雨飘摇遇到很大的挑战所以这个南美三角加上澳大利亚的这个所谓李佩克的畅想
[00:24:02] 我们从商业的角度上面一分析的话它离真正的成功还是要打一个大大的问号的
[00:24:10] 说到这里呢其实我们开头提的那个问题就是欧佩克为什么能成而李佩克为什么不成这个问题已经解答的差不多了解答完了其实对但是呢我们想顺着这个话题再来讨论一个概念就是资源诅咒资源诅咒这个概念最早是出现在经济学家叫理查德奥迪的一本著作里面他也被称为所谓富足的矛盾这个概念的字面意思很好理解就是一个资源丰富的国家有可能他的经济发展不会那么好
[00:24:39] 相应的会出现一系列的问题比如说收入分配不平等然后人力资本的投资严重不足比如说一些腐败和寻租活动的盛行然后还有内战平反这些都是很不利于经济增长的问题
[00:24:52] 那从后来经济学家们自己分析一些数据来看这个概念还是挺有道理的比如说我们举个例子委内瑞拉大家可能还记得它是欧佩克的创始成员国之一唯一的一个南美国家它其实是当时南美洲的第一大石油输出国而且在整个20世纪上半叶都是整个南美洲发展最好的国家之一但是就是因为它的能源行业严重的挤压了其他行业的发展
[00:25:18] 当整个石油价格下降以后呢委内瑞拉的经济就遭遇了重创也许很多年都是属于经济衰退和通负膨胀极其严重的一个状态里面这个的确可以说石油带给他的在现阶段肯定不是祝福而是诅咒了
[00:25:32] 这些我们好像一直在拿拉美国家举例子的就是不妨再举一个就是和目前的李佩克金鱼很像的一个例子就是所谓的鸟粪战争什么是鸟粪战争就感觉像是在热带雨林里面被空袭了其实不是的这个事情的背景呢很正经啊就是工业革命以后全球的人口不是急速的上升吗然后就导致一个问题粮食不够吃了科学家们就要开始
[00:25:59] 寻找一些解决方案比如说怎么能够增强土壤的肥力种出更多粮食来那在1840年德国有一位著名的化学家叫莱比锡就发现氮和磷是植物生长的重要元素就是一定要搞一点这个东西来让我想到著名的广告金克拉金克拉吸收两米以下的氮磷钾但是当时的化肥生产技术肯定是不成熟的没有办法绝对没有金克拉
[00:26:25] 其实最好的方案还是去找一些自然的肥料也就是鸟粪这么出来了其实除了农业的需求其实还有各种冲突战争对于火药也有很大的需求火药其实也需要氮相应来说鸟粪矿就变成了一种重要的战略物资在19世纪鸟粪是一种矿
[00:26:44] 其实是鸟粪如果说你今年累月堆在那里的话它就会有一些变化会堆在一起的那种感觉对那其实在鸟粪贸易繁荣的一个鼎盛时期也就是大概1850年到1875年秘鲁一度是这个世纪群上面最大受益国之一它鸟很多因为它国内有一片群岛然后这个岛上面鸟粪质量非常上乘资源非常的丰富然后他们就一直在那个群岛那边去开采
[00:27:11] 但是因为是在短期内做大量的开采呢那这个储量肯定是很快就下降了而且它还导致一个问题它破坏了鸟的栖息环境啊这个壁炉就没有一些鸟粪的增量了那它这个其实资源的存续性就成了一个问题另外呢就是在我们这期节目已经提到过几次的这个智利壁炉和玻利维亚之间也有一片沙漠这个沙漠里面有大量的鸟粪矿资源
[00:27:35] 在之前的情况下这个沙漠其实是没有人在意这个沙漠到底是归谁的这个主权关系如何划分没有人关心的但是当它变成一个矿藏地以后这三个国家就天天吵来吵去这个到底是谁的争执越来越尖锐最后就爆发战争还顺便导致了这几个国家之间出现一些领土的变更玻利维亚就本来是一个有一个出海港口的国家然后就变成了一个内陆国家所以这个鸟粪战争是真的引起了一场战争是真的引起了一场战争
[00:28:04] 但是其实后来大家就发现随着科学技术的进步以及这个市场需求实在是太旺盛了这个科学家们真的去找一些其他的解决方案鸟粪不够用了鸟粪绝对是不够用了然后他们就开始开采这个陆地上面的像硝酸盐或者磷酸盐的这个矿产那新的供应链就很快就建立起来了这些拉美国家其实很快就进入了萧条然后就陷入了债务和不可持续战略的泥潭里面去
[00:28:28] 虽然从我们现在人的角度来看好像鸟凤战争听上去有点诙谐但是对当时的这些国家和人民来说其实是一个实实在在的灾难或者说是一个诅咒了现在的话其实很多经济学家也在研究能不能通过一些制度或者说是经济政策的一些引领尽可能的把资源诅咒变成一个资源祝福这个其实就需要香港国家有更强的一个治理能力了就不能欲于这些当下的经济利益
[00:28:57] 还要注重长期的一个国家的发展还有人民的一些福祉了其实像我们前面提到一些传统的石油输出大国像卡塔尔沙特这样国家其实这两年都宣布了一些经济和社会改革的愿景他们就是很努力地想要摆脱对于石油的依赖然后去强化一些文化和创新的实力比如说我们之前有一期节目讲的卡塔尔搞世界杯其实就是这个国家愿景当中的一部分
[00:29:21] 虽然大家对于这些愿景的执行效果是存疑的但是可以看到这个钱确实是留下了跟过去截然不同的领域这个还是很值得继续期待的刚才岳老师讲的这个鸟粪战争的故事我自己感触也蛮深的为什么我们今天会花一期节目来讲这个矿产或者是能源的资源因为我们在探讨商业模式的时候经常会有个概念就是说稀缺的矿产它是一种天然的护城河这比有些什么所谓的技术的护城河什么的要硬得多
[00:29:50] 但是我们今天可以看到有一些突发的事件比如说技术的突破比如说你探明了一个新的一个矿产都会一下子瞬间的颠覆这个护城河或者说是让这个城本身都不重要了19世纪的鸟粪是这样那21世纪的石油或者是鲤或者别的什么矿产也可能是如此的商业就是这样
[00:30:17] 感谢收听
