Vol.63 免税店的秘密
[00:04:48] 然后从2017年开始这个中缅就开始密集的并购国内的同行2017和2018年它分别就拿下了这个日上免税北京和日上免税上海分别都是买掉了这两家公司51%的股份到了2020年它又把海缅就是海南免税51%的股份也买下来了
[00:05:12] 这个地方先说明一下就是这里的海南免税主要是指在海口的一个免税店的业务至于三亚的免税店呢本身就是中免的我们后面还会提到它没错那这个时候原本的那个上市公司就是国旅集团它的业务构成就有点颠倒过来了这个时候免税成为了绝对的大头然后这个旅行社业务在后面又被剥离出去整个集团也就直接更名为中免集团
[00:05:38] 到了2021年的时候中缅集团它就已经占据了全国九成以上的免税店的生意除它以外其实还有一些比如说申缅就是深圳免税集团珠缅珠海免税以及中国出境人员服务总公司这些公司其实都有经营免税业务的这个许可不过他们的规模都很小而且也被限定了一些范围
[00:05:59] 对的就中缅集团的官网上面是这么写的中缅集团是唯一一家经国务院授权在全国范围内开展免税业务的国有专营公司所以就大家就很明确了就是它这个资质是比较独一无二的如果我们做横向比较就会发现中缅的这一种并购扩张其实和行业里面全球的免税巨头的思路是一样的比如说此前全球第一的这个免税零售商叫Dufresne
[00:06:26] 它本来是一个总部在瑞士的区域性的零售商但是在2015年之后它多次有并购最后把自己变成了一个全球规模最大的免税公司当然Dufresne和中缅它的并购还是有区别的Dufresne的并购基本上都是一些基于商业逻辑的市场行为但是中缅呢它一系列并购其实更像是一种国家主导下的要把央企做大做强的一种策略对
[00:06:51] 从商业逻辑来讲为什么这些免税店都要不停的并购它其实原因也很简单就是要形成规模效应因为免税店的要义就是便宜它售价低的前提就是要压低成本一方面最大的一个成本已经把它压下来了就是税收税费的部分另外还有一个部分就是租金和采购的支出随着它免税店整个公司的规模扩大它在这两块成本上面都更有能力去谈价钱压价钱了这个应该很好理解
[00:07:20] 对的这其实也是一个很简单的商业逻辑了对那我们前面讲的是中缅这个借助政策的扩张史里边扩张的部分那它长到那么大之后呢几乎就开始独享内地的这个免税蛋糕那另外一个关键词政策又让免税的这块蛋糕呢迅速的膨胀那这个呢其实很多朋友们应该这两年也比较熟悉了解了就是海南的一个离岛免税的消费政策简而言之就是如果你去了海南岛
[00:07:47] 就有资格在免税店购买一定金额的免税商品这个政策其实是2011年开始的就当时中缅也已经在三亚开了一个现在很有名的免税商城但是呢一直属于一个不温不火的状态直到2020年是迅速崛起一下子成为了中缅的一个业务支柱这个一方面呢是因为疫情导致大家不能出境游了所以大家都去海南玩那海南的游客增加了客源增加了更关键的是海南的离岛免税政策也顺势的大幅放宽
[00:08:16] 每个人每年有10万元的这个免税商品的购买额度而且是你离岛180天内都还能在在线继续订购它这个就是半年的有效期等于差不多就是你假如一年去两次海南你全年都能购买免税的商品对吧像海南之家一样的
[00:08:37] 我记得2020年这个疫情就是国内的疫情稍微有点缓和之后就这个政策基本上就是把海南旅游彻底引爆了每到节假日和这个周末朋友圈里面永远有在海南的朋友那么这个海口和三亚的免税城那又是必去的一站对的 葛老师你去过吧
[00:08:57] 我去过我们有一次出差和许彬青一起我们去了海口参加那个TED然后当中还特别打车去了海口的这个免税城不过东西其实不是特别多除了化妆品之外对那三亚那个是规模要很大对对对三亚的大一些那海南省显然是对这个增长是非常满意的就是他的商务厅这两年每年都会披露这个离岛免税店的销售总额
[00:09:22] 2021年的数据是海南一共10家的这个免税店总的销售额就已经超过了600亿元同比增长84%那我们再用中缅这家公司的这个维度来看一下数据在2020年它在海南的离岛免税的营业额大约是300亿元比2019年是翻了一个倍还不止的到了2021年更是直接突破了490亿元这个增长的幅度其实非常非常快啊那海南对于中缅整体的公司业绩的贡献呢2021年是直接超过了七成
[00:09:51] 在这个之前呢其实中缅的主要的生意是在机场的免税店的这个我们后面还会提到那在2020年和2021年海南爆发之后呢整个这个位置又颠倒互换了一下
[00:10:03] 那这个也主要的一个原因就是帮助中缅集团在这个全球疫情的大背景下面意识上涨然后变成了行业第一对其实从中缅的这个扩张史我们也可以清晰的发现一个问题那就是免税店它真的是一个跟国家政策非常非常紧密相关的生意我们前面提到了这个中缅它基本上算是被国家选中在国家意志上要做大做强的一个央企
[00:10:29] 那我们还可以提供两个细节来说明这个问题一个呢是2018年中免收日上上海他不是收了50%的股权吗当时这个价格是15.05亿元是现金但是呢这个价格你大家可以把它基本上理解为就是意思意思啊为什么呢因为在收购之前日上上海2016年的营收就达到了63.3亿当年的净利润也超过了2.5亿元在收购的前一年就是2017年
[00:10:58] 日上前三个季度的营收就直接超过了63亿但是大家看到没有最后把它卖给中缅作价才不过30亿所以你其实很难说这是一笔可以用正常的商业逻辑去解释的交易另外一个呢就是我们前面也提到的就是中缅收购了海南免税的51%的股权这个过程其实分两步就是2018年的时候海南省国资委先把它持有的这个51%的股份无偿地划转给了中缅的
[00:11:26] 大股东就是中旅就是一个上市公司的母公司然后2020年的这个中美的上市公司又宣布用20.65亿元的现金把母公司这部分股权给买下来了等于就是花了20亿出头的这个价钱紧接着一个月之后国务院就宣布了我们刚才讲到那个海南离岛免税的新政大大的放宽了这个个人消费的额度对的其实这两笔收购我们都能看出来它并不是纯粹的市场行为
[00:11:53] 当然了这其实也并非中国独有了在中国之外我们也能看到很多国家和区域市场的这个免税生意其实都是由政府来主导推动的比如说我们中国人应该都比较熟悉的韩国冀州岛就是一个例子它也帮助韩国的企业就是乐天成为了全球的免税巨头另外呢还有就是比如泰国的免税店我相信去泰国旅游的朋友也都听说过王泉免税店对吧
[00:12:18] 就是泰国的免税业务很长时间里面也都是由这家王泉集团掌控的王泉在泰国当地也是一家地位很特殊的公司
[00:12:27] 好下面我们进入第二个部分我们要来讲一讲免税店和机场的关系免税店这个生意模式呢它的历史其实也不是很悠久二战之后的1946年在爱尔兰的香农机场才有了全球第一家免税店1960年代之后随着这个国际航班成为全球跨境旅行的一种主要的方式免税店就开始蓬勃发展了对就之前的话在海上就是这个
[00:12:55] 邮轮上面呢也是有一些免税的业务的但那个其实规模和之后机场里面就不能比了对小很多回到中国我们还是来讲讲就前面提到过的中免在2017年18年收购过的日上免税行这家公司很多人可能不知道它其实是一家中外合资的企业它在1999年就获得了上海机场的免税店特许经营权
[00:13:19] 在海南岛的这个离岛免税业务崛起之前啊就日上一直是中国最赚钱的免税零售公司就毫无疑问的因为他的这个店免税店是开在中国出入境人流最大的三个机场就是上海浦东上海红桥和北京首都这三个机场在2019年的出入境人次加在一起一共有6564万人次接近内地机场总量的一半就这三个机场是占整个内地机场总的进出人次的一半
[00:13:47] 而与之相对应的2019年日商的这三家免税店就贡献了中免一半的营业收入所以吧我们真的永远不能低估北京上海对中国经济的影响力没错那反过来其实对于机场来说免税店的重要性也是越来越高的像上海的这两个机场啊在2019年他们的非航空收入的占比已经超过了60%这个非航空收入呢主要是包括餐饮啊休息室啊
[00:14:15] 但最主要的就是免税店的租金那这当中呢日商免税行自然是贡献营收的一个主力了2017到2019年中免日商向上海机场支付的免税店的租金分别为25.6亿36.8亿和52.1亿元分别占到上海机场这个公司同期营收的23%39%和47.6%
[00:14:40] 就可以看到到2019年的时候日上基本上贡献了上海机场将近一半的收入而且要注意啊这个时候我们上海机场的这个上市公司的资产里面还只有浦东机场就是日上虹桥的业务还没有算进来2021年底上海机场重组完成了之后虹桥机场的免税收入还会算进去对而且在2019年的时候浦东还开了那个卫星厅嘛其实那一块开了非常多新的这个免税店本来是一块要增长非常大的一个业务
[00:15:09] 下面我们来具体说一下机场和免税店的合作方式还是来举上海机场和日上的例子但是其实全球很多地方都差不多一般来说机场收取免税店租金的方式都是销售的扣点就是你卖出100元的货其中要多少钱给机场具体的计算公式肯定是各不相同的但常规的是一个保底加增量扣点的方式就是他们在合同里面会规定一个最低的数字然后如果超过了销售额之后机场从中再抽成
[00:15:38] 而且其中不同类型的产品扣点比例还不一样像烟酒香水化妆品食品这些都是免税店商品的大头啊他们的这个扣点的比例一般会更高哎等一下我觉得这里我们有一个简单的问题有必要先跟大家要解释就是这个免税的生意这么好做为什么机场他没有自己去经营免税店
[00:15:58] 这个术业有专攻就机场还是要做好自己的本职工作就销售的事情未必做得很好就像商业地产的开发商不一定自己会去开一个超市或者去开一个精品店对吧而且这里边还有一个规模相应的问题就我们前面提到过的就一个免税店的公司你可以在很多个机场里边开店但你一个机场不太可能去别的机场去开免税店所以说如果你单一个机场自己来开个店的话你很难建立起免税店的规模效应
[00:16:25] 而这一点对于降低免税店的采购成本是非常重要的而这个采购成本呢又会影响到最后消费者买到这个免税商品的真实价格而这个价格是免税店的重要的竞争优势前面我们也提到过的因为机场和机场之间啊这个免税店也是有竞争的你想一个人出入境其实要经过至少两个免税店那到底在哪个地方去花钱呢其实是要比较的对吧
[00:16:50] 那对于机场来说如果能把自己的店铺交给有能力的公司去经营那尽量把这个免税店做好把这个营业额做大那自己照样可以赚更高的一个扣点也是一个更实惠的选择对的是这个道理我相信过去几年就是有出境旅游的听友们应该都有体验啊现在上海日上的这个比如说化妆品吧它的这个价格已经在全球范围呢已经有相当优势了过去我们总觉得在欧美
[00:17:17] 免税店里面买这个化妆品很便宜但是这两年日上随着生意越做越大它的这个溢价权越来越高经常我们能在日上买到全球最便宜的化妆品对就这个东西当中还有一个就是建立这个免税店
[00:17:33] 名声的问题就你一旦建立起来就比如说你某个产品雅式蓝带全球最便宜那你其实会有一个对消费者的影响力在的那之后大家就更加习惯于在你这边买了对那对于那种经常出入境的一些商旅的那个旅客来说他们也是一个消费的主力嘛如果你形成了这种习惯的话其实你这个销售额是很有保障对对对这个叫心理锚点对吗
[00:17:56] 对对对那收回这个免税店和机场的扣点的问题就一般来说国际上比较成熟的机场免税店它这个扣点比例都会达到40%以上就很直接就是你花100块钱的东西买了这个免税商品其实40多块钱是给机场的
[00:18:13] 这个成本往往比货物本身的批发价要更高够夸张的40%对那毕竟机场是把这么重要的一颗摇钱树独家的授权给了一个公司嘛那他肯定要分一块蛋糕而且要分很大的一块毕竟免税店能够开关键是能够开在机场这个位置里面对吧
[00:18:30] 不过即便是这样我们还是觉得免税店的东西要比我们日常买就是正常的价格去买要便宜很多这说明什么呢说明一般商品的这个税费实在是太高了毛利空间实在是太大了对的而且相比之下国内这场的扣点率其实都不算太高
[00:18:51] 像日上在2018年之前都不到30%然后一些别的一线或者二线城市的机场很多地方的扣点率都是低于30%的这当中的原因呢可能还是很大一部分是因为国内机场的免税生意目前还处于成长期那如果机场的扣点低一些就可以培育市场对吧你薅羊毛也得让羊先长点毛
[00:19:15] 当然了这个低的扣点率对于像中缅这样的垄断的公司来说它又是一个额外的利好因为你的成本就更低了嘛没错那机场方自然看在眼里随着你这个免税生意如果越做越大的话这块蛋糕肯定要重新分配了那这里边最典型的例子还是上海机场和日上的这个合作2018年的时候呢他们双方重新签了一个合同
[00:19:38] 其中的核心就是大幅提升了上海机场在免税店的收益从2019年到2024年的这五年里边上海机场在日上免税店的扣点率提升到了42.5%那基本上就是与国际水平拉平了而且其中还有一个保底收入的条款就这五年啊上海机场累计可以获得410亿元的保底的
[00:20:04] 租金收入就是你不管日上的生意做得怎么样这410亿元的租金是上海机场汉劳保收的这个理论上汉劳保收吧因为很快就遇上了百年一遇的汉劳
[00:20:18] 没错没错这就是这个故事的后半部分能够看得出来就原来签订这份合同的时候上方对于未来的这个经营是非常乐观的不然不会大幅的提高这个上海机场这边的租金对就说明大家都知道这块蛋糕会涨得很大所以多分一点也没关系对吧没想到就遇到了这个疫情2020年上海机场的出入境游客的人次锐减87%相应的它这个非航空收入就锐减62%
[00:20:47] 到了2021年的情况也没有明显的好转那这种情况下呢上海机场就和日上重新签了一个协议其中的这个租金的计算方式呢说起来有点复杂简单而言就是第一原来的这个410亿元五年的这个保底收入啊变成了封顶收入就是这未来的五年里面上海机场最多可以从日上那边拿到410亿元的租金的收入第二呢就是计算方式不再与销售额挂钩了
[00:21:15] 而是基于2019年的数据和客流量来挂钩再加上一些开业面积等等的因素来综合计算整个这套复杂的计算下来只要你的客流量没有恢复到常规的水平上海机场的免税店的收入就会大幅的减少实际操作下来2020年和2021年这两年上海机场的免税店租金收入分别是11亿元和不足5亿元你想想看2019年是超过60多亿元的这个差距是非常非常大
[00:21:44] 我看这个2022年多半也不会好了是啊不过这里边有一些细节我们还是值得说一说就是在这个补充的协议里边可以看到出大家有个共同的基础共识就是这个生意这个合作本身得先保住
[00:22:00] 首先是上海机场肯定是大幅让步了就原来的保底变成了封顶对吧当然这个我觉得也是一个合理的商业选择如果你坚持原来的协议不松口的话那有可能日商就直接选择来违约了我付你的违约金因为这个违约金只有5亿元和这个410亿相比真的是差很多了更划算对
[00:22:21] 那另一方面呢日上其实也给了上海机场一些保障简单而言就是我们前面讲的那个复杂计算公式里边会有一个情况就是如果客流量和开业面积特别少的时候其实机场在整个销售额中的抽成比例会相应的提高变得更高所以我们刚刚讲到2020年上海机场的这个租金收入是11亿元嘛那其实当年整个免税的销售额也就20多亿元那你这个租金的占比其实是超过50%的
[00:22:49] 这其实也就是说等于双方都让步了因为大家都想要把这个生意维持下去这双证券在一份相关的言报里就认为双方签订一个新的这样的协议做出这样的让步是因为上海机场和中缅在中国的这个免税店生意里面的重要地位来决定的那上海机场的免税店盘子很大那所以除了中缅他也不太可能找别的人来做
[00:23:14] 那对于中面来说呢虽然海南那边的业务发展很迅速但机场始终是免税生意一个最最最重要的渠道之一尤其是在中国来说北京和上海是他不可能放弃的市场简而言之啊就是双方都有各自的一个护城河使自己是不可替代的那瘦死的骆驼比马大对吧就即使是一个贫贱的日子这个夫妻俩还是得先熬过去过下去
[00:23:39] 对对对要先共一下苦以后看能不能再同甘没错最后还有一点要注意就是这个日上和上海机场重新签订的这份补充协议里面还有一段风险提示如果出现以下四种情形双方可以磋商然后重新调整协议那这四种情形里面的三和四和我们今天要聊的这个关系不是很大但是一和二非常值得说一说一是什么呢就是
[00:24:07] 新冠病毒疫情在2023年12月31日仍未全面结束另外一个是因疫情导致供应商的商品生产和运输严重滞后无法满足日商上海的采购需要也就是说如果出现了这两种情形双方还可以重新磋商重新调整这个疯狂的经验看来是很足的很多朋友看公司的财报经常会把风险提示一笔带过
[00:24:35] 当做是一个样子货来看一看但实际上证明这个风险提示还是非常重要的没错好 下面我们进入今天的第三个部分之前我们讲的都是中国国内的案例现在我们要把视线挪到海外看一下在2021年全球排名第七的免税零售商DFS的发展故事DFS这个简称大家可能没有概念但是说全名大家就知道了就是Duty Free Shop
[00:25:01] 就算没有逛过我估计大家也多半看到过他的购物袋这家公司呢现在是LVMH集团的子公司也就是和路易威登啊轩尼士都同属于一个奢侈品集团了但他的创办者呢是两位美国的退役老兵其中一位核心人物呢叫查克菲尼他现在更为人所熟知的身份是一位超级慈善家至今已经捐赠了至少60亿美元了而且在大多数的时间里面都是秘密的捐赠
[00:25:27] 直到1997年他的公司要被这个LVMH收购了他的这个捐赠行为才逐渐的公开查克菲尼的这个创业和慈善故事都挺传奇的他传记影子富豪查克菲尼也出过中文版大家有兴趣的话也可以去看一看那我们今天呢就简单回顾一下他在免税店这个业务上面是怎么起家的大致可以分为三个阶段或者说三个关键词那第一个阶段呢就是美军
[00:25:53] 查克菲尼和生意搭档鲍勃米勒是在1950年代都是在驻欧洲的美军基地服役的那当时全球啊这个国际游客的主力之一其实就是美国人尤其是美国军人因为他们在欧洲亚洲都有很多的军事基地嘛这个存在感还是很强的那军人有可能经常跑来跑去那这些军人当时处于什么样的状态呢简单来说就是第一不用打什么仗了第二呢就是有钱没出花
[00:26:19] 而且他们有一项非常重要的权利就是这些军人在回到美国的时候可以带五瓶免税的酒还有一些其他额度的免税的商品大家都知道酒的税是非常非常高的在当时如果一瓶欧洲生产的比较好的威士忌在欧洲当地卖20美元对话一下的话大概是20美元的话在纽约的商店里面可能要50美元即便现在其实免税店里面的很多产品的价格差也有这么大的
[00:26:47] 对所以呢他们就是做美军的免税酒的生意起家的后来他们还延伸到了比酒销售额更大的东西就是汽车其实很多国家的驻外人员都享受过这种免关税汽车的政策其实我们国家的一些驻外人员也有当时查克菲尼他们生意的本质呢就是一个没有库存的贸易公司他们从军人那边拿到了订单和订金然后再到车厂或者是经销商那边去订车
[00:27:15] 他们在负责帮你运到美国这件事情其实你换任何一个人只要把这个流程走通了都可以做但他们的核心能力其实是能够接触到军队这个圈子里边毕竟不是谁都能够登上美军的舰船然后和那个军需官来疏通好关系能够和这些美国大兵们做生意的对
[00:27:35] 那么DFS的第二个阶段就是随着全球旅行和贸易的复苏免税的政策又从军人拓展到了所有的公民然后当时美国的政策是非常非常宽松的理论上只要你出了国你就可以带回来五瓶免税酒或是一件大衣或是其他什么商品这些东西甚至不需要你是从你的目的地国当地买的那这就给了一个很大的这个可以操作的空间
[00:28:02] 这个阶段呢DFS做了很多邮寄的生意就是你从海外他的DFS商店买了一个东西然后你回美国你入关的时候你就申报说我有什么什么东西需要托运然后相应的DFS就把东西给你再寄到美国去最后这个邮递员送上门的时候可能会要你缴税这个时候你只要把申报单给他就行了
[00:28:23] 大家注意到吧这个过程不就是我们现在的代购吗叫跨境电商好吗okok对真的是跨境电商了所以啊就太阳底下无心先试当然这个代购还是有一个先决条件的就是你这个本人的确是要出入境一次的对吧对但是啊这个整个过程其实是很长的有可能需要一两个月平均是六个礼拜
[00:28:44] 不过对于这个消费者来说你考虑的价格可以便宜一半多而且你买这些东西比如是衣服啊或者是烟酒啊其实往往不着急用所以出境游客都非常喜欢这样的服务那整个过程当中你们注意到吗就DFS都不会产生任何库存的它只是接订单然后再去提交订单然后当中赚这个倒买倒卖的钱对所以其实在免税店这个生意发展的初期路子真的是蛮野的
[00:29:10] 当然这个例子的后续发展也可以带出免税店的前面提到的一个特征就是受政策影响大它好的时候你可以受政策的激励非常大但是如果政策收紧的时候它的损失也很大到了1960年的时候当时的美国政府就开始收紧免税商品的政策尤其是酒类产品的免税额度是大大的减少了每个月可能只能带一瓶而且还有很多限制条件比如说你必须要买21岁
[00:29:36] 那过去的话那个很多美国人都非常的这个擦边球比如说你一家五口出去玩一个小孩都可以买五瓶免税酒那一家人可以带25瓶酒回来那政府就觉得这一方面这些钱都花到国外去了有点不爽另外就是很多美国本土的酒类品牌觉得自己的利益受损了所以也非常反对这样的政策这基本上是两个最最经典的关税支持者用来反对
[00:30:02] 免税生意的理由也可以说是免税这个生意的原罪没错就是小到免税生意大到很多国际间大的贸易我们都可以看到这种类似的理由
[00:30:12] 那这次政策的影响就差点让DFS倒闭了他们是花了非常多的力气然后最后才勉强地存活下来还好他们后来遇到了转机那这个也就是第三个关键词就是日本DFS真正发展起来是在1960年代之后的夏威夷当时日本的经济开始腾飞了出境游也开始流行了那日本人首选的目的地就是夏威夷
[00:30:36] DFS是最早在火怒怒怒的机场开设免税专柜的公司而且它这个生意就是完全针对日本游客所有的店员都要学习日语包括查克菲尼本人他自己都开始学日语了然后卖东西都是针对日本的消费者喜欢一些东西那这个免税店很快就从一个八台大小的一个小店铺变成了一个大店我看到传记里面的描写是负责这个店的经理他就说生意实在是太火爆了我们简直控制不住
[00:31:02] 我听不下去了好吗就是有点控制不住这个钱往口袋里面掉了真的是烦到一定程度了这个之后呢DFS又扩展到香港扩展到巴黎这些地方都是日本游客的重点目的地就他这日本游客到哪里去玩他们就把店开到哪里去这个过程当中呢DFS还投资建设了塞班岛的机场就原来塞班岛的机场就一根破破的跑道他把它重新翻修了一遍
[00:31:30] 换回来的回报是什么呢就是获得了塞班岛20年的免税店特许经营权可想而知这个查克菲尼赚了多少钱对所以这个提前布局的商业直举还是非常重要的就是你要顺着这个趋势是没错但是你其实要真的赚到大钱的话还是要抢在这个趋势之前这个当中就有蛮多的细节了
[00:31:49] 好我们现在已经讲完了这三个阶段我感觉肖桑他想讲的可能是免税店发展的基础其实还是下游你要有客源没错那不过呢还有一个参与者我觉得也很重要就是上游的供应商在免税这个生意里面上游的供应商和免税店之间又是一种什么样的关系呢确实很重要啊这个呢我们还是可以举DFS和一个酒类品牌就是卡木甘意白兰地的一个合作的例子
[00:32:18] 这两个公司呢也是从1960年代就是DFS进入夏威夷之后开始合作的当时的卡莫是全球排名第二十的甘意品牌算是一个落幕的贵族了所以呢他们当时是急需想办法能够重新振作起来的另一边DFS呢他其实也非常想要找到一个愿意与他们深度合作的酒类品牌因为当时有名的那些高端品牌啊或者是那些畅销的品牌像什么那个杰克丹尼啊什么的都不愿意和免税店合作
[00:32:47] 一方面觉得有点掉价而且即便合作给的条件也非常的苛刻比如说他们给别的一些酒类的经销商账期有可能是60天给免税店就只有15到30天而卡木决定和DFS合作之后给了一个超低的批发价和长达120天的账期据说这个数字都是突破酒类行业原本的底线的所以就等于是卡木把自己复兴的机会绑定在DFS上面了
[00:33:14] 或者直白一点吧就是绑定在DFS当时所拥有的日本客人身上了对DFS也是干得很漂亮啊他们在夏威夷的销售业员是用了非常伶俐的手段没多少时间就把卡木捧成了日本游客眼中的高端干液或者说是世界上最流行的品牌我们看到一个细节就是每当消费者想要买同价位的别的品牌的时候
[00:33:37] 销售员就会说不不不你应该买这个买这个卡木甘意这个才是现在欧美最流行的牌子带回去才有面子这真的是非常非常典型的一种免税店的销售方法
[00:33:50] 的确这个免税店我相信大家都有体验它的确是一种最容易冲动消费的地方就是来都来了的这种心态在这里是决定性的就是有的时候你去到就是很多东西你在国内可能不会买但是因为你在免税店逛的时候你就莫名其妙买了所以大家经常在那里会买一些自己不太熟悉的东西当然还有免税店很大的一部分购物需求是为了送礼
[00:34:16] 前面卡木那个店员非常有这个insight这个时候购物其实也很讲究面子那所以销售员的引导就很重要嘛那他们可以教育你甚至是命令你这个时候你应该买什么像前几年中国的游客在海外美食店的话相信也对这种销售方式不陌生啊虽然在国外美食店里面都是讲中文的中国面孔当然卡木本身的品质也是不差的过了两年之后呢卡木90%的销售额就都是由DFS完成的
[00:34:45] 后来他们的这个合作还更进一步啊就DFS还帮助建立了卡木在欧洲的整个经销网络就是说不单单是免税店的经销网络就是正常销售的这些那个经销店也是由他来建立这个体系的那至今卡木还是日本最受欢迎的干液品牌之一那这个例子呢就是很好的说明了免税店的这个销售渠道对于像烟酒化妆品香水或者是奢侈品这些品牌的影响力可以到什么样的程度
[00:35:11] 对的,所以我们也不难理解为什么LVMH这个奢侈品集团会在1996年用24.7亿美元的价格把DFS直接收购了因为这是它旗下很多商品的一个非常非常重要的渠道
[00:35:26] 今天的节目我们通过国内外的一些例子把免税店和政策免税店和机场免税店和游客以及和品牌之间的关系都简单的梳理了一下不过这些都是比较基本的梳理这个行业实际操作起来还是有非常多的门道和一些不可说的东西包括具体的营销手段商务条件如何确定等等它和一般的我们所熟知的这种零售商业是很不一样的没错那说回中缅
[00:35:56] 在疫情之后我们看到过很多乐观的分析或者是积极的评价说这家公司在疫情之后能够快速崛起然后依靠海南的离岛免税店承接了机场无法消化的一些免税的需求最后保持了一个增长但是从免税店的商业逻辑上面来看我们还是可以有一个判断就是这并不是一个长期可持续的状态虽然我们节目不对上市公司的表现做预测我们也不提供投资建议
[00:36:23] 不过对于免税零售业我们还是有一些清楚的判断的就是长期来看这个行业它应该是与出入境的人流密切相关的如果国与国之间的人员流动无法恢复那免税院的前景就一定是困难的
[00:36:39] 我们也有数据啊就是印证我们这个判断吧算是就是2022年第一季度中缅的销售额和利润都出现了比较大的同比下滑其中今年三月的下滑幅度是最大的那今年三月发生了什么呢今年三月我们一直被风控着没错因为面向境内旅客的离岛免税店只能暂时满足一部分被压抑的需求而无法长期的维持免税这个生意
[00:37:06] 你像海南岛它本身的长远规划也并非是一个转移承接内地消费者的一个购物岛而是应该成为一个自由贸易的中心即使是指以免税这个生意的视角来看来自全球的人或资金都涌向这里才能够最大程度的发挥这个市场的真正潜力商业就是这样
[00:37:30] 感谢收听这一期的商业就是这样你可以在苹果播客小宇宙喜马拉雅网易云音乐QQ音乐荔枝等平台收听我们的节目微信公众号第一财经emagazine也会推送每期节目的内容如果喜欢我们欢迎你在苹果播客给我们五星好评并期待你在各个平台与我们交流尤其欢迎分享你感兴趣的话题下期见
