Vol.120 “你想成为宝可梦训练师吗？”
[00:02:42] 待会可以简单讲一讲
[00:03:05] 接下来我们会分别从卡牌对战和大众化这三个关键词来介绍集换式卡牌在破圈过程中采取的一些商业策略以及这些策略在真正的市场中是如何变形的最后我们一起探讨探讨集换式卡牌在中国这个有很强奇葩类消费基础的市场里面到底有多大概率能够真正的破圈而不像很多之前的AC计划题一样只能有一些毁誉参半的热度OK 那我们就开始吧这里是商业就是这样
[00:03:48] 那我们首先还是来说一说这个集换式卡牌到底是个什么东西什么样的一个游戏没有想到我们这个节目有一天要先介绍游戏规则不过感觉还是很有必要的因为集换式卡牌的商业价值和它的游戏规则是紧密相关的先前我跟陶老师请教了两天在这里先给大家强行打个底简单概括集换式卡牌就是要用自己组合出的卡牌在线下与人对战感觉这个定义里面充满了关键词
[00:04:17] 首先是自租卡牌它对应的就是所谓的共用卡牌比如说打麻将和打扑克牌就场上所有人用一套牌就可以了
[00:04:26] 而且这套牌的组法是有官方规定的就每张牌是什么官方都定好了每个人的手牌是从这个共用的牌堆里面抽出来的那玩家在这方面基本上是个平等的关系但是自组卡牌可以说一开始就是不平等的因为官方只会规定每次比赛的时候每个人要用多少张牌然后这个牌组里面要含哪些种类的牌但是具体是哪几张牌什么牌这个其实完全是由你自己在官方设计的一个巨大的卡池里面去买去抽最后组合出来的玩家
[00:04:55] 大家手上的牌组可能差别会非常的大嗯这么说好像有点理解但也还是有点抽象啊要么还是请有经验的陶老师给我们具体举例说明一下嗯好的那就以我自己打过的宝可梦集换式卡牌为例吧嗯一套卡组是固定的60张牌主要是分成三种类型
[00:05:13] 宝可梦卡、训练家卡和能量卡宝可梦还有一个大家更熟悉的名字是神奇宝贝或者宠物小精灵宝可梦卡是卡组的核心每张卡上都画有宝可梦比如说皮卡丘、伊布等等它们的作用主要是攻击、辅助训练家卡主要是发挥加buff和debuff的作用可以让你出牌的节奏变得更丝滑丰富你的进攻手段也可以限制对手的行动
[00:05:38] 能量卡就是宝可梦每回合使用招式时需要耗费的能量所以所谓的集换式卡牌呢集就是收集你可以自己买卡来组成自己的组合换就是交换你可以和其他玩家互换卡牌让自己的组合更合理或者是更强
[00:05:55] 感觉和动画里这个宝可梦的对决真的非常像虽然我宝可梦玩的不多但是好像就是这个意思所以说拥有一套能拿得出手去打比赛这个宝可梦卡组大概要花多少钱呢这个问题就是如果你是一个新手小白玩家那你其实完全可以参考B站T8或者一个二手平台叫极幻社上面有很多经过实战认证过的强力卡组你可以直接来一份同款我自己的第一套牌就是参考了其他玩家的卡组后
[00:06:24] 关键字收来的一套差不多花了300块钱
[00:06:28] 但是如果你是通过官方途径要凑出一套可以直接上手打的卡那还是要贵很多的我的理解的话打个比方就自组的这个卡牌比较像从零件开始传电脑这种感觉传主机因为比较穷的可能就会研究很多参数然后看很多攻略用一些比较便宜的组件也能凑出一个比较性能好的一个入门的机器比较有钱的可能一开始上去就买一些高级的组件最后凑出来自然就是一个比较高级的高性能的电脑
[00:06:57] 差不多就是这个意思那第二个关键词是对战一方面强调说这些牌收集过来不是用于收藏的它是要用来打比赛的另外一方面它强调的其实是对战的对应词就是群战嘛所以我要举麻将的例子比如说麻将是四个人打那它的规则就决定每个人其实要花很多精力关注自己的上家和下家
[00:07:20] 那么还有个例子就是斗地主斗地主是三个人或者四个人打就是几个农民要阻止一个地主的胜利但是现在流行的像三国杀狼人杀其实也是差不多的都是一个所谓的竞合关系那集换式卡牌虽然说具体的打的时候规则很复杂但是场上都是一对一打那在这方面是比较简单的就是竞技性比较强
[00:07:42] 刘老师虽然号称不打这个奇葩的游戏但是对于这些人民群众喜欢乐见的文娱活动的大原则还是蛮掌握的其实是我多次试图尝试入门这些游戏未果后来发现主要就是我缺乏对这种上下加逻辑的把握然后是第三个关键词也就是线下
[00:07:59] 其实现在像万智牌的话也有官方的线上版本了另外像卢氏传说这种非常热门的网络游戏其实也是一种降低难度的万智牌的遍体这个后面我们还会专门提到但是比较传统的机换式卡牌游戏都会强调是线下局真人面对面用纸牌来打我自己觉得这种真人面对面的话可能更像一个竞技类的游戏像围棋或者象棋一样对弈的那种感觉而且你能关注到现场对手的表情还有心理的波动
[00:08:27] 而且用纸牌打的话可能还有一些吸睛和炫耀的成分那种比较罕见的牌面或者比较好看的这些牌打出来即便这个比赛是输了但是也有一种自豪感和炫耀的感觉可以弥补一下
[00:08:41] 那其实按照这个定义的话市面上到底哪些算集换式卡牌呢其实我们前面提到的万智牌也好或者宝可梦卡牌都算但是有一些纯收藏的卡牌就应该不属于这个范畴比如说我很熟悉的小花熊甘村民里的水浒海就不算是对不过中间其实还有一些比较模糊的地带比如说现在小学生里面很流行的奥特曼卡它其实主要是收藏卡但是后来官方也推出了一些对战类的卡片主要是面向未成年人那这个我们就暂时
[00:09:10] 而且先不讨论了OK那把这三个关键词都讲完以后我们其实也大概能感觉到都是什么人会玩这种集换式卡牌了要不然肖老师来替大家总结一下这么说吧首先我觉得应该还是要有钱对吧从刚刚那个陶老师讲到这些数字来看的话其实如果你要买这种官方的卡牌来入门的话其实还是要花蛮多的钱的而且都给你这个自己传牌组的几乎了对吧你不可能一直都是用几张牌你总会想尽量的都买一些卡牌就得花钱买
[00:09:37] 其次的话我觉得也是要喜欢策略竞技的那些人就是要喜欢各种算啊各种分析的这一点我们其实前面没有提太多啊但是大部分的这个机换式卡牌其实打起来都是有点烧脑的并不是一个休闲的桌游
[00:09:52] 最后可能有一点的话就是我觉得它的风格是比较nerdy的我想象中那种适合万制牌的可能都是生活大爆炸里面这些科学家那种感觉比较准确了这个核心的用户群体的技术想想也是非常小的所以为了在一定程度上破圈整个行业上有的这些品牌方运营方和代理商其实想了很多办法来扩大集换式卡牌的影响力也造成了这个行业目前一些比较微妙的市场策略
[00:10:21] 前面我们提到这个集换式卡牌游戏当中最关键的一点是自组卡牌其实它还有一个关键的点就是它的官方的销售模式就除了你二手自己在网上买以外它官方的销售模式的话都是那种盲盒的销售模式就是你买一组卡牌里边有可能会有非常稀有的卡牌但是也不一定有它是这种模式的那讲到这个抽盲盒的话之前我们节目里面不是也聊到过帕帕马特吗
[00:10:46] 那期节目里面我们就提到这个盲盒的机制本身就有一定的成瘾性比较容易赚钱但是这个产品本身的精良程度也会对消费者的决策产生很大的影响这一点其实在很多集换式的卡牌游戏当中也是类似的讲到泡泡马特很多人会觉得说这个商业模式吸引力虽然很大但是它归根到底不过是个卖玩具的技术含量不是很高
[00:11:10] 如果这些人知道有集换式卡牌这个小市场的话可能偏见会更深因为虽然说加了一些什么闪卡或者防卫之类的技术但是归根到底不过都是一些硬纸卡片罢了我们实际上也找到了一份东吴证券的财报里面显示说有一家A股上市公司叫华丽科技它就是做游戏卡的2020年它的奥特曼 机甲英雄 宝可梦和超级龙珠四大IP形象卡片的毛利率
[00:11:37] 都超过了30%其实这个数字比我想象中的还要低一点因为我以为这个硬纸片它的毛利会更加高你在想什么一本万里的生意不过我们后来看到中国最大的一个扑克牌的上市公司就是姚记扑克它在扑克上面的毛利率其实也只有25%所以其实把这部分业务和印刷业来平行对比会更加合适一点它毛利率没有那么夸张没有那么夸张
[00:12:00] 顺便说一句这个姚继扑克其实和集换式卡牌也有关系他不仅自己生产扑克牌他还是宝可梦这个卡牌的代理经销商之一那如果说纸牌本身这个利润空间不高那把纸牌卖得上家的关键其实就是这个牌的设计了比较典型的就是我们节目开头提到的万字牌和魔戒的联动其实是把很多魔戒的名场面都做到卡面上有的可能用一些比较稀有的特殊的插画版本
[00:12:25] 或者说有些加奇幻语言的边框或者说几张卡片可以组合出来一个很完整的画面等等听你这个描述感觉不仅仅是万制牌的爱好者这个魔界的爱好者应该也是很想拥有一套的确实啊那其实挑选一些本身影响力就很大或者说内容储备很深厚的IP来合作对于这个品牌方扩展整个卡牌设计思路是很有好处的
[00:12:47] 而且万智牌它原本的设计就是走所谓欧美奇幻风找模型合作就很合理是的那这里我再补充两种比较特殊的卡牌就是所谓的异画牌和魅卡异画牌呢它是异常的异画面的画相当于是在
[00:13:03] 不改变卡牌效果的基础上给一张原有的卡牌绘制全新的画面呀UI呀文字符号这些其实2019年的时候呢万智牌就邀请过一个日本的知名画师叫天野喜笑如果玩过追踪幻想的听众应该知道他他为万智牌的火花之战系列绘制了异画牌那他本人走的是一个妖野奇幻的画风当时这套牌就火了一把
[00:13:27] 然后另外一个牌叫做妹卡所谓妹卡呢这个妹就是妹妹的妹啊指的是应有萌妹子形象的卡片那在宝可梦的卡牌圈里甚至是小红书上也很火比如说宝可梦太阳月亮的女主角之伊丽丽埃她的卡面功能其实并不特殊也不是说特别牛但是因为立慧比较精美又是大家都很喜欢的女性角色所以她的卡就变成了高人气的妹卡
[00:13:51] 我简单想象了一下假设说这个世界上有一套百变小英卡然后这个卡面上面都有一些动画名场面复刻的话估计是不是会卖爆啊
[00:14:17] 刚才其实陶子聪主要讲的就是一个集换式卡牌的收藏价值是怎么来的这个件事情对其实所谓的玩家和藏家他们虽然都在这个集换式卡牌的圈子里面但他们的分化是很明显的藏家逻辑其实非常简单就是看精美度稀缺度它其实更多是从收藏的丰富性和价值上面获得乐趣的那玩家的逻辑在这里就会相对复杂一些因为这些设计更精美稀缺度更高的卡牌往往在实战中
[00:14:46] 也更强或者更能满足他当前的一些实际需求他就是需要一张这样的牌所以他们本质上是为了组合出这种更强的手牌才去追求这种稀有的卡牌的这么看的话宝可梦真的是一个和极幻式卡牌完美匹配的一个IP但是就反过来说如果有一张画面很好看但是实际上是一张占五渣的卡牌那藏家有可能会抢但是玩家应该就不会要理解了
[00:15:09] 所以说要设计出来玩家也喜欢的卡呢这个就比单纯设计一张牌面要复杂多那里面的一个关键词就是平衡比如说一张卡的属性啊特色数值卡与卡之间有什么联动关系等等我们前面提到万智牌本身就是由一位数学家设计出来所以它这个复杂度是很高的目前万智牌有一位首席设计师他曾经在一篇专栏文章里面解释到他跟这个设计团队要计算出某个主题出现的频率卡牌的所谓费用曲线
[00:15:38] 玩家多少资源才能够做出一套拥有若干颜色的套牌等等其实万智牌不光是直接聘请专业人士他们还去世界上面去找那些很好的专业玩家然后邀请他们来加入自己的团队直接参与这些未来的新牌设计另外还有一点就是为了给玩家带来新鲜感集换式卡牌的设计者还需要考虑所谓赛制和卡组的系列轮替问题
[00:16:01] 前面我们讲收藏的时候我还能够get到啊就是一旦开始讲玩家这个硬核的部分就感觉越来越复杂了逐渐听不懂了要不然刚才约老师讲这些东西还是陶老师能给大家稍微解释一下吧
[00:16:12] 其实所谓的系列轮替它没有那么复杂大家可以就是依照手游来理解一下就像手游要不断推出新的角色新的版本然后不断小范围的修改规则一样因为同一套规则地图和角色如果大家玩的太久肯定就会觉得腻嘛但是又不能更新的太频繁否则玩家也跟不上同时如果那个牌库过于庞大的话呢对玩家的认知来说也是一种负担所以设计者他必须把握好这个待机间的时间关系适时的推出新系列
[00:16:42] 当然每次所谓系列轮替也都意味着平凡方可以去卖一些新的卡组和补充包了这也是集换式卡牌为什么能够从用户市场不断的赚钱同时也能尽量阻止这个资金和卡牌流向二级市场的一个方法感觉所有这个跟收藏或者说是这个小众爱好相关的都会有个二级市场的这个流通那这个集换式卡牌的这个二级市场具体是个什么样子陶老师能不能简单介绍一下其实对于集换式卡牌来说二级市场是一个相当重要的部分
[00:17:10] 它首先第一个作用是可以让玩家来交换卡牌嘛卡牌交易然后它还有一个功能其实是评级鉴定这也是定价的一个环节简单来说就是你把你手上的卡交给一个专业的第三方评级机构这些机构呢根据卡的品相比如说牌面是否有划痕啊边边角角的磨损程度呀还有卡的存尸量印刷年份等等方面综合考虑最后会得出一个评分
[00:17:35] 目前市面上比较受认可的评级公司主要有PSABGS这些他们会给鉴定好的卡装上一个透明的鉴定卡夹然后在卡夹的顶部呢标注卡的评级分数一般来说满分是10分但这个评分其实相当难获得就是比如说你觉得你的卡肉眼看上去没有瑕疵但实际上他也拿不到10分如果你的卡一旦被评为10分或者说9.5分那他在二级市场的价格可能会比没有评级的要贵数倍甚至是几百倍
[00:18:04] 刚才陶老师讲这些东西让我想到了非常多就是逛过的一些小众爱好的二手店就是这种打风还有就是那些评判的标准什么华和这种的就是似曾相识我们就不听你这些个人化的小爱好简单总结一下虽然说集换式卡牌很强调所谓牌是用来比赛的不是用来炒的但是它在整个产品设计的机制里面包括说排名的设计数值的设计或者代际设计上面其实还是保留了很多可以用来
[00:18:33] 炒价格的空间所以说把牌和游戏做好其实只是比较重要的第一步那如何能卖好这些牌能跟这种更能平衡供需的二级市场做斗争其实才是品牌方和运营方的
[00:18:49] 说到这里如果玩手游的听友们肯定已经发现了这个集换式卡牌它最基本的这些消费驱动力和手游的抽卡是一模一样的我们前面其实已经多多少少提到一些了事实上这个集换式卡牌就是这个手游抽卡氪金这一套盈利模式的一个鼻祖
[00:19:06] 然后他通过什么早期的网游等等的一些发展直到现在的手游他登峰造极变成了一个赚钱的机器没错那理解这一点其实就很自然的能够想到集换式卡牌其实也就是像手游一样会通过各种手段把你这个花钱的氛围给搞起来让你客气来说其实对于说想入门这个集换式卡牌新手来说可以选择像陶老师一样在闲云上面传一组自己想要的牌组也可以选择去买官方发售的这种牌组比如说万智牌
[00:19:34] 万事牌目前的主要产品是有三种叫轮抽补充包系列补充包和聚针补充包三者价格是依次递进的一盒轮抽补充包是官方售价760块当季的系列补充包是950聚针补充包因为它抽出所谓异化卡闪卡和其他稀有的单卡的概率更高官方的售价可以到1950
[00:19:59] 研究一下其实很长一段时间里面这个万智牌的补充包本身只有一种就是轮抽补充包那是因为这个巨珍补充包对于玩家来说显然更有吸引力这开合人可能也更多嘛简单总结一下就是这个厂商可以含泪的多赚一倍是吗含泪多赚一倍啊毕竟万智牌的母公司是著名的玩具大公司海之宝这个卖货是写在这个公司基因里面的那光是这种官方定价我就已经感觉到了你如果沉迷一级幻视卡牌以后你的后果是什么
[00:20:26] 那么下一个问题就是说既然官方的售价已经卖这么贵了它是不是能保证我一定能买得到这个答案肯定是否定的因为二级市场它其实一旦有利可图就会有很多技术高超的黄牛出现比如说像宝可梦的简中版他们今年六月发售了一个卡牌礼盒名字叫做玛丽的决心这个玛丽它也是宝可梦IP的一个比较有名的萌妹子在
[00:20:50] 玩家尤其是宅男玩家中的人气很高那么为了防黄牛呢公司在正式抽选之前他还增设了一轮网上答题环节就是你必须得先答题答对了才有资格买但即使这样玩家依然抢不到货所谓的公平购买还是很难做到的我们在集换式卡牌的稿子里采访过一个老板他叫Izik他做的是宝可梦卡牌的道馆生意也就是说线下打比赛卖牌的实体店
[00:21:17] 这个店是他和同事们一起做的他跟我说他当时创业的原因就是因为他入坑宝可梦卡牌的时候当时这个行业热度已经起来了他根本就买不到正价的补充包这是什么逻辑啊这是官方渠道买不到你做一个实体店就能拿到货吗你可以把牌店视作一种比较特殊的销售渠道它的收入呢一般分为以下几种构成啊比如说
[00:21:39] 卡牌销售赛事组织这样的增值服务还有周边产品的售卖还有一些店会做卡牌评级那么这个店主呢他可以从代理商或者我们说经销商手上以一定的折扣价拿货
[00:21:52] 但是因为现在这个市场目前是相当供不应求的所以说你这个店主能拿到什么货拿到多少货这完全要取决于代理商对你们这个店的评级相应的在做配货没想到这个卡牌的渠道都要配货而且这个店还有评级这个世界的变化真的很快搞得很正儿八经的我们看过这位店主提供了一份所谓评级指南而且这个规定还是很细的
[00:22:17] 像店铺的面积环境的布置固定的客群规模每周会在店里面组织几场比赛其实都能主要算是所谓的分数然后最后用来判定这个店铺的评级等级越高大店拿到货肯定是越多越好的那更多人来店里面买牌或者在这里参加比赛呢又会进一步有利于这个牌店稳定或者说提升自己的等级感觉这个Isaac的话他的这个逻辑就是一个以饭养食稀饭结合而且从品牌官方的话也可以看出他为什么要
[00:22:46] 培养这些这个渠道或者说是这些道馆吧因为你既然防不住黄点的话那我干脆就把大部分的精力都放在更容易管控的这些线下渠道上面然后用一条比较复杂的方式能够让你比较正规的然后以一个比较稳定的价格卖我这些卡牌而且用这个比赛的话又能够提升这些核心用户的兴趣排店本身也能作为一个场地然后吸引更多的玩家过来玩是的那反正这个过程中总会再出现几个打人打的就是自己开店的人
[00:23:13] 所以大家关注不到也是正常的还是以宝可梦卡牌为例
[00:23:40] 目前中国有三个级别的赛事分别是以各个道馆也就是排电为中心的城市赛以及在全国主要城市举办的超级赛还有就是北上广深一年只有四场大师赛像大满贯一样中国大满贯基础的宝可梦卡牌比赛几乎每周都会在各个道馆举办一般来说设定有一定的报名费店铺其实就是赚一些报名费相当于办比赛不仅仅是培养他的买卡牌的消费者本身也是能有一定的收入的
[00:24:08] 是的但是到了最高级别大师赛这个主办方反而采取的是抽选模式任何人只要抽中这个名额就能免费参赛这种抽选之难其实就比较接近于日本本土的所谓粉丝俱乐部的运作模式对于新手来说其实是非常友好的我们为什么要说到这个大师赛和抽选之难
[00:24:26] 就是因为我们陶子东老师为了做这个报道他一不小心通过抽选参加了在北京举行的宝可梦大师赛也就是中国最顶级的一个宝可梦的解换式卡牌的比赛他是我们当中最厉害的训练家了对一跃成为了厉害的训练家呢
[00:24:43] 其实我之所以参加大师赛真的是一个挺搞笑的事情现在回想起来因为我一开始纯粹是为了去写稿嘛然后选题定下之后呢我有一天正好刷到一条新闻说端午节期间北京要开一场宝可梦大师赛那作为一个
[00:24:59] 低财经纪记者是吧肯定要去现场体验下实际的氛围我就打开那个宝可梦卡牌的小程序火速报名嘛然后我当时以为自己是作为观众报名的而且我报名的时候才知道去现场居然还要通过抽选其实我本来已经不怎么抱希望了但几天后我打开小程序一看好家伙好消息是居然抽中我了我一度以为这个抽选是不是只要参与实际上都能抽中啊但后来一个朋友告诉我说不是的
[00:25:26] 他之前参加了广州的大师赛当时据说是十几万人里面只抽1800个人大家品一品这是什么概率原来我居然是被上天选中的少女吗但坏消息也来了坏消息是小陈旭当时蹦出一行字提示我说选手您好请在比赛前提交您的参赛卡组我当时整个人都懵了我根本就不会玩这个游戏我也没有卡我就要去比赛了
[00:25:52] 但是就是说吧为了做这个稿子而且我又被抽上了那我也不能放弃是吧所以我就决定英勇赴死了于是我在短短的几天内跟着B站啊就是恶补了一些玩法规则大概理解了这个游戏怎么玩但我还是很紧张毕竟我连卡组都是临时找朋友借的那么到了比赛当天
[00:26:11] 北京当时是我记得是43度特别特别热但是当时正式参赛的选手差不多就来了3000多个人然后其中一部分人和我一样是通过抽选来到现场的还有一部分人他们是没有抽到大师赛资格但是他们依然非常向往这个比赛啊然后他们通过排垫的预选赛获得了补录资格
[00:26:32] 早上大概五六点就在现场排长队差不多八九点才进到会场比赛的时候呢规则是按照瑞士轮的规则1v1进行当天我记得差不多是打了八轮但我肯定是惨败我就玩了三把输了三把然后我就灰溜溜的走了但是我遇到的对手都很客气他们看出来我是新手打完还要主动的给我复盘什么的
[00:26:55] 我只能说喜欢宝可梦的应该都不是坏人我觉得这个陶老师刚才在叙述的话还是谦虚了就是在游戏里面的话欧皇也是一个很重要的素质是吧那这位这个被选中的少女现在牌组也有了比赛也比过了对吧都参加过最顶级的赛事了这我们的这个报道也已经发出来了你之后还会继续玩这个卡牌游戏吗我觉得是会的因为我经历了惨败之后我觉得自己的理解稍微精进了那么一点点那我现在自己也组了几套牌偶尔会和朋友玩一玩
[00:27:24] 也不怎么赢啊就完全没有新手光环但是宝可梦实在是太可爱了所以我应该还是会玩你大家看一看我们这个同事写一篇稿子付出的代价有多大入了一个深层还付出了金钱对OK刚才我们听了陶老师短暂又辉煌的这个宝可梦大师赛的经历啊现在我们回归到这个商业的那个成分前面其实我们已经讲了这个结换式卡牌的一些规则啊产品设计和官方的这个销售策略
[00:27:53] 接下来于老师我们要不要具体来聊聊这个破圈这个话题其实关于破圈我想提两个问题第一个问题就是说如果要做到真正的大众化集换式卡牌还需要做哪些努力其实这个答案呢我们之前内容里面已经都提到就是两条路一个叫规则简化一个叫价格IP
[00:28:10] 因为万智牌是行业里面最早的集换式卡牌产品我们这期就用了很多万智牌的例子其实这里有一个冷知识就是1999年我国的国家体育总局社会体育指导中心曾经把万智牌作为一个实验项目引进到中国市场因为他当时觉得这个东西很烧脑很有意思对于一个想打开市场的新产品而言这个可谓是梦幻的开局但是这么多年我们为什么始终没有看到万智牌真正打开中国市场背后有好几重原因
[00:28:37] 首先就是定价这个万智牌定价一直算是比较高的在我国的中小学生每个月零用钱只有几块钱有可能几块钱也没有的时候他的一包卡就敢卖几块钱那实际上现在在所有的集换式卡牌里面万智牌定价策略还是偏高的其次是难度万智牌入华这个2000年代初啊最流行的卡牌就是我熟悉的小浣熊该罪名里面负责的水浒英雄卡这个属于纯收藏卡没有竞技门卡根本不需要记中
[00:29:05] 禁忌的规则吗不需要算最后就是推广我们能查到说其实到一年以后就是2001年体育总局和教育部就联合发了一个文说禁止在中小学内开展万字牌活动而且万字牌直到现在国内的这个排店数量都不算多的对于一个需要强禁忌场景然后强习惯来推动的产品来说这个其实就比较难了这个1999年还是实验项目2000年这个实验的结果就是禁止从实验到禁止万字牌在中国的入门是吧
[00:29:33] 简单总结的话就是岳老师刚才讲的这些点其实在万只牌之后中国推广的其他的机换式卡牌的产品都或多或少不能避免就是定价难度和推广上面这些问题那么反过来你要想让卡牌更加流行的话你就是要解决这些问题对不对先说所谓的IP价格
[00:29:54] 那IP价格其实有一个点就是说IP本身它的知名度有可能很高这个可能能吸引到一部分人了而且它在这个过程中呢还有可能说IP本身就可以吸收融合一些集换式卡牌的基础规则这个就对于用户来说的入门门槛变低了一个典型代表是宝可梦嘛因为宝可梦这个IP一出世就是一个所谓对战游戏的形态那包括它后来动画化虽然增加很多什么友情啊热血之类的部分但是像收集精灵或者说道馆对战这些基本的规则是没有任何的变化的
[00:30:24] 但凡你从任何一个渠道接触过宝可梦的人其实你写他的机换式卡牌游戏都不会觉得太困难当然说IP价钱也有一些比较大的加成效应
[00:30:34] 事理我们还是说万智牌因为在联名的魔戒前后它还跟其他几个IP有过合作比如说战锤奇异博士最终幻想都有合作这些联名系列都属于万智牌的一个全新的产品系列叫五江新宇宙感觉这是一种要无限氪金的感觉氪金新宇宙在这些IP的带动下万智牌在2022年第四季度它的销售额增幅是达到了40%是它的母公司海之宝所有的业务当中为数不多还在逆势上扬
[00:31:03] 除了IP加成以外还有就是所谓降低难度降低难度典型代表其实就是卢氏传说卢氏的游戏机制相比游戏网或者说万字牌都属于比较简单的一个范畴反正是一个低版本的东西甚至你可以总结出来很多打卢氏的套路更关键是卢氏本身是一个线上游戏大量的计算工作其实从玩家端转移到了系统内相当于说你不用动那么多脑子修剪性更强这个对于提升用户的长期留存也是有好处的
[00:31:31] 因为卢氏传说是2014年出的话它的辉煌期其实就是头三年之后玩家规模是缓慢的在下滑的但是根据卢氏的游戏总监Ben Lee之前的一个说法就是说卢氏传说每年的财务收入比大部分的三游戏还要多而且在卢氏在中国去比较强盛那几年它的收入还是在逐年上涨的我们同事当中就有卢氏传说很资深的玩家
[00:31:55] 另外我觉得如实的话还连上了前面你讲到一点就是这个IP的这个联动因为它背后还是有魔兽这个很大的IP作为后盾你要打开这个全球市场包括中国市场的话就会更加方便一点反正总结来说就是你要打开大众市场你就要走万字牌的反面才是正途没错这是大众化第一个问题第二个问题就是说集换式卡牌这种游戏形式真的能在中国市场破圈吗其实从现在这个局面来看我还是有点持怀疑态度因为大部分宅像的话
[00:32:25] 这个热度都会维持太久最后大概率还是会退回到所谓的小圈子文化
[00:32:30] 但是那个卢氏传说的话我感觉在中国还是蛮长青的而且玩的人还是蛮大众的我觉得中国市场能够支持卢氏但是不太能够支持很多更复杂的所谓标准的集换式卡牌这个背后原因也有很多首先就是说在集换式卡牌在中国火之前像桌游其实在中国也推广了很多年但它独立发展的成果并不是很好可能要有一些本土化的变形比如说剧本叉出现以后这个市场才稍微好一些而且无论如何
[00:32:59] 这种活动都是需要在线下花很多时间的
[00:33:25] 最后一点也是陶老师提醒我们就是前面提到所谓代际轮替的问题所谓代际轮替我还是以宝可梦卡牌为例来解释一下这个产品它在日本本土其实已经推到了一个最新的版本但是在中国内地因为进入市场比较晚大概是去年10月份才进来所以它还在推过去的版本进度没有追上来但如果玩家只是在国内比赛是没有影响的因为都在同一个环境体系里面但是如果要去全球打比赛其实就需要重新购注卡组
[00:33:54] 重新训练才能和全球的高手在同一个水平上确实你很多竞技类的项目你真的要稍微有些普及的话你就需要有一个国际级的大赛甚至有一个冠军这样自上而下的这种推动力才可以不论是传统的体育竞技还是现在比较流行的电竞其实都是这样机换式卡牌它具备这样的潜质但是真的要实现的话它对于市场的土壤的要求还是蛮高的
[00:34:17] 其实如果他没有办法最终获得所谓大众市场成功的话也没有关系我们也很乐见他成为一部分人真正的爱好只要把核心小群体服务好也能成为一门很不错的生意商业就是这样
