Vol.252 张雪为什么能赢？
[00:04:13] 这个cc呢实际上就是立方厘米嘛这样一个体积的单位那所谓发动机的这个排量多少多少cc呢其实就是指这个发动机它转一圈或者这个活塞这样运动一下所能够吞吐的最大的空气的这个体积那就等于说这个cc的这个数字越大就是说明这个发动机的动力越强是这个意思吗一般而言这个是跟它这个正相关的那以这个排量为基准呢业界就会把摩托车分为
[00:04:39] 不同的类型像大排量的摩托车普通的摩托车还有什么小型摩托车轻型摩托车等等的层级具体的划分和叫法其实不同的市场还是不同的有一些微妙的区别比如说有的市场是认为250cc以上就要大排量了有的市场认为要400cc以上但一个核心的点其实就是绝大多数的摩托车其实还是小排量的
[00:05:01] 我们之前不是讲过那个本田小狼或者说本田幼瘦它其实就是一个小排量的摩托车对它就是最小排量的那种它是50cc嘛那在日本的话这种其实就叫做Ganski bike就是写成汉字是原来的原加一个付出的付这个付出的付就像是附带的意思在日语里面其实就是说一个原来的自行车附带一个发动机这种意思好
[00:05:27] 那还有呢像过去我们比较常见的那种踏板式的驻动车Vespa那种对Vespa或者我们过去中国其实有很多那种或者是那种轻型的小摩托这种其实都是属于我们说的小排量的那种摩托车它才是整个摩托车市场的一个销量的主力你像在印度啊东南亚拉美啊包括
[00:05:47] 欧洲还有我们中国台湾地区其实这一些都是非常主流的日常的交通工具甚至是很多家庭唯一的交通工具在台湾就是机车是一个形容词对可见这个东西在台湾确实是是的那在这个基本盘之外呢其实每年还有200到300万辆的销量的就属于是400cc以上那种大排量车的听起来就是这应该是个很小份额的
[00:06:12] 对你刚刚除以下的话其实就是整个市场份额的5%不到我们按销量计的话
[00:06:18] 这个当中中国更少像这个疫情之前的话一年有可能就十几万辆是这样的比较大排量的这个车而且这些大排量里面呢其实还分不同的这个种类其中最主要的是两种一是北美流行的以哈雷为代表那种巡航摩托车就是哈雷那种大车就是像个大垮车一样的对吧还有一种呢就是以像川崎啊本田亚马哈这些日本的厂商为代表当然也包括像杜卡迪啊这些品牌他们的这种运动型摩托车
[00:06:47] 就更像赛车那种的更像摩托GP那种感觉的也就是你可以从坐姿上面分别这两种车到底是属于哪种类型对一种是比较下沉的这个屁股蹲着一种就是你像趴在那个车上那种感觉明白了那像这个后面这种的其实就是张雪机车主攻的那个赛道你就看他那个车你一看就盖到了就那种车吧就是又大又高又快又小就很多人就可能骑上去都有点困难那种就要踮着脚的他们坐高这个还挺讲究的
[00:07:15] 所以一般人肯定是不会把它当做通勤的工具的主要就是一些喜欢摩托车的一些爱好者在玩车在购买它听上去已经快要脱离交通工具的范畴走入了一个非常小众的细分市场是大玩具是吧那为什么张雪鸡车要做这么小的一个领域呢首先肯定是他本人喜欢热爱他本来就喜欢赛车如果从客观的角度来看其实细分市场还是蛮有潜力的还是一个挺值得做的市场
[00:07:44] 三个点第一就是它的利润高你像一辆普通的我们说小排量的通勤用的摩托车一般就几千块钱一万块钱多一点大型的摩托车我们就以张雪机车为例第一辆的量产比较便宜的也要三万块钱其实比我想象中要便宜怎么办如果是进口的话同样级别的有可能就是大几万甚至十万像它这次夺冠的赛车它即将要销售了最低价是四万多然后它最高的版本
[00:08:11] 就是什么赛道版本的也要10万那如果是进口车像刚才讲的川崎啊等等的就十几万就很正常那这个价格的话你对于一个摩托车来说其实还是很高的而且这个价格的绝对值差背后呢其实就是利润率的这个差距
[00:08:26] 这个我们其实很难按照具体的来说什么小排量的车到底毛利率是多少大排量车毛利率是多少因为那种摩托车的公司它没有这么细分的毛利率但是我们可以大致有些参考比如说2025年中国整个摩托车行业的毛利率大概是20%以小排量为主的摩托车的行业的利润率是20%
[00:08:48] 那如果是那种比如说在大排量摩托车布局比较完整的公司像比如说春风动力其实这个行业里面现在也很领先的一个国内的公司它的这两年的毛利率就可以维持在30%左右它排量多一点的话它这个部分就多一点当然它因为还有一些四轮的业务所以我们不太好说
[00:09:05] 再举个例子比如像美国的哈雷它纯粹就是大排量的摩托车它的毛利率一直可以在40%以上所以说可以判断一下比如说做大排量摩托车小的领域虽然它的市场份额很少但是它的利润率是比较高的对第二个点就是它的用户增长还是比较快的如果你看这个比例的话在欧洲日本这些成熟的市场其实摩托车的爱好者的社群是非常成熟的这个机盘是非常稳定的在美国巡航当然也比较稳定
[00:09:34] 在中国其实这几年这个社群的发展也很快并且他机车骑士对吧骑手逐渐成为了生活方式的一类我相信你在一些社交平台上面也可以看得到前面我们不是提到说19年的时候就疫情之前每年这个大排量有可能就十几万的销量在中国现在可以达到大几十万就是这么几年的这个过程当中增长是非常迅猛的
[00:09:55] 但我们看到有的报告会预测说全球整个大排量的市场规模会从24年的大约280亿美元增长到30年的大概400亿美元总之就是一些喜欢玩车的人会去买的车感觉以后四轮燃油车是不是也会逐渐走向这个方向像跑车或者以驾控为主肯定是往这个方向去了第三个市场其实值得做的原因其实就是因为这是一个兴趣的市场它是个爱好品而且它是一个和产品的性能品质
[00:10:24] 紧密挂钩的一个兴趣品就大家玩这个车玩的就是像马力操控声浪就是这些东西而这些点呢其实是可以通过实打实的性能表现体现出来的就它没有那么强的
[00:10:36] 纯品牌的壁垒或者说这个行业的品牌壁垒主要就是因为它的技术好技术的优势累计形成的一个壁垒不是说新品牌完全没有机会但是就是这个做起来会比较难一点比如说类似一些电子产品发烧有那种审美比如说玩Hi-Fi的装机或者说摄影有类似的可以这么讲就是它是一个比较木强的爱好就是大家纯笔厉害只要你这个东西真的厉害就算你这个新品牌大家也认你
[00:11:05] 它是这样一个概念对于这些新品牌来说它就会有机会可以进入所以张雪来做这个事情也是有道理的那也正因为如此所以大排量的摩托车其实就会和赛车的运动紧密相关这个就要说到张雪机车这次参与的WSBK的赛事了这正好也是我们前面提到的问题之一就是这个比赛
[00:11:26] 它是一个什么很厉害的比赛吗它跟那个摩托GP到底谁比较厉害呢因为我们听摩托GP比较多嘛它类似于像摩托车里面的F1这个类比的一个核心就是说这两个比赛里面它驾驶那个赛车啊都是专门为这个赛事研发的专用的车它叫原型车但WSBK不是WSBK的这个赛车它必须是民用的量产车改装而来的
[00:11:53] 具体能改装哪些东西赛事的主办方也是有很明确的很严格的规定限制的具体什么规定你可以去看张雪在赛后接受的媒体采访它里面非常简单明亮的科普感觉又到了什么四驱兄弟这个故事不好意思插问一下就是WSBK这个是一个什么东西的缩写呢W就是WorldSBK就是Superbike
[00:12:20] 就是类似于什么VIP是very important person是这个感觉吗反正非常直白我第一次看到就觉得有点中二话说回来就是这个量产车的设定就让WSBK的这个比赛其实和摩托车的消费者关系非常近了就是我看这个车跑比赛我就可以买这个车对它实际上比赛形式是这样的就是说比如说这次夺冠它并不是说张雪基车夺冠而是说有个车队夺冠了但是车队用了张雪基车的车对当然也可以有所谓的厂商的车队
[00:12:49] 就是这个厂商我直接就办了一个车队就是红牛的那个逻辑对对对那像川崎亚马哈都会有厂商的车队他们里面都会讲到的不是说一个车队叫张水车队但是这个车是他赢了这是确实的那这个就像你说的对销售来说就紧密相关我们过去不都经常说F1它对汽车品牌来说有个赛事营销的作用吗就你在F1里边证明了自己的技术实力你的品牌就会获得认可而且F1上的技术也可以逐渐的转化成民用但说实话
[00:13:17] 在FU里面这个转化的或者是营销的链条还是比较漫长比较虚的是不是但在WSBK里面这个链条就非常直截了当你也不用什么技术转化了你本来就是民用车嘛大多数的这个技术就是这个原来的这个车上面有的赛场里面不是有一句话吗叫做Win on SundaySell on Monday就是你在周日比赛里面赢了礼拜一你就可以卖车这个就在WSBK里面真实存在的因为你看比赛的人也是车的消费者
[00:13:45] 这也是为什么像川崎啊本田啊亚马哈这些大品牌他们在这个赛事里边也是长盛的这个将军因为在这个市场上面这些品牌就绝对的主力嘛就你卖的好也就说明在这个赛事里面会搞得好这东西就是紧密相关而且你像张雪记这次夺冠就是在葡萄牙加拿大夺冠之后呢其实又证明了这一点夺过完冠之后他的直播间就涌入了很多人很多人都去询问他这款就是最新的这个车
[00:14:09] 这个车其实就是在2026年3月份上市的所以这个参赛节奏其实跟产品发布也是紧密相关的我觉得就是一campaign的一个部分你可以这么认为那到这里小结一下张雪鸡车所处的其实是整个摩托车市场里面非常细分的一个小众市场它主打的就是兴趣消费类的这种大排量运动型摩托车这个市场虽然很小但是它的利润率很高客群也很稳定甚至说在中国还在增长阶段
[00:14:37] 新品牌也能够凭借参加赛事然后展现自己的技术实力然后一举成名这个坐标系的小结我觉得还是很重要的因为有了这个概念之后我们再来看张雪的创业经历就会发现她的性格和她最后选的这个创业的赛道是高度吻合的这也是她成功的一个基本条件
[00:14:58] 那有了这个行业的坐标和背景之后呢接下来我们就从商业的角度来回顾一下张雪的这个创业历程啊我们自己总结了三句话来总结他张雪这个人第一句叫做他是一个狂热的摩托车爱好者第二句他是一个自觉成才的技术专家第三句他是一个擅长管理和营销的创业者嗯那要么先从这个狂热的摩托车爱好者说起吧嗯这个我觉得是大家现在最直观就能够感受到的啊
[00:15:26] 这从他20多年前在湖南卫视晚间节目上的表现就能够充分的感受得到我相信有很多朋友有可能看过这个视频了但如果没有看过的话我们在深度节目也会放上这段节目的视频还有当时采访他的记者的一个回忆的视频虽然这个画面和制作都比较粗糙但是那个节目的生命力确实很感人的其实20年以后2025年他还接受过自媒体人陈浅的采访
[00:15:51] 如果把这两个视频做对比的话可以发现他的眼神语气居然没有什么变化这个事情是
[00:16:21] 完全能够感受得到那么20年前他上了湖南卫视那个节目他的目的就是为了进车队那年他19岁确实实现了这个目标他后来进入了一个摩托车的车队还成为了一名特技的车手加一个技师而且还拿到过一个叫什么全国城市什么登梯赛就是骑着摩托车上楼梯这种比赛的一个亚军但是到了2011年的那个时候24岁的张雪就觉得可能自己有没有办法成为一个真正顶尖的摩托车手了
[00:16:48] 因为当时不论是训练还是赛车还是国内的整个比赛的环境还有他个人的资质其实都实在不支撑你能够把赛车这么一个极度依靠天赋和投入的这样一个爱好能够坚持下去了后来张雪就到摩托车厂里面去赚钱去了一开始她是在一家叫做浙江阿波罗的摩托车厂里面工作做项目经理在那里面她就有了完整的摩托车研发的经验
[00:17:13] 我还查了一下这家公司现在还在主要就是做一些像什么青少年比赛的越野车那种很比较细分的就是玩比赛的那种摩托车到了2013年张雪就资深去重庆创业了之后十多年她的创业经历基本上都在重庆2017年她和合伙人创办了凯悦机车7年之后是年销3万台到了2024年在裸辞创办张雪机车这里我想先插问一个问题就是为什么在重庆搞这些事情呢
[00:17:41] 我觉得你提这个问题的时候应该多少会有点意识我们大家都有点概念重庆有很多的摩托车品牌对不对比如重庆立帆对这个是最著名的实际上重庆就是毫无争议的中国摩托车之都每年的摩博会摩托车博览会都是在重庆办的所以说因为这个城市高低差比较显著所以适合搞摩托车确实更加刚续一点你说这个也有一定道理我觉得这个背景需要稍微展开讲一下的
[00:18:09] 重庆的这个摩托车产业追溯的话可以追溯到洋务运动时期那时候有个江南制造总局在重庆的就是现在很著名的嘉陵机器厂的一个前身1949年之后就是嘉陵机器厂49年之后不是中国有段时间大搞三线建设吗很多的尤其是军工企业都迁到了内地迁到了重庆这些军工的力量之后经历了一个军转民的这样一个过程就成为了重庆摩托车行业发展的土壤
[00:18:38] 到了1979年其中一个代表的公司就是我们前面提到的嘉陵机器厂它就造出了中国第一台的民用摩托车两年之后呢这个嘉陵机器厂就引入了本田啊亚马哈的技术把民用的摩托车变成了一个大规模的产业听上去有点像那个桑塔纳故事摩托车版有一点这个感觉到了1990年代呢重庆就出现了很多民营的摩托车品牌这就是整个行业爆发的一个开始代表企业呢像立方
[00:19:08] 龙兴 宗生还有加上原来的这个国有的这个嘉陵等等的整个重庆的这个摩托邦啊摩邦就迅速的崛起了
[00:19:17] 我们举一个最有代表性的数字到了2008年其实中国摩托车的一个销量的一个巅峰那一年是卖了2750万辆的摩托车这个当中重庆就占了一半以上六成2750万辆听上去是一个很大的数字比汽车卖的多是吗对那个时代还是比汽车卖的多但这里面有个非常重要的转折也是一个我们前面没有提到的这个市场背景的一个因素就是中国实际上是对摩托车最不友好的市场之一
[00:19:45] 从21世纪初呢中国的大城市就陆陆续续开始禁卧就是禁止开摩托车或者是限制开摩托车这就使得摩托车它作为一个交通工具的属性基本上是被压制住了
[00:19:57] 而当时国产的摩托车其实主要走的都是低价的交通工具通勤的路线所以对于中国的摩托车厂来说其实21世纪的前十几年前20年甚至经历过一个很痛苦的转型的过程静摩好像确实是21世纪出一个比较重要的话题当时是有什么具体的背景现在回顾看来有几个不同因素的考量就是从城市的治理者的角度第一个就是治安
[00:20:25] 因为摩托车确实比较方便灵活是吧那所以驾驶摩托车抢劫的犯罪一度是很高发的禁摩就是一个简单直接的一个管控的手段我有印象就是那个时候像广州吧好像说是非车党看守党对恶性事件很多其实现在在欧洲也是类似的一个状况回过头来看那其实是整个中国这个治安问题比较高发一个时段就是摩托车只是其中一个点是第二个点呢就是污染
[00:20:53] 你过去呢中国的摩托车确实它这个排放的标准比较低包括噪声的标准也比较低所以呢这个尾气污染也很严重噪声污染也很严重第三个呢就是道路的安全和秩序就有的城市呢会觉得摩托车它缺乏防护嘛对吧你这些车上然后穿来穿去的很不安全很容易造成事故再加上我们前面讲的污染的这个原因就大家整个对摩托车的观感就很不好我觉得这些所谓的观感层面的意见呢现在还是
[00:21:20] 普遍存在的只不过现在我觉得好像对于电机有类似的观感是就其实除了刚才讲的一些因素里面还有一个很难证明的一个潜在动机就是限制摩托车可以进而扶持汽车因为汽车肯定是一个更大的产业然后也是更加支柱的一个产业如果不让大家买摩托车了自然而然就转向汽车了但是实际上大家
[00:21:42] 看到就是所谓的静摩并不一定导致了后来中国汽车的崛起反而有可能导致了中国两轮电动车的崛起是啊我觉得这个问题你出的非常好我们后面还会再讨论这里还是先拉回来说回这个就是静摩影响之下重庆的这个摩托车产业因为国内的刚需没有了那么他们就要找出路嘛
[00:22:02] 一开始一条主轮的出路其实就是去海外就你原来国内的钢区你卖到东南亚去做钢区一度中国的车因为很便宜确实在那边是有优势的尤其像在越南这种市场它是占据市场的大头的但是因为品质等等的原因其实也遭遇了很多的挫折那相应的在这个阶段我们也看到很多曾经风吞口吞的大企业其实是兼并破产重整甚至倒闭都有的
[00:22:27] 那还有一条路呢就是转做四轮的汽车就像立帆那样当然最后也不太成功啊所以说就是经历了一个所谓的高峰然后到低谷的过程那其实张雪去重庆创业的时候其实整个行业在下坡路的一个阶段是吧是的但即便是这样其实这里的产业基础还是在的供应链也还是非常完整人才也非常的充分
[00:22:50] 现在我们说在深圳对吧在黄墙北什么样的电子产品都能够做得出来那么在重庆什么样的摩托车都能做得出来所以你看张雪到重庆一开始创业她做的是什么呢其实是自己去买零部件然后根据自己的这个产品的设计装一个摩托车然后呢在论坛上面发贴然后卖给爱好者
[00:23:10] 就这样一个模式这不就是装机literally装机而且你想想还在论坛上销售的寄手DM我觉得这个点很重要我们后面也会提到
[00:23:20] 但还是说回重庆啊就经历了很多年的低谷啊重整等等那留下来的企业呢其实逐渐就找到了另外一条转型的路线就是技术升级或者说是这个产品升级去做高端去做大排量的车就是低端的刚虚美的但是爱好者的这个高端的需求还是存在的对的比如说我们可以举两个代表的企业啊一个是龙兴它前几年开始推出一个叫无极的品牌其实做大排量也做得很好包括初海也做了
[00:23:48] 像张雪她在采访当中也是对无极非常的认可的另外一个公司呢就是春风动力它其实不算是重庆的公司在浙江它也开始在这几年广泛的铺250cc以上的这个大排量的这个车型而且增长都很快并且这些公司都是把赛事营销作为一个或者是参加比赛作为一个很重要的发展方向的
[00:24:08] 比如说这里边的代表是春风动力他很早就已经深度的参与了一些摩托GP的一些低级别的比赛而且还拿过一些比较重要的组别的冠军他自己还搞过一些车手的培养的计划等等他在赛事这个方面是做的非常深耕的他的目标其实也就是想要去参加摩托GP的最终所以这个也是非常厉害的公司我觉得整个背景还是蛮重要的就等于重庆的产业基础是张雪这个人能够白手起家做自己品牌一个基础
[00:24:35] 但是如果他在1990年代创业的话可能就是一个时间上有一个错配因为那个时候高价的大排量车的市场还没有那么大等到市场从低谷当中开始走出来去找出路的时候大家会发现说大排量是有需求的而这个需求正好跟张雪自己的热爱是能匹配上的就还是那句话历史的形成个人的奋斗张雪在这样的背景下能够闯出来的她本人的能力肯定也是非常重要的
[00:25:02] 这个呢就要说到我们前面总结的张雪的三句话里面的第二句和第三句了就是技术专家和懂经营的创业者那我们先讲一下技术专家吧这个点上面我觉得张雪真的和我们此前讲过的就是本田公司的这个创始人本田宗一郎很像就两个人都是从小就擅长机器维修就手非常的巧
[00:25:27] 虽然张雪她自己很谦虚她说这个东西就是有手都能做都能学瞎说但是我们就不行这个东西有天赋而且不单单是说你这个心灵手巧的天赋还有就是你努力钻研本身为之投入很多的精力这件事情本身也是个天赋你像张雪不是表演过那种蒙眼修车吗非常熟练这个绝对就是很强的自驱力的一个结果你看就是那种真的很热爱迷在这个事情里面钻得很深的那种人对的
[00:25:56] 而且很难得的就是他这个童子贡啊一直不丢张雪机车有一个非常重要的售后的平台就是他抖音的直播间
[00:26:04] 张雪在这上面会自己划分一个专门的时间段就是只接受用户的投诉那上面有的时候车主就会发一些车的故障的视频出来然后张雪就把手机拿过来看这个视频就能够脱口而出这个车出了什么问题上次看这种内容好像是什么笔记本维修师笔记本维修师绿波电龙另外我觉得这个技术专家还有一个非常重要的层面就是张雪不是一个关在实验室里边只盯着参数的一个工程师
[00:26:32] 他是一个有用户感知的产品经理型的技术专家所以他的这个对技术的了解最终都是指向用户的需求的我觉得这个点其实有的时候容易被忽视
[00:26:43] 我想一下举个例子吧有一部我很喜欢的赛车电影就是Rush急速风流其中的主角之一呢就是历史上著名的F1车手Nicky Lauda尼基劳达那Lauda呢他在电影当中有一段台词就是说我的脑袋还凑合头脑还凑合但是呢老天给了我一个好屁股什么意思呢就是他能够感知到车里面发生的一切细微的变化所谓的这个反馈张学也是一样的因为他当过车手专研车技的岁月也很长
[00:27:12] 所以它对于摩托车的驾驶者的真实的需求十分的清晰这就使得它能够在技术参数和产品需求上面建立一个桥梁就能把这个东西连在一起并且做出正确的判断感觉产品经理这个点还是蛮重要的如果按你说的这个产品本身是一个兴趣导向的产品那么用户开的爽其实是最重要的那什么叫爽爽怎么用技术参数表达出来我觉得这个是张学友认知而且能够做决策的点
[00:27:41] 那从这个点就比较顺能够讲到张雪对于所谓自主研发的这个坚持这也是最近这几天经常被讨论的一个话题嘛张雪机车这次参加WSPK的那个新的车型叫82022嘛这款车用的就是他们公司自主研发的一个三缸的发动机
[00:27:57] 三缸的发动机在摩托车里边优点就是它既能够实现接近四缸的那种大排量发动机的动力同时又能够更轻轻量化而轻量化在大排量的赛车里边其实就非常的重要因为它和加速的性能操控都紧密相关因为你这个车如果轻一点点的话其实你就能够跑得更快但是三缸有一个很大的缺点就是它的震动很大就是传说中你们F1最近在笑的那个把老板儿子送上电椅的那个故事是是是
[00:28:26] 这个在汽车里面三缸就是个很麻烦的一个事情就有很多做三缸的这个汽车的品牌都是吃过大亏的你要做出一个好的三缸你就要大量的研发的一些很细节的优化调试调教最终来解决这个问题那这个研发投入就会比一般的四缸的发动机还要多那这个研发的决策呢其实张雪在之前他创办的公司凯悦汽车里边就做了这个决策
[00:28:51] 但也就是因为这个决策他和凯悦机车的其他的合伙人分道扬镳了我们结合了一下张学自己接受采访还有凯悦现任董事长接受采访的时候各自的说法我们取当中有共识的部分就是当时张学想要把已经赚到的钱重金投入到发动机研发当中但是其他的创始人认为现阶段应该做的研发还是基于已有的畅销的产品来做继续的延展稳固基本盘在这个分歧之下
[00:29:19] 两边就败了就等于一个是想守成的一个是想进攻的这个分歧是还蛮明确的所以说张雪才从自己一手创办这个凯域机车辞职去做张雪机车就是因为他想做这个三缸是吗我觉得这个可能就是张雪在创业过程当中和本田宗一郎不太一样的地方就他这个合伙人这个层面遇到过挫折我们在讲本田那一期里面其实讲到过本田宗一郎有个非常好的搭档叫腾泽
[00:29:44] 专门就是负责经营层面的事情就是一个管产品一个管钱而且两个人是互相配合了搭档了几十年非常的同频而且也能够互相理解和扶持两人的搭档才最终造就了本田
[00:29:58] 张雪呢其实到了张雪机车的这个阶段她其实就是一人掌控这个控股权了然后也是公司里面一个人说了最算了她就是完全的贯彻自己的意志和理念我就讲到这里大家可能会有个感觉就是张雪是那种典型的技术疯子就为了追求自己心目当中正确的技术和产品方向去不计代价但这个有可能是这段时间对于张雪的描述当中比较容易出偏差的一步实际上从我们能够看到的材料来看张雪
[00:30:26] 其实是一个很理智的创业者他很清楚自己应该搭建一个什么样的组织来适应自己这么一个市场的需求
[00:30:52] 而且这个能力呢是张雪在web1.0的这个论坛时代就建立起来的他那个时候不是在论坛上卖自己的组装车吗为什么能卖得出去呢是因为他那个时候就是论坛里面的KOL就是意见领袖网红后来包括他创办凯悦其实他在爱好者的圈子里面一直是声望很高的大家都冲他这个人呢是很多的
[00:31:12] 在张雪机车就更加不用说了对吧这公司名字就是他他就成功的把这种号召力转化成品牌的美誉度以至于张雪机车第一次上摩托车博览会的时候他都还没有新的产品大家就是在等他第一个产品的时候他这个展台就是最火热的一个展台
[00:31:28] 而且我觉得他个人就是对于营销的有些细节抓得也很好比如看过他直播切片里面最常见的就是用户给一个投诉然后张雪怒斥门店或者说怒斥工程师就是说给他们打引号的奖励1000元实际上就是罚1000元然后给用户免费维修双倍补偿等等的经常会出现还有什么投诉者赶紧说什么张总张总不是这样的不至于不至于我也不想罚什么的其实也是张雪对于这个行业里面就认识的比较深的一个点就是摩托车这个东西
[00:31:57] 售后一直做的不是很规范可能也跟这个市场比较小有关系这个肯定是消费者的痛点他其实是在用自己的名望或者说服务的策略来解决这个问题包括他们自己有些摩友群搞得实际上是非常的不错的我们稍微了解了一下就跟别的品牌来比这是很大的一个优势另外要强调的话就是社群这个东西真的是不容小觑我们说一个点就是张雪机车现在一个主要的投资机构是浙江的一个国资背景的一个投资机构
[00:32:26] 他们之所以会知道张雪机车这个重建的项目就是因为他们机构里面有一个投资经理是摩托车的发烧友本来就知道张雪很有可能也是张雪的粉丝给他们介绍了这个项目
[00:32:37] 这是他第一个懂经营的点就是懂营销第二个点呢我觉得他是懂管理根据张雪机车的这个投资机构的这篇文章里面来看呢就是他在草创初期的时候就非常注重招人然后有一套非常简单明了但行之有效的这个管理的方式高薪末位淘汰然后很强的研发的愿景通过这一套方式呢能够很快的筛选出跟他志同道合的人就这个规模部分很大但这些人跟他心会比较齐
[00:33:04] 比如说什么他涨工资都是半年的时候先普涨一次到年末的时候再根据你的表现绩效再就是大幅的就个别人长得很厉害啊等等的就很有效很适合工程师的团队嗯就不要整一些虚的东西就拿结果说话嘛而且我有个细节就是注意到就是说那篇文章里面提到说张雪机车他的技术图纸的管理非常的规范和专业就跟这个人
[00:33:28] 本身在直播间里面表现出来那个感觉很不一样就其实说明他在公司里面是很懂所谓的专业的手法的是的
[00:33:36] 第三个点的话就是张雪是很懂产业链的她也很有这个钱的这个概念首先她确实现在投入研发这个比例很大如果你根据她这个自己公布的营收和研发投入相比的话大概是10%以上的这个研发投入很强的一个强度了但这件事情呢其实不是单纯因为自己想要研发想要做个新的技术对吧她是看得出来说研发发动机这件事情在这个细分的市场里面是一个建立品牌的基础
[00:34:04] 如果没有发动机的话用户最终会看不上你这个车就会觉得你不是一个真正的品牌
[00:34:09] 另外他也很清楚自己做这个市场去抢海外大牌的生意归根结底是需要价格优势的所以张雪现在每个月有数千台的销量其实核心的一个优势就是我跟国外的大牌十几万的车差不多的性能但是你价格便宜一半甚至更多你就跟国产性能源那些所谓的高端性价比是一回事对吧这样的一个理念之下他其实会非常精明的来规划自己的资金的投入有目的的去做研发
[00:34:36] 我有一个印象比较深的一个细节就是张雪会说要开发这个车就需要和供应商一起来研发这个精度要求更高的一些零部件新的零部件那供应商就不愿意尝鲜不愿意去做这种新的投入和尝试张雪就会提出一个条件就是说我承担一些前期研发的费用比如说开模具等等的一些工程师的一些费用那供应商怎么样都能赚到一些那如果研发出来了之后这个产品你能够供给我你能够赚钱然后你也可以提升自己的技术实力卖给别人
[00:35:04] 那就是一个对供应商来说降低风险但是利益又能够共享的一个模式听上去跟我们上个礼拜讲Mucina的时候也还蛮像的有点像这个就是一个很典型的行业新进入者会做的一个做法就是去建立一个比较同频的供应商的伙伴体系这其实在未来等等一些新能源品牌车上面也经常能看到类似的做法是的张雪她自己会说就是自己有一个实现梦想的一个逻辑就是她跟年轻人计语的时候她就说
[00:35:30] 你活的时候你应该先要去实现自己的梦想如果发现实在实现不了你先去赚钱然后赚够了钱了之后你再去实现梦想他其实这个思路是非常清晰的他知道自己的界限在哪里包括我们看到投资机构的文章里面也会说到他调研了一些张雪的供应商都提到一个点就是这家公司张雪机车它不过分的压价
[00:35:50] 不会就是把供应商的这个贡献价格压得很厉害也不会让供应商去裁一些工程师是这样吗对所以说他是一个对于整个生态非常熟悉知道怎么让大家都能够获利的这样一个创业者
