Vol.72 蔚来坚持的换电，到底是不是个问题？
[00:06:00] 随着它时间的推移还不断的缩小了二手车的价格还很受这个油箱大小的影响这肯定是不行的这其实也是你前面提到所谓惯例的那个部分以前大家习惯去买二手车可能就在新的所谓新能源车的市场里面可能二手车这个事情本身也是个挑战没错当然电池还有很多别的一些障碍或者挑战要解决比如它的安全问题还有这个整个电池包的价格以及电池后续的回收等等的
[00:06:27] 但这些都是随着技术的发展还有产业的成熟能够逐渐解决的在现阶段而上面讲的两个短板是现有的电池基础之上我们再强调一遍现有的电池基础之上是难以解决的而且是很影响消费者使用体验的这两个短板所以所有的电动车公司它都会通过其他的一些途径尽量的去弥补这两个短板尤其是第一个就是充电速度过慢的问题
[00:06:52] 如果说的话呢大致有两个思路第一个呢就是研发出新一代的电池用新的技术大幅的提高这个电池的性能包括它这个充电速度啊使用寿命等等的就是原来是普通充电线变成快充了一劳永逸把这个事情搞定了对这个事情呢确实所有的主要的玩家都在做但是大家都知道这个新的电池技术是需要时间的有的乐观估计是2025年有的保守的有可能是2030年总之还要一段时间
[00:07:21] 那你想想看我们把时间先拉回到2015年这个时间或者更早的2010年那个时候当时刚刚开始研发电动车的这些公司们肯定等不了那么长时间他们要想别的办法确实等不了15年我觉得可能5年都等不起这些公司对而且这个逻辑也不是说你等了15年它就这个电池技术它就自动长好了对吧这是一个产业是一个互相协同发展的关系如果你都不去搞电动车的话那就大家不会投入资源去研发信贷电池了那有可能到了不知道2050年都没有这个技术
[00:07:49] 所以另一个思路是什么那另一个思路呢就是用一些基础设施来解决其实呢最简单的办法也是一个最现成的可以解决大部分问题的办法就是你这个车主有一个自己的产权车位然后上面安装了一个充电桩然后呢你主要在城市或者是日常行车范围在半径个200公里左右的话那你基本上就可以解决这个问题了因为可以回家的时候来那个充电嘛就不用去担心这个时间长的问题
[00:08:15] 产权社会感觉深圳一开始就被逐出了这个赛场对所以其实你想想看为什么特斯拉一开始在美国尤其是加利福尼亚能够非常的盛行也是因为那边的用户大多都能够有这个条件所以说他们就不太存在充电的焦虑问题但是中国的大多数车主尤其是城市的车主是没有这个条件的那么有一些创业者会想到我用换电这个办法
[00:08:39] 所谓的换电就是把整个电池包旧的你已经没有电的电池包换下来然后换上一个新的上去这个就有点像功能机时代的手机电池它都是可以取下来然后放在一个充电器上面充电的所以经常有很多朋友都会被一两块电池轮换来使用汽车的换电也是这样一个逻辑功能机时代的用户体验再往下讲就要讲到什么万能充之类非常暴露年龄是有点我还用过那种万能充它会
[00:09:06] bling bling的闪那种非常吓人的光说回这个换电的思路它这个做法其实最大的好处就是快因为你拆下然后装上是一个很快的过程电池包你别看它那么大它其实也是一块立方体它主要是用螺线或者说是搭扣固定在这个汽车的底盘上的它不是焊死的那个概念所以它在理论上是可以快速拆卸安装的那这样的话就能把这个电动车补充能源的这个时间一下子缩短到几分钟
[00:09:34] 那就和加油是一个概念了所以相当于这个方案还是基本上能解决第一个短板的就是比较慢的这个问题还是能解决的对吧对这个就是今天我们主要会讨论的话题现在的话大家有可能会觉得在电动车整个市场里面大家主要还是用充电桩换电还是一个比较小众的事情但是在另一条时间线上面它有可能成为一个电动车的主流方案
[00:09:57] 因为在2007年非常早的一个时候以色列的一个创业者叫阿加西他就创办了一家名叫Better Place的公司他就想要推广这个换电站的这个模式我好像也听说过阿加西这个人他当时的名气其实不比马斯克小的大概30岁出头就把自己的创业公司卖给了软件巨头SAP然后就赚了很多很多钱就跟当时马斯克把PayPal卖的也差不多了
[00:10:23] 对就这两人的早期创业经历确实有不少相似之处就像他们把这个公司卖掉之后功成名就了嘛阿加西也没有别的想法了他就想着我如何拿这些钱来改变世界Better PlaceYes然后他就发现了电动车这个行业他就在完全不懂汽车的情况下呢做了Better Place这个公司当时他有个口号非常吓人啊叫做End Oil就是终结石油
[00:10:46] 其实我这两天还看了一下数据因为全球经济这两年复苏所以整个石油的消耗量还是在上升的所以汽车行业的人最好不要觉得全世界只有你们在用石油还有石油化工领域Better Place这家公司当时还有另一个非常吓人的口号就是要做电动车时代的AT&TAT&T就是一个美国最大的电信公司之一就相当于美国的中国移动
[00:11:12] 他的意思就是说我不造车但是要做电动车行业的基础设施所以他就想要来做换电站这件事情其实就是希望车厂们都来做电动车然后这个电动车呢都能在他的换电站里面更换电池我就赚这个换电池当中的这个服务的收入这是什么AT&T不就是加油站吗没错但是加油站想想看真的是个非常大的生意对吗所以Battleplace最厉害的时候他单笔的融资就达到3.5亿美元他整个这个公司的融资额是
[00:11:41] 接近10亿美元的就妥妥的一个独角兽但是这家公司2007年成立到了2013年就是创业6年后它就宣布破产了这个楼起楼它都非常快所以是为什么呢最主要的原因就是它这个美好的设想完全行不通因为你换电站要做到像加油站那样那么普及的话你就要量大嘛对吧不然的话你怎么能叫做基础设施呢那这就意味着要有足够的电动车生产出来被使用然后呢要适配你这个充电站
[00:12:09] 这意味着什么呢就是说你不同品牌的这个电动车他们的电池包的尺寸啊接口啊等等技术的细节都要统一到你这个换电站的这个标准上面来因为你换电站里面这个电池做好都是一样的嘛你不能我一块换的很小的另一块换的是圆的另一个换的换成三角形的肯定不行但是呢因为你涉及到一些汽车研发当中非常核心的流程你这个尺寸接口啊等等的就和汽车底盘非常相关的所以这个汽车公司是非常不愿意和别人去互通你这样一个技术标准的
[00:12:38] 所以它这个合作就很难推进下去不要说电动车的电池你看当年手机的电池版多难统一规格就是接口就完全是不一样所以才会有万能充这样的东西没错所以当时Betplace是把市面上大大小小的做电动车的公司都找了个遍包括那个时候国内的比亚迪等等的但是大多数的公司都回绝了你所以真的是理想很美好现实很骨感
[00:13:02] Battleplace搞了半天它只找到了雷诺这一个大公司来一起合作来生产电动车但当时电动车的技术也不是很成熟所以他们合作生产的车型以及适配的换电站这两件事情都没有铺开等你融了那么多钱之后真的是打了个水漂都没有产生出什么社会的影响所以说所谓创业九死一生确实是这样子
[00:13:23] 好的想法和好的产品还要有好的天时地利对吧对的所以那个时候其实Better Place倒闭了很多人就会觉得换电这个模式是走不通的但是仅在一年之后另外一位中国的创业者呢就继续的想要把换电这个模式做下去他的想法就是既然跨品牌的换电站行不通那么我自己一个品牌来做只服务我自己的换电站这个问题不就解决了吗这个人就是未来的礼宾了没错
[00:13:52] 蔚蓝呢大家知道是2014年创办的那到了2015年呢他们就从电力行业请来了一位资深的专家沈飞博士来负责蔚蓝的整个能源的体系而这个工作当中最与众不同的一件事情就是要做换电站的整个系统我记得沈飞曾经讲过就是李斌第一次见到他的时候我就跟他说了换电这个事情他当时觉得这个事情很新颖很不错然后没有人尝试过所以就加入了想试试看
[00:14:18] 这个是一个典型的创业公司招人的模式用愿景或者说画饼来招人一开始真的是有点画饼的感觉为什么就是我记得他们说李斌最早的时候对于换店这个做法他很确定的但是具体怎么做他只有一个模糊的思路他还提过一个方案说在一个大城市比如北京的东南西北四个角
[00:14:39] 各建一个集中式的大型的换电站然后呢每隔几天你一个车主可以开过去把它换电也可以有员工帮你把车开到那边去换一次电池甚至以后自动驾驶之后这个车主都不用自己开了这个车自动过去换完电再开回你自己的停车位里这个虽然已经脱离了城市范围但是感觉还是非常的天真对所以确实他们后面也没有这么干吧他们最后还是选择了在城市里面分散布点以在高速公路上来布局的这等于是一个实际的一个做法
[00:15:07] 那换电这个体系有多么的新或者说是稚嫩还有一个地方可以体现出来就是他们的起步过程你想想看他们其实是要重新开发一个名叫换电站的一个硬件产品你要从功能定义开始来设计你都不知道它这个东西是长什么样子的而且这件事情还是和一个新车的开发是同步来进行的这个Literally是从零开始的真的是从零开始
[00:15:31] 这个零到什么程度啊就是等这个换电站已经研发好了生产好了开始要布局了他们还遇到了一个很大的阻碍就是你到了很多城市之后你都不知道是哪个监管机构来管你这个设施甚至监管机构也不知道把你怎么来归类你到底是个建筑物啊还是一个硬件啊然后消防安全等等方面大家怎么弄呢每个城市都不一样所以说如何与监管相处永远是创新的难题之一
[00:15:56] 没错不过虽然这个起步是非常的困难但是到现在为止蔚来确实是建立起了一个覆盖整个中国的一个换电体系到了2022年的时候它已经有了1011个换电站总计是完成了1000万次的换电而蔚来目前的整个车的保有量大约是一个20万辆虽然跟那些长期在中国更衣的那些汽车品牌来说还是一个比较小的数字
[00:16:23] 但是你可以看到至少这个系统整个是run起来了嘛对吧当然这里边要说明的就是未来的车主和大多数电动车车主还是一样的就是他们主要的这个加电方式现在以后都不说加油了就说加电了加电的这个方式呢除了换电以外还是包括一个比较传统的主流的方式就是家用的充电桩这个大概占据了整个未来车主24%的这个那个加电的这个需求然后换电的是解决了大概50%一半左右尤其是解决了长途竖行这个问题所以说
[00:16:53] 未来为什么会在高速公路沿线去布那些换电站这也是一个很重要的场景的对你在城市里面总会可以有一个办法来等你在出远门长途的时候你不可能在高速公路的服务区里面来等什么几个小时等它充电那是不行的所以换电会比较合适一些当然伴随着换电另外未来还有一个商业模式上很不一样的地方就是它的电池租赁模式或者说就是车电分离也就是说你买车的时候你可以只买车的部分但不买电池的部分
[00:17:22] 而这个电池呢转为你每个月去支付一笔固定的租金这样的形式所以这个所谓的车电分离不仅是物理上的车电分离把这个电池从车上面扒下来还是一个所有权上面的一个分离了没错这个模式呢按照未来的说法它会说有几个好处你们听听看有没有道理吧首先第一点就是说电池非常贵然后如果你使用了这个换电的业务之后呢你把你原来属于你的这个旧电池换下去换上来一块新的那岂不是属于我的这个资产给丢失了然后拿了一个别人的资产吗
[00:17:50] 对吧这个就很麻烦有很多的很复杂的问题其实第二点就是说它解决了我们最初讲到的电动车的第二个体验短板就是二手车的这个残值因为电池这个性能的衰减而大幅的这个贬值那你现在这个车我买卖的时候都不包括电池了那我卖掉的时候对吧我二手车卖掉的时候那个我也不用去买这个电池自然就不存在这个电池贬值的问题了第三点呢就是这么做实际上等于是你买车的首付降低了嘛
[00:18:18] 你像未来最近要交付的轿车ET5它有一个75度电池包的车型如果你整车把电池一起买下来是32万8如果你选择电池租赁的模式你就是付25万8就少了7万块钱但接下来的话你每个月就是要付电池的租金再加上保险一共是1060元如果你愿意的话你还可以每个月的单月的月份上面去租一个更高容量电池那你就多付点租金相对比较灵活一点我不知道悦老师你听下来觉得他这几个理由有没有道理
[00:18:46] 我仿佛在一个未来的店里面听员工在推销新车他们如果来讲的话这个话术会比我讲的好听多了对吧我觉得最后一个就是首付降低的话对一部分消费者来说肯定是好事情的但是因为你之后每个月付的租金还是要一直要付所以说这个事情是不是合算就见仁见智可能对于现金流比较敏感的人来说这个好像还好一点
[00:19:09] 但我觉得前面两个点一个是所谓产权更明晰了还有一个就是说贬值的问题都解决了这事情还OK的而且逻辑上来说如果你要换电其实最好就是配合一个所谓电池租赁的模式对就如果你有了换电这样一个功能一个服务但是你的电池产权又不分开的话其实很难操作下去所以说换电站这样一个模式和电池租赁这样一个产权上的手法应该是他们两个匹配必须要一起来做的
[00:19:38] 是未来原本是计划在第一款新车ES8上市的时候就开始使用这个换电的模式但是他又碰到了一个创新的困境就是在法规上面原来是没有这件事情的什么电池和车还分开了可以卖什么的没有这回事的所以这个事情在法规包括金融上面也搞了很长时间最终是到2021年他才终于把这个模式确定下来开始实施了但是就是这个电池租赁的这个业务比较创新的这个事情还引来了做空机构的注意
[00:20:07] 关于这个名叫灰熊的做空机构对于未来这个综合报告呢其实已经有非常多的分析了包括我们的同事江瑞杰他之前也写过一篇文章来解析这个事情来龙去脉大家可以去看一看那我们这部分内容其实主要就是来自于这篇文章的一些分析我们这边就尽量简单的科普一下吧对先还是科普一下做空我们还是suppose大家都不知道做空是什么做空其实是个蛮有意思的事情就是假设一个股票现在是100块钱
[00:20:34] 然后你预计它可能以后会跌到50块钱然后你想赚这个50和100中间的差价你可以有这样一种方法就是你先去借一个股票借来这个100块钱股票然后把这个股票按100块钱卖出去然后呢你在它跌到50块的时候再把它买回来然后再把它这个股票还给人家那你这个50和100中间的差价就赚到了这个其实就是做空的概念就是你可以通过股票跌来赚到钱对这个其实在中国市场还是蛮新奇的一个事情
[00:21:03] 中国市场理论上是不允许做空的但在美股嘛因为未来那个最早是在美股上市这个还是一个非常常见的手法对那么做空的一个前提条件是这个股票一定要跌对吧那所以说会有一些机构去专门去找这个公司跌的理由然后把这个理由写成一个报告这个所谓的做空报告嘛这个比如说机构通过调研发现这个公司有一个大家都没有注意到的bug然后呢他提前去借这个股票来做空它那就可以去赚钱
[00:21:29] 这个过程中这个报告本身要产生很大的影响力才可以的这个核心的问题就是灰熊到底做了未来一个什么bug呢是不是就前面说的换电这个部分对其实主要的核心的焦点是在这个电池租赁的这个模式上面那我们就要讲一下它这个模式到底是怎么运行的听起来其实非常简单就是我消费者买车的时候我只买这个车的部分不买这个电池的部分然后就付下租金但是当然有个问题就是我既然
[00:21:56] 消费者他是不拥有这块电池的产权的那么谁拥有这块电池的产权呢不是蔚来吗还真不是蔚来其实他选择和他的电池供应商就是宁德时代还有很多的外部投资者他们合资成立了一个公司名叫蔚能就是蔚来能源这个两个字蔚能这个公司呢是一个资产管理公司由蔚能这家公司呢来持有那些原本应该是车主来持有那些电池的
[00:22:22] 所以实际上如果消费者采用了这个电池租赁的模式来买了一辆蔚来车那么当蔚来卖给他这辆车的同时他还把这辆车上的电池的这个产权卖给了蔚能公司而消费者每个月付的这个租金呢其实也不是付给蔚来的而是付给这家蔚能的公司的所以为什么要这么绕呢这个蔚来自己持有电池不就好了吗那这个其实很大程度上就是财务的考虑了
[00:22:46] 你想想看如果蔚来直接持有这些电池的话那么他每卖一辆车的同时他就要少收好几万块钱对吧刚刚讲到7万块钱而这些钱呢要一个月一个月的收租金才收回来那他这个回本的时间就比较慢嘛如果你这个蔚来车以后越卖越多的话他就要积攒什么几十上百万块的电池然后一个月一个月收租金整个蔚来的这个资产就变得非常的重而如果你搞了这个资产惯例公司呢刚刚讲到的你可以第一时间就把这个电池的几万块收入
[00:23:13] 对吧能够赚到因为你把这个电池也卖给这个资产管理公司了嘛等于把一个很大的包袱甩掉了那在财报上呢既简单又好看了这个其实在一些大型工业设备的行业里面也比较常见就是有一个公司是轻资产有一个公司是重资产是搭配着组合的没错就是搞一些设备租赁啊什么的其实这个非常常见而对于像魏能这个公司呢他为什么要接这个包袱呢他虽然资产很重但是这些资产啊他是有一个明确稳定的收益的你每个月租金是固定的对吗
[00:23:40] 然后再加上电池的总数再加上时间其实你这个公司的收益率是像一个理财产品一样你是可以那个比较明确的预测到的所以像这样的一些资产管理公司他们还会发行一些资产正确化的产品来融资就是把我这些电池相当的这个租金收益啊作为一个资产去融资像魏南的话他最近也做了这样一件事情灰熊的话是不是就主要是针对这个合作关系有一些指摘
[00:24:06] 他对这个部分确实是有一些批评的比如他说未能不应该算作一个关联公司而是一个子公司那你未来这个东西就是左手倒右手啊等等的但这个批评呢其实还是整个做空报告里面我觉得不太重要的部分因为其实所谓的子公司关联公司这个都是有明确的判定标准的嘛而且像未能的话确实是有很多未来以外的一些投资者未来这样的股份也不是绝对多数的那会从这个做空报告里面最最重要的一个批评是什么呢就是说
[00:24:34] 按照未来的招股书的说明你这个未能这个资产管理公司所持有的电池数量应该是等同于未来销售的采用电池租赁的这个汽车的数量就是你卖掉一辆车然后我就卖掉你才能进入一块电池对这两个事情应该是同步来完成的那等于这两个数字应该是相等的但是根据未来的财报以及未能公布的这样一个信息的话这两个数字是对不上的就在2021年前三季度
[00:25:01] 蔚来一共有1.9万辆车卖掉的车是采用电池租赁模式的而同一时间呢蔚来一共是卖给了蔚能4万块电池哦这差了蛮多就是确实差了2.1万块对就等于多出了2.1万块电池那么这些电池呢为蔚来就等于增加了很多收入嘛那使得他的财报更加好看了所以辉煌的报告就是说你这是在利用这个方式来粉饰你的收入
[00:25:25] 而不是真心实际的搞什么换电体系所以你这个收入那个整个利润的情况是要大打折扣的那对于这个问题呢蔚来先是就发了一个这个CF的声明就说你这个不对但是呢接下来明确的回应他说接下来还会有但现在我们还没看到那至于如何来解释这个多传2.1万块电池呢因为这个涉及到健全市场的操作而且呢我们也没有一个明确的信息所以我们在这边是不恰一个轻易的判断的
[00:25:51] 只不过从公司分析的角度就是我不涉及这个政权市场上的操作我自己是有个判断就是说多招2.1万块电池这件事情整体来说不会影响未来整个的经营的趋势这个怎么说你自信从哪里来这个自信肯定不是针对这个股价这个问题这个我没有任何的态度只是说这件事情本身就首先我们要确定一件事情就是这个2.1万块电池它别是
[00:26:13] 假的对吧他比较是做假的一个收入他最好是要真实存在电视那我觉得只能这么说就大概率他应该不会是一个造假的一个行为为什么呢就首先未能他有那么多股东而且前面讲到的未来他也只是占一个非绝对多数的一个那个持股的比例所以说你别的股东
[00:26:33] 为什么要帮助你来造这个假呢他没有这个道理这就不好说了万一沆瀣一气呢你也可以说有这个可能性但是如果他要完全去造这个假的话我觉得这个风险很大那个造假的成本是非常高的另外的话就是我们前面讲到就是魏南的话他已经用这些电池的这个收益去发行了一个资产证券化的产品了那这样一个那个他的资产的话其实也是受到一定的监管的当然这个监管怎么样我不说啊那在这个基础上面的话第二点就是说2.1万块这个数字到底严不严重
[00:27:02] 在2021年前三季度那个节点来说的话这确实是很多的电池相比它卖出的所有的采用电池租赁模式的车都要多对吗但是我们前面讲到2021年蔚来是刚开始实行这样一个电池租赁模式开始使用的那到了2022年呢据我们了解其实在很多的城市啊采用这样的一个模式来买车的蔚来车主这个比例是很高的有的城市有可能超过五成七成都会有的那在这样一个情况下我们可以预估就是整个蔚能啊它会持有的这个电池的数量
[00:27:31] 我觉得我为什么不是很
[00:28:00] 在意这个事情呢就是因为我觉得未来到底采用什么模式啊或者说它这个东西是不是虚增了收入啊或者是虚增了利润其实根本不重要大家现在去看这几个新能源车公司还是在关注你每个月到底卖了多少车这还是最实打实的所以这个再回到换电的这个部分的话就是说接受车电分离的消费者比例是不是越来越高或者说是不是至少把它作为一个重要的使用场景
[00:28:25] 对我觉得老师讲到这个点非常重要就是归根结底你要判断他这个公司的经营状况的话还是要看他卖的出多少车而且这个电池租赁的模式其实在实际的销售的情况当中还是有一个很大的作用就是说来促销的因为它降低了整个你要付首付买车的金额的所以说它有这样一个促进消费的作用如果这个作用能够实现的话未来这辆车能够卖的很多的话它其实能够跑得通的
[00:28:51] 另外一个我们需要说明的一点就是我们看到有一小部分的报道他想要为未来来解释为什么多出了2.1万块电池这是好心的他就说这块多出来的电池是这个换电站里的储备电池他就把这个换电和这个电池租赁这个事情混在一起了那所谓的换电站里的储备电池是什么意思呢就是顾名思义你一个换电站里面你把旧电池换下来人家给你换上一块新的对吧
[00:29:13] 那你总得有几块备用的吧你不能只有一块新的电池对吗所有的报道里面就是说这个2.1万块就是指这个备用的电池但如果你仔细看一下未来财报包括招股书的话你就会发现这个未来自己的换电站里的电池啊是属于未来自己的资产不是未能这个部分的而且根据未来在7月份那个分享会上面我看到他们说的这个数字啊就是截止7月份未来全国的这个换电站里边就存的这个电池总共的数量还不到1万块其实和2.1万块是对不上的
[00:29:41] 所以说来说去这个2.1万块电池到底是怎么回事就是未来到现在其实还是没有一个明确的回应了没错就等于是这个数字对不上这个问题肯定是需要有一个明确的解释的大家要留着一个心眼但是同时的话大家听我们前面分析也可以发觉就是从整个未来这个换电再加上这个电池租赁整个模式的话我们可以看到它整个还是跑通的而这个多出来这个电池的数量到底对它产生多大影响呢大家可以有个自己的判断
[00:30:10] 前面肖老师借着这次灰熊的做空啊就是给大家理了一下跟未来换电紧密相关的一个所谓电池租赁的业务其实跳开所谓的财务争议我有一个比较直观的感受就是看似很简单车电分离这四个字其实真的要实现是非常非常复杂的所以当年那个所谓Better Place没有搞成其实也不是很意外嘛对你想想看那个电池这个产权这个问题你都要绕这么大圈成这个公司什么的很复杂
[00:30:36] 可想而知你要把整个换电站这些这个站点能够实际的运营落地下去也是很复杂的这个当中也蛮有意思的我可以讲两个例子第一个就是换电站的一个核心指标就是你换电的速度嘛你搞这个东西搞了半天你就是为了让这个消费者这个补能的速度能够提上去嘛但这个速度不是说你这个电池包卸下来装上去就过程就完成的你要算的是你把这个车开到停车场区域之后
[00:31:02] 开始计时然后你离开停车场然后这个时间结束这整个一段时间是不是和加油站的体验差不多对吧那这个当中会有很多事情消耗时间的你越老就别笑这个比如说你要把这个车精准的倒入工位最早的时候那个最初那个换电站他这个事情那个不能自动的做到所以是你要让你这个车主你要下车然后让换电站员工上车帮你倒车这个过程相看又慢体验又差比如大冬天大夏天的时候
[00:31:27] 车主下车下面在外面等很累的所以未来有的时候车主还要抱怨说你应该在旁边建个小亭子什么的非常麻烦还有一个更大的问题是排队就我们前面讲到备用电池的问题因为未来初代的换电站里面它就每个站里面只备用5块电池你想想看如果这个地方需求很大的话一会就用完了那你用完了之后就没有地方换电你这个电池备用电池也得充电所以经常会出现供不应求排队一小时换电5分钟这种情况
[00:31:52] 前面肖老师让我想到一些类似于什么F1的赛车开到维修点有十几个人冲上去围住这个车的那个感觉这是把它推的到处倒进去的吗是的这个感觉这很好笑这整个过程感觉就是确实是不太行对所以说其实这个东西是要有一个不断迭代的过程的你像蔚来呢前两年就研发了这个二代的换电站它有很大的改进就是这个车可以自动的倒入工位然后精准的定位然后它就自动的整个过程都是自动的嘛
[00:32:21] 这个时间就省下了很多了然后它每个站的电池数量也提升到13块这样排队的也可以缓解一些反正他们未来换电体系有一个最核心的换电总市场指标前两年的时候说是什么15分钟然后要降到13分钟12分钟就是一步步在往下降其实是一个一下看降的时间好像听上去很少但是是一个很困难的过程而且据说他们还搞了一个三代站应该会在今年年底明年年初的时候就会投入使用
[00:32:49] 这个就还真的变成一个所谓不断迭代的硬件产品了还迭代还挺好除了这个设备层面的这个迭代呢其实还有一个很重要的一个方面就是运营的规划你想想看这么多换电站我不在哪里啊然后那个车主要换电了我怎么来调配这个订单啊其实有很多很烦的事情所以他们未来还搞了一个换电体系背后的一个云单的后台的系统就是他们可以根据这个车辆这个车主在哪里买了车对吧然后在哪里主要的使用它
[00:33:17] 来选择一个比较合适的换电站的一个布局的点然后还可以提前的预估换电的需求啊等等的这些事情所谓大数据选址了真的是literally大数据的选址包括他还能实时的这个检测各个站点的需求啊等等的反正他们还搞了一个最近很时髦的数字孪生什么玩意儿就是这个换电站这个硬件然后就会对应这一个云上的一个就是这个数字的这个换电站的模型他
[00:33:43] 那边物理在干什么它这个这个数字的这个换电站模型也可以暂时干什么主要就是来监控这些换电站的运行不要出现bug啊这个不要出现故障这些情况抛开这个数字孪生这些东西啊就是大家对于换电这个背后到底意味着什么可能就已经有一个比较明确的概念那我还是有一个财务上的问题了就是说未来不是一开始讲说我只做一个服务自己品牌的换电站吗那么就是他们这个投入这么多这个商业上划得来吗
[00:34:11] 好问题啊就是我确实看到很多评论都会讨论说未来这套换电体系它划不划得来但这个当中大家经常会搞出一个方向就是来单独的把这个换电体系拿出来来算它的收支能不能平衡对吧但这个其实财务上面是不会这么来算分账的你要算的是一个总账在未来的财报上面你可以看到换电站的支出一个是会体现在每年的这个固定资产的折旧上面
[00:34:37] 另外它消耗的电费租金人工会算在运营的费用上面我看到一个新业证券的预估说是按照每个换电站250万元的前期投入来算的话加上上述的一些运营的费用每个站每年要花费的钱是66.25万元这个假设大家听一听就是因为它当中有很多估计的部分我觉得这个数字很有可能随着时间地区的变化会有很大的一个区别
