Vol.153 菜单经济学
[00:05:23] 那目前这个学派的扛顶人物是曼昆就是经济学教材那个曼昆就是跟萨米尔森可以分庭抗礼的那个男人这个男人呢除了写畅销的经济学教材以外呢他也为美国政府做过两年的经济顾问那除了曼昆还有前任的美联署主席伯南克和现任的美联署主席耶伦以及耶伦的丈夫诺贝尔经济学奖得主阿克洛夫他们都属于新凯恩斯主义学派那美国这两年大通胀耶伦他的这个一举一动也很受关注啊
[00:05:52] 而且他没想到这个学理背景非常的深厚关于阿克洛夫就是他和另外一个维诺奖得主就是罗伯特席勒写过一本经典的著作叫《动物精神》研究就是个体为什么会偏离理性人框架而且驱动整个经济向非预期方向演进的这本书也是后来行为经济学分支的一个重要成果但讲到这里就已经扯远了我们还是说回曼昆啊菜单成本这个概念呢就是曼昆本人发明的他有一篇引用量很高的经典论文这个题目就叫
[00:06:19] 微小的菜单成本和庞大的商业周期一个垄断的宏观经济学模型所以他到底是怎么想到菜单成本这个概念呢准确来说是他的老师Stanley Fisher和他一起想到的Fisher之前发现说企业有时候会在年金好的时候跟工人签一个高薪的长期合同那对于工人来说这肯定很好了因为年金不好的时候这个不就是纯福利吗但是对于企业来说呢这种长期合同在年金不好的时候这是一个纯负担
[00:06:46] 那无数个企业叠加起来整个社会就会出现经济损失Fisher就是从中推出一个概念叫粘性意思就是说这个微观层面难以灵活调整最后会造成宏观的影响感觉不像是美国人会想出来的概念这美国企业年纪不好的时候裁员可是蛮果断的反而我觉得比如说像在日本他们实行终身雇佣制的时候我觉得更接近这种模式有点这个意思
[00:07:09] 不过粘性这个概念还是有点说服力的那曼昆就在非社会的基础上面进一步想办法解释这个经济当中的粘性问题菜单成本就是他想到的另外一种说法他认为企业很难对每次市场上的变动都快速的反应因为每次调整的过程比如说重新分析定价印制菜单等等都会带来额外的成本那如果企业在单次调整当中的收益没有办法抵消掉这部分成本那就是不合算吧
[00:07:36] 企业就会更倾向于以亿代劳直到这个账能够算过来的时候一次性调整而企业以亿代劳这段时间体现在价格上就会出现一种粘性体现在整个市场上是暂时的失灵有一点滞后那种感觉是吧所以不是说企业没有注意到市场的变化也不是说它变懒了而是频繁的变动本身就会带来一些不易发掘的磨损所以本身不太合算这也是一个满妙的解释用菜单来说明这个问题
[00:08:02] 所以说菜单成本这个概念提出以后呢曼昆就是名声大噪他一下就把新凯恩斯主义的这个理论基础给立住了而且在当时的社会里面除了雇佣合同和餐厅的菜单确实也好像能找到一些其他的势力比如说一些长期保持不变的杂质价格以及不变的公共交通费用等等所以说菜单成本呢就变成了一个经典而且看起来很有说服力的经济学概念
[00:08:26] 现代经济学的八卦讲完了那么菜单成本这个看上去非常有解释力也很有画面感的这个概念在现实当中是不是真的能解释很多问题呢觉得能解释一点吧但是不多就因为比如说前面讲到的像长期不变的杂志价格这个例子说服力就没那么足因为我们本身就是做这行可能会比较清楚杂志的收益大致可以分成两块一块就是直接付费那这个部分其实主要是由长期订阅决定的
[00:08:54] 那一次性收一年甚至更长时间订阅费对于企业来说可能收入上面没有那么合算但是在现金流上是更合理的另外一部分收入是广告这个也是一般是长期合同和大额的预付嘛那在成本端的变动比如说彩编的人力支出啊纸价的变动弹性也没有那么大两相结合就说明了这个整个杂志的财务模型在单个周期里面比如说一年这个周期里面是一个相对刚性的状态
[00:09:20] 简单来说就是杂志它并不是靠单次的定价来决定你的收入和利润的所以也没有必要平凡的调价那像公共交通费用它的定价方式就更复杂了这往往是由政府补贴力度和民意共同决定的它都不能说是一个标准的市场化商品所以我觉得这个案例说服力也不足但是如果回到菜单这个具体的场景里面它有可能是有点说服力的还好在菜单本身它是有说服力的这里举一个例子不是什么小餐馆的是肯德基中国的
[00:09:48] 2014年肯德基因为出现了一些食品安全问题消费者对他的信任度一度是有所下降的当时为了挽救整个品牌形象公司做了一轮非常大的革新和营销活动其中就包括启用全新菜单一口气上了15个新品
[00:10:04] 我找到一篇当时肯德基的母公司百胜中国是CEO苏进士的专访他就提到说这轮菜单唤醒是一个让公司的产品研发采购运营团队集体抓狂的项目因为在这个新的菜单里面增加了六个需要烤箱的产品公司本来说计划说给所有门店都增加一些烤箱但是发现每个门店的情况都不一样还要顾及到操作方便所以研究下来发现这个加烤箱不现实就不买了
[00:10:32] 这个弄一个混考的考项这个操作流程想想就有点挠头
[00:11:00] 这个当中它虽然说很多是研发还有优化的成本还有培训的时间成本但是其实在财务的测算当中都是可以折算成钱的等于说这轮大的菜单的换新确实是存在我们所谓的菜单成本的不过这里有个问题菜单成本的产生原因主要是因为他们上了新品不得不换这个菜单在曼昆的模型里面最标准的菜单成本应该是同一个产品的单纯改价
[00:11:28] 对于大多数餐厅来说真的很少会为这种小规模的改动重新印一份菜单比如说涨价我就拿个贴纸直接写个新的价格上去不就好了实在不行我还可以直接这个菜我就不做了或者换一种标价方式也可以我觉得这个当中最典型的例子就是我们卖海鲜的时候看到的那个时令价反正你在餐厅里面从来看不到一个海鲜的时价对吧那时令价的核心就是因为本身的供给是不稳定的所以就采用口头报价或者说是灵活更改的方式
[00:11:57] 它就直接绕开了这个菜单的问题没有菜单另外还有一种方法就是说比如说成本上升的时候这个产品的价格可以保持不变但是它的分量和质量可以缩水这种现象在经济学中也有个说法叫缩水式通胀shrinkflation这个在餐饮业和食品行业也是非常常见的而且在内容屋缩水的时候呢产品的包装往往是保持不变的这个就很有迷惑性举个例子比如说伊拉罐可乐它早年的标准罐装量是355毫升
[00:12:25] 后来变成现在变成常见这种细长罐其实罐装量就变成330毫升了好狡猾的快乐水更狡猾是有名的瑞士三角巧克力它偷偷的少给你弄两个层这样吃起来就不快乐了其实更不快乐是有些公司会往膨化食品里加更多的空气这个方面有个经典的案例就是在2001年百事集团它在第一季度的财报里面自曝说我们当季实现了盈利它主要是靠一个减重计划达成的一个盈利
[00:12:54] 减重计划的核心就是减少每包乐事薯片和多利多姿玉米片的罐装量横划食品它本身就已经连空气一起卖了可以说是比较暴力的了现在还要往里面冲更多的空气还叫减重OK密度是降低了反正经济学家也做过相关的研究他们得出一个结论就是说消费者对于产品价格的敏感度大概是对于产品规格敏感度的四倍
[00:13:18] 所以说如果脑子里面没有这个价格的闲去每次都去算那个单价的话其实很容易被这个产品糊弄过去也是个非常经典的一个消费心理了还有一种方法就是想降低这个菜单调整带来的成本呢其实可以从一开始就把菜单设计的更好一点那这里的设计不是完全说是视觉设计而是产品和价格体系的设计那在餐饮业这是一个专门的细分领域叫菜单工程它指的就是说通过分析餐厅菜品的畅销程度和毛利额
[00:13:47] 以及整个门店的空间布局啊用餐时差啊淡忘记情况啊等等一大堆运营数据做出一个能够带来最大潜在收益的菜单组合举个例子啊就是畅销但是利润低的菜品就可以减少每道菜的分量来减少这个成本变相的提高收益对于不畅销但是利润高的菜品呢你可以通过改善
[00:14:09] 菜单的描述或者限时促销降价或者把它放在菜单的显眼处来提高销售额菜单上的显眼与否其实就是一个视觉设计的问题了像西餐菜单有时候是一些单纯的文字你如果想做一些强化的显示可以给它加个线框或者做点花纹这已经算比较简单的做法了像中式菜单可以加图或者做一些排版的调整
[00:14:33] 看到康奈尔大学有一个研究就说人们打开菜单的时候多数人先关注的地方是一本菜单的右上角之后呢他的目光会移到左上角然后是左下角最后才是四处浏览所以在菜单工程学当中会把畅销和高利润的菜品放在每一页菜单的右上方他不说的时候我有可能还不知道但他这么一说我反而就是不一定先从右上角开始了要是从左上角开始看啊
[00:14:59] 所以所谓的菜单成本在真实的商业社会当中其实是有大量的甚至是系统性的一些方法来规避的那至少在餐饮业和零售业其实大家这些套路已经是非常熟练了
[00:15:12] 如果说实令价还有短金缺两什么充空器这些都是商家降低菜单成本的一些土办法的话那么各种现代的技术手段就是直接把传统的菜单和价钱的这个模式给干掉了这一点可能是曼昆提出菜单成本这个概念的时候根本没有想到的一个问题比如说Wendys这次要启用的这个电子餐牌其实麦当劳在2018年就开始推动了
[00:15:35] 当时麦当劳就说这个数字菜牌可以根据季节时段天气销售趋势甚至是这个门店附近的交通情况来智能的推荐内容那到2019年麦当劳还收购过一家全渠道的数字营销公司那总体来说通过更智能更灵活的菜单设计和展示来提升销售数据这个在联手快餐领域呢已经是一个共识了
[00:15:56] 当时麦当劳在全美换新这个数字系统的时候投入也是很大的但如果是规模相对较小的一些连锁品牌其实这笔账还是算得过来的我们看到有的研究机构就说有30%的普通餐厅在使用数字餐盘的第一年就可以通过销售的增长把成本收回来了
[00:16:14] 麦多拉和Wendys所说的这种数字参排还是以纯展示为主的那如果是交互行为更多的技术比如说触屏点单机啊或者是iPad点单那在付款之前可以收集到的用户数据就更多了国内这方面比较领先其实是海底捞啊除了用户的自主行为以外呢服务员在服务的过程中呢也会自行录入比如说像用户的口味偏好或者他的年龄之类的画像数据那这对于后续有针对性的推销以及提升满意度都还是有价值的
[00:16:42] 之前我们聊到过鼎泰峰他的服务周到不过那个时候的模式还主要靠训练服务员人本身他有意识的去关注和记忆用户的一些信息那么现在这个数字化的时代了就让系统来记忆和学习这些内容了像数字餐牌这样的解决方案主要还是应用于餐饮业而在零售行业则是有另一项技术产品就是电子价签
[00:17:04] 我们在很早以前聊Kindle那期里面其实提到过一嘴目前的黑白的电子墨水瓶有一个很大的新应用场景就是用来做电子价钱我们查了一下最早的电子价钱是1993年在欧洲市场出现的目前在法国这样的欧洲国家它其实渗透率已经比较高了比如说我们在超市里面看到的我们在国内看到电子价钱有可能比较多的比较早的河马还是比较普遍的是吧后来像便利丰这样的一些新型的便利店
[00:17:32] 也把自己用电子价钱做一个怎么说自己新的一个招牌事实上超市来使用电子价钱确实是很有必要的因为超市一般管理的货品是很多的那里面既有那种保质期很短损耗可能非常大的生鲜商品也有那种可以放在货架上卖很长时间像什么拖鞋或者是一些小商品那加上还要考虑到进货的成本库存的规模连带销售的机会等等
[00:17:58] 所以说超市来做商品定价其实是一个复杂问题就是它要综合考虑进货销货和存货这三个方面那在以往传统的价钱模式之下除非是成本波动非常大的情况否则超市一般倾向于先设定一个相对高的初始价格然后通过优惠券或者临时促销这些方式来逐步降价然后来实现它整体利润的最大化那在超市等过那些打折生鲜商品的朋友可能都有经验就是它被选中打折的这些商品
[00:18:27] 员工会确认它确实已经临近保质期了而且往往是在当天结业前两三个小时或者是过了比如说下午几点开始有折扣了那这个找货确认然后重新贴价签这个过程甚至还有那种买一送一要奔一个那种交代这些都是要花很多人工的那这就是所谓的菜单成本的一部分那电子价签呢至少可以把变价的过程自动化然后节约一些时间吗
[00:18:51] 那前段时间我们很喜欢的一档节目Planet Money就在挪威做了一个相关的采访挪威其实是一个电子价钱使用比例非常高的市场当地有一家连锁超市就充分地利用了电子价钱变价快的这个优势来对热销商品做动态调价有一个典型的场景就是说挪威人在复活节假期基本上都会出门去滑雪
[00:19:13] 滑雪的大家都知道这个中间是不太能停的所以他们中午一般不会好好吃饭一般呢就是去买点什么能量棒啊或者是减餐之类的那这个时候超市一般客流量就很大为了抢到这个生意呢经常就会对他的减餐做一些降价促销他自己降价的同时呢还要盯着隔壁竞争对手的价格比如说别加变价了我就要继续降价那如果没有电子价钱这种小小的价格战基本上是没有办法实现的那期节目还是蛮有意思的一种手工的动态定价
[00:19:42] 说起来planet money最近还是做了蛮多跟餐厅相关的节目啊最近有一些还是做门店的那个餐桌的布局把一个不太受欢迎的餐桌变成了一个就是销售额更高的一个餐桌那些很有意思那说回这个电子价钱还有电子餐盘
[00:19:56] 原本我们以为美国对于这种高科技的小玩意儿已经见怪不怪了但他们好像真的没怎么见识过电子价钱然后看到人家从后台改完这个价格之后还马上冲到商场里面看着它什么时候会真的变那个数字很好笑其实价格变化已经是电子价钱一个基础功能了因为电子价钱的本质就是一块墨水瓶所以说可以展示什么内容有什么功能其实还是有很多拓展空间的
[00:20:22] 像2021年河马就宣布呢他们用上了自主研发的增强型电子价钱那针对部分的生鲜类的商品呢可以直接展示这个商品的新鲜度对于有些要重点促销的商品呢还可以用不同的颜色和设计方案来展示这不单是黑白的了那除了销售的前场呢电子价钱在仓内也有广泛应用比如说有一个捡货员他收到订单那他在找货的路径上相应的商品的电子价钱就会亮起来这个就能够提升他的捡货效率
[00:20:49] 顺便说一句就是电子价钱这个黑白的墨水瓶之所以能够普遍使用是因为它本身用电量是非常低的不然这个菜单的成本还是会有一些的就是有电费成本刚才岳老师举的这个库存的例子还是蛮有意思的相当于这个电子价钱直接把一些库存管理和效率提升的问题也给解决了我看河马自己的说法就是使用电子价钱之后河马一家门店平均每年节省超过5万元那全国河马门店每年可节省是超过1200万元
[00:21:18] 不过电子架线在推广过程中最大账还是初期的投入成本比纸还是贵很多因为它不是单纯的把架线从纸的改成电子的而是要部署一整套系统背后还有比如说基站云平台系统服务等等
[00:21:33] 那根据行业机构测算一个超市要把这个价钱全部换掉它大概要花小几十万吧虽然能够比较快的回本但是对于超市来说不一定有必要对初期的投入还是有点大的那所以有没有更加这个门槛比较低的一些方案呢就这个中国市场用的尤其多就是扫码点单和扫码查价那像餐厅的扫码点单其实就是相当于给你一个商家菜品数据库的入口那这个数据库又支持直接下单
[00:22:02] 如果商家想调价也就是直接在这个数据库里改一下就好就很方便嘛那扫码查价呢就是把原来商品的调性码升级成那种信息量更大的二维码因为调性码是一个全球通用的编码体系主要用来展示是商品的品类还有这个品牌持有人的信息它跟价格新鲜度这些信息是没有关系的所以像生鲜的商品一般来说都是同时要把条码和保质期印在这个包装上的
[00:22:27] 而如果把这个条形码改成品牌自主的二维码它实际上也是给你一个数据库的网址入口想展示哪些信息比如说价格商品介绍那就可以由品牌自己决定了不过我觉得如果不能一下子让消费者看到价格的话有可能也会改变一下他们的消费行为这个也可能也是一个菜单的隐形成本
[00:22:49] 那到这里呢我们已经基本上把菜单成本这个概念的理论分析以及它在真实的商业世界当中是否存在以及商家是如何规避或者改善这个问题这些话题我们都聊了一下还是挺有收获的至少知道了美国人还没怎么见过电子价钱反而很擅长缺金短粮那我觉得在数字化这个问题上呢中国近些年还是比较领先的就是有一些愿意大规模投入的企业算是有一个后发优势吧但是这些数字化带来的便利背后呢会隐藏一些问题
[00:23:18] 比如像Planet Manager这些节目里面为什么说这个超市能够在这个复活节需求比较旺盛的时候大搞价格战呢原因就是说他们对于竞争对手的产品价格也非常了解这个节目里面也分享就是怎么做到的就是这个公司和很多所谓的价格猎手有联系价格猎手是一种什么人呢他们就是每天在各个商店里面去晃悠然后记录商品信息和价格的人
[00:23:43] 这些人加在一起每天可以为这个超市提供15万条的价格监测信息如果超市就发现了有什么热销品别加降价了就马上可以就决策说我自己这个门店里面要不要降价所以虽然门店内部的动态调价可以通过电子加签这样的这个系统做一个相对自动化的操作但是你市场监控这个部分还是靠原力目前最可靠
[00:24:04] 这还是线下的零售商场所以靠人是很重要的如果是电商市场价格和很多信息是可以靠爬虫工具去抓取的所以反过来说大量的电商平台甚至是像大众点评这种比较O2O性质的平台对于像爬虫机器人限制都是很严的这是为了防止关键信息被抓取像网约车平台为什么可以相对简单的来实行动态调加呢也是因为它这个平台本身就掌握了几乎所有的信息资源以及核心的定价权
[00:24:32] 所以当市面上有很多个网约车平台的时候光自己动态调价就不够了还要考虑到对手的补贴策略和竞争的方式说回来高效的算法背后要靠人力支持这一点我觉得在便利丰这个案例里面是更明显的便利丰大家可能知道他之前会宣传自己是一家特别重视技术投入的公司比如说选品一般的便利店里面通常是通过店长的经验来做选品的比如711就是这样的
[00:24:56] 便利丰就说我要通过抓取当地消费者在相关电商平台上的消费数据在各个平台的点评数据在其他店铺的过往销售数据等等把这些数字都放进公式里面然后算一些收益排名然后再做选品反正是一个很fancy的一个数据驱动的一个便利店的方式我们前面讲到的电子价签它也是比较早引入的然后通过所谓的算法来动态调整商品的价格
[00:25:22] 这套技术其实刚出来的时候大家还是比较感兴趣的因为早期中国的便利店市场它的核心的叙事还是说引进一些比如说像日本这些比较成熟的市场的一些先进的经验但是没想到中国的数字化技术其实是怎么说能够挖掘便利店一些新的潜力大家觉得这个还蛮新的那个时候不过这两年便利丰自己出现了很多问题比如说它扩张的规模不够好或者说融资情况也不够好
[00:25:47] 后来是开放了加盟模式来回血但是很多加盟商就发现了自己并没有从便利丰这套已有的算法体系当中获益反而变成了算法的奴隶比如说这个调价的这个过程虽然不用自己做了但是比如说上货清洁处理半成品这些都变成了系统职业推送给员工你要处理的一条条流程而且限定时间里面必须完成还要拍照确认
[00:26:09] 原本你在便利店里做兼职你是会suppose要有一点摸鱼的时间的结果发现没有了现在全部被这些系统的指令填满了另外依靠算法的技术来管理线下的零售项目依然没有办法避免我们前面提到数据采集的问题便利丰的技术体系越精密用来支撑它的数据量也要越大这就使得便利丰在拓电和日常运营的过程当中要使用大量的外包资源来帮助它收集比如说像客流量和用户画像之类的数据
[00:26:38] 那这些信息有时候甚至是靠安装这种摄像头半偷拍的方式来获得的所以便利丰原本的愿望是全部的自动化来减少人可能造成的误差和这个收益的损耗但是为了维持这套自动化体系的运作又需要更多的人的介入用更多的数据信息去喂养它那此前有一个在便利丰工作过的员工在接受采访的时候说到今天为止日本新干线的时间管理权依然是由人掌控的而不是用IT系统掌控的
[00:27:05] 因为为了一家企业去打造一套这么复杂的系统可能是很贵的就是比人来做更贵那回到我们一开始讨论的所谓菜单成本以及价格粘性的问题它的核心理念也是认为人的非理性造成了各种偏差导致了原本理性或者自动化的系统失灵了但归根结底真的存在这种理想化的自动系统吗系统的背后依然是人或者说是非理性的偏差
[00:27:30] 这本身就是系统必须考虑到的一个荣誉
[00:27:59] 商业就是这样
