Vol.22 快递不是好生意，但顺丰还是家好公司
[00:04:39] 但我们觉得看一个公司还是要客观全面的来分析它的历史和现状所以说针对顺丰这个公司我们才会给出我们相应的一个判断就是说它所处的行业有可能不怎么好但它自己是一个好公司接下来的话我们就来具体说一说为什么我们有这样的一个判断大家也看看里面有没有道理或者有没有值得探讨和批评的地方
[00:05:01] 先还是说说快递这个行业吧快递这个行业其实是趁着改革开放和市场经济才起来的一个很有中国特色的行业因为中国早期的话商业整体都不太发达其实就相应的没有什么快递的需求比如说你要寄一封信或者送一个东西的话都不是那么急有中国邮政就可能是够了实际上现在EMS还是一个对于偏远地区来说非常重要而且非常友好的快递服务方
[00:05:28] 整个快递行业的起步其实要等到1990年代整个进出口贸易的起步才开始发展那具体到这个区域的话主要就是在珠三角了那珠三角当时的那个工厂啊还有做外贸的公司非常非常的多他们就有一个很大的需求就是要寄送很多的报关材料还有样品然后每一个包裹呢对他们来说都非常重要对吧可想而知都是生意上面很重要的一些材料那如果大家对顺丰的发家史有点了解的话
[00:05:54] 就知道这个公司最早就是做深圳到香港
[00:06:21] 当时的一个订单的话就会影响到公司可能一整年的排气所以说越快越好这是因为有这三个需求的话快递行业就开始发展起来了顺丰也是因为他擅长做好这三件事才能在这个行业里面做大当然随之而来的就是这个高的服务品质就会产生比较高的一个价格所以顺丰是在这个行业里面是一个高价高品质这样一个定位那作为用户来说我们经常有感觉就是顺丰这个快递很快服务很好但是价格贵
[00:06:48] 这个其实就是从原来的市场需求里面来的那么这样子的一种市场需求下对应到快递公司的形态上面来说就会把它变成一个很重的模式送一次快递其实本身是一个很简单的事情大家想想比如说自己送个东西是其实非常容易的事情但是如果把这个过程的次数乘个一亿次或者几亿次然后再把整个范围扩大到中国市场
[00:07:12] 整个中国市场来说的话就需要很强的管理能力
[00:07:40] 我们举一个京东物流的数字就是它在2020年才实现首次的正净利率是2.83%也就是说它之前好多年都是很亏的这个也是顺丰我们觉得比较厉害的一个地方我们前面提到顺丰是2017年借壳上市的它借壳上市是A股A股的要求就是说对盈利的要求非常高因为股民很多都想要分红嘛那么为了保证说这个公司在财报上面至少是盈利的
[00:08:06] 顺丰的话其实做了大量调整成本的方式最重要的一个方式就是说他把大量原来自营的业务外包出去了我们看一下顺丰去年的财报他去年的外包的人力和物力成本总共大概是800亿元800亿元大家想想是一个什么样的规模可能一个正常的快递公司的营运成本都不到800亿元这只是他外包的部分
[00:08:28] 但是在从自营到外包的转移的过程当中顺丰没有出现过很大的服务品质的下降至少我们感觉上面来说是这样的不像很多以加盟为主的一些快递公司比如说通达系的一些公司有可能它换了一个网点换了一个加盟商服务水平就有一段时间是很不稳定的这就体现出顺丰一个很强的管理能力现在我们再回过头说一下顺丰快的这一点快其实也是管理能力的体现
[00:08:57] 因为如果仅仅从物流网络的成熟度来说市面上你选择任何一家
[00:09:25] 他能把这个次日达这个别人只能做到局部的服务扩展到一个更大的市场范围里面甚至在某些区域能够做到季日达这个其实这要求你这个快递公司你这个堆资源做速度的能力能够要上升到一个更高的层次上面这个事情上其实别的快递公司现在很难比得上顺丰我们举一个例子就是说为了达到快的目标顺丰能做到什么程度2020年顺丰有11%的货物其实是用飞机来送的
[00:09:51] 而且顺丰的话如果大家知道的话它是中国第一个选择用飞机来送快递的公司
[00:09:57] 而且他现在还有个目标是要成为第一个在中国做民营货运机场的公司这个部分比较独特所以我们就后面展开多讲一点用飞机送快递大家普通人直觉的感觉就是说更快对吧除了这个以外跟火车或者说是那个货车也没什么本质的区别但其实是完全不一样的因为你用飞机来送的话这个路线的设计和货物量就很难匹配起来用飞机这个量是很有限的嘛对吧
[00:10:22] 就是说我们找到了顺丰航空的总经理李胜在2015年的一个行业论坛上面说的一些数字他当时判断是中国的快递流通方向主要是从东到西东边产业比较发达也还有就是从南到北这是一个单向流通的一个方向然后反过来的部分比如说从西到东或者从北到南的这个部分的话经常是货源不足的这两个方向的货物比例大概是七三开
[00:10:47] 中国又是一个地域范围非常广大的市场如果你用一个飞机点对点送货的话很容易出现一个问题就是说你在路上飞了很长时间但是去城的话机舱塞满了回城的话是空舱的很不划算其实你现在去看顺丰的它的飞机的航线的网络你会觉得感觉这是一团乱麻因为还是有很多的直飞的一些航线
[00:11:09] 但如果你把直飞改成中转的话就一下子可以优化刚才讲到的这个去城爆满回城空舱这个问题因为你可以在进出港的时段机型方面做很多的优化大大的提升这个飞机运货的效率这个东西不是顺丰自己发现的其实是行业里面有一个现成可以拿来抄的方案这个方案是美国联邦快递在大概1980年代发明出来的
[00:11:33] 他当时选择在美国的中部孟菲斯建一个专门用来重新配置资源的货运机场就把原来像顺丰一样在城市之间点对点飞来飞去的路线改成像一点式集中就像孟菲斯这个机场集中然后整个体系的话就从看不清楚重点的一个网状变成了一个像自行车轮子一样规律的一个轴扶式网络轴扶式网络的话其实是帮助了联邦快递重塑了整个美国快递市场
[00:11:59] 他当时是把整个美国快递的头牌UPS打倒了也把格叶达的这个服务做成一个自己的特色目前的话顺丰是在湖北鄂州企图复制孟非斯的这个奇迹的他已经在鄂州花了上百亿元来造这个货运机场也是强化了说未来一定会做好商务界的对应一个承诺除了买飞机建机场让这个快递的速度更快以外
[00:12:25] 顺丰还有一个比较有特色的服务就是在它的高端的产品当中你可以约定一个明确的时间段来要求送货上门这个其实对于数字化的能力要求就更高了因为你要精准的把握整个网络的流通的情况还有效率能让它你能控制的维度缩小到小时这样一个单位这就不是靠堆资源就能解决的了背后核心就是你要有一套非常完整的然后非常清晰的一个数字化的后台
[00:12:54] 体现在顺丰的我们能看到的地方就是你能看到顺丰的快递员人手有一台智能的终端对吧刚才我们对顺丰一通表扬讲了这么多但是大家发现了没有我们到现在都没有提到电商这件事情我们讲的其实都是顺丰在最开始以商务件为主的市场里面是怎么通过不断提升自己的能力来做到高品质高定价以及能做到盈利的
[00:13:19] 但是因为电商业务现在发展的特别快所以说顺丰做商务性的这些优势的话反而变成了它做电商界的劣势
[00:13:27] 首先大家对于电商快递的速度要求就不会像做商务件那些外贸公司那么苛刻了除非是需要快速运送的或者及时收货的那些新鲜的产品大多数的电商的快递两三天送到就已经足够了还有一个就是说现在电商快递最不讲究的可能就是服务了大家这两年抱怨特别多的一点就是快递员会把包裹直接往驿站或者说往风场里面扔这个其实变成了现在最主流的一个收货方式
[00:13:55] 关于服务是什么的话大家就产生了一些争议比如有的人会要求上门服务有的人会觉得说自己去小区里面取一下也不错但是你过去去取个合同送个合同肯定是不敢随手这么一扔的总之的话就是说电商快递的服务的话一定是没有商业界那么高的最后也是最重要的一点就是电商产品页面里面最大的一个卖点就是包邮可以说是最基本的一个卖点对吧
[00:14:21] 这就意味着商家要么就得通过台价来消化这个包邮的成本要么就得靠快递公司这个内斗把自己的这个价格降到一个商家不会在意的一个非常低的水平这件事情呢通达系早年就做过并且开创了这个长三角的所谓包邮区对吧这两年急吐速递现在也出现了他已经甚至创造了一个一屋0.8元发全国的一个
[00:14:45] 很震撼的一个低价那这么一个低的一个快递的单价让之前做高价生意的顺丰来去做那账面上肯定是非常不划算这也就是我们为什么一开始就说到了快递目前看起来在中国不算是一个好生意的原因我们还是举一点例子吧我们还是举之前提到的行业规模第一的中通的例子最近的话中通披露了2021年的第一季度财报
[00:15:09] 这公司做到一件什么事情呢它在每一单国内快递上的含运费收入现在是2块05分跟运达一样这个已经逼近了整个行业的底线就是两块钱可能是他们的行业底线然后统计的话顺丰的单件收入是15块84然后每一单快递的话其实只能给中通带来两毛三分钱的毛利不是净利是毛利这个数字听起来极低但是已经比整个同行都优秀了
[00:15:35] 说的直白一点就是说现在快递这个行业薄利多销已经有点过头了这个利也太薄了到了这种程度的话其实你作为一个公司要提升竞争力或者去争抢更大的市场占有率意义不是那么大了它带来的这个编辑效益已经很有限了同时因为快递这个行业的特殊性你不可能无限的扩大你的规模你的市场也被框在中国市场这个范围里边了
[00:15:58] 那对于像顺丰这样一个公司它前期投入了这么多资源和技术来提升自己的这个相对竞争力如果现在市场变成一个利润已经这么低的情况下那我投这么多其实意义已经不大了既然不划算那第一个反应就是干脆我们就不做了吧但是不做这块电商业务呢对于顺丰来说肯定是一个非常大的损失最主要的问题就是它的市场占有率会急速下降因为市场占有率就是看单量来算的
[00:16:24] 如果单量提不上去的话你的市场话语权就会掉下来所以说一定要做那么既然要做的话就得再去考虑怎么做我们前面说到顺丰之前为了高单价的高价值的商业界花了很多钱去搭物流网络做数字化买飞机等等的
[00:16:40] 那这张网的这个效率或者说它的能力呢其实如果只用来送这个商务件这个产能是很足够的甚至是有些盈余的所以如果在这个商务件的基础上面对吧适当的增加一些电商的这个快件来填仓就相当于你在有余力的情况下捎带手多做点事情其实也是可行的那么拿什么来填仓呢如果说顺丰说我现在开始做拼多多件拼多多都是那种几块钱包邮的件那显然不是一个好选择
[00:17:08] 因为像拼多多这类的快递的话量特别大但是对于成本也太敏感了毕竟只要几块钱那它其实完全可以留给几兔这样杀红了眼150.8发全国的这种新品牌来做顺丰其实要找的就是那种价值比平均水平高一些的高端消费品就比如说电子产品化妆品或者是潮流服饰等等
[00:17:28] 说白了顺丰现在要做一个比原来商务界更低的档次的生意但是也不能挑电商里边过于低档次对吧好歹要几百块钱对像刚刚讲到的这几个品类的话其实就是天猫京东这一些电商平台里面的一个主战场了对吧
[00:17:47] 包括拼多多现在也是的他在做百亿补贴还有什么直播带货包括像抖音快手他们现在做的这个电商主要就是这一块相对价值比较高的这些产品在这种产品上面你会发现就是说商家给你一个顺风包邮的一个承诺的话其实是有一点价值加成的效果的话你会觉得说这个商家还挺靠谱的他可能说舍得在邮费上面花钱而且他的东西花可能不会差
[00:18:11] 除此以外还有一类非常小的或者是不太引人注意的一个电商业务的门类也是顺丰做起来挺有优势的就是C2B的一个退货的服务类似于我们前面说到的中国物流这个单项的这个特点就是退货这种反向的物流的量在总体的比例当中非常小但是消费者的需求往往有很多所以比较难入手传统的快递公司的话也特别讲究揽件大家可能跟快递员打交道都知道就是说他揽件的收入要比他发件的收入要赚得多很多
[00:18:40] 但是快递公司讲究揽件的话本质上还是想找一个长期能够合作的稍微大体量一点的客户而不是说零敲碎打的帮你今天退个货明天退个货帮你解决问题这不是它的主要目的所以在菜鸟决定说切入退货这个业务之前的话顺丰几乎是品牌商家唯一的选择
[00:19:00] 2019年顺丰是第一次以做这个商务件的思路和服务的水平开始进入电商这个市场像我们刚才讲的从大的这些消费品的客户入手虽然相比较于他做这个商务件他要牺牲大约2%的这个毛利但是这个电商的业务起量是非常快的考虑到就是说电商界对于配送速度的要求也比较低顺丰的话也就趁势划了一条非时效的产品线出来改叫特惠件
[00:19:26] 特惠的意思就是说我的服务标准要稍微低一点但是价格明显的会更低它现在的特惠的价格可以做到每单三到四元这就进一步扩大了它做电商服务的规模效应如果大家还记得我们前面讲到中通的数字的话你就可以看到三到四元虽然相比较于顺丰之前的业务已经低了很多但是相比较于中通两块多的价格还是高出不少的
[00:19:50] 我们再从2020年顺丰的营收结构来看一下就是说我们前面提到两个部分一个是特惠件一个是时效件特惠件的部分的话2020年的话收入是440亿元其实做的是非常不错的
[00:20:03] 这个440亿元是时效件业务部分的大概三分之二的收入水平但是在2019年的时候公司的时效件收入也就是最早的这种商务件的这种部分的话它的收入基本上是电商特惠金的两倍可见也就是说顺丰在这块新拓展业务上面做得相当不错简单总结一下就是顺丰这个公司在商务件为主的这个快递时代它是没有什么竞争对手的所以做到了行业最强的这个位置但是在快递进入电商时代之后呢
[00:20:32] 很长时间他有些失去话语权然后在观望了很久之后他在2019年正式的进入这个更低的市场并且找到了相对适合自己的一个细分的区域总算是在这个新的形式上面保住了自己的市场地位
[00:20:45] 最后的话针对顺丰这家上市公司本身的话我们再展开多讲一点虽然说顺丰是从快递业务起家我们前面提到它有两大块电商一块是电商业务一块是商业业务这两块的快递业务收入加在一起大概是1100亿元非常大但是说顺丰的野心的话不只是做快递如果说去看一下顺丰2020年的年报的话可以发现其他很多有意思的信息比如说
[00:21:11] 在疫情期间顺丰因为有冷链的物流和医疗的业务所以它变成了一个很重要的抗疫的服务商也因此在2020年的第一季度
[00:21:40] 但是增速非常的快2020年的股东大会上面的话顺丰的集团副总裁徐浅还提到了一块非常有意思的顺丰独特的业务叫供应链业务供应链听起来是个特别虚的概念所以说顺丰切这一块的话大家一开始都不知道他要怎么做以为他只会做做物流仓储或者配货的这些解决方案但是其实顺丰想到了一些很新潮的数字化服务比如说就是和星巴克的一个合作在他们测试的一些门店里面顺丰可以引入
[00:22:09] 测算商品动销率的一个重力感应货架这个东西原来是用在他们那个很大的仓库里面的现在等于放到了星巴克的门店里面还搞了一些什么带图片识别行为识别的一些AI的设备据说是提高了星巴克对于一些爆款商品的识别率和判断率的再次说明了星巴克是一个卖杯子的公司不是一个卖咖啡的公司
[00:22:31] 看起来的话就是顺丰这家公司确实还是想从物流这个概念也就是说物品移动和流转的整个链路上来规划说自己未来的业务增长点可以出现在哪里顺丰这家公司的成功不是说因为快递本身是一门多么有价值的生意而是因为顺丰这家公司首先抓住了快递市场当中最有价值的那个部分也就是商务界的需求而且这家公司不惜重金为这些很小的需求搭建了一个很大的基础设施
[00:22:59] 而当整个市场发生变化也就是电商的需求崛起之后顺丰就可以反过来利用这些基础设施来提供比竞争对手更好一点也更贵一点的服务说的稍微本质一点就是在一个开放的规模很大的市场里边物品在物理空间里边从A点到B点的这个转移永远是一个刚需只不过你这个转移的物品随着时代的变化有所不同
[00:23:22] 对于顺丰这样的公司来说只要掌握了这个移动当中的核心能力就可以先从需求当中来体验出供给是什么然后再反过来之后再依靠供给来吸引需求这形成了一个螺旋上升的赚钱制度现在的市场里面有很多人往往会因为一些新的趋势或者新的竞争者出现就兴奋起来也会因此对一些不那么新的业务或者公司过分的轻视和贬低这个其实就是关心责乱吧
[00:23:47] 但反过来来说如果你能够坚持做自己不断的做好自己其实也能形成一种长期的优势商业就是这样
[00:23:59] 感谢收听这一期的
