Vol.152 竞业协议，边界何在？
[00:03:30] 那如果从法律条文来看呢其实进业协议原本是与大多数的公司人打工人是无关的劳动合同法的第24条它里边就规定进业协议的限制对象其实非常明确的一共有三类第一类叫做高级管理人员第二类呢叫做高级技术人员第三类呢叫做其他富有保密义务的人员那这三类人呢一般在法律世界里面就被称为两高一密
[00:03:56] 那问题就来了在我们采访到的案例里面有几位因为经验协议被索赔员工都是很普通的一线员工有那种2021年以应届生身份入职2023年就离职的管陪生还有一些对接商家的电商运营人员这个都属于两高一密吗这里边的这个问题这个tricky的地方就在于第三条其他富有保密义务的人员因为高管和高级技术人员其实这个定义都比较清楚的对吧
[00:04:24] 但是保密义务这个定义就很宽泛了我们就在刚才提到的那一位商家运营的员工吧我们叫他小A小A是2022年加入一家互联网大厂那么2023年离职之后呢他加入了一家竞争对手的关联公司然后就被员工司索赔40多万元我们在这个法院的判决书里面就看到员工司他就认为小A在工作当中他掌握的商家的名单联系方式这些都属于商业秘密
[00:04:52] 因此小A就属于两高移密当中的移密人员小A对此也有辩称他就说这些商家的名单都是公开的而且联系方式也能搜得到并且他自己在新公司里面已经换了岗位就不参与商家的运营了但是这两个辩解的理由都没有得到采纳法院还是采纳了原公司的说法认为小A的工作的确是涉及到了机密的部分这里就涉及到一个法院或者说劳动仲裁机构如何判定商业秘密的问题
[00:05:19] 司法机关对此没有什么特别明晰的定义这个判断也的确很难下就比如说一个销售他手里掌握的大客户资源那对于公司来说当然是很重要的可以算是机密的但是电商平台上面一个第三方小商家的普通的联系方式我觉得也没有那么保密对啊都是商家的信息其实在具体的情况当中他的这个概念是完全不一样的那在实践当中我们看到的现象呢就是司法机关他倾向于采纳公司的主张
[00:05:48] 而从公司的角度来说呢那最好是把所有的这个经营细节都纳入到商业秘密的范畴里边那这样最能够保护自己的利益嘛所以结果上我们看到的就是在一些公司当中两高一密中的一密实际上就变成了一个越来越大的口袋它逐渐的装进了绝大多数的员工文章里面采访了一位律师这位律师也曾经在互联网行也工作过
[00:06:09] 他告诉我们说从他在裁判文书网上收集的数据来看进业协议的纠纷是从2015到16年开始逐步增加的然后2019年之后是快速的增加而且主要是集中在北京上海深圳这些城市这也是互联网大厂聚集的一些城市是的而且涉及的企业也主要就是高新技术产业和服务业对那这个也和我们采访了解到的一些实际情况基本一致
[00:06:35] 就在一些传统的行业比如说消费零售行业一些品牌当中进业协议也存在但是它仅限于我们前面说的两高的层面尤其主要就是高管了甚至即便一些高管离职之后去了竞争对手公司就职原单位它也不会发起索赔的而目前在一部分的互联网大厂之中进业协议事实上就是覆盖了所有员工就有可能那些行政人员都算是两高一密的
[00:06:59] 也就是说所有的员工都负有保密义务这也是为什么如今会出现一线运营人员也会被竞业协议索赔的现象
[00:07:09] 那第一个边界问题我们讲的是竞业协议的对象从少数高管扩展到某些行业的全体员工第二个边界问题也和它息息相关就是竞业协议在实践当中和入职离职经常绑定在一起说再明白点就是在某些大厂你要入职就要签竞业要离职也要签竞业就是你没法say no的我们先来看一下我们了解到的一些实际情况
[00:07:34] 就由于目前互联网大厂它这个招人规模很大就经常是同一批招很多人吧那么同一批入职的新员工他们在入职的时候就会一起签署入职的各项协议那我们采访到的一位数据分析师我们叫他小邓啊他就是如此小邓呢是2020年入职一家大厂的那么入职当天呢他就和一群同期生进入会议室HDR呢就给大家一叠文件大家来签字了里面呢就包含一份敬业协议
[00:07:59] 准确的说那份协议的合同名字应该叫做保密不竞争和知识产权归属协议那其中呢有数据保密的条款有知识产权保护的条款也有进业限制的条款那小邓就告诉我们说大多数的同事啊他就很自然的把所有的文件都签了那像他自己都没有注意到有这个进业限制条款他主要自己关注的是数据保密的事情因为有可能跟他这个数据分析的工作相关啊
[00:08:24] 然后在他的印象里面的确也有同事提问过是否必须要签署这个竞业协议那么HR的回答是这个竞业协议它跟劳动合同大家都会签的但是一般不会发起毕竟是个口头说法我们也没法确认当时是不是真的这么说但是如果真有这样承诺我觉得也不会有什么法律效益毕竟他也是说是一般不会对的那所以这个就是入主时的情况它是一个非常程序化的过程
[00:08:50] 一般而言大多数的员工就顺其自然的打引号顺其自然的就签了一个重要的条款了那在离职的时候呢整个过程有可能会更加程序化比如说小邓遇到的情况是提交离职申请的时候他就在OA的这个流程上面就弹出一个要签署敬业通知书注意啊这里是通知书因为担心自己拿不到离职证明呢小邓就还是签了这个通知书这里我们要插入一个劳动法的小常识啊就是一个员工提出离职是不需要附带任何条件的
[00:09:19] 就是你可以通过通知的方式比如说发一个邮件告知公司的HR说你将在30天后离职你将在这30天里面完成所需要的交接其实这样就OK了如果公司不给你签这个离职证明你完全可以通过投诉和劳动仲裁来解决的也就是说竞业协议不是离职的任何必要条件对的这是通知而不是商量是吧所以理论上呢如果你离职的时候不签署这个竞业通知书也是可以的
[00:09:47] 但问题就在于通知书这三个字到底什么叫通知书呢就是公司告诉你你在入职的时候已经签过一个进业协议书了对此呢你表示知情相当于它是一个double check的过程有点这个意思吧如果你不确认的话呢那么在法律上其实你入职时签署的那个进业协议是否生效是存疑的
[00:10:06] 但是不是说你离职的时候拒签这个通知书就能解决问题的我们看到一个实际的仲裁案例就是有一个员工他就是有可能比较警觉他拒签了这个通知书但是员工司呢把这个通知书寄到他家里边在后来仲裁当中这就被认为是完成了这个我们所谓的double check就原来他入职时签的进业协议还是生效了
[00:10:29] 就相当于你可以通知公司公司也可以通知你对所以说你相当于只要入职时候签过这个进业协议基本上就算是被他绑住了没错所以说入职时候我能不能不签呢可以啊但是公司也可以跟你不签劳动合同也就是说如果公司要把入职和签进业协议绑定的话其实目前来看员工没有什么特别好的办法除非你就选择我不入职这家公司了这个是不是有点霸王条款你从我们一般理解的霸王条款的概念上可以这么说
[00:10:58] 情感上我们也可以这么认为但是这么做呢目前在法律上其实是没有什么问题的就有一位律师告诉我们如果有办法证明员工在签署经业协议的时候公司是存在欺诈胁迫或者利用劳动者处于某种我们所谓的危困状态或者缺乏判断能力的这些情形那么的确可以证明这个经业协议是无效的但实际操纵当中你很难证明说公司有欺诈胁迫的这些行为啊
[00:11:25] 比如说你胁迫那你就得证明说公司我是逼着你来入职的还逼着你一定要签这个进业协议那个叫做胁迫但我们刚才讲那个情况是如果公司让你签你不签的话那我就也不跟你签劳动合同我也没有强迫你这个就属于是个人选择了你就很难证明说这个员工签的这个字是违背了自己的真实意思也就是说这种把入职和进业协议绑定的方式再加上把前面那个移密的范围无限的扩大就确保了在实际操作中
[00:11:52] 一些公司可以把所有的员工都纳入整个经业协议的威慑当中没错
[00:11:58] 那前两个边界问题我们讨论的还是签约的对象和法律效力的问题这个可以帮助我们理解为什么一些普通员工也会被准进进业协议里面那接下来的边界三和四呢我们就来具体看看目前进业协议里面的一些条款看看为什么普通员工出发进业协议以后会面临超出想象的惩罚我们还是先来看边界三啊就是进业限制进业限制它限制的是你离职之后去原公司的竞争对手那里工作对吧
[00:12:27] 所以这里边的一个核心问题是什么样的公司才算是竞争对手我们还是先来看一下法律的原则还是劳动合同法的第24条上面是这么规定的解除或者终止劳动合同后前款规定的人员与本单位生产或者经营同类产品或者从事同类业务的有竞争关系的其他用人单位或者自己开业生产或者经营同类产品从事同类业务的进业限制期限不得超过两年
[00:12:56] 这里边最后提的两年就是我们前面提到的进业协议的一个最长的时间期限而跟我们要讨论的边界三相关的就是两个关键词一个是生产或经营同类产品第二个是从事同类业务产品是不是同类产品还算相对明确吧但是业务是不是同类业务就比较模糊这个又让我想到前面说的那个什么其他富有保密义务的人员了我觉得袁老师已经逐渐盖到了这个进业协议的边界是怎么扩大的了
[00:13:25] 没错在实际操作当中这个看起来没有什么问题的标准就会被大幅度的扩大那我们现在手边就有一份某大厂的竞业协议的这个扫描件里面清楚的列出了所有的竞争对手的名单首先如果你是一个大厂那么另外几家家喻户晓的大厂肯定会在竞业协里面被归为竞争对手还算合理吧但这只是开始这些互联网大厂的子公司
[00:13:51] 关联公司以及被这些大厂投资然后占股超过20%的公司以及上述这些大厂系的公司的合作方全都算是竞争对手我觉得子公司关联公司占股超过20%公司这都算有点道理吧毕竟就是这个在财报里面你可能也要列到这些公司对对对但是这些公司的合作方这个范围是不是扩大也得太大了没错那除此以外就还没有完啊
[00:14:17] 包括和本公司有竞争关系的一些其他的互联网公司
[00:14:42] 在这个协议里面一旦你从原公司离职了那么最长两年的期限内你就不能留在互联网这个行业里了对于互联网行业来说如果你离开两年你基本上就真的也再进不去了没错而且在实际操作当中整个范围还会扩得更大因为你评判两公司是否提供同类的服务就我们刚刚讲的从事同类业务这个标准除了你在协议里面写明以外还有一个标准就是看营业执照里面的经营范围
[00:15:09] 如果你看过互联网大厂的这个营业招的话你就会知道什么叫做包罗万象把所有品类全列上去对因为比如电商的话你就会写他销售某某某某某类产品然后你做这个社交的话他都会算进去所以理论上你去一个非互联网的公司比如说你从大厂离职了然后加入了一个零售品牌你同样有可能中招的在我们采访的时间里面的确也有类似的一种情况就是比如说我辞职了之后我自己创业做个公司然后我做比如说直播带货吧
[00:15:37] 那你也有可能被认为是触发了禁业协议真是完美诠释了什么叫扩大化而且可以清晰的发现竞争对手的范围扩大就是与互联网大厂本身自身业务的不断膨胀是直接相关的讲到这里又要凭直觉提个问题这显然不合理你不能因为公司的业务包含同一个门类就全部认定为互为竞争对手关系
[00:16:00] 比如说一个大的电商平台和一个小的直播代运营公司他们确实是紧密相关的但是你要说真的竞争吗竞争不起来反而有很多合作的机会没错所以实际上我们国家的司法实践对这个问题是有一些反思或者有一些限制的这里边有个最经典的案例就是最高人民法院的第190号指导性案例最高人民法院的指导性案例是中国司法实践当中重要的一部分
[00:16:27] 它具有一定的权威性但是不具有强制力顾名思义就是为类似的案件审理提供一些法律依据和解释有点像判例对但是它没有像判例那么大的强制的有点像对第190号案例它就是针对竞业协议当中的竞争对手的问题的这里我们可以公开名字因为这个案例都已经是明确公开的就有一名数据分析师他叫王山
[00:16:53] 那他呢原本是在一家叫做万德的公司工作的大家有可能比较熟悉他是一个金融信息的服务商类似于中国彭博中国彭博好吧那2020年离职后呢他就去了哔哩哔哩这家公司那万德呢就觉得王山他是违反了进业协议就像他索赔了经过劳动仲裁的结果就是王山要赔偿万德200万元的赔偿款后来王山呢他也不服这个仲裁的结果就去法院上诉了
[00:17:19] 那一省的法院是判决他赔24万元这里插播一下就是竞业协议的纠纷或者一般的劳动协议的这种纠纷呢一般都是要先经过劳动仲裁的对如果对于仲裁的结果不满意然后你还可以去法院去上诉那么王山呢他对于一省的这个赔24万的结果呢还是不服他就选择二省继续上诉最后二省的法官是推翻了一省的判决就是判他不属于这个触犯了竞业协议他不用赔钱那我们还采访了二省当中王山的辩护律师啊
[00:17:48] 这位律师他就说到这个案子的核心啊就是万德和哔哩哔哩这两家公司是不是竞争对手的关系那么劳动仲裁委员会和一省的法官显然都认为他们是竞争对手其中一个原因呢就是他们采纳了万德的说法说这两家公司的营业执照上面都有计算机软硬件开发这一项我吐槽一句啊就是说
[00:18:09] 这两家公司都做软硬件开发这基本就相当于说这两个人都会写作文差不多这如果你对这两家公司略有了解的话你就知道这个小破绽怎么样也不会去抢万德的生意对我觉得万德也很难抢小破绽的用户那么二审的辩护律师他的这个辩论要点就在这里就是说你要看实际情况到底是怎么样那最后二审法官是采纳了他的辩护那在最高法对于这个案例的这个裁判要点里面他就写到
[00:18:36] 竞争关系的审查不应拘泥于营业执照登记的营业范围否则对劳动者或者对用人单位都有可能造成不公平故在具体案件中还可以从两家企业实际经营的内容是否重合服务对象或者生产产品的受众是否重合所对应的市场是否重合等多角度进行审查以还原事实之真相从而能兼顾用人单位和劳动者的利益以达到最终的平衡
[00:19:04] 当然就像我们前面讲的这个指导性案例只是指导它没有什么强制性所以在公开判决书里面还是会看到很多以经营执照的证据来判定是否是竞争对手的情况有的被索赔员工就说他的律师建议他说应该把重点放在降低赔偿额上而不是说一定要去辩护自己现在所服务的公司不是你原来这个单位的竞争对手因为你很难要求法官去了解每一个APP的实际情况
[00:19:33] 那刚才我们讲完第三个边界也就是竞争对手的范围那到最后呢我们已经Q到了一点点最后这个第四个边界的问题就是赔偿金的额度这个也是最近这些事件令人关注的另一个重点就是这个赔偿的数字为什么看上去都这么高我们其实在前面Q到过一点就是在法律原则上我们可以认为说
[00:19:54] 公司可以向违反协议的员工索要赔偿同时呢也要给遵守协议的员工给予补偿所以原则上它是属于一个比较平衡的天平吧但是赔偿和补偿的标准分别是多少就决定了这个天平实际上是否是倾斜了
[00:20:10] 那我们前面提到过一位一线的运营员工小A他的这个情况就非常的典型他离职之后呢每个月是拿到了员工资的补偿款大约是3000多元然后按照两年的经业限制期来算的话总共大概是8万多元吧但是他去了竞争对手公司之后呢被索赔的金额是40多万元那这个差别非常的大那区别在哪里呢很简单在协议里边公司给小A每个月的补偿款
[00:20:38] 他的标准是离职前一年他的基本工资的30%而他一旦违反协议要被索赔的金额呢是他离职前一年全年税前收入的两倍同样是收入啊月基本工资和全年税前收入这个差的是不是也太多了一点没错那小A他一个月的基本工资大约是一万多那所以30%就是3000多块钱但是他一年的税前收入
[00:21:05] 算上年终奖还有那么多税钱对吧大概是20多万元所以他被索赔的是40多万元所以说这个标准在法律上没有什么规定吗目前来看确实没有规定这么细法律对于比例是有规定的就前面我们有两个比例一个是30%一个是两倍这个都是法律有明确的限制的就是你的补偿款不能低于他收入的30%赔偿的要求不能高于他收入的两倍但是这个收入他没有具体说清楚到底是什么收入
[00:21:32] 所以你看小A的这个案例当中其实是完全这个协议条款符合法律要求的但实际产生的效果呢就是拿到的补偿很少要赔的钱很多所以这就是一个现状这就是现状另外还要提一点我们看到有的媒体还报道了一些比如说数百万甚至上千万的天价的赔偿额这个呢其实就涉及到互联网大厂收入当中另一个很重要的组成部分就是期权
[00:21:56] 现在我们看到的一些经业协议里面一般都还会把期权纳入其中也就是说如果你员工违反了经业协议那么你的这个期权以及你出售期权获得的收益都要还给员工司就比如说一开始公司给你了比如说一些股票然后这个股价涨了之后你卖掉了在你离职之后如果你违反了经业协议那个卖掉之后赚到这个差价也要赔给公司这也是为什么会出现天价的索赔当然这些员工有可能他的这个职质比较高有的有可能是管理层
[00:22:24] 他们期权的价值本身有可能就超过千万了那讲到这里我们基本上把目前互联网大厂的进业协议中四个不断扩张边界都介绍了一下分别是关于员工的范围与入职离职的绑定竞争对手的范围以及赔偿和补偿的标准一个简单的总结就是目前进业协议的实践其实并没有违反现有法律的原则但是在细则上却大幅有利于公司
[00:22:53] 而对员工是严格要求最终形成了一个实际上很不对等的情况从而形成对员工的威慑我觉得威慑这个词很到位因为其实据我们了解同样的员工同样你们是在离职之后加入了竞争对手的公司有可能A被索赔了但是B就没有事情这个当中为什么会有区别呢有可能仅仅是因为A离职的时候这个部门离职的人员比较多要控制一下但B离职的时候这个部门不是很缺人
[00:23:18] 所以它实际上是通过对于离职员工的索赔形成对于在职员工的压力竟然是控制人员流动的一个目的是的事实上刚才我们还都是针对书面上的条款以及数字文对文的来讨论还没有涉及到进业协议它在真正执行的当中对于前员工和新员工的心理上的压力比如说你如何去确认以及调查说前员工是不是去了竞争对手的公司呢
[00:23:46] 我们看到这个判决证据当中会提交的一类的这个证据就是视频证据意思是什么就是我跟拍你进入新公司的办公楼的这个视频然后用这种方式就证明说你加入了竞争对手公司那对全员工来说他变成什么了就是发现有人在跟拍我虽然你说这个跟拍在公共的环境当中是不是违法呢其实很微妙但你可想而知这个对一个普通人来说会有多大的压力
[00:24:09] 那我们要说明在签署了进业协议的情况下加入一个直接的竞争对手公司本身的确是违反了这个协议的行为至于这个协议本身合不合理是另一回事这也是我们前面几个编辑所讨论的问题那最后呢我们还想说一个话题就是为什么互联网大厂会不断的扩大进业协议的边界
[00:24:30] 从商业的角度看互联网公司之间的竞争的确越来越激烈而这种激烈又往往体现在人才的流动上面人才对于这些公司来说的确有可能比别的行业更加重要一点所以不断地给自己的员工施加压力施加结界不失为一种竞争的手段但同时过分使用这个手段也未必是什么好事
[00:24:53] 因为人员的流动本身就会促进整个行业的发展尤其是在技术行业里面它客观上就能带来创新在硅谷一个很普遍存在的风气就是对于竞业限制的宽松应用比如说一个高管跳出去自己创业往往不会被追究甚至还会被鼓励甚至还会被投资对那真的要启动竞业协议一般只针对极个别非常重要的人和非常重要的技术或者是非常直接的竞争对手马上就跳过去然后带过去了很多的比如说用户或者技术了
[00:25:21] 那有可能会产生一些纠纷当然在国内我们可能不能马上要求这个大厂的每一个业务部门都形成前面我们讲到这种心态因为毕竟生存的环境还是不一样但从另一个角度看的话即便在现在我们当下处的这个环境里面如果你这家公司对待离职员工的进业问题十分的严厉其实从长期来看也会影响未来自己的人才引进因为大家都在这个生态里面对吧人都是要进进出出的
[00:25:48] 那从公司人的角度来看今天这期节目可能并不能帮助你真的获得什么制衡大公司的办法就像我们描述的那四个不断被拓宽的边界其实都还在法律的框架之下但是我们相信法律的实践一定会越来越关照现实情况尤其是关系到如此多人职业生涯的一个问题因为保护劳动者的合法权益
[00:26:16] 而我们对这个问题的探究呢也并非想针对具体的公司而希望让更多的朋友了解到现实是什么样的这也是我们改善现实的基础商业就是这样
