Vol.14 刘擎、罗翔们是如何一步步变成明星的？
[00:06:42] 这里说个好玩的事情吧就是说刘青教授一开始对成为艺人这些事情的话是有抵触的就我记得奇葩说的导演跟我们说过刘青教授在答应担任奇葩说的导师之后就回家问了他自己的家人因为他的家人是看奇葩说的问完了之后就跟他们提要求说听说你们这个节目会要包装我训练我说话的方式要让我穿不一样的衣服是不是还要做一些美容项目然后节目组当时就跟他笑笑说不会不会不会这样的
[00:07:11] 但最后实际的效果是什么呢就是在节目里边刘晴一开始确实是穿她自己的一套很普通的西装但一步步在节目组的引导和沟通之下开始穿越来越花哨或者说比较好看的那些衣服在最近一次她参加一个线下活动的时候她已经能穿着绿颜色的西装三件套在台上对着几千人侃侃而谈了这个节目对于这个人的塑造还是很有帮助的话说回来呢
[00:07:39] 奇葩说为什么会去请留情呢这就是第二个重要的推动力量也就是像得道这样的音频平台在里面起到的作用得道呢是一个罗振宇创办的音频的内容平台前几年非常火热的知识付费这个概念对吧主要就是他挑头得道上面有很多那种贩卖有用的知识啊或者一些什么技能手册啊什么心法啊这样一些课程当然也有很多教授在上面开课比如说留情就会在上面讲现代的西方思想史
[00:08:07] 还有奇葩说的另一位导师薛兆峰也会在上面讲经济学我们这次采访了奇葩说他们的说法就是说奇葩说的主持人也就是米威的创始人马东是听了刘晴的课之后觉得刘晴讲得很好就去上海拜访了刘晴他们聊了一次之后刘晴就答应去奇葩说当导师了说起来米威和德道这两个公司的关系好像非常的密切比如说罗振宇本人就当过奇葩说的导师
[00:08:33] 然后他平台上面的两位老师又参加了奇葩说从外人的角度是不是很容易觉得他们有某种绑定的合作关系对不对当然了就是奇葩说和得道都否认了这一点但是奇葩说的导演也承认说他觉得得道是一个很有效的挑选导师的候选池如果大家看过奇葩说这档节目的话就知道导师是这个节目唯一每一次都要发言的人而且他们的发言是在最后经常也会给人带来最深的印象
[00:09:02] 所以导师是个特别重要的角色
[00:09:04] 奇葩说要找的其实就是那种能够适应电视上那种简单明了表达方式的人
[00:09:32] 肯定也能够获得更大的影响力对自己也是有帮助的最直接的帮助有两个第一个就是刺激音频课程的售卖就像前两年薛兆峰上了奇葩说之后他在得道上开的课就一直是这个平台上最畅销的产品之一甚至在得道准备上市的时候都把这门课写到招股书里面了对薛兆峰老师还是得道最大的供应商之一非常有意思还有一个帮助就是说能够刺激输的销售
[00:09:58] 得道不仅是一个卖音频科的公司现在还会自己卖书了
[00:10:03] 这个卖书有两种情况一种是得道作为渠道也就是把别人的书拿到自己这里来买比如说赌库就会跟得道去合作让得道来帮他买书另外一个就是得道自己也会去出版一些书它的主要功能就是把自己原来平台上的课变成书的形式比如说刘勤和薛兆峰的讲义就是这样变成了书的
[00:10:24] 而在第七季的奇葩说上面主持人马东都主动的推荐了这两本书当然还包括其他嘉宾的书肯定是大大的促进了这两本书的销量当然在采访的时候奇葩说也告诉我们这是友谊的推荐没有写到商业合同里面所以你可以发现就是得道对于这些学者上网络综艺出名的话也是有很大的推动作用的那么问题就来了说得道到底是怎么选择这些老师来平台上开课的
[00:10:50] 这个就要再往上一层讲到另一个角色也就是出版机构就像奇葩说是马东听了这些音频课程而选的导师一样那得道也是先看了学者的书才会邀请他们来开课的这些学者当然有各种各样了其中一个比较鲜明的特点就是他们都是那种会写通俗著作或者说通史类的作品的人而不是写那些非常艰深的学术专著的比如说我们就采访到了一个出版机构这个出版机构叫一页folio
[00:11:17] 这个一页就是书的第一页和第二页的那个一页这个品牌的创始人叫范鑫他之前是广西师范大学出版社的后来还在德道工作过一段时间他在出版社的时候做过很多学者面向大众的著作其中比较有名的一本呢是外交学院的教授施展的一本书叫《枢纽》这本书就用了比较通俗的语言虽然讲的是重读中国这种大话题但是还挺受欢迎的
[00:11:44] 在2018年得到的跨年演讲里面罗正就推荐了这本书同时也宣布要把这本书变成音频课程就马上导致了这本书的大火到现在已经卖了40多万册要知道平时的话学书类的书籍卖1万册甚至5000册就算是畅销了而且施展现在也已经进入了大众媒体的行列比如说他会在财新开一个自己的脱口秀另外一夜这个品牌他也在奇葩说播出之后出版了一本留情的书
[00:12:12] 这本书其实早就做好了原本是计划在2020年2月份出版的但因为疫情就耽搁了下来到了去年下半年奇葩说宣布刘晴会成为导师之后呢范鑫就赶紧抓紧时间把这本书给出版了虽然它不如马东在节目里推荐得到的那本书那么有名但这本书同样也在出版一个多月之后卖了400多册要知道这个书是刘晴过去十几年写的西方思想界年度评述的一个合集
[00:12:39] 这个评述当然在学术圈里面很有名但是你想想看一般人肯定是不太会关注的也就是说出版社对于这些学者多少起到了一定的发掘作用他们其实是通过出版策划来挖掘这些有公共传播潜力的学者这边也多提一句刚才我们提到一页的创始人范鑫是来自广西师范大学出版社其实这个出版社包括他旗下的理想国这些品牌也有很多的出版人非常的擅长出版一些文化类或者学术类一些作品
[00:13:07] 他们其实或多或少都推动了这些学者走向更多的公众面前
[00:13:30] 他就创办了一个经济机构专门去做学者的经济人把他们的学术研究去商业化这个机构的名字啊叫爱道斯就是爱道理和思想的这个爱道斯这个机构目前签约的学者的话主要都是施展的学术同伴很多人是跟他长期去开研讨会的他们会研究一些很宏观的话题像刘清教授就是这个研讨会组织的成员之一
[00:13:54] 稍微梳理一下就是我们从刘勤教授的例子出发一层层的来理清了他背后的一些推动的力量简单的总结一下学者走向大众变成明星的一个过程其实是经过不同的内容生产机构的层层筛选来实现的出版社音频平台网络综艺沿着这样一条路径学者的影响力就一步步的扩大了
[00:14:16] 而当他们成名之后呢反过来又会反补之前他生产的一些内容帮助书或者音频课程的一些销售你们可以发现就是说这个链条上面的每一环都不是那种特别明确设计好的商业合作关系但是实际上从效果上来说他们确实实现了互惠互利的一个正向循环接下来呢我们还想讲一讲罗翔老师的一个例子因为相比于刘勤的这样一个一层层筛选的这样一个路径罗翔的出名呢要更具一些意外性
[00:14:46] 我印象中罗湘老师的走红是因为他在一个法考培训机构的视频素材被人搬到了B站而且进行了二次创作对吧正要严格来说的话有可能这些视频还有一些版权上的小问题对这就是最近两天的新闻不管怎么说的话罗湘老师就以这样的方式突然爆红了到这一步为止的话他的走红其实有点偶然性但是他接下来持续扩大热度的话这就是一些平台的有意为之了首先我们看到动作就是
[00:15:12] B站借着罗翔啊还有一些其他的我们现在叫知识类的up主在疫情之后走红的这样一个机会就成立一个专门的知识区然后他会主动的去邀请一些学者入住成为up主然后B站就会让罗翔开一个官方的账号就叫罗翔说情法这个账号的每一个视频的最前面都会出来一个页面上面写着哔哩哔哩成以后大罚考那个后大罚考就是刚才讲的那个罚考培训机构罗翔最早的那些素材都是在那边录的
[00:15:41] 他的很多讲课的这些内容的版权也是属于这个机构的接下来的话B站就会帮罗翔老师做一些推广了比如说请罗翔去参加各种活动再让罗翔和其他一些up主联动比如说讲一讲名侦探柯南里的黑衣组织犯了什么罪之类的这些动作的结果就是说罗翔说刑法这个账号的话成为B站up主中最快达到千万粉丝的一个大家平时如果逛B站的话就知道这个千万粉丝是一个什么样的level对吧大家可能会发现不论是刘晴还是罗翔
[00:16:10] 他们走红的最后一步都是依靠这些
[00:16:37] 就是在18世纪欧洲的启蒙运动的时候有很多引领风气的一些思想家他们就被认为是这个启蒙运动的一个先导者比如说像卢梭啊福尔泰啊狄德罗这些名字都是鼎鼎大名的但他们的思想是怎么影响到普通人的呢靠的就是当时的新媒体就是图书图书都是新媒体这真的是一个很久远的例子啊后来的话有一本书就是专门讲了这个故事叫启蒙运动的生意
[00:17:04] 这本书里面就讲到了当时基于印刷业的图书出版其实是刚刚兴起的一个状态很多商人觉得这是一个好生意就想尽办法抢下了卢梭福尔泰这些大思想家的著作出版权然后推动他们去出更多的书那时候最庞大影响力最大的一个出版计划之一就是狄德罗主编的百科全书
[00:17:25] 你想想看一个叫百科全书的书就听上去就很厉害啊对这个也确实是被称为启蒙运动最高的一个思想成就之一啊他当时是集结了法国最优秀的一百多位思想家哲学家科学家政治家工程师航海家军事专家还有医生等等然后这本书的出版者呢叫路易斯勒布雷顿他就是一名当时很有名的一个书商嗯启蒙运动生意这本书里面把它描述成
[00:17:53] 当时真正幕后的推动者他提出的这个庞大的出版计划其实不是为了传播思想其实就是想赚钱那个时候书商引领风骚的程度可能跟现在社交网络差不多了在那本书里面他其实讲了很多尔虞我诈的非常激烈的一些商业斗争的细节大家也可以去看一看但结果就是这套书确实是影响深远了而且和其他的一些图书一样引发了人们思想的变革
[00:18:18] 进而甚至改变了欧洲和世界对吧其实这样的例子在启蒙运动之后也一直会出现报纸电视广播这些不同阶段的新媒体都会把一些学者推向大众让他们成为明星最后形成一门好生意虽然刘晴罗翔们他们的影响力肯定不能跟什么启蒙运动那时候的大家相比但是同样他们受欢迎的原因其实是类似的就是他们表达的观点或者一些表述受到了大众的欢迎至于说为什么这些
[00:18:48] 观点和表达会受到欢迎的话就是一个社会和文化话题了在这个角度上的故事的话我们在第一财经杂志刚出版的2021年5月刊里面有更多的描述和讨论如果大家有兴趣的话也可以买来看一下最后说一点就是很多人可能会觉得学者上综艺或者做广告有点不务正业对吧而且他们在这些大众媒体上讲的内容也不像学术书上那么严谨有一些浅薄
[00:19:15] 但我们觉得知识和观点肯定不是只在小圈子里面有价值的就算他们在大众媒体上的表达比较浅但至少能够引起更多人的兴趣让他们去看书或者去学习这个引流的作用至少也是好的学者的话其实也只是一份工作不用给他们特别高的道德定位他们工作的职责之一就是让自己的研究和知识传播的更广而完成这份工作的话其实也需要商业机构的推动
[00:19:41] 他们做这门生意最基础的目标可能是赚钱但最终也会带来社会价值这两者并不矛盾甚至是相辅相成的商业就是这样
[00:19:56] 下期见
