Vol.93 2022失意大公司·国内篇
[00:03:00] 像国内的游戏的话腾讯还是有版号的限制以及像未成年用户的参与时长变短了市场整体的付费意愿下降多重影响都会影响到游戏这个板块那海外游戏方面呢可能腾讯这两年的表现没有像米哈游这样的公司这么耀眼但是还可以广告方面去年是因为有了东京奥运会腾讯呢是有一个很高的基数高基数上的对比来看呢有下跌也算是正常的
[00:03:28] 说回到这个上涨的一块业务叫金融科技和企业服务
[00:03:56] 能不能再进一步提升了这个跟阿里的差距能不能再缩小一点那未来这整个业务能不能持续增长就也是很难说我们之前都说腾讯是一家游戏公司主要是靠游戏赚钱啊但是现在其实它已经有了一些变化了因为游戏业务的这个变动吧那这个第三季度呢其实还有一个比较受关注的动作就是腾讯给股东们合计派发了9.58亿股的美团的股票作为一个特别股息
[00:04:24] 然后派息之后呢腾讯持有的美团股票的比例就从17%降到了1.56%也就是失去了美团这家公司的一个大股东的位置腾讯其实也不是第一次这么操作了他在2021年底就给股东们派过京东的股票当时大家还很震惊说怎么还有这样的派息方式这是所谓的分红式减持嘛对然后他就又搞了一遍对
[00:04:48] 那如果回到2018、19年的时候当时的市场讨论其实完全不是这个方向的当时大家讨论就是说腾讯这么一家游戏公司是吧那为什么做这么多对外投资呢那它会不会从一个游戏公司变成一个投资公司呢那你如果说业绩下滑的话是不是就是靠这些所谓的财绩来优化你的报表呢为此当年我们也专门采访过当时腾讯投资的管理合伙人李昭辉
[00:05:16] 他自己是说腾讯做投资呢就是腾讯自己进入新兴领域和前沿领域的非常重要的方式好的投资项目呢其实是会同时具备所谓的战略价值和财务价值的就是它既能给公司带来新的业务增长点又能够给公司赚钱那个时候你听他这个说辞还是一种就是发展或者说是向好的这种趋势吧那现在来看的话我们前面给的那个评价就是
[00:05:41] 通过这个投资然后再通过一些财绩来优化报表这个事情感觉是更加重要了因为现在的这个市场情况真的变得很差了如果腾讯没有这么多投资的这些标的的话全都指望游戏和广告的业绩他这个股票有可能早就跌破200块美股了嗯那反正做了这么多投资现在也开始卖投资了我们就再来看一下腾讯对外投资的规模情况
[00:06:07] 其实在过去这一年这部分是有大幅的缩水的按照资产的供应价值来看2021年底腾讯的对外投资总规模大概是9828亿元然后到2022年的第三季度这个数字就锐减到了3018亿元只剩不到三分之一了
[00:06:26] 这里面有两重印象一部分是背头公司自己的业绩下滑因为这些资产里面有一些是上市公司的股票这些股票自己的价值下跌了可能是这个产出水的一个主要原因另外就是我们前面提到有些减持的动作像腾讯以分红这种方式来做了一些强行的减持然后包括它有一些可能说战略上面投资目的的收缩这个也说明它可能面临一些其他的外部压力
[00:06:54] 对这个卖资产其实原因还是很多重的关于腾讯的业绩部分我们大致就讲到这里刚才还有另一层的话题就是市场传闻其实大家应该也都知道就是腾讯今年最大的压力就是它自己的大股东南非报业集团Nespers宣布要减持腾讯的股票Nespers它持有的腾讯的股份要长达20年它的核心资产和绝大部分的利润就是来自于这些腾讯股票就是它这个公司就是一个大股东公司
[00:07:24] 此前Nexpress在2018年和2021年是小幅度地减持过两次腾讯的就那两次就合计套现了1910亿港元可见这笔投资的长期回报真的是非常的可观而且2021年Nexpress还保证说我未来三年不会再减持腾讯了结果谁知道这个打脸来得如此之快但是伴随着这个抛售的决定市场上很快就出现了一些传言
[00:07:50] 这个传言里面包括说中国移动会参股腾讯的也说像中信牵头的财团可能会吃下Nespresso持有的所有腾讯股份的包括今年11月初中国联通和腾讯曾经计划设立一个新的合资公司然后准许设立这个公司的官方公告也被部分的网友理解为说是要搞新版的公司合影其实这种传言和解读就你细看的话很多都不必当真
[00:08:18] 但是反过来这些内容能够流传开来其实也反映了当时市场对于政策面的有很多猜测而且把非常多的不确定性甚至是负面的情绪都投射到了腾讯这家正好在处理股权问题的一个大公司身上对公司本身来说其实还是蛮受伤的相比事实这两年可能情绪更容易影响一个公司的股价波动我们也很好奇对于现在仍然持有腾讯股票的投资者来说
[00:08:45] 目前到底是怎么看腾讯的股价和这个公司业务之间的关联的在12月举办的中央经济工作会议当中其实能看到一些说法的回温吧当中有一句话大家流传的很多叫做支持平台企业在引领发展创造就业国际竞争中大显身手但这里边如何来理解这个平台企业这四个字以及未来几年能大显身手的到底还会不会是腾讯这样的平台企业
[00:09:12] 其实我们都还是要打个问号或者说要继续观望的
[00:09:18] 那腾讯我们就讲到这里下面进入第二家失忆大公司就是小鹏小鹏在我们这个失忆大公司的榜单里其实属于不那么典型的一个因为它身处的是一个增长最快最欣欣向荣的行业就是新能源汽车而且如果仅论汽车的销量和整个公司的营业收入的话小鹏也都处于增长当中和那些大幅下跌缩水或者是遭逢大难的一些企业其实不在一个轨道里边
[00:09:46] 但是我们认为小鹏还是属于另一种失忆就是他在一个大家都在快速向前奔跑的跑道里面他跌了一跤或者说走了一点弯路所以说有一点掉队的趋势我们来看点数据吧2022年的前11个月中国累计是卖出了205万辆的纯电动车这里面还不包括混动的
[00:10:07] 这个数字就同比增长了85%而小鹏呢它累计销售了109,465辆车仅比去年增长了33%所以这个增幅是低于整个市场的当然更加低于像比亚迪啊特斯拉啊广汽安啊等等现在在新能源上面排名非常靠前的一些品牌但是其实如果你去看就是经常和小鹏一起比较的理想未来这些所谓的造车新势力他们今年的这个销量
[00:10:35] 同比增幅其实都在30%出头甚至理想未来还要比小鹏更加低一点那我们为什么把小鹏放到这个名单里面来主要就是因为他面临的问题相比于同行会更加的出乎意料一些甚至也更棘手一些具体展开讲讲其实今年上半年造车新势力们普遍都遇到了大环境的影响一方面是国内的疫情减弱了需求同时这个疫情更加影响的是产能和供应链
[00:11:02] 很多工厂都或多或少遭遇了停工同时在疫情之外像芯片短缺这个问题已经蔓延了很多年了现在还持续的存在第三个又是个新情况就是电动车上核心的零部件电池包它的里边的核心原材料就是离它这个价格暴涨了好几倍所以大家的经营都遭遇了不少的风浪这当中主要影响的实际上是两个点一个就是毛利率这个其实主要就是由于原材料的价格上涨造成的
[00:11:30] 你像未来上半年的毛利率是降到了16%小鹏更低是11%相比之下像特斯拉之类的都可以到达20%甚至25%以上第二个影响其实更大一点就是产能很多长三角的工厂其实在上半年都或长或短的有一个停工这个是比较明显的影响了他们上半年的整个新车的交付量这方面其实小鹏还好因为他们主要的工厂都在广东
[00:11:56] 所以你看今年前三个季度的销量数据其实小鹏还处于一个高速增长的前八个月小鹏的累计销量同比去年是几乎翻了个倍虽然这个毛利比较低但是你这个销量因为一直在维持增长说明这个蛋糕还在变大你跟上了市场的步伐这个其实还是蛮重要的所以它变成一家试衣大公司这个问题就是出在九月份之后了对的九月份发生个什么事情呢就是小鹏推出了它全新的一款车型G9
[00:12:24] 这是一辆起售价在30万元以上然后高配版在40万元以上的一个中大型的SUV就是很多造车新势力都很喜欢做的所谓旗舰车型没错确实是标标准准的旗舰车型因为它真的是被小鹏寄予厚望此前小鹏的这个销量主力是两款轿车P7和P5而且主要是P7了那它这个价格带呢主要是在15万元到25万元之间
[00:12:51] 这个价位里面竞争对手很多也很强你电动车里面就有特斯拉的Model 3然后还有比亚迪一些车型而且较低的这个终端零售价呢也是小鹏这个毛利率一直偏低的主要原因那他一直就希望通过一个高价格的旗舰车型能够把这个销量再提升一个水平同时又提升毛利率还要再提升品牌形象所以这旗舰车型身兼三个重要的职责
[00:13:17] 结果呢极久在发布会刚刚开完之后就遭遇了一堆批评的声音还是蛮有名的我甚至觉得这个公司好像不是在发车好像是在发自己的负面报道真的是那个时候还是一个出圈的一个新闻吧那这个批评主要是集中在什么呢就是它的价格和配置上面第一个就是它公布了一个非常复杂的配置表它的电池包容量电机的配置还有一些这个自动驾驶辅助的这些系统这三个比较主打的这个点啊
[00:13:47] 它就搞出了好多个等级然后互相还有排列组合再加上有很多细节的科技配置都是选装的就是很多人看完发布会我要去订车的时候我都搞不清楚应该怎么选
[00:13:57] 但与这个配置相关的就是价格因为消费者研究了半天发现这个车打的是非常高端的这样一个旗号结果它的这个起步版的这个配置别说是科技豪华这些词了连一些很基础的配置比如说ACC自适应巡航都不是标配的就连一些就是三四年前的量产的一些传统的燃油车都比不上但如果你要装上那些之前宣传单里边核心的高科技的配置的话你这个车价就一下子变得很高了
[00:14:24] 这就引发了很多小鹏潜在消费者的一个很大的不满结果就是小鹏的董事长何小鹏紧急地开了一个会然后在48小时之后就修改了这个车的价格表和配置表而且还向大家道歉了没错然后我们看到什么呢就是在10月和11月也就是G9正式开始完整交付的这两个月份小鹏的单月的总销量只有四五千辆同比是跌了一大半
[00:14:50] 那等于是说这个道歉也是没有用的然后修改配置表和修改价格表也是没有用的整个旗舰车型本来是一个开门红结果变成了一个真正的开门黑确实是开门黑而且这个事情呢是完全出乎于小鹏这个公司以及何小鹏本人预料的要知道小鹏原本给2022年定的目标是冲击销量是20万辆给极久定的目标呢是要剑指奥迪Q5意思也就是说他这个单月的销量要过万的
[00:15:17] 现在看来的话这两个目标都只能留给2023年看看能不能努力一把了所以这个问题就是为什么在一个旗舰车型上一个这么看上去优秀的公司会搞砸呢简单总结的话主要有两点第一个是产品层面就是急救的这个问题表面是一个定价的失败核心的话其实是一个定位的失败也就是说这辆车被赋予了太多的需求就像我们刚才讲的它又被要求要走量所以它得有一些便宜的起步车型
[00:15:46] 然后它又被要求要高端那么高端的方法就是要走科技的一些新配置的路线核心就是国内它比较先进的自动驾驶的一些系统还有一个超快充的系统这个东西其实对成本的压力就很大第三小朋友还希望这个车能够赚钱能够提升毛利率所以是它要是一辆既受大众欢迎又是高端的还要有利润空间的车没错
[00:16:14] 那这些目标在实际操作当中就充满了一些互相的矛盾因为你为了利润就要把一些科技配置做成选配不能是标配了但这样的话在乞丐版的车型上面这个科技感就体现不出来了所以你这个高端就显不出来但你为了高端的它的起售价又不能太低所以就会出现我们刚才讲的这样一个非常复杂的混乱的一个定价的体系而产品这个层面背后的呢就是第二层就是这个组织价格的问题就为什么会出现这个产品其实跟它的组织有关
[00:16:42] 小鹏这个技久啊他犯的其实是一个传统车企经常犯的问题你想想看在过去的这个传统车型里面你是不是也经常能看到那种非常复杂的配置甚至那些车型的名字都非常复杂层出不穷的高价格的选配然后这个车他们也会说自己又定位于家庭又定位于高端还要定位于年轻人总之就是一个非常模糊的一个产品
[00:17:08] 总之就是一些既要又要还要的产品没错那为什么会出现这种情况呢就是因为公司内部不同的部门他们有自己的一个需求然后他们各自因为自身的需求和目标互相拉扯妥协博弈最后就出来这么一个车我觉得可能不光是车企可能在所有的大公司里面只要你条块分明了或者说你的部门足够大了都会出现这个问题那这个问题到底有没有解决办法至少小鹏肯定是希望要解决的吧
[00:17:36] 所以我们在最近的第三季度的业绩电话会上面就看到何小鹏公布了一个很大规模的组织架构的调整其中有个重点就是除了他过去像研发制造销售市场这些垂直的部门以外还要有一个横向的架构比如说一个车型平台就要有一个在高层的一个横向的组织就要从头到尾的负责这个平台上的产品
[00:18:03] 这个车型上面的所有的研发制造供应啊这些他都要管就是所谓的条块结合或者说一种什么矩阵型的一个组织结构了有点这个意思其实现在你可以看到很多个造车新势力都在做这种组织架构的调整其实也很简单就是要更多的要从一个产品本身来出发来规划和部署自己的工作那在这个组织架构的背后呢我觉得其实还有第三层的一个问题
[00:18:29] 就是小鹏要到底如何定义自己这个品牌以及他自己的强项是什么
[00:18:34] 比如特斯拉现在很明确就是它的品牌力和成本控制能力那未来呢在它的品牌端它的服务是一个很突出的一个标签那理想呢它的这个产品定位非常的清晰小鹏其实之前主打的是自己的自动驾驶是科技这个点但是他现在似乎还不清楚如何把这个科技这个点真正的兑现到市场的表现或者说兑现到消费者实际需要的一种体验那这个其实考验的是顶层的一个战略了
[00:19:01] 所以从这点来看小鹏其实不算是一个典型的诗意大公司因为他还在学习如何成为一个真正的大公司好 讲完了腾讯和小鹏那我们进入第三家公司就是复兴今年10月中旬复兴集团其实宣布了一笔大交易就是以160亿元的价格卖出持有的南京钢铁集团60%的股份我们之后就叫这个公司叫南钢
[00:19:29] 这个南钢的买家是国内的另一个钢铁巨头叫沙钢那拿下南钢以后呢沙钢和南钢两家公司合计的粗钢产量可以达到全国第二仅次于宝钢是一个非常高的水平了这个点其实我还是第一次听还蛮新鲜的因为复兴嘛经常被称为一个小的伯克希尔哈萨维也就是巴菲特那个公司具体而言它就是一个以保险资金为基础然后做很多对外投资的公司
[00:19:56] 那这个复兴的对外投资里面其实大家关注比较多的都是像医药啊地产啊文旅这些比较热门的行业好像蛮少会提到他在钢铁这块的布局的没想到有这么大一个资产嗯
[00:20:08] 要说起来的话南钢其实可能是复兴最重视一笔长期投资这60%的南钢的股份呢复兴是从2003年就开始持有了属于这个公司压箱底的资产了包括拿下南钢之后的几年呢复兴其实都在以它为核心或者一个操作的模板来加注钢铁行业当然随着复兴后期的整体规模变得非常的大然后它的投资策略也有了变化这些钢铁类的资产对于复兴的业绩贡献率呢其实也有下降
[00:20:38] 但是在这个时候选择出售南刚可能意味着父亲确实遇到了一点麻烦
[00:20:43] 在整个交易里面也有一个细节就是买方沙冈在这个交易达成之前就向复兴交纳了总计80亿元的诚意金也就是说这个收购的价格里面一半都是预付的哇50%的预付款80亿满满的这个诚意满满的诚意那算上南钢这笔最大的交易的话复兴全年它靠着减持或者出售各类的公司股份实际上是拿回了接近400亿元的资金
[00:21:11] 这里面也包括了复兴系里面比较重要的几家子公司比如说青岛啤酒复兴医药复兴旅文和育言商城他们都遭到了五公司的减持讲到这里的话其实就清楚了我们今年把它选到世纪大公司里面来就是因为复兴在这一年里面抛售了很多的核心的资产那我们接下来就要问了这么着急的卖资产来套现到底是出了什么问题呢
[00:21:36] 要说的话就是这两年国内大公司一个主旋律就是所谓的债务压力这个信号最早是国际的评级机构穆迪在8月底发出来的当时穆迪是下调了复兴国际的评级他表示未来6至12个月内复兴国际的境内外债务到期的规模是很大的之后呢市场就有一些未经证实的传闻说复兴的总负债规模有6500亿之多那这个量级听起来就不是一个能解决的问题
[00:22:05] 就是6500亿是不是有点太夸张了是有点夸张在复兴国际的2022年中报里面如果你只看资产负债表里面的大数是有这么多的但是复兴的资产核心其实是保险和资管业务那这两块业务的所谓负债呢基本都是客户放在你这里的投资款这个部分加起来就有4300亿它不是所谓真正的负债那去掉这部分就剩下是2100亿所谓真正的负债
[00:22:34] 其中有47%左右是一年内要还的负债再加上一些利息的支出的话年内的话复兴相当于要偿还1237亿左右的债务你要是放在一般公司的话这个1237亿也够恐怖的了不过复兴毕竟是个很大的公司而且它的现金就比较充裕再加上这些抛售的资产的话感觉也可以应付但是我还是有点疑惑就是连复兴医药这么核心的子公司它都要减持
[00:23:02] 是不是里面也说明了一些问题其实最近一段时间不少地方的新冠疫情都比较猛烈这个对于复星医药来说是大的利好比如说现在有点紧俏这个抗原复星医药的产能就是国内比较大的一家
[00:23:17] 另外复兴医药在年中还拿下了国产新冠口服药加阿兹夫定的一个独家商业化合作一旦这个药开售呢其实也有明确的收益这其中呢反而是复兴此前投入最多的疫苗也是复必泰这个进展是比较缓慢的复兴医药有段时间被叫做疫苗股嘛这就是因为它的股价变化和疫苗的进展是强相关的这个复必泰我们简单回顾一下它其实是用MRA技术的一个新冠的疫苗嘛
[00:23:44] 然后2020年的3月复星医药就和这个疫苗的德国研发团队BioNTech签了一个合作协议来负责这个疫苗的开发和商业化那么2021年的时候复星医药已经在港澳台三个地区总共卖出了2200万剂的复必泰的疫苗成为了复星医药当年销售额超过10亿的三个单品之一
[00:24:08] 但是在中国内地呢复必泰目前似乎还卡在临床试验的这样一个阶段这个显然是消磨了投资者的信心当然目前BioNTech对于复星医药的贡献除了这些区域性的销售还包括投资的回报因为复星医药同时还买了一些BioNTech自己的股票在2020年和2021年这些股票累计带来的投资收益就是有22亿元以上
[00:24:34] 这也可以被看作是复兴模式的一个优势就是它是同时在运作实业和做投资就身段比较灵活但是他们做复必泰这个业务的话显然通过股权投资来赚取财务收益肯定不是一个主要的目标当然我们个人的看法是当前的局势下面你要让疫苗变成一个真正全民可用的物资而不单是一笔单纯的投资可能是一个更加有价值的事情没错
[00:24:59] 最后说一句其实像复兴这种所谓民营背景的金融控股集团这两年在中国已经是凤毛麟角了它之前有像明天系海航系安邦系华信系中值系宝能系这些公司集团都因为各种各样的原因已经退出了市场舞台复兴能够坚持到现在我们从商业上分析来说的话很大原因就是前面说的所谓身段灵活因为它在医药这种比较受重视的领域有着非常深入的布局
[00:25:29] 当然投资也做不错而长期来看呢复兴到底会不会调整它这个所谓多元化发展思路会不会进一步的介入实业的运作而在投资方面低调形式可能就要看它如何化解以前的这种债务危机
[00:25:45] 复兴我们就讲到这里然后进入到第四家市益大公司是小米小米这家公司其实很神奇因为它今年入选了我们第一财经杂志的金字招牌榜单但是现在我们又把它列到了市益大公司里面这其实也体现了这家公司这几年比较纠结的状态确实是一方面它还是有独特的一个品牌影响力这也是为什么小米在这次的金字招牌里面其实是获得了家电类的第一名
[00:26:13] 另一方面它的主业就是手机又遭遇了非常大的挑战它的核心的财务数字也下滑的挺严重的还有就是它现在整个公司寄予厚望的汽车项目要到2023年甚至2024年才能逐渐的见风小到现在还有很多的不确定因素所以说我们把小米放进11大公司主要原因还是因为手机业务的下滑了没错我们来看一下核心的经营数字2022年第三季度小米的总营收是704.7亿元
[00:26:42] 同比下滑是9.7%然后经营利润是21.2亿元只有去年同期的四成这个下滑就比较厉害了那其中智能手机的出货量呢是4390万台平均售价1058.2元这两个核心的经营数字也都是同比下降的而智能手机呢现在还占小米总营收的六成以上仍然是它最重要的一个业务你就可以理解它为什么会跌得比较厉害了
[00:27:08] 如果你看2019年至今小米业绩可能会觉得说我们对于2022年这个下行是不是反应过度了因为2020年和21年全球的疫情都很严重手机出货量都整体在下降在这个背景下小米其实是逆势增长的只不过是到今年才有些下滑
[00:27:26] 那其实啊前两年的上升比较重要的因素还是因为国内有华为这些品牌芯片断供的原因一度是让出了很大一块的高端市场小米是抓住了这个机会那这是市场的一个表象嘛但是实际上从2019年起小米就自己也出现了所谓出货量瓶颈的问题对其实2019年小米就已经入选过我们的这个失忆大公司的名单那时候我们看到的一个基本问题是
[00:27:54] 像华为苹果这些高端手机的这个产品对小米是产生了很大的压力因为小米此前是靠极致的性价比来赢得市场的嘛但是智能手机这个市场迅速饱和之后小米就一直想要通过高端化来拓展自己的这个市场空间但这条路呢就走的不是很顺那现在到了2022年我们就看到这个问题基本上没有什么解决啊五年前小米在3000元以上的市场能够凭借MIX这样的机型打开局面
[00:28:22] 但是像今年12S这样的高端品牌呢就没有体现出当年这种热度了当然这个当初也有缺心之类的问题啊没错那这个就是现在小米智能手机业务的瓶颈之一那瓶颈之二的话呢其实是海外的业务
[00:28:36] 从2015年开始小米就在印度市场大力的突破这个其实是它手机出货量能够突破一个天花板的重要的一个原因但是在当今的局势下面印度市场对于中国的手机品牌就不是那么友好了今年一个标志性的事件就是印度的执法部门冻结了小米约合48亿元人民币的一个资产理由是它涉嫌逃税
[00:28:58] 这个事情本身我们先不讲但是这种趋势其实是比较明显的比如说vivo华为也被印度的相关的机构以类似的名义调查过一些中国的APP在印度也遭遇过审查包括一些制造业的投资比如说开厂也遭遇了很多阻碍总而言之就是中国企业在印度现在做生意没有以前那么容易了对要知道2017年的时候雷军还说要在5年内在印度花10亿美元投资100家初创公司
[00:29:26] 在印度建立一个像中国一样的小米生态链但是最近小米还传出传言
[00:29:55] 熬或者说是坚持可能是现在小米在主页里边的一个唯一的办法因为这个存量市场实在是太红海了竞争对手都太强大了你其实很难找到一个明确的突破口
[00:30:08] 话说起来啊就说到熬就在我们录音之前正好看到了一个新闻就是国内的几家媒体报道说小米正在大规模的裁员小米是否认了这样一个传言啊但是其实我们能看到整个小米的状态是在一个过灯的小米现在大家还认为比较值得期待的部分呢就是它所谓在汽车业务上的那个突破嘛但是好像最近又没有什么声音了
[00:30:31] 现在我们了解的一些情况是明年你可能可以在发布会或者展厅里面看到小米牌的汽车了但是你在路上大规模的出现或者是你自己能够去开到它有可能还是在2024年但那个时候呢中国的新能源车市场已经不是一个只有20%占有率的一个还在增长的一个利基市场了而是变成整个汽车的一个主战场了
[00:30:54] 之前我们看到有很多报道会说小米造车受到阻碍或者进展不顺利等等的其实你看它从2021年公布这个消息到2024年如果大规模的交付的话其实这个速度不算慢的了只不过这三年正好是新能源车这个蛋糕大幅增长然后重新洗牌的一个过程所以小米有可能给人感觉比较晚但它想要复制在智能手机时期靠性价比打江山的故事呢在汽车业也不是那么的容易
[00:31:21] 那它真正有明确优势的地方可能还是手机时期积累的渠道和品牌的资源至于这些资源到底能不能转化成汽车市场的突破口我们就要静观其变了
[00:31:37] 好 讲完前四家公司的话我们进入这个2022年失忆大公司国内片的最后一家就是荣创如果有人还记得的话2021年我们国内失忆大公司的第一名选的是恒大虽然今年恒大一直在保交楼而且确实把车搞出来了但是还是一度出现了许家印跳楼的这个表演实际上国内的房企今年上半年普遍压力都很大像行业里的好学生比如说龙虎以及像今天要讲的荣创都出了问题
[00:32:06] 融创的话大家比较熟悉的有可能是他的老板孙宏斌跟许家印一样也是一个比较出名的企业家他先后是接盘过绿城联想乐视万达长实和泛海等等很多公司的资产所以也被认为是行业里最后一个白衣骑士或者说是最大的接盘侠那成为其他企业旧级的第一选择一方面是因为孙宏斌这个人的性格比较感性有一点所谓仗义输财的意思
[00:32:34] 另外一方面也是因为融创这个公司是头部的房企而且它之前的运营状况本身是不差的我们来看一下公司没有受到疫情影响的2019年的业绩当年融创的整体收入是2936.9亿元其中物业开发收入大概是2169亿2000多亿是一个很高的水平的在房企里面那利润方面扣除掉合计收益以及摊销、乐视的亏损
[00:33:02] 对汇之类的损失等等影响以后归属到母公司的核心净利润是270.7亿元这个水平相当于一个12%以上的净利润率还是比较可观的但是这个是2019年的水平吧这个新冠疫情还有三道红线之后一切都不一样了吧确实因为融创的发展策略跟绝大多数的大型房企都是差不多的他们都在追求所谓的高出转率和高杠杆率
[00:33:31] 那疫情呢就会影响周转率三道红线呢就会制约杠杆率这个公司的日子一下就很难过了所以从2021年的下半年开始呢融创整个就进入到了收缩主业权力还债的一个节奏这个主旋律一直延续到了2022年融创实际上出现了一些实质性的债务违约以及多支债权寻求展期也就是想要推迟还款的日期
[00:33:55] 直到前不久的12月9号荣创才终于公布了自己的2021年全年业绩以及境内外债务重组的一个初步方案其实这个债务重组的核心意思就是现有的债已经没有可能完全按时还掉了所以公司干脆跟债情人商量一个怎么延期或者是怎么样的方式少还一点的一个方案那债务重组这个部分我们先放一放看一下这个迟到的这份2021年的年报
[00:34:23] 当年融创的收入是萎缩到了2000亿元以内而且它的毛利率就转负了整体的亏损是382.6亿元从盈利到亏损很大一部分原因就是它有约520亿元的资产集体减值这里面包括了文旅城的减值波贝出售了贝壳的股票以及处理一些地产项目带来的投资损失
[00:34:47] 那在年报里面披露的另一组数据是截至2021年底荣创手上有权益土地的储备是1.6亿平方米据说多数是在一二线城市而这些土地的货值大概是1.77万亿那为什么说是权益呢因为荣创在这些拿地的项目里面不一定是全资参与很多是合资的项目那这里的土地储备呢很多还是公司在2021年上半年逆势买进来的
[00:35:15] 土地储备规模总量是比同期的万克还多是个很大数字的对但这些地现在还值不值1.77万亿其实就不好说了总之因为光2021年就有500多亿的资产减值所以2022年大家对你的信心还会更低这份年报里面还能看到第三组数字就是公司的短期负债和现金储备这个情况就更糟糕了
[00:35:38] 融创在2021年底面临的短期负债是2351.47亿元但是同期公司账面上的现金只有692亿而且这绝大多数还是受限的资金因为都是一些公司的周期款之类的真正可以动用的现金只有143亿跟这个负债的规模就完全不成比例
[00:36:01] 刚刚袁老师分析了这么多财报里的数字其实讲到这里边的话你也搞清楚了融创为什么在2022年能够连续出现债务违约的这个情况就是完全没钱了
[00:36:12] 单看债务违约这块来看是从5月份开始出现了第一笔境外债的违约而现在融创到期未偿付的债务有685.3亿元然后还有大概有1500多亿的债务可能会被要求提前的还款所以说融创目前最积极的其实就是推动前面说的境内外的债务展期和重组尽可能少还一点或者晚还一点
[00:36:37] 另外一方面呢它也要开始在市面上积极的筹措资金这就要真的靠买资产毕竟它还有这个1.6万亿平米的土地的储备嘛多少还是有些家底可以卖的今年融创确实也卖出去一些项目在这里面我觉得最有意思的就是位于上海和新区的董家渡项目
[00:36:56] 董家渡项目正好就是2019年泛海自己遇到流动性危机的时候荣创从泛海手上接下来的项目之一而当荣创自己遇到问题的时候他也还是用这个项目来引入来自中信信托和华融资产的大概有120亿的资金可见一线城市最好的第一块价值还是很坚挺的但是这类项目本身也是所谓锋芒麟角而荣创已经把唯一一次机会又用掉了
[00:37:22] 讲到这里的话我们把融创现在的这个债务危机的面貌给描述了一下那最后我们其实可以顺着公开披露的一些销售的数据再来推测一下融创2022年的整体的情况这个情况就是不容乐观因为今年前11个月里面融创的全口径合同销售额只有1611亿元这个水平是缩水到了以前之前的三分之一不到包括它销售的这些房子每月的销售单价也在下滑
[00:37:51] 也就是所谓的量价起跌这个确实是非常严峻了因为住宅的销售收入是房企最最重要的一个镜像如果你现在这个部分都无法保证的话你拿地和投资就无从谈起同时你还有这么多的债务等于你只能靠直接的融资或者是变卖资产来过活了其实在讨论融创的现状时候很多人都会提到孙宏斌之前创立的另一家房企叫顺池
[00:38:16] 顺池是一家以天津为主要发展地的公司是多年前一度发展得特别快甚至敢于叫板万科但是后来也是因为向政策调控市场陡然变冷顺池的资金链就很快断裂了最后是以贱卖收场的目前整个市场对于融创的信心可能比当年的顺池要好一点但是对于孙宏斌本人而言这个可能属于一种好了伤疤忘了疼的重蹈覆辙着实让人有点遗憾
[00:38:44] 好到这里的话我们就把2022年度失忆大公司国内篇的五家公司都分析完了再报一遍他们的名字啊他们分别是腾讯小鹏复兴小米和融创
[00:38:58] 没错那好在
