Vol.66 儿童餐玩具的魔法
[00:06:51] 对于麦当劳来说往每份开心乐园餐里面都塞一个玩具这件事情呢就让他从数量值上面成为了全球最大的玩具渠道商可能也没有之一啦纽约时报在2001年的一篇报道的开头就写了每年麦当劳会在全球发放15亿个玩具比玩具业的巨头海之宝和美泰都要多15亿个什么概念啊就我们查了一下
[00:07:16] 2020年全球14岁以下的儿童规模是19.77亿就是如果麦当劳现在出玩具能够比2001年稍微勤快一点的话完全可以做到每年全球小朋友人手一个麦当劳的新玩具这就进到我们想聊的第二个话题了麦当劳成为全球最大的玩具渠道商以后他会怎么样影响玩具这个生意他如何决定往这个纸盒子里面放什么玩具什么时候放进去
[00:07:42] 它和整个上游产业是什么样的关系这就是一个复杂的工程了玩具业其实是一个非常非常传统的产业
[00:08:12] 查了一下2021年乐高的营收组合成人民币超过了520亿元当然啊对于像麦当劳肯德基这样的所谓玩具渠道商来说他们不是为了卖玩具赚钱嘛他们靠的是与玩具搭设的餐点来赚钱那玩具的成本某种程度上就可以视作一笔营销的费用但他们对于这笔费用怎么花怎么能够撬动更大的这个餐饮的业绩是很在意的那这个就涉及到如何来调动一些上游的环节了
[00:08:39] 我们可以简单地把玩具到达门店之前的步骤拆成三个大的部分首先是IP比如说肯德基要推可达亚肯定要跟宝可梦签一个IP合作的协议其次就是开发设计根据这个IP形象做出合适的玩具这个可达亚要怎么动最后是制造在工厂做出一个正常能够放出来搁手可以正常摆的一个可达亚并且把成本控制在一个合理的范围内
[00:09:03] 另外其实还有个更靠前的环节就是所谓的趋势预判这个机构跟潘通每年会预测分析夏年的流行色一样麦当劳也有一个叫麦当劳全球玩具研究室的一个机构它会提前18个月根据几家长期合作伙伴的一个建议以及市场调研机构提供的一些玩具流行趋势来罗列出至少30个主题交给麦当劳的各个市场来选择
[00:09:27] 如何预测流行而且要提前18个月预测出来这个还是一个非常非常有意思的话题希望以后我们有机会能够展开讲讲对然后我们就回到IP合作这个话题上其实在1979年也是Manu Rona出现的那一年麦当劳就有了第一个重要的IP合作方就是帕拉蒙影业当时正逢星际名行的第一部电影星际名行无限太空上影非常好看
[00:09:51] 帕拉蒙呢想为这个影片上映制造一些热度就选择跟麦当劳合作把当时的开心乐圆餐的包装盒换成了星际民航主题
[00:09:59] 而且在里面随机附赠了一些像对讲机模型和奇类游戏之类的小玩具到了1987年麦当劳又跟迪士尼签约了这个又是一个里程碑式的事件因为那个阶段的迪士尼就在一个复苏的上升期小美人与阿拉丁和狮子王这些经典的作品都是在这个时代诞生的相信这个玩具你就知道会很受追捧了双方的合作在2008年曾经一度终止过但是在2018年又重新签约了
[00:10:26] 除了影视公司之外游戏公司也是IP合作的一个重头现在肯德基的可达亚这么火其实更早一点的时候任天堂主要是和麦当劳来合作的像宝可梦超级玛里奥这些群众基础很大的IP都出过麦当劳的玩具有一家叫Wikimili的机构它就根据一些上市公司的财务数据以及一些第三方的数据统计出了全球最赚钱的50个IP精灵宝可梦就是第一名
[00:10:53] 它在2021年的收入达到了1000亿美元不得不说美国人真的是超级超级喜欢宝可梦对的在台湾IP之后麦当劳会倾向于找一家有纵向一体化能力的服务商来提供一个整体解决方案什么叫纵向一体化呢麦当劳在全球市场有几家长期合作的玩具开发企业其中一家叫TMS它本身就是全球最大的玩具设计制造商它可以提供从创意到生产的一条龙服务就是完全在外包
[00:11:22] TMS有一个副总裁之前在接受采访时就表示过每年TMS可以开发出300多种不同的玩具而且他们自己手上就有包括环球影业皮克斯迪士尼在内多达40个品牌的IP授权此外他们又有很强的自主开发IP的能力也就是说找TMS这样的公司合作麦当劳奥本身要做的事情就很少了他只要就是预判一下趋势
[00:11:44] 大部分的工作都外包出去了所谓的最主要的渠道商其实做事情的主要都是TMS这样的公司对的但是像乙方这么大包大揽的话任务量就会很重麦当劳之前在全球范围有过另一家类似TMS的合作商叫Creator他一度设计了麦当劳全球大概一半左右的玩具他有一名负责设计过开心乐园餐玩具的前员工在Core上写过一个帖子来描述自己的日常工作
[00:12:11] 他说过去十几年里面很多麦当劳的玩具都是先用3D建模然后用3D打印机做出一个圆形然后去微调再去工厂里面开模做大规模生产的他自家车库里面有一大堆玩具的圆形很多跟最终上市的版本就非常接近了但是只是略略有一点点不同另外呢Creator在澳洲的办公室有一个巨大的仓库里面存了35年量级的全球麦当劳玩具有些甚至连包装都没有打开过
[00:12:38] 整个就是一个小朋友快乐屋的概念我感觉他写这个帖子并不是为了介绍他的日常工作就是为了炫耀这些仓库对完全是为了炫耀但是要真的走到生产环境就没有什么快乐可言了大家可能知道中国是全世界非常重要的一个玩具加工大国但是这个规模也是建立在当年有廉价劳动力的基础上
[00:12:58] 整个加工环节的平均利润率呢非常低大概就是10%而Creator当时为一个麦当劳玩具设定了最低的一个制造成本可以提到0.02澳元只合成人民币就是不到一毛钱然后其中一半的费用还要用在玩具的涂装上就是它的那个颜色上面
[00:13:17] 可知其他环节的成本要压到多低才行确实就是塑料小玩具在我们的直观概念里边就是一个毛利和净利应该都很低的一个产品就是走超级薄利多销的一个概念对的而且这两年随着用工原材料还有检测成本都显著上升原本集中在珠三角和长三角的很多玩具厂就很早就开始向东南亚国家去转移产业了比如说越南因为这些地方成本更低当然这个也很大程度上是靠压榨出来的
[00:13:46] 我找到过一篇2005年福布斯的报道他当时报道了越南一家生产麦当劳开心乐园餐的玩具的玩具厂然后我当时通过一些激烈的沟通整个工厂的员工的时薪涨到了2750越南盾然后当时的汇率大概是1块4人民币就是一小时的时薪这次我们还查到一个2022年1月下旬的新闻来自广州的罗港海关新闻本身就只有一句话
[00:14:12] 近日罗港海关加急完成金拱门括号中国有限公司自新加坡进口的1290箱静态塑胶玩具抽样查验工作保障其新春促销活动如期开展辛苦萧老师读了这么长一句话但是这个信息还是挺大的也就是说原本为麦当劳生产了大量玩具的中国现在已经从一个原产国变成一个进口国了
[00:14:37] 也许在未来东南亚制造很可能变成一个涉及全行业或者说非常重要的一个制造业趋势前面我们讲了很多麦当劳但其实这期的由头是肯德基所以我们还是说回肯德基这个品牌在可达亚之前其实肯德基还有过一次很出圈的玩具营销就是2022年年初和泡泡马特的一个合作当时跟肯德基套餐搭配这个泡泡马特的迪莫玩具有7款是以盲盒的形式随机发放的
[00:15:05] 其中有七十二分之一的概率会出现隐藏款但是一家肯德基门店只有36个淘餐配额也就是说你平均吃两家店才可能出现一个隐藏款而这个平均其实是没有同一家的概率的根本没有可能的平均这个当然就引发了消费者会浪费食物以及出现了一些带吃服务之类的乱象最后是被中国消费者协会点名批评了算是一个有点负面的出权
[00:15:30] 当然一定要说的话这次合作里面受质比较多的其实还是泡泡马特因为盲盒这种玩法本身就一直会有挺多人来争议它但是肯德基会选择和泡泡马特合作这件事情本身还是蛮有意思的就像我们前面说的肯德基和麦当劳的话一般会找那种IP很强但是产品生产能力比较
[00:15:50] 弱的那种机构来合作IP比如我们前面提到的国外的话有饮食公司和游戏公司国内的话他们也合作过像上影厂这种老字号但是泡泡马特不太一样它就是算那种有一点纵向一体化能力的公司因为像Demo这个IP的话是公司自己掌握的设计和制造的环节也可控而且还有肯德基很重视一个
[00:16:11] 标签就是潮流化这个我们可以晚点再提一下感觉这个就和前面那些动画影视公司合作不太一样那个有可能更像是IP合作然后这个的话如果生产IP全都是泡泡马特来管的话就更像是一个联名的感觉了这个也涉及到肯德基和麦当劳这两年在中国市场的一些变化了
[00:16:31] 大家可能知道中国的肯德基必胜客和小肥扬是同一个公司的这个公司叫百胜中国这家公司还有很多的品牌百胜中国也是从百胜全球拆分出来一个现在是一个独立上市的公司了而麦当劳是在2017年把自己在中国内地和香港的20年经营权卖给了中信集团所以现在麦当劳的中国公司就是前面下的是读过的那个叫金拱门括号中国有限公司简而言之就是肯德基和麦当劳这两个品牌在中国都已经是本土公司了
[00:17:01] 而这个条件的主要目的就是所谓的本土化和品牌的换新我觉得这两件事好像永远都可以做下去没错那个儿童餐玩具呢其实就属于那种要被换新的东西因为过去那种玩具以及小朋友在麦当劳里面过生日的回忆呢已经是上个年代的事情了上个年代这个年代这个词有点难受了那么换成上个阶段好吧好不了太多反正这些记忆呢已经是上个阶段的品牌印象了这个确实是需要一些创新
[00:17:29] 其实如果单从玩具本身的创新来说麦当劳和肯德基的很多玩具一度是走在时代前列的比如说1998年的时候麦当劳就曾经推出过蜂蜜意识的电子宠物玩具但后来还重新售卖过好像有一段时间2013年麦当劳还曾经在美国尝试推出电子树不是实体树是电子树然后包括可达这种会动和有声的互动型玩具其实也不是稀奇的
[00:17:54] 很多年前在小黄人玩具里面就做到过而且当时小黄人玩具也是因为这个事情变成了一个很热销的东西当然玩具的创新升级在整个快餐品牌的策略里面还是一个比较小的部分是属于衍生品开发当中的一个门类衍生品开发就是一个很大的门类了我们找到了百声中国企划副总监钟芳华他之前在参加行业活动时候的一次发言
[00:18:19] 他提到了肯德基在2015年到2016年重新确定了品牌方向以后做了一系列调整但其中最重要的调整是门店的设计和品牌的创新就是一个更简洁清爽的肯德基门店以及各式各样的本土化新品然后在IP合作方面总体会做得更泛滑比如说他们会跟明星团体影视剧综艺甚至脱口秀还有各种各样的文化IP都有合作这个就已经超越了玩具常规能够覆盖的一个范围了
[00:18:46] 没错我们也看了一下肯德基从2014年开始推出的各类联名活动啊就是我们这个联名是比较宽泛的概念以及相应的一些衍生品其中有礼品卡咖啡杯笔记本收银小票包装袋主题店联名海报主题餐厅游戏周边等等等等
[00:19:05] 就像前面说的完全脱离了传统的一个玩具的范畴也跟儿童餐这个背景是有点远离的了
[00:19:34] 不过另一方面也不是说麦当劳和肯德基就完全抛弃了过去一套玩具的打法这两个品牌还是有一个优势也就是小时候吃他们儿童餐的这一批消费者现在可能还是在吃四件套或者一加一的套餐品牌的忠诚度并没有流失只要有这个基础在的话就可以用一些经典的IP去打我们前面提到的所谓怀旧牌
[00:19:55] 为了让中国在2015年披露过一个数据是他们在中国销量最大的五款玩具分别是小黄人Hello Kitty樱桃小丸子哆啦A梦和海绵宝宝
[00:20:07] 年代越来越往前面靠了怎么说呢无一例外都是经典形象对吧这个当然也可以让他们不受时机限制反复出现又可以影响到那些容易怀旧的成年人精灵宝可梦当然也属于这一类的没错你像前段时间麦当劳针对肯德基想出来的儿童节的反击活动不就是那个传说中的联名款小霸王游戏机吗不过最后好像也没有真的大规模推上市
[00:20:31] 从这个角度来看的话其实两家公司
[00:20:59] 其实不管是怀旧还是潮流还有一个同样的归宿就是收藏界在美国的话有一个民间自发组建起来的麦当劳收藏家俱乐部有一些珍稀款玩具比如说一个2000年版的毛绒小熊也可以在拍卖网站上面卖到400美元以上当然国内像可达亚这种这么快就被炒起来的玩具可能在美国人看来也是比较罕见的吧
[00:21:22] 那我们确实比较擅长迅速的炒活一个非常新的玩偶当然也可能很好地解释了就是肯德基为什么会选择跟泡泡马特合作就是搞潮玩和收藏人家才是专业的如果真的想从收藏的角度来看待这些玩具的话可能会发现只有很少一部分是真正具备收藏价值的它取决于玩具的年代发行总量地点还要看你能否找到秩序相同的买家来互通有无
[00:21:49] 这跟任何一个收藏品市场都是一样的流动性才能产生更高的一个价值
[00:21:55] 最后我们再稍微花一点时间来聊一下儿童餐和儿童餐玩具的未来
[00:22:24] 到2021年麦当劳其实也进一步宣布了这个公司在全球到2025年之前要大幅度减少玩具里面的塑料使用情况他们会引入更多的纸板玩具毛绒玩具或者一些植物基塑料以及回收塑料材质的玩具他最终目的是想把原生塑料的使用比例削减90%真的是对塑料非常的嗤之以鼻了我觉得这些都是一些
[00:22:48] 感受环保时髦的一些举动为了表现自己环保的时候就把塑料拿出来当一个靶子用这个大家可以去听一下我们之前讲过一些跟吸管相关的节目说回来其实在2011年就是肯德基在澳洲有一个举动其实是更厉害一点他比较像革自己的命
[00:23:07] 当年澳洲的肯德基已经决定了说我要在儿童餐里面停止负责玩具就不管什么材料的就彻底停止掉就是不做玩具了当地肯德基的一个企业事务负责人甚至说我们希望这个举动能让家长为孩子选择更负责任的餐食而不会受到随餐玩具的影响这话说的没有玩具我就能从肯德基里面选出健康饮食了吗这个想的也太好了当然这个也是目前儿童餐和玩具所面临的一个尴尬的境地
[00:23:36] 过去很长一段时间里面企业和消费者都很吃这套营销思路你情我愿地把一个快餐品牌变成一个玩具大户业绩也快速地增长了但是到了现在父母呢希望小孩子吃得健康一点企业呢又要社会责任这个塑料玩具和快餐价值很快就被削弱了好像没有在意小朋友喜欢玩具这一点不行针对这个问题呢我们还没有看到什么很好解决方法
[00:23:59] 把玩具卖给成年人也是只能偶尔尝试几次的权益之急更加解决不了他们在儿童市场面临的问题但是如果小朋友的童年里面缺失了一些像电视剧啊明星偶像游戏和玩具这样共同的细节我觉得也是很大的遗憾尽管我们没法揣度下一代的年轻人会喜欢什么以及企业应该做什么但我们相信快乐和情感的连接永远是有价值的
[00:24:24] 即使这些价值不再以儿童餐和玩具的形式出现它也应该始终是简单动人的商业就是这样
[00:24:35] 感谢收听这一期的商业就是这样你可以在苹果播客小宇宙喜马拉雅网易云音乐QQ音乐荔枝等平台收听我们的节目微信公众号第一财经emagazine也会推送每期节目的内容如果喜欢我们欢迎你在苹果播客给我们五星好评并期待你在各个平台与我们交流尤其欢迎分享你感兴趣的话题下期见
