Vol.242 商业航天靠什么赚钱？
[00:03:19] 不管是中国还是美国都热火朝天是的说实话就刚才报这些新闻的时候就感觉气氛是到位了但你有没有觉得具体有很多细节还是比较懵的对比如说虽然是我说的但是我也不知道这个ITU是什么东西以及为什么发射卫星要向他申报然后这个事情跟这个所谓的商业航天又是什么具体的关系呢然后国内线你说的那个蓝舰他做那个火箭回收这个创业跟SpaceX做的是一回事吗
[00:03:47] SpaceX为什么它估值能这么高它到底靠什么赚钱呢我觉得就是一系列的问题你这些问题的话我觉得归根结底可以总结成一个问题就是所谓的商业航天到底是一门怎么样的生意这个有可能大家了解它很活泼大家不知道它到底是什么今天我们就试着简单的学习然后给大家勾勒一下这片星辰大海到底是什么样子这里是商业就是这样
[00:04:28] 我觉得要么就我们先解决一个基本的问题就是商业航天的商业模式到底是什么我觉得要讲这个话题的话就必须以SpaceX为标准或者是一个核心的案例了我们同事核心业在2025年写过一篇报道叫火箭回收的中国路线虽然里面讲的是中国公司的创业但里面出现最多的一家公司的名字不是中国的公司而是SpaceX
[00:04:53] 实际上就是最近十年吧基本上所有搞这个商业航天的创业公司他们的模仿和参照的对象都是SpaceX甚至我们可以说在SpaceX之前就没有一个真正的所谓商业航天的这么一个行业SpaceX这家公司的起家的故事呢我们其实在非常古早的第17期节目就是红顶商人马斯克里面提到过一些
[00:05:17] 当时我们讨论主要是聚焦在SpaceX的发展历程但是关于它到底建立起了一个什么样的商业模式这个部分其实讲的不是很多是的而且主要是因为那个时候也很早它现在的这套商业模式跟当时已经有发生了很大的变化五年就发生了这样大的变化非常大的变化不管是它的技术还是它赚钱的能力商业的核心的生意等等都变化非常多我们后面可以展开现在一句话先总结就是从我们角度来看
[00:05:42] 现在商业航天如果你图示它什么生意的话它本质上就是一个物流生意物流生意意思就是它是一个在天上飞的顺风是这个意思吗还不太一样吧但是我觉得可以这么理解怎么说呢现在商业航天公司它主要赚钱的方式就是我用火箭帮别人把他们的货物比如说卫星当然也可以是人运送到太空里面去一个特定的轨道或者目的地然后赚的就是运费就跟所有的物流公司一样都是赚的是运费
[00:06:10] SpaceX对这个行业最主要的这个贡献或者说它最大的进步呢就是它把它变成一个真正的物流生意什么意思呢就是它实现了一个核心的一个进步就是它把火箭这个交通工具变成一个可以附用的交通工具听起来是个废话但想想确实这么回事就是物流的核心是你这个船要能用很多次车要能够一直用你这个火箭开一次就抛锚了这是听上去不太对对啊或者你个船开了一次就沉掉了这个船还用来干什么是
[00:06:39] 但是在SpaceX之前其实航天就是那么个现状你想想看所有的火箭不管你发射一个卫星或者什么载人航天器或者是什么升空的探测器卫星发上去了之后这个火箭不都是烧掉或者掉在海里边或者在大极层里边燃烧掉就没有了吗它不会再复用的它就是一个一次性的一个东西但这个一次性的其实带来两个问题我们从商业上来看第一就是你单次发射的成本很高
[00:07:05] 因为你这个火箭要造这个火箭是很贵的它比那个卫星要贵很多很多那一次的成本有可能就要上亿美元甚至几亿美元第二呢就是这个发射的频次很低
[00:07:16] 因为你一次发射就要准备很久你要重新造一个火箭然后你要调试准备很多时间还要不停的找时间等等的因为你要确保它万无一失是一次性的这两个点就使得当时的火箭发射你要么就是一个非商业的行为就是一些国家的一些大的战略或者说是一些大的科研的计划等等的如果是一些商业的发射的话其实也会非常的昂贵量也会非常的少
[00:07:39] 这么说吧就是中国有一个经常会帮就是海外来做这个商业发射的一个火箭叫长征五号大家有可能听到过这个名字经常听到这个名字然后我们看到有一些报道还有一些报告里面说他基本上每次发射的这个成本是一亿美元左右这个算高吗这个数字好像里面就他评价是兼具了价格和负载能力是一个性价比比较高的方案就相比较于过去比如说美国或者欧洲那种发射来说你想想看这个还是个一次性的火箭就是一个
[00:08:05] 一次性的1亿美元的方案是一个性价比方案对那你就别的方案都比较说都夸张了是吧怪不得都用这个呢是那你在这个阶段的话你就很难说真的是一个物流生意了你想想看如果这物流的成本这么高的话那你这个生意本身得有多大的价值才能让你用得起这样一个物流的这个生意对而SpaceX所做的呢其实就是通过火箭的重复使用使得它这个单次的发射的成本大幅的下降
[00:08:31] 那我们知道现在SpaceX它主流的一个火箭叫猎鹰9号嘛它能够实现的就是这个火箭的一级助推器的反复使用这个一级助推器就是把它最主要那个把它推上去的那个如果大家知道这个阿波罗计划就是它是一段一段的嘛其实是把第一段给回收回来是这个一级助推器的话它其实占整个火箭的造价成本大概是六成所以它是最主要这一块
[00:08:54] 你可以理解为从原来一辆电动车开一次就报废到现在你开一次得换一块电池然后那个原来的电池底盘那什么就还得保留下来因为电池就在车上占四成那剩下的电动车就占六成我是这么来算的觉得听上去还是比较夸张但是比原来好一点只能负担起来了听上去是一个正常的东西因为这样一个改变使得猎鹰9号我们看到它现在单次发售的价格是6700万美元这个是他公开说的
[00:09:22] 前面几年会稍微便宜一点因为这两年有些成本的上涨等等的但你跟前面性价比已经很高的一亿美元相比甚至是那种几亿美元相比它其实是降价非常多了而且这个是对外的售价内部价可以更便宜对我们看到有些分析说它实际上单次的成本应该是在一两千万美元左右那很好然后这一次发射的话这个猎鹰9号的话它可以运营大概20吨不到的货物和它同一个载荷能力的火箭的话单次的成本都在一亿美元以上的
[00:09:51] 那等于说它是把这个东西送上天这件事情的成本就是降了一个数量级降了一个数量级而且同样重要的一个事情就是一台猎鹰火箭它一次发射完之后它可以很快的再去发射一次
[00:10:03] 这个时间大概间隔最快是21天左右这是把周转率也提上去了这点也很重要你单次这个成本和你一个单位时间里面能够发多少次这两个东西都同样重要的有了这样一个基础之后加上现在SpaceX有个20架不到的列印9号的火箭在运行的这是使得它在2025年全年这家公司发射了165次2025年全球这一年搞的火箭的轨道发射一共才搞了它的两倍它占了一半
[00:10:31] 相当于是过去那种航天机构NASA什么都很难想象的一个数字过去一年发个十几次二十多次都算一个很大的机构了现在可以搞一百多次而且还是个民营机构在做是的而且这只是第一步我们都知道SpaceX这几年最大的新闻就是它在研发下一代的重型的运载火箭叫星舰核载量更大更大而且它能够实现百分之一百的重复利用那就是真的把火箭变成汽车了就会变成一个飞机一样你飞一次回来加满油然后再飞一次对
[00:11:01] 而且它的发射频次还会更高因为它就是你都不用重新再弄一个二级啊什么的你这个火箭马上就可以再用的我觉得这里还有个问题就是比如说它每一项都有改善比如说它的单次的发射成本有改善频次有提高然后单次的核载数量也有提升这样成在一起的结果就是导致说每公斤或者是每吨的产品你放在火箭上发射它的运费其实是明显的会降低的我觉得你刚刚讲那个成在一起是非常重要的一个概念就是这几个
[00:11:28] 东西成在一起最后你得到的就是它的这个每公斤运费嘛因为我们讲物流都是讲每公斤的运费是多少空运是多少海运是多少就是我们真的从物流行业的角度来分析这个问题是的那我们可以看到就是列印九号的话实际上就是让这个太空运的每公斤的运费有可能是降到了个几千美元这样一个水平如果新建真的成功的话它实际上可以让按照马斯克的设想它会让这样一个每公斤的运费降到一两百美元或者是百美元级别
[00:11:56] 这样的话就是我们可以做个对比吧现在你从中国空运一个包裹去美国的话如果比较大的话它这个运费可能是一公斤一百多人民币相当于把这个东西送上太空也就是比这个数字再多个几倍对就相当于一个人民币和美元汇率的这样一个差别了这个就是真的达到了民用级的效果可以民用了对吧到这里简单小结一下SpaceX的核心成果呢就是它让火箭变成了一个可以重复使用的交通工具
[00:12:23] 它大幅缩减了单次发射的成本大幅提升了发射的频次又大幅提升了单次发射的核载重量这个三者的效应承载一起呢就使得用火箭把货物运到太空里变成一个商业上面可以负担的事情嗯 刘老师总结得非常清楚了但是这其实只是SpaceX商业模式的一半或者说前一半它的后一半呢才是它如今的重点也和我们开头的新闻更加息息相关
[00:12:52] 那这另一半是什么呢这个另一半呢就是星链Starlink大家应该也最近听到过就是SpaceX搞的卫星互联网就是用SpaceX扔很多通讯卫星到天上面然后地面上面可以用这个卫星来上网是这个意思吗对对对就是这个东西目前SpaceX它在这个所谓第一地球轨道上面已经有约9000颗的服务于Starlink的这个卫星了它毫无疑问就是全球最大的一个卫星互联网的这个网络
[00:13:21] 那他在商业上面对SpaceX到底有多么重要呢我们可以看一下虽然他这个SpaceX不是上市公司啊但是他有的时候会发布一些财务数据还有一些这个分析机构会做一些推测根据这些推测和他自己公布的信息呢2024年SpaceX的收入大约是130到140亿美元这个当中星链就贡献了六成而马斯克自己预计啊就和他自己就是预告说2025年的话SpaceX的收入将达到155亿美元
[00:13:49] 然后这个当中星链的贡献将达到110亿美元相当于SpaceX这个公司四分之三都是这个关联收入是的那剩下的这个四分之一是什么主要就是帮别人发这些火箭帮NASA发一点对那些就是剩下的那个部分所以说前面我们说了半天这个火箭回收其实还有个角度可以看SpaceX就是从通讯公司的角度来看是的你从收入上面甚至可以说它是个通讯公司就像我们说腾讯是个游戏公司等等那种感觉一样的
[00:14:18] 但是其实也不能这么说了就因为火箭回收和星链的这个布局你搞这么多卫星是完全是结合在一起的是一体两面的一件事情我们前面说不是猎鹰9号一年发射了165次吗这个当中实际上四分之三都是为SpaceX自己的这个星链这个卫星来发射的更加关联交易的这是自产自销对完全自产自销但你要想正是因为猎鹰9的这个运输能力这么的强
[00:14:44] 才使得SpaceX可以在这么几年里面就布局起这么大一个庞大的这个星链的网络今天我们不展开这个技术但我们可以看到过去几年SpaceX做了很多技术的改进有一个就是让猎鹰9能够越来越能装它这个载荷的能力要越来越强还有呢它自己要让这个星链的卫星变得更小更轻便就是让它一次性能够多发然后一年能够多发在此之前我们看到SpaceX的这个星链它这个卫星啊卫星这个部分是外包生产了
[00:15:11] 现在它自己生产了然后这个成本也降了很多最终就使得2025年的第二季度就SpaceX就声称说自己当季的实际的收入已经超过支出了就是实现一个正向的可以说是当季的盈利有20多亿美元但此前的话它是一直还是要保持亏损的其实是一个很典型的就是规模效应带来的一个效果而且根据SpaceX的规划就是它未来这个星链要搞多少颗它在这个低地球轨道上面最多要布大概4万颗卫星左右
[00:15:41] 理论上快要塞满整个用于通讯的这个低地球轨道了不是什么叫塞满这个中国不是还有20万个往哪里放你这个问题就是涉及到我们后面的了就直接把后面的提上来了我们到后面再讲吧后面再讲先放一下还是先把这个新链的商业结构讲完吧它为什么能够收入较100多亿美元这么大一个规模呢它现在收入主要来源是有三种第一个就是个人的用户订阅它这个网络的用户
[00:16:08] 这个是最主要的我们看到2024年底星链的这个活跃用户的数据大家都一般公认这个数据是400多万
[00:16:16] 然后2025年呢估计就会超过900万这个我具体查了一下比如说你订阅星链一个月就是订阅费这个价格呢其实在各地区是不太一样的差很多强制平均一下大概是100美元一个月左右那么这么算的话900万活跃用户差不多就是100亿美元收入是不是大概就是这么推测出来这个部分的收入是这样来的我觉得差不多了吧而且这部分未来预期会增长很快
[00:16:40] 我们知道最早的时候星链你要接触它那个互联网你要有个终端嘛那个东西还是蛮大的你像个发包机系系的现在的话看到一些新闻就是它已经和一些手机厂商合作就你这个手机可以当卫星手机现在国内不是也有一点这种新闻了吗对
[00:16:53] 但如果这个东西真的成熟了开始在手机或者智能终端上面铺开的话那你这个卫星互联网的可用性就大大扩大了你这个用户量还会很大的扩大就算你这个订阅的费用降低的话其实这个总的收入还是会增长很快而且如果跟厂商合作的话有可能他收的就不是说所谓个人用户钱他还可以再收一波厂商的钱是的那讲到这个厂商的钱其实是他现在这个心灵的第二部分收入就是航空互联网这个如果大家有飞一些国际航班的话
[00:17:19] 达美或者是阿联酋还是哪些航空反正已经有些开始用了就你飞机上的WiFi它用的就是新链的WiFi原来是这里的对而且这个收费方式主要就是它按照一架飞机一年来收就你这个飞机这一年要用我不管飞机上的人有没有用WiFi你都要付我钱对然后有报道说是几十万美元的水平那挺好的对利润率上面会更香对吧然后这块增长也很快你想多一架飞机不就多很多收入吗这个就跟传统的电信运营商没有什么差别了是的
[00:17:48] 还有跟这个类似的比如说海事等等的其实也是一样的海事上的互联网因为过去很慢海事和飞机不就是一个思路一个思路对第三块就是政府军方等等的应急的通讯需求这个有可能大家这两年比较熟悉了经常听到过其实在过去几年许多地区的战争冲突和动荡里面新链存在感都挺高的它是一种很抗风险的联网方式对就你断不了
[00:18:14] 那后面两块呢现在规模不是很大的但是它利润率比个人的用户更高而且增长很快正是因为这三块市场其实都处于一个高速增长的一个阶段所以说才会有投资机构在2025年喊出来就SpaceX有1.5万亿美元的这样一个估值感觉就是本质上在拿整个全球通讯市场这个盘子切百分之多少来给它估这个值我觉得你说的非常对因为现在全球的这个通讯网络一年就是大概2到3万亿美元这样一个水平
[00:18:42] 那他给出这个估值的话实际上我觉得跟这个规模是很相关的那再简单小结一下我们前面分析的是SpaceX现在真正的核心生意就是它的新链部分是靠什么赚钱的它的核心呢就是一方面在成本结构上面主要还是靠自家这个猎鹰9火箭的运力提升然后呢新链的价格和重量都有下降还有呢就是在收入方面在很多终端的需求上面有持续的兑现一方面是个人的需求一方面是企业的需求
[00:19:09] 那讲完了SpaceX这个行业标杆我们还是回到中国市场讲一讲这个中国路线到底是怎么追赶它的OK
[00:19:19] 开头我们不是讲到说现在全球的商业航天创业基本上都是在模仿和追赶SpaceX吗这个话基本没错但是也有一些不准确我想想因为应该说SpaceX肯定是一个标杆和领先者但是各个公司你想要去追赶它的话不一定是模仿也要寻找一些自己的差异化的优势或者说是突破口比如说我们知道贝索斯不是投资一个蓝色起源吗也是一个航天的创业公司
[00:19:45] 现在它在一些军方还有政府的这个合作领域其实就跟SpaceX有点分庭抗礼了甚至能够抢很多的订单原因就是它的这个发射的这个火箭这个方案相比较于猎鹰9猎鹰9不是高频但是价格比较低它那个方案的话会更贵一些但是它会更加强调稳健还有这个运量比较大就单次这个载荷能力比较大
[00:20:06] 对于一些不容有失的发射来说比如说美国和太空军事相关的一些卫星这个订单主要是蓝色起源拿的还有像NASA的不是有什么商用空间站的一些计划吗这些有比较多的订单也是蓝色空间拿的不过我觉得这里有一个核心的问题就是美国确实把这种它自己的航天需求大量的外包给了这些商业公司我觉得这个可能是中国和美国市场在这里面有一个根本性的不同有个根本性不同
[00:20:33] 除了这种路线以外其实还有一些比较偏的路线比如像印度其实也有很多商业航天的发射的他们都发点什么呢他们会走那种运载能力更小很小很小然后价格很便宜前面不是讲六七千万美元吗它有可能是一两千万美元甚至想要往几百万美元去它发的有可能就是很小的一些卫星这个量比较少这种路线它也会有的比如说一个卫星公司它自己制造了一两个卫星你要上一个比较大的卫星的话你要跟人家打包排队组合
[00:21:01] 你不是想发就能发的那你这样的话其实你的这个规划等等就会受影响那他就是给这种比较小的总的预算也不是很高的给你一些插队的机会对他有这种的一些方向其实大家都是针对性的去抢一些市场吧就有点像那个特斯拉在整个电动车领域确定了一个标杆以后大家其实是看特斯拉没有做什么去抢占一些他覆盖不了市场或者是他的弱点去强化自己的部分没错
[00:21:26] 那么回到中国其实逻辑上也是一样的就大体来看目前中国的商业航天公司都是希望先复制SpaceX的路线实现火箭回收然后建立卫星互联网但在这个过程当中他希望自己能够找到一些方法让自己的发射的技术或者说是商业上的性价比或者是这个方案会比SpaceX更加有竞争力他是朝这个方向去的所以说这块的进展怎么样呢我们可以根据我们同事何欣燕写的火箭回收助攻路线
[00:21:54] 那篇文章来大致的给大家回顾一下这个过程吧可以说中国的商业航天是2015年开始起步的就那一年发国外委还有一些部门一起发了一个规划首次的提出要支持和引导社会资本参与航天产业
[00:22:09] 那在这个文件出来之后呢就中国开始出现一些这个相关的创业公司了这些创始团队呢你可以想象主要就是来自于原本体制内的一些研究的体系就像火箭技术研究院本来是体制内的他们现在出来创业这个是很正常的啊而且顺便一提2015年这个时间节点也非常的有价值就是这一年的年底这个猎鹰9号是首次的实现了一级助推器的一个完整的回收其实就是有个很明确可以做的目标了是
[00:22:35] 那么现在十年过去了我们目前的进展其实开头提到了就是12月份的时候有一个商业航天的公司叫蓝舰航天它的这个朱雀三号火箭是中国首次来尝试一级助推器回收也就是类似于列印九号那个方式的一个运载火箭它第一次这个试飞呢进轨道什么都成功了最后在回收验证的过程中这个一级的助推器还是发生了一个异常的燃烧回收没有成功
[00:23:00] 但是业界对他认为就不是这个失败的一个是非认为它是一个部分成功的是非轨道的发射的目标他完成了并且呢他那个回收也不是说就完全的失败他实际上在一个很紧张的条件下面这个返回的精度还是很高的只是最后这个确实没有成功总体来说这个水平该怎么评价呢我们同时一位采访这个蓝建的副总裁刘建嘛他的说法就是认为这个是SpaceX在2010年到2012年的水平
[00:23:25] 大家如果记得的话那个时候其实他们在试验猎鹰9的时候最早的时候SpaceX还是用什么龙飞船大家有没有记得那个是一次性的然后猎鹰9那个时候还在试验回收什么的然后在2012年那个阶段有可能还是有失败等等在那个磨合的过程当中等于是还在走猎鹰9之前走过路这个是个必经的阶段对我看到大多数的评价都会认为这次最后没有回收成功其实大家也觉得比较正常不会觉得一定要一次成功或者是失败了就天塌了不是这个概念
[00:23:54] 而且它至少说明一个很重要的点就是你通过一个商业的公司来实现在中国搞火箭回收这个目标是有可能实现的
[00:24:03] 它还有一个非常重要的一个指标的意义就是它至少说明通过商业的公司或者商业的这个方式来实现在中国搞火箭回收这件事情是有可能成功的因为像就是蓝建这些创业公司他们的这个进度其实已经超过了体制内的进度了真的吗是啊他们是第一个开始试这件事情的一开始试飞了对吗这个过程当中其实我觉得核心就是一个商业的这个模式或者是商业的这个运转的方式还是提升了效率的
[00:24:30] 一方面就是你创业公司肯定是需要原本体制内的研究机构的这些技术和人才这是没问题的但是他们自己出来创业和跟体制内最大的区别就是他可以摆脱很多的束缚这方面还有什么具体的例子吗举一个例子吧这个文章本身到时候可以去看你们讲到蛮多的例子我这边举一个就是供应链的例子就一开始蓝建模仿体制内造火箭的方式但是后来发现就摩擦还是蛮多的然后进展很慢比如说在供应链这个层面
[00:24:57] 原本就是沿用一些过去体制内的一些供应商这些供应商主要是什么呢很多就是一些国企甚至是一些军工这个体系里面的你去找他们来造你的零部件就会出现什么问题呢你都没法去现场管理因为你进不去他保密对啊就是这个道理所以他们的办法就是逐步的要拓展一些民营的供应商甚至从原本航天的体系以外去找供应商比如说他们就接触了很多汽车电子的供应商这个其实也是SpaceX的一个经验就是造
[00:25:24] 汽车零部件能造火箭零部件吗确实有困难大家知道车规级和航天级还是有差别很大的根据刘健的说法这些供应商一开始的早期的产品合格率有可能有的只有30%左右但这需要一个磨合的过程慢慢你可以提升的你就要把这个要求里面的能耗都做到现在的话蓝建其实有70%的供应商都是民营的公司
[00:25:48] OK那我们假设蓝键能够比较完美的复刻这个列宁9发展一个路线比如再过十几年能达到一个像现在列宁9一样的一个水平那么他们之后的目标也是造了火箭是为什么呢就是是不是要去运那个通讯卫星对的这就是一个中长期非常重要的目标这个呢就涉及到我们一开头说的20万颗卫星的这样一个新闻了感觉我们中间是跳了太多步然后直接得到了一个结论是这样吗
[00:26:17] 我觉得还是先回到岳老师最早一连串问题里面一部分就是这个一句话新闻怎么理解就是中国一次性向ITU申报了20万颗实际上是20.3万颗卫星先解释一下什么叫向ITU申报好吗ITU是什么吧先说这个ITU就是国际电信联盟联合国下属的一个机构它就是安排谁能用某一个无线电的频段然后呢再安排哪些卫星可以发到哪个轨道上面这些事情都是它来规定的
[00:26:46] 刚刚我讲这两个点一个是无线电的频段一个是太空轨道这两个东西就是搞太空互联网或者说卫星互联网的核心的资源而且是非常稀缺的核心资源你可以理解为像是你要搞房地产的话核心的地皮就这种概念轨道我可以理解为地皮这个频谱是怎么理解为其实有点类似当然这个属于高中物理这部分我一直觉得不是很好所以我就是AI教我一下好
[00:27:11] 首先你可以理解吧就不是所有的这个无线电的频率都是可以用来远程的传通信息的这个我知道小时候调过电台的朋友都知道你只能在某些固定的位置上能听到一些东西对对对就这个意思对吧最简单的就是可见光这个频率你肯定不能远程的传输吧对只能传输光了只能对对对所以能够搞远程通讯频段是有限的对吧对频段是有限的对而且它这个在一个频段里面它能容纳的这个
[00:27:36] 设备也好这个空间也好也是有限的你不能所有人都挤在这个里面不然的话就会互相串你可以大概这么理解吗就打一个比方的话就是一条高速公路他这个车太多的话就会堵再多的话就会出车祸就这么个意思为了避免这种情况就要有ITU这样的一个组织就是来安排大家先来后到所以要搞申请申报就是这么个意思
[00:27:58] 然后就是太空轨道其实像你刚刚讲的也是同样的道理因为能够来做这个通讯的互联网的这个卫星它必须在一个轨道的范围里面来就是运转你如果太远的话什么搞到月球那边去你怎么来帮你搞通讯的对吧你这可以理解具体而言这个区域的话就是指低轨道什么叫低轨道呢就是指距离地面300到1200公里的这个区间范围里面就这一块
[00:28:22] 空间就是比飞机稍微高一些还是要高一些还是要高蛮多的其实还有更低一点就是叫静止轨道静止轨道就是你一颗卫星然后你永远在地球上的一个位置它可以覆盖半个地球理论上那为什么不用这块呢那个都已经被占满了早就被占满了那么在这个低轨道现在是它就是一个冰家的必争之地就是一个非常重要的核心的资源因为它是有限的而且它跟刚才无线电的频段是一样的它也是高速公路你多了的话你就真的会
[00:28:51] 这个塞车和撞车而且它里面有个很大的问题就是太空碎片就是你万一这个东西发上去变成一个垃圾怎么办对就因为很多有可能你发射失败这个所谓的死星对吧或者是你出现一些事故然后一些碎片出来了这个实际上是非常危险比如说像中国的那个空间站就是有曾经就紧急的避让过星链的这个卫星的这个碎片就有过这种新闻的21年据说就是现在开始大力的发展也跟那个时候的一些具体事件的触动也是有关系的
[00:29:19] 我们举一个极端的情况叫做凯茨勒综合症你听说过吗没有我也是查了才知道他就是说当一个轨道就一个空间里面的卫星过于密集到了一定程度的时候它一定会发生一件事情就是一个卫星的碎片散开来了之后打到别的卫星然后散开来出现更多的碎片然后越来越多越来越多形成连锁的反应最后整个轨道上面就全都是碎片然后就没有任何地方可以用了就感觉跟高速公路还是不一样高速公路还是这个
[00:29:47] 夜间养护一下对吧帮你扫扫垃圾是太空里面这个碎片确实是很难打理吧是它是不可逆的某种程度上如果真到了什么凯斯勒综合症这种状态大家看过一个动漫吗叫做星空清理者没有讲的就是到了太空已经很拥挤的时候专门有人要来清理太空的碎片这样的故事这个方案非常好推荐大家去看一下
[00:30:09] 回过头来说20万颗的这个新闻正是因为太空的轨道和通信的频段都是稀缺资源所以大家都要去争着去申报申请尤其是太空轨道是更加稀缺的根据很多的测算就是在合适搞卫星互联网的这个轨道的区间里面最多能够容纳的这个卫星就是这个高速公路上最多能开多少车呢6万颗那我们申请20万颗是什么意思呢这个就涉及到申报是什么概念了就申报的话更多是一种站位或者是一种规划吧
[00:30:38] 因为我们前面讲的ITU的规则是先到先得的就你先申报了然后这块地方就先留给你这个申报不是说我要发20万颗卫星那么简单它涉及到用什么频段然后在哪个轨道的什么位置发一颗什么样的卫星等等的这些东西都要申报好那就相当于他把20万颗卫星的规划都做好了都做好了做好了之后你这个ITU就要给你把这些空间留出来就是大家都要遵守这个规则别人都先不能往这个地方发了这就叫站位
[00:31:05] 但是我还是有个问题不是区间上限就6万颗吗我们做6万颗的规划不就够了吗还省一点时间呢假设说我直接喊100万颗是不是也行先解下为什么你不能想喊100万颗就喊这个问题首先在先到先的原则之下还是有很多具体的措施的它要规避你不能站着毛坑不发射对不起它有一个明确的要求我可以总结就是两个七年
[00:31:31] 你出这个规划我要发射比如说20万颗卫星对吗那它第一个7年的要求就是说你这7年里面必须要发射首颗卫星这个先到先得这个先可以有7年的长度呢它是有实现的它不是永远就给你站着的就是它不是永远的产权它是使用权7年已经很宽容了很宽容了如果你这7年里面没有发射一颗卫星的话那你这一整批申报就全都作废了而且它会对你有个就是像这个进入征信系统一样的以后你申请就会要降级了就直接往后排吧
[00:31:59] 第二个七年呢就是说你发射手心之后的七年里边这七年里面它会有一些阶段性的规划比如说手心之后的两年里面你要发射10%啊五年里面发射百分之多少啊七年发射百分之多少最后你都要完成如果你不完成的话那你要相应的作废一批的这个规划所以说这不是一个所谓简单抢了椅子就好了的游戏就是抢完以后你每年还要在这个椅子上动一动对
[00:32:24] 这东西实际上是很有代价的这个法国二印的时候他就是用卢旺达的一个机构来申请过30多万颗就不是中国才搞过这种事情就是别人先搞的看起来就是别人先搞了我们才学会了这些对然后现在过了四五年他还没有发射首颗了所以有压力的这东西不是说你说完了之后就拍屁股就走了然后好像就是纯粹的像那个什么申请一个域名申请一个专利一样的不是这个概念那还是那个问题就是为什么不能直接只做6万颗的规划就好了
[00:32:52] 你可以把这个占位的优势扩大嘛因为你这个每个都是规定好具体的这个位置啊频段什么都规制好了那你确实在这七年里面知道在这七年里面吧别人都是不能往这里面发的你可以在理论上面尽量的多占一些空间
[00:33:04] 而且我觉得更重要的一件事情就是什么
[00:33:31] 里面有19万颗左右都是一个叫做无线电创新院来申报的它实际上就是一个注册在雄安的有光泛背景的一个研究的机构科研的机构等于就是先叫牌把自己这个目标先给亮出来然后大家说我要这个目标去做事情对 我觉得叫牌这个比喻非常的准确就是这个概念因为现在目前中国在卫星互联网上的部署是很初级的它现在有两个网络一个叫千帆一个叫国网各自的卫星就100多颗吧这个规模还是很小规模量级又提升了很多倍对
[00:33:59] 你这一次申报的话就会让大家整个产业里面有个预期我觉得它本质上就是一个商业航线的14年的规划就接下来14年我们就是要在这个上面要快速的追赶的那你不管是体制内的机构还是前面我们讲的这些创业公司你朝这个目标去吧所以说感觉股价飙涨也很有道理就是预期非常的清晰而且是一个中长期的规划那你短期内的一个信心其实对大家还是比较明确的
