Vol.200 谢谢所有的鱼
[00:05:48] 单看价格和尺寸的比较的话它其实不单单是在针对Model 3了你甚至可以说它在抢夺比亚迪汉等等车型的一些潜在用户其实要做到这一点的话你必须要在整个汽车供应链上面拿到尽可能合适的成本价而且要保证供应量这个事情对于一个在疫情期间起步的业务来说难度是很大的对 所以做到这一点的话其实是我觉得小米汽车现在能有这样一个成绩的一个很重要的基础
[00:06:14] 除了供应链外还有一个值得提的点就是小米的销售和服务能力我们看了一下新一线城市研究所同事给我们的数据截至2024年底小米的单店的平均销售量在国内是排第二的所谓单店平均销售量就是小米现在在全国我们截至24年的数据好像是有120多家的零售的网点是可以卖小米的汽车的然后用这个数字再去除小米一年的整个的销量
[00:06:43] 然后可以算出它每个单店平均的年销售量它这个数字是仅次于特斯拉的这个是只看汽车的部分吗当然仅看汽车的部分我们说的是销量不说销售额我们看得出的话就是单店的话平均一年是可以上1000的这个数字其实很厉害放在过去的4S店也就很不错了特斯拉非常高的话其实很能理解它很多的销售其实在线上来完成的你算到单店上面它就会特别的高小米有可能也有这方面的优势另外它品牌的势能比较强很多消费者就是
[00:07:11] 这个速期出了之后就是冲着来的但它的这个转化率也一定会比较高那另外一方面呢我觉得比较意外的就是小米的这个售后满意度是比较高的这个其实一开始没有想到我仔细看了一下这个调研里面的维度就说包括像APP的使用体验各种预约的流程包括远程解决问题的能力都很高对这些可能就是所谓小米的强项那我们看看接下来小米会怎么样吧就接下来因为那个U7的SUV来了
[00:07:39] 从现在的图包括一些信息来分析的话只要它价格合适这个车的走红应该是个大概的时间如果说不太现实的话它可能也会把价格弄到合适的水平是为什么这么说呢因为SUV和轿车的用户还是有一些场景和需求的变化的有很多非常青睐小米的潜在的买家他在原来有可能是因为轿车有点劝退现在有个SUV的话他买的可能性是非常大的
[00:08:03] 不过就是纯电的SUV这个领域要比纯电的轿车的领域竞争激烈程度要高非常的多尤其是在过去一年就是有很多的强敌出现就这些本土的品牌的很有竞争力的车型出现而且2025年还有一个大招就是Model Y的换新版马上就要出了小米面临的竞品的抢单的压力还会更大因为现在的话它的轿车的周期因为供不应求一般都到20多周30多周了
[00:08:30] 之前它的号召率比较强很多消费者愿意等但是在有很多的有竞争力的竞品的情况下有可能有更多消费者会流失就是一些可能比较时间长的它有可能就等不及了所以说小米二期工厂产能爬坡能不能像它的一期一样顺利呢这个其实是比苏七的时候要更关键的一个问题是的
[00:08:49] 好那我们接下来进入第二个品牌就是Mana也是个经常被Q到要我们来讲讲的这个公司因为我们是第六期就聊了Mana那个节目就是过于生涩而且当时还插了一些我在没有想到我们要去做播客的时候就是跟创始人有一个采访那个采访录音质量极差对就是作为一个就在餐厅里面录的东西也特别的质量差对真的非常对不起大家让大家听这个东西
[00:09:19] 那回到那些节目当时我们其实是提出了一个国内咖啡行业当时的所谓不可能三角也就是好喝便宜连锁这三件事情其实当时是很难同时做到的但是Maina基本上做到了所以我们讨论是这个点但是时过境迁啊现在再来推敲这个三角呢会发现它已经变成了所有
[00:09:40] 或者说几乎所有限制的饮品品牌都要做到的事情就是不单是咖啡了还包括茶饮对不单是像瑞幸或者麦娜像蜜雪冰城和霸王茶几能够火起来其实也是这个逻辑就是它同时做到了好喝便宜和连锁
[00:09:54] 那如果说我们今天再来聊MANA其实讨论就是两个问题的首先就是哪些市场因素变化让这个不可能三角的每个角都变得可能了其次就是说在如此激烈的竞争之下MANA还有哪些潜在优势先说第一个问题就是好喝便宜连锁里面其中相对最容易攻克就是连锁因为MANA这种重资产的指引模式实际上已经不算是行业主流了就是连星巴克中国都会坚持不住了是吧
[00:10:23] 那供应链和加盟模式这个组合呢已经被反复证明其实是最快的方案就必须要做加盟那你想要赶上加盟模式呢曼娜目前每年500到600家这个直营店拖电速度显然还是不够哇挺夸张的每年500 600家就还算是速度慢的是的而且其实年初的时候好像看到过新闻说曼娜可能要考虑开放加盟但是官方否认了是吧但他显然在考虑放风了
[00:10:48] 至于说好喝新的解决方案显然就是工业化的原料配方这个我们在瑞幸复兴的那期节目里面也有过讨论早年曼娜的菜单我们一直说它是很精简的是以一些经典款的意式咖啡为绝对核心的但现在它的新品显然已经开始向各类糖浆厚乳类的产品组合去妥协了
[00:11:07] 变成一个我所谓的风味斗兽场这个形容非常好对 说实话就是说放弃教育消费者去辨识那种好咖啡的精细风味而是改用这种特调的模式或者说工业的产品来加强风味是整个咖啡行业都在走的一个下坡路这个事情不是manna一家我觉得这算是一种行业的无奈吧
[00:11:28] 而在便宜方面呢对于一些体量更大的同行来说呢这个9块9的价格战显然已经可以打一整年而且说也不会对自己造成太大的经营压力但对于Mana来说呢因为它的起点已经压在了成本线附近其实就已经很难再向下了如果我们现在看Mana的菜单的话反而能发现因为增加了大量的风味产品它的价格战是有点往上提升的
[00:11:51] 这些年他们相对更重视可能是在人力成本上的压缩日常的高压状态就最后在2024年的年中爆发出了一些员工和消费者之间的冲突其实在茶饮行业的话很多品牌主要在压低成本这些路上的方法是用自研的机器来代替部分手工的操作包括像蜜雪冰城是比较著名的然后霸王茶记得走这条路我那天去洗茶也看到后面有个机器在拼命的舀奶茶
[00:12:19] Maina目前还是不放弃所谓的半自动机器和人工操作结合这个事情就有点吃力不讨好现在还在拉花对这个事情对于人的压力其实一直是非常大的
[00:12:31] 我觉得反过来可以观察一个点就是说国产的咖啡机品牌是不是能在效率或者品质上面给出更好的一个折衷方案以及有没有品牌自己下场做这件事情就是用更加经济的有性价比的半自动咖啡机是的我觉得Miner如果说未来要有救星的话可能就是靠这个了但这个救星是不是他自己创造出来的现在看起来也不太好说
[00:12:55] 那把不可能三角变成必备三角以后呢MANA原本至于其他品牌的独特性和优势显然已经被大大的削弱了你让它匹配就是最风光时候那个很高的估值其实也已经很难了这个就是它目前的现状不过我还是要说这个其实是一个基于外部竞争视角下的观点那如果说MANA这个品牌自己
[00:13:18] 能够果断的跳出这个竞争的状态他重新回到一个区域品牌的定位以及他这种低价高品质传统意识咖啡这个核心那在目前大家都已经疲于竞争的状态下呢他其实未必会活得很差说到底其实还是一个如何不要忘了做自己的问题那我们讲的第三家公司是贝壳2021年我们做了一期贝壳的节目当时其实是为了纪念因病去世的贝壳公司的创始人左辉
[00:13:45] 他那期节目里面呢我们讲述了左辉如何做行业里面困难和正确的事情就一步步把练家做到了行业第一同时呢又在练家的基础上孵化出了贝壳平台然后使得中介或者房产中介这一个职业吧在他的这个可能的范围里面尽量变得体面了一些
[00:14:03] 那一句话说呢就是我们讲了贝壳这家公司是如何在房产交易这个行业里面做的比别人都更加好的那些节目的逻辑和事实呢放到现在来看也没有什么问题贝壳依然是行业里面没有争议的龙头你去买卖房子肯定还是会考虑一下贝壳但是问题是这个行业本身在过去几年是一直在下滑的我们看到券商的言报里面不约而同会说到一个说法就是说贝壳
[00:14:28] 有很强的行业的alpha的能力就是这个所谓的alpha就是指相比于市场的同行吧它的赚钱的能力更强能赚更多的钱也更健康一些但是整个行业的beta是负的对你行业是在往下的你有了一些alpha但是你要维持实际上的这个赚钱还是非常的困难的就我们看到21年和22年贝壳就出现了大幅的亏损但23年呢是扭亏为盈了然后24年的营收和利润呢又相比23年有所减少其实这条曲线跟
[00:14:55] 确实它之前的股价跌得比较厉害
[00:15:24] 第二就是他在主业的房地产交易的部分他把很大一块重心放到了新房的交易上面所谓的新房交易就是帮房地产的开发商卖新房因为二手房的交易就是所谓的存量市场整个大盘是低迷的在这种情况下面你作为一个中介的机构你想要去促进交易提升交易量其实你能做的事情不多你只能去抢别人的蛋糕而已
[00:15:48] 但是新房不一样新房的开发商是有强烈的所谓去化的需求的就是帮他把房子卖出去对 要去库存这个时候中介的销售能力就越来越受到这些开发商的仰仗可以说新房市场是一个它越是买方市场的时候贝壳的价值就越大的一个市场第三个求稳或者求生的方式就是贝壳很明显的想要稳住经纪人的队伍所以推出了很多能够保证经纪人收入的一些方式
[00:16:15] 比如说我看到一个这几年比较明确的一个方向就是所谓的快拥盘就是快速给经纪人佣金的楼盘所以就是先把佣金取出来一点让经纪人先看到一点钱所以他就能把交易的速度提升出来应该是这样的贝壳会要求这些开发商的楼盘提前把佣金先付给贝壳这边
[00:16:38] 然后经纪人只要促成交易然后贝壳第一时间就可以把钱打过去其实就是账期的缩短对就是账期的缩短但他能有溢价能力让开发商先把钱给我的话还是因为他们前面讲到的现在开发商仰仗销售的这些去化的能力对于经纪人和公司来说我们的收入可以提前的保障这是对他们来说非常重要的一点当然做了这么多事情可以看到2024年贝壳的房产交易业务同比还是有大幅的下滑
[00:17:06] 这个公司还能继续保持盈利主要是靠一些其他的业务比如说装修业务这个在我们四年前的节目里面其实也提及到了这个算是贝壳的重要的想象空间之一这两年它确实在这方面发力非常的明显然后在24年的时候它的装修的业务的同比增长是非常高的但目前这块业务还是在整个大盘里面是占一个小块的你要指望它完全的撑起整个贝壳其实不太可能
[00:17:32] 同时我们也知道装修的业务其实还是和房地产交易本身是息息相关的只有当大船的β是向上的时候贝壳的α才能发挥真正的力量
[00:17:42] 接下来我们就来聊聊第四家我们曾经讲过的公司就是Lululemon最近是不是有点提过多我觉得我们潜意识里面对这个Lululemon肯定是有点偏爱的因为它这个公司确实有点绕不过去的感觉是因为如果加上上个礼拜我们去聊十足鸟的时候聊到那一点的话其实我们已经聊过三次Lululemon太多了太多了我们说一说就是我们真的聊不出来什么很新的东西了再回看一下我们2021年
[00:18:09] 就是第一次聊的时候那些结尾当时我们对于Lululemon未来的增长点其实有点不分歧的比如说我的观点是觉得说Lululemon应该做像商务男装细分的运动品类以及社群的增值服务之类的你当时是认为说男装和细分品类这方面因为Lululemon此前缺乏经验就都不一定能那么快突破起来没想到Lululemon
[00:18:33] 给出的新增长点是包括鞋类的就比我们想的更多而且我们两个讲的这个方向比如说像男装或者细分的品类在别的品牌上面还是有所印证的是就不是在Lulu这里印证的其实2021财年Lulu自己是提了三大业务乘二的一个发展目标包括男性业务的收入乘二数字化业务的收入乘二以及国际业务收入这个不是乘二是乘四翻翻再翻翻对
[00:18:59] 但是呢因为这个业务目标的跨度是到2026财年也等于说五年里面完成这种成二的目标其实没有那么难啊那如果说去看公司2023年财年的这个财报就可以发现说当时男性业务和电商业务的收入相比2021年就已经涨了接近50%所以这真的不是什么很难实现的目标
[00:19:19] 但是值得注意的是同期女性业务的收入增长率也有50%所以大家都在找50%不是说你这个男性真的就是在这个占比当中贡献更多了对而且也并不是因为你这个东西起步晚期数小就呈现出了更好的比如说增长率之类的这个事情其实是不那么符合预期的对而且还考虑到男装的消费者有一定比例可能还是女性所以这个事情就不太达到我们对于这个话题的预期
[00:19:47] 你讲到这个点确实我身边也会有一些个体的案例是这样的是的至于说我们前面讨论可能像细分品类的拓展或者社群增值服务社群增值服务显然是没有在做他们一直在卖真正的硬件的产品运动品类拓展上面其实打的也都是一些保守派比如说做一些网球高尔夫和冰球这些都是传统的大品类或者说他们北美市场一些优势的品类了
[00:20:09] 所以怎么说呢就是Lululemon这两年可能因为它的业绩完成的还可以所以反而在创新上面我觉得是偏保守的我觉得确实你要说当年那种就是明显优于或者异于其他品牌这种产品上的这个特点已经越来越削弱了反过来其他品牌倒是这两年在Lululemon的这个腹地就是瑜伽的市场公式还是很明显的就是看到很多小众的品牌在做这件事情
[00:20:34] 除了小众品牌以外其实最近最大的新闻还是耐克的认真介入耐克这次合作对象是金卡戴山的品牌Skims这个也是继匡威和乔丹之后耐克时隔很多年再次这么认真地对待一个外部品牌的合作了而且官宣当天耐克的股价就上升了3%同期的Lululemon是跌了3%挺有意思
[00:20:56] 当然Nike Schemes这个新品牌的出现核心的目标还是挽救耐克自己的这个业绩下滑是给他自己找一些新的增长点不是说我就是要对着Lululemon来打是因为如果大家把这个瑜伽市场看作一个团课教室的话这个团课教室已经塞的不能再满了再挤不进去人了多开几门课对但是卡戴山呢他有名人效应所以说在短期之内呢预期还是能够抢到一点所谓的市场份额更重要的是这个新的品牌
[00:21:24] 大家对它预期是它会给出更强的风格以及更高的定价这个是能够打破耐克此前在这个领域可以说四平八稳的一个布局那打破这个问题呢才能让外界对于整个耐克有新的想象空间那未来几年Lululemon会如何应对这个局面就需要我们持续的观察了那我们进入最后一家回顾的公司就是中缅2022年的5月我们远程录制了一期
[00:21:50] 名叫免税店的秘密的节目对一期我不在的节目是葛老师代班的当时我们着重分析了中免集团可以说是有半垄断性质的国有免税公司为什么能在全球疫情的背景下面这个业绩是逆势上扬的最大的原因其实很简单就是海南的
[00:22:10] 不知道大家还记不记得2021年海南的旅游和免税消费到底有多热它其实当时是承接了一大批所谓出境游的需求我觉得几乎是承接了所有国内的出境游的需求了但是成也消和半也消和2024年中免的业绩大幅的下滑其实也是因为海南的免税业务的大减
[00:22:30] 2021年中缅在海南岛的收入是达到顶峰的490亿元真的非常夸张到了2024年整个海南的离岛免税购物的金额才309亿元中缅在当中又不是占所有的所以说它自己跌幅是很大的
[00:22:46] 疫情之前其实中缅主要还是靠机场免税店作为主要收入来源的疫情其实是把这根支柱给熬断了海南又努力撑起了它的整个业绩甚至还比过去很长一段时间都更好在海南出现下滑以后它的机场业务有没有恢复起来呢这个恢复很难说虽然2024年的业绩快报上面是显示中缅在上海的两个机场就是日上的两个免税行
[00:23:12] 在虹桥和浦东的他们的收入是比2023年提高了32%这个增幅还是蛮好的但是我们知道这几年其实你看同比是会有一些失真的还是要看跟2019年比对如果我们把这个2023年的数据看一下然后就是估算出一个因为他在快报里面没有实际的给出这个具体的数字你只能算一下对算完了之后然后把这个24年的数据
[00:23:33] 和2019年比绝对值实际上是要高的但是这个当中有个问题就是要考虑到相比于2019年如今机场这个方面在免税店的销售的扣点的比例是大幅的减少了这个问题我们在免税店秘密这期里面其实也详尽的分析了那你就相当于把这个部分再返还到整个免税店的实际销售额上面来说它其实是没有恢复到像2019年那么高的水平的是的这个数字具体我们就不说了
[00:23:59] 还有一些辅助的数据我们其实也可以看到就是现在这个出入境的客流量其实还是没有达到2019年的水平我看到好像是说上海和北京的这个数据是75%左右吧相比较2019年的那个水平不过我们要说这个其实是23年24年的情况25年我们还是有理由期待这个机场的业务能够继续复苏的因为目前看起来出境油又红起来的而且说还有一些免签的政策所以入境也会有入境这个部分看一下有没有增长可能但是
[00:24:26] 换个角度来说你出净油的热潮呢又会削弱海南的这个地位左手好了右手又不行了这个其实也是海南这个离岛免税业务大幅下滑的一个重要的背景就是很多人就回去出净油了那就不会到海南这边来消费了当然中免在海南业务的下滑其实还有一些就市场竞争的一些压力不单单是这个出净油的问题一个就是在海南开了很多除了中免以外的一些离岛免税点这个是一个很大的竞争压力
[00:24:54] 还有就是过去两年其实国家又给其他的一些公司发了一些免税的牌照所以中缅也不是一个完全一家独大的状态了当然最深层的原因还是整个市场的消费动力不足但这个问题就比较难以量化归根结底中缅二一年的巅峰是特殊的疫情红利加上牌照的垄断的优势而形成的当这种红利消失然后垄断又削弱的时候它本来的样子就显现出来了
[00:25:23] 那第一个部分呢我们就回顾了五个我们在前100期节目里面聊到的公司他们目前的状况这里真的建议大家多去听一听我们以前节目不是因为我们以前节目的质量做的有多好只不过是因为大家现在关心的很多公司我们其实以前都蛮系统的聊过那可能能解答一些大家对于这些品牌基础的问题当然这些公司你看这几年发生了很多或大或小的变化
[00:25:50] 也能看得出他们确实是比较有价值来持续的关注那以后有机会的话有可能我们还会再聊
[00:25:56] 那第二个部分呢我们就进入到这个长长的Q&A的环节先来回答一些听友对于我们的问题先感谢一下听友对我们的这个问卷的这个热情的反馈好吧
[00:26:25] 一些问题然后我们分成了两个大类第一类的话还是跟商业本身比较相关的还有一类是跟团队比较相关的那么就先回答一些商业类的问题然后的话顺序是这样的先有两位朋友们是语音给到我们问题的我们就先来这样子来回答好的那我们先来听第一个问题
[00:26:46] Hello Hello 商业就是这样的各位老师们 大家好 我来自于哈尔滨今天想分享一个我关于城市就是这样第七期有关于街区商业的问题我在听完了这期节目之后思考了一下我们当地的街区商业在哈尔滨中央大街存在着一种类似于街区嵌套与街区的现象比如以萧克廷院为代表的次级街巷空间被分布在了主体商业街的两侧形成了这种类似于嵌套的结构
[00:27:13] 这些百年欧式建筑为合成的院落,通过室内室外空间的相互融合,使其内部的商业布局密度很高。但是这种历史建筑内的商业植入,对于游客的游览并没有产生任何的割裂。同时,很多品牌选择将品牌文化与这些历史建筑相互融合,比如说可口可乐在我上面提到的萧克廷院内开设了主题文化馆。那么请问各位老师,品牌的主题文化馆这种商业形式与其他商业形式有何关系?
[00:27:42] 这个问题我觉得本身比较难以回答的点就在于老建筑它本身就是一个明确的可以落品牌活动的
[00:28:07] 位置就是他看中就是这个东西至于说他这个东西有没有长期的价值呢我觉得长期价值就是这个老建筑只要一直存在他就一直会有品牌来做然后今天是可口可乐有可能明天是百事可乐我觉得还有一个隐藏的因素有可能是因为这些老建筑他一般来说都处于一些比较好的市口就他本来有可能就是一个非常好的展示的一个位置对其实有一个朋友在就是文字的提问里面问到类似的问题我们到最后会再解答一下
[00:28:35] 好 接下来我们进入第二个问题
[00:29:02] 但是这样的模式在全国范围内似乎并不是很多见的那么我很好奇为什么这样一个可以让地铁增加营收的项目没有在全国范围内被推广开来呢另外还有听说香港的地铁是盈利的这在全国范围内都是罕见的但是有人把这归因于是香港地铁不设置安检的岗位他们不需要支付安检人员的工资
[00:29:31] 那么我想知道安检的人员工资这部分成本在整个地铁的运营成本中真的占比有这么大吗谢谢
[00:29:41] 这个问题其实蛮复杂的首先可以拆成两个大问题每个大问题里面又可以再拆我只能回答几个部分首先就是说城市地铁的广告收入情况大致是什么样的回答这个问题我就看了好几家公司的债券的年报大致的结论是目前的话在地铁的仅仅看广告收入这方面北京应该是一个
[00:30:06] 偏断层式的一个水平它大概每年的广告收入是在10亿元人民币左右那上海没找到数据我估计大概是类似的水平广州和成都地铁呢大概是3到4亿元每年然后像南京无锡的话其实就会比较少一点可能是一个几千万的一个水平我觉得听你的这个描述呢你大概要不然是在南京要不然是在广州我觉得我可能已经覆盖到你想问的这个城市啊在第二个问题上就是说所谓的
[00:30:35] 安检成本这件事情上安检成本这个其实是也可以查的像北京其实公布了它2023年三大地铁运营公司的这个运营成本结构那北京可以算出来它的三大地铁运营公司合计在2023年之初的安检成本是17.13亿元但这个成本怎么看呢我觉得还是不是很好看就是放在整个的大的运营成本里面它可能也不算特别明确就因为维护的大头的话肯定还是那个
[00:31:04] 维修保养那个费用那个是要多很多的
[00:31:07] 那最后就是所谓的香港地铁盈利这件事情其实我们在之前的节目里面
[00:31:36] 车站商务车站商务里面包括两块
[00:32:05] 不太影响说它整个的盈利结构这个问题好那回答完这两个问题之后呢接下来是一些听友的这个文字的提问我们就先把他们的问题说一下然后再来简单的回答一下第一个问题呢就是要约老师来了因为他讲的是棉花的问题问题是说中国的有机服饰有机棉为什么没有成气候没有成氛围呢这是一个好问题首先要讲一下什么叫做有机棉
[00:32:30] 对就是甚至可以直接给一个结论就是因为它不成气候不成氛围的原因就是因为它市场太小这个我们一层层来播就是首先什么是有机棉有机棉其实简单说就几个基本要求首先是不使用转基因的种子其次就是在停止使用化学肥料和农药三年以上的田地上种植
[00:32:50] 地要挺三年的肥然后第三就是种植过程中呢不能使用杀虫剂和化肥第四呢就是你有机这个东西通常还需要一些独立认证机关给出一个认定你才能被叫做有机
[00:33:03] 那这个是有机棉的一个核心的要求那很显然这个东西就是一个成本很高的东西那大概测算一下就是一公斤的有机棉它的生产的成本是比普通的棉花是要高两到三倍的就这个东西成本已经非常的高了那目前有机棉是占到全球棉花中产量的0.95%就1%都不到然后它在2023年的总市场规模大概是13.2亿美元也不是很高
[00:33:31] 那目前全球最大的有机面消费国是美国然后如果说生产国角度来说其实第一大的生产国是印度印度可能占到全球50%的有机面生产然后中国是占到12%是排名第二的有机这个问题就是有一个很强的大的问题就在于它的生产和消费的区分国首先区分的很开其次它的生产国很多是欠发的国家因为在欠发的国家你才能找到就是我
[00:34:00] 比较好的这种原始条件来种这个东西那再讲到消费的这个部分呢还可以看一下就是全球现在前三大的消费品牌就是消费有机面最多的品牌分别是H&MC&A和Inditex都是一些我们中国人可能不是很喜欢的品牌
[00:34:17] 也不能这么讲对但是你从于威老师刚才讲的这些背景情况和条件就能够得出一个大致的推论就是为什么它在中国没有成气候没有成氛围就这个市场本身很小这个市场主要也不在中国然后消费的品牌也不是我们消费最多的那些品牌对所以它没有成气候对大概我们如果这样拆解这个问题大致是这么一个逻辑来回答它
[00:34:44] 那下面一个问题是这样的很多人说商业理论是一个滞后性只负责总结的领域往往对于未来的发展尤其是创新发展借鉴的意义不大对于这个想法主播是怎么看的
[00:34:57] 我觉得你说的是对的怎么办对我觉得你说的没有什么问题因为理论基本上都对未来的发展借鉴意义没有那么大它的解释力确实不管是什么领域的理论其实解释力都是有限的其实我们可以举一个例子就是有一个经典的商业理论叫做破坏式创新我们好像也经常用这个是克里斯腾森他提出来的他自己在商学院里面是跟同事一起总结过说有77个公司都
[00:35:26] 符合他这个所谓破坏式创新这个理论但是如果你去看他对于这个理论提炼出来的四个关键要素和这个77个案例去对一下的话会发现其中很多公司其实是没有办法完全对上的所以他其实这个总结能力本身也不是太强还有一个问题就是说直接上我们会觉得说所谓的商业理论主要是诞生于商学院就像克里斯腾森这个是一个典型的案例但是你如果去看现在商学院的一个核心的教学方法其实是案例研究
[00:35:54] 那案例本身是可以快速的去更迭的但就是说对于具体商业理论的应用他们反而没有那么重视了这个其实是一个商学院里面已经在发生的现实还有就是所谓的商业创新其实很多是诞生于尤其现在的商业创新已经开始诞生于一些灰色空间或者说它重新去创造一些规则举个例子比如说早期的共享经济它其实很多是诞生在所谓政策的缝隙里面的
[00:36:19] 然后包括说现在的数字货币体系它是完全建立在一个新的一个规则上面大家认可这个规则才会生成这么一个体系这个都是所谓很难被过去的商业理论去涵盖的我觉得这个当中有可能这个听友想要真正问的问题就是既然它没有什么这个预测能力那这些理论有什么用
[00:36:38] 有用吗你觉得有用吗我觉得大多数的理论其实它还是给了你一个工具能够帮助你认识或者说是有一个框架去了解或者是真正知道一件事情或者真正知道一件事物这个了解的过程首先我觉得本身还是挺有趣的你作为一种兴趣或者是作为一种
[00:36:54] 爱好人本身是有这样的一个冲动的爱好商业理论真想不到了解一些事情我觉得好奇心这是一个部分第二个的话就是所谓的知情合一你确实需要通过不同的角度来了解一件事物然后你有可能形成了自己的一个方法论之后再去做这件事情我觉得它不能完全的指导但它是一个前提和基础好接下来一个问题很简单很简略的这个问题是说想问一下近代租界与城市商业空间的关系
[00:37:21] 这个问题是这样子我觉得就是就这个问题我可以讨论一下就是假如说一个问题本身问的过于宽泛它会导致什么问题袁老师这个你这属于是焦作人对吧我们首先要说一下这个问题对不起对但是这个问题确实是很典型就是我们把这个问题本身稍微拆解一下首先近代租界它是什么概念对就是我后来意识到这个近代租界在中国其实不只是什么
