Vol.116 成为吉卜力：创业篇
[00:10:29] 他一团乱麻的脑子里面然后你出来的时候要抱着一个整理好的线团然后你整个过程还要间接优雅些但你没有费多少力气做到这一切不过宫崎骏就是这样一个人他创作作品的时候就是先有一些片段的想象而不是有一个很严谨的逻辑的对的那这其实也就是林文敏夫面对的一个编辑的日常可以想到这个日常是非常难熬的
[00:10:53] 那可以举个例子就是他到底是怎么来帮这个导演来确定他的创作意图到底是什么的呢就是在讨论千与千寻这部作品的宣传方向的时候呢林木敏夫先自己有了一个模糊的感觉就是这部电影它职业上可能是所谓千寻和小白的爱情故事
[00:11:11] 但好像也不是这样他是不是一部无脸男的故事呢然后他为了验证这个感觉呢就对着这个分镜把每个角色的镜头时长一点点抠出来然后加一加然后就把几个主要角色的这个登场总时长都算出来结果发现说无脸男确实是出场时间第二场的一个人于是他决定说我要以无脸男为核心来组织所有的宣传内容结果这个广告打出去以后连宫崎骏本人都很震惊啊宫崎骏找到林牧说我做的不是千寻和小白的故事吗
[00:11:40] 结果红星星自己又看了一遍样片以后说
[00:11:43] 林牧我明白了这的确是千寻与无恋男的故事笑死了这个导演本人都抓不住故事的重点啊但是不知不觉中创造了一个非常经典的动画形象不过说回来如果没有林牧敏夫去抓这个重点的话千与千寻有可能在宣传阶段就变成了一个比较四平八稳的一个电影了那其实从这个例子里面我们也能看出来林牧敏夫在吉布里的地位是挺高的甚至到了有一点可以说管控这两位顶级创作者的地步
[00:12:12] 在他自己的说法里面吉布利工作室始终是把创作放在第一位的那如何让电影卖座呢是第二位的他自己呢就是反复在这两个目标中间横跳
[00:12:21] 那为了达到卖座的目标呢在面对宫崎骏和高铁迅的时候有时候其实也谈不上所谓管控吧还是以说服和安抚为主什么叫说服和安抚其实你也可以看到就是宫崎骏在宣传方面还是相对来说比较随和的就随便你但是高铁迅呢就是一个内里比较坚持原则的人
[00:12:42] 有一个例子就是他最后的那部长篇作品叫《灰夜记物语》那林木尹夫在研究的过程中就觉得应该抓住所谓公主的罪语法这个点他觉得罪语法还有点像什么俄国名著听上去很厉害但是这个点一开始就被高铁讯否掉了他觉得说这个罪语法跟这个电影的内容不是很贴
[00:13:03] 那为了保住他想的半天的这个公主的罪语法这个重点啊李木米夫就在第二次内部讨论的时候特意多加了一条恶搞式文案让高铁熊二选一感觉广告公司的朋友们应该非常熟练掌握这个技能啊就是给客户一个差的文案和一个更差的文案这样就能减少一点工作量是吧反正高铁熊没有识破这个伎俩啊就是他同意了罪语法这个方向但是他想来想去过不过自己这一关然后他最后就想办法说我直接把剧本也调一调
[00:13:32] 就挑了一些剧本里的一些内容就让这个宣传跟电影的关系更紧密了本来是高天勋自己很反感的一个策略但是最后竟然也勉为其难了讲到这里我真的想要吐槽一下就是林木敏夫他本人在书里面花了很多的篇幅举了很多的例子都是在说他和他的外部团队怎么绞尽脑汁给吉普利的动画想这个宣传的slogan
[00:13:56] 说实话有些文案确实很好啊比如说红珠这部作品这个戏警众里拿出来的文案就是什么叫帅这就是对吧非常的惊艳的一句话但是我个人是觉得这个电影的重点应该还是在这个内容本身的文案真的有这么大影响力吗我其实稍微有点存疑我觉得你跟高铁星的想法可能比较一致啊
[00:14:16] 没错林木敏夫在这个吉卜力的伙伴这本书里面就提到过他对数字非常的敏感
[00:14:44] 他非常喜欢研究棒球然后他看棒球的时候可以背得出联盟前20名的这个机球手所有关键数据的这个变化率甚至他号称能够精确到小数点后三位啊而且他做编辑的时候呢对这个杂志的销量的预测也非常的准
[00:15:02] 能够保证这个杂志的退货量基本能控制在一成左右我就马上想到我们之前不是做过两期关于魔球的节目吗我感觉他如果不当这个编辑和制片人的话是不是可以去这个球队里边当教练或者什么数据分析师应该也是蛮厉害的感觉你给他发掘了一个新的职业方向是吧简单的说他就是把这种数据分析的能力也带到了吉布利的工作里面而且这个能力极其有效的指导了好多部大片的一个宣传安排
[00:15:31] 他最重要的一个贡献就是他在研究过往作品的经营数据时候发现了一个规律叫花出去的宣传费和这部作品的分账票房是基本一致的感觉进入了一些电影这个宣发的实操的部分了不过岳老师要不要这里先跟大家解释一下什么叫做分账收入简单来说呢这个电影它会产生所谓的票房收入也就是所有的观众为这个电影票付的钱的总和就是这部电影的票房收入嘛这个收入要减去首先是电影院的分成
[00:15:59] 其次是发行公司的分成然后发行公司的代理费然后还有宣传过程中产生的很多七七八八的费用减到最后呢才是像吉布利这样的制作公司能够拿到收入那剩下的由制作公司拿到收入就是所谓的分账票房
[00:16:13] 那以前的日本的制作公司都会直接公布自己的这部分业绩但是后来因为涉及到一些海外发行的情况那合同规定的分账方式可能比较复杂所以在2000年以后呢日本国内也普遍采用票房收入了但是实际这个一部电影分给自己有多少票房呢制作公司内部肯定是清楚的林木敏夫呢就是自己在看经营数据的时候发现如果将像报纸广告或者电视广告这些直接的广告费
[00:16:40] 然后加上像商业合作啊媒体合作啊现场见面会这些活动的间接宣传效果都折算成钱的话
[00:16:47] 那吉布里之前的很多作品都会出现所谓宣传费和分账票房大致相当的结果这个折算成钱的这个能力应该就是前面袁老师讲的它这个数据分析的能力了对吧对的当然反过来说如果你想要做一部非常受欢迎票房收入很高的电影根据它这样一个公式的话你就必须要花很多的钱或者投入很多的精力在前期的宣传阶段里面是的它就是把一个规律变成了一个指导方向了那这里可以举的一个例子是幽灵公主
[00:17:16] 林木敏夫其实就是在幽灵谷主前期这个宣传筹备期跟整个制作委员会一起去热海做了一个合宿就是大家住在一起在离开头脑风暴会的时候发现了这个规律他给幽灵谷主这部作品定下的分账票房目标是60亿元当时是很高的数字了对对对
[00:17:34] 对那怎么做到这个60亿元呢他就开始在白板上面给大家一项项拆啊就是比如说发行宣传费要花5亿制作宣传费要花2亿然后跟日本生命保险的这个合作要花8到10亿此外还要投放报纸电视杂志书店音乐会等等的一些广告和内容专辑还要在高岛屋做大型公演反正所有这些宣传手段折成钱也是60亿的话就能达到这个分账票房60亿的目标
[00:18:00] 我跟大家要强调一下就是幽灵公主是一个90年代的一个作品就在当时啊就在那个之前吉卜力的这个动画电影他的分账收入能够到20亿已经是很很不错的一个成绩了就60亿元对于当时的这个我觉得在看他那块白板的那些这个宣传策划的人员来说可能觉得他一半在画饼一半在框钱啊觉得不可能实现这个东西但大家最后好像真的就这么执行下来了
[00:18:25] 反正就是莫名其妙也就这么做了而且最后这个效果很好因为幽灵公主最后的分账票房是充到了113亿日元接近整个宣传费用的两倍了相当于她想的是一个所谓高举高打策略但是现实中这个可以举得更高一点
[00:18:42] 他这个策略呢其实延续到了千语千询的宣发过程因为他的目标是让千语千询的总票房达到幽灵公主的两倍那么对应的宣发策略就变成了电影相对应的总作息数要翻倍就是你看的人数要翻倍此外呢宣传费用也要翻倍
[00:18:58] 听起来他这个电影宣传非常的机械啊而且越是高举高打的话我觉得一说说翻倍应该难度是非常大的吧嗯但是不得不说就是哪怕是这么机械的策略林木宇夫也能做得挺好的然后他当时就有一个想法说如果潜在的这些观众啊能在电影上映之前在各种媒体上看过三次关于这部电影的广告那他大概率就会去看
[00:19:22] 这就需要把前面说的电视台电台 报纸 杂志 网络这些所有的媒体渠道都轰炸一遍而且显然还不够你必须得扩张一些新的广告位当时千与千寻的制作委员会中正好有一个大企业叫三菱商市三菱商市还投资了日本最重要的便利店品牌之一罗森据说林木敏夫本人是不太喜欢便利店的因为觉得他24小时都能买到吃的就破坏了日本人一日三餐要在规定时间吃的传统
[00:19:50] 但是为了宣发然后加上罗森方面的人很懂很注重策略一天到晚就是跟他聊自己多喜欢电影就不跟他聊商业然后他最后也就勉为其难把罗森作为一种线下的媒体需要用起来了感觉林木敏夫他有一种能力就是把一些比较虚的目标能够化成
[00:20:08] 很实的一个操作手法对吧就是什么看三遍的广告这种就相对来说就对下面人来说比较能执行了对就是很容易落地他当时就是跟罗森这个合作也是蛮有意思就是当时吉布利是在全日本的7000多家罗森投放了首先有很多电影海报小册子和免费报纸这个是比较常规的一些做法了
[00:20:31] 然后他们也充分利用了日本便利店里面有一个系统就是他可以来卖这种电影票也可以卖门票的有一个机器他也把这个机器充分的利用起来了千与千寻前期是准备了100万张预售票其中有32万张都是在罗森的这种机器上面卖掉的
[00:20:48] 然后后来林木敏夫跟罗森合作这一次就觉得说便利店这个渠道潜力无穷然后后面不是有吉布利美术馆了吗他就把美术馆的门票预售也交给罗森代理了我们现在应该很好理解便利店的渠道的价值但是对于像林木敏夫这个年纪的人来说在当时90年的时候即便在日本便利店也还是一个比较新鲜的事物而他们自己老一辈更加熟悉的可能还是报纸 杂志 电台 电视这些传统的媒介
[00:21:17] 但是无疑这个商业合作的效果是非常好的而且就是按照我们现在的说法能够形成一个闭环就从种草到拔草直接就在这个便利店里面就直接完成了那这里我们其实把林敏夫所谓量化分析的能力也讲完了他还有一个能力就是拉商务合作实际上这个是吉布利自身一直拥有的一个能力因为他们从成立初期就一直在拓展和各种各样的品牌做合作
[00:21:41] 比如早期一个经典的作品《魔女宅急便》其实是从策划案阶段就拿了日本的一个快递品牌叫黑猫宅急便官方名字叫大河运输这个投资那这个大河运输的人来吉布利拜访的时候呢宫崎骏还特别跟他们说虽然都叫宅急便但是我们的电影不是给你们拍的员工培训广告哦
[00:22:01] 我感觉这个当时的气氛瞬间就有点尴尬了好在最后大和运输人也并没有在意这件事情那大和运输进入到这个项目里面让当时的发行方东映也觉得我们是不是也可以利用一下你这个资源就跟前面我们提到就是把罗森作为消费者触点这个思路很像东映就说是不是可以用他们在全日本这个8000个营业点来卖这个预售票就是电影的预售票但是大和运输没有答应然后李木米夫还被
[00:22:29] 东瀛当时叫我去骂了一通我当时看到这个例子的时候其实第一个比较吃惊的点还是在于魔女宅急便这个作品最早是因为有大和运输这个合作的策划案才会搞出来一个作品而不是说有了这个
[00:22:44] 那个作品本身然后大规运输来赞助的就是这个就让我们感觉就是其实吉卜利在比较早期的时候跟商业就走得非常近可能也是因为他在德建书店体系里面他可能说整个思路上面有一点被大公司带着走但这个对他自己以后去拓展品牌合作的话也是很有好处的他后来在品牌合作这块思路就放得很开首先他就已经开始倾向于找一种大型的国民级的品牌比如说什么日本航空日本农协然后包括说
[00:23:14] 那个日本随处可见那个果蔬饮料领域的王牌科国美然后包括电信领域的大企业KDDI等等这些都是他们的合作伙伴而且呢这些合作的植入一般都挺自然的比如说当时日本航空是跟红猪做合作的他们这个企划案上面其实就很契合嘛都是飞机
[00:23:33] 百变狸猫里面它主要是一个山野的背景那这跟日本农协也很契合这个其实很容易实现双赢的想想就很有道理另外呢吉布利亚也很擅长就是发动这个合作方的动员能力这个还是举百变狸猫的例子因为百变狸猫是跟日本农协合作这个农协是一个很厉害的组织据说他们当时光是印这个四折宣传业
[00:23:58] 就印了800万册这个当年少年jump的这个发行量也就是650万册就是比这个发行量还要多然后除了宣传册的这个农协还做了很多像什么绒毛玩具啊团扇啊电话卡等等周边产品这个全日本发然后这些周边制作量也是百万量级的就是远远超过想象最后百变礼貌上映的时候其实在东京市中心的上座率并不是很高就是连这个预想的一个平均值都达不到但是在地方电影院就是场场爆满的一个局面
[00:24:26] 这是刚刚你讲的这些数字吧就是在我们媒介或者说电影行业来说都是一个天量级的数字但对于农写来说就是一个很日常普通的事情毕竟它实在是一个太过于强大的一个组织了在日本我们原本还想在中国找一个类似规模的组织做个类比但其实发现其实还蛮难的那对于整个合作这个过程呢林穆尹夫自己在书里有些说法他认为所谓宣传的本质是将周围的人都变成伙伴的工作
[00:24:56] 那么平均下来一部吉布利作品在制作发行和宣传阶段呢会涉及到大概40万人如果这40万人每个人带两个亲朋好友就是在吉布利作品上映的时候去电影院看一下这个就有十大师的120万观众了那再加上电影本身的这个宣发覆盖以及之后的口碑传播整个观众的规模就会越滚越大
[00:25:16] 感觉林木敏夫在考虑电影宣发这件工作的时候还是有一点所谓第一性原理的概念把这个事情回归到动员多少人去电影院看这件事情本身然后把它最后拆解到一些可执行的渠道的一些合作的方案里面是的 你如果看他在书里面讲他每部作品想要达到目标的时候他就是说这部作品要动员多少人一般来说都会出现在第一个目标里面就是他一定要保持这个人的量他才能保持所谓后面的量没错
[00:25:45] 简单总结一下刚才岳老师讲到的这三个点第一是对电影本身内容方向的一个编辑和策划能力第二是对宣传渠道的一个把握能力第三是与强有力的商业伙伴的合作能力林木敏夫的这三个能力的话他们都共同作用产生了一个结果就是把宫崎骏和高田勋他们非常充满个人特质的一些作品变成了一个全民喜爱的文化消费品这里面的关键词我觉得是全民
[00:26:13] 也就是说通过这些方法吉普利的这个动画它从一开始就不限于所谓这个动漫宅的这个小的范围里边而是在全年龄层都能够获得一个广泛的影响力换句话说就是吉普利从一开始就是一个托宅的动画公司它的这种属性也跟它的这个后面的商业运作是密不可分的没错
[00:26:36] 回顾我们刚才讲的这些故事你会发现这其实是一个所谓创业公司如何为一个全新的内容产品搭建销售模式的过程
[00:27:03] 没错 我们刚才其实讲的比较多的都是收入层面的增长如果大家了解吉卜利的历史的话就会知道他在成本支出层面也有一个很重要的改变就是他在比较早期的时候就把当时动画业界流行的既建制的成本的方式变为了全职员工的固定工资制也就是他那些原划师都是吉卜利付固定的工资的这样的话其实也可以带来了前面叶老师讲的不断提高的人力成本
[00:27:31] 这个也是为什么林慕敏夫要不断地把这个公积金的作品要卖到一个高票房的一个很大的动力因为不卖到这么多钱的话他以后就拍不了更多的作品这个之后我们也会继续地提到那讲到这里其实我们其实可以回顾一下这个吉布里工作室还是一个小黑作坊的时候也就是这个创业故事的开头也讲一下我们前面提到过的一位人物就是德坚书店的老板德坚康快
[00:27:57] 没错刚才其实我们提到过它相当于吉卜利的幕后金主嘛在吉卜利创立之初的话其实我们前面讲到那种这个滚雪球的这个正向循环都没有建立起来虽然像风之谷这部作品它还是比较成功的但仅凭这一部作品
[00:28:12] 其实吉卜力在电影业界的影响力还不足以建立而另一边就像我们前面提到的之后作品的吉卜力的制作费用倒是快速的攀升你像龙猫天空之城包括萤火虫之幕这些早期的作品它的制作的精良程度已经是非常高了你放在现在的动画行业都是很高的一个标准而这种高标准的作画就意味着更多的人工你要花更多的原画对吧甚至你要浪费更多的原画经费都是大量的燃烧的
[00:28:41] 虽然说风之谷这部作品它最后的分账收入有7.4亿日元其实很高的一个数字在当时但是在后面制作天空之城和龙猫的时候吉布里就很明显还是在面临资金短缺的困境这个时候出来背书就是德坚康快
[00:28:57] 比如说在制作天空之城的过程中作者显然预算就超标了林木敏夫就发愁然后德坚就说没问题钱有的是问银行借就行了搞了半天是问银行借钱的怎么说呢就是这种前期投入很大周期比较长的项目的确是要靠所谓的融资能力而德坚就是有这个人脉按照林木敏夫的说法德坚刚快特别擅长向银行借钱感觉这个特长真是了不起是林木敏夫很想要的一种能力可能是啊
[00:29:26] 另外一个更有名的例子就是在做龙猫的时候因为天空之城的票房相比风之谷来说是有点下降的所以当时的发行方东宝就不是很乐意发行龙猫嗯就现在大家都知道东宝和吉普利是一个很稳固的联盟啊但当时的话其实都没有结成这样的稳固的关系嗯没有当时就是东宝东营轮着来嘛早期这个东宝的这个影院负责人甚至跟林慕敏夫还打过架啊嗯最后两个人关系不错也算是不打不相识了
[00:29:54] 但是在还没有建立信任关系的时候呢德坚就是亲自出面去威胁东宝的领导说如果你们不发行龙猫那敦煌也不给你们了敦煌一个非常著名的这个电影的名字出现了
[00:30:08] 这是一部1988年上映的电影主演是西田敏行和佐藤浩仕当时是中日两国的蜜月期敦煌是两国重要的一部合拍片当时是在日本一部翘首以派的年度大作然后德建书店是这部作品重要的出品方之一事实上德建康快本人和中国的渊源很深后面我们讲吉布利入华的时候还会提到这一点
[00:30:32] 总之啊在当时因为德坚的这个斡旋东宝最后还是接受了龙猫的发行工作是的这样来看的话其实当时的吉卜里啊它明面上是德坚书店旗下的一个工作室实际上一个更贴切的形容有可能是它更像德坚书店内部孵化的一个创业项目那这种创业项目其实我们知道它前期能不能持续下来是非常的看这个出资人或者说天使投资人愿意给多少支持的
[00:30:59] 而德坚康快恰好是那种对创业者来说最nice的那种天使投资人举个例子2000年的时候德坚康快去世在他的葬礼上面宫崎骏就说德坚社长对吉卜利的作品从不干涉票房好的时候一起开心票房不好的时候也仿若无事一般其实创业初期本来风险就比较大而且资金流很不稳定更何况吉卜利做的还是电影这种长线投入的文化作品这个不确定性就更大了
[00:31:28] 从这个角度看东宝当时就是由于要不要上龙猫也是被验证有点道理的因为风之谷之后天空之城龙猫萤火虫之幕这几部作品票房是一路下降的
[00:31:38] 直到《魔女宅急便》林穆敏夫才真的找到所谓电影营销的感觉吉普利才在商业领域开始真正腾飞而那时候德坚书店其实反而是开始走下滑路了我记得书里面提到说林穆敏夫当时被叫到德坚书店去开会因为当时的吉普利是德坚所有的下面的公司里面经营状况最良好的一家公司没错
[00:32:02] 那讲到这里我们基本上就把吉布利加公司它在商业发展动作上两个比较重要的人都讲到了但是我觉得还是有必要跟大家补充一点信息就是吉布利加公司它的所谓的商业成功里面不完全是我们前面提到这些像方法论一样的东西它里面确实还有很多有点偶然或者说有点个人性的东西对 我觉得这个偶然或者说是这个特殊性我们应该要强调一点
[00:32:28] 第一个点的话就是林木敏夫他本人对于吉卜力的影响力确实是比我们想象的要大很多他和宫崎骏不是那种就是你负责创作我负责商业的这种简单的分工关系啊实际上林木敏夫对作品本身有非常深远的影响一个最显著的例子就是2013年的这个起风了和忽悦记物语
[00:32:48] 这两个作品的确没错都是宫崎骏和高田勋他本来就很想要做的但是在那个时间节点把他提议立项并且计划让他们在2013年同期上映的呢这个是林木敏夫本人的这个主意除了这一点呢像动画电影里面非常重要的像主题曲啊声优这些角色的林木敏夫也会深度的参与比如说魔女宅级别的主题曲为什么是荒井游时来唱的这个起风的男主角为什么是安野秀明来配音的这个都是林木敏夫的
[00:33:18] 大家可以去看一部纪录片里面深度揭秘了安野秀明配音的全过程非常好笑所以说吉布利你要说是一个人那他肯定不是他更像是三个人的工作室就是林慕敏夫 龚启骏和高铁讯没错其实第二个点就是吉布利后期的这种票房成功虽然我们前面举了很多例子比如说什么两倍的宣传两倍的作息之类的但是我觉得更大程度上还是一种所谓的惯性
[00:33:45] 这个惯性呢其实是来自于林木敏夫前期在电影行业做了这么多年他积累下来了很多微信和人脉那跟吉布利关系很近的同时带着另一位著名动画导演压井手前两年就出版过一本书叫并不是想说坏话无人改评的吉布利公国这名字叫并不是想说坏话但其实里面充满了坏话对吧犀利的吐槽全是犀利的吐槽其实压井手可能是少数跟吉布利关系足够近但是地位上面又
[00:34:14] 比较相近的一个业内人而且他跟宫崎骏的本人关系还蛮好的所以他确实敢于说一些话他在书里面就引用了另外一位著名的从业者叫童口真思的一个理论叫座椅理论所谓座椅理论就是日本各行各业都有一把椅子坐上这把椅子的就是不容置疑的大师那在电影行业过去坐在这把椅子上的是黑泽民现在就是宫崎骏
[00:34:40] 一旦坐上了这把椅子你获得的就只有赞扬没有批评而且亚金手还进一步评价说塑造了这种氛围的就是林木敏夫他意思就是说林木敏夫在整个行业里的影响力和号召力帮助塑造了吉布利的神话等于说就是给这个椅子加了一个金钟罩嗯这么说好像有点虚啊我们举一个比较实际的商业的案例就是在林木敏夫的这个回忆里面啊他其实不单单是他自己一个人写
[00:35:07] 还收录了好几位东宝公司也就是这个最大的这个院线的合作方负责过吉普利电影宣发的一些负责人的文章几代的这个负责人啊他们都提到过林木敏夫的这个所谓说服力和鼓动力就是在你和这个林木敏夫意见的不合的时候最终都会被他洗脑然后认同他的一个方向比如说有一位这个东宝的负责人叫四川男他负责的是千语千询这部作品的宣发
