Vol.217 玻尿酸和胶原蛋白为什么要打起来？
[00:13:31] 对的那产生这个现象的核心原因呢就是销售费用的高速增长我们再看财报2020年巨子生物的销售费用是1.58亿元到了2024年这个数字变成了20.08亿元20.08亿元它2024年的营收才55亿元就等于它大概40%的收入拿去打广告对就是这个意思与此同时还能补充一个数字
[00:13:57] 2024年巨子生物它的线上渠道贡献了它总营收的七成再翻译成人话解释一遍就是过去几年巨子生物的业绩尤其是营收部分的暴涨主要就是凭借直播电商带来的销售额但与此相应的付出的代价就是它的销售费用尤其是在线上渠道应销的费用是大涨的最终导致结果就是它的净利润虽然有增长但是并不显著
[00:14:22] 熟悉直播电商尤其是这些消费品的直播电商的朋友应该很可以想象这种邪律上的差别我们前面讲到快速膨胀的销售费用在线上的领域主要就是比如说投流或者是给主播的分成等等的这些方式的确能够帮助一个品牌快速的扩张卖很多的货但大多数的利润是由平台和渠道来获得的比如如果我们只看毛利的部分也就是不算销售费用行政费用这些非成本的支出的话巨子生物的毛利率是
[00:14:51] 一直是很稳定就是80%以上就是护肤品一直是一个高毛利的行业对吧因为毛利这个事情是由它的产品本身来决定它如果这两年没有做什么很大的产品革新的话它理论上毛利的这个部分就是不会变的对吧对 它的产品一直是比较稳定的但我们可以看到相比较于稳定的毛利率它的规模的净利润率却是从60%下降到了37%
[00:15:16] 对于就是过去几年巨子生物从一个原本的规模中等利润比较高的公司变成了一个规模很大但是利润率只是还不错的公司是的就我们指的是这个市场里边啊不是说就相比较于所有的别的行业里边巨子生物的这样一个变化呢其实对应到整个市场就是所谓的从医美机构走向大众消费品市场的这样一个转型
[00:15:38] 在这个过程当中消费者也的确形成了重组胶原蛋白是个有用的皮肤修复加抗衰的成分的这样一种认知如果我们看整个重组胶原蛋白市场的话这几年也增长的很快它已经超过了500亿元这个转型其实可以说是巨子生物主动来选择的因为在这个阶段产品层面它所主推的也是面向消费端的产品最典型的
[00:16:05] 代表就是可赋美品牌旗下的胶原棒那相比较于医用的肤料就是面膜啊就是胶原棒它不论是名字还是使用场景其实都更适合日常的护肤使用就是你就一个小管子然后拿出来用一用涂一涂就可以了这个胶原棒呢是2021年推出的其实剧子身为一个比较新的产品
[00:16:23] 但它的销售已经从当年的2亿元提升到了2024年的24亿元就还记得我们前面讲2024年总的营收才50多亿元所以说这一个产品就贡献了巨子生物四成以上的营收等于这个公司如果有大腿的话这个大腿只有一根啊就是这个胶原棒那它之前其实还有一个爆款就是大腿肯定是它那个医用的辅料嘛但是这个胶原棒已经迅速的崛起成为它现在当下最粗那根腿了
[00:16:48] 他其实也跟我们前面提到巨子生物生根直播电商这个过程是同步的也就是为什么我们说这个转型是巨子生物主动选择的一个规划布局等于他说产品渠道销售的方式是一体的一起来考虑的没错那说到这个教研棒不知道你还记不记得我们节目开头其实提到过这个可赋美的教研棒正是他此次被质疑的那个产品我已经忘了所以说我们其实终于要切入到这个核心的矛盾了
[00:17:20] 那说回这个打嘴仗的过程吧就是我们先来看一下他们两边这次争议到底在争什么到底谁有理吧我们开头其实提到过一点就是这一次这郝宇这个博主他针对胶原棒的质疑主要是在于他的这个重组胶原蛋白的含量是否真的达到他所宣传的0.1%那这个郝宇说是没有的巨子生物说是有的然后双方的各自拿出了这个检测报告来作为证据
[00:17:46] 那后来呢这个争论的焦点就变成了检测方法具体而言这部分的这个内容我也是科普现学的其实非常的专业我也不是很懂如果有说的不确切的地方欢迎听有指正我自己简单理解了一下就是巨子生物它委托的那些机构采用的检测方法呢叫做双缩尿法这个尿是月子旁一个就是尿尿的尿它是一个行业常用的方法
[00:18:09] 特点就是检测速度快缺点就是容易被其他的成分干扰就是你对于蛋白质含量的检测的结果有可能被其他的干扰而豪宇采用的方法叫HPLC法它的优点就是能够区分不同蛋白质的含量就更准确但是耗时更长还有就是它受到送检的样本的影响也非常的大就是这个样本如果取样不当的话其实会非常影响最后的结果
[00:18:36] 接下来就是这两个方法都有各自的缺陷那总而言之从目前的公开信息来看呢好与是被各大平台都禁言了那巨子生物呢则是发布了一个有点说间接承认了此前这个产品宣传有问题的一个声明也就是说双方都有那么一点问题也不是说哪一方能够完全站得住脚但是有一点我觉得是确定的或者是达成这个行业共识了可以这么说吗不知道
[00:19:02] 就是目前市面上的重组胶原蛋白的产品就是欠缺一个权威的检测标准包括产品标准的那不论是对于剂子生物还是其他同行来说这个就是他们接下来要补上的非常重要的一课其实就是所有的新产品出来的时候都会面临一个类似的问题吧虽然事情本身并没有争出一个明显的对错但是商业上面剂子生物是确确实实受到损失那如果从这次事件的爆发时机来看呢
[00:19:29] 这个timing非常重要它达到了这只生物的一个非常严重的一个痛楚因为焦烟暴是他们的拳头产品而且是刚刚推出2.0版5月份正好又是618周期的开始对就等于是一个最主要的这个卖货的时间段然后又是它最主要的产品换新在这个时间点被打了那根据抖音发布的618的美妆排行榜呢就可赋美它是从2024年的销售额的第6名降到了2025年的第18名说明就从这一个小的这个细节来看说它确实受了很大影响
[00:19:59] 而且这个位次的变化其实对应的销售额变化可能是差别会更剧烈一点这也就是为什么高盛这样的机构会下调质子生物全年的营收预期而为什么这个舆论影响后来会变得这么大这还是和我们前面说的华西生物下场参战是直接相关的对的如果只是一个自媒体和一个公司之间的口水仗它这个影响力是远远不足于两个同行巨头之间的
[00:20:25] 舆论战的就是同行的批评往往是最有杀伤力的更何况这次是直指它产品的一个核心竞争力或者是这个产品的正当性的当然这种就是同行之间的相争也是非常少见的那所以问题就是回到了华西生物为什么会亲自下场来发动这个非常狠的这个舆论的攻势那在解释华西生物的动机之前我觉得首先要铺一个背景就是华西生物的这个成长的过程
[00:20:49] 因为这两家公司就是华西生物和巨子生物它们的成长路径真的十分的相似而你看到后面的话有可能就会理解就是这种相似我觉得它间接的也加剧了双方的竞争态势这个华西生物它是成立于1999年当时的名字叫做华西福瑞达其中福瑞达原本是一家单独的公司
[00:21:11] 弗瑞达这个名字我小时候就听说过但是那个时候是政大弗瑞达查了一下政大弗瑞达是政大在1994年入股这家公司以后形成的没有想到这个名字后面还有一些别的流转弗瑞达这个公司确实比华西弗瑞达要早很多他的创始人叫林佩学原来也是一名学者林佩学在他的导师张天明教授的指导下其实研究了11年透明质酸的质别方法
[00:21:40] 透明质酸就是玻尿酸的一个学名之后它就成立了弗瑞达就是想把它这个技术应用到工业界等于是都是走一个学而优则商的一个路子就是滑稀生物和巨子生物其实都是走这个路子起来的这个玻尿酸也是早早的被发现有很大的医用价值比如说在眼科手术里面它可以用来保护眼球的组织然后防止塌陷但是和胶原蛋白一样它早期也得靠动物的提取主要就是从机关
[00:22:09] 就是鸡的那个机关当中获得这个提取同样非常的困难也很耗费机关我查了一下资料就大约200千克的机关才能够提取出1000克的玻尿酸我再去查了一下就一个机关大约是几克到几十克我们算它20克吧相当于2万只鸡的机关才能提取出1000克的玻尿酸这是不是也太费鸡了是啊
[00:22:32] 所以在1980年代的时候玻尿酸的价格是每公斤几万美元的就是它也是属于那种什么白色黄金什么什么黄金的一种那之后呢它的价格大幅的下降也是因为制备方法的突破我们根据现在可查的资料呢最早是资生堂这个公司它利用了一个微生物发酵法来生成了人造的玻尿酸并且用在了护肤品当中
[00:22:55] 之后中国的科研人员就开始在发酵法的基础之上研究玻尿酸的制备其中的学界的领军人物就是我们前面提到的张天明他其实也被称为是中国的玻尿酸之父
[00:23:09] 这里就要查问一下如果都是基于生物发酵法的话这个不涉及到知识产生问题吗我其实也搜了一下这个问题但是没有非常正面的权威的解答因为资生堂当年的专利其实并没有公布具体的细节但是我稍微学习了一下说一个自己的肤浅的判断就是知识产生层面应该是没有什么问题的虽然原理上面国内的玻尿酸制备肯定是沿袭了卫生物的发酵法
[00:23:34] 但是同样的原理理念其实有很多改进和创新的空间的比如说你采用的菌种发酵的工艺提纯的方法还有生产线的成本控制等等的这些都能支持你产生新的专利这个其实也是华西福瑞达或者是福瑞达制造的一个突破另外就是其实目前资生堂等等的化妆品公司他们也都是用中国公司来作为玻尿酸的供应商的对他们也
[00:24:00] 不是特别在意这个事情大家主要做的工作还是把规模做上去把价格打下来对的那这个呢其实也是华西生物和巨子生物的第二个相同点就是他们都是站在海外研究的突破的基础之上把一个颇具商业潜力的护肤成分真正的规模化的推向了市场那我这里又要插文了资生堂自己这么早就把这个东西发明出来了自己怎么不去赶这个趟呢结果还要去买别人的是吧
[00:24:27] 我觉得一方面是因为资生堂的主营业务还是自己品牌的护肤品和化妆品嘛就原料的研发和生产不是他的主业其次呢我觉得就是中国的产学员在于这个降本增效或者产业化这个方面确实是更有实力的就还记得我们在古早的这个国货美妆那期节目里面就讲过嘛就现在中国的化妆和护肤品的这个产业链就能够代工一切品牌就如果你要新创一个品牌的话其实产业链能够帮你做大多数的事情
[00:24:53] 那说回来在成功突破之后呢华西福瑞达就变成了中国玻尿酸领域的领导者当然我还是很关注那个重要的故事线上的变化就是华西福瑞达是怎么变成华西生物的福瑞达是怎么消失的这个实际上是一个先引入了外部的投资然后公司内部又发生了股权或者是权力变更的一个故事啊就是华西公司本来是个单独公司然后他投资了这个福瑞达这个华西的这个创始人叫赵燕
[00:25:19] 之后呢一步步的过程之后呢其实就华西就控股了整个的华西福瑞达最后呢这个福瑞达的部分就是整个的退出了它就改名叫华西生物那这段故事呢就是我们今天就不具体展开了有兴趣的朋友可以自己去搜索简而言之目前华西生物和福瑞达是两家独立的公司它股权没有关系但是业务上是有重合的或者说有一定的竞争关系的那从市场份额上来看呢华西生物在玻尿酸这个领域一直是处于领先的位置
[00:25:45] 并且它走的呢也是一条从医美切入然后逐步进入消费领域的路子嗯等于又是跟巨子生物一样的医美真是一个很好的跳板这里边啊玻尿酸呢还有一个比较明显的特点就是它这个更加普及就是它最早呢是先是注射嘛就是往脸上打这个玻尿酸到后面这个护肤品然后再到口服再到现在其实已经有了瓶装的饮用水就它的这个使用的场景会更加普及一点
[00:26:12] 不过这个我们先放在一边不说比较关键的就是华西生物它在进入大众消费品市场的时候也是着重的依靠了直播电商又对上了直播电商也是大家都很重视一个渠道这个方面其实华西生物走得很彻底我们看到2021年和2022年这家公司的销售费用率我们前面讲过这个数据它的销售费用率已经接近了50%
[00:26:36] 就是比巨子生物最高的时候还要高那这两年呢是逐步下降但是也有45%以上当然这里面有一个情况就是玻尿酸的普及要更早一些嘛然后同行的竞争也更激烈那线上营销的这个效果呢也会更有限那净利润率呢就更加走低了简单小结一下华西生物和巨子生物其实都代表了同一条就是国产公效护肤品的发展路线
[00:27:00] 首先是技术公关然后是把一个高价格的成分的价格给打下来然后呢就是从医美行业去切入逐渐普及到大众市场并且在这个过程当中大家都借助了直播电商的红利快速扩张当然呢利润空间也会逐渐的变薄嗯一句话就是华西生物看巨子生物满眼都是当年自己的样子是吧那也正因为此两家公司肯定都能非常容易理解对方啊那这种
[00:27:25] 追求快速扩张路线呢核心就是要抢占市场的龙头地位那为此呢就会牺牲一定的利润空间这个大家都是愿意的这里面还有个背景就是当他们在各自的细分领域率先突破以后呢市场上很快就会跑出很多竞争者玻尿酸领域就不用说了在重组胶原蛋白领域呢其实也有别的上市公司比如进波生物对的正是因为有了激烈的竞争所以自己才要跑得更快
[00:27:51] 而舆论战可以说就是这种竞争白热化的体现说的直白一点华西生物之所以要在舆论上打击巨子生物是因为站在它的角度上来看巨子生物所代表的重组胶原蛋白的产品已经严重的威胁到了华西生物的玻尿酸的生意这种判断从大的数据上看而且是不无道理的2020年巨子生物的营收只有华西生物的三分之一到了2024年已经是55对64亿这样一个很接近的水平了
[00:28:19] 而巨子生物的净利润呢虽然我们前面说它已经变薄了但是也已经是滑稀生物的三倍了其实如果再把他们两个的财报的时间点横向一比来看呢会发现滑稀生物业绩放缓的时间正好是巨子生物快速穿生的时间对就如果你客观来看的话就是一个很明显的此消彼长嘛而且呢滑稀生物自己可以说是直接挑明了就这两个成分这两个产品之间的竞争关系
[00:28:46] 这在5月17日就是在豪宇指责这个交援报之前华西生物其实已经发动过一次舆论攻势了那个时候的这个对手或者是对象呢是一批券商公司就是华西生物指责他们这些券商啊在自己的言报当中贬低透明质酸也就是玻尿酸因为他那里面说这些
[00:29:06] 玻尿酸是过时的不安全的一个成分然后华西生物就认为这些都是不科学的言论而且要求分析师们要学习基本的生物专业知识有意思的就是这些被批评的研报他们的主角其实全都是巨子生物也就是说华西生物虽然说它针对的是巨子生物这个公司
[00:29:27] 但本质上它其实针对是重组胶原蛋白这种成分也就是说一旦从业内到消费者都认可了比如说胶原蛋白可以替代玻尿酸那不是意味着这个巨子生物可以替代我们滑稀生物吗那滑稀生物不就很被动了吗而从前几年看又的确有这样的趋势所以它肯定比较着急如果我们仔细看这次舆论战当中滑稀生物所发的一些文章就会发现它的目标就是很多重的首先呢
[00:29:53] 他会声明说自己的业绩下滑不是因为玻尿酸受到了新的成分的压力而是因为自己资产的减计同时他又会强调自己在玻尿酸这个市场里面是处于一个高端的位置它的盈利能力是很强的
[00:30:07] 就算玻尿酸这个成分受到了胶原蛋白的影响那受压力的或者受影响的也会是一些生产低端产品的公司就是我自己是没关系的我很厉害这个显然是对着投资者说的但第三呢他又会强调说有的公司所推出的重组胶原蛋白在学术上是有争议的应当要监管应当要规范对他这条生命设计还蛮好的既有防守又有进攻但接下来就是比较有趣的地方了就是我们刚才说了那么多就是来论证说
[00:30:37] 重组胶原蛋白和玻尿酸这个成分的竞争关系但是理论上就真的论功效的话两者或许并不是竞争的关系或者说它们的功效并不重叠这里我们就不展开很复杂的科普了就再打个简单的比方就如果我们把皮肤组织看作一个房子的话前面我们说过胶原蛋白是钢筋或者是钢筋的结构而玻尿酸是水泥所以两者组合在一起才是钢筋混凝土就等于它们
[00:31:05] 最好是相互配合在一起用是比较合适的就是比较粗浅的理解是这样当然这个比方真的是比较粗的但你落实到具体的产品上面是不是真的什么两个配合就更好真的说不清楚有很多很多的变量而且有太多的规范都没有厘清
[00:31:21] 但问题是这种科普在消费端的层面你想想都知道是很难渗透的对吗就是消费者只会看到说同样的护肤品打的都是修复抗衰老的功能产品形态的也类似要么就是面膜要么就是棒使用场景也类似那么在实际的消费过程当中就是会有一个二选一的过程等于说他们可能在功效上面略有一点差别但是他们抢夺的消费者心智是同一个
[00:31:49] 这就是为什么这两个公司要针对成分下这么多的口舌打这么多的口水仗因为他们争夺消费者就是同一轮消费者在护肤品的市场成分这种理念的普及总的来说肯定是一种进步但一款护肤品的功效到底如何实在是一个非常专业的科学问题如果你去看一些论文它往往不会给你一个非黑即白的答案而是强调有许多因素条件都会影响这个结果
[00:32:14] 包括这次的舆论战当中除了检测方法的问题其实可以看到后期消费者对于胶原棒的质疑其实变成了这个重组胶原蛋白真的有用吗那目前我们看到不管是权威的检测机构还是专家其实都也没有给出什么明确的答案那这种状态其实是护肤品市场的一个常态就有很多产品它的功效都难以有非常清晰定量的结论这个实际上是个客观情况了
[00:32:42] 但是你进入了营销环节之后消费者实际上需要的又是一个非黑即白的答案可以说成分一方面去灭了许多传统的护肤品的话语体系但另外一方面自己又形成了一套新的话语体系等于说国产巨头们正在争夺的其实是全新的行业的话语权
[00:33:01] 在激烈竞争的护肤品领域产品本身的不言自明的绝对优势或者说是互称和实际上是很难长期维持的华西生物和巨子生物的发展历程就是最好的证明而当他们自己从挑战者变为巨头之后他们也会被新的挑战者来追赶那话语权的争夺就会变得重要起来商业就是这样
