Vol.65 如何给城市打分？
[00:04:10] 就是我们这个城市商业魅力排行榜案从我们2016年定下这个名字然后开始持续的监测中国城市到现在为止呢一直是分成了五个一级维度然后在今年的话我们是有17个二级维度和78个三级维度来构成的其中二级维度其实每年也基本上是非常固定的一些评选的一些指标了那么这个三级维度呢大部分也是固定的但是因为每年的情况都会有一些变化我们也会做一些大概的一些调整
[00:04:39] 我来给大家首先介绍一下整个框架的情况这个一级维度我们一共是分成了五项第一项叫商业资源的集聚度它主要其实还是去衡量一个城市里面它对于这些品牌性的商业资源还有一些基础的商业资源它的吸纳情况以及它整体的一个发展的成熟度的第二个维度是叫城市枢纽性这个其实是很字面意思的就是一个城市它在整个城市网络里面它是不是一个重要的枢纽节点
[00:05:05] 有意思的一点就是我们并不是仅仅衡量的是比方说交通物流这种非常具有这种枢纽感的维度我们同时也还去考量了一个城市里它在商业的整个商业资源的布局里面是不是具有一个枢纽性的特征
[00:05:21] 第三个维度呢叫城市人活跃度这个维度其实也是顾名思义就是说它其实是看一个城市里到底有多少人它其实是在这个城市里表现出它的活力的那这些其实是用很多大数据的这种行为指标来构成的包括了比方说我们的消费的活力然后社交的活力还有很典型的一个时间特征的就是夜间的活跃度
[00:05:43] 生活方式多样性第四个这个维度其实和城市人活跃度的数据源比较相似它很多也是采用的一些互联网大数据来衡量的但是呢它又比城市人活跃度处于一个更高的一个层面上就是从我们的马斯洛需求来讲它其实更偏向于一些改善型的或者是一些精神层面上的一些需求所以它最终呈现出来的是我们对于生活方式的选择
[00:06:07] 那么这一块就是构成了我们生活方式的多样性
[00:06:30] 那最后这个一级维度叫未来可塑形它其实很明确就是指向于我们对于未来的一些关注点的这个里面包括了像创新氛围像人才吸引力这两个很重要的就是在过去这些年我们都非常强调的一个
[00:06:52] 在这个维度当中我们也没有回避去纳入了比方说GDP人口的规模这样的一些指标来去反映一个城市整体的宏观性的这种规模和增长发展的情况那么这样子来看就是构成了我们整一个城市商业魅力的指标体系用来衡量中国所有的这个337个地级以上城市它每年的一个发展情况
[00:07:14] 刚刚那段其实信息量非常大我记得最早的时候1516年来定这些那个一级和二级维度的时候我也参与过一些对吧那个时候其实是有蛮多讨论的我简单的给大家直白的翻译一下就是五个一级的维度然后城市的五个方面对吧第一个叫商业资源聚集度的话其实比较好理解就是一些比较熟悉的一些品牌或者商业的一些实体
[00:07:40] 在这个城市里面是不是够多或者说是够好然后城市的枢纽性就是人或物包括是一些从那个公司角度来说这个城市在一个区域里面它到底是多么重要或者说它是不是有一个中心枢纽的一个作用像生活方式的多样性还有第三个指标就是城市人的活跃度的话属于新鲜的这个指标里面比较有特色的
[00:08:03] 会看比较多跟我们人生活相关的一些数据然后比较多的会和现在移动互联网之后的一些平台的那些数据来做合作然后未来可塑性的话其实是一个我感觉也比较少见到别的一些榜单来看的一个维度就是会讲创新会讲人才然后会讲规模平时的话GDP或者是人口什么的会作为一个重量的指标但在这个里面有可能只是二级维度下面的一个
[00:08:31] 数据来源之一对吧我们是综合的来看作为一个城市的未来可塑性我不知道听友们听完这个五个指标是什么样的感觉我觉得还是很明显的就是它很贴切商业魅力这个关键词因为城市的观察维度实在是太多太丰富了不可能一个榜单里面既考虑到规模又考虑到财政又考虑到移居还要考虑到商业我们觉得是不可能的其实我们就专注在商业的这一个点上面然后把它一步步拆分就是找了这五个点
[00:08:59] 对的这里我也补充一下就是其实在我们今年来去设定这个城市商业魅力排行榜它的一个分析展开的一个主题的时候我们把今年的这个主题定做叫商业文明城市的发动机其实从我们建立这个城市商业魅力排行榜之初呢我们就是想去强调城市尤其是这个现代城市里面的这个商业文明
[00:09:24] 它的这个发展进程其实是更能够直接和实际的去指向中国城市的繁荣程度的因为过去我们可能
[00:09:33] 比较常见的是我们刚刚就萧老师提到的这个GDP啊人口啊这些规模性的结果数据它反映的其实是一个宏观经济发展的结果但是这个里面有很多的内容是我们的这个生活在城市里面的人他不能够直观感受到的就好像其实每个城市里面GDP有多少万亿其实作为生活在城市里的人你其实是不是不知道这个巨大的数字和你自己在城市当中的生活之间究竟有哪些直观的联系
[00:10:00] 但是很多人呢他其实是会感知到我旁边的咖啡店越来越多了我去这个商场逛的时候选择越来越多了我这边发快递的速度特别快或者我叫外卖的选择很丰富那么这样的一些实际我们说城市的这个商业数据它能够很直观并且是非常贴切的去让我们感知到我们生活的城市到底是不是一个繁荣的城市是一个我们想要生活的城市
[00:10:25] 也就是说我们还是需要一些比如说把宏观数据和微观的一些观察结合起来的一些视角我觉得这个模型可能最好它在宏观和微观这个事情上平衡都非常好也不会出现家门口世界就是我整个世界这种状况也不会出现那种特别自上而下的一个视角对的那我觉得这个其实就涉及到方法论上面接下来的问题就有两个一个就是用哪些数据对吧具体哪些数据能够实现这样一个
[00:10:53] 宏观和微观都结合的一个目标这个我特别感兴趣然后第二个问题就是你这些数据之间如何来组合或者如何把它运算出一个结果对吧你需要有一个统计计算的方法这两部分要不第一个部分从了先来介绍一下吧这数据是哪里来的好的其实我们的数据呢现在刚刚介绍到有从三级维度来讲有78个指标但实际上我们三级维度还有一些更深层次的数据展开那么其实肯定是上百个指标了
[00:11:22] 这些指标我们基本上有三个来源第一个是我们自己去整理和收集的数据这块主要是一些原始数据进行一个大量精细的加工之后得到的一些指标一块呢是来自于公开资料还有一些是数据合作数据合作这块我们是长期和将近20家互联网公司或者一些大数据机构来进行合作的他们相对稳定地给我们输出每年他们自己平台上用户留下的这一些数据
[00:11:48] 那么自己收集的数据呢我们主要是构建了一个新一线城市商业数据库在这个指标里面其实是我们监控了170个主流的消费品牌基本上大家都是非常熟悉的一些品牌然后他们在中国所有城市里面的这个开关店的情况就是每一家店的开店和闭店其实我们都会在每年的这个数据更新里面记录下来
[00:12:08] 然后这些数据的变动呢其实就可以去反映出来比方说这个城市里面它这些品牌一共我们比方说170个里面它一共进驻了多少个然后这些进驻的品牌在这个城市里面目前有多少家门店他们每年的这个是增长还是减少那么这些测算呢其实就可以形成我们在这个商业资源集聚度里面的一个大品牌青睐度的这么一个维度
[00:12:31] 同时呢包括说这些品牌它其实每一家店都是在城市里面有一个实际的选址落位的空间点的这些门店它的这个实体的空间就构成了一个城市里面真正的一个实际的商业发展的空间或者我们就叫商圈那这些商圈的发展情况呢其实就可以形成一个商业核心指数
[00:12:52] 他能够去衡量说这个城市
[00:13:21] 这些大型数据的加工和使用也帮助我们从不同的维度上对于城市形成了更好的一个理解
[00:13:38] 那么公开数据的整合其实比较好想啊很多都是来自于这些城市的统计公报和其他的统计资料里面的一些经济发展啊人口规模相关的数据那么今年呢我们是特别去把刚刚结束公布的这个第七次人口普查我们叫七普的人口数据放到了我们的指标体系里面因为其实每十年的这次人口普查它其实是一个质量很高的数据基本上我们所有人都参与了这件事情
[00:14:06] 也就是说基本上每一个人都纳入到他的这个城市人口的计算当中而且他数据披露是比较全面的所以我们在这次的使用当中呢把这块数据作为今年相对比较重要的一个统计数据放在了指标当中我觉得刚才从头讲到数据很多都是我能想象到的继续问啊就是有什么我没有想到的或者说大家市面上大家可能都意想不到或者觉得就是其实它是很管用的那种数据
[00:14:33] 其实这块的数据我们也是在历年的这个数据整合的过程当中慢慢发现有一些数据它能够反映的问题比我们实际看到的更多比如说民航这块的数据我们每年是请这个
[00:14:45] 非常准然后通过每年实际上每一个航班它的这个运行情况来给我们来提供的所以它其实是一个纬度非常细的一个数据的指标然后包括公路的货运量是我们去年开始增加的这块我们请了一个专门做公路上数据监测的机构叫G7它来提供那么这两块数据呢其实能够非常细致的去帮我们刻画出城市之间这种人和货的流动
[00:15:11] 从我们今年拿到的数据看就是虽然疫情的影响还是在2021年得到了一定的恢复的那么到底恢复到什么水平呢比方说其实我们认为最受疫情影响的这个民航业的发展它其实是很能直观地反映出目前的一个恢复状态比方说一线城市来看民航的旅客吞吐量是回到了以前的50%左右这个里面其实很大的一个影响还是来自于国际航班量的锐减就是这个
[00:15:39] 几乎可以忽略不计的这个数据其实对于一线城市整个民航的发展还是有比较大的影响的
[00:15:45] 但是比方说新一线城市它其实主要还是服务于尤其是像西部重庆和成都它还是主要服务于国内的航线的那么这块他们其实恢复就比较不错比方说它已经恢复到了疫情前的重庆是87%成都是84%那么这样的数据其实就可以帮助我们更直接的去理解说这个疫情到底对我们的人的流动或者对民航这个行业的发展城市之间的勾连之间到底有实际上多大水平的一个影响
[00:16:12] 包括说公路货运的数据我们在启示之前第一财经杂志的这个稿子四月卡住的长三角里面也提到了比方说上海从三月份半封城开始这个货运的流量是从三月的最后一周90.27直接就是巨跌跌到了四月末尾的
[00:16:30] 17.11这个数字其实就是很直观的能够反映出我们目前城市里面货物流动的状态像这样的这些数据呢其实都会比我们可能在其他的一些相对宏观的数据里面看到的这个经济的变化城市之间的联系给我们的感觉更加直接一些也更有用一点简单总结一下的话我自己感觉好像有三个数据的来源一个是我们自己去搜的
[00:16:56] 或者说自己来日常监控
[00:17:25] 第三部分就是品牌或者是平台的一些合作
[00:17:28] 对吧他们会给一些颗粒度更细的一些数据包括刚刚讲到的民航货运还有一些生活方面的消费等等的这些数据的话只有那些平台来掌握因为他们就是发生了个实际的商业行为其实会记录下来对吧但这个里面我觉得有一个问题要插着问一下丛乐就是每次我跟别人聊到新一线的数据我的时候人家都会问为什么这些平台要给你数据呢然后他们给这些数据难道不涉及到用户的隐私这类的问题吗他们都会问这两个问题
[00:17:57] 对这个先是回答后一个问题其实当这个平台上的数据它已经把颗粒度提炼到城市这个级别的时候就已经和用户的隐私之间已经完全脱钩了它都是一些处理过的数据一些宏观性的统计好的数据而且其实每个平台它对自己的数据现在的这个安全出口的审核是非常严格的几乎我们拿到的所有的这些涉及到用户的互联网数据都经过了二次脱明
[00:18:26] 也就是当他们给到我们一些城市相关的指标的时候我们其实是看不到它背后的绝对数字的比方说它的用户活跃的情况它都是处理成为一些比方说百分化的一些指标然后才给到我们那么回到您刚才说的那个问题就是他们为什么愿意给我们数据其实我们这件事情做了七年下来我觉得很多
[00:18:46] 一直以来跟我们一起参与这些数据合作的机构
[00:19:04] 这个其实是大家都蛮愿意参与的一件事情那么同时呢因为作为媒体机构我们去整合这些数据的时候确实也给到他们带来了一些将自己的数据更有用这样的一些能力的展示那么我觉得对于很多企业来说可能也是一个挺好的展示自己的机会对有的平台就是有时候聊到的时候他们会说外界有可能会觉得好像我们很宝贝这些数据但是其实把一些结果以他们的名义能够发出来的话他们还是蛮愿意的
[00:19:33] 然后有的时候甚至会主动积极的配合说我们最近有了些这些新的维度就你看能不能用在这个体系里边什么的这种情况是反而更多的然后其实前一段时间的话还会比如说平台提出了这样的要求反而会新一线这边要拒绝一下对吧就是不是什么东西直接就可以拿进来纳入到这个体系里边是的就是因为我们要架构这整一个指标还是要去考量这些
[00:19:54] 平台他们提供的数据它整体的这个市占率是不是能够更宏观的去反映目前市场上的一些情况对 你有一些品牌其实它可能市占还不够高那么在它这个领域里其实也会有相应的竞争对手对 那同时另外我们也要衡量一下这个指标对于这个商业魅力的反应是不是一个相关度很高的东西对比方说我们一直没有纳入的一个指标就是房价的指数很多很多人一直会问新一线你们这个指标
[00:20:23] 你为什么跟房子从来没有关系我就会反问他我说你告诉我一个城市的房价更高你生活的越幸福还是房价越低生活的越幸福那很多人第一反应就是那肯定是低于我的成本低但是我说你会去两万块钱买一套房子的贺港生活吗
[00:20:41] 其实房价的绝对高低和城市它的繁荣度
[00:21:07] 如果你想要表达的是宜居程度的话
[00:21:35] 我们接下来就想问的就是第二个部分就是你收了这么多数据之后
[00:22:04] 怎么来把它总和在一起你要有个计算的方式要有个统计的方式对吧就是比如说五个一级维度各自的占比应该是多少是五等分的还是怎么样然后接下来的二级维度你应该怎么来算这个东西从来没有介绍一下吧那么其实在计算方式上呢作为一个就是常年用大数据思考团队啊其实我们最开始去设计整个模型它的权重的时候呢
[00:22:27] 最开始的想法就是直接用客观权重来刻画整个城市发展的情况所以我们在这个所有客观权重的这种算法里面找到了主成分分析法它是更多的是通过数据之间它的这个差异性关系来决定每个维度的权重的这个稍微打断一下要不我从来先给大家介绍一下什么叫做客观的权重算法什么叫做主成分分析法我听不懂的东西已经出现了
[00:22:52] 客观权重其实是这样子就是说我们人对于一个算法模型的干预叫做主观的就是我认为这个维度应该是多重比方说我刚刚肖老师提到说我是不是可以把它平均分这个其实也是主观的一个想法而客观权重的方法其实是说我不参与机器对于这件事情的决定一切交给数据模型机器的算法来去做决定
[00:23:16] 这个时候是不是平均分我说了不算而是机器通过它对于这些数据的理解给到你的一个结果这个叫客观权重算法那么主成分分析呢是其中的一种方法它采用的这个机器模型里面更核心的一个考量方式就是我们更多的去看这些数据之间它数据之间差异更小还是差异更大来决定说我这个权重大多少
[00:23:37] 我们之前把所有的这些维度用助成分分析法做了一次打分打完之后发现机器对于程式是没有理解力的它能够处理一些细分的维度之间的权重的差异但是一旦到我们让它去决定商业更重要还是人更重要还是未来更重要的时候
[00:23:56] 他其实给出的一个结论是让我们觉得非常不make sense的所以我们会觉得说这件事情可能我们需要一些更靠谱的人来做决定就好像我们说人工智能目前阶段的核心还是要人工去决定智能对所以我们在这个过程当中呢去组建了一个专家委员会基本上还是各个领域和城市相关的领域的一些专家教授他们来提供一个关于这个
[00:24:20] 更大的这些权重的打分我们每年就会把我们的整个指标体系发给他们然后请他们凭着他们自己对于这些指标的理解来给分所以每年我们会请他们把一级维度和二级维度的权重打完反馈给我们我们再整合到几个专家各自的意见来去形成一个主观的权重那么至于后面很细分的这些70几个指标之间的这些关系我们就交给机器来决定了简单总结一下就是我们刚才讲了有一级二级三级四级的维度
[00:24:48] 比如说举个例子啊就是那个大品牌的青睐度里边有品牌的门店数据然后有入驻品牌的数量然后有品牌的增长数组合成了一个大品牌的青睐指数那么怎么来组合呢这个当中的各自的比例就是由这个所谓的主成分分析法其实就是一种统计上的方法了就是可以让他自动的能够算出一种比较合理的比例然后最后把这个指数算出来对的那至于这个二级的维度这个指数和指数之间各自应该占多少然后再到了一级维度就是刚刚我们讲的
[00:25:18] 比如商业资源积蓄度应该占多少的比例城市的枢纽性应该占多少的比例这个就要靠人工来了是一个主观的一个权重是这么个概念对吧对的说到底就是我们要告诉大家一下这个事情我们不是一个黑箱也不是拍脑袋就决定的这个权重到底是怎么样也不是完全由我们个人来决定的就是它确实是一个客观和主观相结合而且结合的比较好的一个方法
[00:25:42] 是的这很重要这个其实我知道也是就是做了这么多年以来是有一个进化的过程的最早的时候其实是紧要想要所谓客观后来发觉反而尽量的客观是未必能够展现出一个实际情况的就是尽量往完善的方向来做的现在一个结果也并不是说这是这一套方法就是一定是最完美的因为毕竟到现在也没有出现一个什么无敌的人工智能能够搞清楚怎么来评价一个城市对吧是的
[00:26:13] 那刚才一段还是比较硬的解释了一下如此庞大的一个数据体系到底是怎么来的虽然是比较干啊但我们觉得还是有必要给大家解释一下因为不解释这个清楚的话你误论吞早的听后面内容的话其实你就像看比赛只看一个比分结果一样也是不知其所以然的
[00:26:31] 那有了这个框架之后呢我们接下来就把五个一级维度逐个的来展开看看它们各自代表了什么样的意义然后今年的这些结果具体的这些指数里面有什么值得关注的点然后背后代表了城市哪些新的变化那么我们要不从第一个就是商业资源积极度开始从来来介绍一下吧
[00:26:52] 好的商业资源集聚度其实它是我们刚刚有介绍到就是我们其实是通过长期去监测的这一些主流消费品牌来反馈了其中很大一部分的数据这个里面呢其实很重要的就是看两件事情一个是这些品牌是不是在关心这些城市就比方说我们说到一些品牌它在有一些头部的新一线城市里面它其实是已经完全的禁住了比方说我们以前经常会看到这个
[00:27:21] 奢侈品品牌进哪个城市这个其实大家很关注的一个点因为它其实代表的就是这个城市它的消费能及它的消费者的这种热度已经足够吸引到顶级的品牌进入到这样的城市里面了
[00:27:35] 类似于这样的进驻呢其实我们现在也经常用一个概念叫手电来去说这样的机会啊这手电呢其实就是意味着这些品牌它对于一个城市的观望结束了它开始真正的脚踏实地的进入到这个城市里面来展开它的经营那么我们今年在这个数据里面也分析到发现说比方说头部的新一线城市里
[00:27:56] 杭州成都他们其实在我们监测的170个主流消费品牌的进驻基本上都已经全部完成了也就是他们其实这个大品牌对他们的关注已经是所有的品牌都愿意在这个城市里面去落地开店
[00:28:11] 而一些尾部的新一线城市啊比方说尤其是大家很关心的像东莞佛山其实过去因为他们在整个经济总量包括其他的一些宏观数据上并不是那么的突出所以其实他们吸引商业资源的速度和能力是比较弱一些的他们还有很多很多的这种我们关注的这批品牌都还没有进来更别说是一些更新锐更小众的一些品牌了那么这种
[00:28:35] 我们乐观点讲呢积极点讲呢叫还存在大量的手电机会那么也是一个对也是一个未来他们发展的一个支点吧就是说当还有很多品牌有机会还可以进入你这个城市的话那么未来就还是可以有机会去提升整个城市的商业能及包括是在区域里面它的商业辐射力的
[00:28:57] 从来我这里想插一个问题因为我们一直说我们的这个消费品牌的数据库的话大概是覆盖长期监测是170个主流消费品牌因为我们去年在做安福路那篇稿的时候其实是合作过的当时我们是看到安福路这边有一些新的消费的趋势当时也请你的团队来帮我们看一下有没有什么数据上面的支持
[00:29:19] 当时有一个很好玩的事情就是因为这些品牌都不是你们监测的170个主流消费品牌我想知道就是说这个主流消费品牌的名单的话它会有一些变化吗或者说你们会考虑今年再扩充一些新的消费品牌吗是的这个问题其实很多人也会直接问我们那你们这170个品牌都有哪些呢这个如果要报菜名就有点长了但是如果说大家手头上有我们杂志的话其实可以翻到我们整个榜单的最后面其实是有一个索引目录的
[00:29:49] 给大家举几个例子比方说你关心咖啡馆一定要关心星巴克对吧然后你关心餐饮你肯定优先要看肯德基麦当劳怎么在
[00:29:56] 开店包括说你关心奢侈品牌那么头部的几个奢侈品牌IOV啊Gucci啊包括爱马仕它的门店情况都是大家需要关心的我们一共有二十几个这个类目然后每个类目里面呢主要还是收集了一些大家比较认可的然后在中国市场扎根时间也比较长的一些品牌当然我们每年都会去调整这一个关心的目录因为首先有一些品牌它有可能整体上退出了中国市场
[00:30:22] 或者是它的门店量锐减减到它其实不太具有一个城市的标志意义了那我们会把这些品牌去掉那同时呢也会把一些新的品牌纳入进来比方说今年我们就重点的把新的这些咖啡品牌放进来了
[00:30:37] Mannon啊然后CISO啊然后Pierre Cafe啊这些包括那个Teams这些都其实都放进来了然后包括我们今年还增加了这个超市的类目里面我们增加了沙姆会员店和麦德龙这种会员制超市它的一个拓展的情况因为这两年其实会员制超市的拓展还是相对比较快的它也代表了一些新的零售消费的一些发展趋势
[00:31:02] 那么这个品牌库呢我们扩展的不算特别的激进因为我们需要这些品牌它在中国全国的这个城市层面上能够有代表性
[00:31:11] 但同时呢在我们新一线城市研究所的这个数据平台支撑上面我们其实是有500个品牌的关注量做商圈级别的测算那么其实我们的这个底库呢有上万个品牌而且我们最近还在进一步的去整理这上万个品牌能够在城市微观的层面上怎么去反馈包括说这些尤其是在一线城市里面的首店品牌能够怎么样比较快的纳入到我们的评价体系当中这块其实都还在一个数据算法的升级过程当中
[00:31:40] 刚从头提到一个概念就是商圈因为商圈的话我们做商业地产的时候也经常碰到这个概念或者说大家可能约定属层会觉得说自己所在的商业聚集度比较高的地方它自然就是一个商圈但是新一线去讨论商圈和比如说我们普通人或者说政府部门去讨论商圈的时候它有什么差别吗或者我们新一线滑出来商圈的话有什么能够看到更多数据指标的一个地方吗
[00:32:06] 其实商圈这块还蛮有意思的就是过去我们对于一个商圈的理解基本上来自于经验就比方说我认为我自己所在的这个地方是一个大家约定俗成的名字它大概在每个人心里都有个边界的范围比方说在上海你问我们所有的同事南京西路商圈和静安寺商圈之间有没有一条界限呢大家一般都会认为有但至于是哪条马路每个人的理解都不一样这个在日常的生活当中没有任何影响因为它不会影响到你的外卖不能跨区送
[00:32:35] 对吧不能跨商圈送这样的问题但是在现在可说不好那个是行政区对吧就是你在商圈这个层面上因为是没有一个行政的规范它就是一个大家约定俗成的想法所以它其实不太会涉及到一些就是正常的对于城市空间的使用但是在我们做城市大数据计算的时候你如果没有边界你就算不清楚了那我是不是可以把
[00:32:59] 整个南京路商圈从中山东一路我们的外滩一直算到金安寺呢是吧就是这个其实是可以去看维度以来就是想这样算的因为我觉得它还蛮连续的是这样的话中华第一商圈肯定就在上海了对吧那这样的话会不会新街口不服会不会春夕路不服会不会王府井不服我们其实是不太清楚的
[00:33:19] 所以为了能够更好的
[00:33:49] 实现了这样的一套算法之后我们对于城市的商圈就会有更加具象的一个理解它是能够更好的帮助我们是在经验之外能够相对全面和量化的去分析城市里面的商业空间形成了一套方法和底盘
[00:34:10] 那这个的话我就要追问一个基础的问题了就是其实前面提到的房价也是有点类似的就是为什么我们要在这个城市的排名里面要引入对商圈的一个判断这个判断的依据或者这个逻辑是什么比如说一个城市商圈多或者大它代表了什么呢是怎么来放到这个数据的指标里面这个能不能简单地解释一下背后的逻辑
[00:34:31] 首先我们在任何一个去到陌生城市的拜访的这个机会当中啊所有人都会有一个经验如果这个城市里面有很多个你需要去的地方一般来说这都是个大城市如果这个城市里面只有一条主街或者只有一个主的核心商圈它一般都是一个小城市
[00:34:48] 那么为什么我们会认为那些商圈多的城市是大城市呢因为它其实是有很强的这个商业资源的承载力就是说我们的这些品牌进来的时候它不会因为这个城市只有一个商圈它就只开一家店它可以有三四五六种选择所以其实在一些
[00:35:05] 相对商业繁荣度更高的城市里面不光是我们人的选择更多品牌去选择这个城市的时候它的机会点也会更多所以这就决定了一个城市它的这个我们先说商业资源集聚的这个程度上它其实是一个更有潜质的空间
[00:35:20] 那么另外来说就是对于生活在一个城市里的人来说其实目前我们现在的生活状态越来越不会像是二三十年前我们逛街一定要去市中心的地方大家基本上都是就近社区的或者区域型的这些商圈都能满足我们大部分的日常消费需求了所以在城市里面来说商圈的层级更丰富各种各样的商圈能够尽可能近距离的覆盖到我们的居住范围
[00:35:46] 就是我们说的15分钟的这个便利生活圈里面如果能有好的一些优质的商圈其实对于周边生活的人工作的人来说他的幸福感指数是很高的所以从这个层面上来说我们也会认为商圈越多商圈的能量越大这样的城市它其实是在商业魅力上会更强的前面从来讲了很多但是我还想听具体的例子因为我好像日常接触的几个大城市的话好像还是单中心格局或者说明确的双中心格局比较
[00:36:14] 有没有那种多中心比较均衡发展的城市因为这个好像听上去就比较少见
[00:36:21] 对其实这两年在新一线城市里面出现这个双中心或者多中心的城市越来越多了比方说最典型的是那个重庆很多人都知道其实虽然原来重庆的老的这个核心商圈在解放碑但是现在这个观音桥已经基本上能够完全和解放碑去匹敌了那么另外一个这两年发展很快的城市就是西安所有去过西安的人都知道我们那个西安那条街叫什么来着那个好吃的回民街
[00:36:49] 对对对所有人都知道去西安就是肯定是要去它市中心的这个钟楼和回民街去过夜生活对吧就是钟楼以前是西安最核心的一个我们说的单中心的这个中心但是这两年呢西安的商业其实扩展还是比较快的比方说这个永宁门商圈和小寨两个商圈它其实通过一些新的这个商场的开业包括说一些核心品牌的进驻它其实已经和钟楼的能级相匹敌了而且因为钟楼它现在更新的速度还在一个进展的过程当中
[00:37:18] 所以现在西安实际上是形成了三个商圈势均力敌在发展的一个阶段这也将西安带入了一个商业多中心发展的局面当中而品牌在进驻西安的时候选择也就变得更多了也就相当于说原来你可以说只能选一个地方现在你可以选三个地方或者要么我三个点都开
[00:37:40] 我觉得这个逻辑还是比较重要的就是如果你单纯来看一个城市的一个商业品牌的规模的话其实你看总数就可以了就为什么还要把颗粒度放得更细来看商圈然后看各自商圈的数量然后那个层次然后单个商圈的能力就是因为这个还是就是分散或者说是多元还是蛮代表一个城市商业的实力或者说它跟人具体的这个关联度的
[00:38:07] 是的。
[00:38:29] 那我们就进入第二个部分就是第二个维度城市的枢纽性我觉得这个最近我们普通的市民应该对此有更加深刻的理解尤其是上海市民简单介绍一下这个城市的枢纽性里面我看它是有四个二级的维度一个是城际交通基础设施的指数比如说高铁啊机场啊
[00:38:52] 那个民航啊等等的还有一个是交通联系度就是来看它和一些周边的城市或者是高铁相关这个城市的往来的这个程度对吧还有是一个物流通达度其实是看货的然后最后一个的话是看商业资源的那个区域中心度的就是我们比较直观的理解就是在一个区域的城市群里边然后它
[00:39:18] 这个城市在里边是不是一个中心的地位就是大家首先先选择它然后它是有一个辐射的效应的基本上就是看这四个维度对吧其实就是看人货还有钱一些商业资源它到底是不是一个枢纽这样一个概念那这个里边我们不完全的展开但是我们想要重点的来问一下丛乐因为我们看到这次的榜单里边你们还特意的统计了从货运角度的城市群这个概念
[00:39:45] 因为我们知道官方都是会有一个什么什么城市群什么什么城市群的这样概念的但从货运的角度里边我看到好像这个城市群的划分和官方的还是有些不一样的这个能不能举例子介绍一下
[00:39:58] 是的其实刚刚小老师说了官方的这个城市群它是规划出来的就是大家希望它发展城市之间的这个联系度能够发展成什么样子但是呢我们这个物流的联系它其实反映出来这些城市之间实际他们是怎么在联络的就好像这个年轻人的市场上爸爸妈妈在人民公园希望你们是怎么样去发展自己的这个生活但是实际上我们是会选择自己更喜好的一些朋友去交往对吧
