Vol.248 2026中国车市四大猜想
[00:14:30] 融资或者寻找合作伙伴来延续自己的竞争力而且它有数次的生存危机实际上是走过来的而且目前未来实际上是处于一个凭借几个爆款车型就它的ES8等等的其实是不管是市场的表现还是财务的表现还是品牌的声势都是缓过一口气一个向上的状态走出了挖地的其实是一个蛮不错的一个机会的一个点甚至两家公司的创始人都是安徽老乡
[00:15:00] 你的思考的点是不是从安徽老乡这里开始推的毕竟未来就在合肥其实跟他还是有关系的这个是肖老师的脑洞不是事实更不是投资建议你要说实际上合作可能我觉得其实还是困难重重或者是有很多的挑战的你别的不说其实你像比亚迪他不像吉利他没有那么强的那种合纵连横或者说是通过大的并购来实现增长的这样一个基因
[00:15:29] 或者他之前没有证明过这一点对对对那你说吉利呢其实他现在因为已经私有化了极客集团了就他自己的那个比较中高端的那个电动车的这个品牌了暂时好像不太可能再去收购一个已经上市的新势力的公司所以我们就提了这样一个想法就是给大家一个思路啊另外比如说我们甚至也可以再开一些像宁德时代他也完全有可能成为一个新势力的买家就从单纯的客观上面来说就一点他很有钱
[00:15:57] 这单纯从有钱角度就可以这样来推吗宁德时代的现金储备应该是整个新能源车行业最多的比所有的整车厂都多而且他其实也已经通过各种很深的方式来参与到造车或者直接服务消费者的过程当中了比如说宁德时代下面是有一个做滑板底盘的一个创业公司一个新的底盘技术的一个创业公司然后他也去跟像华为长安一起共同创办了阿维塔那个品牌
[00:16:26] 包括宁德时代开始做那个自己的换电站等等的其实他都是他更往前站的一些动作
[00:16:33] 当他的这个能力到达了这样一个程度的话其实不论是您的自己还是整个市场都不太会允许您的时代只是一个简单的电信的供应商了都希望他是一个更加怎么说完善完整的公司那跨不跨的出这一步有自己的这个决策但是从客观上来说并不是没有可能我觉得肖老师虽然提出了很多脑洞但是大家要知道其实公司和公司之间他们比如说就这种初期的沟通试探或者说研究
[00:17:01] 实际上出现脑洞可能比我们说的还要再大只不过大多数的脑洞都离落地比较远或者说没有一个真正强有力的意志的话你很难把脑洞变成一个现实对就包括大家知道像林跑的当时的战略投资也是有很多的买家的可能性的斯特兰蒂斯是最后落地实现的一个有一些的话你现在听起来有可能脑洞也很大但实际上都曾经有可能发生
[00:17:25] 第一个猜想刚开始很平静后面非常刺激啊那接下来第二个猜想是什么呢第二个猜想的话叫做增程会在2026年迎来盛宴但也有可能打括号是最后的盛宴这个呢我觉得也不算猜啊其实也是一个预测了因为很简单就是各个品牌在2026年的产品规划现在肯定已经定下来了并且已经开始执行了
[00:17:47] 那么行业里面大家都有所耳闻那我们根据了解到的信息来综合来看的话其实2026年整个新车市场有一个很明确的一个浪潮就是它会延续2025年下半年那个势头就是有很多的更多的品牌加入增程车的这个行列当中不过讲到这里我要问一个基础的纯问题就是我一直搞不清楚增程和混动的差别是什么这个问题我觉得很好还是要解释一下
[00:18:13] 就首先你从字面意义上来解释的话增程也是一种混合的动力就是滚动其实是个更大的概念那我们稍微解释一下在增程的车上面是有发动机的然后再有个电池再有个电机这个听上去是跟混动车是一样的对混动不就是又有发动机又有电机和电池这样吗但是区别在于增程是串联混动是并联
[00:18:37] 明白了就是混合动力的车它是可以在同一个时间段就是发动机和电机一起来驱动轮胎往前转但是增程的发动机它只是为了给电池充电的它是个发电机或者在这个车里面叫增程器为什么叫增程呢就是它增加了电车的里程边开边充电是这个意思对然后这个电池给电机来增加提供电力来驱动电机电机就转动轮胎只有电机来转动轮胎
[00:19:07] 带动整台车明白就这个技术其实不新鲜啊就过去比较著名的最早的时候一个案例就是雪佛兰的Volt这个车还在中国卖过但是当时呢它这个车其实技术上的优势并不大然后能耗的优势也不大因为它那个电池啊很小啊纯电的这个里程就几十公里所以开起来就开了一会儿这个电池就耗光了你就要靠放动机来给电池充电电池再给电机供电就是显得跟油车差不多
[00:19:33] 而且你还当中多了一道能源的损耗嘛所以很多时候被吐槽说是多此一举但是呢就是在2020年之后呢就是这个增程的这个技术方案呢又被理想给带火了大家现在就比较熟悉了啊当时理想做了那个理想万那个三排的SUV嘛它最大的一个改造呢就是把增程这个模式里面的这个电池包啊搞大了变成了一个四五十度度电的一个大电池
[00:19:57] 那这样的话就使得增程车的这个纯电的续航里程有几百公里了小几百公里吧
[00:20:04] 日常通勤的话其实你就可以把它当一个电车来开了然后你长途的时候呢又有油可以加油对吧然后你其实也不用担心这个充电的问题那既解决了充电的焦虑又能享受电车的一些技术上的优势主要就是说电车你更加容易实现一些智能座舱啊这个智能的辅助驾驶啊等等的这样一些功能好处但它两边都沾到了就是它这个产品的优势就出来了所以说核心还是要把电池做大这整个逻辑才能更好的运行这个是一个比较重要的一个思路的改变
[00:20:33] 另外更重要的就是相比较于纯电动车啊就是增程的整个解决方案更便宜便宜很多在一段时间里面因为是成熟技术吗对还有就是就是它那个电池不是小一点吗它虽然四五十度电但是你跟那种什么六七十度七八十度相比要小一些便宜很多然后它多出来那个发动机呢因为这个发动机其实你不用来专门的驱动那个这什么整个车的你只是给它发电你对这个发动机的要求也不是很高这个东西的成本也比较低比较成熟
[00:21:01] 那省下来这些钱呢这些成本呢就可以用来加更好的配置更大的空间这个其实是当时像理想啊包括后来的这个问届能够异军突起然后现在所有的车企都要效仿他们的一个重要的原因整个这个一算下来的话你体验又很好又解决了问题同时你这个整个车的配置能提升所以说市场其实就是在等一个就是说好的解决方案的案例出来然后看到这个案例确实不错然后大家就一起来做
[00:21:27] 而就导致说今年会有很多增程的车出来是这个意思吗是的就回到我们那个猜想为什么26年包括25年的下半年就第四季度集中出来了很多增程车呢这些车都是在23年24年的时候立项的
[00:21:41] 那为什么那个时候立项呢就是因为那个时候理想的L系列还有像这个问界就背靠华为的问界什么M9啊M8啊等等的他们都是以增程为主的一些大车卖的非常好都是各自的这个尺寸各自的价格带里面的一些销量的冠军或者是领先者而且他们的车都不便宜都是30万元以上的大车所以这个车的利润又会比那种便宜的小车更高综合在一起大家就会发现这个是个香饽饽那很多的车企就说我也要搞
[00:22:10] 那么到了最近的这一年就开始集中的爆发了就开始看出成果了具体而言啊就是25年其实已经有像小鹏啊智己啊什么阿维塔啊极客都会都已经推出了增程的车型了26年呢我们会看到有哪些呢宝马大众奥迪小米广汽都会有自己的增程车型
[00:22:30] 再加上其实像比亚迪它虽然不做增程它做混动它26年会出一出一个新的它混动的技术架构那个里边也会强调大电池所以有很多时候大家会觉得这个体验其实跟增程也比较靠近了就这么说吧到了2026年的年底你会发现在整个中国可能只有特斯拉和蔚来两家公司是纯正的就是车上没有一台燃油发动机的
[00:22:57] 电动车公司也不是经典的感觉电车要卖的好还得挂邮箱是吗是的是的那说完了这个盛宴的部分我们就来说一说就是要泼冷水了就为什么说这个盛宴有可能是最后的盛宴
[00:23:10] 我举三个原因首先就是这些新增的车型会面临非常激烈的同体的竞争都差不多是这个意思因为他们都集中在同一个类型都是三排的大车绝大多数要么是三排SUV要么是三排MPV我觉得从技术
[00:23:27] 逻辑很好理解因为你电池就得做大车不就得大吗岳老师该的非常正确就是这个点所以你不可能做小的车没有什么紧凑型增程车增程小车车不就是volt吗对对对那就回去了就没有用而且就大车利润高大家都冲那个方向去的这个就会出现一个问题就是到底有这么多的家庭的需求吗因为买大车其实是个很明确的一个场景需求这个场景需求可能过去几年已经
[00:23:54] 满足了一批了比如说中国的二胎家庭可能也没有那么多对不对对对对我觉得你分享的已经非常到位了我本来想讲的已经讲掉了确实就是这样的而且这个需求实际上就是有上限的我们可以看数据就是根据我们的朋友就汽车咨询公司杰兰路的数据过去两年就是中国的三排大车就不论燃油动力的方式三排大车其实它总的大盘是很稳定的就是200万台
[00:24:21] 没有变过24年25年没有很明显增长你想想看车型多了很多但是增长其实没有
[00:24:27] 那么26年如果按照这个趋势下去的话你分周的人更加多了其实每个人能分到车就更少了对这是一个引诱第二个引诱就是你前面提到的梗就是电车要卖的好就得靠邮箱这个情况其实在近几年逐步逐步的随着充电网络的改善它有点量变引起质变的意思了尤其是在一些南方地区充电的网络尤其是快充越来越完备了就是有可能月老师你不太熟悉如果大家是开电动车的话
[00:24:56] 有没有个感觉就是比如像今年春节假期如果你去驾车出行的话在一些高速路上面这个充电排队的情况大大的减少了很多地方的充电桩是多了非常非常多的今年没有出行就完全感受不到这一点对这个其实就是基础建设的这个投入的结果而且24年底的时候中国还发布了一个充电桩三年倍增计划
[00:25:18] 就是到了27年还要再多对24年的年底整个中国的充电桩数量还要翻倍并且快充啊甚至超快充的这个比例会提升什么叫超快充呢如果大家体验一下就知道就大概是十几分钟能够充四五百公里的续航里程况且它这个时间的话那其实比如说你在高速上面你去服务区如果有这样的超充桩的话你就是上个洗手间散个步放松一下或者在市区里边就是刷个手机的时间
[00:25:44] 这个就跟加油没什么很大区别了所以你这个逻辑还是虽然说可能市场上只有两家纯电动公司但是就是电动这个模式还是已经开始被更多人接受所以说不一定要上增程对吧是的因为过去大家最大的阻碍就是续航里程但是因为电池现在都做的比较大了续航里程不是问题你都可以做700什么公里的续航里程没什么问题
[00:26:07] 其实主要是充电的问题是补能速度的问题或者效率的问题便捷的问题增程车过去是解决这个问题因为我能加油但现在你随着充电网络的普及的话其实这个问题也会很大的缓解那么就有可能会出现就是说这些新推出的增程车虽然是后着当年的增程的热潮开始的但等它推出来的时候有点踏错节奏
[00:26:31] 当然我这边要打个补丁啊就是这个电车的普及我觉得还是分地域的就我们刚才讲的情况主要还是在长三角珠三角就是又比较暖和的地方并且经济比较发达的地方基础建设比较完备的地方
[00:26:43] 那如果你在北方的话冬天寒冷的北方这个电池的续航里程的衰减是非常严重的这个是现在电池技术的一个天花板解决不了那么在那种情况下就算你有那个很完备的快充其实大家还是心里会打鼓的我可以举一个案例就是这次我们做这个选题的时候也跟那个理想汽车的产品负责人汤静就老汤哥大家如果熟悉这个朋友的话聊了一下他讲了一个例子
[00:27:11] 他说2026年的春节期间他去东北和十几位就是北方的车主聚会吃饭但饭桌上他做了一个调研问大家如果有一台理想的L9大家知道L9是他的一个三排的大SUV你看到过吗如果一台是700公里续航的纯电版另一个是400公里续航的增程版就是你这个电池只有400公里续航但是有一个发动机可以增程的各位选哪一款
[00:27:40] 他既然在东北问我觉得应该还是增程比较好吧如果有纯油车有可能还能有人选纯油车呢你说的非常对就是最后的结果是十几个人全都选了增程
[00:27:51] 他说这个结果很让他意外啊那我说就有什么意外的呢就有什么意外的呢他说的是就是意外的点在于他在长三角问了同样的问题答案是完全相反的就还是那句话中国太大了嘛就是你如果分地区有不同的销售策略有可能是更好的对但关于增程这个盛宴我觉得第三个引游为什么他说他有可能是最后一次啊就在于这一批出的车出的太快了这些车我们前面讲到他那个立项的时间你算一下其实有很多就是两年的
[00:28:20] 整个产品的研发周期24个月就我们之前讲什么电动车发展就是什么研发周期快从过去的什么四五年变成三年三年也是36个月现在如果是24个月的话就是我们了解就是基本的两东两下的测试就是你这个车要在要经过两个夏天的炎热的测试和两个冬天的极寒的测试这个你实际上是保证不了的有很多车就是一东一下测试了还有诸如此类的一些压缩这个就是都会有
[00:28:49] 我不是说这些车不安全就是你肯定是该执行的一些标准质量标准都是要做的但是那些非规定动作的一些细节叠加在一起往往会决定一个车的品质所以最后这个猜想到最后我觉得也算是提个醒
[00:29:06] 好那下面我们就进入到第三个猜想这是什么第三个猜想也是比较这个大家讨论的比较高的那公司就是华为系有可能在26年迎来内部的竞争和整合更刺激了所以就是大家把这一部分就这个猜想就作为一个思维训练好吗就别当真好吗谢谢大家我们知道华为是不造车的是吧但是其实它除了不用华为
[00:29:33] 作为汽车的品牌以外造车的事情基本上都做了就是华为不造车重点在华为是吧对对对就是华为这个字母不出现在车的品牌上面而且他这个造车盘子铺得非常的开到了2020年会变得更加复杂所以我们有个猜想就是他会经历一个内部的竞争整合的一个过程给大家先简单的这个梳理一下就之前我在选题会上跟葛老师科普这个华为的这个造车的这个这个这个布局他都听晕了
[00:30:00] 首先大家知道现在有各种各样的借是吗就是那个问借智借想借尊借上借一共有五借借这个字在我现在眼前已经弯形崩溃是脚本上面都是借就还不如比亚迪呢这五个借呢它这个品牌啊都是属于华为旗下的叫智能终端BU的这个板块来负责就是于成东主导的
[00:30:25] 这个人一个名字有可能比这些界更加有名点余承东主导这一块华为把这些品牌合在一起还起了一个联盟的名字就是像这些界的联盟它有个名字叫鸿蒙制型就是使用鸿蒙系统的制型的东西是吗它其实跟鸿蒙系统没什么特别大关系但是它叫鸿蒙制型但是大家知道华为并不完全拥有这些界的品牌
[00:30:50] 因为他这些他不是自己的工厂他这些界的这个品牌都是跟各个汽车公司合作的那问界是跟塞利斯这个公司合作的智界呢是奇瑞响界呢是北汽尊界是江淮上界就是上汽他们这个之间呢是一个合作的关系就没有成立合资公司啊就是但是像一个合作的一个共同的项目团队然后往人家车上贴自己的牌
[00:31:14] 这个车是共同研发的而且一般借这个系列里面的产品定义研发等等的到最终端的销售其实华为是主导的它这个模式叫什么叫什么自选车反正就是华为打包的那种感觉但即便如此其实不同的界里面华为的参与程度也是有深有浅的而且发展的程度也不一样最好的肯定是问界问界是站稳脚跟了
[00:31:39] 一年就是卖那种30万以上的大车都能卖个40多万台其实很厉害了而它占了整个鸿蒙制型这个联盟的绝大多数的销量但是你像响界和智界其实现在都不算完全的立主它车型也没那么多还有一个问题就是各个界之间其实是有就是本来它是有产品的分野的就是比如说问界做大型的SUV对吧然后像尊界是做旗舰的轿车就是那个很大很大的像麦巴赫一样颜色的那个车有的是做家庭的SUV等等的
[00:32:08] 但是你随着各个的界都要发展然后你步的越来越多了之后其实这个分野是越来越模糊的你像问界就在2020年就会有一些更便宜的SUV要推出还有MPV等等的其实就是一个完整的新能源车的品牌了别的界也会有自己的新车的计划要么就是推出更多的产品如果你做的不好的话说不定还有可能要收缩等等的所以所谓的内部竞争和整合就是说有的界可能会变得更强有的界会变得更弱甚至被吸收掉
[00:32:37] 我们其实听到一些说法就是华为会逐渐的放开借和借之间产品的限制就是让大家跑马我想再听到借这个词了好怪
[00:32:46] 就是让大家跑马会有这些说法而且其实你想想看因为它不是华为自己完全自己拥有的这些品牌所以合作方是有自己想法的你想我们引入华为是为了什么呢就是因为你这些车卖的好对吧然后你也很强调这个品牌的影响力看中了你的体系的能力但如果你没有做到的话我希望你肯定加码投入更多资源我们把这个品牌做好不然我为什么要把你引入进来呢对吧所以这个事情其实是有很多的内部竞争的维度的
[00:33:13] 比如说就是一个华为的门店里面就是卖手机的大的门店里面现在都摆车你摆不了五个车的对吧可能挑三个届摆的哪三个届这些都是问题什么时候发布新车的节奏对吧谁先谁后然后甚至是比如说在一个发布会里面就是先介绍谁后介绍谁你怎么统筹这个问题其实蛮复杂的但是这个只是华为造车内部竞争的一半
[00:33:40] 只是一半华为还有另外一个跟车很相关的一个团队就是车比喻
[00:33:45] 这车的这个业务事业部门现在独立出来一个公司叫影望就引导的引这个仰望的望但这个车比喻它其实之前是一个零部件供应商的身份来的就是它主要比如说大家很多车上现在都会用华为的什么摄像头传感器对吧雷达什么智能驾驶的辅助系统对吧智能座舱就鸿蒙这些大家都会用不是说只有华为内部才用的这些都是他开发的都是他来提供的
[00:34:14] 大家最熟悉的有可能就是所谓的华为乾坤制驾但是这个车比喻它其实现在也不甘于只做供应商它也要直接参与一些整车的项目那就是2026年会推出的就是静系列最早是和广汽和合作一个起进这个合作模式和鸿蒙制型就有点接近了但不同的点就在于双方的合作主要是在产品造车这个层面的卖的那个部分其实还是
[00:34:38] 合资的车厂这边来负责它不会出现在华为的店里面来买对因为那个是属于终端的所以简单的说是进和借之间还会有竞争是吧就是满看华为的境界的而且除了这些华为直接参与的整车品牌以外我们刚刚讲到它的一些主打的招牌就是它的驾驶辅助系统智能座舱还会出现在越来越多的车型上面一些合资的车等等的
[00:35:02] 包括一些豪华车大家就市场上会普遍的把它都认为是华为系的那些品牌那些车型打广告的时候都会强调自己用了华为的什么系统都会互相竞争都会来互相抢的这个其实是一个有可能有段时间会非常激烈的一个状况到了竞争之后肯定会有些整合我觉得就是所谓的内部跑马没有什么大的问题而且
[00:35:24] 实际上也大家都在跑但其实汽车还是一个主要问题是它前期投入非常大而且也不是说单纯那种内部跑马它不是纯内部它有合作吗拉上了一大堆人一起跑马这个当中华为如何自己平衡好所有利益相关方的利益我觉得是一个很大的难题但是考虑到它是华为我们就拭目以待好吗
[00:35:48] 那接下来就是最后一个猜想了最后一个猜想我们来关注更广泛的主流市场这个猜想是2026年比亚迪可能不再一家独大其实这个势头已经看得出来了就是2025年的第四季度比亚迪的销量增速已经开始放缓了然后同期的一些同行你像吉利的银河就吉利有个新能源的品牌叫银河它这个增速是非常快的而且很多产品是跟比亚迪的主销车型是贴着打的
