Vol.42 看，这是国家为你囤的货
[00:03:24] 广义的国家物资储备的话其实有很多很多种一部分呢其实是非实体概念的那些东西比如说金融资产里面最典型的就是所谓外汇储备这也是一种储备有些虽然是实体的物质但是我们作为普通老百姓也没有办法把握的那种东西比如说土地确实无法把握这些我们今天都不讨论我们今天讨论的话题呢关注的都是所谓的民生物资比如说像石油煤炭粮食棉花糖油盐肉蔬菜等等
[00:03:53] 这些国家其实都储备的举个例子北方的朋友可能会熟悉一个名字叫东储大白菜什么意思你作为一个南方人确实不知道对吧
[00:04:02] 就是北方人民冬天没有什么蔬菜吃冬天要囤一大堆的大白菜过冬甚至还有人会去做那些倒腾大白菜的生意实际上像大白菜土豆洋葱胡萝卜这些比较容易储存的冬季蔬菜的话也会出现在比如说北方某些地方政府的储备清单上面理解了另外像去年疫情期间像口罩防护服还有一些药品这样的一些医疗物资的储备其实大家也讨论了很多这个好像也属于一个国家储备的范畴里面是吧
[00:04:31] 没错我们还是稍微回顾一下历史就是中国是从1953年开始逐渐建立国家战略物资储备体系的一开始学的还是苏联的经验那个时候真的是战备物资就是为了应对战争而准备的后来这个体系就慢慢的
[00:04:46] 市场化了然后也会经常参与一些市场的交易然后跟那些民生相关度比较高的部分呢就显得更重要了什么叫跟民生相关度比较高的呢嗯举两个例子吧第一个呢比较容易想到就是食品食品里面举一个最重要的例子就是所谓的猪肉储备为什么举猪肉的例子呢因为猪肉是一个比较中国特色的储备商品跟加拿大人储存那些风糖糖浆是差不多一个意思啊确实啊就猪肉有可能对中国人来说是特别的一个刚需但对别的国家来说
[00:05:16] 其实中国的猪肉储备制度呢没有那么久
[00:05:20] 它要等到1979年才开始形成就是相对于整个我们前面提到1953年就建立的国家战略储备体系要晚很多大家觉得猪肉储备比较重要的主要还是因为猪肉在中国人菜篮子里面是一个非常稳定的需求市场端对于猪肉的价格波动非常的敏感你像我们每个月会公布CPI就是消费物价指数在这样的宏观指标上面猪肉的影响都是比较显著的那么像猪肉这样的物资中国要储备多少呢这个没有
[00:05:49] 特别明确的官方数据但是有一个大致的测算就是全国各地可能总共囤了150万吨猪肉然后如果我们稍微折算一下一头猪120公斤来算的话就是1200多万头猪哇哦听上去很猛是吧但是中国其实一年要消费的猪肉量呢是4600多万吨也就是说这个储备量呢大约是一年消费量的3.2%
[00:06:15] 这个听上去好像就不算什么了当然相对来说就是150多万吨这个规模在别的国家来说已经是非常大了这个就相当于日本半年的猪肉消费量而且如果折算成1200多万头猪的话就是想象一下应该也是个很壮观的画面我不知道你脑子里到底出现了什么画面无法想象
[00:06:35] 不过你说的没有错因为中国是一个超级人口大国所以说任何战略储备物资的规模都有可能是很大的像石油棉花粮食这些中国的储备量都是很厉害的还是举吃的东西粮食2019年我国在小麦大米和玉米这三大主粮上面的总储备量加在一起是2.8亿多吨这个主粮就是说他们是最主要的粮食的意思对的
[00:07:02] 其实玉米的话储备量还比较少小麦和大米石屯特别多可以想象再比如说石油石油因为大家比较关心可以再讲一讲就是我找到了今年6月份新华社写中国石油储备基地的一个稿子里面提到了位于宁波镇海的一个储备基地然后这个储备基地里面有50多座巨型储油罐
[00:07:22] 每个罐都可以储存10万立方米的原油这个储油罐我还去查了一下就是它单个直径80米高22米就相当于一个八层楼高的封顶的足球场那种感觉而且像这样一个足球场52个整齐的排列下去就怎么形容呢就是如果你有巨大物体的迷恋症的朋友应该去看一看那个基地而且中国的石油储备基地目前才做完第一期就是宁波镇海基地只是第一期九个基地里面的一个整个石油储备
[00:07:52] 的建设呢大概有三期所以说这个总量可想而知好多足球场把食物的储备说完了以后我们也说到石油这个方向石油的话其实是一个很特殊的例子因为基本上储备的石油的国家比如像美国日本印度他们的储备量也都很大你是说这个相比于粮食的量更大是吗对为什么呢
[00:08:12] 简单来说的话就是因为这些国家都是国际能源署的成员而EA这个组织的话本身对于成员国就有一个所谓的最低战略石油储备要求大约是这个国家90天的石油净进口量如果你是一个依赖石油进口的那种国家像美国自己很少产油都是从外面买油的话你相应来说90天的净进口量就是个很大的一个储备数字这其实跟我们前面说猪肉
[00:08:38] 3.2%的这个数字对比起来的话就是很明确的一个差异了也就是说这里面有两个要点一个是这个石油的储备有可能是受一个国际组织的这个规定的影响的是一个全球的事情对吧另一个就是说它这个储备的量特别的大
[00:08:52] 没错这个就是所谓国家战略储备里面就是战略这个词的关键了也就是说这个商品的价格涨跌不单单关系到自己这个国家还会辐射到别的产品或者别的国家甚至影响整个世界的经济运转我们去看一下的话其实IEA这个国际组织在1974年成立的时候本身就是因为当时全球受到了中东战争的影响出现了石油危机国际经济非常的动荡需要有人来出面协调一下这个石油的市场供给
[00:09:21] IEA建议它的成员国储备这么大量的石油的话是非常正常的当然还要指出一点中国不是IEA的成员国虽然我们囤了很多石油然后这次也跟美国一起讨论怎么样释放储备但是我们跟IEA还没有什么关系聊了这么多严肃的储备我们在这一部分的最后要不聊一点像那个方糖糖浆一样比较轻松的话题吧就我们国家有没有什么这种意料之外的储备物资
[00:09:46] 我们上一期不是在聊代炮茶吗其实茶叶也是我们国家战略储备当中的一项其他的我大概查了查觉得都还蛮合理的比如说中国可能还储存了不少金属比如说稀有金属稀土金属这些可能对于我们未来发展比较重要的东西我们都会做战略储备
[00:10:05] 要说比较奇怪的储备物资的话我觉得可能国外更多一些举个例子瑞士瑞士其实是全世界最爱储备物资的国家之一它的食品和生活必需品的储备可以供它的全国居民用至少三个月然后如果省一省用的话可以用六个月但是因为它全国居民比较少只有850万人在必要的食品之外瑞士一度还囤积了1.5万吨咖啡生豆
[00:10:30] 2019年的时候瑞士政府不知道怎么自己想不开了他一度提出说咖啡不是维持生命的必需品想把这部分的储备呢从这个储备列表里面踢出去然后呢马上就遭到了国民的强烈反对然后最后还是保留下来了真的是想不开居然和那个大家成瘾的这个饮品制作队
[00:10:50] 然后再说一下美国就是除了石油之外
[00:11:20] 美国最高法院裁定说储备制度违反了美国的宪法然后之后就被废止了2015年他们才发现这个事情对的是反正是2015年这个制度就废止了也许我们在这些储备仓库里还能翻出来什么1949年送进来的葡萄干也说不定陈年老葡萄干对不过也
[00:11:40] 成年葡萄干也不能吃吧这个玩意又不是茅台还会讲你盐分的对不过说到这边的话感觉就可以进入下一个话题了就我们前面其实约老师举了一些例子是来说明国家的储备物资主要是储备些什么东西已经储备的规模给了我们一个比较直观的概念但储备肯定不是为了单纯的就囤着所以这个问题就变成了国家的储备它到底是怎样管理的是怎样一个体系
[00:12:07] 那关于这个国家储备的管理的话一个基本的问题就是国家要囤那么多货到底是哪个部门哪个机构在管也就是说谁来决定囤多少货囤什么货然后囤在哪怎么囤这些问题别看中国热爱囤各种货但是有一个比较大的bug就是到现在为止的话没有一部专门的所谓战略物资储备法律更多的是在政策层面然后通过各个机关发各种办法各种规定的方法来调节的比如说
[00:12:36] 像储备肉储备粮和储备糖的话都有各自的管理方法另外像每年我们要囤多少石油和天然气的话其实还是要靠像国家能源局这样的部门来做整体规划的再要说牵头部门的话其实是有的2018年在国院做了机构改革了以后其实是成立了一个部门叫做国家粮食和物资储备局简称国储局你像跟民生相关度最高的像粮食棉花食堂的储备以及国家战略和应急
[00:13:05] 储备物资的管理
[00:13:31] 简单来说就是在法规层面的话是由不同产品它有一些国家储备的政策或者是办法的然后在机构层面的话是有一个政府机构国储局然后下面还有一些分局然后具体来做这个事情的话就是一些国企比如像中储粮这样的集团是吗没错说的很清楚当然说中储粮集团的话其实也没有办法包揽所有的储备管理首先就有一些东西不放在它那像我们前面提到石油的话其实就是委托像中石化或者中化集团来管理的其实是一个专项的管理
[00:14:01] 听上去更合理一些对其次的话就是哪怕说是粮食我们国家的粮食储备量其实特别大光靠中储粮自己的仓库其实也放不下所以如果有一些想要参加这些战略储备管理的企业的话可以去申请去拿一个所谓中粮储备粮的代储资格也就是说让企业来替国家来囤货
[00:14:20] 其实如果从全球范围来看的话企业储备在很多国家都是一个更加重要的储备手段就比政府囤货要重要的多举一个例子就是不知道肖老师知不知道日本其实是在中国之外全球另一个也会建猪肉储备的国家虽然他们猪吃的很少但是他们人口相比我们会少很多对
[00:14:40] 日本的这个猪肉储备的政策就分得很细只有在价格非常动荡就是整个市场一块崩溃的时候才会有政府出手去市场上去买猪或者说释放猪肉的储备
[00:14:51] 如果只是市场比较疲软也就是市场价比政府指导的收购价要低的时候政府其实是会补贴差价让那些养猪的团体或者是猪肉加工的行业协会自己去囤肉也就是说政府指挥或者说引导企业去做事这个其实就减少了所谓政府储备的压力理解了当然日本的各类的农产品的一些管理还有扶持的政策非常的复杂也很特殊这个以后有机会再说刚刚其实是讲了一个大致的
[00:15:20] 接下来我们就聊一些具体的就我自己其实有一个最基本的朴素的好奇就是那些储备的物资一直囤在那边它不会坏掉吗这商品不都是有保质期的吗而且他们存那些东西你说对吧对这个其实也涉及到储备物资的另一个重要概念就是类似于所谓的库存周转这里呢我们想要先从一个例子来引入这个话题去年新冠疫情刚刚开始的时候呢大家都知道武汉市内的医疗物资非常的紧缺
[00:15:47] 当时大家都想办法去捐赠那个时候我们也对于医疗物资的储备
[00:16:16] 像这个应急嘛听上去是蛮厉害的但是呢到了四安四月份的时候美国的本土的疫情也爆发了嘛当时就遇到两个问题一个就是这个储备物资虽然响应的很快但是它很快就用完了另一个的话就是有一则新闻也提到因为有的储备物资比如说那个N95的口罩它的存储时间太长了过了保质期了它那个橡胶的那个袋子已经坏掉了不能用了这个就涉及到你前面提到的这个储备物资没有保质期嘛当然也有保质期的问题了再联想到我们前面已经提出来了中国
[00:16:45] 战略储备里面有很大的比例是民生物资其中还有很多生鲜食品这个保质期就更短了对吧这个储备的仓库又不可能是家里的冰箱所以管理起来还确实是挺难的这个就像是我们前面讲到的库存周转这个概念也就是说这些储备物资不能一直放在那里不动你要让它流动起来对吧但问题是这些储备物资它的规模又很大它规模又大有效期又短这个东西怎么操作呢
[00:17:11] 那主要有两个解决思路一种思路是把成品和原材料或者活体结合起来储存什么意思以猪肉为例啊中国的猪肉的话其实是分为活猪和冻猪两种储备方式的假设一个养殖场里面呢有一千头猪是储备猪它不需要把它完全变成死猪你只要是保证说随时随地有一千头
[00:17:33] 符合国家规格的猪可以供国家调用就可以了这其实就是避免了你大量储备冻猪肉的压力这么一说的话感觉这个思路瞬间就打开了那种的话其实也是很常规的管理思路就跟你清理冰箱是一样的要按照一定的时限不停的去清理旧的库存还是以猪肉为例就是原则上我们国家储备的冻猪肉是每四个月就要轮换一次的你只要这个猪肉超过四个月了就会被直接投放到市场上去所以严格来说这些储备猪肉的话
[00:18:03] 不是所谓的僵尸肉就是那种放了很久的肉或者超过几年的肉因为它们在冷库里面一共就待了四个月像粮食的话也是类似的我们去查了一个叫中央储备粮油轮转管理办法的规定它规定的非常细就是分了长江以北和以南地区我们以长江以北地区的规定为例长江以北地区的稻谷存储年限是两到三年小麦长一点是三到五年
[00:18:27] 玉米的话存2-3年豆类存1-2年就是超过这个年限就一定要是要卖出去了然后长江以南的话像小麦和玉米的储存年限可能要求还要更短一点那么超过这个年限的粮是怎么办呢
[00:18:41] 超过年限的粮食的话一般会以拍卖的形式投放到市场上去有些粮食可能品质还不错会被那些加工企业买走然后变成我们在市面上
[00:19:10] 我们日常理解是比较市场化的就除了国家的储备之外其实有很多的大企业上市公司包括很多的养殖场他们来买卖猪肉但是对于粮食的流通和储备我们讨论的就比较少一点所以像中国的粮食当中到底有多少的比例是流向储备系统的粮食的话我们还是
[00:19:29] 讨论像小麦啊玉米啊或者说大米之类的所谓的主粮的储备主粮的储备其实是一个非常复杂和专业的问题我们看了很多资料但是发现自己的理解也非常有限啊所以这里就稍微展开一下感兴趣的听众朋友呢可以参考我们放在show notes里面的一些内容自己再探索探索首先呢有一个重要的概念叫库存消费比是所谓的政府储备和商业库存就是两部分加在一起是叫库存然后和当年消费量的一个比值
[00:19:58] 这个概念是怎么用的呢我们看到一个数据是2019年底中国的道古的库存消费比
[00:20:05] 是超过86%小麦的话是超过91%简单理解就是当年全国的稻谷和小麦的市场基本上是存一半卖一半那可以说是自己自主的话没什么问题了所以说我们经常是在讨论所谓粮食安全或者自给率的时候用到库存消费比这个概念的理解了其次的话就是农民种出来的粮食理论上它有很多种销售途径比如说你可以直接卖给国家的粮库就变成储备了对吧也可以卖给经销商也就是所谓的粮饭
[00:20:34] 也可以直接卖给那种来天津地头收购的那些加工企业
[00:20:38] 只要看谁的价格高就可以理论上是一个市场行为但是国家的粮食收储体系呢多年来都使用了一种叫做托市收购的政策就是只要粮食的市场收购价低于国家制定的最低收购价然后我就会按照国家的标准来收购的它其实是保证了农民的利益然后希望去托住整个市场保持一个稳定然后呢在市场销售情况不好的时候呢就会导致一个什么问题呢就会导致很多的粮食会流入到储备系统里面相当于国家的储备负担
[00:21:07] 但是卖出去的时候因为是成年
[00:21:37] 当然这个是我们要严格打击和限制的一种行为
[00:22:03] 但另一方面的话市场和储备体系的话也可以做结合然后结合的话反而有可能是提高效益的
[00:22:09] 举个例子有些地方农民种的粮食品质很好但是要卖给那些品牌商的话它的渠道不是很通畅然后想卖给国家粮站很方便但是价格又很低品牌的话其实是可以跟粮站来合作解决这个问题的怎么说呢我们举些具体的数字例子假设原先这个粮食粮站的收购价是一块钱一斤然后企业的话可能因为这个粮食品质好愿意每斤一块二买但是这个企业不是自己去买而是请粮站直接以一块二的价格从农民手里把这个
[00:22:39] 两些收过来这个一块二里面一块是两站自己原来的正常收购价两毛的部分呢是企业不给两站的等到这些两呢从两站轮转出来呢企业再把一块钱的技术差价不给两站就可以了那这么多的好处是什么呢
[00:22:53] 也就是说其实对于企业来说
[00:23:23] 说粮战也是个很不错的渠道然后两者结合之后的话就使得这个粮食的流通更加顺畅起来了也更加符合这个供需的关系对本质上的话其实企业的话就是把粮战变成了一个所谓周转效率好一点的仓库在这个例子里面我们其实没有提到一个很重要的变化就是粮战自己的话是通过提升储藏技术然后更积极去参与市场交易才能进入到这个环节里面去了就是通过技术的改良的话它可以把粮食的周转周期从三年变成一年
[00:23:52] 他的损耗率也变小了然后这个方案才能推进下去因为没有人真的想要三年的成良的一年里我们才能把这个事情轮转起来当然这感觉就是更加deep的一个话题了这个是我们今天就不先展开了
[00:24:05] 刚才岳老师的话其实主要是举了这个食品主要是猪肉和这个粮食的这个例子给我们来解释了一下中国的这个国家储备的这个管理体系到底是怎么来运转的那么最后一个大的问题就是这些国家的物资储备它到底发挥了一个怎样的作用因为理论上国家囤货的目的是以备不时之需对吧一部分肯定是为了应对像战争包括像这次的疫情这种紧急的情况但另一方面的话它也是要应对一些市场的波动那最常见的波动的话其实就是某个产品的
[00:24:35] 因为按照市场经济的逻辑嘛就价格反应供需关系既然是快速涨价了那就是供不应求那我向市场增加一些投放的话增加一些供应那是不是可以抑制一下价格的上涨呢这个其实就回到我们开头提到那个新闻就是美国释放石油储备这件事情这里来说呢这次事情动静不小而且联合了好几个国家这听上去就是历史首次了但似乎呢这次释放储备没有对美国本土的石油价格造成非常正面的影响
[00:25:04] 不降反升好了半天不降反升吗对其实市场是比较近的他主要看的是你绝对的数量级这个问题美国这次投放的石油储备我们看到是5000万桶听上去很大但实际上只相当于全美两天半的消费量加上其他国家投放可能最多市场上也就是突然出现了1亿桶到1.2亿桶的供应这个听听很吓人但是你要算的话实际上也就是全球一天的原油需求也就是真正的杯水车薪也是你说这点
[00:25:34] 如果说储备菜就是盯着几个鸡毛市场
[00:26:03] 这几个渠道做大水漫灌那么你在局部造成的影响肯定很明显你在商场里面或者在市场里面看到价格肯定是跌下来了但是总体上的话我还是要回到所谓数量级和比例的一个关系来看供需关系有没有发生真的显著的变化
[00:26:19] 能不能具体举例子来说明一下有一个比较久远但是确实有显著变化的例子它是发生在食用糖领域就是吃的糖2006年的时候我们国家的糖价创下了当时的历史新高一方面的话是因为当时国际市场的糖价也创下了25年来的新高相当于外部有一个反馈过来另外一个方面是国内也出现了自然灾害糖的产量和消费量之间出现了一个明显的缺口总之来说这个市场情况就有点
[00:26:48] 当年的话国家的有关部门是通过12次的抛售集中释放了112.9万吨中央储备糖然后全部投向了国内的供应市场这个规模是什么水平呢相当于当时全年消费量的10%以上这个就是一个所谓显著的供给变化了所以在10个月里面呢国内的糖价呢就从5800块每吨掉到了3800块每吨就是回到了一个很正常的水平了不过呢当时负责投放这些储备量的有个公司叫华福集团
[00:27:17] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[00:27:42] 为什么这么说呢很简单就是所谓的你的供需要发生所谓显著变化才可以我们后来也看到了一个
[00:27:50] 报告是广西财政厅课题组做的它叫广西蔗糖储备财政政策研究它其实研究了24次就是国家储备糖向市场投放以后市场出现了价格变化的情况结果发现这24次里面有15次这个糖价并没有被压下来反而还是上涨了所以理论上说越大的经济体你想要通过国家收储然后释放储备这样的方式来直接的调节价格体系其实相应的你会背上更大的一个负担
[00:28:19] 怎么说呢
[00:28:46] 当年是分两次总共扔出来100万吨储备棉但是现货市场的价格第一次只是略有回落然后第二次就变成一路上涨根本不管你投放储备这件事情最后是靠国务院来出台了一个稳定物价的明确的规定才把上涨的形式遏制住的这个当时的情况就跟这次美国释放石油储备的问题很像因为市场已经知道你手上不上多少储备了长期你很难继续调控市场那我首先继续涨
[00:29:11] 理解了其实讨论到这里的话感觉就回到了一些最基本的经济学的知识上面也就是所谓价格计划和市场的关系你在市场机制里面价格它是自然形成的它跟进于一种信号或者说是结果那在计划的体制当中的话价格可以是人为制定出来的如果只是调节价格本身的话就会给供需双方传递一个错误的信号让市场增加更加多的非理性的因素
[00:29:39] 当然在目前这个地缘政治局势还比较紧张全球的供应链也不是很顺畅的时候我们去谈所谓市场机制的话不一定是最合适的一个时间点像这次各国释放原油储备背景的话一部分是因为疫情之后市场的需求大增另一方面是全球的物流堵塞尤其是海运等于说全球的石油贸易体系出现了一些故障当市场失灵的时候尤其是完全失灵的时候
[00:30:08] 和国民安全盖的由来吧
[00:30:10] 这个就是刚才岳老师所谓的它不一定是一个价格战更像是一个心理战没错但是再好的救助机制其实也无法做到永远的万无一失和及时高效新冠疫情的话其实是让我们更深刻的理解到这一点
[00:30:24] 在德国政府发布的一份灾害应急手册里面我看到这么一句话叫灾难是生活的一部分应对眼前的灾难这个是储备显而易见的价值但是我们更要理解储备的局限和边界这两个层面结合起来才更接近所谓生活的全貌商业就是这样
[00:30:44] 感谢收听这一期的商业就是这样
