Vol.178 如何为天灾买保险？
[00:11:09] 防震防灾确实是浸润在这个社会的日常生活当中的具体到这个保险制度呢它是在1966年推出的然后经历了四次重大的修改目前这个版本呢是在2005年之后确定的我觉得这边可以提的点重点有三个啊第一个是它的正企合作的模式第二个呢是精细的费率设计第三个呢是与时俱进的赔付额这个当中最重要的就是第一条就是正企合作的模式
[00:11:36] 日本的地震保险它是由一个叫日本地震再保险诸事会社这样的一个公司作为中枢的你可以理解为它是商业保险公司和政府之间的一个桥梁这家公司是由各个商业保险公司他们共同出资成立的就简称叫JER在实际的运作工程当中首先是各大商业公司他们会把地震保险作为住宅的火灾保险的一个附加险卖给消费者
[00:12:03] 那一般来说呢是在你买房或者租房的时候提供给你的然后他们收了这些保单之后就转给JER这个公司那一旦发生了地震呢则是由商业公司JER还有政府这三方按照一个阶梯式的这个方式来分摊赔付的总额怎么叫阶梯式赔付呢这个阶梯呢一共是分成了五层
[00:12:25] 这个分档从1150亿日元到55000亿日元不等具体的分法就不展开了数字很多大家听起来不太方便简单而言它的规律是赔付的总额越小那么商业公司和JER就是桥梁的公司它承担的就越多而越往上政府就承担的越多比如说如果一次地震的赔付总额是1万亿日元的话就相当于100亿美元左右那么政府和企业大概是对半分
[00:12:53] 那如果这个地震总的赔付额达到了整个制度封顶的五万五千亿日元的话那么政府就要承担其中的约百分之八十听起来怎么感觉像什么累进之个人所得税对它是有点这样的一个概念的所以说比如说它到了一个点就是企业要赔多少它是有一个具体的一个数值的它这个逻辑呢就是说常规的这个灾害这个常规对他们来说那这企业呢就主要来承担这个赔付的责任因为他们能够那个撼得住
[00:13:20] 如果是特别大的一些聚灾特别大的一些地震就由政府来托底因为真到了那个程度的话其实政府本来就应该要出手来援助的我就是要做很多财政的拨款的也是他们应尽的一个职责那么他就通过保险这种方式来做保障等于说他在政府拨款基础上还加了20%就是企业的援助在里面这是第一个特点第二个特点就是他的费率的计算方式这个其实就和日本的建筑的防震标准以及他所在的区域是紧密相关的
[00:13:49] 这个保险的费率是从0.05%到0.313%不等的我觉得这个还属于相对比较好理解的一个部分这就是我们前面所说的那个聚灾保险里面存货模块就是不同的建筑物的情况对应不同的保费费率对它其实每次重要的调整都会相应的对着最新的建筑的这个防灾的要求或者那个建筑的标准来做调整的比如说你这个标准达到了能够防很厉害级别的这些地震的话那你这个保费也会相应的做一些下调调整
[00:14:16] 那第三个特点呢就是赔付额的与时俱进这里边一个重要的点就是聚灾保险它要真的起作用的话它的赔付金额对于每个个体来说应该要足够那这个足够什么样的概念呢我们看一下1966年的时候其实日本最早开始这个地震保险它的保额上限是建筑物90万日元家庭财产60万日元就是这个房子里边的一些财产最高我能够赔60万日元原来那房子里东西也保要保要保它分两个部分的
[00:14:42] 现在呢他已经逐步提高到了建筑物5000万日元家庭财产1000万日元就是封顶的这样一个水平1000万日元其实不少就是这个数字大概相当于普通日本家庭一年的收入差不多基本上是至少能够保证你这一家人能够平稳的度过灾后这个过渡期比如说一年或者一段时间的对那他具体怎么赔付不一定是每次都是封顶他有半额这等等这种方式但是这个规模你能看到他又得得达到这样的一个量才能够真正能够帮到那个受灾的人嘛
[00:15:12] 关于日本的地震保险制度除了刚刚讲的这三点以外我们最后再讲一个比较反直觉的点就是它不是强制的它是强引导制就是你住宅在买火灾保险的时候它默认你也愿意投保地震保险但是如果你不愿意的话就要写一句话就是我不愿意保这个险然后再签个字确认一下就相当于默认勾选你同意这个协议但是你可以把它勾掉
[00:15:37] 因为这样一个情况呢所以其实目前日本地震保险的渗透率只有四分之一左右就是他已经有了一个比较强的引导但他只有四分之一大家都合同还是读的很认真的对不对很认真的然后这个渗透率这个点呢就与我们接下来要讲的第二个案例就是美国的洪水保险计划是非常相关的那关于美国的洪水保险计划呢我们也对应的讲三个点第一个呢就是政府主导第二个呢就是强制购买第三个呢是避害的导向
[00:16:05] 第一点和第二点他们是比较紧密相关的先开第一个点政府主导我感觉这也挺反直觉的就美国的这个洪水保险计划它成立于1968年跟刚刚讲那个只要蛮接近的但是它是一个完全政府主导的公共政策美国政府站起来了这个就要窥到我们前面埋的一个伏笔就是我们说过在1927年的时候密西西比河发了一次大水然后让很多的保险公司破产了然后他们就不保洪水了
[00:16:29] 之后到了1965年的时候美国东南沿海遭遇了很大的飓风而且遭受了10亿美元以上的巨额的损失1965年的10亿美元还是很多的当时是创历史记录的一个损失了对是美国历史上第一个10亿美元以上损失的一个天灾然后因为当时大多数的家庭都没有买相关的保险所以他们其实非常困难的只能靠社区互助慈善救济还有联邦的一些补助来缓慢的恢复
[00:16:58] 受此影响的三年之后美国的国会就通过了一个法案创建了国家洪水保险计划简称叫NFIP它最大的一个特点就是政府主导政府兜底就是商业保险公司在这个当中它只承担一个执行的一个作用我只帮你发这个保费出去或者收这个保费上来然后它就做一些赔付这些工作我来做然后当中收些佣金但是这个保费是最后收到政府的一个基金上面的最后的赔付也是政府全额来出的
[00:17:26] 那与这个政府主导非常相关的呢就是它是一个强制购买的一个产品就如果你买了这个房子它所在的区域被划为需要购买洪水保险的这样一个区域的话那么如果你想要申请房贷来买这个房子一般来说他们都会申请房贷是吗你如果想要申请房贷你就必须要购买洪水保险不然就不能贷款了等于是给房子上交偿险的一个概念就是交偿险这个概念当然他没有说我必须他还是稍微拐了个弯但实际上就是强制了
[00:17:54] 因为这样一个设置呢其实它的覆盖范围非常的大它最早没有这个设置后来没有人买后来它加了这个市值进去了这种强制性的背后呢其实就是这个保险的第三个特点就它的根本理念是什么它为什么要做这样一个设置呢这个计划认为啊就像洪水这样的灾难它属于是一种大自然的必然的一种现象但是如果人不在这个洪水高发的风险区域生活的话
[00:18:18] 那就没有所谓的灾难了打不过我就跑是这个意思对它的意思就是说比如这个区域一直发洪水但是这个区域如果没有人住的话这其实不造成什么太大的影响对对于一个人类社会来说它就不能称为一个灾难它是这样一个基本的逻辑所以这个计划的初衷它就是希望通过像保费等等的这个高低的措施一些价格的一些杠杆促使人们搬离这些洪水的高风险区域有一种赌不如输的感觉对一种另类的赌不如输
[00:18:45] 这个其实在现在一些洪水防治的理念当中还是有一些很多人是持这样的观点了但是具体的情况我们不分析当然要实现这种理念其实还是需要一套非常精细的办法来推动的它的一个基础就是一个洪水地图就是它把美国的各个区域都划分成不同的等级不是什么高风险低风险这么简单它有很多可能说A B V等等区域不同的区域配以不同的保费的费率
[00:19:10] 同时还配以不同的开发商的职责就是说如果你开发商在某个区域开发房产的话也要有相应的建筑物还有社区的一些防灾的设施和标准就不单单是对人的保险有要求对开发商有要求而且这些设施和标准也会和保费和赔付来挂钩如果你保护措施做得好能够相应的降低一些保费
[00:19:31] 所以说这个保险相当于只是一个杠杆的撬动点它其实是在用这个方法来撬动人们就是你减少在高风险区域的聚集或者说你开发商要建设更好的房子出来对的当然你想想看这样一个过程肯定是一个长期潜移默化的一个过程你要说实际有多少影响其实现在还有很多不同的观点或者不同的一些结论但是在当下这个计划其实最基本的一个作用还是当下你发生了这个灾难之后我能够赔
[00:19:59] 能够就是帮助这些受灾的人能够兜底对冲这个风险这个方面看它有没有作用我们能够看两组数据
[00:20:06] 第一个是根据美国联邦政府的统计通过改进建筑标准就是我们刚刚讲的那个变筑标准的部分NFIP实施以来呢社区和建筑物的洪水损失减少了约16至40亿美元而一旦发生灾难呢购买洪水保险的屋主他的这个生活恢复的时间啊可以缩短一倍同时呢由于具体的赔付执行是由这些保险公司来做的而这些保险公司他的这个网络是分布非常广泛效率更高的
[00:20:34] 所以相比于政府救济一旦遇到灾难它的效率也会更高当然了NFIP也不是一个完美的方案它最大的问题就是本质上它还是政府兜底还是一个政府救助如果遇到了特别特别大的灾害的时候这个风险的敞口对于政府的财政来说也是很吃力的我们看到一组数据就是从1978年到2010年这33年的运作当中有24年
[00:20:59] 洪水保险的基金啊它当年的保费收入是大于赔款支出的只有9年它是保费收入小于赔款支出的听起来还不错啊就是大多数时间进还是大于出的对但时间在这个当中不重要关键的是那个数字对吧定性不重要定量比较重要对因为什么呢就是2004年末啊这个NFIP它这个基金结余还有104.5亿美元这个基金里面很多很多钱
[00:21:25] 也就是说如果出现了一个100亿美元的灾难的话等于政府都不用额外的出钱就可以赔付了但是2005年来了卡特里纳飓风就这一场灾难它不仅抹平了此前几十年这个基金的结余还要求联邦政府要拿出远多于此的这个基金来救助
[00:21:43] 事后我们也知道这个飓风造成这个灾难它灾后的救助和重建的过程实际上是非常非常困难和漫长的所以说即使是实力雄厚的政府包括这么完善的机制在面对如此大规模灾难的时候其实还是力不从心的
[00:22:00] 那刚才我们介绍了聚灾保险的由来基本理念以及两个成熟市场分别是日本和美国的案例那接下来我们把目光拉回国内在开头我们提到中国针对自然灾害造成经济损失整个保险的渗透率还是比较低的那其实如果听了刚才分享两个案例呢就不难理解这个原因主要原因就是因为聚灾保险本身其实对保险行业的成熟度要求是非常高的
[00:22:24] 那一个尚在发展中的保险市场如果说贸然把聚灾保险这个产品铺开那很可能对于保险业本身就会带来巨大的冲击关于这个点呢我们用三个角度来展开说明一下第一个点呢其实我们开头提到过的就是关于地震的这个条款其实在早期啊中国的这个财产险的产品里边它会有责任免除那个条款吧它里边会免除台风洪水等等但是没有免除地震
[00:22:48] 地震不在那个等里面对的但是到了1996年呢当时云南丽江是遭遇了一个理事7.0级的强震造成了309人遇难1万多人受伤直接经济损失是30亿元在这个之后呢财产险的责任免除条款里面就加上了地震相当于说监管机构已经意识到如果在当时财产险去保障地震损失的话这个保险公司一定是顶不住的
[00:23:12] 事实上关于这个灾难对于保险公司来说风险有多大我们再举一个例子就是在一个完整的保险体系里边这个除了政府来支撑以外呢聚灾保险往往还需要再保险的支持所谓的再保险的就是保险公司再去为自己买一份保险以防自己难以承担这个高额的赔付
[00:23:30] 相当于我再拉一点人来再帮我也分担一下风险是的就是这个再保险在很多领域都有应用而聚灾保险是其中非常重要的一块所以我们前面开头的时候提到瑞士再保险的研究那这是一个很大的机构了对瑞在的研究其实在这个灾害这个方面实际上非常权威非常重要的那第二个角度呢是当时国内的保险业其实对于自然灾害的这个把握也很有限就他们没有能力做到那个尽可能的精确的预算
[00:23:58] 然后来实现那些精细的差要保费这也是为什么当时监管部门就是提出来要把这个地震来放到责任免除当中的一个重要原因这其实就是涉及到技术水平的问题了就是你要有能力形成我们前面说的类似于像洪水地图这样的一些数据库那你对于不同地区的自然灾害风险都要做好研判做好预估这个其实有点难度对如果你这个产品设计没有到这个能力的话其实你也没有办法来做这个产品第三个角度呢就是灾后的理赔
[00:24:24] 这个其实也是对保险公司也很大的挑战就是你需要有一个强有力的网络以及一个高效的理赔流程不然你想一个大灾过后那个理赔源到现场你怎么来搞这个定损啊等等这些事情就根本没有办法落实和执行这个巨大保险大家也就没有意愿去购买了那前面我们提到不管是美国还是日本的案例就是政府在里面哪怕是主导再多那在执行层面还都是靠专业的保险公司来做的对不然的话你就政府直接救助就行了嘛对吧
[00:24:51] 但我们刚讲那个实际上是早期中国的这个聚灾保险为什么相对来说一直没有发展起来的一个原因我们讲了三个角度那其实发展到现在呢中国的保险业不论是规模还是他们自身的水平都越来越成熟了政府的财力也不是当年可比的那其实是有一定的基础来建设一个从上到下的聚灾保险的一个制度了而且这个过程当中又有非常多实际的聚灾发生了对或者是一些刺激我们可以说
[00:25:18] 像2008年的汶川地震这样的巨灾一直在提醒我们这个巨灾保险的重要性我在一个中国再保险集团的一个官方的一个专门讲这个巨灾保险的PPT里面看到他们专门有一列就是讲汶川地震的直接经济损失是8451亿元而保险赔付占几乎多少呢0.2%就像我们开头提到的自然灾害造成损失占了中国过去30年GDP总和的2.25%
[00:25:45] 那为此你要拿出足够的资源来应对其实是十分合理的一个思路是的所以在2013年呢我们看到顶层的文件当中第一次提到了要建立聚灾保险制度这可以说是定了一个基调啊那之后很多年呢我们看到各个地方也陆续有一些聚灾保险的试点包括到了2024年国家金融监管管理总局和财政部还出了一个文件就从国家层面完善了聚灾保险制度还提升了这个最高的保额
[00:26:13] 可以说这个事情在一步步的在政策层面在推进的当然政策的文件只是一个开始啊真正要落实聚灾保险在中国的话还是有很多具体的挑战这个当中最主要的肯定是钱的问题嘛就是你一次能够赔多少钱谁来赔这个钱得有一个办法那目前我们看到像深圳宁波的一些地方的试点呢基本上是以政府和企业联合的方式来的而且大家逐渐有一个共识就是可以从原本财政当中本来就有的对灾害的补助当中划一部分
[00:26:42] 来成立一个常态基金或者把它作为保险的一个部分配合聚灾保险的赔付其实就是类似于美国的洪水保险的方案对的感觉是一种让政府的灾害救助支出更平缓的方式对 财务上面更加平缓一点同样是出这些钱你通过保险的方式其实是有更大的转换余地然后也能调动更多的外部的资源除了钱以外更大的一个问题其实是专业的能力也是我们接下来可以稍微展开讲一讲的
[00:27:10] 就是到底能不能更加精准的把握灾害带来的损失那这个呢就要技术出场了我们同事王杰夫和张盈婷呢最近正好做了一篇报道就提到了气象预测相关的创业公司和保险业来合作应对极端天气的一些案例我觉得还是可以分享给大家一部分啊比如说有一家公司叫华丰相计这个相呢就是气象的相计呢是逻辑的计
[00:27:34] 它呢就是专门服务保险公司然后为他们提供精准的气象预测模型甚至设计一些与气象相关的保险产品这个当中呢既包括了聚灾保险也包括像农业保险这种本身就需要应对极端气候的一些商业显种相当于就是保险公司是从这种专业的第三方来购买一种服务来完善我们前面提到那个灾害模块这个方面自己技术能力的不足
[00:27:59] 这里我觉得比较有意思就是他们正在推的那个产品叫做气象指数保险这个其实是一种新型的针对灾害的保险它新的地方主要是在于赔付方式上面一般聚灾保险或者说其他的意外险财产险基本上都是要理赔员去到现场去定损了以后再去赔付的这个效率反正说不上高但是气象指数保险就不是
[00:28:23] 它只要你这个投保的对象遭遇到了合同里面写明的一个气象情况比如说你的气温低于多少度高于多少度或者你遭遇了多少级的大风多少毫米的降水等等就你只要碰到这个情况我就直接赔你这笔钱那相当于就是不要定损了那只要出发特定条件就赔钱给你这个感觉最大好处就是持薪层面的成本尤其人力成本大大降低了对的这个只是在一个保险的公司的这个财务模型里面就是所谓的综合成本实际上是非常重要的
[00:28:52] 当然啊这个就需要产品本身它要设置的非常的灵活非常的定制化因为你触发里面的条件是要根据当地不同的这个地区不同的对象来定制的嘛比如说这个文章里面就举了个例子像浙江的茶园他们就非常在意低温啊双动对于自己这个茶叶的影响所以他们的合同里面就会设置低温的触发条件
[00:29:14] 那你要做到这样的一个精细度的话你就需要对于极端天气还有特定投保对象的损失之间的相关性要有一个精确的模型换句话说你就是要足够精准的理解灾害这件事情以及灾害在不同情况下造成的不同损失的价值是多少对这也是为什么需要技术公司的加持而且这个模式还有一个好处就是正向激励什么意思呢就是在传统的赔付方式下面你想想看就是那种定损的方式
[00:29:40] 很多时候投保人其实会倾向于夸大损失反正已经损害了我再加重一点你多赔我一点甚至会出现故意增加损失的情况不是没有因为这样的话他能拿到更多的赔付但是气象指数保险的支持下面大家就会倾向于减少损失因为反正气象条件已经触发了我肯定能拿到这个钱在这种情况下面我肯定是尽量的能够保护我的财产比如说保护我的农田保护我的农作物对我来说是更加有利的这反而有点赚的意思
[00:30:09] 对那我就更加愿意去投入一些资源日常的做好或者增强我的抗灾能力嘛这个对于中国广大的农业地区实际上是非常非常有帮助的中国现实情况决定了就是不可能像美国那样就是说让人口远离灾害地区来减少这个风险至少不可能完全都靠这种方式那其实可以通过保险的杠杆去鼓励更多防灾设备建设或者说带有防灾意识的提升
[00:30:32] 对刚才我们讲那个美国洪水计划里边一部分是鼓励你搬离一部分就是鼓励你加强防护我觉得加强防护这个点是现在这个气象指数保险可以做到一个点那除了创业公司以外呢其实保险公司自己也会加大这方面的投入他自己也会来搞技术的开发啊比如说我们前面提到的中国再保险集团他就在2018年成立了一个专门针对聚灾的保险技术公司来研发自己的地震台风洪水的预测模型
[00:30:59] 那有了这些基础呢我们才有可能看到聚灾保险在更多区域的普及也能期待这个聚灾保险的保额能够上限不断的提高真正能够做到为受灾者来托底
[00:31:11] 最后我们想把目光再拉回到全球回到我们节目开头说的那句话就是极端气候越来越频繁了其实这个趋势对于聚灾保险来说很明显是一个很新的挑战过去可能是周期性或者是偶发性出现的灾害比如说加州的野火现在变成一个全年都可以预见可能大概率就会来的一个东西这就是气候变化带来的一个长期的影响所以说保险业也是在努力想办法进一步分散这些不断增加的风险
[00:31:38] 一方面呢技术是需要贡献更多的力量的尤其是现在人工智能实际上被拒以厚望啊我们看到像英伟达他就在投入对于气象灾害模型的研究这个其实也是他们这个GPU最早时候在科研界被这个大家青睐的一个重要的一个方向吧确实有用的东西那另一方面呢一些新的金融手段也越来越普及比如说聚灾债券还有这种债券简单而言啊就是我们刚刚不是讲到有再保险公司吗对吧他是帮你在保险公司在分担一些风险
[00:32:07] 那再保险公司呢现在也会向社会发行一个债券每个债券呢都针对一个特定的灾害就如果这个灾害没有发生的话那么再保险公司就向债权人来支付本金和利息如果发生了的话那么债券的这个本金部分会优先被用来赔付这个灾害的这个损失等于是再保险公司在社会上给自己又上了一层保险再再保险那本身有一点对赌协议的感觉对但是这个就是这个对赌协议啊这个聚灾保险这个产品呢是
[00:32:35] 1990年代前后开始出现的现在的规模是迅速的扩大2016年的时候它全球发行的总额才67亿美元到了2023年全年的发行总额已经到了164亿美元了其实这个也侧面体现出来整个保险业乃至整个社会都在想办法来应对越来越大的天灾的风险在我们同事王杰夫那篇报道里面用了一个很形象的比喻来描绘聚灾保险这一整套体系
[00:33:02] 他说这个就像一节竹笋那最外面一层呢是保险公司在里面一层是再保险公司然后在里面是政府还有聚灾债券那聚灾的风险呢就这样通过层层的设置被分散掉了我们没有办法真正战胜自然但是能够找到更好的办法与它相处商业就是这样
