Vol.108 “五常牌”大米
[00:03:03] 听上去又是一回很长知识的节目那我们就开始吧这里是商业就是这样
[00:03:23] 那我们先来说说第一层就是品种根据官方的说法五常大米现在的高品质和一位农民伯伯他叫田永泰是分不开的感觉马上就要听到一个中学语文课文风格的那种科研小故事了对有点像简单的说是这个样子的在1999年田永泰当时担任五常市龙凤山乡五一村的生产队队长
[00:03:49] 他在寻田的时候呢发现了一株野生变异的水稻穗他发现这颗稻穗上面呢这个稻壳上面是有荷斑的整个颜色呢也比一般的稻穗要深但是呢这个植株闻起来特别香据他说法就是连稻叶都是香的听了他就觉得说这株稻穗呢很有育种的潜力就把里面这个稻谷摘出来然后送到海南去育种海南的日照和降水都很充分嘛而且土壤条件也很好的确经常会被当作一个育种的基地
[00:04:18] 不过我还蛮意外的就是五肠原来是一个还蛮晚的一个大米它1999年才被发现这个我们待会再说我们先说回到这个被挑出来的蜘蛛稻穗蜘蛛稻穗被送去海南育种之后第二年它的种子就被拿回到五肠当地再去播种然后继续从中挑啊挑挑出了抗病性比较好而且耗肥量也比较少的一只
[00:04:42] 最终呢就变成了现在五常大雨当中最出名的品种之一叫稻花香二号啊所以这也不是一个靠什么基因编辑技术创造出来的品种而是一个天赐的一个两种然后把它给挑选出来了算是有点运气的成分是吧嗯你要说靠运气呢这个田永泰队长可能会不服气因为在他人生里面一共找到过三次这样的水稻两种啊
[00:05:05] 在到花香二号之前它在1969年是第一次当时呢当地是因为受天气影响水稻几乎绝收了它花了七天时间从一片枯稻田里面找到了20株已经成熟的变异品种结果呢它把这个20株稻穗放在生产队还被麻雀吃了不少最后只剩下7株用来育种因为这个稻穗是在五一村找到的然后最后只剩下7株嘛然后这个
[00:05:30] 最后挑选出来这个品种的代号叫517后来517还被认定为是一个所谓早熟高产的优质品种然后就变成了武昌当地的救命粮之后还在黑龙江省内大幅的推广了
[00:05:44] 那到了1991年田永泰又在田里面发现了一个变异株然后呢这次的变异株是东北当地特别少见的一个长粒米然后煮完以后口感也很柔软植株也非常的香这个变异株呢是在1993年就隔了两年就真正培育成功的它当时的代号叫938然后很快呢又变成了五长大米的一个主力品种
[00:06:05] 后来的所谓稻花香二号其实也是从938稻田里面再挑出来的变异种这么听起来的话确实不完全是运气了还是有一些眼光和经验在的而且等于是救了五长大米市场三次而且也解决了我刚才那个问题就是99年他发现的其实是稻花香二号是一个新的育种但是之前五长大米其实已经有了一些比较成功的然后推广也很广的一些变异种
[00:06:35] 是的尤其像517的话其实是一个可以说是跨时代的一个品种了不过呢这个很好的品种呢在培育出来之后呢其实大规模种植了十多年就不再种了当时有一个原因就是因为连年的耕种然后没有及时的做选种和流种再加上爆发了一个很严重的道温病这517呢就很可惜实际上在1980年代就消失了没有人再种它了
[00:07:00] 所以到了这个稻花香二号这个阶段呢田永他就非常的小心一直在观察这个每年品质是不是有下降按照他的说法就是像稻花香二号这样可以连续种十多年都没有什么变化的品种呢是很少见的不过这几年稻米呢相比他最早发现的时候香味已经有点淡了如果再不升级换代的话很难保证说几年以后不会变异或者说丧失这些原来的好的品质所以这个大米的这个
[00:07:27] 培育种植里面还是有一个问题的就是它这个农作物的选种育种本身要花很多的时间而且还有失败的风险
[00:07:35] 就有点像这个搞一个新药对吧前期的成本很高但是你推广种植完了之后呢它还有一个退化的一个问题所以风险还是蛮大的是吧是的那所以说为了保持这个种子的品质和产量要稳定嘛那农产品的选种和育种包括整个品种的迭代升级的话现在基本上是一个科学的问题啊那基本上变成由科研机构或者一些种子公司来主导科技含量很高的一个事情
[00:08:01] 像517和稻花香2号这种比较优良的品种虽然说它还是有人工经验或者一些偶然性主导的一些品种但这种案例其实已经变得越来越少了
[00:08:13] 这里还要提到一个小的前提就是五长大米因为一直很出名那么它的这个市场认可度是可以说反向有一些作用的它可以推动这种育种或者说选种和品种改良工作持续进步优中选优的就是因为你有一个市场销售或者需求的一个基本盘然后你在研发端就愿意投入更多去提升它的这个品质对因为它想象得到我如果是选出好的以后市场会认可就是有潜在的投资回报收益率
[00:08:42] 但是对于其他的大部分农产品来讲这种传统的选育种的方式在成本或者说潜在回报上面都明显不如现在所谓的商业种子了讲到这里我们也要稍微补充一下虽然稻花香二号有很多明显的高品质的优点比如它特别香口感也很好但是在种植环节这个品种其实有些明显的缺点比如说它的成熟期比其他的品种要稍微长一些它的时间有点对不上
[00:09:09] 每亩的产量也会偏低那在后期的交易环境呢这其实就会带来一系列的麻烦
[00:09:16] 我们前面介绍了五常大米的几个标志性品种尤其是其中现在比较通行的稻花香二号是怎么来的可以看出来当地在这个品质方面还是有很高追求的确实想做一些有特色有区分度的本地农产品那这就给五常大米贴上了第二层标签就是产地也就是说它一直有一些比较有名的获得好评的一些这个大米然后它这个产地就连带着成名了
[00:09:41] 对吧那其实讲到这个的话我还是就是普通人应该有体会的就是把一个物产和产地挂钩其实是一种世界上应该蛮通行的做法你比如说很有名的例子像这个法国的波尔多的红酒或者像什么帕尔玛火腿之类的这种对吧因为他们很早就已经超越了所谓土特产的范畴变成了一个有一定品牌作用的一个特定的一个产品的名称了
[00:10:07] 那这个呢其实就是涉及到所谓的原产地保护的政策了也就是说政府会通过一系列的方法比如说这个标志或者说是一些什么防伪的一些措施确保别的地方别的产地不能仿制冒用这些特定产地和产品的一些名称这样就维持了那些产品的一些独特性嘛然后也能保证他们的一些商业利益当然原产地保护政策跟所谓的真正的品牌还是有一些区别的
[00:10:35] 因为原产地的所有者呢很可能包含了很多的经济实体而且它桥条主要是原产地嘛而要建立一个品牌呢就涉及到更丰富的内容这个我们后面再说那么回到我们地大物博的中国啊1999年中国也出台了类似的原产地保护政策它最早的名字叫原产地域产品保护制度然后到2002年呢改为国家地理标志产品
[00:11:00] 武昌大米是在2003年拿到国家地理标志产品的认证算是比较早的但是在东北大米的范围里面要比盘景大米稍微晚一点盘景大米也是听说过的一个蛮有名的中国目前有超过2000种国家地理标志产品还挺多的小老师可以猜猜看我们上海有哪些
[00:11:21] 盲猜应该会有马路葡萄然后8424的西瓜还有什么南汇水蜜桃对不对8424西瓜不是的另外两个确实是其他还有很多其他还有很多比如是像炼糖焦白崇明老毛线然后全国层面比较有名的也很多比如说安徽铁观音赣南汽车等等这都是大家应该都非常了解的了
[00:11:44] 不过这个国家地理标志产品认证里面有个小问题就是前面我们提到的因为它保护的是所谓产自特定地域内的农产品至于这个产地里面具体种什么品种只会划定一个大概的范围实际上管理并不是很严格因为这个跟产品相关的不单单是产地吗对不对
[00:12:06] 不过我感觉也可以理解因为如果你只是限定在产地内某一个小众的品种的话那它这个范围就太小了太稀缺了你随之而来的可能就是价格的飙升然后囤货聚集反而不利于这个农产品的流通它有点变成像一个奢侈品了不过你这管太松我觉得问题也蛮明显的
[00:12:25] 比如说我那个最有体会就是阳城湖大闸蟹对吧虽然他加了很多原产地保护的措施比如是什么防伪这个什么雷射光标啊等等的但大家也知道就是每年这个贴着阳城湖这个标签的大闸蟹肯定比这个湖里边能够活的大闸蟹要多很多肯定会有一定比例的这个所谓洗澡蟹是不是嗯没错那当我们回到五长大米这个案例时候呢会发现类似的问题要更严重
[00:12:53] 我们看到中国新闻周刊在2015年去五常当地做过一个实地的采访这个文章里面提到了一组数字就说当时全国各地挂着五常大米这个名号的米至少有1000万吨但是当地呢不管从产量还是这个加工厂处理量来看全年能够生产的大米的产量最多是105万吨那相当于当时全国市面上有90%的五常大米都是假的
[00:13:19] 然后我们也看到第一财经营的深度报道团队在2018年底又去了一次五常他们得出这个结论好像更夸张因为当时那一年的话五常当地是有些减产的因素的那算起来当时市面上可能有95%的五常大米都不是五常产的不管是90%还是95%都挺夸张的如果我是消费者看到这样的数字都会直接放弃买五常大米了还不如买虫敏米是不是
[00:13:44] 不过造假和造假之间也有很大的差异哦就是中国新闻周刊这个稿件里面援引了一个行业人士说法他说当时的市面上至少有三种造假的策略第一种呢就是在更便宜的外地米上面直接贴一个五长大米的标就是你前面提到所谓的洗澡米嘛第二种呢就是给这些外地米掺一些香精上一些辣然后把他们这个香味提上去冒充道化香这个因为有点过分啊确实已经很少了
[00:14:11] 第三种就是把外地米和五常本地的其他米以及稻花香二号这三种米按照一定的比例混合变成一个真假难辨的调和米我只听说过调和油还有什么勾兑酒的怎么还有调和米调和米我觉得就是一种所谓调节成本的方式只不过是说比单纯这种洗澡米更有良心一点吧
[00:14:34] 我们看到2014年的这个报道当中提到说有粮商就是专门做洗澡米把外地米运到武昌去卖的那这个粮商在外地地头的收购价然后再运到武昌当地在加工企业那里的收购价这就是两边的中间差价呢美金水到可以挣三到五毛钱然后它一个卡车下来呢就可以相当于挣一万八到三万利润是非常丰厚的
[00:15:00] 那这个是洗澡米嘛那调和米其实也蛮有意思的因为按照我们前面提到这个国家地理标志产品它不是有一个认证要求吗其实你如果按照这个认证要求来做一些操作的话它完全有机会变成一个既控制的成本又合法销售的产品怎么讲比如说你用五常的当地米掺少量的稻花香然后你以五常大米的名义对外出售是没有问题的
[00:15:25] 那如果说你是一个外地米掺了一些五常本地米只要你不标注是五常大米只是说它是比如说是东北大米然后如果你这个质检合格的话你出售也是合法的
[00:15:36] 确实啊这个就涉及到很多人对于大米品质的认知其实就到一个比较宽泛的东北大米比较好吃这层就结束了而且这也没有什么问题嘛但是这种局面实际上对这种牌子更响但是产量更小的这个五长大米还有我们前面提到的盘井大米就有一定的挤压了嘛而且也扰乱它的这样一个市场认识和价格体系了确实是
[00:16:00] 当时在接受中国新闻周刊采访的时候当时武昌市的市场监督管理局的副局长这个副局长叫赵吹的就直接说你去商店买好东西就要花大奖钱每个企业面对的销售群体不一样而调和米的产生是因为市场的需要根本不是企业自己要对的是客户要求这么做的我觉得没什么毛病
[00:16:24] 这个赵副局长的话他显然是就是从市场的实际需求出发来说这个现象不过我觉得这个当中有一个问题啊就是这个调和米也要考虑一下消费者的感受吧就是你中间商这个批发商知道是调和米的但是消费者不知道啊他以为这个贴上五长大米了就是全都是五长大米了这边有个知情权的问题是不是对的
[00:16:46] 这其实就是为什么调和米这个概念被爆出来以后在消费者当中争议就很大但是实际上在市场上有长期存在的一个原因而在上游的环节当中像调和米这种解决方案也会进一步挤压到到华香本身的销售空间
[00:17:01] 我们前面提到这个正宗的道化香二号有些问题比如说它的成熟期更长产量更低而且它的种植和收购成本明显也更高那如果一个单纯的主力的厂商呢那完全就可以说因为这些问题我就不掺道化香了我就根本不满意这个道化香的名实际上呢2018年第一财经记者去武昌采访的时候呢当地就已经出现了真道化香反而滞销的一个问题
[00:17:25] 但是那个情况就是当年的稻花香因为天气原因这个整个品质有点下降嘛然后卖不上好价格农民算下来发现这个卖粮的价格呢很难覆盖他们前期的种植成本甚至会赔钱那在这种情况下呢农民很可能选择吸受就是我不卖给你了那最后呢就会导致这个米实质上是滞销了
[00:17:45] 而当时如果说市场上面到花香的供给变少了那么掺杂或者说造假的比例就会变得更高最后就导致我们前面说的那个数字整个五常的大米的售价率上升到95%
[00:17:58] 感觉这个稻花香二号虽然把五常米的这个名声给打出来了但是它自己本身的这个命运或者是市场上的前景反而不是很好怎么讲就是让我突然想到那个劣币驱逐良币那一期有点这个感觉吗确实有点像目前呢我们也可以看到这两年五常当地已经开始重视像西藏米和条河米这些问题了包括呢它用上了可以显著区分稻花香和其他米的一个很贵的光谱仪然后建立一些什么物联网
[00:18:27] 中心啊搞些什么产品溯源机制啊有了什么网络打假大队等等的但是我觉得这些措施呢只能说在是在五常大名这个招牌上面打补丁它很难真正补上国家地理标志产品这个整个认证体系的原始的一些漏洞
[00:18:43] 前面我们已经讨论了五常大米身上的两层标签第一层是品种虽然说有像稻花香二号这样的天赐两种但是还是会面临很多长期的问题另一层是产地如果连原产地当地都很难把握准入和准出的严格的门槛那五常大米的牌子我觉得未来只会更加的混乱那要解决这个混乱的话或者说是解决产地名声贬值的问题我觉得就要提到我们最后一层的话题就是品牌了
[00:19:14] 我觉得这个可能才是包括五常大米在内很多的农产品都非常难做到的一件事情因为我们对农产品的概念一般其实就是落到产地为止了很少有那种品牌概念的这个农产品像我第一时间有反映到的一些品牌的话有可能也是类似于像新奇式或者是佳配这样的一些进口水果是不是中国可能是储成是很少的一个案例了对那在大米里面我们也同样的是基本上是记不得有什么所谓的品牌的
[00:19:41] 但反过来说如果你能把一个所谓大米的品牌做成了那就很厉害而且这也可以规避掉我们前面说到的很多原产地保护之类的问题这里就要提到一家公司叫十月稻田它算是在尝试把五长大米做成一个真正的品牌的一个公司而且它三月底刚刚提交了港交所的IPO申请
[00:20:01] 十月稻田我们看了一下它其实是一个比较典型的所谓渠道上转型的案例这个公司的两个创始人最早就是做所谓原粮贸易生意的简单来说就是去田间地头收粮的六年以后呢他才开始建立了自己的两个2C品牌一个叫十月稻田一个叫柴火大院
[00:20:18] 那有贸易的基础呢就意味着它可以建立相对来说比较稳定的一个供应体系因为它知道哪里去找这些粮嘛而且它也很清楚地知道比如说市场上出现像条和米这样的小猫腻然后你也可以一开始就想办法绕过去嘛
[00:20:33] 看一下池岳稻田在大米部分呢一直以来主打就是几个东北的重点品种包括说稻香米还有长粒香和小厅米这个都是东北非常主流的一些大米的种植品种了像成本相对来说更高的五长米呢就会被放在这个中高端品牌柴火人家里面做主推其实是一个很明确的一个思路啊
[00:20:53] 另外还有十月稻田选择了大米消费里面比较小但是质量很高的一个盘子就是所谓高价格带的预包装产品这个档位的优势在于它和电商平台以及像河马这种新兴的零售终端的关系比较紧密可以做很多新的花样的产品而且也适应年轻消费者需求相应来说增长的速度也会比较快一点
[00:21:17] 我看了一下他的招股书如果只看他线上渠道的一个销售收入的话其实十月稻田已经是中国整个大米杂粮豆类籽类市场上面一个最大的公司了它的市场份额已经超过10%了你想想看这么一个重要的一个人们的主食它在线上能够占10%还是蛮多的
[00:21:38] 它整个2022年的这个公司的销售额的话是在45亿元这个水平那净利润可以到8%还是蛮高的换句话说它有可能确实是少数就是几个能被比较多的中国消费者记住的一个大米的品牌可以这么说吧可以这么说那我们前面提到它的一个很重要的策略就是主打线上渠道嘛这也意味着公司要建立一个和这个线上渠道匹配的供应系统
[00:22:05] 我们第一财经杂志的记者江瑞杰在2022年初就采访过十月到天融资时候的财务顾问公司以及河马的良油业务自由品牌的开发人员这两方面都提到说因为他们都跟十月到天有一些生意上的往来都对他有个印象说他的中台很强
[00:22:23] 不是 于老师这个互联网公司有中台就算了而且他们最近一两年还很忙着拆中台是不是怎么一个粮食品牌有中台它是干什么的呢我觉得这个中台好像也是他们自己想出来的一个词吧你可以理解为这是十月稻田自己一个所谓数据分析管理和物流调拨的系统一方面这个系统可以监测各种原产地的数据然后比如说看这块地种的好不好或者说哪里的粮
[00:22:51] 的资金的量会比较多然后可以做出一些合理的采购决策另外一方面就可以做一些按需设计的生产运输和储藏的方案来匹配各个电商平台的不同的需求举个例子这两年河马在大米上面其实主打两个卖点一个叫小包装一个叫新鲜度
[00:23:09] 这个小包装不是传统那种良友批判理解的说我五公斤级别就算一个小包装了它现在在做的是比如说2.5公斤一公斤甚至我看到过有卖300个小瓶就是那种一个人做饭可以吃两顿这种小包装米
[00:23:24] 包装规格越小呢这个新鲜度的这个附加价值就更容易被接受你确实买到了这个一次性吃完的米你当然要更新鲜的这就要求说供应商能够做到所谓的以销定产也就是根据电商平台的订单尽快把这个带壳的稻谷从仓里面拿出来快速研磨成新米然后再马上包装好卖出去这个速度要求是非常快的我感觉它这个小包装和新鲜度这两个卖点
[00:23:50] 倒是在电商渠道里边能够开发出的一个新的思路啊因为实际上很多这个地方就是不是东北的就很多一些别的一些地区他郊区本地的一些大米品质也很好只要你能够做到足够新鲜的话也就足够好吃了因为我们其实日常如果卖到的一些比较这个外地的一些米的话很多并不是当季的嘛有可能是放了一年的这种或者是两季的这种米这个因为米的这个影响它好不好吃这个因素实在是太多了就他找了另一个因素来把它给强化
[00:24:20] 也讲究所谓精细化管理的这种农合社
[00:24:49] 姜蕊姐去采访的时候还跟一个农合社聊了一下发现他们真的是很认真在做米就非常非常精细已经在用科学的方法就算一些农药配比啊什么的但呢他们的这个米相对来说价格也很贵他们也是希望说能够跳出传统的像两站定价来收米的这种销售策略吧然后这样子的话才能让好的米卖出更好的价钱那这个呢就需要他们去找到更懂行的一些销售渠道来匹配他们这个需求
[00:25:18] 另外一方面我觉得产地自己可能也要重视一些所谓的品牌包装和自我推销的一些问题
[00:25:25] 在当地发现武昌当地已经出现了一些供应商比如说给米做包装的包装厂然后还有一些像顺丰或者京东这样的物流快递公司它其实就是可以帮农合社做完它不擅长的就是销售之前最后几步然后把这个东西变成一个真正的产品我觉得这个点还是蛮有意思的就是说像大米这样一个刚需的量格特别大的产品里面如果你有一小部分它非常讲究品质然后主打一些溢价的这样一些产品
[00:25:54] 它要脱颖而出的话它就要改变它原有的一些销售的渠道这个改变渠道本身其实还不够你要配合很多像刚刚袁老师讲的营销包装然后周边的一些细节什么的把它当做一个另外一个生意另外一种产品来卖它有可能可以做到其实这方面我们前面提到十月稻田其实也已经走得很靠前了它不仅自己的网店坚持在做直播还一直在跟一些网红合作
[00:26:22] 看了一下招股书里面数据就是到2022年底这个公司累计合作的网红已经超过了3500名其中有超过450名的网红他们的粉丝规模是百万级以上的虽然我们前面说他这个营销或者说是这个包装要创新但说实话我觉得这个也有一点槽点的因为大家如果听过我们讲那个交下那一期就知道了我们其实一直对网红带货这个事情的就看法是比较谨慎的而且毕竟大米和很多新消费产品是不同的
[00:26:51] 它是一个非常传统日常不需要你去教育消费者的一个东西其实你本来可以不需要用网红或者带货来拉动销售的是不是我觉得十月稻田做这件事情还是因为它要维持一个这么样一个大体量级别的公司那它对于互联网流量上面的一些重要的变化一些潮水的动向还是得非常敏感的就是确实要试一试这些新的措施
[00:27:13] 但是就像前面肖老师说的我们倒是更希望产地这个层面比如说传统的农货社或者传统的农户能够重视起来这个事情因为只有重视起来了才能让五常大米真的尽快变成一个消费者更了解而且更认可的品牌
[00:27:31] 那最后我们再花一点时间讨论一个问题就是我们前面提到像品种产地和品牌这三种标签基本上都属于一些上层建筑类型的问题就是说如果这些问题都做得很好那它可以解决的实际上是五常大名能不能卖得上价的问题也就是说相当于改善了它的潜在定价空间
[00:27:52] 但是从我们去年研究各种各样的农产品的经验来看呢很多农民其实都还没有到算这个账的阶段他们更多算的是所谓的地头账也就是在种植阶段的各种成本比如说什么种子啊化肥人工租农机或者土地承包费等等其实这块我们前面也提到了一点为什么2018年五常会出现稻花香也滞销的情况嘛就是因为当年的地头账算下来整个成本变高了
[00:28:17] 按照往年收购价来看呢这个一亩地其实种下来也只有六七百元的威力了就是很低的一个利润了而那一年恰好是因为天气不好稻子减产而品相也有点下降了有些米业公司只肯开就是说比原来要低可能要低六毛钱美金的一个收购价那作为生意自然是划不来了如果从这个地头上的视角来看的话我们前面那些关于新兴的销售渠道啊或者说是包装啊概念等等讨论
[00:28:45] 价值就很有限了因为你这个大米在消费者端再受欢迎再贵这个定价的空间打开了之后它这个溢价没有办法传导到农民这一端是不是农民这边面现在是什么情况呢就是你各种的这个生产单的成本上涨了但是它原有的这个收购体系和收购价格还比较固定的这个情况下或者是有点僵化的情况下它还是赚不到钱甚至还有可能还不上债因为现在很多农民其实借债在种地的大家要知道
[00:29:13] 这两年虽然说有一些所谓的农业现代化提升以及一些土地流转政策上的变化部分农作物是开始探索用机械化或者大规模生产来改善成本结构的那这些变化可能至少能帮农民至少赚一点点钱吧
[00:29:29] 我之前采访过一家公司他们做的就是智慧农机系统然后就在黑龙江那边试种过机械化的种植水稻听上去就是一个科学技术是第一生产力的一个很酷的故事是吧那这个效果怎么样这家公司其实当时试种过好几种农产品包括水稻玉米土豆棉花都试过我当时采访的是这家公司的CIO他说这水稻是这四种里面最难种的所以很快就放弃了
[00:29:55] 他解释一下因为这个水稻的大规模种植呢也涉及到一个很关键一步叫央苗移栽就是这个水稻的央苗呢本来是长在大棚里的很紧密的就是一排一排生长好的
[00:30:07] 长到一定阶段呢要把这些秧苗拿出来抛到田里然后再把它放好就是所谓的插秧这一步呢就既涉及到在水田里操作这个机械进去就有很多的困难然后又涉及到这个
[00:30:20] 抛1秒这件事情呢也有很多惊喜的操作总而言之呢这个智慧农机的这个精度现在远远比不上熟练的农民嗯就是如果大家看过那个纪录片克拉克森的农场的话就会知道这个大型的农用机械在很多时候确实有点派不上用场嗯就是农产品还是复杂的一个东西
[00:30:38] 这么想的话我感觉和大家的想象不一样所谓的现代化农业其实反而是在水稻这样一个最基础农作物上面的话其实离我们所谓的完全自动化还差得蛮多的也就是意味着无论哪个年代哪个产区种水稻始终还是一件蛮辛苦的事情关于这个问题我也跟一些别的农业专家讨论过我们当时就想一个问题就是为什么中国作为一个非常重视农业的大国
[00:31:04] 农民在实际的收益率上面的提升好像始终都有点有限吧而其他一些国家呢他们这些特色的农产品不管是规模上品质上或者说品牌上面都显得好像有声有色的而农民的日子也过得不错当然就是我也看了那个克拉克森的农场两季都看了我觉得这个当时的预设还是有很多难以误的部分不过我们当时探讨下来这个结论就是说这其实是两种不同的农业发展思路所导致的结果
[00:31:32] 一种思路就是追求规模希望整体的产量最大化或者说每亩地的单产最大化但这种最大化并不应带来说最高的利润率就是说农民这个阶段不一定能获得最好的收益另外一种是所谓的追求效益他希望我每种一份田每耕一块地都能带来所谓最大的利润空间我一定要种最好的卖到最贵的水平那为此他也可能愿意尝试很多前期投入比较大但是回收周期比较短的先进技术
[00:32:01] 简而言之第一种思路的话它还是将农业来视作农业而第二种思路的话它有可能把农业来当作商业来运营这两种思路的话因时因势可能各有利弊我们也不能说一定选择哪一种但如果像五长大米这样将一个原本很有潜力和优势也值得通过商业化向上突破的一个产品依旧放在传统的农业的体系当中去运营竞争的话可能就体现不出它最大的一个价值了商业就是这样
[00:32:36] 感谢收听这一期的商业就是这样你可以在各大播客平台收听我们的节目
