Vol.253 西南航空，从特立独行到泯然众人
[00:08:23] 我们一点点来说第一根支柱就是单一机型新南航空长期以来只飞一种机型就是波音737就跟我们之前说春秋只用空客A320系列是一样的只飞一种机型简单来说就意味着所有飞行员只需要学一种机型然后考一种执照然后所有的技师只要学一套图纸备件仓库只要备一个机型的零件
[00:08:45] 调度也会变得简单很多那竞争对手呢通常是运营四到五种机型那其实储备的飞行员技师配件就是复杂度就是会成倍的增加就新的航空这个做法其实现在已经成为了低成本航空在全球的一个标配了就几乎他们都会选择单一机型这样一个方案就像刚才岳老师说的他不是省一点这个飞机类型的这个钱他其实是从系统的层面消灭了运营的复杂性
[00:09:10] 当然就有点坏处就是说如果这一种机型出了底层的就是系统性的问题那其实对于这个航司来说就是灭顶之灾的他用的波音嘛这波音大家也知道前几年因为各种各样原因还是比较挣扎这个对于航司来说肯定就不是好事这是第一根支柱第二根支柱就是极致的周转速度这个我们可以举新南航空早期一个很惊险的故事
[00:09:32] 那就1972年就是这个公司首航一年以后呢他就遇到了严重的现金流危机据说最危险的时候公司的账户里只剩下143美元啊没有漏千或者万这样的量级单位只有143前段时间不是说很多人美国人拿不出这400美元应急吗啊这个说法
[00:09:53] 虽然有点区别的成分没想到公司层面真的有这样的一个例子确实其实我们前面也提到这个公司草创期一直在打官司四年都没有开张开张了这个票价才卖这么一点对吧现金流压力肯定是非常大的
[00:10:06] 而且新南航空那时候总共也只有四条航线原本也只准备了四架飞机结果实在是接不开锅了还卖了一架飞机四重奏都凑不起来了三架飞机飞四条航线怎么是汤姆猫吗就是独自撑起一个交响乐团有点这种感觉飞完你的飞我的新南航空其实就是在这个局面下倒逼自己把整个收转的效率做到极限公司当时开发出一种
[00:10:31] 放牛逼模式叫做十分钟周转也就是这个飞机落地以后在十分钟内完成上课下课行李装卸客舱清洁加油和重新起飞所有的步骤这真的合理吗就是你把前面你前面讲的那些东西什么行李装卸客舱清洁加油这些东西我还能理解就是可以并行操作对上下课难道不是一个就是先下先下后上对吧乘客要坐起来拿个行李我觉得他们从椅子上坐起来十分钟都不够
[00:10:59] 这里的难点主要是清洁和上课上课部分我们后面还会说就是清洁这个部分当时西南航空提出说所有的机组人员包括飞行员全部都要参加清洁工作那你就是多了几只手那其实是能够跟上来的加上西南航空大家可能知道它长期是不供餐的那其实这个效率上面确实有可以做的空间另外呢其实当时西南航空的竞争对手在地面上面其实周转也就是耗时30到45分钟你现在国内航司
[00:11:28] 假设它效率很高的话其实20来分钟也是有可能做完的所以10分钟听起来不可能其实拼了老命是可以达到的后来西南也放宽了要求变成15分钟周转就是相对来说更合理那么一点点想想还是很不可思议的就跟打仗一样尤其是上课这个过程怎么能做到像地铁公交一样的就随到随走呢地铁公交还经常这个先下后上打架呢是啊
[00:11:50] 这个我们就要说到西南航空创的第三根支柱了也是他们过往商业模式当中很独特的一点其实两个点一个是不分配座位还有一个是免费拖运两件行李春秋那期里面我们其实提到过就是他提前选座位是要加钱的如果你不愿意付那10块钱的话就得早点去直击对吧但是直击的时候选的座位还是免费的
[00:12:11] 但是西南呢就是更极致一点就是当你踏入飞机之前你都不知道你自己是坐哪里的就是全靠抢如果完全不管呢这个过程肯定会非常的混乱对那所以说西南呢稍微就是想了点办法就是把所有的乘客分成几组好像早期是三组的样子就是把这个最大的度跌稍微打散一下就是三组人就快快上那整个登机的效率呢还是会提升一些
[00:12:35] 分配座位的一个好处就是大家不用在登机牌和座位号之间来回看好几遍就是找自己的位置嘛也没有因为做错了临时调换这个过程就是每个人就是落定了就是落定了那整个登机的话他们去测算是比传统方式快好几分钟的所以就是因为大家坐飞机肯定有这个体会总是有一些朋友他看不清楚这个号码和自己上面号码对不起来我坐高铁时候也经常这个问题确实有的时候容易那个错位嘛最好错一排
[00:13:04] 那这个上下课先解决了啊放行李呢我再请问一下国内飞机上你就是你发现这个队不动你经常就是因为前面有个人放行李比较慢先往身边测一测先让后面的乘客过一下就是乘务员的很大一部分工作室在疏导这个点那这个就要说到免费拖运行李这个点了那春秋我们都知道这对于随身行李就卡得很严拖运行李更加是要花钱的但西南航空就是反过来它在行李上面是可以做到免费拖运两件听起来很大方但是这实际上是一个钩子
[00:13:33] 既然可以免费拖运两件那我早点来机场把这个直击拖运都办完了我空着手就是没有什么随身行李就轻轻松松就上飞机一架飞机百来个人都是这个样子这个速度能不快吗而且确实就是因为它早期的话还是一些比较短途的周内的这个航线本来也没有什么行李你要说就是还拿了很多个大箱子往飞机上面来往上搬的话这种情况也比较少一般都是手提的箱子比如说一个公文袋或者一个背包在身边比较多了
[00:14:00] 反正核心就是为了10到15分钟的极致周转就是挖空心思绞尽脑汁把这个时间给缩短了其实就是把一些原本耗时更长的在登机时候做的事情甩到了登机之前和下机之后来做所以到底为什么他要搞这个东西很简单就是因为核心的等待环节公司在机场使用各种资源比如说什么廊桥行李车之类的都还是要向机场付费的飞机赚钱的时候是他在飞的时候所以说在地面上面多待一分钟都是浪费
[00:14:28] 这个其实春秋也是一样的思路就是把周转这个做快一点就是公司的成本变少收入增加
[00:14:34] 那么三根支柱已经讲完了最后一根支柱是什么呢那最后一根支柱呢就是员工春秋大家都可能知道这个员工工作特别辛苦但是工资呢就是给的挺好的对那新南航空也是类似的逻辑而且它有个点就是在197年首航到2024年这54年里面没有主动裁过一位员工其实如果说是一个公司它在那个扩张阶段或者说它经营很好的话不裁员其实是一件比较正常的事情
[00:15:03] 这一点在于就是经营困境的时候也不裁员这个就比较少见了美国民航业其实在2001年911事件之后就在这事上有个明显的难点911是让美国民航业陷入了数月的深度衰退整个行业里面累计裁掉了大概8万人而在所有的大型航空公司里面西南是当时唯一一家没有裁员的而且它的第一班航班是在9月14日就复飞了这个也比大多数的竞争对手都要快
[00:15:31] 大家如果对那个时候还有印象的话其实对于美国的航空业的影响是非常非常大的甚至在全球其他地方都会有一些影响很多人不敢乘飞机在美国的话更加是如此如果在那个时候都没有裁员的话其实对公司来说也要承担比较大的压力民航业说到底还是服务业服务的能力一半是建立在它的机队还有调度周转的过程里面另外一半其实还是建立在具体的飞行员乘务员地勤和技师身上的
[00:15:57] 新的航空创始人凯拉赫一直有一个说法叫我们照顾好员工员工照顾好顾客
[00:16:03] 顾客照顾好股东这个是他理解这个价值链条顺序是这个样子的这跟我们比较熟悉的这个第一第二第三这个排序其实有点不太一样你说的我们比较熟悉那个排序是马云说的那个排序就是那个客户第一员工第二股东第三是不过新南这个理解就是把员工会放到更高一些的位置这个是不同行业的区别但我觉得这个其实有一个点就是美国的工会相对来说比较强势而且就是溢价能力会相对更强有关系我觉得这个跟国内的情况就是有微妙
[00:16:33] 所以他这么来排也是很有道理那到这里呢其实我们把西南航空能够长期盈利的核心的四根支柱讲完了简单回顾一下第一根支柱是只使用单一机型第二根支柱是10到15分钟的超快的地面周转的这个速度第三根支柱呢就是不分配座位和两件行李托运第四个支柱呢就是善待员工
[00:16:55] 那么讲完了四根支柱其实岳老师刚才还提到一个说它还有最后一扇门这个门到底是什么这个门就是西南航空的利润来源
[00:17:04] 你讲这个利润来源其实有点糊涂利润不就是卖飞机票赚来的这个钱吗春秋那期你还记得吗我们说春秋的一部分利润来源是什么请老师重新给我们讲一下重点政府补贴政府补贴新南航空是咱们中国的公司它的主要利润来源不可能是政府补贴但是也肯定不是卖飞机票答案很简单是做燃油套期保值
[00:17:27] 这个我们也直接讲到过对就是在外汇那期以及更早的农产品期货那期都讲过但是还是简单回顾一下假设我作为一个航空公司觉得半年以后航空燃油会涨价那我现在就花一笔小钱跟燃油公司把未来的购买价格锁定在一个固定的水平上固定价格上面那如果说半年以后这个价格涨了我就赚了
[00:17:50] 如果跌了我花的钱就白花了但是我获得了更便宜的燃油简单的说就是这么一个逻辑因为燃油成本基本上可以占到航空公司常规开支的三分之一以上所以说油价波动实际上对于利润的影响是非常大的
[00:18:04] 而从1998年到2008年这部分套期保值的工作都是由西南航空我们一直提的这个创始人凯德赫和这个公司的CFO亲自来抓的而且他们做的策略就是非常的激进然后结果上也很好就是2003到2008年期间呢西南航空的燃油成本可以比同行低25%到40%之多那如果说我们从1998年就他们开始做这个套期保值工作算起
[00:18:30] 这十年前公司仅仅在燃油的套保上面就赚了大概35亿美元哇这要卖多少张飞机票才能赚得回来啊就感觉他们其实不是在用它来保护自己的利益或者是什么追求一个稳定性而是纯粹用这个金融物资在赚钱了对就是利润率方面就是完全不可同日而语啊如果我们看这十年公司的利润可以发现就是燃油套保带来的这部分收入相当于同期公司利润的83%
[00:18:56] 剩下不到五分之一才是从这个机票钱和极致周转里面挤出来的利润就前面四根支柱讲了半天其实只占不到五分之一更多的是这个燃油套保是有点类似于我们今天说有的公司赚钱不靠主业的主要靠投资或者炒股赚钱包括很早的时候讲通用汽车我们会说它是个金融公司因为它的金融稍微近一点讲腾讯式的投行之类的对对对
[00:19:18] 但很难说这个事情到底好不好吧从投资者角度来说还是要理解这种主营业务或者它经营的主要的重点和它利润主要的来源区分开来这种现象还是会有可能出现这种现象你要理解有这种现象存在你才能更好理解公司
[00:19:33] 但是对于西南航空这种运营效率很高盈利效率又很低的公司来说其实有了这么一个很大的额外的收入来源是可以让整个公司靠风险能力显著提高的不过关于燃油套保这个事情我们后面还会讲到西南后来在这个方面是有很惨痛的教训的另外还有一个我们开头的概念就值得提一下就是西南航空效应这个说法这个说法并不是西南航空自己给自己造的一个概念而是美国交通部在西南航空的扩张期
[00:20:01] 通过行业研究得出的结论有一个专门的报告什么意思呢就是那个时候西南航空已经不是专门做周内的飞行它也就做周期的飞行就整个美国都在做交通部发现每当西南航空进入一条新的航线
[00:20:14] 这条航线的平均票价就会下降50%旅客量会增长超过三倍哇非常多就是这些人哪里冒出来就是本来开车的人对就是本来开车的人就是新的航空进入的主要就是会带来很大的价格的优势那原本很多会选择开车的人突然就会发现我飞机也负担得起了甚至有可能因为就是飞机更快或者说短程的体验更好那他在商务出行之外的休闲旅行也会选择飞机那总之就是
[00:20:43] 整个使用航空的频率会变高整个市场规模就给它做大了这方面其实跟我们之前讲春秋在一些国内的低线市场做的事情是很接近的比如说春秋去兰州啊喀什阿拉泰石家庄这种低线城市去开航线而且呢他还能把自己发家这个旅游业务和航线做深度融合其实就是把原来没有航空出行需求的一部分人群给激活了甚至可以说创造一些长期的文旅需求这还是很厉害的
[00:21:10] 从这个角度看说起来春秋获得相应的政府和航线的补贴也说得过去对吧有点道理如果说没有航线的话这部分需求其实就是会被高铁消化在地面交通方面中国的高铁和公路网络其实加起来是要比美国的纯公路网络优势要大一些的春秋的竞争对手显然是高铁所以它做起来就更难而新南航空竞争对手是公路做起来还是有些优势
[00:21:39] 前面呢我们是画了很多的部分讲了西南航空的发家历史还有它独特的这个盈利的商业模式接下来是不是要进入后半部分这个故事逆转的部分了其实西南航空这个逆转不是突然逆转的而是就是一点点累积爆发的最根本变化其实是来自于2020年的这个新冠疫情新冠疫情可以说是彻底改变了人们的一些出行习惯对于西南来说这里面最致命的变化就是短途的商务旅行需求急剧的萎缩
[00:22:08] 居家办公变成了常态原本很多短途差率大家会发现其实是可有可无的就是线上会议就可以彻底取代掉那这部分需求就是消失了而短途旅行客恰恰是西南最核心的客群因为这些人不需要国际航班也不需要头等舱只要你班次多准时价格合理他就会一直选择你但这个需求没有了而疫情的早期冲击之后呢民航业开始复苏结果呢复苏的也不是这个商务的需求
[00:22:36] 还是另外一种需求就是高端休闲旅行旅行之后呢很多人愿意为更好的座位更灵活的积分体系更多的国际目的地来花更多的钱但是西南呢还是没有办法参与进来这个游戏因为公司没有做过任何这些方面的布局是它发展了这么多年都没有国际航线没有商务舱会员体系也是那种很传统的就是你飞多少次拿多少分不是按里程计分的就跟那个大的航空公司还是差别很大它也没什么很长的里程
[00:23:04] 如果拿酒店行业来比的话它现代航空还是比较像汉庭儒家稍微高一点全季雅朵这样一个概念它的消费者在那个阶段有可能更多的想花点钱去住四级那种感觉而原来汉庭儒家那个需求因为大家知道在美国居家办公work from home浪潮实际上是延续到疫情之后的一直有很多公司还在这样做
[00:23:28] 所以它这个需求的这个下降是一个很长期的事情对它的影响就是等于是此消彼长它没有占到好处但是这个亏是一直在吃其实你前面拿酒店类别就是确实酒店这两年就是同样的现象就是所有的细分评论里面只有超豪华酒店的这个增长是最显著的总之对于西南航空来说整个疫情对于公司做了几十年
[00:23:52] 而如果想要适应新的格局呢那其实要做很多事情比如什么开辟国际航线啊搞点商务操啊就还有会员体系要重建啊等等等等而且在转型的过程当中呢你还有可能失去原来的老客户对他来说如果要做这种改革的话就是有点这个违背组织嘛现在大家会说的我觉得是个很困难的选择啊不过新南航空在明确做出选择之前呢其实已经被另一个风暴击倒了
[00:24:15] 这个风暴不是象征意义上的而是实际的一个风暴就是2022年的12月下旬席卷了美国中西部和东部的一场很大的风暴当时受到风暴影响
[00:24:42] 这一周的时间里面西南航空累计取消了16900架次的航班有200多万旅客是在圣诞节期间被迫滞留在当地的最严重的那天是12月26日西南当天就取消了超过3000架次航班占它当天全部运力的71%这个我有点没有理解你前面不是说它周转能力很强吗如果是这样一个公司的话它不是应该在一个突发的情况之下
[00:25:06] 就是它恢复的更快才对嘛就怎么会就是瘫痪的这么彻底就整个直接崩掉了因为它当时主要瘫的是它的核心的调度系统那这个系统呢叫Skysover这个系统呢是1990年代由吉义为西南航空开发的那这个系统呢主要就是负责在航班变动的时候重新分配飞行员和空乘但这个系统有一个很大的设计缺陷就是它没有办法自动追踪这些机组成员它在哪里OK那正常情况下
[00:25:35] 如果每天只有少量的航班变动这个部分就是人工来配合就是把这个人找到然后去分配的也够用但是一旦出现大面积的取消飞行员和空乘其实已经被打散到了全国几十个城市系统又不知道这些人在哪里这个调度员其实就是很累就是他就只能不停地打电话一个一个确认就你在哪你在哪你在哪里
[00:25:59] 而且据报道就是整个系统的设计的出力上限其实是每天小几百次的航班变更这已经是它的极限了OK我们前面说12月26日那天它面对是3000次的变更就是做不了但是我有个很大的问题虽然这个系统是1990年代开发的那极易开发完了之后就不做维护了不做更新了听你刚刚讲风暴也不是那种什么特别特别大的一个灾难就过去没有碰到过这种问题现在碰到这个问题一下子就崩掉了这个事情过去没有爆发过感觉就是过去
[00:26:27] 竟然一直是这么凑合着过来的啊就是他最强的这个调度这个事情周转这个事情当中那个系统这个部分就人员调度这个部分没想到是很凑合的对竟然有些凑合的地方就是实际上新南的员工会多年以来就是只反映主要的一个问题就是这个IT技术设备非常的老旧没有办法符合我们这个更大的一个变更的需求了但是管理层一再推迟在这方面预算就所以就是
[00:26:53] 一直凑合到最后就圣诞风暴以来这个技术债就完全就爆雷了就有可能如果不是圣诞节那个人人非常高的时候的话他这次也就狗过去了糊弄过去了这次是没狗住对最终呢美国交通部是对西南航空开出1.4亿美元的罚款这也是当时对于航空公司开出一个最大的单一罚单了那再加上了超过6亿美元的旅客赔偿以及各种善后的支出这次崩溃其实给西南航空直接造成了超过8亿美元的经济损失
[00:27:21] 这个8亿的话其实对他这公司来说的话你要说少不少但说多的话也不会是一下子致命的但是因为他这个新南航空前面讲的几十年运转一直非常的良好
[00:27:31] 连续碰到两个一个是很大的一个行业巨大的变动这个灰心油是吧另一个就是一个这个黑天鹅一大一小两个事情叠在一起呢就是使得这个公司一下子就有点无所适从了对吧就是一下子打蒙了对一个蒙掉了那种感觉所以这个影响实际上现在更大对那这种脆弱性呢其实就是吸引来了一些捕猎者就是全世界最知名的激进投资机构之一Elliot就是来了到2024年6月Elliot就是公开宣布他已经持有西南航空
[00:28:00] 将近11%的股权对应的价值大概是19亿美元激进投资者这个概念我们在7-11那期节目里面也简单的提到过Elliott实际上是这个行业里面很出名我觉得最出名的一家了简单的说一下激进投资者他们到底是干什么的就是先悄悄的买一些他们认为被低估的或者说是这个公司很好但他管理不上那些股票然后突然有一天跳出来公开施加说我现在已经是一个很大的股东了我要求你更换管理层削减成本调整战略
[00:28:29] 往往这种呼吁都会就是引发很多的这个就是一呼百应很多别的股东都会跟上来那么如果这个股价上来了或者他这个做法成功了他就把这些股票再卖掉走人那入股西南航空以后呢Elliot就是发了一封很长的公开信然后逐条列举你们这个西南的管理层就是在哪些方面执行都很失败总之最后就是我要把这个CEO和其他高管都尽量换掉然后呢双方进行了很长时间拉锯到2024年的10月达成了和解
[00:28:56] 与其说是和解不如说是Elliot大获全胜因为他一口气拿到了13人董事会当中的6个席位这个我觉得还是有点夸张的就是一般来说比如说你把这个管理层策划了或者按照你的方式来改革重组什么的进两个人就已经是极限了对然后你有可能就撤了或者怎么着了就是你直接拿到了13个席位当中的6个就相当于是接近半壁江山了就他是怎么做到呢就是这个现在航空原来的股东一点抵抗都不做吗
[00:29:20] 具体的过程我没有特别细究但我觉得有一个很大的问题就是因为新南航空自己没有任何坚定的想法来抵抗Elliot表面上这种强势的意见才会导致这样的结果或者说当时的股东可能也觉得说听你的也不错对听你的说不定也行那Elliot自己也说这个是他在跟各种美国公司和解当中获得过最多董事席位的一次而在新的董事会之下呢从2024年年底开始
[00:29:47] 新南航空就启动了一系列被称为Southwest Even Better的这个改革这改革呢速度之快覆盖面之广在整个公司54年历史当中前所未有但是如果对照一下我们前面讲的那四根支柱你会发现这些改革呢基本上就是一根一根的把原来的支柱拆掉
[00:30:07] 那由老师来说一下吧这个改革到底做了哪些事情非常诡异的一些自我革命一项一项来看第一项改革大家认为是最具有象征意义的就是这个公司终结了54年以来的开放座位制从2026年1月27日开始西南航空座位不再是先到先得所有航班都改为指定的座位分为标准优选和
[00:30:29] 更大腿不空间这三类的作息这么复杂一下子改的比一般的航空公司更复杂了而且为了适应这种新的座位布局有些机器人还减少了六个座位就除了没有这个头等舱和商务舱两舱以外就感觉经济舱的这个思路搞得像这个一般的航空公司一样了是吧而且那种抢座位过去的乐趣就是大家对它最直接的一个观感就没有了
[00:30:52] 开放座位其实是原来西南快速登机的重要手段也是整个品牌辨识度最高的特征之一把这个部分改掉其实乘客对于品牌心理预期就会开始产生明显的变化然后品牌过往建立起来这个独特性也消失了这是第一点第二项改革就是公司开始对拖运行李收费2025年5月开始首件行李是35美元第二件是45美元然后到了2026年的4月初又涨了一段首件变成45美元第二件55美元
[00:31:19] 我们前面说开放座位和免费拖运行李实际上它是一个组合的策略看似是给你提升了自由度还给你很多的优惠实际上是为了更高的周转的效率它选择了效率这个部分现在是完全从效率的倾向转成了利润的倾向就跟春秋黄宫那个方向是一样的跟春秋有什么区别第三项改革就是公司主动做了历史上的第一次的
[00:31:43] 大的裁员是在2025年的2月17日西南市宣布裁决了1750个企业管理层岗位其中包括了11个副总裁以及以上级别的高管
[00:31:54] 不过我觉得这点整体还可以你裁员如果像基层员工弄刀子的话一般来说受到的反噬就会更大和解会比较难像他刚刚周转什么人这么审的这种情况下你如果裁基层员工的话真的有可能对艺名就是裁到大动脉对吧对大动脉是在那里反正虽然裁管理上还是会损害一部分所谓员工优先文化但听起来就没那么残酷了
[00:32:16] 除了这三项改革以外其实新的董事会还提出了一大堆新的思路比如说搞了一些什么不可退改的超低价票种
[00:32:24] 这个事情就是把原来西南航空所有机票都可以免费退改这个思路给颠覆了过去他所有机票可以免费退改其实挺好的现在就变成了一个其他的航空公司一样了他也开始跟外国的航司合作有了一些名义上的这种国际航班的关系包括西南原先一直坚持那种点对点的网络模式就是只做城市间简单这种对飞的航线形成一个网络他这个部分也改了他也开始变得跟大型航司一样做那种常见的就有一个枢纽港然后我基于这个枢纽港
[00:32:53] 做一些中转的这个模式这个调度的思路也变了对因为它过去就是做那些就是有可能比较小的城市之间的那种小的短的航线嘛那是它的一个特色总的而言之我听你讲下来的话它这个整个改革计划就是说我要变成一家正常的航空公司对跟别人一样的有像什么指定座位啊行李收费啊不可推改票数纽中转像什么达美啊美联航美国航空都这么做呀那七大航空之前之所以特别就是因为它不做这些事情
[00:33:20] 结果用了一年时间全都做了那我就要问了就是他这个改革肯定还是有一个目标或者他有一个目的方向去的为什么他要做这些改革呢我们前面不是说激进投资者主要工作不就是从这个公司的复苏当中赚到足够多的钱吗所以说这么激进的改革所指向的一定是具体的财务目标这个财务目标其实也不一定是说自己公司自己感受到压力更多就是投资者给到的压力
[00:33:45] 而且坦率来说这个短期的变化带来数字上面确实是更好看了可以看到2025年这个新南航空的全年益说是创了历史季度有255亿美元其中第四季度单季度也是这历史最高有74亿美元它全年调整以后的每股收益是0.93美元这已经从此前风暴赔付带来的亏损当中站起来了
[00:34:08] 也挺好这样的话对于投资者来说就会感觉之前特立独行那么多年其实都是在特立独行的吃亏那种感觉而且必须改革听你刚刚讲其实主要就是收费比较收费和裁员营收增加也是很正常
[00:34:23] 对就是但是有一个点值得注意就是这个四季报出来以后呢当时分析师基于各种这个收费项目的前景就给新南航空的2026年画过一个很大的饼就是说希望这个公司全年的每股收益能够达到4美元这个利润一年之间相当于要翻4倍多这么多吗
[00:34:44] 但我们节目好像过去也讨论过这种其他公司非常激进的增长目标这种事情如果你只看这种改革带来增量比如说什么行李费收入作为选择费还有什么裁员带来成本的这个节省也许有一定可能能够挤出更多利润但是呢正好有一个变量正在把这个目标的可信度彻底击碎尤其最近这段时间是不是就是燃油
